O00142 Q8N4B1
O00634 Q6UWT2
P49674 Q86T26
Q16832 Q96RA2
Q07912 P0DH78
O14681 Q15527
Q6GTX8 Q495W5
O43597 A8MVA2
Q86SE8 Q8NES8
P41002 P10645
Q9NYM4 Q5T870
Q6UWN5 Q9Y2P4
Q9Y6A4 Q9HB21
A6NKD9 Q8NHC7
Q9BQ87 Q86XR2
Q8TED4 Q14914
P05534 Q9UGP5
Q96IK1 P55290
P35637 Q96DP5
Q8N567 Q9NZB8
Q8WU79 Q9Y6W8
A7E2U8 O60603
Q96FX7 P48788
A6NH11 Q8N8E1
O75843 Q9NPC6
Q9Y6Z7 Q12899
O75473 O95475
P62745 Q9NWM8
Q9NXF8 Q9P2W7
Q7Z5L3 Q96RU8
Q8IVL5 P35575
A4D1E9 Q9BYQ2
Q9NYZ4 P20700
P09693 Q96RS6
P41220 Q96NZ9
Q9H4F8 P42574
P11308 P0C7T3
Q9Y5E9 Q96DA0
P35790 Q8TBG9
Q05086 Q8NHC6
Q9UBP0 Q8WVE6
Q99828 Q9Y2B1
Q86TE4 P33261
Q8N8I6 P12271
Q15043 Q68D85
P52565 Q5QJ74
Q6P9H5 Q9Y6J9
Q9NXW9 Q5JT78
Q9H2Q1 Q5U651
P48544 Q9BV40
Q92930 Q5VX71
P34903 P21941
Q1A5X7 Q969E3
O95295 P23763
Q8NBS9 Q53HV7
P51793 Q969S3
Q0D2J5 Q09019
Q5HYK9 Q8TAF7
Q9BSK4 P18510
Q6NSJ5 Q96A84
Q8N468 Q9H2W6
P02746 Q9H3P7
Q15011 Q9NP78
Q9NP74 A0A0B4J2D9
A6NH52 A6NJY4
Q15109 P61952
P28908 Q9NV23
O75817 Q7RTM1
Q8TEQ0 Q96FZ5
Q5T013 Q96GE4
P16389 Q9BX74
Q01453 Q9NPD3
Q8WXE1 P0CL84
Q15758 Q8TDD5
Q5H9R7 P16401
O00421 Q7Z3Y7
Q6QHK4 Q8NH70
Q7Z4H7 A0A1B0GUQ0
Q8N4F0 Q495T6
Q8IU81 O94921
Q8NBI6 Q15771
Q99538 Q96EL1
Q9UJT2 Q4AE62
Q1HG44 P25791
Q8N144 O76099
Q8WVJ2 Q08629
P50479 A8MQ11
P59910 P62952
O75936 Q9BYR8
Q9NRB3 Q92904
A6NGH7 P01222
Q8IXI1 Q96MY1
P24385 Q8N6T3
Q16378 Q9GZU0
Q8N5N7 Q9C037
P05976 Q92904
Q8WY64 P25024
Q5GH76 Q5SRI9
O14907 Q86VQ1
Q9BT43 Q8TAZ6
Q8IWT1 Q8WWA1
Q9BY27 Q96IQ9
Q8N5C1 Q14318
Q96DN6 A6NGQ2
Q8TDS5 P08034
Q9H0H3 O75030
A0A1B0GVG4 O14893
Q8WZ33 A0A1B0GVM6
Q9UHV8 Q86V97
Q5EG05 Q969J2
P30533 Q99633
Q53G59 O95278
Q7Z3Y8 Q9GZY0
Q8WV24 Q96L21
A6NLX4 Q8N3T1
Q99418 Q96MP5
Q6P9F5 Q9NZH7
P60468 Q8NAP8
O43280 Q9NYH9
P84098 P50052
Q96KS9 P12314
Q9H8L6 Q7Z6A9
P84103 Q9BX46
Q8IZ41 A0PJX0
Q6ZST2 Q8WUD6
Q9BWJ5 Q9XRX5
P10600 Q9Y3D3
Q9Y5Y7 Q0P5N6
Q5FBB7 Q9BQC3
Q86U70 Q86WA9
Q14236 O95865
Q2VY69 Q86W33
Q9NS69 Q9UIJ5
Q8WWW8 Q5JUQ0
A0A1B0GVM6 Q5XG99
Q96RR1 P11310
Q8N5W8 Q9H069
P04196 P00326
Q96G74 Q9Y2E8
Q9NW07 P16520
Q96BR1 Q96R45
Q96IS3 P01732
Q7Z3C6 Q9Y3A3
P07686 Q9Y284
Q9NVV0 P05181
P55001 P59536
Q7Z5Q1 Q99440
O43511 Q5W186
P47902 O75954
Q9UHQ7 Q902F9
P23769 P61006
Q96NT5 P20382
Q8N6S4 O95231
O95983 A8MWS1
Q8IUH5 P34903
Q9TQE0 Q5GAN4
Q9NR77 Q9HBI5
Q93070 O94778
P13349 Q6P2P2
Q8N729 Q460N3
Q9NQR1 Q9H1Y3
Q8TB69 Q8NHV4
Q9Y5W5 Q8N4C7
Q9GZY6 P50148
P31350 O75154
P52758 Q9BUJ2
P41271 O15260
Q9BQE4 Q12884
Q8TAY7 P98170
O95948 P35270
Q3BBV2 B9ZVM9
Q9BS26 Q8N4J0
Q9UBS4 Q9Y2V0
Q9NVH6 Q52MB2
Q5DJT8 P60006
Q96SK2 Q96S79
Q5TAG4 Q14135
Q969H0 Q9NNZ6
Q9NX14 Q3ZCQ8
P08195 P29279
Q8IWE2 Q99259
Q53FZ2 Q5VT98
Q8IUC0 P28332
Q13352 Q969U6
Q7RTY3 P49419
Q5TA79 P62987
Q96QC0 Q9H963
Q9H3N8 Q9NYP8
Q6SJ96 Q9UNI1
Q5SRR4 Q9H6I2
O00204 B1AL46
Q95IE3 Q9H5Q4
Q86YH6 Q8NGN2
Q6EEV4 O43823
Q9BYZ8 Q99470
P61201 P25089
P12319 Q9BYG7
Q8NI38 Q86XF7
P35544 Q494U1
Q9NX95 O15165
Q92572 Q7LG56
P30487 O95294
Q7LBR1 Q8N1L9
Q14749 Q13363
Q8NGS6 Q9NX55
O14967 A0A1B0GUQ0
P56385 Q6ZWL3
Q5EBM4 Q96JP5
Q6ZMS4 P27469
Q9UQQ1 P09914
Q9NS25 Q9HAT1
P59942 Q6UWW9
P47804 Q8IWS0
A8MTI9 Q9P0I2
O95528 Q9NR80
A6NDE8 O00481
Q8N4L4 Q14032
Q96LM1 H3BN30
P0CG22 Q9GZK7
Q9UKF2 Q12918
Q13015 Q7Z5L2
O14944 Q9BXF6
A8MZ36 O95947
Q9NPJ3 Q9P0V9
P20339 Q5JT82
Q8WU76 P04183
P01308 Q5QJ74
Q2M3T9 Q96H86
P50552 Q9Y3D7
P49703 Q5SRD0
Q8N0T1 Q8N6T7
O00219 Q8TBF2
O43508 Q9BQD1
P28482 Q0VAA2
Q8IXX5 O43921
Q86UP6 Q6IBS0
P51911 Q9NV92
Q6ZP68 Q13564
O75795 Q9BRA0
P49643 Q9BWV3
Q02153 Q9UKJ5
Q9P2K3 Q9UII2
Q96CG8 Q8IYE0
P07203 Q8TEV8
Q8IVD9 Q92982
Q9UFW8 A6NI86
P57772 Q9Y5Z4
Q6EEV6 Q9NVK5
Q8N6K4 Q5KU26
A8MYP8 P0CJ75
P23381 Q8N4P2
Q9H171 Q8IV04
P49770 Q9H0A3
C9JFL3 P30084
Q96KV6 P0CB47
Q6NSJ0 Q99750
Q9Y5K1 Q5T751
Q6ISU1 Q96P47
Q01085 P0CG04
O43414 Q96GX5
Q9Y2T4 Q86U06
Q96EV8 Q5VWW1
Q3B7J2 Q8WU10
Q92623 P09471
P02649 Q8WZ26
Q15835 Q9C0K7
A0A0C4DH32 Q6NVV9
A8MT33 Q8TAC1
Q5DJT8 Q9H9A6
Q9HB96 P23219
Q5JXC2 P59051
Q08357 Q4VC12
Q9Y3D8 P56181
P11021 P42696
Q0VAK6 Q15013
O15120 Q6SJ96
Q99583 Q8NHY5
A6NKN8 Q8N5U1
P43034 Q6PCB0
Q9NPH6 P0DM35
Q9NZH4 O95741
P25786 P27216
Q96BR9 Q5VUM1
Q8IY82 Q7Z2E3
Q9UKF5 O95859
P0DOY2 Q9BQ31
O60383 Q96CP7
P61081 A4D1T9
O95626 Q9Y2W2
P50591 O14791
Q99956 Q6UWB1
E9PQX1 A8MYP8
A2RRD8 P54709
Q9BQC6 Q2M2W7
Q8IZR5 A8MPS7
Q5T1S8 Q9Y5X0
Q494W8 Q9NTU4
Q13489 Q8N8R7
O60235 Q9C026
P21754 Q96KN4
Q9UPW6 Q8WXA2
Q70EK8 Q3LHN2
O60936 F8WFD2
Q9NUS5 Q8N350
Q07325 O96014
Q9UI17 P62714
Q86XT9 Q9H446
Q04323 O95568
P84077 A6NI61
P59551 Q96M78
P38159 Q7Z429
Q86WB7 Q96GY0
P60174 Q9BY43
Q8NEY8 Q9H293
Q02045 A0A0B4J2A2
P59922 Q9Y303
Q96C34 Q96LW1
Q9NP08 Q9UDV7
P15927 Q13572
Q96HB5 A6NNL5
Q9NWQ4 P63127
Q658N2 Q71F78
Q5SRD0 Q96EG3
Q86WC6 P59923
Q8N9T8 P12272
P49917 A0A1W2PPG7
D6RCP7 Q8WUF8
P14649 Q9HCE1
Q14117 Q9GZN1
Q92597 Q9BZ11
Q9NSD4 Q9UP52
Q8NEX6 Q9C0B6
P46109 Q8IU53
Q9UI08 P21731
P27694 P20132
Q9UKS6 Q9NPC8
P51452 Q9NYN1
Q96NS5 Q96A49
Q9BYR6 Q8NGE2
Q9H6R7 Q96SQ7
Q8N0Z9 Q9UIR0
Q9BU61 Q5HYM0
Q9Y6D0 O15105
A6NNY8 Q86U28
Q9BWL3 Q16236
Q8WXF8 Q96DX7
O43930 O00515
P15882 O14972
P59037 P25800
A6NKH3 O95498
Q96DR8 Q2M3W8
Q9C010 Q9BZ98
Q5JR98 P58512
O00602 Q0D2K5
P78345 Q8TF27
Q9NP98 A6NE02
P16671 O15121
P06850 Q8N0Y7
P0DMP2 Q8IUR0
P32754 Q8IZF3
O95393 A6NDY2
Q96PM9 Q69YZ2
Q8WVJ9 Q8N488
Q9NZI8 Q9H223
P01127 Q8IZS5
Q96ET8 P45954
P01700 Q5T9C2
P08237 Q9H7B2
Q96BM1 Q04837
O75310 P06241
P03971 Q07666
Q9NVG8 Q8NGE7
P43220 Q9BRJ9
P78537 Q8NGY3
Q99986 P36871
Q8IXY8 Q86TV6
P06241 O00204
Q96GK7 O43819
O60575 A6NNX1
P49116 Q9UH36
Q8N7P1 P84101
P05231 P63151
Q9NQV7 Q6UWV2
Q5JT25 Q8NGL6
O43716 Q08AF3
P23025 P36268
Q9NY28 Q8N9T2
Q12946 A8K979
Q9UN81 Q9NQS3
P23942 Q96P88
A0A1B0GTR0 Q9BYH1
Q8IXH6 Q969X1
B8ZZ34 P08173
P0C1Z6 Q9UBQ6
Q8WXE1 Q9NX24
Q9C019 O00273
Q9H244 O15541
Q9UL16 Q6JVE6
Q14209 Q96LY2
Q8N2H3 Q96PB8
P86791 Q9Y6U3
P30498 Q29983
Q9BQL6 O96015
Q9H158 Q9NQF3
P34897 Q6ZTZ1
Q86XN8 O95998
P50616 P30405
Q96NL1 Q8NGA0
Q96H12 A0A0C4DH39
Q8N5U1 Q00013
Q9Y2U2 Q16557
Q9HC16 P61568
Q8N335 Q8NCE0
Q9H7X7 Q9NRA0
Q5VXU3 Q96MF7
P02671 P33552
Q8NBZ7 Q9UI10
A0A0C4DH41 Q9UN67
O43447 Q08AF8
H3BV60 O43914
P0DP04 A8MWE9
Q8TBA6 Q6IQ19
A8MZ26 Q9BRQ5
Q86VD9 O75901
Q96RR4 P54793
Q8NA70 Q96RJ3
Q2VPB7 Q8IXL7
Q07866 Q05315
O15381 A0A0B4J1V2
Q96IQ9 Q9BY27
P51817 Q8N0X2
Q9H2A2 P01737
Q9NZI8 Q9P2B7
P0C1Z6 Q8IUE0
Q8N2E6 O14503
Q5T035 Q9BS40
Q3LFD5 Q96S99
Q8N608 P22087
Q5JSQ8 Q5JRS4
Q9BUH6 P19801
Q9BTL4 Q86VW0
P58546 Q8NHZ7
Q9P2C4 O75888
Q587J8 Q9H974
P52740 O95415
Q8NGC8 B2RXF5
Q5TG30 Q8NGR6
Q5JT82 P60411
Q8IZM0 Q96BD5
Q9NUD7 Q9UIK5
P12236 Q16678
Q96NJ6 Q8TCC3
Q96S82 Q96GC6
Q9HCM4 Q96S79
Q2KHT3 Q7Z7K0
Q15459 Q8N0Z6
P49406 Q969R8
Q6EIG7 A6NFY7
Q8IZJ1 Q8IZS6
Q15796 A6NDL8
Q5W150 Q96NA2
Q9NWB7 P11836
P18887 Q9NR20
Q7LBR1 Q07325
Q9GZV4 Q9NYR8
Q9UEW3 O15535
Q86YJ7 Q9P016
Q96EB1 Q8IYW5
P06239 Q7Z628
A6NFU8 O94864
Q7Z7H3 Q5TA81
Q99618 O60478
Q8N4T8 P00491
Q9NY56 Q8TD10
Q9Y2E5 Q9BRT7
Q9BYR0 O15496
Q9UGI8 Q13145
Q8WW59 Q9BV44
Q8IV76 Q96KK5
O14775 A6NNB3
Q9Y333 Q96RF0
P12544 Q9HD45
A6NK75 Q8IX15
O75386 Q99583
Q16653 Q5H9J9
P49842 Q969N2
Q8IXB3 Q8WX77
Q99704 Q9NPI0
Q8N688 O00590
Q8NFD4 Q6UXG3
A8MV81 Q08357
O60678 P58401
Q12951 Q8N0S2
Q9BYD2 P29353
Q7Z3B4 P35080
A6NJG6 P26368
O95857 Q8N0Z8
Q5TB30 P12236
Q3LHN2 Q9BSE4
P55287 O14493
O15499 Q8IXU6
Q9H4Y5 P43119
P78382 P54577
P55212 Q9BYH8
A6BM72 Q9Y6Z2
Q9BPZ3 Q9Y6X3
Q92800 P78549
Q9NZM5 O94892
Q96Q80 A6NEM1
Q9BRB3 P01857
O95238 Q86YW5
Q0D2J5 P22674
Q96NJ5 A8MUU9
Q9NSB8 Q17RD7
A6NIH7 Q99807
Q9P0L9 P35250
Q5XKR4 Q96SE0
P61580 P28066
P01732 Q96IS3
O15172 P05198
O60774 Q9NZ01
Q9BQJ4 Q15771
Q7Z7B1 O60353
Q6P597 O75973
O95750 Q13634
P62380 Q9HAZ1
Q53TQ3 P01148
Q00653 Q9NP77
P58872 Q9NXF7
Q9BRL6 P22059
O14893 A0A1B0GVG4
P51798 Q9NRB3
Q7L775 Q9Y5T4
F8WCM5 Q8NGM1
P08174 P09132
O95045 Q5VT33
Q99417 P13284
P0C7I0 O15537
O43396 P63136
Q96EY7 P20800
O95453 Q9GZU3
Q6JVE6 Q9BUA3
Q8N8E2 P56556
Q07011 O00409
O95218 P53367
Q9NZJ0 P78556
O95988 O75477
Q15040 Q7Z2E3
P05556 Q96HZ7
O43633 Q8IZQ5
Q9Y2T3 Q9C056
O75865 P56597
Q8WVV5 P20155
Q9BWU0 A0A0B4J2D9
Q5SWH9 Q92956
Q13445 P35637
O75347 Q16570
Q8WXX5 O95167
Q5T7P8 O75871
Q96M78 Q3SX64
O60256 O95777
P32245 O95551
Q69YU3 Q96M61
Q6ZVN7 Q9UKF6
Q9UDW1 P20265
A6NI73 Q9NYV7
Q7L5A8 P04733
Q9Y5P2 Q8NGG1
A6NFD8 Q6P1S2
Q96KF7 O60269
Q9UNG2 Q96LJ7
A8MT69 Q9BVX2
P31269 Q6PHR2
Q92902 P07307
Q5QGT7 Q9NRF8
Q68EA5 Q99853
O75715 Q9Y285
Q6P280 Q8NC56
P50219 P61587
Q6ZRP0 Q6YFQ2
P60022 P21452
Q9Y5S9 Q5TEZ5
P01009 Q5VT99
P51797 Q9P0P8
Q9BWM5 P46937
A6NMS3 Q86XS8
Q9GZR5 P28067
Q6P9H4 Q9BXV9
Q9H0U3 Q6L8G8
Q08623 Q9UHX3
Q9UMF0 Q9NRY7
Q5TEZ5 Q9NQ79
P16499 Q8WZ33
Q14982 P20338
P36969 Q96CX6
Q8TCV5 Q9NY61
A6NJQ4 P20138
O75031 A6NHQ2
Q9H4W6 P52741
O75052 A6NKF1
Q14586 Q9UN81
Q5TKA1 Q70EL3
O60636 O15467
Q6PF15 Q8NGJ5
Q96RI1 O00590
P27695 Q5T5X7
P52744 Q9Y265
Q5VXJ0 Q5SNT2
Q9BXJ3 Q1W6H9
Q8TDG2 Q3ZCT1
P04217 Q9H343
P16050 Q86VR8
Q15306 A6NF89
P18465 O43280
Q96M61 Q69YU3
Q9H9L4 O14737
P32929 A6NNL5
P07477 O00124
Q8TAP8 Q6UWB4
P11940 Q9H4I8
P01699 P49917
Q53RY4 P53677
O75718 Q8NFN8
O95447 Q96AJ1
Q9BPU9 P58304
Q9H8N7 Q9NZR1
P46091 Q8IXN7
O75356 Q9BUB4
Q96IW2 P62495
Q9Y2S2 P24278
Q9Y5I4 Q96M78
Q13618 A0A1B0GUA7
Q9P242 Q5GH77
Q9BV35 P0DMU3
Q4G0N0 Q6NTE8
Q9HCC0 Q8NGF7
Q9BQ70 P43487
Q96C92 A0A0C4DH33
P29279 P25800
A4D0T7 O60907
Q9UJA3 Q8N6I4
Q8IXQ4 O95876
Q9BRT2 P07478
Q8TAM6 Q9NSU2
Q96E29 P0DI80
O95183 Q6PIV7
Q6UWR7 Q8NGC5
A6NF34 Q6XE38
Q14681 Q8N684
O95502 Q6P2C0
Q2TAL5 Q9NQZ6
P62081 Q8NHP8
Q9NXT0 P04808
P06454 Q9P0P8
Q8NCG5 Q9ULX6
Q5PR19 P50570
Q9BRZ2 Q8IW41
Q01064 Q96QR1
Q8IV32 P39905
Q53H12 Q8NI60
Q6ZW33 O14756
P00813 Q8IYR0
Q6XD76 Q9HB20
H0Y7S4 P22570
Q68DK7 O43852
P31483 P22695
Q495C1 Q86YR6
O14503 Q8N2E6
Q9BQY9 Q14916
Q8N2U0 Q8WVZ9
P08887 P40126
Q5T215 Q9UJM3
Q6P3R8 P35080
Q9UJ71 Q7Z353
Q6PB30 Q8WUQ7
Q5VT28 P0DMS9
Q8WYK2 Q9BYW1
Q9BV44 Q96DU9
Q3SY00 P27482
O43914 Q5VTH2
Q96AW1 P09417
Q5BKY1 Q8NDW4
Q00005 O95470
Q86WT6 Q6NVV1
P32121 Q8TC76
Q96M78 P20151
O60268 Q96R05
Q9H1Z9 Q86TW2
Q9NUC0 O94941
Q5T5J6 Q8N8P7
Q9BVG4 Q6ZUJ8
Q9NXK6 O15530
P62684 Q92783
Q9BPZ7 Q5VXU3
Q92830 Q8WZA6
Q92917 Q8WY54
Q99697 P51114
Q9NUL7 Q8N9N5
Q13976 Q5RKV6
P49913 Q6Q795
Q6P444 Q93070
Q8TBC3 Q96GM5
E9PI22 P0C7T5
P51504 Q9H3D4
Q8NGE1 Q15363
P25705 Q00059
Q6IE81 Q5W0N0
P59051 Q66K79
Q16626 P43320
Q9H2Q1 Q2Y0W8
Q9BZJ6 Q6PGQ1
O00462 P30793
Q14409 O95872
Q9Y4C2 P18440
Q5SR56 Q9NXU5
Q9H410 Q9NPB3
Q9UHD4 Q9HC62
Q8TAF5 P15085
P18848 Q14011
Q8N4T8 Q12799
P55210 Q53EU6
O14929 P0C854
Q9NZC4 Q6PKX4
Q9NQ86 Q7L0Y3
Q5T0B9 P47890
Q96CD0 Q8TAF7
Q9Y458 Q9BYT5
P49715 Q8IWL3
Q9NYR8 Q6P1M0
Q96GN5 P16333
Q02556 Q96FL9
Q8IU60 Q495T6
Q9Y421 Q02325
P35452 Q9UJU3
Q9NUT2 Q7Z4W3
Q9NUM3 Q9H7U1
P69892 Q9H972
Q9NUQ7 Q15120
A6NKQ9 Q96IF1
Q9NQ50 Q96T76
Q67FW5 A8MW99
Q9NZY2 Q96DL1
Q6PIY7 Q14863
Q19T08 Q9NQE7
Q5TC84 O95758
A6NHG4 Q9BWQ6
Q9H706 Q15699
Q08ER8 Q0P5N6
Q8N183 Q6ZVT0
Q07699 Q8NEP3
Q9GZY6 Q9NUJ7
Q13107 Q9UK45
A4D2B8 Q92785
Q9Y6U3 P0CJ88
P61960 P15421
Q8WV48 Q53GD3
Q8IYS1 Q6UWS5
Q6IA17 Q9H6E4
Q03936 Q8IVM8
Q9UBY0 P09211
Q86YR6 P63000
A4D1U4 Q9Y468
Q8NGR8 Q96LT7
A6NGU5 P23396
Q8NEP9 Q8N9H6
Q96QI5 P23490
B1AMM8 Q86YR7
Q8WW59 Q6JBY9
Q8NDV2 P34972
Q6ZRY4 Q2WGN9
Q92667 Q9UNP9
Q8N535 Q9ULC0
Q14807 Q9HD64
Q15170 Q96IL0
O95925 A8MWA6
P20941 Q9BZP6
P20151 Q9UK45
Q9UNZ2 O15350
P19838 Q16568
Q9H693 Q9NVE7
Q96LJ8 A6NDG6
Q9HBM0 Q3MIV0
Q9NS39 P48788
Q14680 Q6UXV4
Q12946 Q9NSI5
P61916 Q9H0C5
Q9NQN1 Q9C056
P0C5Y4 P0CG42
P30291 P0DN84
P51677 Q9UGM1
Q9BYQ8 Q6NVV7
P62750 P45984
O00161 P41279
Q96R84 P61566
Q16667 Q16774
Q99536 Q15464
Q9UM63 Q8N6I4
Q93075 Q8TEZ7
P16118 Q5H913
P35348 A6NEL3
Q96DF8 Q8TB61
Q71U36 P0DMW3
P52803 Q14244
A0A1B0GVH4 Q7Z5V6
Q7Z5Q1 Q53FP2
P47890 Q8N831
Q96M91 Q9H1P6
Q9UGJ0 Q05925
O14828 P47928
Q8WWX8 Q9H3Z7
P00387 P00441
Q8IZ20 P31644
Q9UK17 Q99504
Q147U7 Q8IVN8
P15104 Q9UQ88
Q8WVT3 Q10588
Q8N1Q8 Q15493
Q9UKJ0 Q96KP1
Q6ZT21 P22004
Q9NQR4 Q8NGN3
P79483 Q9BVG3
P56880 O00519
Q9H1J5 Q9P0U4
Q8NBX0 Q8TBE3
P21127 Q9BRP0
P15428 Q6ZMJ4
Q6NUN0 Q9UPW0
Q15072 Q6ZWL3
O95867 P57060
P19784 Q9H7M9
P19224 P25686
O95274 Q9BZG2
Q15013 Q8IUH3
Q9Y2X3 Q9H322
Q6IFN5 O00244
O00559 P16189
Q6FIF0 P19634
Q8N4V1 Q6UXR4
O95716 Q9UBV4
Q86YQ2 O95229
Q96R54 P04035
P51149 Q9GZT3
P59665 Q6ZVQ6
Q8WW27 Q9Y2W6
Q15363 P69891
P30508 Q96MH7
Q6ZTB9 P55899
P0DMW4 A6NFI3
Q969P5 P0DJJ0
Q12829 Q9NX01
S4R3Y5 O95568
Q92748 O43869
P0C7X0 Q9BWQ8
Q9BUE0 P78537
Q9GZR5 Q86UE4
P60673 P29466
P00167 Q9H341
Q92914 Q5JTB6
Q99807 O95528
Q8N9S9 P05976
O43299 Q8IYX1
Q14249 Q5R3I4
Q96II8 P14406
Q8TB03 Q9Y3P8
A8MPX8 Q9BX73
Q6ISS4 P22466
Q9BZR6 P51687
P40425 Q8IV32
A6NGS2 Q8IW75
Q9Y397 P07910
Q8IUI4 O60565
Q96N64 O15551
Q9H7Z6 A0A075B6J6
Q6NUN9 Q8NC54
O43918 P62745
O14678 Q969H6
Q96P63 A8MVZ5
P30307 O76000
Q8NDW4 P0DMV0
Q9Y2T7 Q14002
P0DN37 Q96DA2
Q9NSQ0 Q9H7L9
Q13342 B3EWG6
Q9H0M4 Q16695
P09669 Q96A84
P52292 Q00526
Q5VWG9 Q5JNZ5
P61968 Q9Y5L2
Q7Z4Y8 P36959
Q05D32 Q6L8H1
A2RU67 A0A0B4J2F0
Q86XS8 Q7RTS9
P07602 A5YM69
Q99757 Q6ZMB0
Q6UN15 O14595
P09382 Q6P2C0
P13987 Q10471
P01892 Q9NPF7
P62891 Q8N752
P13349 P80075
O14558 O96019
P59539 P04196
P16401 Q5H9R7
Q8WUZ0 P08708
P31323 P0DMR3
P25685 A0A0A0MRZ9
Q53T94 Q5JXA9
Q8N945 P30510
P02686 Q16637
P0DP58 C9J2P7
Q7RTX9 P30520
Q9HAS3 P30542
H3BRN8 Q93098
P0DML2 P10082
P18463 Q8TCA0
Q8TAG9 Q6NVV7
Q8N3G9 Q8NHC7
P60228 Q86TJ5
Q9BYQ5 Q5TEA6
Q9HC21 P48066
O60830 B2RUZ4
Q9GZZ0 Q9BX67
Q9HBX9 A8MWK0
P07199 Q9Y661
Q9H5N1 P49286
Q86YN1 P40855
O15444 Q86V97
Q9NZK5 Q9H115
Q96EN9 Q13555
A0A096LNP1 A6NCL2
Q9HC16 Q96NX5
Q15366 Q8N9X5
P61567 O43766
P32322 Q96HP4
Q9HC97 Q6DKI7
O76081 Q9GZZ7
P50583 Q6UY11
A8MXK1 Q9Y5I1
P30466 Q13162
P10109 A0A0G2JMI3
P31275 Q5VYV7
P23415 Q53H76
Q07507 Q86U06
Q8N895 A6NLX3
Q8TAG5 Q6ZN66
A6NGA9 Q6UWB1
Q7Z692 Q86YQ8
Q12999 Q8WVZ7
P22532 Q05823
O14862 O60602
Q9C0J1 P35240
Q8NAP8 Q9Y3M2
P0DN81 O14494
Q6EEV6 Q9BX40
P17041 O43521
P20382 Q96NT5
Q9NWU1 Q96KJ4
P53365 Q9P0K8
P28332 Q8IUC0
P09228 P78329
Q13239 Q8NGE5
Q8NA56 Q96LM5
Q6GMV2 Q9NXH8
Q9UN19 Q9NX57
Q6L8G8 Q14982
Q12815 C9JFL3
Q8TAU0 Q96FF7
Q99447 P55899
P01588 Q969T7
Q16635 Q9Y5U4
Q8IXS2 P27448
Q9NPA2 P0DOX3
A8MUN3 P20592
Q9GZT6 P02794
O75541 Q15208
O75531 Q7L7L0
O15226 Q8N4U5
Q08752 Q06413
Q6ZSA8 P0DJI8
Q9HAS0 P38484
Q6S5H4 Q9NYB0
P20264 O60299
P05198 Q96JP0
Q6UWP2 Q9Y570
O75800 Q13207
Q8TDX6 Q9H4X1
Q9H765 Q5W0U4
P55058 Q9BZL1
