Q96EZ8 Q9H1A7
Q7Z4H7 A0A1B0GUQ0
Q8N4F0 Q495T6
Q8IU81 O94921
Q9Y315 Q8TDD5
Q8NBI6 Q15771
Q8NG99 Q6UWP8
P11168 P25116
Q8N144 O76099
P15735 Q9UGP4
O60347 A8MVW5
Q8TBZ9 Q9Y580
Q9NVA4 Q8NDQ6
O75936 Q9BYR8
Q9NRB3 Q92904
Q8NET6 Q6P9A2
Q86W11 O75506
Q86Y82 Q9H4W6
Q96T75 P12544
Q8IXI1 Q96MY1
Q16378 Q9GZU0
P05976 Q92904
Q5GH76 Q5SRI9
Q8WY64 P25024
Q9BY67 Q15311
O14907 Q86VQ1
Q9HC29 P10092
A2RUC4 Q8WVN8
Q9BT43 Q8TAZ6
P10599 P19367
Q8IWT1 Q8WWA1
Q9BY27 Q96IQ9
Q6P9G0 P19623
Q8N690 Q9Y6I8
A0A1B0GVG4 O14893
Q8WZ33 A0A1B0GVM6
O96005 O43559
Q9UHV8 Q86V97
Q9Y5U2 P13639
P30533 Q99633
Q7Z3Y8 Q9GZY0
F2Z3F1 P57679
Q99418 Q96MP5
P23193 Q8TF45
Q96LQ0 P58418
Q9HD90 P06899
Q96KS9 P12314
P56373 Q96FM1
P84103 Q9BX46
A6NH57 Q9BQ39
Q8IZ41 A0PJX0
Q9BWJ5 Q9XRX5
Q8TF47 Q9ULV4
Q14236 O95865
Q8NHC6 P49447
Q9NS69 Q9UIJ5
A0A1B0GVM6 Q5XG99
Q96RR1 P11310
P04196 P00326
Q15907 Q13444
Q96G74 Q9Y2E8
A2IDD5 P04040
Q96BR1 Q96R45
Q7Z3C6 Q9Y3A3
Q9NVV0 P05181
Q7Z5Q1 Q99440
P55001 P59536
Q99836 Q5I0X4
Q5BKX8 O43557
P47902 O75954
H3BNL1 Q9BT78
O75553 Q5TGZ0
Q76EJ3 Q96J77
Q9BTM9 Q96SR6
Q8WV93 Q53H96
P23769 P61006
Q05315 Q13449
Q15884 Q9Y548
Q701N2 Q7L985
Q969Z4 Q5CZA5
Q9Y330 Q9NPF5
Q96FM1 P56373
Q9NR77 Q9HBI5
Q9NQ60 Q9Y3A2
Q9H4X1 Q9Y6C7
Q8NDZ6 Q13496
Q8N729 Q460N3
A6NEM1 Q8IUW3
Q14602 Q8NBT2
Q9HBF5 P16403
O43529 Q1W209
Q8TB69 Q8NHV4
P31350 O75154
P50452 Q9Y3Q0
P52758 Q9BUJ2
Q5TYX0 P28332
P42772 Q96PZ2
Q9BQE4 Q12884
O95948 P35270
Q9UI12 Q9UII6
O75807 Q9H9P8
Q6IE38 P50052
Q9UBS4 Q9Y2V0
Q01362 P20396
P51648 Q07627
Q5TAG4 Q14135
Q9NX14 Q3ZCQ8
P08195 P29279
Q8IY31 Q9UKK9
Q96CJ1 A7MCY6
Q8IUC0 P28332
Q2WEN9 P37198
Q9BVC6 Q13404
Q13352 Q969U6
Q6UWP7 A0A075B6K2
Q7RTY3 P49419
P60370 O60268
Q5TA79 P62987
Q96QC0 Q9H963
Q9H3N8 Q9NYP8
P30566 Q08170
Q6EEV4 O43823
Q9BQW3 O75083
Q9BYZ8 Q99470
Q6ZVS7 C9JRZ8
Q8NI38 Q86XF7
P35544 Q494U1
Q5HYK9 Q5GAN6
P08670 O60232
Q8IV16 Q8IWY8
Q9NX95 O15165
P30487 O95294
Q14749 Q13363
P56385 Q6ZWL3
Q5EBM4 Q96JP5
Q6ZMS4 P27469
Q9UQQ1 P09914
Q9NS25 Q9HAT1
A8MTI9 Q9P0I2
A0A0C4DH33 Q13868
A6NDE8 O00481
P0CG22 Q9GZK7
A7MD48 P14061
Q9H3W5 Q8NI29
Q96RI1 Q16558
P0DP58 O75570
P20339 Q5JT82
Q9BQS6 B4E2M5
Q86X83 E9PKD4
A8MV23 P08758
Q2M3T9 Q96H86
P50552 Q9Y3D7
P49703 Q5SRD0
P78562 P20718
P28482 Q0VAA2
O43934 Q9GZN7
P51911 Q9NV92
Q9UHA2 P42025
P49643 Q9BWV3
Q9P2K3 Q9UII2
Q96CG8 Q8IYE0
P07203 Q8TEV8
P57772 Q9Y5Z4
Q99727 Q9P1J3
Q15723 P62266
Q9ULF5 Q13643
Q8N6K4 Q5KU26
Q15750 Q7Z572
O43741 Q92990
P51790 Q9H8X3
Q8N9T2 Q9NY28
Q9H9A6 P59539
Q96KV6 P0CB47
Q6NSJ0 Q99750
Q9Y5K1 Q5T751
Q8N0W7 Q9H2X8
Q15080 P0CG40
Q6ZW13 E5RJ46
O43414 Q96GX5
Q8N8Q9 Q9HB71
Q9Y2T4 Q86U06
Q96P63 Q96AA3
Q8IYQ7 O00767
P23258 Q9Y6J6
P12236 Q9P2F9
Q9Y397 O00264
O00198 P27037
A8MT33 Q8TAC1
Q9HC07 Q9NRI5
Q5DJT8 Q9H9A6
Q9HB96 P23219
Q5JXC2 P59051
Q494R0 Q0P140
Q9Y3D8 P56181
F8W1W9 Q9UNK0
Q01546 P55854
P50135 Q9P0S3
P11021 P42696
Q0VAK6 Q15013
P0DP74 Q8TCP9
Q13610 A6NLW8
Q99583 Q8NHY5
P43034 Q6PCB0
Q587I9 Q4KMQ1
Q9NPH6 P0DM35
Q9UK73 P30532
O15504 Q8N5M1
P25786 P27216
P04271 Q5K4L6
P0DOY2 Q9BQ31
O60383 Q96CP7
Q96KR4 Q2QD12
P50591 O14791
Q16609 P55061
Q99956 Q6UWB1
P51861 Q86UQ8
Q8IZR5 A8MPS7
P30542 O14662
Q5T1S8 Q9Y5X0
Q13489 Q8N8R7
O60235 Q9C026
Q9UPW6 Q8WXA2
Q70EK8 Q3LHN2
Q96I23 Q99959
O60936 F8WFD2
Q07325 O96014
O43570 Q9HCP0
A6NIU2 P20700
Q9UI17 P62714
A6NKH3 Q8WUN7
P30460 Q96T92
Q5VVX9 Q8NF99
Q9ULK5 O94844
P55895 Q6NVV3
Q15545 Q2TAA8
P84077 A6NI61
Q86WB7 Q96GY0
Q658L1 Q8N587
P0DJD4 Q15392
Q8NEY8 Q9H293
Q02045 A0A0B4J2A2
Q53QW1 Q86VD9
Q96MI6 O14874
A6ND48 Q8NGB4
P0C604 O95218
Q8NH54 O75663
Q8NFF2 O60381
Q96HB5 A6NNL5
Q9NWQ4 P63127
Q7Z3Z0 Q2TAP0
Q658N2 Q71F78
P36542 Q15059
Q8N9T8 P12272
P41219 Q9UJV3
Q9NQ88 Q8IV77
Q14117 Q9GZN1
Q9NSD4 Q9UP52
P23490 P60891
P46109 Q8IU53
P27694 P20132
Q96RD1 Q9H773
P51685 Q9UKH3
Q9UKS6 Q9NPC8
P51452 Q9NYN1
O43820 Q496A3
Q96NS5 Q96A49
Q9BYR6 Q8NGE2
E7ETH6 Q06055
P30203 P58004
Q8TDU6 Q8NFH4
Q9BU61 Q5HYM0
Q9BWL3 Q16236
Q14773 P46926
Q96R47 P0C862
Q8WXF8 Q96DX7
Q9BYM8 P12268
P59037 P25800
A6NKH3 O95498
O95476 O94844
P61566 Q9ULA0
Q8IWD4 O75800
Q9UKU7 O60291
Q6UX04 P82664
Q96DR8 Q2M3W8
Q9C010 Q9BZ98
P52565 Q96SB4
P08195 Q13007
P26717 Q8WXG1
Q07960 Q9NY72
P06850 Q8N0Y7
P0DMP2 Q8IUR0
P32754 Q8IZF3
O95393 A6NDY2
Q96PM9 Q69YZ2
O00142 P53367
Q9BSE5 O95834
P41240 Q9Y2S7
Q9NZI8 Q9H223
O14493 P00491
Q96ET8 P45954
Q96BM1 Q04837
O75310 P06241
Q9Y3L3 Q9Y3B4
P16219 Q5SW24
Q99986 P36871
Q8N554 Q9H972
Q8IXY8 Q86TV6
O75951 Q8N8U2
A4D1N5 Q2M2E3
O60575 A6NNX1
P98172 Q15465
Q2M3W8 Q14141
Q16831 O95429
Q9Y6X2 Q5T036
P05231 P63151
Q8N7P1 P84101
Q9NQV7 Q6UWV2
Q5JT25 Q8NGL6
Q08752 Q9BVV7
O43716 Q08AF3
P23025 P36268
Q8WU10 P01772
P60370 O43583
P23942 Q96P88
Q8IUK8 P17707
A6NCN8 P0C6S8
A0A1B0GTR0 Q9BYH1
O94763 Q9BS92
B8ZZ34 P08173
P0C1Z6 Q9UBQ6
Q9C019 O00273
Q9H244 O15541
Q14209 Q96LY2
Q8N2H3 Q96PB8
Q15583 Q9H082
Q8N344 Q8TD46
Q9NQT6 Q9UI25
Q9H158 Q9NQF3
A8MT19 A8MTQ0
P34897 Q6ZTZ1
O94808 Q6UXX9
P53539 A6NI61
Q96H12 A0A0C4DH39
Q8N5U1 Q00013
Q9HC16 P61568
Q9UBS3 P55084
O14627 Q9UBS4
A2RUC4 P23219
Q5VXU3 Q96MF7
P02671 P33552
Q8NBZ7 Q9UI10
A0A0C4DH41 Q9UN67
O43447 Q08AF8
Q5EE01 Q9Y305
Q8NEY3 Q6IA17
P0DP04 A8MWE9
P0C6S8 Q8NH03
Q6P3W6 Q68G75
O43598 Q9BRK5
Q86VD9 O75901
Q04724 Q9UIV8
Q9Y2W6 Q8WW27
Q96RR4 P54793
Q5T8R8 Q9HCG1
Q9NRD1 P52823
Q7Z7H3 Q8NBS9
Q07866 Q05315
Q9NZI8 Q9P2B7
Q96MH2 P19099
Q9BVM4 Q96PG1
Q8N608 P22087
Q9BUH6 P19801
O94778 Q9UD57
Q8N1A6 Q9UDY4
Q9P2C4 O75888
Q9NUD7 Q9UIK5
Q14849 P57735
Q8NGA1 O00548
Q96NJ6 Q8TCC3
Q96D21 P07510
Q96S82 Q96GC6
Q15459 Q8N0Z6
P49406 Q969R8
Q6EIG7 A6NFY7
P15085 P02794
Q6T311 O75787
E9PJI5 P00915
Q5W150 Q96NA2
P18887 Q9NR20
Q96A57 Q9BV19
Q9GZV4 Q9NYR8
P0CJ90 Q15835
Q86YJ7 Q9P016
Q96EB1 Q8IYW5
Q8N4L4 Q8NBT2
Q9NUG4 O15304
Q6P3V2 Q9H4F8
Q96NZ1 Q1ZYL8
Q9BPZ3 Q13489
P06239 Q7Z628
A6NFU8 O94864
P83369 P62891
Q99618 O60478
Q8N4T8 P00491
Q9NY56 Q8TD10
Q9BYR0 O15496
Q9UGI8 Q13145
Q86X60 Q68CK6
Q8WW59 Q9BV44
O14775 A6NNB3
Q6P3W2 I6L899
P12544 Q9HD45
P51170 Q8NA75
O75386 Q99583
Q15633 P0DMU8
P49842 Q969N2
Q8N6K0 Q9BUJ2
P31274 Q3ZCV2
P25786 Q7LFX5
Q99704 Q9NPI0
Q9Y512 O15530
P20151 Q8N7A1
Q9BT67 Q9BY67
P35637 P51684
Q6P2C0 Q2M238
A8MV81 Q08357
O60678 P58401
Q12951 Q8N0S2
O00476 P22695
A6NJG6 P26368
Q8NHY5 Q8TF20
Q6IMI4 O00469
Q8NH90 Q13572
O95857 Q8N0Z8
Q6ZUJ4 P58340
O15499 Q8IXU6
Q9H4Y5 P43119
P55212 Q9BYH8
Q9BPZ3 Q9Y6X3
O43920 P20671
Q9NZM5 O94892
Q96Q80 A6NEM1
Q8NBI6 Q9H0X4
Q9BRB3 P01857
P62304 O15034
O95238 Q86YW5
Q96BX8 Q15784
P00915 Q9BY19
Q9NSB8 Q17RD7
Q5XKR4 Q96SE0
Q9P0L9 P35250
O15172 P05198
Q9Y2R0 Q8NCU1
Q969P5 Q8TCW9
O60774 Q9NZ01
Q9BQJ4 Q15771
P0DMB2 P0CW18
Q9NP99 P29536
Q7Z7B1 O60353
Q6P597 O75973
P01825 Q687X5
O95750 Q13634
P62380 Q9HAZ1
Q00653 Q9NP77
Q9Y3A4 Q96N03
Q9NRE1 P61266
Q17RH7 Q15485
P82933 P21953
O43303 Q15102
Q8IZU3 B1ATL7
P56693 Q9H255
P08174 P09132
O95045 Q5VT33
Q6PI25 Q8NCV1
O95218 P53367
P51608 Q9Y6B7
Q9UHP7 P86479
Q9H4P4 Q9NYQ3
Q8N6D5 Q9Y4J8
Q9UK39 Q9Y274
Q4KMX7 Q6ZRS4
O00241 P29558
O43633 Q8IZQ5
Q9Y2T3 Q9C056
Q8WVV5 P20155
Q6PKH6 Q5SQ80
Q9BWU0 A0A0B4J2D9
Q96DF8 Q08945
Q9H8K7 P21554
Q13445 P35637
Q8WXX5 O95167
Q5T7P8 O75871
Q8NBX0 Q717R9
Q8N3F0 Q9NSK0
Q69YU3 Q96M61
P05112 Q4J6C6
Q9NZK7 Q15223
Q2TBA0 A6NGY3
A6NFD8 Q6P1S2
P01857 Q16445
P60412 Q9Y4R7
Q9UNG2 Q96LJ7
P17181 Q14847
Q9BZJ6 O43692
P31269 Q6PHR2
Q5QGT7 Q9NRF8
Q6P280 Q8NC56
P49642 Q5HYR2
P50219 P61587
Q9NTX7 F5GYI3
P60022 P21452
Q9Y5S9 Q5TEZ5
P01009 Q5VT99
Q9UFP1 Q6RFH5
Q14974 A6NE82
Q9NX95 Q8IXZ3
A0A087WXS9 Q86YW0
Q86YD1 Q8TCD5
A6NMS3 Q86XS8
Q9HCU5 P27635
Q6P9H4 Q9BXV9
Q10586 Q5SGD2
Q8IX90 Q7Z444
Q9H0U3 Q6L8G8
Q16798 P18464
P16499 Q8WZ33
Q13432 P23280
Q14982 P20338
P40617 P10828
P36969 Q96CX6
Q8TCV5 Q9NY61
A6NJQ4 P20138
Q02410 Q8N2G6
O75031 A6NHQ2
Q6P5W5 Q9NX14
O75052 A6NKF1
Q14586 Q9UN81
O14904 E7ETH6
Q5TKA1 Q70EL3
Q8NH70 P27815
Q15526 P49959
O60636 O15467
P29016 Q9P1U0
Q96RI1 O00590
P27695 Q5T5X7
Q15390 P54105
Q8NFK1 Q7Z5H4
Q5VXJ0 Q5SNT2
P04217 Q9H343
Q96M61 Q69YU3
Q9H9L4 O14737
P32929 A6NNL5
O00253 Q9BTZ2
Q8TAP8 Q6UWB4
P62249 P54278
Q9Y3Y4 Q30KR1
Q53RY4 P53677
O75718 Q8NFN8
Q9NNZ6 Q8TF74
O95447 Q96AJ1
Q9BPU9 P58304
P43235 Q6NXP0
O75356 Q9BUB4
Q8TD06 O00116
P09001 Q6ZRC1
Q9Y2S2 P24278
Q96IW2 P62495
Q68CL5 Q3MIN7
Q8IW75 A6NGS2
Q13618 A0A1B0GUA7
P0DP91 P05161
Q9P242 Q5GH77
Q9BV35 P0DMU3
Q96IZ7 Q9NQ35
Q9BQ70 P43487
Q96C92 A0A0C4DH33
P29279 P25800
A4D0T7 O60907
Q6ZRF8 Q9NQN1
Q8WWZ8 A6NLX4
Q9BRT2 P07478
Q9H0I3 Q99952
Q8TAM6 Q9NSU2
O95183 Q6PIV7
Q9H305 Q8WV83
A0A0C4DH34 Q6ZS10
Q53ET0 Q7Z3Y9
Q14681 Q8N684
P02654 P24298
P0DJG4 Q9UI36
Q2TAL5 Q9NQZ6
Q9NXT0 P04808
Q6MZT1 P55289
Q8TBE9 Q96LX7
Q01064 Q96QR1
Q96IW2 A6NHX0
Q8IV32 P39905
Q7Z444 Q86TS7
Q15125 Q8N5I9
H0Y7S4 P22570
P31483 P22695
Q68DK7 O43852
O14503 Q8N2E6
Q495C1 Q86YR6
P53680 Q8N443
P48729 Q9H8K7
P08887 P40126
Q5T215 Q9UJM3
Q9UJ71 Q7Z353
Q8IY33 Q8WXA2
Q8WWY3 O43615
Q6PB30 Q8WUQ7
Q16658 Q9UHL0
Q5VT28 P0DMS9
Q8WYK2 Q9BYW1
P56178 Q6P2D0
O43914 Q5VTH2
Q96AW1 P09417
Q00537 Q9Y3U8
I6L899 Q96L03
Q00005 O95470
P32121 Q8TC76
Q96M78 P20151
Q14749 Q05315
Q9NUC0 O94941
Q8N300 P0C7N8
P19652 Q8IZA3
P62684 Q92783
Q96PI1 P09913
Q9BPZ7 Q5VXU3
Q92830 Q8WZA6
P80294 Q99747
Q99697 P51114
Q9NP77 Q6ZW76
Q6P444 Q93070
Q70CQ3 Q15427
P51504 Q9H3D4
Q8NGE1 Q15363
P25705 Q00059
Q6IE81 Q5W0N0
Q9H2Q1 Q2Y0W8
Q9BZJ6 Q6PGQ1
O00462 P30793
P14174 Q9HCT0
Q9Y4C2 P18440
Q9UHD4 Q9HC62
P48551 Q86WT6
Q8N307 Q5TZK3
Q15418 Q6T311
Q9NZC4 Q6PKX4
P48163 Q8TDX7
Q9NQ86 Q7L0Y3
Q9UI12 P59022
Q9UKJ1 Q9P2Y5
Q6X4T0 Q86YS7
Q9P2C4 P02100
Q7RTS6 Q9H4P4
Q9NYR8 Q6P1M0
Q8NEP7 Q9NZV6
Q8WVZ9 O95832
Q99643 Q9Y586
Q02556 Q96FL9
Q8IU60 Q495T6
Q9H503 Q8IXQ9
Q9NZS9 Q8N6W0
Q8WUP2 Q7RTU5
P12035 Q0D2H9
Q6PIY7 Q14863
P53805 Q9BZY9
P10075 Q9NPG2
Q9UN19 O15259
Q9H706 Q15699
Q07699 Q8NEP3
A4D2B8 Q92785
Q8IWD4 Q14242
Q6ZMU1 Q9C019
A8MZ26 P19086
P61960 P15421
Q9H0C5 Q7L1T6
Q8WV48 Q53GD3
Q8TCW7 Q9H1J5
Q6IA17 Q9H6E4
P52945 Q8WXA8
Q13438 O15273
Q8N8U3 Q9P0V9
Q9UBY0 P09211
Q6ZMT1 Q8N3X6
Q8N5C7 Q8N4V2
A4D1U4 Q9Y468
Q96SZ4 Q96A70
P51854 Q9Y6M1
Q8NEP9 Q8N9H6
Q9H4S2 Q8TB73
A8MWE9 P0DP04
B1AMM8 Q86YR7
Q16816 Q9UJW2
Q8NDV2 P34972
Q6ZS94 P0C629
P51513 P04085
Q8N535 Q9ULC0
Q14807 Q9HD64
P12273 Q9UMX3
O95925 A8MWA6
Q8N9E0 Q9NZV7
P20941 Q9BZP6
P20151 Q9UK45
Q9UI14 Q7Z6L0
Q9UNZ2 O15350
A8MV23 P55259
Q96AQ1 Q32MZ4
Q30134 P20036
Q96RI1 Q96RU3
Q9NPY3 Q8NGK0
Q9BWV3 P49643
O00631 Q5T7N3
Q9H693 Q9NVE7
Q96LJ8 A6NDG6
O95169 P03905
Q06141 Q9BS31
Q9NS39 P48788
Q8TAC1 P55042
Q8WUZ0 Q7Z5P4
Q12946 Q9NSI5
P61916 Q9H0C5
Q9NQN1 Q9C056
P30291 P0DN84
Q9UGY1 Q00987
P62750 P45984
O00161 P41279
Q16667 Q16774
Q96R84 P61566
Q99536 Q15464
Q6UXB2 O43914
Q92482 O43447
P16118 Q5H913
Q53H82 Q2TAL6
P53539 Q9NYJ1
Q9BVC3 Q4G0G5
P01112 Q9NQL2
P52803 Q14244
P21127 Q9UN36
B2RV13 Q5T9A4
Q8NI38 Q92928
Q96M91 Q9H1P6
O94864 P60413
Q5T699 Q9NWM0
Q9NR00 Q0IIN9
O14828 P47928
Q9UNE7 Q96NK8
Q9C0E8 O95294
Q9UK17 Q99504
Q16552 A6NLU5
P15104 Q9UQ88
P58499 Q15390
P58401 P09630
P30711 Q13191
Q8N1Q8 Q15493
Q9P127 Q96DA2
Q9Y473 O15460
Q6UXU4 Q9BUY5
P48723 Q68D42
Q9UKJ0 Q96KP1
Q6UWQ5 Q9H089
Q6ZT21 P22004
P79483 Q9BVG3
P56880 O00519
Q8NBX0 Q8TBE3
P21127 Q9BRP0
Q9NVA2 P01833
P14174 A8MZF0
A6NCM1 P52945
Q9P0S2 Q7Z6G3
Q96MV1 Q9NS73
O00559 P16189
Q8N4V1 Q6UXR4
O95716 Q9UBV4
Q7Z5Y7 P49802
Q96R54 P04035
P59665 Q6ZVQ6
Q8WW27 Q9Y2W6
A1KXE4 P0DJ07
O60269 Q9NPI7
Q01459 Q9H999
Q9UKD2 Q5R372
Q92748 O43869
Q8NGZ0 Q6P1X6
P32297 Q13470
Q92914 Q5JTB6
Q6U949 P37837
Q8TC76 Q9NX38
Q15649 Q8NB59
O43299 Q8IYX1
Q6P4F1 P82933
Q8NE63 Q9NWW9
P11686 Q6ZMU1
A8K0R7 Q9BW72
Q96II8 P14406
Q9HD15 P17482
Q6UX41 Q86WR7
Q9BZX4 Q6ZMM2
Q9BZR6 P51687
Q6ISS4 P22466
P40425 Q8IV32
A6NGS2 Q8IW75
Q9Y397 P07910
Q8IUI4 O60565
Q96N64 O15551
P55073 O96002
O43918 P62745
Q9NZU5 P55107
Q8N0Y5 Q7Z7H5
P30307 O76000
Q8NDW4 P0DMV0
Q9Y2T7 Q14002
Q7L8S5 Q8N7W2
Q9NSQ0 Q9H7L9
Q6PJE2 Q9P2J9
P09669 Q96A84
Q5VWG9 Q5JNZ5
Q9Y6N1 Q9H0F7
Q08AH3 Q07627
P61968 Q9Y5L2
Q7Z4Y8 P36959
Q05D32 Q6L8H1
A2RU67 A0A0B4J2F0
Q86TA1 Q5RGS3
Q99757 Q6ZMB0
Q6UN15 O14595
Q7Z6G3 Q7Z572
Q9UBM1 Q8IYM0
Q96SK2 Q8N4B4
P01892 Q9NPF7
Q2TAL5 Q6RSH7
Q8N8D7 Q6Q795
Q9NW81 Q96PE5
A0PJX2 Q6UXK2
P01730 Q53HV7
Q9BQB4 P18031
Q9BZP3 Q6NSI4
P25103 Q96CP7
Q13243 P24539
Q9BQJ4 Q8NER5
P13349 P80075
O14558 O96019
Q8IXH6 Q15572
P59539 P04196
P62312 P32745
P31323 P0DMR3
Q9BRA0 Q8TC20
Q99504 Q9UDV6
Q9BYX7 Q9BYT1
Q9BTT4 P62273
Q9Y5K8 Q9BPZ7
Q9NS61 A8MVU1
Q9BTY7 Q9BU70
Q9BUP3 Q9Y3Z3
Q8NFY9 P40121
Q53T94 Q5JXA9
Q8N945 P30510
Q9GZN6 A6NML5
P0DP58 C9J2P7
Q9HAS3 P30542
Q9HBG7 O43866
Q9NSC7 O60683
H3BRN8 Q93098
Q16515 P05093
P30542 Q9HAS3
P00439 A8MXZ3
P0DML2 P10082
P18463 Q8TCA0
Q8N3G9 Q8NHC7
P60228 Q86TJ5
Q9HBX9 A8MWK0
P07199 Q9Y661
Q9H5N1 P49286
Q96A83 Q9H477
Q9NSK7 P0DPA2
Q13145 Q8WVX3
O15444 Q86V97
P47755 P50406
A6NCJ1 Q9UMX9
P34925 Q15784
Q9BYD6 Q9H841
Q96EN9 Q13555
P32322 Q96HP4
Q8NHY5 P12273
O75446 Q96K62
Q9ULM6 A2CJ06
Q13571 P09661
P50583 Q6UY11
A8MXK1 Q9Y5I1
P31275 Q5VYV7
Q86VI4 Q8NEJ0
Q07507 Q86U06
Q8ND83 Q9NYW4
Q7Z692 Q86YQ8
A8MPY1 Q9HAY2
P22532 Q05823
O14862 O60602
Q8NAP8 Q9Y3M2
P19544 O14893
D6RBM5 Q5TBC7
Q9BRP0 O14682
P07947 O75953
P20382 Q96NT5
P17041 O43521
Q6EEV6 Q9BX40
O43716 Q13868
P28332 Q8IUC0
P09228 P78329
P68106 Q8N6N3
Q13239 Q8NGE5
Q8NA56 Q96LM5
Q9UN19 Q9NX57
Q6L8G8 Q14982
Q12815 C9JFL3
Q8TAU0 Q96FF7
Q99447 P55899
P01588 Q969T7
