P62258 Q9UKT5
Q96NL1 Q969F0
Q9NS00 Q96EU7
Q9H2G9 P84022
Q9H8Y8 Q12933
Q53EL6 P02649
Q6L8G9 P49901
Q99638 O60671
P11441 O43765
P60409 P62913
P30260 Q9UI95
P78358 O95231
Q92785 O95751
P60410 Q03014
Q8N3L3 Q96EV8
Q96EY1 Q9UJX0
Q9BVK6 P17706
Q9BUH8 P55040
Q02086 Q14192
O43741 P14920
Q9Y2D8 Q14240
O15297 Q00987
Q8IZU0 Q5JUK9
Q04864 Q86UV6
Q86VK4 P67870
Q96CD2 Q8N9Q2
A4D161 P49639
O75478 Q5W5X9
Q6PHW0 Q86WT6
Q9H1C4 Q96Q45
Q5PSV4 Q9UJV3
Q96CV9 P61026
Q16539 P28562
Q6PF18 Q9BRK4
P42574 Q00987
P35638 Q8N5M1
Q6PEW1 Q8ND90
Q9UJ70 P42773
P32121 P06396
P21917 P35368
Q99836 O00206
Q8NEG0 P60410
Q12846 Q9NZ43
Q6RW13 Q8IWE2
Q99750 Q9NWQ4
Q8N6L0 Q9P0N8
Q05329 Q15041
Q96JW4 Q9GZY8
P27348 P31946
Q9BRI3 Q9Y6M5
O95751 Q9H788
Q00536 O43829
Q8N8K9 Q96EZ8
P29972 Q8IX06
P63098 Q08209
O43521 P43364
Q7Z3C6 P60410
Q14232 Q96HA8
P86479 O43639
Q99543 P0C0S8
P35268 Q9H190
O60828 Q15691
P50222 Q9BYR0
P27361 P28562
Q04917 O94921
Q8N9N5 Q8TCE9
Q9NPE6 Q14656
Q8N6L0 Q969F0
Q13232 Q9UMX0
Q8IW19 Q13426
P31323 O43687
O15409 Q13526
Q8IYX7 O95429
Q9Y2Z0 P63208
O75886 Q99732
P40692 P15173
Q8TAP6 Q53HC0
P62834 Q8WWW0
P17022 P24863
Q8N9N5 P61968
Q14186 P61244
Q9Y2W2 Q9BUZ4
Q9UIH9 O43167
O75154 P62491
P29972 Q8IYA8
Q9BWX1 Q9Y2X8
Q99873 Q9Y3Y2
Q96HA8 Q13867
Q99471 Q13163
Q8IYK4 Q9UMX0
Q9Y5B8 Q04864
Q9NRQ2 Q9NSB4
Q9HB65 Q96JC9
Q08117 Q9H609
P20226 P20265
O75558 P50222
P60410 Q9BQ66
Q13191 P62837
P60370 Q8IYX0
Q68DV7 P62837
P09211 P30041
O60760 Q96B67
Q9NU19 Q13643
Q9H115 Q12846
O75558 Q2TBE0
P03372 P60763
Q01105 Q00987
P43365 Q14CZ7
Q9Y3C5 Q96J02
Q9NUX5 Q86WR7
Q15323 Q96MM6
Q14872 Q9BXS5
O75690 Q03014
Q96A72 Q08117
Q15025 Q70IA8
Q13158 Q15628
P17041 P60410
Q05516 Q9BYV2
Q92624 Q9UQ03
P26641 P29692
Q8N9W6 Q6P1W5
O00560 Q92688
P15173 Q96RK4
Q05516 Q6A162
P07510 O43597
Q15054 P49005
Q15038 P45974
Q12933 Q86SE9
Q13643 O15460
Q9GZZ9 Q9H0R8
Q9BYR0 P60410
Q9BSL1 Q9HCM9
Q9UHP6 Q9Y2T2
Q13547 Q13227
P02533 P13647
Q5T753 Q9BYQ3
Q9UJC3 Q8N0S2
P01189 Q8NI38
Q9NRD5 Q9HBH7
P50750 Q16543
P56748 Q8N205
Q96E35 Q9BRK4
Q9Y287 Q58DX5
Q8NEC7 Q96LA8
Q9H3R5 O14777
P60410 Q9BYE3
Q9BTK6 P03372
Q9NPJ6 Q8N8X9
Q96Q40 P08238
O14627 P25791
P61978 Q86XF7
P61978 P04637
Q9GZT8 P55210
P60412 O76003
O14879 Q16543
Q16594 P52294
P63208 Q8N3Y1
O00410 Q9H0R8
Q9NPA3 Q96MA6
Q8WXI8 P35609
Q9UHP3 P61956
A8MQ03 Q3LI66
Q96M63 Q07866
P98179 P61978
Q9NS37 P14621
P15884 Q96FN4
P40222 P50222
Q15645 Q9UBX5
Q13427 Q9UL42
Q5TZK3 Q6NT76
P14373 Q86Y33
Q9NXW9 P42568
O14503 Q16613
Q13526 P78563
P35638 Q6PJT7
Q53EZ4 O00560
Q06418 P60411
O75563 Q9Y2R2
O75385 Q9BXW4
Q9UMX0 Q96C03
Q8N8B7 Q6NT76
Q8TBK6 Q8IZU0
Q8NDP4 Q99750
O76003 Q9P2K3
Q9NTX7 Q8N6L0
P07510 P50222
Q13188 Q9H2L5
Q15843 P62913
Q99731 P98066
Q9GZM5 Q9BSR8
Q8N6Y0 Q96GM5
P01112 P10398
Q9BQI9 Q8N9N5
P63208 P41002
Q9NZ81 O15162
P14373 O95872
Q96HA8 P11908
Q8N5M4 O76011
O60936 P04637
Q08117 Q9H5Z6
O43390 Q5VWX1
Q5VU92 Q9NP31
P24941 P61024
O75688 P05161
Q92692 P60409
P37840 P49841
Q7Z3S9 Q5T5A8
O76081 Q9NQS3
Q8WXE1 Q9BW66
Q9Y5K5 O96006
Q99750 Q15583
Q9Y3B7 Q6NT76
Q06330 P04637
O00401 O00560
Q9NZL9 P31153
Q16666 P04637
P19784 Q8WV44
O43597 Q5T7P3
Q16548 Q8IZU0
Q15323 Q9Y223
P35250 P35249
Q6A162 Q5T7P8
Q68D86 O00560
Q8IX06 P29972
O15162 Q9NZ81
Q8IYX7 Q9UJX0
P43405 P11049
Q04206 P18847
Q92917 Q9BRD0
Q9BWG6 P60409
Q92905 P35372
O95931 Q99496
P02647 P02671
P31946 Q9P0K1
Q9UI14 Q14088
Q6RVD6 Q99750
Q96JM7 Q9Y4Z0
Q15554 Q9NYB0
Q99496 P35227
P17275 P15408
P22234 Q6ZVK8
O14744 Q9NQ92
Q8WVJ2 O14744
P27487 O14625
Q15560 Q12933
Q3KQV3 Q96EG3
Q8N423 Q86XS5
Q7Z6J4 Q53G59
O14910 Q7Z3S9
Q9NWS9 Q15327
Q15973 Q9Y2D8
Q8TD19 Q9BXW4
Q9BZR9 P51668
Q14919 P25791
Q9H257 P50222
Q6UX40 Q9NXB0
P60520 Q9NS23
P17544 P15408
Q9BYV2 Q8TBB1
O00635 Q9H8Y8
Q12846 Q96F15
Q6DKI2 O15162
Q16891 Q9GZM8
O00472 Q96JC9
Q9BYE3 P60410
P61964 P68431
P22303 Q9Y215
O43609 Q7Z6R9
Q9UL15 Q9BPY3
P26371 Q8IV04
Q13137 P32969
Q86UY5 Q9UPG8
Q5T7P3 Q5TA77
Q68D86 Q9BVV2
O94818 Q8IZU0
P12830 P62136
Q5JVL4 Q9NR46
Q7Z3S9 Q3MIX3
Q8NI60 Q8WW34
Q9H9L4 P61964
Q9UKT9 P11802
Q99418 Q8WWN9
Q8NHV1 Q9UG22
Q93062 Q96K80
Q99873 O43390
Q5VWX1 Q13330
Q8N9I9 Q9BUZ4
P15923 P17542
O43251 Q13554
Q13895 Q6A162
Q8WTP8 Q96PQ6
Q9BS34 P60370
Q13496 P17661
P25705 P63104
Q9Y468 P62805
Q8WUT4 O75031
O43309 Q9NWS9
Q9UMX0 P05408
Q7L190 O95751
P54105 Q6ZUT3
P14373 Q8TCE9
Q01094 Q14201
P15976 P49639
O43617 P0DI81
Q16637 Q14974
Q8NEU8 P51148
Q96LZ7 Q96DZ9
Q9H0R8 Q8TC07
Q6UWV2 O60487
Q96ED9 Q96IX9
P46108 P20774
O95273 Q8TBZ8
P45984 P15336
P62495 Q14145
Q969K4 Q13618
Q8N6Y0 P57105
A2VCK2 Q93062
Q6PEX3 Q15637
P26022 O00602
Q9H0A9 P40617
Q969H6 Q9C0F1
Q8IYX8 Q9BYV2
Q9UQM7 Q13557
Q8IZU0 Q9BSW7
O00560 Q9UJV3
O75444 O14867
Q9BQ89 O95751
O95994 P12104
P61088 Q13404
O76011 O76083
Q9H1P3 Q9P0L0
P24522 Q9Y371
Q9UKS6 Q9BY11
O43559 Q8NA61
Q15369 Q8N668
O75478 Q17RB0
O75689 Q92997
Q08AM6 P86479
Q8WYJ6 Q96GD4
Q04864 Q9UL33
Q06124 P20138
P11802 Q8N720
P38432 Q96HA8
Q9BYQ6 P26371
Q9NUL3 P19525
Q8WTS6 P68431
O94921 P27348
P49901 Q9BYR3
O43541 O95630
Q9Y5B8 A0MZ66
Q8N205 Q969F0
Q9Y228 Q9BTA9
Q99436 P28074
Q86VX2 O60826
Q9H0R8 Q9GZZ9
Q09470 Q9Y5U9
Q04864 P55957
Q92838 P26678
Q9NZI2 Q9NS61
Q8N9N5 Q96MN9
Q96GN5 Q8IUH5
P49755 Q92542
Q6A162 Q92982
Q9NP66 P49190
Q9NPI1 P04637
Q9NYB9 Q569H4
Q7Z3S9 Q8TCT0
P37268 O43889
Q7L3B6 P07900
Q8N9N5 O00233
P60409 Q14781
Q8WVJ9 Q99081
Q08117 Q9NPJ6
Q86Z20 Q3SY00
Q9GZX7 O60884
Q96LP2 Q6NUQ1
P19237 Q8ND90
Q8IVP5 Q96AG3
Q8NEA9 A1L429
Q6NX45 A1L4K1
Q8NDC4 O75330
Q9H9P5 P63000
Q9NVL1 O95231
P10636 P04156
Q13177 Q9H4E5
P25791 P60409
Q8IZL8 P61956
Q96AA8 Q9Y3B7
Q13643 Q9NU19
Q8TAP6 Q6P5X5
O94818 P56545
Q08E93 Q6A162
P07910 Q12929
P16333 Q15109
O76064 Q9Y3C0
Q06587 Q8N488
O95678 Q9UBL6
Q8NE01 Q9BYR7
Q8N3I7 Q15051
P35219 Q9UJY4
Q6NYC8 Q68D86
Q99750 Q8NE01
P41743 Q8ND90
Q9H8W4 Q15019
Q9NVN8 Q9HAT0
P60411 Q9Y223
Q9UI95 Q8TBB0
Q9NYB9 Q8IYA8
Q13643 A2RUH7
Q13137 Q15038
P19474 Q9BW85
Q96LA8 P52926
Q00987 P62829
Q9Y5A6 P60410
Q9Y262 Q9UBQ5
Q13323 Q16548
Q9H079 Q8TAU3
Q9BQD3 Q96CS2
Q8N0S2 Q9Y5B8
O76015 P02538
P50539 P60409
Q9UIV1 Q14106
Q13133 P28702
Q6A162 P02008
P28482 P53004
Q96PU8 Q93062
A8MQ03 Q9ULW2
P32242 Q5TA79
Q6A162 Q99757
Q9GZT8 Q9UHG0
P30279 P38936
Q9HCM9 Q8TBB1
O95793 Q9UKK6
Q9HC52 Q9BVG8
O15151 P62258
P67809 Q7Z6M2
Q9NSC5 Q9P2A4
Q96DC9 O15344
Q96HA8 P60709
O00401 O43639
P50222 Q5TA78
Q7L775 P50222
Q8WTP8 P60370
Q494U1 P14373
P04424 Q9BTE3
P68104 Q9NYA1
O14530 P43360
Q9UC07 Q9BW62
Q8IYX1 Q8N443
Q14990 P59991
P84022 O43524
P10916 Q99972
P43405 P06239
Q16643 Q9BSI4
O00560 O95983
Q9Y223 P60411
P50222 P60370
Q8IWZ5 P60411
Q99961 Q99963
Q9H6L4 P14373
Q9UF72 P32242
P63208 Q9UKT8
P12956 Q13426
Q5W5X9 Q9BYM8
P10276 Q15910
P17844 Q99717
Q9HA38 O75569
Q06587 Q9BYE7
P60411 Q16670
Q8IYX8 Q8IYR0
Q96C92 P26196
Q9NVV9 Q9UBU8
P26371 P48645
O00429 Q9NQG6
P62877 Q13617
P25791 Q13976
P0DJD3 P54274
Q8WV41 Q9Y5X1
Q6UVY6 O76003
O43602 Q8N1B4
Q8WV44 Q86UD4
Q7Z6G3 Q96MY7
O60341 Q9Y3C0
O00231 Q96LA8
P26885 Q9UMX0
Q16548 O43521
Q00534 Q16543
Q8NA54 Q8N0S2
Q7Z3S9 Q969U6
Q9Y2W2 Q49AR2
Q13137 Q13671
Q8TCE9 Q04864
O94829 P63279
Q9BQ66 Q7Z417
Q08117 Q13064
Q96BZ8 O75558
P98082 P84022
Q9HCE7 P61586
Q93034 Q9UBF6
O14818 P60900
P62306 Q9NSC5
P15884 O60573
Q96MH2 O43609
Q9UHV9 O94763
Q96F24 Q9UJX2
Q9H173 Q9UMX0
Q14344 P32302
P14373 P25800
P51116 Q15041
Q96DT7 Q9Y4Z0
Q96LM6 Q9NYG5
P41091 P20042
Q7L775 Q8N684
O43765 O75631
P21673 P22459
Q9UL42 Q96SQ5
Q8IYX8 Q9H257
Q9P015 Q59EK9
P26371 Q9BQ24
Q8NDB6 Q8WXE1
Q8N6L0 Q6P1J9
O95786 Q9H1Y0
Q16656 P24385
Q9Y2I2 Q9HBW1
Q13077 Q15555
Q8WWY3 Q8IUQ4
A8MQ03 O00180
Q96AQ6 Q9UBU8
P48023 P06241
O76064 Q9UL42
P62068 Q8TBZ3
Q9BV97 Q9UMX1
P22234 Q969R5
Q8WV44 Q9BS34
Q8IYA8 O75771
P04637 O75928
O14544 Q13480
O14920 Q9UGK3
Q9H1Q7 Q7Z3S9
Q96AQ9 P62760
Q6A162 Q8WUK0
Q9UMX0 P53816
Q86UD4 Q9NRD5
Q99757 O43805
Q92844 Q05519
P26045 Q9NPJ8
Q9Y5R4 Q9UJX2
P50052 P35625
P25440 P62805
P35222 Q9H6I2
P62993 Q06124
Q9BXN2 Q9BZL3
Q5SNT2 P50402
Q7L4P6 O15371
O43765 Q9NX94
Q92934 P04049
Q5TBC7 O00560
Q8NA61 O95147
P14373 Q96E35
Q8N5A5 O95751
P78358 Q9Y5R4
Q9UH03 Q14847
Q8N8R7 Q8N4G2
P04083 Q13546
Q96D03 Q9HB07
Q96A72 Q9Y5S9
O43318 Q9Y4K3
Q13177 P55210
Q8NA61 Q8IYX8
P31994 P01857
P60409 Q96GN5
Q13021 Q8N205
P57059 P63104
Q969H0 P01106
Q9NYB9 O43516
P18887 Q8IW19
Q8WU90 Q9Y295
Q8IXM6 Q96BA8
Q9P2F9 P60411
Q7Z3D6 P25788
P98179 Q5VWX1
Q13547 Q9Y5X4
Q96GS4 Q9Y2Q5
P35557 Q14397
P60410 Q7Z3C6
Q8TAU3 P60411
P98170 Q9Y4K3
Q8WU58 Q99471
Q3SYF9 O75553
P61457 P51116
Q8TAB5 Q01850
Q02930 P36406
O14879 P09493
Q6PF18 Q15645
P23769 Q13485
Q13618 P50591
P28562 P0CG47
Q12967 P01112
Q9BXU2 P62760
Q99613 P41567
P78345 O95707
P05412 P07437
P25791 Q9GZT8
Q86VS8 P50222
Q9UBU9 Q9UKK6
Q6P597 Q9P2A4
Q8WVF5 Q5JVL4
Q15311 Q13227
P16333 P98082
P27361 P14618
Q9NZZ3 O95630
P62318 Q9UK45
Q9BSI4 P54274
P55884 Q7L2H7
Q96GX9 Q9Y3Q8
Q8TAU3 Q9BRK4
P54274 P0DJD3
Q96EQ0 P36955
Q14061 O75880
Q99757 Q15555
P14373 Q969S2
Q9NS37 P17861
Q96GX9 Q8IYR0
Q8WXU2 O95166
Q3SYF9 Q08AM6
Q9NQL9 Q99750
P14136 Q9Y247
P50222 P60329
Q96PU8 Q96I24
Q05084 Q8WUD1
Q6RW13 Q9BQ24
Q96HB5 Q08117
Q92734 P33240
Q8N9N5 Q53FD0
O43395 O75940
P49639 Q9BYR5
Q9BVT8 O94905
P55072 P62993
A8MQ03 Q9BYE3
O00264 O76071
Q68D86 Q3B820
Q9Y3P9 Q9H0R8
P35609 P29373
P09012 Q96PV6
O95429 O75865
Q92731 Q12800
Q00013 Q9GZP9
Q15672 P15036
Q9Y5P6 Q8IVS8
Q7L775 Q9BV19
P78358 Q9H0W8
Q04864 A8MT69
O76083 O95817
Q9H0E2 Q96S55
P60410 Q9BZE9
Q15637 Q96I25
P50222 Q9UHH9
Q13077 Q14D33
Q8NI08 Q9H0R8
Q9GZM5 Q7Z3S9
P02671 P02647
Q9UIV1 Q9UKV8
P36897 P02750
Q9Y2D8 Q3KQV3
P22681 P46109
Q15834 Q16512
P56282 Q15691
Q15762 Q92692
Q92843 Q16611
O76015 Q8TAU3
P54274 P54829
Q59EK9 P61225
P60409 Q9Y3M9
Q9BYQ4 O76083
O95273 Q9BSJ6
O43597 P32242
P60411 Q8WWY3
A8MQ03 Q9BYQ0
P10415 Q13794
Q9UIH9 O43741
P15882 O43639
P21912 Q8IWL3
Q13188 Q9BXW4
O76081 Q6L8G9
Q9BYQ4 P49639
Q9NRD1 P63208
P15884 Q9H8Y8
Q9NYB9 O43281
P35249 P40937
Q9Y316 O75360
P62330 P21283
P21673 P55210
P55795 Q96DH6
P10415 Q9BXH1
P25788 Q9BUF7
Q9UJY4 P35219
Q5JVL4 Q8WVF5
Q9Y2V2 Q8ND90
Q03112 Q9UBK9
P36941 O43557
P62805 Q99873
P56279 Q08379
Q13155 Q96L14
Q3SY00 P78358
P19474 Q9HCM9
Q96ED9 Q9UII6
P04141 P32927
P35226 Q99496
Q15742 Q96BZ8
Q6RW13 P09429
P61086 P14635
Q8NA61 Q9BWG6
P60410 P60409
Q9H8Y8 Q502X0
Q9BZE4 P35240
P50222 Q6FI81
Q9UKT9 Q96EL3
Q9NP66 Q9H1X1
Q16568 P40199
Q9NXC2 Q7Z3S9
Q8N8B7 Q8NA61
Q08426 Q68D86
P61088 Q13489
Q96HT8 P25791
Q8WX92 P62993
P55210 Q9GZT8
P60409 Q08E93
Q9Y5U2 O00505
Q5BKY6 P59991
Q5VZM2 Q9HB90
Q15365 Q96NB3
Q6NT76 Q15906
P08238 Q16543
P50222 Q6L8G9
Q15323 Q9UBK9
Q8IZU0 Q8N883
Q9BYQ0 Q5T753
Q9BVG8 P20618
Q76N32 Q13363
P26371 Q969V3
P63010 Q5SW96
Q6P597 P15884
Q6A162 Q96LL4
Q13643 A0AVK6
P60409 Q96HC4
Q6A162 Q96KP6
P19013 Q9BYV2
O96017 Q15173
O14910 Q08379
Q9UH92 Q14498
Q13422 P25786
Q9NX47 Q969F0
Q9H9J2 Q9NYB9
Q8IWZ5 Q8NEZ2
Q5TAB7 Q8N6L0
Q9NRS4 Q9BSE2
Q01968 P61006
Q8IX15 P62993
Q9ULM2 O95273
O15347 P26367
Q8N0S2 P05783
Q9GZM7 Q93062
P50222 Q8N9N8
P14778 Q9Y4K3
Q9BU76 Q96MF2
Q92734 P50995
Q9H8Y8 Q96PV4
Q96S59 P49961
Q15528 Q9NVC6
P61964 Q03933
Q9H4Y5 P05549
P49760 P49761
P40424 P31314
Q04323 Q9Y263
Q99750 Q92692
Q15843 P61081
P40222 Q01850
Q96HT8 Q13895
Q9BQ89 Q6NUQ1
Q8IWE2 Q8WUD1
Q9BYR5 Q9NUL5
Q9UNE7 P31749
P78344 P20042
Q9NS91 P49459
O75683 P68400
Q9NPA5 Q14192
O75190 Q9HCU9
P59991 Q3LI66
Q99259 Q96DZ9
Q6ZUT1 Q14498
Q52MB2 P32969
P60410 Q9GZP9
P17028 Q8WWY3
Q969E8 Q9BVG8
Q8IYX8 Q8TAP4
Q9Y6K9 Q9UBF6
Q9BRK4 Q9ULW3
Q8NBI2 Q96GF1
Q9BXF9 Q12933
P63000 P41743
Q86WV6 P39656
P35244 P27694
Q9HB19 Q8TF65
O75164 P62805
P37198 Q71F23
P55345 Q15637
O14787 Q96GX9
Q96NS5 P16333
Q13588 Q93062
Q99719 P43356
P25815 P23297
P52292 P07910
Q14582 Q8TDR4
Q96BA8 Q9UGM5
O15481 P43361
P08754 Q9UGC6
Q969G2 Q6P4F2
P36405 Q13432
Q7Z3S9 Q9UGL9
Q96HA8 Q15631
Q7L5A3 Q9BUZ4
Q86X55 Q96PU8
Q8NHQ1 Q8NE31
Q9Y287 Q8N6L0
P14136 Q6NX45
P10398 Q3ZCQ8
Q7Z3S9 P17041
Q16543 Q96GD4
Q9H8W4 Q86SE8
Q12899 Q9NVV9
Q92956 O43557
Q16236 O60675
P60409 P57060
Q05397 Q9Y3E5
Q9GZQ8 Q15025
O75553 Q6DKI2
P60409 O43257
P43364 P42772
Q13416 Q15554
P06730 Q13541
Q8IYX7 P25791
Q96FJ2 Q8IYA8
Q14240 Q9Y2D8
P02008 Q6A162
P01275 Q12884
Q6P5X5 Q8TAP6
Q9NQT5 Q13868
Q9H257 Q3SY00
O95166 Q14596
Q96CV9 Q9UJX2
O43918 P68431
O75569 P19525
Q69YI7 O95416
Q8N8K9 P60520
O14645 Q8IUQ4
Q9NRA8 O60573
Q8IUQ4 Q9NRN7
Q8NHX9 O00165
P37198 P52292
Q9NX14 Q969F0
P42768 Q14247
Q66K41 Q9NVV9
P51617 Q86WV6
Q9H469 Q9HAU4
P24385 P30260
Q5VSY0 Q92993
Q9HD26 Q6ZSB9
Q7Z6I5 O14964
O95243 Q13158
Q70Z53 Q13123
Q13137 Q9NU19
Q5VWX1 Q14011
P62136 Q9H788
Q9H204 Q96HR3
Q9BQ66 P60411
P60411 Q8NA54
Q9UQ90 Q5VWX1
Q8WWW0 Q9BXW4
Q6ZVT0 Q99750
Q07817 Q07812
Q9UKG4 Q9BVK8
Q16348 P32242
Q9UJV3 Q9NPA3
Q96GX9 P24278
Q9UKT9 Q6PF18
P50402 Q8NHQ1
Q13188 Q8IZU0
Q8N488 P0CG48
P63279 P05549
Q08117 P26368
Q8WVJ9 P15923
Q9Y448 Q15691
Q96FQ7 Q8N6Y0
P40692 P62328
Q8IUD6 O75031
P15927 Q9UJW9
Q07627 Q9NWS9
Q07654 O43765
Q9UJ41 Q53FD0
Q92466 Q01094
Q08050 P24864
Q9Y534 P30153
P50225 O00204
P98170 Q96HA8
Q9BYN7 Q6IPU0
O76015 Q9BQ24
Q96MT8 Q99909
Q96M63 Q99757
Q8TAP4 Q8N6K7
Q96HA8 Q14749
Q9NPI6 Q96F86
Q9P0U4 Q15291
P10415 O15151
Q8IYI8 Q7Z3S9
O00459 Q96HT8
Q9C0F1 P51116
Q14525 P10606
Q8N4C7 Q9H115
O00716 Q96JM7
P84074 P0CG20
Q9H788 Q6A162
O00560 Q8N9Q2
Q99986 P38432
Q96LK0 Q68D86
Q8TBC4 O14732
O43167 Q99750
P61978 Q99873
P10721 O14796
Q9Y333 Q08117
Q96FV2 Q9BSI4
Q05193 P16333
P05062 Q8IWZ6
Q14847 Q9BRK4
Q96HR9 Q9NRS6
P50461 Q9Y281
P84022 Q8WW24
P29460 Q9NPF7
Q7Z7H3 Q6A162
O43623 P21673
Q71F23 P37198
Q96EV8 Q7Z4N8
Q99750 Q13526
P14373 Q96BZ8
Q9H0C1 Q8IXL7
Q9BTE3 Q13451
Q9Y605 Q9P2A4
Q7Z2X4 O43186
Q9UI36 Q9UBS8
Q15041 Q14088
Q9HAJ7 Q6NT76
Q99496 Q3KNV8
Q13162 Q15084
O60573 Q9BYV2
P07510 P60411
Q9BYD5 Q9UP95
Q9NZD8 Q9Y6K0
Q9BRI3 Q9NP84
Q969G2 Q5QP82
Q02790 Q92990
P04271 Q9NZD8
