P06730 Q9NRA8
Q8TD19 Q9H0R8
Q5T752 Q9BYQ3
P53816 P30153
Q9Y3M9 P60409
P49760 P49761
Q07021 Q15139
P07910 P78362
O60907 Q9BSI4
O95619 O75410
P12004 O95944
Q8IVP5 Q13596
O60826 Q9GZQ3
P60953 P42768
Q96G27 Q9NZC7
Q8IXL6 P02810
P62805 Q16576
P18509 P10909
P42773 Q00534
P57060 Q8IXK0
Q6L8H4 Q6L8H2
Q9BW27 Q96EE3
Q86UW9 Q6P1W5
Q8NEF3 Q6A162
Q13137 P62979
P0CG48 P54727
O43639 Q14919
A1L4K1 P29972
O75360 O95967
Q92934 O60238
Q96HC4 P60409
Q9NRQ5 O60238
Q6ZP80 Q8N205
O95760 Q01638
Q8TDH9 Q96EV8
Q68D86 Q96BZ8
P84022 P98082
Q7Z417 Q9BYS1
P48023 Q6A162
Q6AI12 P54725
O43617 A5PLN9
Q96LR2 P06753
P20042 P41091
Q8IY57 Q06587
O14948 Q9H1M4
Q71RC9 P53367
Q9P0T4 Q6NT76
O95352 P14316
Q8IZU0 Q14CZ7
Q5TA79 P50222
P0CG48 Q9NX47
Q07817 Q9H2V7
Q9BUZ4 P11441
O95229 O14777
Q96EB6 Q15466
Q6YFQ2 Q96NE9
Q9HBH7 Q9NRD5
Q9H0E2 O75553
Q6L8G9 O43597
P60412 Q02930
Q9NPG2 P48775
P54274 Q9BU76
Q92886 P15884
P25786 Q9H2G9
P22392 P50570
Q9H0R8 Q8TD19
Q13137 Q9Y3M9
Q9UJ41 Q9C0C6
A4D1E9 Q8ND90
P41227 Q9GZZ1
Q9UKT9 P25786
Q9UJ04 Q96JB5
P40855 P33897
O43829 P55081
Q8IYA8 P10606
P49770 Q96LT7
P00747 P02749
Q99750 Q14781
Q03405 P03950
O75379 Q9BXK5
P60410 Q8WWY3
Q15427 Q14498
Q8ND90 Q9NVL8
P62306 P38432
Q08117 Q13077
P04637 Q8TAQ5
P07948 P33993
Q9NRG4 P04637
P15884 Q16559
Q86TP1 P15531
P14373 Q8TAU3
Q6L8G9 O43184
Q96L14 Q8TAB5
Q16206 P09012
O00506 Q8IYA8
Q96LI6 O60248
Q9H0T7 Q9H6J7
Q99750 Q9H0I2
O95429 Q96M29
O43586 Q86YD7
Q14527 P61088
P04637 O15151
Q08AM6 Q8N1A6
Q13561 Q96GS4
Q8IX15 Q15013
P27986 Q8IZP0
Q9Y4H4 P50222
P42773 Q04864
Q9Y3Q8 Q13526
Q9BUZ4 Q7L5A3
Q86X95 Q8TAP6
Q8NCU1 Q9Y3C0
Q9NWH2 Q99942
O15160 Q8WXE1
Q70IA8 Q15025
Q04864 P06340
P16333 P10912
Q9NPI1 P04637
Q9NYP9 Q9NVV9
Q9BSI4 Q15554
P52597 O60504
Q53FD0 Q12933
P45983 P60953
Q14469 Q96EB6
P48023 P16333
P27487 Q07325
Q99814 Q9BWF3
P14618 Q9BSI4
Q01543 O94993
P62081 O43829
P15502 P28300
Q9NX04 Q8N1B4
Q8N205 Q9NWD8
Q9H6I2 P35222
O75391 Q9BS40
Q92569 Q9NP31
P55072 P24278
Q8IZU0 Q96RJ6
Q9NP55 O00241
P07910 O00505
Q8N6I1 Q96D98
O15350 Q13950
Q9Y2J4 P17980
Q9BXA6 P08238
P0DJD3 Q96PQ6
P61586 Q8IW93
P60410 Q6IB77
P10082 P25929
P49247 P22061
P04049 Q13177
Q9NRD5 Q9NP66
P60409 Q8NA54
Q8TAD8 P49760
Q15014 Q9UL42
Q53GI3 P49760
Q13137 Q9P0T4
Q0D2H9 P50222
P05813 Q93062
Q8WTR4 Q8IUQ4
P60410 Q9BYE3
P56817 Q14254
Q9UKJ5 Q9H8W4
Q9UBB9 Q8NA92
Q6UWE0 P61088
Q2MKA7 Q9ULT6
P05412 Q13330
Q8TAP6 P10827
Q8NC69 Q08AF8
O95202 P25788
Q3LI76 Q3LI66
P46937 Q15561
Q9Y6K9 Q15025
Q9UEU0 Q5T700
Q14240 P04792
O14965 Q9ULW0
Q9BYR9 A8MQ03
P61457 P05067
P60412 O43597
Q5T4B2 P49639
O95999 P31749
P50226 Q9GZT8
Q7LG56 O43929
Q5JST6 Q13882
O60516 P15927
O14503 Q9H4E5
Q8WUP2 Q8TAP4
P05412 P56279
P50222 Q9H0R4
Q86WT6 Q96S90
Q6A162 Q14533
P62993 Q8N1K5
Q16543 P04049
Q8IUC1 Q08117
P15173 O75409
O43639 P42768
Q92769 Q9UIS9
Q9Y2D8 Q16385
Q6P1W5 Q92567
Q719H9 Q96SI1
O95273 Q9NV31
Q9BQ89 P15884
P26717 O43914
O95429 Q9GZM7
Q96MY1 P56545
Q969U6 Q9BYQ2
Q08117 O15119
O75063 P07585
Q96GS4 Q13561
O95166 Q9UPU7
P48668 Q9BYV2
Q5T754 Q9BYQ3
Q8IUQ4 Q2TAL8
Q6RW13 P54886
O95402 Q96JC9
Q92569 Q96R05
Q96EB6 P01106
Q14011 Q5VWX1
Q9H1K1 P37198
Q6PL24 Q96HR9
P48551 Q00978
O95863 O60341
Q9H0R8 Q86V97
Q96DZ9 P02647
Q9NQL9 Q8TF42
Q9ULZ2 Q96B97
Q96P16 O00505
Q96HB5 Q15323
Q8IVD9 Q8NBE8
Q13895 Q9C0F1
P60709 P37802
P55040 P60409
P62195 Q96BD8
Q13480 P07948
P52294 Q5TAQ9
Q8TAD8 P01106
Q99757 P61289
Q9NUX5 Q03426
Q8N6Y0 Q9NV31
Q8IYF3 Q96FH0
Q13501 Q15038
Q9Y2Q3 O95273
A1L3X4 P60370
P28065 Q99436
Q6ZVN8 Q8IU80
Q9BQ66 Q09FC8
Q08117 Q8IX15
Q92993 Q8N8E2
P32246 Q04941
Q9NS23 P01112
Q93062 Q15038
Q5T681 Q99750
Q8WWY3 Q13137
P04049 P31947
O15151 P10415
P30613 Q9UBL6
O43502 O75771
Q9BQE9 P43360
Q96BD8 P62195
P52292 P07910
P36406 Q9UBY9
Q92934 Q07817
P17655 P04632
Q8TDR0 P78552
Q9BSE4 P55061
P49639 P60370
Q08117 Q8WV44
Q96AY2 Q96NY9
P13693 P13010
Q99638 O60671
Q9UF72 P32242
Q9NWQ4 Q6A162
Q8N8K9 P29972
Q9NWT1 P50222
Q04864 Q9UBU8
Q7KZI7 P61981
P14316 P16298
Q6P2D0 O75360
Q5T7P3 Q9BYR7
Q9UKJ5 Q7Z3S9
Q8TBK6 Q8N7W2
Q9H079 Q9UBU9
P49368 P04049
Q96CD2 Q13427
Q96KM6 Q13643
P57086 P49910
Q9BSI4 Q8IV38
Q7Z6G3 O00560
Q9UBI4 Q969H0
P51451 B2RXF5
Q86Y79 Q8IZU0
Q7Z3S9 Q8IWZ5
P09917 P50221
P60370 Q7Z3I7
Q04759 O76003
Q12893 Q8N205
P07992 Q9H9H4
Q12846 P23763
Q9Y333 P43360
P49715 P24001
P63313 Q9NUX5
P15884 Q9UI95
Q9BSE2 Q9NS64
Q13123 Q8TAD8
P17020 Q0VD86
Q969L4 P62310
Q9UII6 Q96ED9
Q9Y3C5 P62837
Q02930 Q9BZW7
P13647 P19012
O43293 Q8TDR4
O43765 P10124
Q15555 Q15691
P50222 Q6KB66
P15408 P17275
P25208 Q14919
P78362 P49760
Q9H257 Q96PV4
P28482 Q15256
Q2I0M5 Q9Y3S2
Q9BRK4 P55040
P20226 Q00403
Q8ND90 Q9H0I2
Q14596 Q9BXW4
Q96EL3 Q9UKT9
Q9BQS6 P63172
O75427 Q7Z3S9
P21673 Q8NDB6
P49427 Q13616
P35249 P40937
P02741 Q96IJ6
Q8TBB1 Q96CG3
P38432 Q9Y295
Q05655 P24001
Q9UBU8 Q12800
P49810 Q9BQ95
Q9GZT8 P55210
Q8TBB1 Q8IZU0
Q8NEA9 Q9UEU5
P04196 Q96PM5
Q99757 O43805
O75716 P60409
O75131 Q9BSI4
P60410 Q9H2X0
Q16637 P38432
P52758 Q8N9N5
P67809 Q07021
P52294 Q16594
Q8N1F1 Q93062
Q13137 Q9NQT4
Q9UJX2 Q96PV4
P60370 O43167
P19012 Q53TS8
Q9UHA4 Q8NBW4
Q08117 P54646
Q92844 Q13114
Q9BW66 Q04864
Q13111 P83916
Q06609 P04637
Q8NFF5 Q04864
Q9NYF3 P31947
O95166 Q13501
Q9UNI6 P55010
Q7L273 P78560
Q9H788 Q9UJU6
P27361 Q15349
Q13596 Q96HR9
Q9BYQ0 P26371
Q9UMX0 Q6ISS4
Q9NWC5 O75360
Q15759 P04637
P0CW20 Q8NEA9
Q96NL3 Q9GZM8
P50222 Q719I0
Q9UER7 Q8N726
Q5JR98 P36873
Q01664 Q96B26
P60409 Q6UXX9
Q92831 Q9Y5W3
Q9Y383 Q13247
Q96HE7 P07237
Q9BSI4 Q7Z2X7
Q96MP8 Q9GZT8
Q9UQR0 P38936
Q96GV9 Q13077
P0CG48 Q15717
Q9NR77 P40855
Q04864 Q8TAU3
P25786 Q8NHQ1
O43447 P98170
Q96HT8 P25791
Q8WXI9 Q8NHQ1
Q9H0R8 Q13137
Q96E40 P60370
P0CG20 O43186
O76036 P08670
P26641 Q969Q1
Q06830 P10275
Q9UBE8 Q6L8G9
Q15906 Q9Y265
P51959 Q8NA61
Q01968 P20340
Q19T08 O14818
P31948 P53041
Q15311 Q86XR8
Q12800 Q9UBU8
P10412 Q9Y468
P17661 P08670
Q02930 Q701N4
Q8ND90 Q06250
Q16186 P54727
P42685 Q15427
O43583 Q9NX47
Q96K80 Q96LM6
O76036 P27918
Q6A162 Q8NI38
P50222 P11473
Q96SB4 P04637
O00241 O75553
Q9BRU9 P36406
P18848 P49715
P26371 Q6ZNA4
P60953 Q96L34
P21673 Q9BUL9
Q3YEC7 Q99750
Q12933 P20333
P36404 Q13432
Q9UK58 Q92624
P09651 Q9UHD9
Q9NQZ6 O60504
Q92734 P86480
P14868 Q13155
Q9NZN9 Q9Y5A7
Q9H0I2 Q92569
P26196 Q96F86
Q9HAC8 Q9Y2X8
Q07654 P61457
Q9GZM8 Q6NX49
Q13643 Q96EK9
Q9Y250 P61968
Q13188 Q9H2L5
Q8WYN0 Q8IVW4
P34741 P18827
O95183 O14662
Q99750 P17482
O75716 Q8HWS3
Q9BZE9 P15884
Q93062 Q8N9W6
Q9NYB0 O14604
Q9NW38 Q9Y2D8
Q96BR9 Q96HA8
P01579 P15260
Q96BR9 P54725
P43360 Q9BQE9
O14893 Q16637
Q6UXG3 P60411
Q9UL45 Q8TDH9
Q9Y2T4 P67775
P63208 Q9Y2Z0
P32242 Q5T749
Q9GZZ9 Q9BXW4
O15535 P78362
Q9NNX1 Q92993
P04792 P78318
Q8NA61 Q9P0T4
P04049 P63104
Q16775 Q9NYB0
O43609 Q9Y3S2
Q9BYR5 Q13895
Q7Z6J4 Q8WW34
Q13177 O60504
Q15323 Q9P2A4
Q14847 Q15645
Q8WY64 Q8WWW0
P38936 P12004
Q9UIS9 Q13547
Q9NW38 Q9NX63
Q9UJX2 Q9HAB3
Q96LC9 Q04864
Q9Y2Q3 Q8IZU0
Q8TBB1 P0DJD3
Q96B26 Q15560
P03372 Q03989
Q9HAT8 Q6ZS10
Q13485 P98177
Q5BN46 Q13643
Q13490 Q96CJ1
O95999 Q9UDY8
Q96DZ9 P30405
P60410 Q9UBK9
P07306 Q96G23
Q9NZD8 P60891
Q8N668 Q9UBI1
Q9BYR7 Q6PEX3
Q9BSI4 O60936
Q15323 P00540
Q9Y2W2 Q15365
Q9NYB9 Q5HYW2
O43609 P50222
Q13228 Q15645
Q08379 O14910
O75955 Q14254
P06493 O15392
Q13077 P23769
P23528 P63261
Q96HT8 Q9HAC8
Q8IYA8 O00506
Q99909 Q8TD10
Q7L5D6 O43681
Q14192 O43699
Q7Z3S9 P52797
Q9NWN3 Q99750
Q9NZC9 P15927
P40617 Q2TAC2
Q9Y265 O95905
Q9UKT9 Q9H6L4
P25963 P25098
Q7Z7H8 P35609
P61326 Q9BZI7
O43765 O95816
Q04864 Q96Q77
Q9UJU2 P35222
Q53EZ4 Q9P2K3
Q9UBF1 Q16385
Q5T700 P21145
Q8ND90 P48146
P61073 Q04900
O43805 O00560
P61764 O75558
P07195 Q93050
Q8TC90 Q6A162
Q00987 P04637
Q9H2F3 P60409
P49716 P53567
Q9BYV2 Q8N6Y0
Q96RI1 Q8WTS6
P29972 Q7L273
P25786 Q13422
O15156 Q15014
Q96GD4 O75410
Q9H0I2 Q9BYV2
Q9NZC7 Q96MT4
P07711 O43765
P60409 Q5T6M2
O95407 O95150
Q86YP4 Q6A162
P49639 Q9UGC6
Q8N5Z5 Q8NAE3
Q9P0N9 O43805
O95931 P35226
P09914 P09913
Q969K3 Q92624
Q92630 Q9NR20
Q9BQ66 P60410
P49590 Q6RW13
Q14525 Q5XKE5
O43586 Q05209
O15162 Q01844
Q12899 Q08117
O75771 Q6NVH7
Q9P2A4 Q9BVL2
P25208 P23511
Q9UJ70 Q8TBB1
Q5TA76 P60410
Q6A162 Q96NT3
Q9Y4L5 Q969T4
Q9BQ70 P21673
Q16670 P60372
Q8TF42 Q9NQL9
Q01850 Q969G3
Q08AM6 Q8WXK3
P15976 O43741
Q9UMX0 P80098
Q06520 P40763
P18847 P53567
P14373 Q6ZVT0
Q5T754 Q6L8G9
P61088 Q96FW1
P14618 P04049
P63104 P46937
Q6L8G9 A8MQ03
P60484 O43791
Q9NRQ2 Q7Z3S9
Q5D1E8 Q7Z4N8
Q15323 Q969U6
Q8N0U6 P50458
Q12933 O75604
P62258 Q86Z20
P21554 P28223
Q15007 Q9HCE5
Q92530 Q9NWB1
Q13618 P50591
P61978 P55064
Q92997 Q9NQZ2
Q13547 O95983
O75771 O43502
Q96H72 Q04864
Q9GZT8 Q9UHA4
Q92988 P08047
Q14593 P60370
Q9NPJ8 P26045
Q6EMK4 Q2TAL6
Q9BW62 Q8IUQ4
Q53TS8 P19012
A5D8V6 Q9Y6A5
Q12933 Q9UKG1
O15049 Q6P9H4
Q92731 O95273
Q07820 Q03135
Q15560 Q9BRK4
Q5TZK3 Q9BRK4
Q96HH9 Q9UJ71
Q96QF0 Q8TBN0
P98179 P38159
Q86SX6 Q8IWL3
P24863 Q96AQ6
P23771 O15379
Q05513 P40337
P12956 Q07812
Q0VD86 Q93062
P61758 Q9NQP4
Q9NZD4 Q9Y2B5
O75398 P42771
Q96LK0 O43829
O60504 Q3SY00
Q9BSI4 O95817
Q9NX38 Q8IY42
O14613 Q9NRD5
Q96QF0 O95716
P02008 P02100
P62837 Q9Y3C5
Q13077 Q9BWG6
P05412 P15408
P60409 Q9BWG6
P13984 P46776
Q99750 P17014
Q14938 Q8N883
Q99750 Q8TAI1
Q969E8 P60520
Q9Y2Z0 P08238
Q969V3 P26371
P49901 P60412
Q9UJX6 Q16763
Q53H80 Q9NZD8
Q9NRQ2 Q15645
Q8ND90 Q9P0T4
P60410 Q14657
Q9UBW8 Q9UNS2
Q96GN5 P60409
Q9BWG6 P50222
Q96NJ6 P13994
Q96IF1 P31947
Q9NR81 Q8NHQ1
P14635 P06493
Q99081 P30626
P17482 P26371
Q9BRV8 P78358
Q96CS2 P53365
P17275 Q8N1L9
P32242 Q9BYQ3
Q9UBC3 P63165
Q6P1W5 Q9H257
Q5VWX1 Q03014
P32243 P35680
Q9NQ50 Q15323
P14373 Q86UY5
Q8TAP6 Q8TEB7
P50222 Q12805
P46952 Q99259
P02533 P13647
P09104 Q9BSI4
P27487 P19875
P26368 P78362
P50750 P07900
Q6P1L5 Q96FJ2
Q8ND90 Q8IWZ5
Q07002 Q6A162
Q9BQD3 O00471
Q6VB84 Q6ZRY4
Q8TAB5 Q13287
Q8N7W2 Q969R5
P35754 Q9BVG3
P12955 P54274
P50222 P60410
Q9BRS2 O14744
Q8IWE4 Q13618
Q8N6M9 Q9NWF9
O75360 Q6P597
Q9BXY8 Q13137
P68431 Q8WUP2
Q6A162 P57060
Q8NEA9 Q13070
Q9H0Q3 Q96BA8
P60409 Q6P087
P38159 P61978
Q6P597 O75558
P10644 O43687
Q13077 P35452
Q12798 Q8NA72
O75886 A5D8V6
Q92993 O43261
Q15041 Q9NZD8
Q9Y2D8 Q9BWG6
Q5W5X9 Q96PV4
Q9H190 Q8N9E0
Q9P0U1 Q9NS69
Q01850 Q9NU19
Q6RSH7 Q93062
Q8IXK0 Q9H0A9
P25103 P20366
P09105 P02042
Q13875 P60370
P43360 Q5SQN1
Q9BYV2 P78560
Q6ZRY4 Q93062
Q8WTP8 Q96PQ6
Q86YD7 O43829
Q99750 Q9BS34
P03372 Q99966
Q6UX98 P15884
P0CG47 Q9UJ41
P50542 P21549
P61328 Q9BRK4
Q96HA8 Q719H9
Q8N6L0 O95954
Q9H4E7 Q8IX15
Q8IZS5 Q99873
Q06587 P35226
Q96GF1 Q9BWQ6
Q3KQV3 Q9Y2D8
P07195 P00338
Q96LJ7 P60410
Q93062 Q8N9N5
O60260 Q16342
Q9Y6Z4 Q9BYR7
Q96B86 P12643
O75177 Q8NDC0
Q9P0T4 Q8ND90
Q8WUK0 P14373
P58753 P51617
Q8N6L0 Q9NRQ5
O43609 P32242
Q9UGL9 B2RUY7
Q9H8Y8 P11926
Q8IZU0 Q14241
Q5W150 Q15654
Q12846 P50402
O95273 Q07002
Q14161 Q15631
Q92759 Q6ZYL4
Q9BUZ4 P17036
Q6L8G9 P50222
Q96G23 P27449
O95363 Q6RW13
P29972 Q8IX06
Q8IUH5 Q9NP61
Q96MT8 Q86XR8
O95231 Q9Y458
P60411 Q5TA79
P61289 Q8WVP5
Q92882 O00560
P01189 O75031
Q9UKT9 P25800
Q96NT3 P60409
P38432 Q03393
Q96M91 Q9Y3M2
Q15973 P60409
Q96MT8 Q92844
P26371 P20155
P78362 Q86U06
Q6E0U4 P11021
Q9P242 Q8NDC4
P54619 Q13131
Q14192 Q9NPI6
Q5TZK3 Q92979
P48047 Q8ND90
Q92558 Q15642
Q8NDC0 Q6P1W5
P60410 P22301
Q07325 Q8N6L0
O15160 P15531
Q9Y586 Q8ND90
Q6RW13 Q8N612
Q8N1B4 Q15653
Q5JVS0 O60506
P49407 Q14978
Q96MX6 Q9H6T3
Q9BZW7 Q86VK4
P54253 P53990
P50402 Q8IWZ5
Q15041 P51116
Q13077 Q9NVL8
P28070 A1L4K1
P09038 P26022
Q9NU39 Q3LI66
P57086 O14978
P62258 Q9UKT5
Q9BYV2 Q68D86
Q9NP70 Q8IXL6
Q8IYI6 Q15323
Q86YD7 Q96BR9
P31146 A1L4K1
Q7L2H7 O15372
Q9BW85 Q12800
Q96EE3 P55735
P38432 P61289
O00471 P83876
Q15742 Q9Y5B8
Q9Y3B7 Q9NVV9
Q15084 Q13162
P43626 P30501
Q9BXY8 Q8IWZ5
Q8N5M1 P36406
Q9UMX2 Q6P1W5
Q13501 P41743
Q13547 Q92841
P07101 P29762
Q8IX15 Q9UH73
P14598 P60709
Q8IYX8 P09917
O14770 O43482
P57075 Q9BZR9
P17482 Q8ND90
P60520 Q13043
Q16576 Q9Y5X4
Q92890 P55072
Q05084 Q8IWP9
P17022 Q9NWS9
Q969S2 P14373
P57739 Q7Z3S9
Q6IPU0 Q8IYF3
Q8TBZ8 P36406
Q9BSJ6 Q12800
P00797 P01019
P63165 P06730
Q9HCU9 Q13287
Q8N205 Q9ULW3
Q96CS2 Q9NPJ6
P63279 Q8WWZ3
P31749 Q00987
Q3LI76 Q5T4B2
P43115 P60410
Q9C005 Q8IXM2
Q96PC3 Q6PD74
P10599 P32119
Q9Y5Q3 O14867
O95999 P20749
P62995 Q15415
Q9Y4Z0 O15116
P43364 P20809
Q8IUQ4 Q86WX3
Q719H9 P25786
Q96PM5 Q969F2
Q4V328 P51946
Q3LI66 P27918
P30281 Q00535
P51671 P27487
Q96HZ7 Q8IZU0
Q9HAT8 Q9NWZ3
Q9BQ66 O14633
P49761 Q9BSI4
Q12815 Q15323
Q9UMX0 Q9NRR5
P10809 O76081
Q6RW13 Q99909
Q9NQ50 Q7Z3S9
O15344 Q96DC9
P56748 Q8N6L0
Q9Y2X8 Q86XT4
Q13077 Q08117
Q9NRJ3 P25788
Q9H9L4 P61964
P50221 Q99932
P60371 Q8TAD8
Q9UIH9 P52597
P38936 Q99741
Q9UMX2 Q9UKT9
Q01850 Q53TS8
Q9HAC8 Q9HCM9
Q8WWY3 Q9Y2D8
Q9GZV8 O43439
P24592 Q9UHD9
Q8WWZ3 P63279
O14503 Q86UY5
P00973 O00471
Q15113 P05067
Q13049 P61088
O14933 O95376
Q15645 P30039
Q8N3L3 Q8WUE5
Q92688 P52294
P60411 Q06250
O75558 Q8TAU3
Q96DZ9 O60664
Q8IVD9 Q6PID8
P60709 P63104
P07900 Q96G23
P63279 P56524
P08631 Q7Z3S9
P60409 Q7Z7H3
Q6NYC1 Q01081
P10599 Q9NZD8
Q8TAU3 Q13643
Q9BYQ4 Q5T753
Q8TCT0 Q7Z3S9
Q96AP0 Q9BSI4
O43464 P98170
Q96NT3 Q96IV0
O95967 Q9BQY4
Q15014 Q8IXK0
Q5VZM2 Q8NBW4
Q13554 P60412
Q13069 Q8NEA9
Q6A162 Q14CN4
P07355 P40692
Q9H257 Q6P1W5
P49450 P49736
Q9BQ66 Q9NUL5
P05787 P05783
Q9BVL2 Q7Z3B4
O95721 O43752
Q15654 Q86UW9
P10398 O95848
Q9Y2Q5 Q8NBW4
Q9ULS6 Q969F0
O75558 Q2TBE0
O75716 Q9UKT9
Q06547 Q06546
Q13526 O76015
Q15906 Q99750
O75928 Q96HD9
P49247 Q96HA8
P41222 P60409
P25791 Q63ZY3
P36406 Q96IX9
Q15041 Q96E29
Q2TAL8 O43186
Q06520 O43704
Q9NZ81 Q9H190
Q9UL42 O76064
Q9H8Y8 Q16555
O95817 Q9BSI4
Q08AG5 Q9GZM8
P14373 Q9GZT8
Q8N6Y0 P07992
O43809 Q08379
P84243 P49321
P26599 Q96PU8
Q969L2 P53365
Q86TG1 Q7Z3S9
O43741 Q9Y5V3
Q9P2A4 Q15323
P04004 Q9HD26
P08238 Q9UKT8
Q5TA82 P60370
P63010 Q99757
Q99633 O43447
Q08AM6 Q8N8B7
Q15109 P16333
Q15466 O00482
P57739 Q15323
Q14515 Q99972
O43765 Q96K19
Q9BW04 Q14919
Q00987 P78352
P12236 Q13077
P09017 P49761
Q8IWZ5 Q9BYR5
P07550 P32121
Q9BXY8 P14373
Q5TA81 Q5T753
Q93062 Q86UW9
Q13480 Q92569
Q9BT43 Q12800
Q9BZL3 P54849
Q8N0Z6 Q13557
Q13526 Q13342
Q7LG56 Q00987
Q7LBR1 O95630
Q9BQ66 P50222
Q96CS2 Q9Y3C0
P31431 O75056
Q13137 Q14D33
Q99459 Q0D2H9
Q9UBU9 O95751
Q9UJX2 O14791
P26367 O95872
P50222 Q96NC0
Q9Y4H4 P78358
P49789 P10809
O95273 P40306
P40763 Q8TAE8
Q8WWR8 P15884
O75360 P35219
P01137 P36897
Q5JVF3 P60896
Q9H204 P62993
Q9H8W4 Q6UXX9
O43687 Q8TAP6
Q96NE9 Q13422
Q7Z3S9 Q8TBN0
Q15040 Q7Z3S9
Q5TZK3 Q6A162
Q96RL1 Q6UWZ7
Q9H0R8 Q8WYN0
Q9UJX2 Q96CV9
Q96FW1 Q9Y2X8
Q0VDD7 P60900
O75143 Q9H0R8
O15062 O43602
Q13137 Q9H7H0
P0CG48 Q13887
Q9UKG1 O15379
P78362 Q8WVK2
Q8TBB1 Q9HC98
O43184 Q6L8G9
O43463 Q9BS34
Q9H0N5 P43364
Q9Y5B8 P15884
Q9BXY8 Q9GZV8
Q53EZ4 Q15014
Q9NZD8 Q8IWE2
P43628 P04222
O43257 Q9GZN1
Q8ND90 Q9BYG5
P61968 O76064
P31946 P26045
Q8TAA9 O43889
Q5T124 P25786
Q04864 Q8N668
P78543 Q9UIV1
Q96SQ5 Q96EG3
Q9Y4H4 O75031
Q08334 Q9GZX6
Q9H6Z9 Q6PF05
Q13177 P16333
P60329 Q8WW32
P60411 Q8IWZ5
Q70Z53 Q12852
O60636 P62993
Q13363 Q76N32
O14777 Q9HBM1
Q5TCM9 P60328
P62258 Q9Y3M2
O75031 Q8IUD6
P60370 Q5BKY6
Q12933 Q9Y4K3
