Q12192 Q08986
P53823 P49435
Q00711 P49435
Q03957 P39515
P50091 P21339
P27796 P04912
Q06651 P33301
Q03162 P40968
P53253 P34160
P54837 P33418
P36121 P35193
Q12102 P33204
Q01329 P28834
Q04121 P20448
Q03784 P38523
Q06224 P32599
P38883 P20134
Q99382 P48562
Q04067 P38084
Q08004 P53388
P53886 P53061
P25558 P22214
P32349 P14906
Q12432 P38113
P40356 P13856
P39113 P25298
Q06554 P13663
P25301 P20437
Q04149 P32829
P40438 P38850
Q12309 Q03920
Q02100 P43602
P39073 P32641
Q06178 P43560
P08539 P06784
P89105 P32324
Q01080 P35728
P13259 P00445
P40204 P14908
P40032 P06782
P31244 P10863
Q08732 P38302
Q03919 P06838
P50104 P38315
Q99382 P19454
P38776 P32336
Q02939 P25344
P54837 P32597
Q02208 P24867
P53203 P23641
P53209 P01120
P80667 P53116
P20676 P18961
P40970 P36049
P53959 P23202
Q07471 P47052
P40413 P40355
Q04847 P25390
P11747 P00854
Q06142 P38298
P43560 P33421
Q99189 P53740
P53893 P39011
Q12129 P87108
P47167 P41808
P80428 P30657
P47090 P43561
Q08553 P38881
P87108 P38727
P53116 P38821
P43321 P23337
Q08965 P39735
Q08749 P40693
Q02574 P39515
P38302 P12294
P39107 P31378
Q06411 P39101
Q03944 P06839
P38811 P22007
P17442 P11076
Q05022 P48439
P29468 P04821
P43594 P15992
Q04675 P43682
Q06632 P40970
P40094 P26755
P53108 P39081
P53163 P52960
P38883 P36100
Q08972 P21827
Q08562 P39960
P35177 P22204
Q03323 Q02892
P21657 P01123
Q12060 Q02931
Q06451 P34218
P25344 P15367
P22213 P21651
P43603 P08539
P48510 P32802
P38072 P36094
Q02794 P32561
P36168 P19097
P40327 P32341
Q05027 P53100
P54791 P11154
P36125 P27895
P52917 P34160
Q12390 P53115
P53952 P41921
P40314 P32558
Q06640 P53823
P48837 P40527
Q08949 Q08271
P53973 P38152
P38904 P34162
Q08685 P39079
Q06091 P40527
Q04660 P34241
Q12527 P20436
P26188 P17214
Q08492 P17505
P53044 P35193
Q03406 P50094
Q04195 P32805
P38344 P04051
P53824 P08638
P50623 P38713
Q03818 P25358
P40475 P13185
Q12321 Q06604
P32838 P18239
Q05946 P40434
P32468 P13433
P38272 P38193
P25390 P10961
Q12158 P36024
Q08387 P38132
P38989 P27692
Q12159 Q05958
Q12432 P46675
Q04958 P21242
P41817 P38863
Q03697 P52891
P36139 P04386
Q04368 Q02805
Q07509 P16547
P53259 P35207
P53299 P32788
P47053 P40340
P40885 P32855
P53265 P28004
Q12468 P04050
P41543 P40095
P39730 P38992
P46669 P39994
P52490 P32914
Q02608 P34226
P32529 P14832
P38727 P38208
P46956 P35178
P53865 P53045
P38877 P25655
Q03935 P53971
P08431 P07257
Q07904 P53845
P53271 P26755
Q12035 P29295
Q06525 P25298
P47116 P08638
P38703 P32605
Q08902 Q06102
Q06408 Q03860
P32899 P32838
P39520 P32381
P53298 P36009
Q12280 P22214
P39994 P07256
Q07904 P11978
Q08749 P08018
P35179 P04076
P40478 P13574
Q07376 P38085
P48524 P43594
P39969 P38130
Q07657 P25453
Q03558 P40968
P53290 P21951
Q99190 P31382
P32787 P25453
P26570 P25648
P46681 P13517
P40355 P40078
P52917 P40038
Q02804 P40582
P40187 P24004
Q03860 P10081
P47038 P15891
Q12432 P27705
Q07980 Q03784
P32367 P28239
Q06616 P53973
Q08980 P38826
P54862 P36121
Q01939 P80428
P40971 P25651
P53299 P38630
Q08278 Q03690
P36036 P13259
Q12194 P32356
P38915 P35190
P41816 P39001
P39743 P32529
P38784 P36053
P23285 P13259
P32803 P28743
P38352 P29311
P53202 P40319
P53877 P40362
P53203 P22140
P38786 P36057
P53211 P46985
P53116 P40064
P33296 P02994
Q05931 P41805
P47115 P23639
P49956 P12753
Q12138 P53115
Q06449 P32828
P39929 P38121
Q12443 P40013
Q12262 P41805
Q06091 P40509
Q01329 P53552
Q08465 P32381
Q12034 P53389
P38249 P10964
P53171 P45818
Q12692 P22147
Q05931 P38879
Q07800 P21243
Q99190 Q12280
P53176 P26755
P34162 P32793
P39715 P11747
Q00776 P32832
P53259 P32939
P38717 P23255
Q03761 P23968
P40348 P30624
P48562 P38842
P38353 P23638
Q02260 P38860
P39111 P16387
P40957 P28495
P47090 P38011
Q12216 P28743
Q05931 P07248
P40010 P22135
P53910 P53043
Q03860 P38863
P32480 P26188
Q03103 P32529
P53538 P10834
P53549 P23285
P43637 P33304
Q06205 P36145
Q02100 P32641
P32945 P12954
P32479 P18888
P40455 P38315
P45976 P38153
P40494 P33339
P48581 P25359
P38266 P26309
P39003 P26263
P42839 P20448
P42944 P20486
Q99344 P47129
P16661 P07283
Q08963 P21538
Q06580 P53147
P47822 P32559
Q07904 Q03935
P47017 P41815
P41912 P10363
P15303 P06786
Q07442 P53061
P15891 P00410
Q03048 P35191
Q08649 O13297
Q07540 P36100
Q02784 P46995
P25045 P06782
Q07963 P32833
P53968 P36129
Q05958 Q04307
Q12734 P46956
P22224 P16370
P48232 P32564
Q12341 P40992
P53867 P38272
P36118 P06774
P50874 P35206
Q12045 Q03435
Q04921 P40090
P38265 P25591
Q99394 P38877
Q08902 P36037
Q12071 P38859
Q05946 P04050
P53272 P25293
Q05024 P36034
Q04697 P53147
P40957 P25336
Q04491 P38826
P42941 P15891
Q08162 P38265
Q12473 P43596
P52960 P05318
P53115 P40480
P47090 P39940
P38702 P33411
Q02721 P32505
Q12310 P53209
P38636 P25371
Q03691 P20795
P53086 P32334
Q06525 P36147
Q12262 P38623
Q08902 P40561
P38766 P16451
Q06102 Q03213
P38699 P38149
P40988 P39550
Q12134 P38988
P80428 P40548
Q12336 P35203
P54791 P43602
Q03455 P23644
P43602 P39727
P38068 P28707
P53091 P38147
Q03290 P46949
P40164 P25580
P40362 P36009
P39523 P06783
P36121 P20606
Q06697 P38203
Q12406 P18759
P40509 P32842
P53633 P47116
Q07540 P07278
P53091 P38712
P38249 P26798
Q01852 P54786
P53971 P40970
P53265 P23202
P49687 P32838
Q08562 P27514
Q12267 P32564
Q06819 P38827
P53231 P40018
Q06224 P38276
Q12443 P38735
P40151 P06100
Q12216 P33892
P53886 P40073
P27636 P22276
P47110 P40507
Q12060 P10863
P39004 P29469
P38929 P12683
P53243 P07262
P49573 P40475
P40561 P34252
Q12102 P33418
Q12318 Q01852
Q08204 P17214
P42841 P40020
P87108 P39704
Q12411 P10566
Q99314 P32319
P40187 P24482
Q06205 Q06169
Q12018 P21339
P53538 P10566
Q04338 P46974
P40582 P32573
Q12224 Q03103
P38995 P15790
P40018 P37838
P22147 P13902
P54837 P25655
P38283 P35201
Q04225 P32564
P38920 P32786
P43602 P25344
Q12321 P33401
P38319 P37366
P38181 P25336
Q08492 P40352
Q06160 P12887
Q08902 Q04231
P53754 P43572
Q02776 P50111
P47187 P40302
Q08956 Q06598
P15790 P07261
P53904 P53389
P17536 O74700
P48606 P41546
P38703 P32629
P36034 P36018
Q12321 Q03656
Q06412 P40073
Q04562 P52491
P47822 P47150
P38999 P38717
Q07622 P40014
P39969 P06783
Q92317 Q04110
P38163 P25615
P39727 P38439
Q04048 P39011
Q07509 P23301
Q99344 P32838
Q12243 P21957
Q12082 P48361
P47012 P32832
P38123 P30822
Q99186 P53253
P25371 P10659
P53878 P46673
P53299 P25045
P38744 P21306
Q06410 P04786
P40357 P04050
P32319 P09733
P40077 P29496
P16522 P13185
Q07914 P12385
Q07418 P38272
Q12380 P32494
P47090 P35728
Q12264 P26755
P47103 P39706
P38344 P14906
Q04121 P11972
Q03012 P27476
P38861 P38068
P32900 P14922
P38957 P03965
P53878 P40314
P47185 P00899
Q12041 Q06200
Q12315 P47027
P50106 P41810
P53211 P53108
P46681 P33313
P25376 P20052
P39713 P22135
P36165 P29539
P38144 P36013
Q02776 P07261
P40478 P37303
P32855 P15367
P38993 P32600
P39552 P38883
P36129 P27614
Q05359 P06701
P38153 P25297
Q05931 P33297
P48361 P32902
Q02784 P14681
Q03702 P32581
Q05874 P33754
P32828 P07149
P39990 P32916
P38555 P07249
Q03954 P38827
Q03558 P48439
P35179 P06773
P53212 P14832
P43616 P38351
Q03691 P30656
P40890 P39967
P53867 P48234
P37366 P32471
Q06137 P22135
Q02159 P38339
Q12328 P23337
P32389 P02309
P10834 P08458
Q12349 P36130
Q04477 P40355
P53259 P38993
Q07509 P16649
Q03308 P54862
Q07442 P53167
P53081 P38112
P39713 P33759
Q04894 P20676
P40069 P11978
P25336 P25301
Q06490 P06704
Q02884 P53215
P47061 P05030
Q06091 Q02256
P40438 P32478
Q12206 P20050
Q06032 P07390
P40970 P25582
Q06604 Q00873
Q08683 P38070
Q03697 P22138
P40455 P28791
Q12154 P53877
Q08956 P53108
Q12343 P39111
P49686 P39009
P54854 P19812
P40693 P38826
P52910 P23255
P36100 P04046
Q06410 P40456
P47064 P34241
Q12222 P42934
P36172 P22135
Q00772 P54790
P41818 P16862
P47167 P47061
Q06251 P38240
P53096 P40959
Q06200 P19735
Q02775 P53900
P41543 P36161
P53070 P40495
P38070 P28000
Q04477 P53930
P38149 P23285
Q99260 P39113
Q12028 P32805
P38251 P38153
P53283 P33767
P40465 P13259
Q00764 P00420
Q04958 Q03702
P34162 P07250
P53044 P10834
P38910 P05318
Q06151 P38957
P40079 P32838
P53633 P47011
P42934 P14736
Q04477 P21339
P40475 P40066
Q02555 P06780
Q00955 P43545
P38123 P32776
Q04673 P53280
P41546 P17891
P53261 P50105
Q12336 Q12315
Q02516 P14741
Q03280 P27895
P50942 P36129
P38204 P12294
P40960 P38699
Q03012 P08638
P19736 P06103
P25346 P11433
P32525 P24719
P47152 P20967
P38774 P27692
P22209 O13297
Q08902 Q06490
Q06815 P40892
Q08649 P06774
P38129 P02309
Q12050 P53955
P43609 P38783
P41810 P40992
P38700 P26754
P12753 P04050
P32528 P23641
Q08975 P40453
P53851 P13663
P32573 P08638
Q03691 P08431
P39704 P38270
P38272 P32502
Q12168 P25441
Q12149 P32913
P41800 P36129
Q04439 Q04307
Q12174 P40079
Q12372 Q12044
Q06224 P39079
P53738 P53231
Q08601 Q05998
P32945 P21705
P32563 P32332
P39952 P39944
Q12402 P32588
P53953 P43560
P41800 P32788
P35842 P11075
P47912 P23595
P47025 P38823
P40890 P33328
P50945 P25648
Q02574 P40079
P46680 P39548
P38682 P13902
Q04934 P25046
P29311 P28708
P38077 P32641
Q02354 P40496
P34730 P26309
Q02199 P52488
Q03900 Q03579
Q04697 P25584
Q01454 P43622
P39540 P30656
Q12329 P38967
P47132 P40038
P53738 P47042
P36036 P25341
Q12277 P53108
Q12055 P06774
Q08162 P38826
Q99382 Q03322
Q12734 P10823
P50945 O13530
Q02204 P22517
P35691 P23595
Q06675 P38194
P54999 P29056
Q03919 P39955
P32793 P15938
Q08980 Q06169
P53877 P18562
Q99344 P39540
P40971 P39715
P47027 P32588
Q12035 P38274
Q04603 P13433
P47185 P02309
Q08683 P53863
Q92316 P33400
Q12469 P40187
P28239 P06243
P40509 P35718
P53851 P22276
Q02336 P11075
P80667 P21651
P53174 P42942
P40518 P25382
P53290 P40341
P38165 P16474
P39713 P21538
P25441 P22224
P46964 P09959
P25346 P08679
P32642 P10961
P38123 P38063
P36168 P15442
P47037 P24004
P38920 P38272
P53855 P34162
P23291 P13586
P28274 O13559
Q12236 Q08096
Q08886 P33421
P38911 P07250
P53742 P25301
P40565 P40475
P50113 P07256
P53633 P38113
P33339 P13365
Q03177 P53045
Q12464 Q08817
P53039 P40217
P07347 P07272
P53278 P39001
P35191 P25298
P40075 P08431
Q12174 P53277
Q04005 P32367
P32571 P16649
P35201 P16664
P40885 P33306
Q00246 P38204
P47012 P38251
P36005 P15367
P38163 P33411
P46676 P14906
P12385 P04050
Q12256 P08638
Q12349 P23595
Q02732 P38990
P38757 P06783
Q05610 Q04935
Q06697 P43621
P53181 P14064
P38907 P38627
P53604 P39734
P53313 P27692
P46974 P32796
P35191 P12868
P38729 P32830
Q12389 Q12327
P40482 P38860
P38068 P30822
Q12082 P53540
P53337 P32502
Q02196 P20050
P26449 P06103
P40509 P32829
Q12035 Q05778
Q08273 P38086
P38821 P33421
Q12749 P02557
P53971 P38995
P54784 P53010
P41810 P07272
Q02895 P19882
Q12006 P38615
P47115 P40340
P28241 P07260
P28707 P23255
P47117 P32787
P05317 P04786
Q07921 P53323
P32602 P25847
Q12327 P25651
Q04226 Q03337
Q07914 P32605
P39707 P26188
Q03900 Q03323
Q03406 P39729
Q04930 P32805
Q02608 P07347
Q03785 P40187
Q04697 P07250
P52491 P38249
P35723 P32264
P12868 P11710
P21827 P11927
P32939 P06838
Q03406 P09119
Q01159 P40991
Q03435 P39073
Q12301 P23585
P39958 P32570
Q99176 P28519
Q07381 P53215
P33419 P25299
P47038 P40555
P53550 P38123
Q02516 P35178
Q08236 P39685
P40478 P22202
Q08387 P47135
Q12154 P47037
Q12372 P36131
P53685 P29468
Q12243 P38636
Q06001 P53250
P49687 P36084
Q12449 Q06168
Q12267 P42941
P38705 P33339
P39702 P32478
P53115 P46682
P53261 P47052
P53859 P50874
P33335 P33329
P48568 P19657
Q02208 P08153
Q07084 P19358
P43596 P25342
P38720 P32803
P49704 P38251
P46974 P25569
P40555 P32583
P48439 P41940
Q08004 Q06339
P40343 P32264
P49018 P46678
P18239 P16474
Q02784 P40890
P21538 P05317
Q12260 Q06208
Q12754 P35180
Q12175 P32453
Q06001 P35198
Q12129 Q03103
Q08975 P53286
P36104 P25808
P35723 P29703
P40355 P25646
P33767 P27801
P54862 P33338
Q01939 P36016
P28004 P25454
P34218 P24482
Q08683 Q02825
P32479 P32387
P38703 P19812
P32479 P07834
P42846 P11914
Q03071 P41544
P38794 P36036
P48562 P40456
P53316 P24719
Q02767 P80428
P35817 P32589
P40096 P23337
P47171 P38249
Q02336 P53313
P53212 P22135
Q06651 P28000
Q12192 P53628
P26343 P11710
Q08208 P40987
P53215 P09798
P53927 P47052
P47025 P40693
P53952 P38989
Q12028 P32832
P40007 P07272
P07248 P00359
Q06405 P53322
P46678 P18759
P32570 P07251
Q07350 O13565
P41544 P32485
P53740 P53551
P38727 P32499
P38163 P22133
P46974 P13711
Q03697 P34227
Q12018 P32333
Q02866 P38920
Q03048 P46964
P47110 P35210
P51862 P48813
P39744 P25376
Q99260 P32797
Q03834 P43574
P24482 P19736
Q06644 Q06631
Q12361 Q08278
P80428 P22140
Q99176 Q12270
P48510 P40064
P40885 P30902
Q12050 Q06160
P36107 P01119
Q08235 P53147
Q12223 P24867
Q08685 P32859
P32832 P32447
Q12276 P40582
P53549 P26343
P40971 P16658
P38757 P32910
Q12071 P53163
P53236 P38627
Q06697 P53254
Q12306 P53973
P32583 P07278
P38967 P23301
P53552 P32859
Q06440 P46669
Q12321 P32559
Q99207 P23337
P38121 P25369
Q04461 P53258
Q08446 P17505
Q08886 P53551
P40455 P19880
P52488 P50078
Q03148 P25569
Q07786 P53093
P39523 P12954
P11154 P11076
P32897 P18759
P47120 P43605
P42941 P39935
P38156 P32562
Q12224 Q02795
Q12372 P00546
Q12107 P20434
P38313 P17505
Q03455 P32561
Q03208 P46672
P43562 P22224
Q12396 P40048
Q12224 P20435
Q00362 P41546
P36024 P32564
P47052 P11154
P53181 P52553
Q02608 P14359
P53823 P53152
Q06091 P39552
P38353 P32842
Q03048 P31111
Q07688 P10355
Q04307 P23724
Q12692 Q05583
Q07921 P20486
P39929 P38630
P33892 P13393
P38082 P22140
P49334 P38156
P38298 P24719
Q12473 P28241
P41697 P39009
Q05949 P53952
P38995 P38333
P53740 P53171
P48568 P37838
P50275 P21657
Q08562 P39107
P25632 P06775
P40316 P38240
P53851 P43621
Q05021 Q03455
Q06411 P38915
Q06543 P38962
P43592 P07276
P40582 P34161
P50874 P13259
Q00711 P39016
Q04673 P50946
P38622 P23179
P40360 P38970
P39723 P39524
Q12522 P50874
P38272 P25582
P22203 P12887
P19659 P00410
Q03263 P46673
P34238 P16151
P32501 P21827
P46962 P22579
Q02574 P38272
Q03337 P00854
Q06169 P89105
P40496 P40066
P21192 P13434
Q12462 Q12335
P38351 P04807
Q12692 Q00873
P13382 P07866
P40070 P38156
P43609 P35207
Q08271 P38821
P14242 P06784
Q06440 P08518
Q04225 P32481
Q07986 P47120
P50106 P40335
Q08217 P25580
Q04958 Q00723
P53851 P35182
Q02608 P53883
P38072 P00546
Q08032 P39517
P38123 P21672
Q7LIF1 P40457
Q12224 P22804
P32796 P15424
P41912 P19657
P32897 O14467
Q03308 P39996
Q12082 Q07921
P32589 P10834
Q02932 P41695
P47035 P38910
P53685 P40352
Q12464 P07278
P39987 P07249
Q12186 P41896
P53933 P38910
P35180 P22517
Q03761 P26570
Q12248 P38204
P53973 P38261
P54784 P53145
P36034 P24870
Q12396 P38759
Q12124 P32787
Q00539 P53115
P38736 P32566
Q12321 P27351
P53961 P40960
P40327 P25346
P53244 P47115
Q07914 P38842
Q12006 P17065
P32504 P21304
Q12216 P53755
P53905 P41912
P43132 P25045
P36022 P12683
P39011 P38637
P41815 P00445
P53857 P40087
Q12082 P08431
P33399 P07256
P45818 P00729
P57744 P31412
P32803 P32447
Q01159 P47050
P47090 P40959
Q03919 P25045
P53633 P32578
P41816 P35206
P39713 P38523
Q00772 P38705
P47064 P38123
Q06160 P53269
P22139 P12887
Q12335 P32479
P39968 P36034
Q03954 P20095
Q08193 P53211
Q12055 P24384
P51601 P05626
Q01590 P26755
Q05610 P46674
Q05166 P53215
P53207 P40475
P32900 P25648
Q03956 P18239
P47035 P09064
P25046 P02294
P53337 P06100
P50104 P00044
P53096 P00817
P38717 P10834
Q06708 Q03860
Q08032 P50113
Q06405 P38779
Q02574 P00445
P53209 P40960
Q04461 P50095
Q08208 P53914
P43621 P40079
P43594 P32566
P38276 P16522
P43562 P33311
