Q08001 P32776
P32333 P41834
P41903 Q01590
P20795 P49334
P43583 Q08230
Q03697 P36168
P38283 P32902
P47019 Q07904
P36048 Q12520
P22804 P33895
P38992 Q08645
P00447 P39923
P25386 P40343
Q12016 P22804
P47093 Q02725
P04786 P39734
Q06497 Q06616
Q12255 P08468
P38176 P14064
Q04749 Q00776
P38334 P40971
P25298 P38316
P24004 P24280
Q03630 P38969
Q12006 Q05902
P35206 P34077
P41338 Q04930
P53112 P49686
P53045 Q04370
P25385 P54999
P00175 P38316
P34072 P38555
P25584 P38286
P47075 P37298
P40955 P53281
P32578 P46972
Q04835 P53178
Q06625 Q08702
P38439 P53921
P50945 P48439
P80667 P25042
Q12405 P27801
Q08236 Q12031
Q12331 P13134
P17442 P49017
P39015 P48559
Q03921 P41912
Q06681 P41910
Q12331 P38207
Q12031 P41543
P50091 P29055
Q06541 P38356
P40159 P38198
P39707 P35189
Q07468 P52593
Q99186 P53178
Q12236 P39108
Q12067 Q04964
P47026 P53540
P32939 P47167
P14291 Q12028
P40155 P15303
P28742 P03871
P40003 P38272
P26755 P42836
Q04651 P22579
P53947 Q12511
Q01454 P53550
P17255 P52871
P38198 P41811
Q04370 P47116
P32906 Q02948
Q12411 P53173
P38334 Q00816
P53875 P25042
P53541 P14737
P34072 P38888
P38011 P40160
P33760 Q03954
Q12114 Q04458
P25299 P38888
P40971 P39107
Q06497 P53541
P34756 P33895
Q06410 P40582
Q05050 P25385
Q06651 Q12520
P16603 P26754
Q12098 P25574
P47116 P20048
P40825 P24783
Q05541 Q12154
P32573 Q06417
P32380 P42223
P40302 Q06677
P38203 Q06563
P32800 P48527
P39015 P40155
P53882 P22141
P07342 P39704
P35181 P19735
P46951 P41695
Q12208 P28496
P37267 P38875
P35203 P47160
P39904 P43560
P00410 Q99325
P32578 P32380
P23639 Q12233
P46982 P22579
P46681 P40501
P40155 P38910
P33419 P28778
P23542 P40152
Q12386 P32191
P38247 P38745
P28795 P47025
P13434 P10127
P32504 P50945
P81450 Q05568
P07806 Q05568
P40056 Q04408
P47818 P13711
Q03530 P49775
Q03455 P39702
P25385 Q06485
P22855 P38878
O74700 P25042
Q03370 Q01217
P38555 P14737
P40056 P05759
Q92328 P34223
P40341 P53860
P53747 P25043
P40530 P32613
P34111 Q02260
Q00578 P36775
P50091 Q99190
P38152 Q08227
P00175 P40451
P36131 P36152
P38292 P40547
P50091 Q12154
Q03694 P19880
P22148 P34240
P32600 P23644
P38793 P39108
P14907 P11709
P15315 P36116
P81449 P50278
P17890 Q07807
P40857 Q08215
Q12749 P35176
Q08144 P40343
P09959 Q92331
Q12372 P32386
P07284 P08638
Q12524 Q99190
P07806 Q07468
P30777 P16370
P32916 P53732
P39526 P40368
Q12071 P31115
Q12114 P40075
Q04053 P20448
P38374 P32600
P47818 P32524
P46682 Q04002
Q12524 P38111
P38859 Q04749
Q06541 P53224
P32837 Q12144
P46983 P32863
P40070 P43582
P41903 P20967
P40107 Q04005
Q04119 P19735
P41800 P38778
Q12096 Q04005
P21560 P12868
P47064 Q12405
P38301 P25365
Q06497 P00447
P20795 P39524
P13711 Q12411
Q04370 P38910
Q12402 P39718
P35056 Q12172
P38127 Q06096
P22147 P53115
Q06541 P38323
Q06163 P38814
P16370 Q04301
P31382 Q04491
P38865 P36057
P53171 P53159
Q03554 Q12480
P47054 P40576
Q12028 P38374
P09959 P47140
P33760 Q02260
P38247 Q12267
P19262 Q05919
Q03784 P38121
Q12462 P40018
P17891 P53541
P42845 P32873
Q06568 P40152
P38153 P36520
P16387 P41318
P53192 P48813
P38265 Q06497
P24279 P25345
P32842 P32803
Q05871 Q01532
Q03899 P28239
Q03824 P16387
P53273 P38221
P40003 P08067
P38270 Q06681
Q12405 Q04751
Q12006 P36147
P18888 P53959
P19880 P40482
P36125 P31244
P53184 P38839
P53173 P40857
P32629 P28496
P11655 P53083
P53159 P22211
P46673 P40061
P53184 P53324
P27692 P38842
P32341 Q12270
P38682 P04840
Q12527 P53959
P36051 O74700
P40529 Q04964
Q04947 Q12154
P38992 P16370
P25646 P06105
P38270 P36130
P27801 Q03465
Q04958 Q06385
P40215 P25591
P32573 P53540
Q08474 Q08931
P14020 P38127
P35177 Q02776
P39707 P32800
Q04370 P28239
P36520 P41806
P35056 P39923
P30777 P09119
Q06169 P47093
P53290 P32379
P38270 Q00578
P39107 P18409
P38821 P25365
P00410 Q12464
P40068 Q06708
P48567 Q12006
P32800 P52593
P40530 P41909
P15303 Q07794
Q03790 P36149
Q07418 P05759
P33296 Q05931
Q07688 Q07451
P53079 P38705
Q03220 P53937
P00724 P43601
P53093 P38714
Q04370 Q08227
P40078 P09436
P81450 P35844
P53093 P49018
P36168 Q06681
P40089 P38818
P40003 P50861
P32600 P40957
P34087 P22211
P53615 P46678
P38334 P54999
P40482 Q04272
P53845 P32573
P32578 Q04183
P53045 P36146
P35718 P22804
P06778 P38072
P39515 P53951
Q12473 P38198
P25358 P39009
P47166 P48567
P25303 Q07807
P38855 P53193
P32453 Q04991
P38310 P39707
P00830 P25365
P80667 P09119
P19880 P36029
P32803 P32339
Q06410 Q08921
Q01217 P53195
Q06169 Q04675
Q12405 P38263
Q07418 P31244
Q06169 P36161
P38261 P53941
Q12016 P38221
P27796 P53324
P53147 P40494
P34111 P38182
P38356 Q99257
P31755 P21192
Q08235 Q01532
P27801 P53628
P39727 P37267
P25358 P53271
Q12191 P38323
Q02732 P40556
P38137 P39986
Q04491 P39102
P32629 P40451
P49960 P35176
P40098 P27825
Q03824 P47124
P32917 P25294
Q05568 P40185
P37298 P38817
Q05931 P13574
P00724 Q08921
P02293 Q06324
P40155 P42841
P39718 P47054
P13433 Q12154
Q12121 P53061
P53747 P40056
P39720 P36130
P07261 Q04301
P40548 Q01519
P80667 P14906
P22214 P30656
P43682 P06168
P40529 P38766
P40155 P53540
P53104 P46989
P21538 P40501
P53886 P17967
Q04341 P40085
P38200 P47047
P39112 P38329
P31412 P34161
P52891 P46670
P35180 Q04934
P36131 Q08215
P40051 Q04201
P38244 P32332
Q08550 P32339
P46678 Q04272
Q01802 Q99257
Q07376 Q12480
P53615 Q12748
P32524 Q12181
P29056 P38244
Q06697 Q01574
Q03824 P31380
P38855 P40460
P47057 P46959
P25613 P25639
P04786 Q02948
P00128 P39968
P39986 P22203
P09938 P53875
Q04767 P38263
P41909 P48559
P32796 P38745
Q03824 P53173
P38992 Q00684
P33760 P39010
P14772 Q06681
P53045 P39715
P25338 P40089
Q04749 P40094
P26364 P40501
Q03660 P25045
P41903 P34078
Q05871 P38863
P43555 P06786
Q04410 P53895
P14291 P53173
P39904 Q07830
P35206 Q02260
P32343 Q04183
P27614 P49704
P53104 P40098
P53918 P33419
P38962 Q04924
Q07541 P40061
P32913 P04803
Q03824 P47064
P53184 Q03660
Q04847 Q04301
Q04370 Q12530
Q12386 P46989
P38310 P22214
P27692 P36125
Q01454 Q12289
P34756 Q12267
P40368 P38688
P21560 Q02100
P11655 P40061
Q03702 Q12003
Q00582 P29496
P35729 Q08215
P38270 P08466
P39108 P38862
P38077 P39106
Q05568 Q12030
P24004 Q04341
Q08920 P38929
Q12405 P38351
Q12164 P32800
P40317 Q05902
Q12331 P18888
Q12071 P15315
Q06217 Q08822
P02309 P38345
Q05871 Q03530
P25386 P11633
P29340 P38745
Q06675 Q12031
P07273 Q03713
Q04675 Q12749
P29340 P06778
Q12527 Q12346
P53633 P07272
P40155 P32522
P07269 Q03730
P33760 P53540
P53223 Q08474
P87108 P53973
Q03824 P15303
P25641 P22579
P38127 P32803
P33760 P26343
P20424 Q05949
P38968 P26188
P53079 P38088
P29340 P28239
Q03921 P38358
Q03338 P24280
P41543 P32332
P24004 Q06697
Q03370 P05375
P36037 P08525
P47818 Q04935
P08425 Q08215
P32916 P40317
P29952 P40993
Q06815 P42839
P18412 P36046
P38356 P40968
P46985 P40515
P32366 P32352
P23642 P53112
P49334 P40544
P89105 P46655
Q12039 P53195
P22137 Q92316
Q12464 Q02969
P25584 P06701
P23642 P40557
P26755 Q06143
P48606 Q02749
P38088 P18410
P33894 P50874
Q99385 Q12262
Q01454 P41800
P32837 P09119
P53394 P36013
P26364 P16603
P15873 P38164
Q12029 P32343
P41909 P47054
P27796 P40097
P32837 Q04228
P33760 Q12144
P24482 P38913
Q05871 P22035
Q06708 P53954
P23639 P42951
P29539 P32902
Q03554 P36016
P31382 Q02948
P35181 P31539
Q08236 P20050
Q02100 Q08484
P39904 P53878
P42951 Q12192
P18409 P08153
P09232 P47167
P50091 P38989
P53896 P53845
P40529 P38717
P17261 P33775
P30777 P38793
Q12016 Q07807
P25298 P38221
P48527 P12868
Q06568 P38072
P00410 P23542
P38297 P40085
P25568 P38153
P00424 P11978
Q03554 P04037
P53159 P32902
P25568 P25605
P09624 P53959
P32380 Q04272
P27801 Q12171
P13393 P52871
P41318 P39719
P27796 P53845
P25298 Q06096
P40484 Q12527
P38358 Q06551
Q06568 P32573
Q06704 P38742
P32609 P48234
P41807 Q00578
Q04991 P22211
P41903 P25644
Q12246 Q99257
Q12270 Q12165
P40513 P41318
P32573 P53337
P24004 P40051
P04050 P36038
P40090 P10127
P32600 P04050
P38244 Q08199
P43579 P04801
P47082 Q03898
Q05568 P53886
P40364 Q03579
P42940 P41806
Q06485 Q05902
P27796 P08518
P40318 P03069
P32628 P28778
P46965 P53930
P38334 P47170
P46983 P39719
P41806 P19736
P13586 P29496
P32800 Q12223
P37302 P38179
P53882 Q04005
P24279 P40008
P31380 P36149
P18409 P41318
P46995 Q02783
Q12246 Q04697
P40107 Q00873
P35177 Q02969
P53314 P43582
P05150 P40072
P22141 Q12025
P53127 P38986
P35845 P22148
P05759 P26725
Q12408 P04050
P47818 Q06819
P40155 Q03103
Q07418 P17106
Q99186 P53600
P38292 P14359
P53184 P40957
P14359 P39718
P38334 P09119
Q06541 Q05568
P47017 P35056
P38353 P38959
P40215 P38755
P38855 P23644
P26364 Q04228
Q07418 P42223
P43601 P14737
Q08920 P38855
P29056 P46983
P36125 Q07807
P32776 Q12031
P53037 P21147
P38247 P40098
P06701 P53163
P35177 P12683
P32380 P36147
Q06011 Q04991
P53281 P32191
P25584 P40395
P07284 Q99177
Q08215 P48439
P38793 P54837
Q02772 P38817
P41903 P07278
P40350 P17106
P39923 Q03063
P53037 P46972
Q07418 Q04675
P27692 P38855
P40068 Q12042
Q05568 Q92328
P38821 P53541
P21592 Q06163
P28791 P36147
P27796 P34078
P13711 P40051
P22082 P39719
P36168 Q03497
P14359 P39678
Q12233 P38855
P25343 P40034
P32800 P39524
P14693 P35056
P06704 P16622
P80667 P25298
Q04749 P22023
Q92328 Q08144
Q08484 Q04341
Q05568 P39704
P25298 P25349
Q06497 P38753
P38555 P36057
P21954 Q12241
P53845 P08525
Q06677 Q08931
P43583 Q03557
Q07532 P39904
P38687 P11709
P20050 Q04549
Q04767 Q03941
P07273 P38756
P39108 Q01722
Q12349 P25365
P40302 P35179
Q03455 P46972
Q12248 Q06011
Q12155 P39722
P00431 Q12372
P40155 Q03954
P22803 P31244
P38244 P43621
P32796 Q02486
P40051 P38757
P53184 P08153
P18239 P36051
P32800 P46951
Q06568 P27697
P32600 P35203
P38203 P53629
P13586 P04840
P38356 P23641
P33760 P38910
P38843 P32505
Q12382 P07342
P43571 Q04183
Q08227 P40152
P00724 P25270
P49704 P22219
P39723 Q12099
Q12063 P38865
P31412 P21190
P32917 Q04601
P40343 Q05637
Q12349 P43555
Q07418 P06197
P53192 P09232
Q12462 P46995
Q03497 Q06551
P46983 Q07830
P38292 Q04629
P25043 P32559
P00410 P38244
Q04338 P38755
P23542 P18888
Q03824 P13433
Q08215 P31115
P12383 P32048
Q06169 P28496
P53129 Q03020
P38170 Q02608
P25644 P32939
Q03694 Q02629
P38152 P38242
P38991 P40097
P00854 P41544
P50874 Q03730
P53290 P53267
Q12096 P04050
P42940 P17967
P23542 P41896
Q03694 P38863
Q03673 P35176
P38736 P53906
P20606 P18412
P54791 P33311
P12689 P22336
P32573 Q02516
P25584 Q03322
P04801 P40106
Q08215 P36013
P53112 P38959
P46682 Q03714
P17442 P32913
P23642 P26793
P39112 P38745
Q06682 P38959
P30775 P47047
P25646 P33755
P53112 P25574
P39108 P34077
P32341 P09457
P39108 P53195
P28795 P39107
Q12142 P33411
Q06616 Q01590
Q04675 P39108
P39904 Q03020
P32573 Q03330
P34756 P40395
Q04053 P38221
Q04847 P53083
P04147 Q12241
P43555 Q12749
P38873 P00128
P38142 P53146
P38301 P38825
P29056 P40529
P38169 P39990
P17891 P53129
P40107 P28791
P38265 P38855
P11655 P22141
P39108 Q08484
P43560 Q03667
P38821 P53847
Q04602 P30775
P38817 P25042
Q04632 Q06107
Q08548 P38817
P53104 P53860
P08456 P32836
P14359 P53313
P32613 P07255
P29496 P53600
P36130 P38353
Q05871 P36149
Q03455 P38817
P53037 P42945
P43555 P41543
P25298 P39108
Q08548 P41895
P53973 P07267
P38859 P32796
P36016 P48525
Q12405 P17261
P41544 P50874
Q06159 P50944
P23642 P38929
Q12246 P27801
P40215 P38821
P22855 P06197
P47037 P06197
P16639 P22516
P38821 P33201
P32524 P34240
P07273 P46985
P53159 P32319
P53845 P12887
Q00416 Q07807
P53256 Q04432
Q08685 P25343
P47112 P38316
P34111 P39108
P47818 P22803
P53173 P04786
P38270 P40530
P43682 P40501
Q12025 P53271
Q12402 Q06708
P35197 P46971
Q12524 Q12031
P20434 P17967
P53299 P33201
P32566 Q08215
Q06682 P39543
P40215 Q03824
P08458 P41834
P43563 P38810
Q99393 Q08023
P25386 P0C0W9
P47114 P47158
P41544 P54784
P50108 P07276
Q03370 P38345
P32613 P48526
Q12114 Q04675
P36096 Q99316
P38152 P53253
Q12283 P32833
Q12404 P39702
P35189 P40471
P53747 P39009
P22211 P36037
Q03824 P87108
P52923 P46963
P32558 Q99394
Q07418 P38262
Q05521 P32580
P36132 Q05955
P34162 P25045
Q05043 P53178
P53896 P53540
P38251 P53271
Q04201 P06777
P14291 Q06090
P22219 P40547
P07263 P53895
P22203 P36161
P17891 P25451
Q12411 P40318
P53886 P42836
P43555 P29055
P32573 Q04002
P27796 P31380
Q12425 Q05871
P47116 P38959
Q12527 P53845
P53273 P25580
P33894 P39702
P41903 P28239
P54837 Q03667
P36107 P12868
Q06541 P22579
P40160 P38694
P14359 P47171
P53905 P38349
P32504 Q04991
Q06815 P38757
P53166 P13434
P32600 P39112
P40825 P04050
Q03677 P36523
P39904 Q04472
Q02969 P17898
P80667 P04786
Q12142 Q04119
P16151 P32800
P40825 P22211
P38959 Q06892
P25365 Q99257
Q07418 P25574
P00830 P38755
Q12425 Q08236
P17261 P53918
Q08023 Q12096
P46983 P38263
P53303 P34240
P38742 Q02642
P38272 P38207
P39526 P43636
P53195 Q08931
P36130 Q06096
P18239 P53600
Q05521 Q08645
P25584 P17106
P40350 P32357
P07286 P25615
Q08920 P37020
P26793 P36116
P27796 P15315
P32916 P22219
P47170 P22219
P33760 P36060
P53248 P22214
P38989 Q04201
P24004 P47054
P38992 P36168
P16547 P39704
P27692 P41903
P32613 Q01159
P32341 P40155
P54999 P43601
P12868 P32319
P53079 P43569
P09959 P40155
P53930 Q03714
Q07878 P26188
Q07532 P33760
Q04119 Q12480
Q12405 P36039
P31109 P39715
P11655 P52593
P43555 P38301
P25646 P38358
P53082 P46983
P32454 Q07980
P40068 P53868
P43563 P37298
Q12405 P18888
P29340 P38863
Q06410 Q03435
Q04377 Q12191
P25386 P49957
P40098 P25613
P38077 P32796
Q03370 P40557
P38862 P22804
P40215 Q03694
Q12421 P53940
P25386 P53337
Q12473 Q01159
P43583 Q99393
Q03784 P34230
Q12142 P27796
Q02725 P14906
P36131 P12868
Q03824 Q08230
P18409 P38817
P41896 P38342
P81450 P40460
P32454 Q00578
Q08921 P38351
Q04632 Q07807
P31109 Q06651
P27801 P26755
P41544 Q00816
Q08960 P42945
Q04675 P27825
P27514 P40056
P32913 Q99325
P13711 Q03465
P12687 P38826
Q12405 P50108
P20434 Q08960
P48567 P38555
Q06541 P38292
P53083 Q03308
P53882 P29055
P04386 P08593
P32264 P40917
P50091 P26754
Q08023 P38164
Q07532 P40085
Q08920 Q05902
P35056 Q03898
P32628 P12868
P38778 Q05931
P32629 Q04924
P34160 P53093
P14306 Q08387
Q04602 P39108
P25584 P39515
P14359 Q08144
Q12063 P15873
Q12524 P21306
P32453 P40451
P32573 Q03028
P32862 Q12298
P07255 P48439
P49704 Q01163
P53037 P14904
P41903 P40367
P18239 Q12025
P14020 P40530
P38137 P40090
P53082 Q03723
P38968 P00729
P26793 Q06385
P21538 P40540
P43563 P53882
P47083 P17536
P06704 P40351
P22804 Q12745
P00427 P38353
P16547 P38817
P38374 P40061
P36107 P38263
P53629 P40395
Q12524 P28791
P53747 Q92316
Q06630 P38349
Q01159 P22203
P22855 Q04746
P25641 P38301
P40345 P25605
P08518 P25580
P53037 Q01649
P54837 P38855
P20795 P16664
P14020 P04039
P12689 Q08548
Q03338 P18962
P21657 P17106
P14020 P53079
Q08109 P48567
P36060 P35176
P38793 Q12239
P22214 P07278
P32800 P48567
P28795 P11076
P38855 P40185
P38211 P54784
P40970 P38786
Q07895 P36147
P53271 P39682
P37302 P39012
P36130 P28795
P53112 P36039
P40215 P15315
P47017 Q03694
P53045 P07272
P27796 P22579
Q04311 P23179
P53112 Q07904
P40071 P21192
P23642 P27796
P18409 P06839
Q03337 Q03455
P24384 P14063
P13382 Q04748
Q92331 P42935
P35056 Q92316
P04386 P32621
Q12003 P36146
P80667 Q07904
P38011 Q02685
P53112 P25578
P25293 P50275
P40484 P12887
P18900 P40343
Q04370 P12683
P25569 P32939
P43555 Q04329
P23639 Q04396
P39103 P38164
P53896 P32939
P53192 P35999
P53882 Q03898
P39727 P38855
Q06815 P26343
Q05521 P40460
Q02784 P32829
P32454 P41912
P33775 P53195
Q03824 Q08109
P32386 P0C0W9
Q12527 P38991
P39904 P15179
P39968 P38878
P80667 P47160
P53093 P53629
Q03824 P48439
Q04396 P25345
Q04053 P39108
P38439 Q08227
P38137 P40317
P53079 P47154
P38374 P37020
Q06675 P39524
P50091 P38153
Q04602 P0C0W9
P50087 P22543
P32504 Q04458
P40051 P36051
P32916 P17261
Q04839 P53550
Q03899 P48813
Q04226 P38817
P25568 Q07395
P41544 Q12223
Q12016 P42223
P20050 P53394
Q06568 P36051
P38821 P28795
Q06405 P25641
P41543 P38345
P33760 P19735
Q12142 P53267
P34111 P31109
Q04835 P36121
P38875 Q06417
P38736 P00729
P47017 P09624
P53184 P07272
P38324 Q12123
P57743 P25386
P33767 Q12301
Q08951 P42945
P32453 Q06651
P39108 P33303
P26793 P25569
Q06385 P07143
Q04602 P53622
Q12098 P06197
P22855 P32800
Q06815 P37298
P13186 P32447
Q04472 P54790
P32796 P32432
P34078 P38817
P40971 P08593
P38932 P38814
P46682 P08466
P10507 P53956
P25584 P32906
P40155 Q04964
P28791 P40395
P38356 P47124
P39522 P53947
Q12080 P53195
P21269 P38745
P46682 Q03218
P53735 Q12527
P32837 P22023
P38989 P39702
P38682 P39981
P40155 Q12468
P35197 P38910
P87108 P25615
P41912 P38316
Q00816 P53146
Q05541 Q03976
P46970 P39981
Q03694 Q02795
P04037 P53860
P40208 P18962
Q99186 Q03860
P46965 P54837
P46951 P40955
P16522 P38138
Q03660 P25042
Q12462 P40094
P41733 P40457
P40368 P22804
P38604 P22211
Q12096 P39012
P38334 Q06485
P36149 P28795
Q12121 P35192
Q08001 P38756
P40568 P23642
P53121 P36023
P53951 P40317
P35181 P87108
P41806 Q03677
P39522 P14359
P32380 P32361
P40107 P07261
Q04562 P31755
Q08951 Q08001
P25694 P46989
P23542 Q06346
Q08001 P36775
P40484 Q08484
P07267 Q12431
Q05919 P48360
P38077 P53039
Q04749 P38286
P32913 P05759
P38292 Q04632
Q03322 P32800
P19882 Q08144
P31382 P38865
P32830 P14906
P53064 Q03430
P32600 P40457
Q06169 P19880
P41807 P40056
P17890 P32621
P80667 Q02336
P47017 P16664
Q07540 P47170
P07560 P12689
P31378 Q12301
P47019 P40061
Q12248 P27514
P34730 P25045
P33201 Q03308
Q03337 Q06708
Q03630 P29055
P40009 P48813
P38114 P38273
Q07821 P47037
P27796 P52923
P38839 Q06142
P30777 P43621
Q99394 P10355
Q06217 Q12408
Q04632 P38179
P08458 P32621
P19262 P14904
Q08109 P36164
P50091 P36149
P21825 P05759
P24004 P29496
P06105 Q08921
P46673 P36013
Q06032 Q12462
Q07418 Q6WNK7
Q08236 P32357
P13711 P40484
P19736 P40501
Q12754 P39079
P25584 P40567
Q05541 P46983
P47818 Q08955
Q12404 P38932
P32522 P41806
Q03694 P53905
P11655 P40501
P41903 P34111
Q12154 Q06224
P39993 P40469
P23542 Q04053
P25694 P32526
P38262 P53191
P80235 P40477
Q04338 Q05931
P39722 P53847
P40075 P21269
P40548 P00830
P21801 P38164
P38127 Q04629
P39015 Q12067
P38555 Q08650
Q08921 P21951
Q03697 Q03790
Q12142 P07143
Q03694 P21192
Q04199 Q12524
P32454 Q02821
P31111 P38814
P46985 P36060
Q08955 P37020
P32526 P39108
P09959 Q12324
P39678 P34240
P39727 Q04491
P35729 Q12028
P32476 P32319
P22214 Q03028
Q03630 P32908
Q06497 P06168
P24004 P47167
Q06497 Q12205
P33760 Q08484
P80667 P53845
Q06169 P13433
P46982 P48525
P40529 P32628
