P38806 Q03096
P53628 P38801
P32832 Q7LIF1
P42846 P35190
P17898 Q01939
Q03774 P43565
Q07930 P28495
Q07786 P34217
P38970 P10869
P23594 P38793
P06105 P36049
P53209 P28239
P11154 P40494
P00330 P35729
P38270 Q06164
P38631 P41940
Q7LIF1 P39969
P25370 Q04264
P32571 P38998
P29295 P40024
P33313 Q04199
P43588 P20967
Q02256 P53254
P54861 P38344
P25808 P33331
P17442 P47019
Q06673 P27515
P18888 Q03619
P40573 P38247
Q02256 P53905
P47041 P38886
P32327 P52910
P32496 Q08273
P25558 P53124
P41896 P09624
P36139 P39927
P30624 P38720
P25694 P40561
Q00245 P26793
P36168 P33332
P53859 P32911
Q12006 P47124
P48559 P12383
P41816 Q08956
P38822 P00937
P40328 P39940
P53865 P33307
P50275 P32527
P43583 P39926
P53124 P36118
Q01649 O14455
Q05166 P13434
Q08963 P40327
Q12045 P20053
Q06410 P28274
P40164 P80667
Q12033 P18494
P40573 P35718
P40339 Q02554
Q02197 P40010
P50113 Q05900
P41816 P35729
P53152 Q12754
P39927 P37012
P33760 Q03088
P50111 P23201
P18494 P48606
Q06163 P51862
Q06102 Q06169
P47093 Q05471
P39990 P32325
P07260 P38334
P53280 Q12440
P19097 P53337
P33419 P40528
P17629 P00330
P48566 P39929
P40496 P15442
P35181 P32600
P06244 P28708
P36012 P40484
Q07508 P23059
P40991 P39079
P00044 P29366
P32773 P38682
Q12280 P40350
P38886 P40484
P53145 P53297
P06738 Q06675
P27801 Q06525
P40202 P35181
P38690 P38705
P41814 P39073
P40327 P04050
P48582 P16522
P21951 P09734
P47912 Q12434
O13559 P27614
P53886 P53068
P35056 P41896
P53865 P32895
P33306 P38988
P40461 P20967
P27514 P40016
P10592 P11745
P37012 P29340
P38011 P40368
Q05785 Q00816
Q99210 P38956
P00358 Q04894
Q12142 P13663
P32564 P40054
P38063 P24583
P40693 Q12449
P38132 P47103
P36120 P32491
P14306 Q12129
P38082 P38748
P38749 P38208
Q05778 P53191
P38254 P39967
Q12473 P22204
P19454 P40350
P17536 P47053
Q03898 P40548
O13563 P47019
Q03532 Q03308
Q00916 P25367
Q12033 P38883
Q08278 P27472
P25569 P11938
P09435 P46682
P32525 P47150
P38129 Q02884
P53086 P48606
P10592 P28834
Q02732 P32767
Q04792 P32521
P05085 P36160
P46948 P50942
P39703 Q08162
P38229 P53185
Q04412 P25043
P13711 P38313
Q02892 P32366
P25569 Q12250
P25333 P27637
P38970 P39925
P40316 P24869
P06839 Q06340
P41817 Q04511
P34253 P39076
P29311 Q9URQ3
P32319 P16862
P33419 P36130
P09440 P53845
P53067 P53271
Q04493 P40465
P10659 P53739
P38200 P12385
P38970 P53894
P23542 Q04307
P33334 P21306
P38329 P32561
P40186 Q04739
P07264 Q12297
P25582 P22133
P38283 P07347
Q00539 Q03758
P40965 P54861
P53930 P53169
Q05874 P53867
P22543 Q12165
P38967 P38697
P23561 P53900
P40151 P38257
P40096 P50113
P38261 P33203
Q12344 P34252
P40956 P53927
Q00539 P38753
P21801 P33400
P53136 P53941
P00330 P50944
P43568 P42846
P40988 P32450
P47064 Q00578
Q07442 P46985
P32505 Q06679
P53196 Q12483
Q04368 P38193
P25555 P54885
Q06151 P38872
Q12447 Q12017
P53845 Q02336
P32589 P53129
P15807 P53250
P53865 P40013
P40186 Q06409
P53550 Q06163
Q12063 P00560
Q03898 P53145
Q12250 P32900
P38801 P21576
Q12411 P16861
P43563 P38431
Q02884 P25635
Q06137 P40350
Q06679 P28320
P31382 Q04199
P02994 P32350
P33760 P47129
P20438 P12385
P53036 Q03782
P53163 P50278
P18410 P15436
P40529 P39962
P19882 P53048
P47011 Q12142
Q06679 P29340
Q12310 Q06644
P39715 P20081
P40892 P32590
P23301 P32490
P22137 P35193
Q02256 P53939
P43637 O14455
Q05778 P29366
P38779 Q12206
P38820 P04807
Q00955 Q06616
P11745 P35210
Q03503 Q03654
Q03973 P12688
P39729 P39936
P11433 P53974
P41814 P53298
P40857 Q12754
P39682 P38070
Q12513 P52553
P45976 Q12256
P40494 P21965
P25296 P13711
P38768 P53248
P49334 P27472
P14741 P32492
P47116 P12383
P27692 P53124
P23542 P23287
Q06108 P29340
P40155 P32366
Q12310 Q12163
P40089 P52910
Q04868 P33311
P39720 P39107
Q03656 P02400
P40096 P43583
P46956 P36085
P39940 P32588
Q04749 P00830
P15646 P36131
P32773 Q08956
P47050 P32379
P38959 Q08911
P52593 Q08162
Q00245 P28274
Q07844 P10622
P41805 P53904
P29295 P48606
P38959 P48525
Q07786 Q12365
P25491 P14747
P12962 Q12754
P38759 P47019
P38590 P36118
P32571 P32588
P32917 P32364
P40555 P32379
P27614 P04840
P41807 P38695
P33755 P38691
P38352 Q06163
Q03081 P53258
P29366 P06843
Q12033 P25615
Q02821 P48239
P53599 P38748
P38690 Q12220
P37012 P32562
P53829 P47122
Q04412 Q08911
P47089 Q05947
P33441 P54867
P35194 P40484
P53130 P42951
P32327 P42884
Q05021 P53197
Q06169 P42935
P33297 P31688
P33204 P53196
P40202 P33399
P20438 P38301
Q07418 P30283
P32504 P34909
P02994 P39730
P34223 Q00416
P49955 P19145
P38823 P00729
P24869 P53169
P07258 Q06340
P31244 Q04562
P19263 P21268
P32639 P32496
Q04368 P53032
Q03323 P07274
P13712 P40507
Q04894 P34217
P19524 Q00582
P43637 P15790
Q08966 P46673
P28006 P23394
P40492 P31383
P38153 P41832
P25333 P06843
Q12055 P40061
Q08963 P35177
P40155 P15108
P36049 Q05636
P39940 Q02821
Q06479 P38348
P38315 P33328
P32481 Q06604
Q04067 P38691
Q08723 P04807
P25371 Q6Q547
P39925 Q12514
P39517 P40494
P53628 Q12021
Q07657 Q12163
P33895 P38783
Q03558 Q05636
P38785 P53829
P40512 Q04264
P21192 Q12440
P38957 P31244
P47045 P07560
P40217 P38871
P20606 Q02767
P49435 P20676
P33203 P25555
P53283 P27614
Q04031 P38627
P38217 P07278
P33301 P40457
P25586 P36084
P32800 P11746
Q99257 P38696
P38922 Q06164
P32945 P52553
P32867 Q04053
P38352 Q12380
P25357 Q04368
P46962 P30619
P07866 P32327
P47165 Q05881
P50105 P46947
P38702 Q12063
Q04226 Q07657
P38829 P40515
P39927 P53145
P39517 P38871
Q05946 Q06160
P10961 P38328
Q03532 P06242
P25558 P35178
Q04964 P40507
P32867 P38769
Q12344 Q06640
P38631 P24869
P14306 Q06412
P53834 P21801
P33419 Q04439
P38249 P07170
P34223 Q06479
Q08746 Q12017
Q02890 Q04272
Q04894 P38689
P38622 P11709
P06839 Q02554
P25558 P39008
Q12118 P46988
Q06704 P33419
P38217 P38276
P32634 Q02354
P41814 Q00578
P38324 P04807
P39958 P38208
P02994 Q04225
P38798 Q04894
Q08438 P39713
P18962 Q03957
P25646 P53256
P38759 P53271
P40518 P04051
P53267 P43588
P36049 Q03654
P38113 Q12026
P15938 P36100
Q06819 P38987
Q07657 P40473
Q04067 Q06164
P43601 P21801
P40151 Q12363
Q03792 P38011
P06844 P09032
P53949 P37370
P53538 P35179
Q03533 P35203
Q12024 Q08236
Q12098 P32863
P41920 P40495
P40518 P53313
P15303 P07170
Q99176 P38624
Q08723 P53904
P38165 P33298
Q04307 P39990
Q00916 P12868
P32787 P22224
P32854 P40484
P51862 Q08972
P53930 P33328
P50108 P32600
P40018 Q07657
Q03750 Q12020
P38855 Q07930
P17255 Q99278
P43565 P32524
P47045 Q12754
P43583 P22204
P32854 P38998
Q07844 P13712
P38111 P48232
Q12420 P43321
P14359 P53043
P32328 Q06679
P48412 P23201
P35194 Q00416
P38766 Q12256
P36094 Q08729
Q06216 P38871
P38068 P11927
P20604 P53829
Q04493 P35178
P19735 P38748
P07264 P38903
Q00539 P46988
Q12363 Q12527
P38113 P38708
P46680 P46995
P28006 Q00578
P54786 P53834
Q02932 Q06436
P14736 P32913
Q02875 Q04272
P23644 P40344
P32074 Q03956
Q08979 P41811
P34077 P30902
P32602 P51996
P51534 P38219
P38247 P38837
P36085 P53894
Q02773 Q08144
P14680 P32767
Q02773 Q12154
P47176 P53067
P32864 P53691
P47117 P07342
Q08492 Q04199
P25646 P00431
Q00618 Q07824
P53094 P29366
P53032 Q99299
P40573 Q12477
Q05080 Q08162
P38886 P10869
P40988 P41940
Q06676 P39079
P40103 Q99189
P38208 P07278
P54999 P36118
Q08965 P32913
P36161 Q08236
P53731 P24004
P07991 P48412
Q03768 P04786
P29703 P32527
P38631 P40453
P06242 P41816
P09938 Q07930
P54199 Q03862
P35056 P24867
P53010 Q12343
P24004 P13663
P36019 Q12019
Q06679 Q06676
P39927 P40484
Q02629 P40507
P53834 P32836
P43563 P40024
P53604 P36421
P38805 P25644
P34240 P15436
Q12517 O13553
Q03532 P38786
P48232 Q12256
P33303 P50277
P40009 P32345
P33891 P33122
P38861 P32457
Q06549 P35691
P40565 Q12102
P08524 P29465
P40096 P39073
Q02197 P38883
Q05949 Q12277
P25296 P32495
P49334 Q04233
P27705 Q12514
P50095 P33892
P53941 P02400
P33313 P39551
P38793 P38987
Q04199 Q99385
Q9URQ3 Q00381
P22543 P32450
Q12264 P53290
P17709 P53904
Q7LIF1 P32561
P53978 P27637
P53840 Q00723
P38247 P53861
Q6Q547 P33199
P41814 P32855
P33418 P53129
P32911 P38283
P25591 P40069
P11154 Q03976
Q02100 P26263
Q03899 Q12315
Q02884 Q02629
P23202 P51862
P30656 P33755
P53755 P40024
Q08963 P52919
P38352 P50105
P38261 Q00416
P53184 P53199
Q01590 P27614
P10961 P38779
P08018 P36131
P40003 Q03782
P36018 Q02884
P36018 P52488
P32389 P43638
Q00723 P36006
P38339 Q12277
P32802 P15436
P38774 P35728
Q03735 P43132
Q08601 P51996
Q08965 P25605
P19145 Q12277
P19882 Q06169
Q06412 Q02629
P14306 Q03768
P22216 P38764
P32945 Q00245
Q12301 P38792
P26755 P42945
Q03898 P24869
P03965 P20081
P06779 P11484
P23724 P23201
P46957 Q07896
P25357 P32350
P53280 P16664
P38838 P32527
P32478 P30665
P14904 P31688
P53883 P32828
P39563 P07278
P53886 P40013
P51601 P53743
P53250 P42073
Q06624 Q03220
Q12134 P34161
Q06644 Q12163
P33891 P41834
Q04062 P36165
P40515 P38634
P54199 Q07896
Q05946 P50944
Q12163 P39108
P46678 P40087
P25357 Q04005
P06784 P07269
P20433 Q12447
P38247 P07264
P32600 Q08972
P38856 Q12390
P46655 Q99385
P07272 P00175
P25333 P50278
P07258 P17065
P36049 Q03096
Q05947 Q02795
P40005 P40064
P49704 O13553
P06103 Q04477
P38310 Q07468
P38270 Q08236
P00044 P32074
P15705 P46949
P25644 P13365
P51534 P27514
P09938 P22147
P11709 P43583
P20438 P30665
P40090 P39547
P32917 P31688
P06787 P38814
P43609 P39984
P32525 P08431
P21192 P23287
P38861 P53924
P32263 P16522
Q12460 P38729
P29295 P14737
P38789 P36080
P29496 Q07887
Q08649 Q12427
P49955 P53847
P23644 P41834
Q03497 P38793
P07258 Q04601
P08524 Q06163
P53100 P32319
Q07376 Q06568
P50108 P09032
P29703 Q12174
Q12277 Q99186
P32899 Q07993
P40164 P40563
Q99189 P24004
Q06704 P17442
Q04031 P53600
Q12044 P07149
P38692 P35184
P47053 Q12199
P53250 P32911
P17065 Q06340
P22515 P32345
P25454 P38748
P35688 P53845
Q08278 P38822
P06778 P53064
P26755 P00358
P20081 P38682
Q07963 P06738
P37303 P39705
P25298 Q05471
P20134 P38806
P39715 Q06169
P50278 P43583
P53129 P36047
P38713 P41901
P40339 P00729
P06787 Q12152
P00958 Q03776
P41805 Q06651
P27796 Q08963
P33203 P24813
P37838 P53952
P40518 P51862
P53043 P34909
P05318 P33298
P38814 P40482
P53691 Q04005
P41807 P42935
Q03768 P25515
Q04370 Q01329
P20433 P32598
Q04121 P33755
Q08920 P53185
P40202 Q08963
P40434 P06787
P25591 Q06340
Q12063 Q12009
P32776 P07170
Q06679 P38748
P37303 P36017
P25367 P31539
P32917 P08524
P14741 P06100
Q12280 P35194
P21192 P39718
P38801 P06242
P37838 P23776
P32328 Q05670
P34077 Q04067
P07260 P32564
P51996 P40479
Q06177 P53900
P10863 P38063
P40988 P16862
P35190 P24279
P07248 P40368
P00931 P40455
Q07376 P47079
Q04675 P21306
P34223 P21965
Q04089 Q03782
P40565 Q06479
P25294 P39111
P15108 P01149
Q07834 P42839
Q12460 P41810
P49435 P41808
P40565 P04147
P19882 P47068
Q08215 P08638
P32527 P02293
P50945 P43586
P52593 Q00245
Q99385 P32528
Q05785 P33311
P53130 P39743
P08964 P19882
P00175 P27614
P53136 P06738
P31374 P52286
P17709 P53064
Q12347 P39979
Q12433 P40573
Q12363 Q08886
P27472 P47160
P53322 P32790
P40319 P00560
O13539 P32767
P33892 P53100
P32318 P54999
Q12518 P46655
Q03071 P18494
Q05022 P17695
P32805 P00330
P50944 P53845
P38182 P50101
P53965 Q04894
P53258 P11484
P32832 P11927
P17555 P53855
P09938 P17709
P39962 P51862
P40350 P53867
P40483 P32802
Q12124 Q03220
P06839 P00044
P53163 P40554
P29056 Q07688
P42073 P34162
P13517 P38757
P42843 P38623
P32074 P41832
Q02890 P32802
P53209 P47045
Q03558 Q02821
Q12285 Q06178
P47150 Q05471
P47011 Q06410
P32561 Q04062
P38208 Q03148
Q07844 P35729
Q12241 P40963
P49573 P32914
Q04195 Q04264
P48239 Q04377
P30619 P38298
Q12377 P40009
P40573 P20449
Q12186 P39073
P46655 P40457
P25369 P53954
P52553 P40517
P34758 P53261
P07703 P53112
Q08931 P54860
P49704 P40327
P46954 Q12030
P34253 P38165
P46674 P35729
P43568 Q01649
P14126 P38431
P47117 P53939
P29295 P01120
Q04439 P03965
P21192 Q03254
P53600 Q03790
Q99176 P40555
P38352 P38922
P16661 P29703
P40005 P02994
Q05166 Q05024
Q12522 Q06644
P31382 P50278
P29295 P32911
P32565 Q04377
P32863 P43583
P18494 P53904
P06787 Q08096
P29496 P39929
Q08438 P13712
P31109 P38247
Q08491 P46677
P36005 P39013
Q03792 P40565
P39563 Q04675
P00044 P38344
P42944 P40494
P23642 Q04305
P19454 P38132
Q08963 P32914
Q02199 P38748
P11710 P53632
P27796 P38998
P04147 Q12468
P02994 P47132
P14736 P40453
Q06151 P34758
P35688 P53032
P38200 Q05775
P32864 P89886
Q02196 P34252
P46985 P36421
P23642 Q12044
P25451 P39925
P33401 P27796
P24870 P16892
P47176 Q00916
P32600 Q04264
Q06704 Q03758
P25591 P38810
Q12250 P38959
P11154 P32263
P32450 Q03954
P25646 P32485
P40009 P47122
P38960 Q06604
P53859 P20433
P38786 P38041
P31109 Q04839
Q12222 P36013
P39966 P16658
P36224 P38737
P49704 Q07418
P39935 P13434
Q04087 P42935
P39967 P38013
P30822 P32787
P25615 P40453
P36029 P53834
P07248 P20438
O13297 P35691
P12904 Q06679
P38699 Q07980
P40186 P40518
P39962 P32491
Q12330 P33314
P32607 P22204
P53739 P27515
P40014 Q12118
P28708 P36224
Q05785 Q04562
P38786 P39990
P04076 P38228
P36144 P47135
P43568 P32432
P38959 P19358
P52910 P31412
P39073 Q12361
P32324 P33400
P02829 P27637
P32912 P25341
P39929 P53685
Q12433 Q12055
P07991 P32602
Q07508 Q04636
P38203 P21538
Q03148 P53243
Q04053 O13553
Q03071 P52910
P46682 P38208
Q06644 P38853
P25655 P25293
P49956 Q12241
P32450 P25591
P25694 P32495
P32800 P32457
Q04087 Q12420
Q6Q547 P21965
Q03162 P04387
P39682 P38872
P18961 P53974
P40328 P14742
Q06819 P06244
Q08965 P18480
P53094 Q05947
P19882 Q04921
P38346 P53185
P49955 P38806
P04076 P38856
Q08965 Q07528
P12904 Q12250
P27796 Q03758
P38156 P50111
Q99207 Q05958
P32573 P39990
P40485 Q12368
P36049 P53299
P05453 P42839
P38859 P39742
Q00916 P47029
P53185 P34241
P31539 P32524
P33411 P32521
Q12280 P40574
P38766 Q05568
P39935 P36062
Q07688 P38615
P03965 P39742
P13393 P32939
P53184 Q99181
P36018 P07866
Q08979 P47064
P53152 P40339
P02994 P53145
Q99385 P06787
P50094 P00546
P33313 P38960
Q99207 P47132
P17065 P22137
P35193 P06775
P40005 Q05947
P00830 P08458
P50095 Q04636
P39967 P12945
Q12020 P50111
P36085 P53905
P43132 Q00955
P25649 P33401
Q99189 P34241
P33338 P38863
Q12328 P39703
Q12018 P50113
Q00362 P32565
P35181 Q12163
P12688 Q12206
P22219 Q12236
P31377 P40016
P25644 Q07896
P12611 Q02354
P40515 P53197
P36012 Q04894
P07258 P38853
P17555 P40339
P53865 P04456
P47176 P43583
P35718 Q04868
P53905 P05986
O14455 P47050
P15992 P39727
P38429 P40473
Q12206 P51862
P47176 P38820
P36013 P20604
P38247 P42945
P35056 Q06102
P38932 P51862
P40089 P33333
P48568 P22202
P53011 Q02100
Q9URQ3 Q06673
P40096 Q08729
Q12018 P30619
P38757 P40515
Q04411 P40010
P23642 P47103
P00359 P29469
P46681 Q08931
Q08562 P38931
P25294 Q12020
P53910 P30771
P40010 P38615
P06839 P40541
P38082 P50275
P25655 P33203
P46970 P38182
P32350 Q02767
P21801 P38165
P36068 P39548
P38358 P07283
Q12343 P41277
P32491 P38748
P28707 P04807
Q03012 P38789
P38334 P33755
P15646 P38886
P32913 P12383
P38930 P17709
P20433 P29366
P32328 P21243
P29509 P07278
Q12420 Q12168
P36124 P35182
Q07844 P38315
O13297 P32786
Q06819 Q02100
Q06408 P38348
P27472 P42884
Q06704 P39707
P48566 P53278
P47074 P40554
P41807 Q05024
Q12285 P40302
Q02892 P53971
Q06177 P39016
Q08492 Q07418
P40066 P50101
P08018 P22336
Q03322 Q03818
Q12310 P31688
P32571 P42945
P47116 P15646
P32527 P47093
P15108 P00359
P33203 P53290
P40055 P06844
Q03981 P53829
P38301 P41940
P53068 P20053
P50275 Q12495
P53855 P40069
Q08601 P24482
P33411 P00546
P25569 P43638
P29496 P32447
P40103 P38859
Q04264 Q03957
P07258 Q04373
P20449 P38229
P32863 P38794
Q08965 P32457
P06782 Q04894
Q05583 P07866
P14306 P53834
P23561 Q05947
Q06624 P38793
P40512 P40344
P41814 P53171
P36047 P06101
P47166 P32864
P31109 Q12420
Q12420 P07260
P40055 P39707
P40204 P46995
Q12033 P39073
P32912 P53904
P36139 P40563
P32917 P39517
P53036 P12945
P49687 P53136
P19454 P11746
P49955 P18898
P14736 Q03081
Q06644 P53259
P12688 P29366
P40319 Q06324
Q03919 P00359
P32528 Q03338
P23394 Q04121
P36017 P15873
P38261 P38319
Q99189 P47017
Q08491 P19073
P36160 P38013
Q08144 P20052
P53840 P53867
P00358 Q06160
Q12276 P46675
P05085 P32835
Q04004 P24813
Q06644 Q12434
P09435 P38181
P32328 P10355
P53901 P25808
Q03619 P32521
Q05933 Q03690
P38193 Q08245
P39682 Q03954
Q12168 P25515
P54999 Q12248
P38129 P40507
Q03940 P53904
P51862 P24813
Q03619 P08458
Q06102 P40327
Q6Q547 P32867
P49687 P36005
P17123 P48240
Q06479 Q07930
P09032 P25584
P41810 Q03654
P41814 Q08236
Q07623 P32863
P07347 P32774
P54999 P00812
Q07657 P14742
Q03973 P17709
P40473 P52286
P17536 P51862
P37012 Q03782
P18888 P53184
P25491 P42846
P38590 P15790
Q06160 P38853
P41808 P33895
P11433 Q12230
P48363 Q08911
Q08966 P22515
P32491 Q03096
P38883 P38324
P38871 P53036
P40565 P08679
P38555 P34758
Q07732 P32327
P38182 P53894
P53171 P14680
Q12149 Q04062
P25644 P53067
P39073 P29461
P00830 P02400
Q04217 P31688
P46962 P06100
P48240 P53955
P40155 Q02100
P53883 P38708
P39966 P40484
P40103 Q12513
P12962 P53169
P21801 Q12256
Q06551 P40010
P32319 P36124
P32790 Q99385
P02829 P40013
P29340 P35729
P40095 P07262
P53202 P53100
Q03532 Q05024
P26755 P00359
Q06819 P02829
P48568 Q07980
P39717 P21182
P32634 P08524
Q03323 P00724
Q6Q547 Q03956
P27895 Q08287
Q03792 P32561
P48412 P32849
P11484 P14742
P47012 Q06412
P16140 P23287
P53550 Q04562
P53267 P47017
Q05785 P38315
P23624 Q02197
Q12691 P41832
P24869 P19658
P27692 P53847
P42846 P20437
Q04087 P52919
P38751 P23394
P25615 P53738
P39551 Q08962
P17119 P53297
P38324 P40350
P07262 P40574
Q07623 P21268
P14306 Q06151
Q08004 P06773
P53552 P06787
Q08217 P04051
P47068 P38427
Q08273 P33298
P35169 P53171
P38861 P38987
P47176 P29056
Q06651 O13565
P46682 P38991
P28707 P36103
P12688 P32849
P32590 Q12361
Q02892 P07149
P38315 P46988
P42944 Q12044
P53112 P14742
P25303 P36224
P52553 P32794
P39014 P23561
Q05670 Q99181
Q04491 P38862
P25357 P32642
Q05670 P25657
P25635 P47160
P38228 P36103
P32591 P38720
P53196 P53867
P09232 P15442
P53883 Q04562
P38346 P10869
P53067 P34218
P25390 P06700
P32583 Q12380
P43574 P08458
P38769 P34252
P00331 P21242
P25655 Q12033
P53048 P33299
P46962 P40091
Q04217 P38080
Q08273 P38922
P16521 O13539
P32319 Q02608
P32387 Q12330
P07272 P53974
P53924 P38208
P53322 P09032
Q12418 Q03768
P39682 P39960
P15108 P47150
P16862 P33307
P53129 P38615
P22219 P23394
P23644 P20604
Q12262 P27895
P05085 P32337
P53082 P34253
P35688 Q00816
P39960 P53845
Q04195 P53129
Q08193 P36103
Q08601 Q08204
Q06549 P38682
P40509 P53295
Q12017 P32629
P53258 P40013
Q07381 P40462
P02829 P40494
P32327 P32491
P33303 P53685
P32895 P38959
P38769 P32900
P00044 P32364
P36120 P36013
P53600 P38149
Q03899 P49166
P19454 P25336
Q05775 P23202
P53258 P39016
Q12518 P18410
P39969 P32581
P28320 P36421
P31382 P46672
P43612 P41816
P16658 P00128
P32521 Q08162
P25558 Q03920
P28743 P38859
P33418 Q03012
P25586 Q12315
P41920 Q12315
Q02825 P53049
P06839 P53859
P53136 P38080
P32349 Q00916
P25808 P32849
P17555 P53197
Q07508 P53271
Q04322 P40471
P47176 P09119
P05694 Q12102
P38198 P40413
P38872 Q06543
Q03862 P38077
P18410 P21965
Q12222 P36094
P10869 P32597
P38273 Q03784
P00812 P07149
Q06340 Q06406
P38789 P39704
P33441 P33333
P53865 P39703
P42846 P53930
P23642 P40018
P38072 P16658
Q12328 P39994
P53100 P27636
Q12020 P47122
P14736 P35729
P23642 P52488
Q99189 P39730
P53865 O13554
P49956 P38970
Q00539 P39718
Q99383 Q06178
P53973 P40202
Q05080 P38789
P43637 P50111
P14736 P42935
Q06102 P38301
Q02196 P36047
P38855 P07866
P07260 P23638
P35734 P40484
Q02100 P36049
Q06408 P06243
Q08162 P35193
P33334 P27637
P12688 P53163
P38930 Q08963
P39531 P38132
P38194 P02400
P00358 P38853
P23561 P53904
P37296 P02293
P06103 P52286
P25567 P38757
P32573 P15938
Q12033 Q07688
Q12734 Q06479
P39966 P53389
P39682 P07264
Q07471 P23301
P53184 P39077
P32471 P39904
P38063 O13553
P43616 P39704
Q02825 P53169
P42846 Q02608
P53040 Q08931
P20133 Q06245
P53152 P48559
P33331 P29056
P32945 Q07478
Q03897 Q12152
P49435 Q12343
P40965 P20133
P14306 P38764
P25655 P13393
P39682 P34160
Q12318 P40468
P32478 P43603
P40457 P39734
P53256 P28495
P07283 P25454
P25558 P20081
P38203 P15646
P40495 P40484
P53600 Q07896
P38555 P35729
P36005 P32629
P40555 Q00764
P53893 Q12175
P34216 P18410
P32328 Q12691
Q12277 P13663
P40078 P53212
Q07657 P29461
P38590 P38886
P32485 Q12449
P21965 P40160
P30619 P39742
P28707 P34758
Q06137 P07262
P17536 P17157
P51534 P53941
P33333 P14742
P33418 Q05947
P33401 P06704
P53973 P14742
P51996 P00729
P35203 P43583
P31374 Q04739
P40461 Q06673
P34160 P30902
P31688 P38634
P40495 Q02795
P53040 P40395
Q7LIF1 Q99260
P40078 P53036
P38153 Q92331
P23561 Q12026
P47176 P38793
P38792 P26793
P06844 P17536
P53152 P32767
P36120 P30902
Q03280 P36107
P38254 P32458
P32602 Q04868
P23642 Q03330
P32481 P35728
P02400 P38121
Q06554 P53867
P53599 P47165
P40302 P00331
Q07963 P06103
P32259 P52553
P20438 Q03619
P31111 P32350
P38339 P19145
P36010 P38132
P32328 Q04894
P38293 P22137
P38829 Q12315
Q05785 P53011
P41813 P38768
P53949 P47045
O13559 Q12199
Q06644 P33307
P53941 P30771
P40186 P38193
P27614 Q01389
Q02825 P54860
P43563 Q07930
P25343 P38324
P39962 P38697
P40413 P10363
P53147 P40484
P43603 P36037
P25515 P25297
P33333 P48606
P32573 Q06412
P19524 P53043
Q03162 P35729
Q12460 Q04067
P33331 Q12380
P00950 P26570
P33307 P38282
P36012 P38301
P47116 P06103
P00830 Q06164
P38204 Q02866
P32610 Q07896
P32767 P38956
P39517 P40091
P40327 P38301
P24867 Q01722
P32607 P22517
P38766 Q05881
P15891 Q05670
P23542 P40567
P38129 Q04368
P19882 Q00955
Q12017 P38723
P32639 P53549
P36139 P47134
P36068 P24004
P41814 P32345
P09938 Q04894
P40013 P39016
P34240 Q04002
P53974 P39742
P00724 P53049
Q08438 P15992
P49166 P32481
Q08217 P38871
P47124 Q07993
P49704 P14736
Q08963 P31539
P38879 P40492
Q08726 P04387
Q04934 P38759
Q07381 P35194
P50278 P38249
P52593 Q06479
P40024 Q03010
P31374 P31109
P54999 Q06543
P15807 P40422
P43583 Q12449
Q12175 P37296
P14724 Q00416
P39073 P25454
P53199 P13365
P25569 P34160
P39998 P38615
P34253 P46961
P40963 Q99210
P25294 P17505
P40340 P47079
Q03981 P32873
Q06704 P39940
P17255 P50944
P34162 P31412
P18888 P10081
P29703 P42944
P32528 P12753
P00549 P47019
