Q13772 P43320
P34741 Q96G23
Q96IP4 Q96PL5
Q9P2H0 Q03164
P38936 Q14494
Q01844 Q9UKV0
P28482 O00170
Q8NAP8 P28799
Q9H0E9 Q9C0K0
P19174 P26038
P63279 P25788
P63252 O94875
P04637 P21781
Q9Y4K3 P63279
P10809 P43405
P35968 Q14209
O15164 P29323
P41240 P27658
O00459 P24588
Q9UKX7 Q15038
P18847 Q9UJU6
P15336 Q8NHQ1
P35244 Q14181
Q14511 Q9UQR1
P12004 P23109
P41743 Q9H2U1
Q9P2H0 Q9UEU0
P06241 O75376
Q15544 Q9Y5X5
Q06187 Q96J77
Q16828 Q8NAP8
Q9UH65 P39019
O95405 Q16539
Q02156 P45973
Q9Y6X2 Q96BK5
P11802 Q13480
P51617 Q15797
P51681 Q99665
O14777 P06400
P43686 P11215
O15198 Q59EK9
P63167 P51587
P06493 Q14232
P15941 Q13111
O14980 O00571
P24666 Q9H0U4
O95248 P46940
P52292 P00734
Q8IYD8 O43613
P09429 P27635
P14678 Q9UID6
O75376 P48552
Q9H4I2 Q8WXF1
Q9NPI6 O15259
P02452 P29474
O75886 Q9NUW8
P11802 P01225
P09237 O75955
Q9GZT8 Q8N1W1
P36897 P28799
Q9UI14 Q8WU39
P29274 P07315
P11940 Q16665
Q8N6Y0 O75352
Q9Y478 O15360
Q14192 Q9NP98
Q9HCE6 P63208
O75558 Q13501
Q15366 Q13506
P16157 Q92530
P05121 P63165
P68133 P06729
Q13485 P42285
Q9Y4Z0 Q9UQB8
O60674 P13010
Q04206 Q07666
P42224 O14732
P12314 P23588
P21810 Q9HBH7
Q01201 P55040
P49005 Q14814
P36897 Q8NFH8
P08670 P21860
P13726 Q99932
P35579 Q8N3R9
Q13485 Q8IYF3
O60504 Q96HH6
P63261 P19801
Q9GZR7 P41222
P34932 Q8WW01
P29033 Q92743
P41159 Q92966
Q99728 P06400
P15036 P26367
P49137 Q8TAA5
O60341 P43243
Q13387 P35221
Q06413 Q05516
P10275 P52565
Q8N3R9 Q9BPZ7
P17676 Q8WZA2
Q8N5U6 O00470
P35609 Q15118
Q9UKY1 P50616
Q01780 Q13190
P24928 Q9NZ42
P05204 Q99708
P17676 Q13232
Q9UJU2 P05386
O75676 Q9NV56
P12931 P08100
P00533 P50461
P09237 P10636
P84090 Q7KZF4
P16389 Q92973
Q02363 Q13061
P10721 P48745
Q13363 Q9UJT2
P21579 Q16520
O94972 Q92963
P24385 P25942
Q6P2Q9 P19876
Q9Y4K3 Q8TAE7
P37268 Q15363
Q9Y383 P54252
Q8WUA4 P78344
Q04724 Q8N4C8
P11388 P51452
P25025 Q8IUK8
Q13200 P55197
P27695 P04792
Q00535 Q13873
Q5XPI4 Q9H8M9
Q9UHF0 P13501
P0DJI8 P17302
Q14186 Q9BTA9
P19174 Q92608
P21333 P43403
Q9NQT4 P16989
P62979 P07947
O96017 Q15628
Q99728 Q9UGP8
Q8WU20 P52799
P18206 Q06190
P22681 P02766
Q9P253 Q9BYV2
Q06187 P54646
P12931 P19012
P48443 Q15788
P62875 P00488
Q9Y3C5 Q9NQX3
Q16633 Q9BX70
P14921 Q9NVV9
Q9UN37 P06307
Q99814 P67809
Q86WV1 P60983
P24928 P55055
Q96T60 P33151
P10721 P30305
P42574 Q9Y3C5
P31321 Q05513
Q12923 O14920
O75170 P16473
P04637 Q9Y5S9
P01033 Q99962
P61956 P17948
O00499 P11802
P30307 Q9ULV0
Q9HCN4 Q13017
P52565 P46531
Q9NWF9 O14964
P61978 Q99828
Q13485 O14678
O14910 Q8TEL6
Q92834 P62854
O43707 P06396
O00327 Q9P0L9
P12956 Q07817
P08670 Q96BH3
P11137 O15049
P27824 P09471
Q969G3 P41220
P17676 P15090
Q15172 Q14112
P21333 Q9NZ08
Q16254 P12004
P63279 Q9HAW0
Q16594 P06239
P01042 P22083
P05067 P62253
O43432 O43818
Q9Y566 P10586
Q15545 Q01844
Q05209 P03372
Q00613 P01100
O60671 Q9BQI9
P00533 P08670
P21860 Q9UBS0
Q13526 Q96RU3
P46100 O95271
P15941 Q6ZU52
Q99547 P29474
P15976 P22455
Q9P2M1 P04179
P05106 Q9BQD3
O95832 Q9P2H0
Q14289 O14746
Q15797 Q06323
P50453 P48050
Q04206 O60264
Q14789 P25705
P06400 Q4KMG0
P17252 P60201
Q15796 P31946
P02649 Q9Y4H2
P35568 O75553
P02458 Q15303
Q86UW9 O14746
Q03405 P16220
Q15654 Q15365
A6NC98 P43631
P84095 P26992
Q92731 P08138
P05771 P35318
Q9HAU4 Q9H0I2
P47928 Q9C0D5
O43597 Q9H267
O14744 Q9NY99
Q8TE68 Q9BVA0
Q09472 P43403
P25963 Q8NAP8
P08047 P04278
P08670 Q07960
Q96N67 P42566
Q9Y262 P04003
Q13489 O60880
P10827 P38936
P54652 Q14653
P61247 Q13363
P46531 Q15172
P78559 P30305
P14598 P35318
Q8TEL6 Q9H0R3
P14555 P46940
Q9UIS9 Q96S59
Q9Y6R0 P23945
P06493 P04275
P42858 P31994
Q15650 Q92900
P03372 Q6PD62
Q9H8T0 Q9Y3C4
P23528 P27701
Q15834 P07359
P12956 P43119
Q15654 P21246
P42224 O75688
O95819 Q96HB5
Q71U36 Q14103
P49368 P01116
Q16539 Q15398
Q12955 O95750
P62993 O60711
Q96HC4 P15336
Q14789 P04632
Q96ST3 Q03113
Q13432 Q8NFF5
Q9UMX0 Q63HQ0
P10415 Q8WUY3
P04049 P07332
Q15645 P26367
P10275 Q13588
P01127 P53041
P08621 P39880
P45983 P35637
P61981 P05362
Q05655 O14775
P17948 Q9NSC5
P35462 Q15751
P20339 P06753
P68133 P13501
P35080 P24723
Q9Y243 P25105
P17509 P41594
P08670 P61981
P21673 Q9UKT9
O95502 P68363
P08138 P61604
P13984 Q15465
O60244 Q15785
O60493 P04155
P08047 Q8TD31
O95376 P17302
Q7Z7J5 Q13371
Q04912 P27987
Q15054 P46108
P18433 Q8TD07
P01730 P10515
P61769 O60784
P07948 P08588
P22681 Q13765
Q9UKJ5 Q8WW01
P08311 P07384
P09619 P09693
P51116 P49407
P19174 Q16625
P60228 Q96MF2
Q15436 Q9BZ29
Q12959 P17302
Q9NRR5 Q9BYD3
P35638 P61086
O15151 P04899
P27824 P02768
P31749 Q9UHI6
Q09472 P05783
Q13535 O00501
O15105 P17612
Q13362 Q99952
P35222 O00268
Q13114 O96020
P12931 P09874
P08311 Q9NP97
P43364 P41240
Q99626 Q96I34
Q05086 Q8NDV3
O14964 P19022
Q9H1I8 P02538
P29350 O75962
Q14192 Q14669
P17252 Q13547
Q53GS7 P35580
P04637 P27540
O43353 P48145
Q16623 Q13426
P63010 P55212
O75925 P39060
Q15796 Q9HCU9
P17252 P02549
P63261 Q8TEU7
P68104 P53618
Q14191 Q05586
P43405 Q8WXF1
Q16531 Q13427
Q15154 Q15363
Q01780 Q96CW1
P06493 Q13596
P0DPH8 P51003
P18031 Q09028
P36941 Q5T3J3
P52333 P33176
Q6ZVK8 Q9H0B3
P84022 P02743
P25101 Q9BX70
Q13617 Q9NQW7
P13010 P48736
Q07021 P56134
Q92830 P05783
P46100 Q92973
P07996 P00450
P11802 O43663
Q12789 O95486
Q13485 Q06124
P04637 P63104
Q15653 P35670
Q08257 P80303
P68400 P26367
P03372 Q02548
P68400 Q9UEU0
Q13509 P19174
Q9UGJ1 Q9UJY4
P50402 Q9UNS2
P68400 Q9Y2Z0
P19838 Q15102
Q96ID5 P56537
P56537 P14635
Q9UHI6 Q8NEK8
P08631 Q96BT3
Q96ED9 Q9NSA3
O15519 Q15797
P30533 Q9Y6C9
P01730 P46108
P51170 Q9ULZ3
Q14654 Q9UL54
P21673 O15162
O00255 P05154
P27695 Q13191
O95747 Q13432
Q9Y618 Q9GZS3
Q8IZH2 Q96MP8
Q12802 Q8NHV4
O43524 Q12913
P29084 P84077
P31749 P62877
Q9Y678 O43818
Q96PY6 O60941
P31749 P26447
Q96CA5 Q13424
P40763 Q03113
P51531 Q03431
Q13485 P68133
Q7L5N1 P09769
Q02750 Q14764
P11473 O15524
P09429 Q06643
P78396 O00291
P63244 P13647
P47897 O60925
Q92793 Q92966
P14672 Q15223
P61981 P20226
Q16891 Q92956
O60828 Q99614
P15622 P61968
P40424 Q03164
Q5RKV6 P63172
O15379 P06748
P05771 Q15797
P01562 Q8WV44
P00533 P05556
Q07866 Q92572
Q99708 Q12879
P30307 Q92974
Q9NRD5 Q9H5V8
Q9Y2D1 Q13939
O75170 P36543
P23458 Q01844
Q14186 P68036
P56524 Q00526
Q13137 P35555
P29350 P20248
P39905 P15882
P06213 P41002
P27986 P46940
P11047 P02778
Q9Y2N7 Q14315
Q13402 Q5T5C0
Q01130 Q13191
P17931 Q9Y3Q8
P19838 P63165
Q04206 P49759
Q13547 O95985
P49902 O14980
P54619 Q9H2G4
Q13309 Q8NHW3
P14923 P15882
P48443 P51617
Q8IXQ6 O75056
P23258 Q9NRP7
Q8TDD1 Q96RI0
Q15047 Q9ULU8
P02462 P67809
Q8IXK0 P34998
P22681 P07288
Q9UM13 P49841
P12956 Q13509
Q9H4I2 Q13177
Q9Y3A3 P63096
P62993 P17612
P48023 Q9NRI5
Q08043 P61968
O75496 Q9Y2Y4
P20719 Q9HAZ1
Q13113 P11388
P36956 P34932
P05412 Q9HAV5
P61968 P36405
P49023 P18887
P68366 P63261
O43561 P11309
P68133 P78314
Q14807 Q02447
Q15155 P35580
P28799 Q8WYK2
Q96RU2 Q9Y4Y9
P00374 Q9NTJ4
P02794 P48048
P00533 P04180
P02462 P06396
P61981 P19838
P09958 P54259
P46937 P45984
Q9NVC6 P43004
P05771 Q86UW6
P35579 Q969P0
O14924 Q12888
O14746 Q01968
P02686 O60732
P42574 P24855
Q09161 Q15904
O15287 Q13322
Q9BUN8 Q01860
P50553 Q9UGC6
O75569 P36404
P84022 Q9UJX4
P09429 P83436
P53420 Q9H2G9
P23458 P31946
P18627 P62070
Q15654 Q9Y2H1
Q13526 Q9H0I2
Q16623 Q9UNE7
P53803 O75344
P63279 O14763
Q92793 O95359
P17676 P28562
P40692 O15259
P05106 P46379
P48736 Q9Y4X5
P21980 O95716
P41235 Q8N3X1
P24386 P19012
P10828 P50402
P43405 P13611
O60383 Q9BT92
P05067 Q99547
P25025 O43422
P63261 P02751
Q07817 P35869
Q7L311 Q01968
Q9H081 Q15102
P08069 Q9H204
Q14940 Q8IZU3
Q96KB5 Q92963
Q9H410 Q96HH6
P35222 P49703
Q12959 O00560
Q9UHC3 Q93052
O00585 Q01995
O75334 P25490
P22681 Q9UKN8
P14672 Q8TEY7
P84022 Q13137
P06239 Q96DW6
Q9UJU2 Q9NQS7
Q8TCX5 Q96L34
Q9H1K0 Q92794
Q13224 P62995
P50613 P58335
P48436 Q8NHV4
P04637 Q14161
P14859 Q9UM73
Q6W2J9 P37173
O75689 Q96GD3
O96017 P01008
P04278 Q13480
P82933 Q9H7U1
Q92997 P35527
Q9Y618 P78345
P55212 Q969T9
P27816 Q9UK41
P60880 Q13162
P07948 O60684
O15530 Q8TD19
P05556 P25101
Q96GD3 P53621
P63104 Q13009
Q14671 Q93074
P04637 Q16740
Q15029 P33992
P21675 Q13813
Q99816 Q05513
P53779 Q15906
Q9BZL1 Q8IY31
P21728 P19012
P31749 P00395
P07858 P51677
Q8WV28 P08581
P06400 Q3MII6
P18509 O76080
P78346 P20916
Q7Z6Z7 P62070
P54253 Q9HCU9
O14757 P23467
P45984 Q92817
Q99750 Q13683
P54257 P08581
P28482 Q9BX70
P29466 P15622
P0DP25 Q14145
P55854 Q96RK0
Q13077 P04196
P28562 P16150
P17706 P12814
Q01844 Q9P2E2
P98172 P20618
P03372 Q9HC98
P61970 P22607
Q9UBZ4 Q13424
O15379 Q96MA1
Q13705 Q99542
P60709 P62328
Q92793 Q15834
O43929 Q59H18
P49715 O00512
O94906 Q9UL51
O94818 O43815
P31749 Q5TCZ1
Q9Y5X1 Q9NRG1
Q01844 Q00587
Q9NWF9 P54652
Q05655 P07478
Q9P2Y5 P04406
P48443 P46109
P62308 Q9UIQ6
P08069 Q9NW97
P04437 O43524
Q9UM47 Q07820
P28223 P15622
Q02548 P46821
P04637 Q07011
Q9NRR5 P23471
P40763 Q13155
Q92922 Q6VMQ6
P01011 Q92574
P49023 P08473
O75533 O00445
P15173 Q99836
Q99578 P51610
Q92793 Q8TF42
P25963 Q9UDT6
Q9GZM8 P10589
P07384 P23528
P09619 P60201
P26639 Q03135
Q14974 P01282
P20936 Q01081
P61158 P42345
O14745 P62873
Q9UKV3 P20701
P06241 P12004
O43353 P07237
Q9Y618 P15260
Q04771 Q92841
Q13501 P69849
Q15545 Q15596
Q7L5N1 P14651
P54257 P13591
P54253 P63104
P49137 Q96ES7
Q92793 Q16611
Q07817 P26038
Q96Q15 P42229
Q9UBT2 Q15118
P12004 P49336
P46108 Q9NPB9
P24385 O14746
P63165 P35240
Q96SB3 P42229
Q9H147 Q96KX2
P01112 P20366
Q15645 P45984
P12830 P01040
Q9NRD5 P51692
P19525 Q15750
Q9Y679 Q15329
Q96JE9 P62508
Q04206 P08311
Q9Y4K3 Q07869
Q12933 P30307
Q92835 Q15572
O95477 P06400
P05019 Q9Y2Z9
Q99570 Q99828
P03372 P12931
Q02750 P63244
P12931 Q9H1I8
P46952 Q9Y3C7
P14678 Q15645
Q13838 Q9NV70
P10275 O75475
P55212 P35222
Q00994 Q00526
P49841 Q9H1D9
Q969L4 P21741
P00533 P24941
P31946 Q9HAW0
P29350 Q15172
P05771 Q03468
P32121 Q9NPC6
P61586 P63244
P60484 Q9NR19
P14136 O94973
P01730 Q9UPT5
P10599 Q13361
Q04637 Q9Y3C0
P21675 P13725
Q9Y6X2 A0JLT2
P19174 P42262
P52655 O60880
Q9BZL4 O00161
Q96J02 P28336
P15172 P06858
P27348 O14978
P31751 Q9NZP8
P41220 Q02094
P48736 P30968
P05412 P49959
P49755 O75146
P29466 Q5T0T0
P41240 Q04771
P49810 O95817
P10636 Q86SS6
P27986 O95757
P54253 Q14181
O96017 Q13873
Q04206 P10636
P00533 O14920
Q07157 P35462
Q96G25 Q92673
O95166 Q9BXJ8
Q04724 Q8N4C6
Q92900 O14492
P56693 Q01113
P36897 P61201
P17181 O15524
Q9UIF7 O15399
P41134 Q16637
Q9UJY1 P24158
Q8N357 P05771
P26038 O43914
Q9BW27 P49286
P27701 P58215
P67775 P12931
P24864 Q15464
P24385 P10827
O96004 Q92558
Q15464 Q08174
O76064 P48058
O75628 O75631
Q9BZF9 P23763
P41235 P62979
Q13885 P57078
P05067 P25025
Q12933 Q12852
P31949 P35221
O14798 O00291
P84095 O00213
P04637 Q96PU4
Q9UKV0 O60674
P19387 Q14232
P19235 Q8WTW3
Q9Y2X7 P84103
Q9H8V3 P51843
Q5RL73 Q13635
Q96J02 O75154
P29590 Q9P2W9
P47897 O75444
Q9H2G2 Q9UEW8
Q12906 P42575
Q9BQY4 Q9UBZ4
Q15788 P10415
P08670 P60953
P42858 Q9UJX6
P68400 P23443
Q14686 P16401
Q09028 Q9Y2X7
Q9H1I8 P15907
Q99683 P28827
P01303 P07360
P52701 P02686
O60637 Q96PN6
P63104 P35240
P17483 P04440
P40189 P55211
Q5T230 P42345
Q02383 Q5TA45
O15455 O14613
Q9H257 P08908
Q05516 P51116
O75593 Q9Y239
P61978 P47813
P16157 Q9Y2J2
Q15139 Q9P2G9
P15391 P14616
O94762 Q14847
P35243 P06400
O95967 Q8IZ52
Q9HC62 P14780
P50402 Q96PN6
Q9UER7 P20700
P12004 P20248
Q99683 P19634
Q96PU5 P23142
Q9Y4K3 P16333
P55199 Q9HBE4
Q7Z2D5 Q6P5Z2
P07711 Q9NP94
P17612 P19438
P00738 Q8NAP8
P35241 Q9BXK5
O15539 Q9UK80
P12931 O00470
Q9HCU9 P00797
P06493 Q13541
O14672 P23634
Q03135 P98095
P49790 P08138
Q99750 Q8N807
P22681 P40337
P42574 P22303
P10636 O60784
P08670 P17936
P15502 P07498
Q14289 Q9UIS9
Q92835 Q5TD97
O14745 P43243
P20807 Q96MU7
P48039 Q02487
Q9Y383 P20936
P63104 Q14203
Q99081 P55273
Q9H4E5 Q9BZR6
Q86UR5 Q02543
Q13885 P11802
Q99578 P42224
P61604 Q99442
Q15788 P55036
Q96SN7 Q9NWN3
P68400 P42261
P63104 Q15788
P35222 O15527
P36575 P10746
Q5TCY1 P22736
P08670 O60674
Q16623 P83916
P98160 O00303
P49736 P11277
Q93062 Q9UQB8
P84022 P08572
P17252 Q9H081
P63104 Q8WXK3
Q15797 O14727
O95376 Q16891
P09874 P42166
O60674 Q9H7U1
P16070 Q96AE4
P04114 Q12840
Q15796 Q13464
P29350 Q07869
Q02078 P42261
P37231 P21980
P35568 P02787
O43561 Q9UKJ5
P30411 P10321
P08069 Q9P2Z0
P12931 Q15788
Q12809 P61956
O00144 Q07157
P04049 Q15797
P19387 P46531
Q13547 P55211
P21246 Q9HCE7
Q8N6P7 Q96NW7
P03372 P0DP25
P46952 Q92834
P49840 O60882
Q09472 P31785
P41134 Q13885
Q96KG7 O00203
Q96G25 O60907
P45983 Q9BSU3
P00748 P30988
P27361 Q13884
P38432 Q00610
P04049 Q96SB4
Q15047 Q13277
Q14686 P01215
Q12789 P04406
Q8TEW6 Q07820
P78559 P08651
Q8TAQ2 P07359
P00533 Q99594
P29323 P18827
P18847 Q96LR5
O00330 P08962
Q9NPC8 P35462
Q13368 P31273
Q12967 O43908
Q14469 O14618
Q9UPV9 Q15831
Q16594 Q00653
P10827 Q96K80
P61981 P43378
P07196 Q9GZT9
P23276 Q16548
P62745 Q12852
Q07157 P42345
P46379 Q9NYB9
Q14676 P31947
P68032 O15062
Q13547 Q04721
Q9UHI8 Q8TF65
P12814 Q9HBM1
Q92585 P41240
O95777 Q8NHW3
P08908 Q9NQX3
O00499 Q99466
Q92793 Q96T58
Q9NRR5 O95751
P52434 P51790
O15457 P20742
Q15834 P98082
P11142 Q7Z6G3
P04637 P14316
P63104 Q14CM0
P12931 Q9HAU4
P37173 O95837
O75052 Q15797
O14745 Q9BUB5
Q15393 Q15464
Q96PU5 O00231
Q7L5N1 Q15628
P50548 P68032
P10809 O14727
Q9HCE7 P61020
Q99966 Q7L2E3
Q15788 O75382
P16333 P21673
O95870 P35611
P13569 P55075
O60506 O43186
P23511 Q8TDH9
Q96B26 Q13283
Q9H939 Q14814
Q04637 Q13480
Q96BA8 Q13753
Q99942 P61328
P26641 P62820
P43119 Q9Y483
Q9HAU4 Q9Y4P9
Q06787 Q8TAX0
Q01780 Q92597
P50453 P27361
P04637 Q92934
P25963 Q99598
P04156 Q01726
O14745 P11717
P60709 Q8NF64
Q96HT8 P23434
O43508 Q8WUM4
P22681 P29992
Q5FBB7 P51813
P15172 Q13133
Q07666 P20226
P43403 O96006
P62993 Q9NV88
Q01844 Q9BQ66
P49768 P30153
P12757 Q8WUM4
Q9UBN4 Q99941
P16619 P31943
P60520 Q9UN37
Q9NQT4 Q99615
Q03591 P11802
P18084 Q9BX69
P43403 P09012
P0CG47 Q9NRM6
Q96FN4 O00206
Q96QT4 P24530
P04637 P48729
Q9BV79 P30556
Q08495 P18627
Q02156 Q14520
P08069 P34998
P40763 P62987
P46108 P51809
P23193 Q8NBJ7
Q9BVJ6 Q9BZD4
P10114 Q9C0D5
Q9UM47 Q15375
O43747 P49588
Q08999 P46934
Q15466 Q16352
Q9NZQ3 Q15365
P04637 Q9Y6X8
P19793 Q00403
P33993 P01236
Q96QZ7 O14813
Q9HBA0 P78406
Q14511 P02775
Q15596 Q9H3R2
Q14186 O14933
P14618 Q5D1E8
O15198 P02647
Q9UKR5 Q8IY37
Q15628 Q9NPQ8
Q9Y3P8 Q99986
P46527 Q8N488
Q15047 P53611
Q92793 Q9UKX5
Q00403 Q93062
P61981 P29371
Q9UI14 P45984
P55884 P07737
Q8WZ42 Q13422
P07711 P04406
Q09472 P10600
P45984 P30990
P06756 O43557
Q03405 O14798
Q9Y580 P29965
O60268 P15923
P62834 Q9HCL0
P60484 P10523
P07333 Q15052
P04275 Q96ST3
O15198 O60941
P36954 O00468
Q9Y6D6 Q13077
P35222 P48643
P21333 Q9NQX5
Q01844 P19438
Q13432 P26232
P61289 Q15389
Q13094 Q9Y6K1
P27448 P43007
Q5T3J3 Q02556
Q15027 Q13838
P24385 P05107
Q99460 P51168
O43889 Q9Y6C2
P54257 Q93062
P08670 Q15834
P43351 O43463
P60880 O14836
P10916 Q15751
O14717 Q13425
Q9UNE2 O00471
