Q07699 Q9NY72
Q9NPC7 Q7L0Y3
P58304 Q9NP97
P22492 Q96HU1
Q8IXQ5 Q99956
P78337 P31937
Q8NFH8 Q99967
O60711 P22670
P78527 Q9P278
P25398 Q5XKR4
O76094 Q15596
P54098 Q9UNI6
P46783 O43543
Q9BXL6 P13349
Q09472 P29144
P14316 Q06124
P23297 Q05952
P60484 Q01538
P11766 P12755
Q9P0K8 P42574
Q58A44 P20226
P57053 Q58A44
P21675 P49589
Q9UNN4 Q96NW7
O00472 Q9NR46
Q03052 Q8TE02
P09001 Q96KF2
Q5T3J3 P07196
P22304 P47897
P62942 Q5VVJ2
Q8NFU5 Q9BU02
Q96FI4 Q13794
P83369 P05413
Q96HA7 Q9H211
Q9UII2 Q8N807
P51649 O94782
O14920 O94913
P18085 Q99626
Q06520 P78364
P28702 Q9HD33
O95848 Q9H1Z4
Q15596 Q08752
Q03013 P84103
Q13415 P08729
Q9Y295 Q5VVJ2
O95600 Q9BXI3
P49888 Q92826
P63272 P09960
Q92830 Q96QG7
Q05209 Q05195
P17516 Q00056
Q96RP9 Q92826
Q96M27 Q8TCE9
P17174 Q9H9L7
P82909 Q12951
Q15545 Q92844
P47928 Q96I99
P22304 P35790
A6H8Y1 Q9BPZ3
Q16828 Q9UHX1
Q9BT17 O00462
Q8IX03 P52435
O75170 Q9UJW9
Q9BW04 Q86XK2
P41279 Q9Y6X8
Q96G01 Q01538
Q6NXT2 Q9NVS2
P07451 Q9NWU2
O75593 Q9UPP2
Q9HCN2 Q9H0W9
P11473 P20807
Q9NP74 P18615
P30419 P31270
O75971 Q9BW04
P31350 P33778
P63302 P52435
Q9UDW3 Q8N1V2
P62318 Q00169
Q16698 P23511
Q15796 Q9UPN9
P53004 P13349
P10071 P00568
Q9H4I2 P21695
Q9BXL8 Q9NP97
Q99707 P39748
P50453 Q99990
Q14749 Q13510
P61244 P35270
Q9BYC8 Q03828
P49675 P0C7P1
P35244 P54687
Q6PRD7 P28370
Q9BXL7 Q9Y3D8
P46783 O95248
P05423 P40939
A6NEQ0 P15121
P34897 P17483
Q13568 Q9P0M9
Q9UGU0 Q8N142
O94906 O75643
P00492 Q0VG06
Q86Y13 P29558
P15428 Q15916
P15923 P09960
P35558 Q15393
P54132 P10155
O00472 Q9NZD2
Q86WQ0 Q13795
P62995 Q9BSL1
P62995 Q9BYD2
Q16143 P51688
Q9UI17 O60356
Q16676 Q9UIV8
P55039 Q9H582
P54845 Q7L0Y3
Q9BWD1 Q15542
Q15583 Q08495
Q02086 P61970
Q9BS31 Q9UPP2
O75150 Q9BYN0
Q9UHR5 Q9HD40
P78417 Q86UU0
Q9ULG1 Q92837
P17516 Q53T94
P29218 P21675
P47928 Q6NUP7
Q9Y3E5 Q86XK2
Q9BUQ8 P15104
Q7RTR2 P20823
Q9Y2Q9 O43325
P18054 Q02556
P32519 Q9P0J6
Q9Y6K8 Q99590
Q9UIV1 P49789
Q01664 P14598
Q9Y3E5 Q02535
P51580 Q9H4Z2
Q99707 Q07864
P26358 P29353
P05412 Q99551
P57723 O43781
P29083 P62937
Q8TDY4 Q9Y4A5
Q13610 Q9GZT8
P35712 P78417
Q76N89 Q9NV56
P25205 P47897
Q8IXM3 Q7Z5L9
P29218 P31276
Q9UHD2 P06899
P28698 O43819
Q969Y2 Q96QV6
Q16828 Q70SY1
P12081 Q15853
P50990 Q9UBU7
P17405 Q96LI5
P29084 Q14032
Q9NR20 Q14863
A2A3N6 P27707
Q8IUQ0 P31270
Q9BWX1 Q9BYC9
P33076 Q9NR46
P10275 P42574
Q9ULX3 Q9Y2D0
P09001 Q13243
O60711 Q6P1X5
Q12789 Q9NX20
Q8NDX5 Q8N7A1
P47902 P0CG30
Q8WVY7 Q96QG7
P55210 P11474
P28347 Q9Y2R5
P12524 P29144
P49591 Q9UGU0
Q5H9F3 P12104
Q9BZL1 Q9UL03
P15407 Q5XPI4
P20132 O00311
P15173 P0C7P0
P40939 O95639
Q07617 P09016
P51649 Q9HAN9
Q9NQ33 Q6PGN9
Q7RTR2 O94913
Q06710 Q9BW04
Q13610 Q16773
Q15573 Q15080
Q02078 Q96GX9
Q93015 Q7Z5L9
Q8NDX5 P35237
O75506 P00352
P31327 Q13285
Q8N142 Q969J2
Q14999 Q13595
Q12882 P36402
Q5SW96 P55895
O15540 P02545
Q9UJM3 Q5VTD9
Q8NB91 O75251
P49005 Q9BYC9
Q06413 Q07617
Q93079 P82912
Q969L4 P53667
Q16643 P31249
P33240 P07148
Q7Z5Q5 P51398
O43913 Q13126
Q5TCY1 P20719
P11161 P14868
Q99879 P29144
Q96M27 P51513
Q13569 Q9UKF7
Q8NFG4 P63162
O15540 Q02447
P52945 Q13794
Q03052 P68104
O95071 Q16719
Q16643 P17275
P30838 Q6NYC1
P51970 P61964
O43837 O60381
Q9Y295 Q2M1K9
Q9UL17 P08319
Q16656 P23378
P47928 O43307
Q9P2W6 Q02548
Q9Y216 P31269
P78540 B2CW77
Q9Y3D3 P43235
Q9HCE6 P35475
Q99707 Q9NR55
Q15562 Q969K4
O75363 Q8NHV9
O43913 Q9BZQ8
Q9BXI3 Q5M775
Q96DI7 Q06520
P15586 Q8WWV3
O95376 P38646
Q8N9W6 Q00444
Q969G3 Q9NR46
Q15544 Q96LI5
P49715 Q9P278
O75526 Q7L0Y3
Q86WB0 Q7RTR2
Q7RTR2 P20671
Q9HCY8 Q6UB99
Q9BW04 Q8N5A5
Q6WQI6 P14653
Q16613 Q8NFW8
Q16560 P09455
Q16670 P09001
Q9UJA3 O43776
P13639 Q7Z5L9
P17050 P82663
Q8WXC3 P16402
P24752 Q05923
P05089 P49640
Q6P1L8 Q9UI36
Q96KK5 P21695
P38571 P29144
Q9Y3D5 O75643
O00170 O94913
Q16656 P78358
Q8NEL9 Q15637
Q06278 P19532
P28838 Q15291
P05787 O75529
Q16740 Q15393
Q14999 O60264
Q14651 P78364
Q96P71 Q8TAQ2
Q92598 Q9HAW0
P83876 Q5H9J7
Q86WQ0 P31937
Q99558 P32314
Q9UHL9 Q96I99
P49915 Q15723
P26441 Q13573
P15559 Q9UHV7
Q13156 Q08257
Q9NRN7 Q9BUL9
P68431 P49406
Q7L0Y3 Q12800
P35548 P55210
P18847 Q9Y239
P78368 P68431
P17482 Q6XE24
O95071 Q2PPJ7
P20719 Q16540
Q13126 Q12947
O95411 P49591
Q9NX01 P15121
P15374 O96028
Q9UKI8 Q9NR46
Q9UGN5 P00352
P48729 Q8TAT5
P16050 Q01196
P50120 Q6IEG0
Q9BXL6 Q9NZL3
Q02962 Q9BU02
P21399 Q12986
Q16543 P39748
Q93096 Q92785
Q9NWF9 Q5M775
O14727 O00267
P29374 Q00169
Q00403 P82664
P51688 Q13795
O95931 P54577
Q12882 P30876
P00492 Q03701
Q14CX7 Q8NHV9
P35321 O60341
P28702 Q9P278
P29084 Q14442
Q9Y5Y5 O96011
Q16612 O14503
Q9BYN8 P40617
Q6P1L8 O00472
P40227 Q15853
Q06413 P16083
Q9Y295 P0C0S8
Q9BUE6 Q9UBC3
Q8WUN7 Q96S96
Q13568 Q9BWD1
Q02252 Q14186
P07602 P48728
P63272 P23921
O14618 Q9Y618
P49591 Q9UKI8
Q96QT6 Q9NP97
Q9UH92 Q9UDV6
O95379 Q96FI4
Q6PL18 Q9NX18
P40261 A0AVK6
Q9UJM3 P06865
Q8NEL9 Q96S96
Q9UIL8 Q92844
P63167 Q13356
P20671 Q9BTM9
P07602 Q16612
O95931 P53384
Q04727 P30838
Q99877 Q8TE04
P82912 Q86V15
Q9UEE5 P0CG30
Q15583 Q96HU1
Q9NWU1 Q92989
O75828 O95243
Q9P2W1 P35754
Q16560 P83881
P17544 P35237
P27708 Q9NQX1
Q8TCS8 Q86TM3
Q14CX7 Q16587
P04183 Q13888
Q16676 Q6B8I1
P59942 Q99590
Q13123 P32322
Q15054 Q9Y6R0
Q9Y2Q9 Q9BWE0
Q8IWZ3 Q92698
P12956 Q96RG2
O75170 Q14186
P20132 P15918
Q16828 P20290
Q6UXN9 Q13085
P78417 O76039
Q15319 Q9HBG6
P24278 P52888
P43268 P21266
Q96DI7 P31937
P50750 Q9UII2
O60239 P61218
P49005 Q9P0M9
Q8NHV9 Q06124
P62917 P50613
Q09472 Q16537
Q96T60 P14598
P52566 Q9H4Z3
Q9BU02 Q96PN7
O00268 Q9UI17
P08047 P82932
Q8N983 Q6ZRS2
Q14999 P14651
Q96EK5 P19419
P42574 Q96PN7
Q01130 Q01469
Q7Z5Q5 Q14894
Q00444 P63167
Q9BV36 P17481
O15305 Q99878
P41279 Q9Y3E1
Q9BWW7 P48728
Q96CS3 Q99729
Q69YI7 Q8TF09
Q03181 Q9NQR4
Q5VZM2 Q8IZU0
Q13546 O60814
Q96EK5 Q8WTS6
O15540 Q01196
Q9HD34 Q02386
P52815 Q9BX63
Q9NR19 Q02241
P55210 Q8N257
P07992 P13995
Q8TF09 Q02241
P51784 O60477
P12081 Q05925
P63272 Q96JJ3
P47874 Q8N257
Q92552 Q15911
P78337 Q9Y2J8
Q99878 Q96TA2
Q96RG2 P13378
O75170 P51532
Q9NX18 O14981
P35325 Q9NX70
Q9UNL4 Q8N427
P49915 P53999
Q13107 Q9H4Z2
Q6UB98 P55084
P50453 Q9UBU8
O95848 Q16777
P0DMN0 P0CG12
Q9UHN1 O60671
Q6UB99 Q9Y3D9
Q9NX02 Q04726
Q14790 Q8IU81
O14981 P82932
Q6NXG1 Q99757
P28698 Q8TE02
Q16254 Q8TE04
P50135 Q8IXQ6
Q15072 Q9NQI0
Q06547 Q8TE02
Q6NYC1 Q9UI17
Q86Y13 Q9H4I2
Q8IUQ0 Q8TAD8
O14713 P08048
Q9UHR5 Q9NQX6
Q6FI13 Q8WYK0
P20936 P49917
Q13795 O43513
P26367 Q9HD40
Q13888 O14920
Q8IXF0 Q99551
P49848 P51398
Q13526 O00411
P62917 Q16533
Q9NPC8 P17661
A6NDE4 P08319
Q9BZQ8 O95218
P15172 P82650
P55854 Q86Y25
P08579 Q9Y238
Q9BSM1 O14618
Q53GS9 Q6WQI6
Q9BV36 Q96QR8
O43182 Q8N9N8
Q9NVS2 Q16385
P49675 Q14190
P23297 P10074
Q9BZQ8 Q9Y463
P68402 P61244
O00411 Q9H611
P12956 Q07617
Q76N89 Q96QT6
Q9Y676 Q9BYK8
P15428 O75461
P20132 P10242
Q8IVW6 P35236
Q9UMQ3 Q04828
Q58A44 O60675
Q15545 Q8TDY4
P10155 O60481
P32119 Q15543
Q13610 Q14CX7
Q96JJ3 Q9UNI6
Q8IWT3 P61964
Q9NX09 Q9H1Z4
P06899 Q16643
Q49AM1 Q8WZ19
P34896 Q92826
P53677 Q9GZZ0
P08621 O76031
Q9H2J4 Q9Y6J9
P0C7P1 P16083
P26641 Q5T3J3
Q8N9N2 Q9H147
Q58A44 Q969J2
P51553 P28715
Q9ULC6 Q9Y2X9
O94763 Q9NZD2
P04183 Q8NB91
O43316 Q96PU5
P0CG30 P23759
P49411 Q9UNI6
Q96I99 Q9UBR2
O60941 P41002
Q6WQI6 O43543
Q9UGK3 Q9Y657
Q9NX09 Q9H2S9
O75400 P07196
P29144 Q15915
P49915 Q96D98
Q14749 Q14839
Q99880 Q8IWZ3
P68104 Q969F1
Q9BRJ2 O43684
P20936 P15407
P32929 Q969F1
Q15424 O95786
P41134 Q7Z7A3
P48643 P10914
P78549 P23381
Q9NWT8 Q9H9J2
Q04727 O00142
Q9Y3D5 Q96T76
P82650 P09630
O94916 P07327
Q6WQI6 Q96DI7
Q12946 P31327
Q9H2S9 Q96RP9
Q86WB0 Q00059
Q9NSY1 P17987
Q6V1X1 Q9UKI8
Q969G3 Q9BUE6
Q86UE8 P14598
Q9NYK5 Q96KF2
Q6PL18 Q8TF40
Q6NXT2 Q9Y2Q9
O95409 P40939
P43355 Q16533
P56282 P23378
O43679 Q9NP97
Q9P2Y5 O14646
Q12873 P16949
P78540 Q53HV7
Q13362 Q8TCD5
P50219 Q9BYD2
Q86UE8 Q14CX7
P09960 Q14186
O94763 P12104
Q03013 P09630
P22304 Q96RG2
Q9BXI3 Q13761
P12081 P28069
O95931 Q9Y238
P03372 P82650
Q12931 Q3ZCT1
Q16548 Q9Y3D8
Q15173 Q00056
Q96G01 P27707
Q9BZE1 O14862
O43474 P25398
Q86Y13 P17480
O43396 Q15393
Q15072 P48200
Q9Y238 Q01094
Q15911 P82675
P49902 Q13243
Q5TCY1 Q08999
Q9NR19 Q16778
Q8WUA4 P53667
Q9H0A6 O00287
Q10586 Q99551
Q9UDV6 Q9UHX1
O43837 Q02535
Q9UHN1 Q9Y5N6
Q5QNW6 O76031
Q6V1X1 P23025
P07686 P63302
Q96G61 P33778
P32119 P22304
Q9Y5Q8 Q9BXI3
Q9NX20 Q00577
Q13415 Q13085
Q96P71 Q03164
Q96JJ3 P55317
P12081 O60231
Q969K4 P61964
P0C0S5 Q92598
Q15651 P49406
P11245 O95926
O14641 P61371
Q16698 Q15542
P82933 Q15916
Q13156 P34897
Q02078 Q9NX20
Q9H5F2 Q8N427
P24752 O95125
Q9NTZ6 P53677
Q9BZQ8 Q8N807
P07196 P51693
Q6PL18 Q16740
Q9NR46 P01106
O43593 Q15080
Q06945 P16949
Q96AA8 O95125
Q9UBW5 P28340
Q9BZE1 O60481
Q8TCE9 P15428
P29353 P51513
Q6V1X1 Q9H1Z4
P49902 Q12824
P12081 Q96SD1
Q9UJC5 O60477
Q9UII2 Q15573
Q9Y3E5 P23511
P21266 Q8IU81
P25963 P17036
Q8TAE8 O43776
O43307 O43148
Q9HD33 P02545
P62937 P01236
P52926 P00558
Q16613 P52945
O75164 Q9H0A6
Q9ULC6 Q15393
Q6P1L8 Q8IVL1
Q86Y13 O43781
Q6ZYL4 Q9NP97
Q14562 Q15185
Q9HBE1 Q8N4X5
Q9NRN7 P35680
O00170 P18074
Q8WVM0 P14316
Q03181 Q01581
Q99487 Q9Y5X4
P26599 Q16537
Q99581 Q06520
P21399 P30307
Q9H0E9 Q96TA2
Q8N3C0 Q99590
Q969L4 Q9H4K7
Q99487 Q9H9L7
Q9Y5X4 Q16828
Q9NY33 P06899
Q96A58 Q9HAW0
Q8NFG4 P10074
Q92552 P31942
Q9BZL1 Q9H6T0
Q9H7D7 Q16385
P23769 P23378
P53667 Q6UN15
Q99966 Q8N427
P62495 Q9Y3E1
Q5QNW6 P15428
P09067 Q86Y13
P35321 Q15291
P08729 P23025
P51116 P58012
P25774 Q9BUT1
Q96N77 P07327
P28069 P30419
Q96AV8 Q08257
Q5T3J3 Q9UKY1
Q9UGK3 Q16670
P59044 O95409
Q8WUN7 P31276
P12956 Q9BZQ8
O75534 Q9Y603
Q06547 P50120
O15091 P51826
Q9NY74 P30876
P35321 P40617
P49411 P35680
P31327 O00257
Q9UM63 Q9NZD2
P29218 Q14190
P48643 Q9UBR2
P06746 P48730
Q9GZP8 O75251
Q6V1X1 P26599
Q13405 O60231
Q9Y2J8 Q13285
Q9BXL5 O76031
Q9NY74 Q9UNN4
Q9HCN4 P55318
Q9Y239 P28370
P18615 P50452
Q9HAW4 O60477
Q9BYC8 Q12952
Q9NVS2 Q8TDY2
Q02252 Q9H611
Q86TM3 P82921
O95429 O15156
O43913 Q9NVV4
O60563 Q12933
P15289 Q96TA2
Q05209 Q03164
Q86Y25 O14561
Q9HC29 Q92560
Q9H582 Q9NRV9
O60551 Q96JB3
Q9NR55 Q16537
Q96RG2 Q9NZC4
O43307 P14678
P41279 Q6UXN9
Q92598 O95639
Q9Y294 Q16537
P49458 O95551
Q9BZL1 Q9Y5N6
P05413 Q9H9S0
Q9UHR5 P50135
Q03013 Q03111
Q6P1L8 O96028
Q9BSE5 Q96PN7
O95154 Q92731
Q6PGN9 Q9UNS1
Q96QV6 Q93015
P31249 Q01064
P50990 Q02446
P24468 O43504
Q58A44 P12004
P62495 Q13243
Q9Y2P7 Q14106
Q9NRN7 Q00444
Q5H9J7 P04554
P59103 P31942
P07195 Q92698
Q13310 Q9UJC5
P09661 O60783
Q16698 Q08999
Q9NP31 Q14863
P62318 Q9NQI0
Q16612 Q9HAN9
Q8N4X5 Q99929
P50749 P38646
Q9UKF7 Q8WWL7
P10155 Q9NZI5
Q16514 Q8N3H0
Q5T6S3 Q8TE04
P82909 P10253
P14859 Q9UGK3
O75891 Q03181
O95429 Q9NPI8
P78364 P82921
O60551 P16401
P62917 Q5QJE6
P24298 P51531
O95379 P17275
O43316 Q9NR20
Q9UIL8 P54868
Q9UNN4 P09455
Q9UD71 Q9HB96
Q96I25 P28161
Q9NR19 A0AVK6
P78417 Q03923
Q8IVS2 Q99880
O43364 Q8WYK0
Q9P2W1 Q13162
P49753 Q9Y603
Q8WWL7 Q9BYN0
Q9Y4A5 P55854
P47902 Q08257
P09001 P18146
P59046 P54821
Q9Y6M4 Q5QJE6
Q8N6I1 Q2M3C7
P48643 P49335
Q8TDY4 O60264
Q07617 Q9NR56
P18085 O15151
P35754 P35453
P52701 P52815
O75170 Q96QT6
Q9BYN8 Q9NZI5
Q9NYK5 P16403
P54136 Q9UGU0
Q8TE67 P61244
P29083 Q93015
Q9UHN1 O94906
Q8TF40 Q99081
P21399 Q15915
P41970 Q93015
Q9Y6J0 P49411
Q16560 P49914
P00915 P33778
Q9UIK4 P35712
Q9HC29 P30876
Q13887 P40925
Q9HCY8 Q9NVR2
Q12882 P29558
Q86UU0 P10155
Q96QV6 P32119
Q9BRL6 P82930
Q9NRN7 P25774
Q8N9N2 Q96AV8
P68104 Q9C002
P13995 P49335
O60551 Q04726
Q9NP31 P32519
P20823 O95848
Q14999 P06865
Q9NZD4 Q13118
P31327 P22415
O95379 Q9NQ33
Q9UJM3 P31273
O60239 Q6UB98
Q8WUN7 P55157
Q9Y3B7 P35638
Q8WVY7 Q8TF40
P78417 O95551
P53004 Q96S44
O14713 Q99594
P13995 Q9BWT3
O43776 Q14526
Q08495 O75526
P41212 Q9BYN0
Q9BSE5 Q02446
P59942 P29083
Q06546 Q04828
P51398 Q12948
O75828 Q6ZYL4
P13693 P17544
Q8TF40 Q14863
Q9NPI8 Q8TE02
P49005 Q9Y2J8
P33240 Q6V1X1
P59942 Q9UL17
P55210 P61218
Q8WXC3 Q9BX63
P36957 P31249
Q01064 P17535
Q9Y3B7 Q8N9N8
Q04727 P62917
Q99487 Q96S53
P07864 P82970
Q96CS3 Q9UBT2
P53396 Q9HB96
P41161 P48730
Q99801 Q8TCD5
Q8TF76 P35236
Q13637 P04198
Q9Y3E1 Q969K4
Q12837 Q96NW7
P28358 Q9Y6M4
Q12882 P27707
P43268 P29762
Q9NX18 Q9UKI8
O96028 O15235
Q16719 Q8IZL9
O75363 Q9NVP2
Q96DI7 Q9BZQ8
Q49A26 P82650
Q9BUJ2 P14324
Q14790 O94906
Q9Y3D5 Q9Y2P7
P26368 P49789
Q9Y3D3 P33240
O14920 Q2M1K9
Q9UHL9 O60760
P08729 O43143
Q13107 Q00056
P82914 Q07869
O43396 O43593
Q99558 Q86V15
Q9NZJ9 Q9NZI5
P43235 Q9NR46
Q05209 Q6EKJ0
Q15424 O43504
P35548 Q14106
Q49A26 O60941
Q14442 Q9NZC4
Q8IU81 P35237
P52701 O75891
Q6ECI4 Q9BWD1
P57723 P12524
Q86UU0 Q9UBR1
Q8N5F7 Q9GZZ1
Q9NX02 Q9NZC4
P53396 Q96JP5
O00338 Q15910
Q9H6S1 P36954
P09001 P40617
Q9P2Y5 O95696
Q9UGK3 Q9BWT3
Q99956 P35638
Q9P2Y5 Q01130
Q93079 O95786
P18440 Q9BPZ2
Q8IZL9 Q9Y2D0
Q15672 Q6XE24
Q9UBX1 P59103
O15305 P19793
Q9ULW8 Q01543
Q6WQI6 Q96S96
Q9NYK5 O43474
P29466 P35269
P52701 O15540
Q9BSF8 Q3BBV0
Q8N9W6 O95343
P05089 Q9HCS4
Q8N427 P42695
P55771 Q14678
O43791 P35790
Q9UBR2 Q7L7X3
O43776 Q01851
Q15029 P17516
Q2VPK5 Q12837
P10071 Q06520
P17706 P62318
Q15545 Q96IV0
Q02386 Q8TCD5
Q05209 P14651
O75897 Q99733
P49768 Q96IZ0
Q9Y3E5 Q9H9S0
Q9Y3D3 P17544
Q8WVM0 Q6ZYL4
P0C7P0 P27540
Q99469 O00462
Q9P0R6 Q13156
Q9BXL7 Q9Y2P7
Q9BW04 P25208
P52566 Q14181
P06899 P21695
P50452 O43719
Q13887 P35236
Q8IWT3 Q8IUM7
Q9UGK3 O75807
P28358 P21695
Q9Y4A5 O60711
Q12933 Q01826
Q9UKU7 Q9Y463
Q9UHG3 P23381
Q13461 Q8WYK0
Q8N183 Q5M775
O14920 Q9P2Y4
Q01064 Q9H2W2
Q13356 Q9BYD2
P51114 O15156
Q09028 P24666
Q8IUE6 P51580
Q6ISB3 O00764
Q02078 Q9UGC7
Q53GS9 O43447
P55317 O76031
O76094 O60902
P68104 Q02962
O00268 P48200
P35326 P53634
P28324 Q8N183
Q01664 Q13794
Q9Y234 Q9ULX9
P33240 Q9BXI3
P25398 Q8NB91
P52926 P28161
P09630 O60941
Q14914 P04198
Q9HCN4 P36954
P60484 Q92664
P15923 Q5H9J7
Q7Z2X4 P28340
O00754 Q9HCN4
P09017 P39023
Q15014 P14061
P51532 Q6V1X1
P42679 Q13573
Q86WB0 P50453
P32519 Q14032
Q07617 Q9BWT3
Q8IVW6 Q08752
P10412 P30419
P16152 Q96KN3
Q02548 Q9UGC7
P53004 P12956
Q8WVN8 Q15572
P17405 P35754
P21399 Q07352
Q9NVV4 P14859
O60551 P51946
P05423 O75879
Q6FI13 P52888
O95376 Q14032
Q12946 Q9HCN2
Q8WUA4 P23381
O75446 P59103
Q9P0K8 O00471
Q99583 O76031
Q14032 P18858
Q9BWX1 Q16851
Q05195 Q9H2J4
P51649 P58876
Q8NFZ5 Q6ISB3
P42574 Q9NQX1
Q9Y5N6 O60783
Q8IWZ3 Q9BV90
Q14204 Q7Z7J5
P83369 P22528
P49715 P48147
Q9Y294 Q9Y3D9
Q8N1G1 P00558
P22532 P18146
P53539 P82932
P04183 O60264
P51116 P20265
Q16613 O94805
P22061 Q9GZR1
O14618 Q9Y675
Q96CS3 O43593
O43819 Q9Y2P7
Q9Y4K4 Q03828
P08729 P35269
Q9NR46 Q9HAZ2
Q9UNL4 P25398
Q9Y5Q9 Q8TCD5
P09455 P16455
Q13162 P01100
Q06945 Q16854
P51553 Q8WZ19
P35452 Q9BYN0
O00338 Q9C002
O75376 Q92786
P45877 Q15291
Q96EG1 P15428
P06132 O75461
Q9UIV1 P46952
O43541 P42679
Q9UKY1 Q16143
P55854 P07196
Q86YN6 P05413
Q9NP31 O75593
Q69YI7 P49406
P43235 P12104
Q15744 O60239
Q8TAE8 P42224
Q86Y13 O14503
P82933 P49335
P15056 Q9UKN8
P22061 Q13243
Q9P2W6 Q9BWT1
Q13547 Q9H6S3
P35269 O75879
Q9HCE6 Q8TAQ2
P26639 Q9Y5B0
Q8TBZ0 Q16548
O43396 Q14469
Q13888 Q9UBR1
P20933 Q9BW04
O94788 Q12857
Q6V1X1 Q15906
Q13610 Q14651
P35558 Q9NVP2
Q9H257 O60508
