P54136 O00712
Q9UFW8 Q9Y6M4
Q9ULG1 P15104
Q13952 Q8NFH8
Q15080 P83369
P46459 Q92949
Q9NRJ4 P54132
Q9ULC6 P20290
Q8TDY4 O43791
Q13156 O43819
Q9BXI3 O95696
P10276 Q8NFH8
O95409 O75534
P82664 Q00403
Q9NX09 Q9UHV7
P49458 Q8IXQ5
P07992 P52566
Q99714 Q86UU0
O60941 P49715
P49753 Q8IVL1
Q8N1G1 P33402
P82914 P29558
O95379 Q8N5A5
P15104 P17676
O15151 Q8IWT3
Q96M27 Q02241
P24298 P33076
P31942 Q92552
Q9H7D7 Q06546
P54577 Q9UBC0
P35218 O00472
P35236 Q99684
Q96HA7 Q93079
Q9H2S9 Q9UDV6
O95376 O75343
P38646 Q8IY57
Q8N4E7 P54821
P48730 Q9BV90
O95926 Q9NR20
P09488 Q96EG1
P40939 Q9ULV3
P22528 Q9NX01
P12956 Q8IXM3
O43307 P49335
Q9UHH9 Q9Y3E5
Q96T66 P78527
Q9NYS0 O43684
P39748 P37108
Q04837 P20265
P58012 Q6WQI6
Q16656 Q16612
P40925 O75607
Q16533 Q8TDY4
Q9Y4A5 P33402
Q6ZRS2 P05787
P57053 Q05209
Q96G01 P27707
Q9Y2J8 Q05048
Q08257 Q5QNW6
P51398 P05412
O75528 Q9BXL6
P41970 Q14790
Q9UKV3 P52566
Q16548 P42695
P21673 P35712
Q9H257 Q9H9L7
O75164 P05413
Q6UXN9 P07864
P22061 O43929
Q8N3H0 Q96KF2
O14646 P48147
Q16778 P82914
Q02535 Q96A58
Q9GZZ1 P17050
P24928 P22528
Q9NYS0 P28715
P41970 P16152
P50539 Q6P1L8
Q9Y2Q9 Q8WYH8
Q9UL03 Q8N3C0
Q9UID6 P50135
Q6DRA6 P49638
Q9UDY6 Q9NZC4
Q8IXQ6 Q9NP86
Q9Y2T1 Q9H2F5
Q8TDY4 Q03164
P21673 P17096
P43304 Q15544
Q9BYK8 Q8WXC3
P00338 Q14686
Q9Y2U9 P23378
P09017 Q93088
Q92560 Q96I99
Q9UNN4 Q9NY74
O75164 Q92665
Q6UXN9 Q9Y4H4
P49589 P28347
P49411 P26368
P24864 Q96T66
P09210 Q07864
O43148 Q99714
P29353 Q03828
Q9NVU0 Q16643
P78371 O43364
Q8IVS2 Q01459
O75879 Q9NWU2
Q9HBE1 P62495
P63272 Q6XUX3
P55854 Q02386
Q8TE04 O75030
P32780 Q9Y6G3
Q9P2K5 Q9UII2
Q7Z569 Q03052
Q9Y4H4 Q9H4I2
Q49AM1 P15036
Q9P2W6 Q05048
Q9UIL8 Q14678
Q5SW96 Q15233
Q8TDY2 P08319
Q8TE04 O95751
Q9H6S1 P16401
Q9UI17 Q15560
Q9Y5K3 P33402
P06865 Q9P0J6
O95429 O15353
P00558 P15289
P12081 Q01664
O75897 P05549
P47928 Q9H2W6
P11766 P33992
P41240 P25963
P54803 P48163
P34896 O75643
Q5H9J7 P31629
P83111 P78527
Q15637 P00338
Q8N983 P12524
P82912 P38571
P29218 Q53H80
P29466 Q9UFW8
Q96G01 Q9H5F2
Q9Y5B0 Q9BUT1
Q96T23 Q96RG2
Q6NUP7 Q96PN7
Q14188 P12271
Q9BSF8 P51114
P08621 P49406
Q9BSL1 P55317
Q96BP2 Q9Y6G3
P59942 P41225
P17516 O75807
Q9Y2Y9 Q96LI5
P08319 Q9UFW8
P49589 Q86TM3
P43304 P36402
Q99956 Q3ZCT1
P50749 Q8N6F7
Q9NY74 A6NDE4
O75400 Q7L311
Q8TDY2 Q9Y295
Q969Y2 P14652
O95429 P35475
P40939 Q9UHL9
Q14119 Q8N7A1
P55157 Q49AM1
P62314 Q9HC29
P11474 P62269
Q9BV90 P24752
Q9UDX5 Q9UL17
O95379 P28069
Q16548 O60563
Q8WXC3 O43680
P30838 O95931
Q8TDY4 Q13247
P82914 Q13573
Q06416 P33402
P13010 Q9H4K7
P22415 P35325
O60941 Q5QJE6
Q9Y5N6 P00568
Q16613 Q8IZU0
P13010 Q9H6S3
P40925 Q92522
P43897 Q92826
P56277 Q8N6I1
Q9BUE6 P22670
Q96JJ3 P49335
P04637 O75414
Q08999 P15428
O00716 P24298
P0C1S8 Q96EK5
P63302 O94805
Q8NEL9 O00267
Q92552 O15156
Q6ECI4 Q6XUX3
Q8TAD8 P15056
P17174 P42695
Q9Y6K8 P40692
P53634 P50453
P19447 Q16822
P15428 Q96AV8
Q9HCD5 Q3BBV0
P25325 Q58WW2
Q8TDY2 Q9NZE8
Q6FI13 Q06520
P07451 Q15573
P06400 Q9NX02
Q13610 P25325
P55039 P83369
P17661 P37275
Q9BRV8 Q6EKJ0
P15559 P42695
Q8IX03 Q15014
Q9UK76 Q6XE24
Q8NFU5 O95379
P52815 Q92565
Q9BW04 O75971
Q16548 P49716
P22681 P31273
Q15415 Q9HCP0
P0DP25 Q9H2S9
Q92552 Q6P2C8
Q8IUQ0 Q99967
Q9P0K8 P40227
Q9UDY6 P22304
O15217 P50749
Q7Z569 P57053
Q92922 O43837
Q8TDY2 Q9NZJ9
Q05923 Q96GX9
P63244 Q07343
Q9BPZ3 Q00444
P10276 Q9Y2R5
P09001 P34059
Q8TBX8 P25963
O00267 O95379
Q02241 Q8N6F7
P11245 Q9HAZ2
Q9BUJ2 P53677
Q15306 O60239
Q99626 Q9Y2R5
Q9HCS4 Q6XE24
P09132 Q9BQ83
Q9UID6 Q6XE24
Q14188 P51970
Q8N1V2 Q04727
Q01658 Q07960
Q9UKU7 Q02556
O75880 Q9NPJ6
O60760 Q9Y6J9
P07451 Q68CP9
P46783 P54821
P22415 Q9NP92
Q01538 Q96G01
Q9BWT1 O95429
Q9HAN9 P00338
P59044 Q53H80
P41002 Q16851
Q14526 P62495
Q8TAD8 Q96M11
Q9NQ33 Q9NR19
P07327 Q9Y463
P0DP25 Q9UHR5
Q9NX09 P48382
Q9HCN4 Q02241
Q15545 P05413
Q9BZE1 P01100
O75170 P48431
P82909 Q9H6T0
P49675 P52701
O60760 P48431
Q92560 Q9HD34
P28838 P28698
P31937 Q13573
O75891 P19419
Q96BN2 Q8N142
P63302 Q8IUM7
Q9NZI5 P51553
P07741 Q9BQ83
P09132 O95125
P10828 Q9Y2T1
Q13115 Q8IX03
O60675 Q9BYG8
P06132 Q9Y6W3
O75563 P18146
P54577 Q6ZYL4
P62942 P10619
Q8WXU2 Q9BZE1
Q8TDY2 P54136
Q70SY1 P41240
Q96M27 Q8IY57
Q9H9S0 Q7Z2X4
Q8WVM0 P25205
Q13405 Q96T37
Q9BYC9 Q8N6I1
Q05925 P49368
Q9UIL8 P11586
Q04837 P32780
O60341 Q9HD33
Q9BV79 O00267
Q9BRA2 Q5VVJ2
Q9HAW0 Q8N427
P49789 Q12946
P43355 Q16629
P13798 P24468
P08319 P15848
P62942 Q06413
P31937 Q01459
P62937 Q9Y261
Q14790 Q53GS9
O75897 P17483
Q9H211 O00764
Q06124 Q8TCJ0
P13796 Q04726
Q08752 Q9NZC4
Q9H7D7 Q71DI3
O60711 Q01851
Q15173 P09430
P26441 A6NDE4
P55084 P18074
P09132 P07686
Q9H0A6 P17676
P15918 P41279
P78371 Q16629
P26583 Q9BUE6
P35606 Q08499
Q15102 Q86Y25
Q8TCE9 Q99757
Q9HCN2 Q05048
Q8WVM0 O75807
P09429 Q03013
Q9NZJ9 P01100
Q9Y2D0 Q12946
P13995 Q5VUA4
Q9Y238 P06280
Q9BXL6 Q9UJW9
P54136 Q9BXL5
P08236 P82912
O15235 P46063
P22415 Q14204
P35244 Q07973
P51649 Q01851
P30307 P35270
Q96NW7 O43543
Q49AM1 P83876
Q04837 Q7Z5L9
P83111 Q9UBE0
Q9Y216 Q9BXL8
Q9UHR5 O60239
Q92598 P10244
P12755 P09960
P07195 Q14CB8
P00441 D3DTV9
P61244 P35790
Q6UXN9 Q9Y234
Q9BZQ8 Q96DI7
P21695 A6NEQ0
P31150 Q92730
Q01130 P05413
O75648 Q9H147
Q14032 P16403
O43316 Q9H6S3
Q96G01 P83876
Q6ECI4 O15305
Q09472 P29144
Q13867 P0C0S8
P20226 P53667
Q9Y222 Q9BYD2
O00170 P20671
P62318 Q9BW04
O14948 Q9HD34
P59044 Q03989
Q9NZJ9 P09430
Q9BYC8 Q86WQ0
P55212 Q14696
Q9NZD4 O60381
Q9HAZ2 Q01581
P40617 P53597
Q9H9J2 O60508
Q92785 Q02535
O14561 Q96DT0
P21695 P23769
Q13156 Q13637
P06454 P40227
P35453 Q58A44
P40939 O43148
O94763 P46783
Q8NFU5 Q9HCP0
P61371 P11586
P15428 O75150
Q5H9J7 P15923
P17275 Q9UPY3
O14776 Q96LI5
Q9UBU8 Q7L7X3
Q96JP5 Q8N142
Q9Y216 Q8NCU7
Q9UII2 Q9Y535
B2CW77 P49914
Q86YN6 P35325
Q8WXC3 Q9BX63
Q7L0Y3 Q02962
Q9BPX1 P07602
Q12873 P50213
Q14469 Q16851
P20592 Q9NXR8
P15336 P00352
A2A3N6 Q9C0J8
Q9HCS4 Q9P2W6
Q9BY32 Q99733
P35754 Q14839
P35321 Q86WB0
O43325 Q9UGK3
Q9UI17 P62805
P55157 Q9UN86
P43235 P35218
P49640 Q9NVV4
Q07973 Q15349
O75897 Q6W2J9
P32322 Q86U86
Q8NFZ5 Q16778
P30048 Q04727
Q9BSE5 Q06413
P30419 Q12824
Q12873 Q96TA2
Q96IV0 Q99612
Q96FI4 Q9NPB1
Q8TF40 P34059
Q12800 Q8WXI4
P10827 P35325
Q9UJA3 P42679
O75936 Q86U86
Q9BT17 P28347
P21399 Q9Y5P8
P45877 P19532
P28838 Q9ULX9
P27694 Q13405
P24298 Q12986
P21675 P18085
O15091 P31269
O14641 Q02556
P14678 Q99469
Q16828 Q9UH92
P10828 Q14651
Q99558 Q8IXQ6
Q14188 P16083
Q01196 Q9HCE6
P32119 P20264
P31350 P86791
Q9BYD2 P17483
Q9UP83 Q96JB2
Q9UBK2 P07864
Q9UPY3 O43474
Q9BXL7 Q9Y2P7
P48200 P09067
O76031 P21291
P07741 Q86WQ0
Q9NP31 Q8N807
Q9BYE7 P00326
Q5H9J7 Q92522
P20592 Q96LT9
P54136 Q12947
Q9GZZ0 O00142
O00411 Q53H80
O43182 Q15544
P49458 Q9UQR1
Q99487 P41161
Q96G61 O15514
P83111 P05164
Q16385 O43819
P55316 P30048
Q9ULG1 Q96AA8
Q15173 Q9Y3D8
O43684 Q9HCN2
Q96NW7 O75526
Q9NRN7 P50749
Q08999 Q9H2W6
Q00577 Q9BYC8
P35548 O43396
Q08752 Q9H2W2
P78371 P41225
O75529 P53597
Q8N3H0 Q14781
Q00577 Q9NQI0
P61244 Q7Z7A3
Q8TDY2 P07148
Q9BTC8 Q9NX02
O43182 P61218
P63302 P06280
P24666 P09016
P82932 O15514
Q9Y3D5 Q8N1G1
Q96PC2 Q15466
O75828 Q16629
Q9BTP7 O75251
Q9Y2T2 P10071
P49411 Q9UBX1
Q9Y294 Q9Y3D9
Q92844 Q15054
Q14749 P33778
Q99819 O43143
Q6UB99 Q6V1X1
Q96LA8 Q9HD34
P25325 O14924
P03372 Q16772
Q9BU02 Q7Z5Q5
Q9Y2D0 Q3YBR2
O60341 P49675
O60941 Q5U623
Q14651 P10412
Q96S44 Q07617
Q16777 Q96EK5
O60783 P09661
Q9NQX6 P62879
Q13547 P84022
P57081 P09960
P78368 Q9HAW4
P23759 Q16543
P57723 Q15054
P50990 Q9NVP2
P47874 Q14526
P16220 Q9BUT1
Q96JJ3 Q9UBC3
Q9BYD1 Q15915
Q16533 Q9Y3D3
Q9ULG1 Q96QG7
P09488 O95639
P48643 Q9NZL3
Q9UKI8 Q93088
P10636 P49841
O95125 P24752
Q8IWT3 Q5XKR4
Q49A26 P00338
Q9HC52 P04183
Q04727 Q13085
P52566 Q9UNS1
O94763 P37108
P82921 Q9H1Z4
Q8N3H0 P09017
P10253 P50120
Q9C002 O15169
Q14186 Q9BSL1
Q12931 Q96AZ6
Q9UN86 Q99081
Q96KN3 P00326
P20591 P84243
P78527 Q9UPY3
P08319 A6NDE4
O60356 Q9BYD1
O75676 O95379
Q13405 Q92560
Q9Y4A5 Q92665
Q8N1V2 O60508
Q8IUQ0 Q8TAD8
P40939 Q92922
Q01196 P16050
O15178 P82921
Q16670 Q6PRD7
P31276 P0CG30
Q8N5U6 Q14839
P49848 Q9Y2R5
Q96AA8 Q9Y2Y9
Q96M11 Q92522
P62316 P50120
Q8NFZ5 Q9Y6W3
Q2M1K9 Q01581
Q99757 Q6NXG1
P33240 P42574
P40939 Q9UHQ1
Q9NZJ9 O60682
Q9UHN1 Q9UBR2
O60583 P23381
Q9BUQ8 Q16851
P45877 Q16594
Q9BYD2 P62995
P49368 O95343
Q01094 P14061
Q9H5Q4 Q99990
P51532 P00352
Q8WVM0 Q96S53
P12104 Q99729
P02545 P59942
Q8TAT5 P15428
O00764 Q969F1
P35321 Q9UHL9
Q92598 P26368
P22492 O15305
Q9BTM9 Q9HCD5
Q9H6S1 O60682
Q00169 Q01851
Q6UB28 A6NDE4
Q8WTS6 Q07617
O95361 Q99929
Q03154 Q969F1
Q8N5F7 O76031
Q9BYE7 P16152
Q92665 Q13888
P45877 P63279
Q9C002 P35558
O00471 Q92698
P11586 Q05048
Q9P278 O95376
P24298 P10244
Q8NEL9 O60264
O15540 O14901
Q8NFG4 P31942
Q8TCD5 Q9NPJ6
Q9P0R6 P01100
B2CW77 Q9BSL1
Q5EBM0 Q15022
P06400 P43897
P48729 O95639
Q9BTC8 O43396
Q9Y657 P49888
P49753 Q5THR3
Q96PN7 Q96A58
Q96KN3 Q93088
P47928 Q9P2Y5
P0C7P0 P27540
P15848 P16083
Q13105 Q2M3C7
Q9H0E9 P82650
Q9NX20 Q9Y6P5
Q5VUA4 Q16719
P55854 Q9UM82
O15305 Q9ULX9
Q9BWD1 Q9UQR1
Q8TE02 Q14181
Q92871 Q8IZT9
O94864 Q9NX20
O76031 Q9NP71
P25398 Q13029
Q12948 Q9HD34
O00338 Q13123
P35270 P21291
O43504 Q13526
P49736 O75419
P23297 Q9HCG8
P52655 Q9UHD2
Q13795 O15525
P10276 P46459
O00268 Q8NEL9
O43182 Q9Y6W3
Q16594 P32929
Q9UIF7 Q9HCN4
Q9NR20 P31269
Q14469 P12277
Q14894 O43791
Q01826 P22532
Q9Y2T1 P54132
Q16698 P27707
Q6P1L8 O14862
Q9BYD2 Q9NVP2
Q15072 Q9H4A3
P09936 Q02080
Q9HD34 Q5VTD9
Q8N3H0 Q9UGP5
O43325 P21695
P49335 P82933
P43304 P10253
P15408 Q99707
Q7L0Y3 Q86U86
Q12857 O95848
Q9UKU7 Q9P2W1
P12271 Q9UJW9
O14646 P14061
Q92698 P00915
P49753 Q64ET8
P35754 P36954
P12931 P05771
P13349 O95848
P22492 Q96HU1
O75897 Q15542
Q9HC52 Q969K4
Q8WVY7 Q8N183
P54098 Q9H4Z2
P49589 Q13243
P20132 Q9NPC7
P07148 Q01543
O75586 P37108
Q96A58 Q9Y6W3
P17174 O00267
Q9Y5B0 O95848
Q15393 O43396
P15408 P78417
Q9P0M9 Q9Y6W3
P17900 P16949
P30626 Q13118
P48147 Q5XKR4
P21695 Q9HB96
P26368 Q14790
Q86Y13 P26358
Q5VVJ2 P00326
Q15543 Q9BRV8
P15121 Q16666
Q15561 Q6WQI6
Q92871 O75150
Q9H2W2 P16152
O15151 P59046
Q96D98 Q9Y3E5
P10243 Q9H0U6
Q92844 Q8WW12
Q13523 P47897
P20592 Q9NZC4
Q96QT6 Q9BRJ2
Q15029 O43447
O75164 P78371
Q9Y2V3 Q8WUN7
Q96QG7 Q9Y3D8
Q7Z2X4 P09661
P39023 P35712
Q8WVM0 Q9HCD5
Q9UN86 P36402
O60563 O75343
P27694 Q2PPJ7
Q9NZJ9 P15918
O15305 Q9H147
Q9BSE5 O60341
Q969Y2 Q9H6T0
Q9Y2D0 Q9UBT2
Q9BUQ8 Q8TE67
Q96PU5 O15156
Q9Y216 Q96DT0
P82675 Q10587
Q6UB98 O75534
Q6IEG0 P49406
Q9H257 Q16629
Q8IYD8 O95749
P54136 P26583
Q15475 Q8N427
P00568 P10071
O94906 P78540
Q70SY1 Q9H6S3
A6H8Y1 Q9BSL1
P63162 P41279
Q9BUT1 Q9BXL5
Q9UNP9 O14618
P31327 Q6P1X5
Q96PU4 Q9UI32
O00287 Q9HD34
O43364 O95379
Q09666 P15559
Q99487 P08236
Q16594 Q7L3B6
P14061 P21291
P62873 Q6Y2X3
O96020 Q9BYD1
Q9NR20 Q03052
Q9BPZ3 P28370
Q8WVY7 Q2VPK5
Q9BWT3 P13995
P48728 O95619
Q9ULV3 P51114
P13010 O60783
Q14CX7 P36954
Q16666 Q8N427
Q8N9N2 Q13761
Q02078 Q96EK5
Q15916 Q6PGN9
Q9Y291 Q15744
Q16719 Q9Y6P5
Q96A58 Q9UIH9
Q8TDY4 Q9HBE1
Q96PC2 Q02548
P02545 P83881
Q9Y4B6 Q9UHQ1
P0CG12 Q9BYD2
Q6NYC1 Q9HBG6
O60783 P35680
O60760 Q9H2S9
O75880 Q12837
Q99729 P53677
Q9UHL9 O43837
P0DJD3 Q96M11
P17275 Q9H0U6
Q9Y5Q8 Q96T66
P62937 O95931
Q14106 O75030
P30291 O95379
Q9Y2T1 Q8NDX5
Q16698 P49005
Q9UBW5 P49640
Q13115 Q96JJ3
P05089 O95218
O75828 Q86XK2
P41002 P30838
Q15173 O95600
Q9NZI6 P09001
O00712 Q9Y2Q9
P49914 O43474
Q7RTV3 Q9BTM9
P47874 Q86TM3
P68104 O60481
P14651 P22531
Q7Z7J5 Q9BZL1
Q9NP86 Q96RE9
Q9UGC7 Q8IUM7
P13796 O94953
P09429 Q8N6F7
Q9BX63 P35325
Q16676 P13693
P82914 P17676
Q8WVY7 Q9P2W6
P15408 Q13310
Q9UJM3 Q99929
P54132 Q14790
O15169 Q6EKJ0
Q9H0E9 P00352
Q15466 P42679
P78368 P05423
Q8WWV3 Q16666
P24468 P42679
P18440 Q99729
P35270 Q9NX70
O94763 Q14651
Q9UBW5 Q15466
O00764 P49640
Q12951 P18054
P46439 P20933
P35321 O43325
Q8IUQ0 P31270
Q12933 Q9Y2P7
P82675 P10071
Q9BSF8 Q9Y3D9
Q96CS3 Q13523
P14061 P23527
O43543 O43542
Q99487 P35712
Q01064 P43694
Q05925 Q8IX03
P29353 Q9UPV9
O43316 P10155
P78337 Q7Z7A3
Q14938 Q8TE67
O15540 P33992
Q16543 O60671
P50453 Q12824
Q9HAW0 Q8TF09
Q15080 Q02447
Q9UIV1 Q9Y6R0
Q8WXC3 Q9Y657
Q96DT0 Q9Y295
O75164 P14324
P31937 Q02447
O75563 P17010
Q9Y5X4 Q8NFG4
Q6P1J9 P78371
O15217 O00754
Q92844 Q5T6S3
Q8WVC0 Q93008
Q96RG2 A6NDE4
Q9Y463 P51116
P68104 Q8TAE8
P49902 Q13243
P35244 O60760
Q8TAQ2 O95379
O15379 P06732
P49639 P62917
Q8TAT5 P00326
O60563 P18085
P35326 Q05923
P61970 Q9H2F5
O14948 P20807
P17482 P06732
Q8NFG4 P55316
O43684 O00743
P35236 Q99966
O75891 Q8NDX5
Q70SY1 Q02535
Q99819 P24928
Q96G01 Q6W2J9
P63162 P18054
Q9NRN7 Q6EKJ0
A6H8Y1 Q8NEL9
Q16543 O95619
Q8WXC3 Q9UJW9
P06454 P0C7P0
P32929 Q53T94
Q8WUN7 Q9C002
P51398 P31271
P55039 P61964
Q86XI2 O75880
Q9HCN4 Q9GZP8
P35452 Q9UJM3
Q15080 Q15562
Q9BV79 Q53HV7
Q9Y2T2 Q96EG1
P35237 Q8N5A5
P43004 Q9UJV9
Q16613 P17010
Q9UBP6 Q07020
O43819 P06899
P53667 Q15672
Q9HBG6 Q9H3P2
Q9Y6K8 P35452
Q5MJ70 Q96HU1
Q9BW04 P26651
P24928 P16050
P35754 Q3ZCT1
A0AVK6 P40261
O95361 Q9BWT1
O60683 O75192
Q16656 P23378
Q99801 Q8N183
Q13105 P62937
Q9BZE1 O43829
P30291 P42679
Q9H5Q4 Q16629
Q9BXL7 Q9Y4A5
Q99729 A2A3N6
Q9ULC6 O94953
P14868 Q01459
Q01094 O15540
P09001 P18146
P08047 P49591
Q07869 P08319
P09210 Q96I25
P0CG30 P54821
Q9GZZ0 Q96RG2
Q96CS3 Q9BYE7
Q9UBU7 Q9HD40
Q9BYD1 P28069
O14981 P63167
P50990 Q14526
Q9H7D7 Q9HCG8
O75891 O95218
O15235 Q8N165
P11586 Q96RE9
P51532 P09455
Q99594 Q9BYC9
O95696 P00338
Q93008 Q53GS9
P55316 Q99757
P55318 P40261
Q13547 P50213
Q16777 P16949
O15178 Q9H765
P55084 Q12952
Q9NZD2 P17481
Q9NTZ6 Q96TA2
Q9UBR1 Q86UU0
O00764 Q8NCU7
Q5JY77 P12755
Q9Y291 Q96LA8
Q07020 Q13247
Q9UDY6 Q96S53
Q96QR8 Q96A58
P00492 Q5VUA4
Q15415 Q07973
P50897 Q9GZT8
P47928 P19878
P10914 P14598
Q15906 P05787
Q9NP74 Q99990
O75529 P63167
Q15327 P15104
Q99878 Q9H0C8
Q2PPJ7 O75030
P09012 P13489
Q13610 Q6XUX3
O43307 Q04727
P19447 P46459
Q01581 O75030
Q9BX63 P46952
O00268 P09001
Q13547 P37275
P30876 Q9NY74
Q8WWV3 Q15744
O14618 O95218
P18848 Q92730
Q16514 Q99551
P35237 A6NDE4
Q9P2W1 P31350
Q96CS3 Q13595
Q15596 P50120
Q92837 P46063
Q9P0R6 Q9UNY5
P27694 O43819
Q9BYC2 Q9UIH9
Q9NP92 O43829
P52565 P14652
Q15185 Q969S2
P23193 Q96G01
Q14188 Q13405
P09132 Q99590
Q9UBX1 Q9Y2R5
P32929 Q96L73
Q14678 Q9UL17
P14651 Q8N6F7
Q9H5Q4 P17861
P63302 Q13247
Q9BTM9 P20671
O15151 O75251
P51116 Q86TM3
Q6P1J9 Q13546
P15407 Q01581
P49639 P05787
O60583 P50135
P53396 Q9BXL5
Q9NP31 Q92793
P51580 Q9NZI6
P11766 Q15014
Q9UFW8 O95749
Q9Y6G3 P53350
Q96BP2 Q9NVS2
P23378 Q13123
Q9Y5X4 Q8N142
P15104 Q8NB91
Q9UIV8 Q9UQR1
P50120 P06280
Q9BTC8 Q12882
Q9NYS0 Q13950
O95639 O43182
Q96HU1 P51946
Q9NR56 P62495
Q99551 Q02539
P48643 Q16621
Q15672 Q9UBR1
P49589 Q16676
P06132 O95125
Q99594 Q9H6S3
P17483 Q96G01
P51116 P04198
Q13510 Q9BV36
O75394 Q8N5A5
Q9BYG8 Q53HV7
Q8N165 P49591
Q04837 Q13595
O14503 Q6XE24
Q6ZRS2 P18085
Q9UKU7 Q8WW12
Q9NSY1 Q9Y6K8
Q9UGL1 Q93008
Q09472 Q9Y6K8
P20591 Q15562
P41235 Q9UHN1
Q9P0R6 P43699
P18054 Q8WUA4
O43182 Q969J2
Q58A44 Q86UU0
O75363 Q9NQ33
Q8NHV9 P50452
P50213 P18146
P13639 Q9UBD5
P27708 O43365
P05413 P12524
O75529 Q8WVN8
P29084 P42679
O15540 Q9UBT2
Q15545 Q92844
Q92598 Q9H6T0
P08263 Q96A08
Q9BXL7 Q13487
P15408 P15428
P19878 Q9NWU2
Q9H9S0 Q86Y13
P62937 Q8IXQ6
Q8N5U6 Q92830
Q15393 Q9NX18
P23297 P22670
Q03111 P78358
Q9HC52 Q08752
Q9UII2 Q9UNS1
Q8TF09 Q69YI7
P13010 P24298
Q9ULG1 Q96GX9
P15923 P50135
P53539 O60239
Q2VPK5 P30307
Q13107 Q08999
P15036 Q6PRD7
O95405 O00287
P34896 Q9UBC0
O00268 P30048
P17661 Q15466
O60783 Q9P2Y4
O43819 Q9UKF6
Q969K4 P0C0S8
Q9BT17 Q96JP5
P49411 Q9UNL4
Q12849 Q14526
Q9UNL4 P51116
Q9UK76 P61970
Q7L7X3 Q9Y2Y9
P54136 Q05195
Q14651 Q10587
P20226 Q08752
O75891 O60264
O75528 O95361
P62318 Q9NZD2
Q96JJ3 P49848
P43268 Q7Z7A3
Q8TE04 Q99801
P57081 Q9BRJ2
Q9Y261 P09960
Q8IXM3 Q8TAP9
Q9NT62 P05164
Q96QT6 P12081
P07148 Q03052
O60711 Q9GZP8
Q9HAW4 Q8WXI4
Q13107 Q14696
Q13867 O00754
P0C1S8 P49675
