P20226 Q9BW71
P01011 Q8TDM6
O15198 P04150
Q9Y230 Q16665
Q8NG08 P23258
P63279 O76064
Q13263 P08758
Q8TAA9 P55001
Q16143 P54105
P38398 Q9H5Z6
Q9Y2X7 O75843
P14672 P29320
P63208 O43561
Q96GD4 Q9Y282
Q9UKR5 Q9Y618
P36888 Q96CW5
P17275 Q8WWG1
P31150 Q16619
Q15596 Q00535
P24593 P35916
P36897 P63208
P42224 P06400
P30556 P08571
Q8IYI6 P20941
P00750 P35243
P41597 P00797
Q13315 P29590
O43791 Q96B97
P28482 P46940
Q99743 P11802
Q9UNZ2 P33176
P13861 P78560
P08123 Q02750
O15127 Q14289
P14678 P40855
P19784 O95747
P41743 Q9GZY6
Q9UKI8 P98160
P82932 P18627
Q14566 Q9NWA0
P35637 P06454
O60383 P48039
P09429 Q13224
Q15788 O14978
P42858 P55347
P28562 Q9NRA0
P08253 Q969D9
P14317 Q8IYL3
O14776 P48058
P02545 Q8WYR1
P09619 Q01362
P36888 P49327
O14757 P48552
P54646 P52824
P09619 P11831
Q96SB4 Q96G25
Q9HBE5 Q15528
P05106 P17612
P98161 Q96QT4
P53779 Q9NPD3
P08670 Q5FBB7
Q13887 Q13177
P23458 Q9BQ52
Q15424 O75771
Q05655 O00548
Q9UPT6 P31947
P31946 P24347
Q9BQ66 Q9Y4H2
Q9Y4K3 Q86YB8
P56524 Q9UQB8
Q15834 Q16594
O95990 O43927
Q05513 P20151
Q9H211 Q00653
Q13094 P41594
P37287 Q13129
Q92667 P32245
Q14919 P56377
Q96KP1 O43557
O14920 Q13114
Q13415 O15455
O14744 P12644
P04626 P51681
Q02548 Q99558
P09936 Q99638
P04637 Q99759
Q92831 Q8TAD8
Q6ZRS2 P22888
O75528 P11137
O75928 P04629
Q04759 Q9BXA7
P54753 Q05925
Q12959 P43489
P02741 Q8TBE0
Q15119 Q8TEY7
Q01362 P20366
Q13838 Q9BRB3
Q15121 Q15035
Q8IX07 O75146
O15399 Q9H5Q4
P63096 O14543
Q969V6 O95466
P51946 P09848
P17509 P23246
P04637 Q9UBF6
Q13546 Q15833
P19174 P01730
Q99816 Q16566
P15336 Q9Y2X7
P51946 P18545
P01344 Q15678
Q9UQ35 Q13541
P20963 Q9NRL3
P60953 Q15172
Q01344 Q9GZR7
P26641 Q9Y5W3
Q12888 P42285
O95376 O00459
Q15726 Q13285
P08047 Q9Y6R4
P02649 Q13356
P23458 P68363
Q9GZP4 Q8NEG0
Q9H237 P49454
Q9UNE0 P53814
P24941 Q96KQ7
P61956 Q8IU57
P17252 P25208
Q07021 Q9UNW1
P27361 Q9UBK5
P46527 P52292
Q13705 P35858
Q96SB3 Q52LW3
P35813 P20337
Q9GZT8 O75293
P16234 P11142
P09958 O60296
P78527 Q8NCM8
P23458 P06748
P08670 P84022
P25024 Q9UJC3
P15311 Q9NXU5
Q13885 Q9NYX4
Q5SW96 Q9NSC5
Q12846 P08922
P54259 Q9HAV4
P13861 Q8N122
Q05655 Q9Y2K6
P16333 P28300
Q15700 P35080
Q9ULZ3 P48165
P63252 Q16553
P60484 P50613
P05067 A0MZ66
P14672 Q5RKV6
P46379 O94985
P12931 P54259
Q14680 Q14449
Q06124 Q13137
P04637 Q8TF64
O95376 P05161
O43747 Q15848
P51398 P00533
Q9H4E5 Q8TAT6
P63010 P07947
Q9Y6K8 O43908
Q06124 P61764
Q14289 P54257
P08236 P12931
P26651 Q14181
P63208 P84074
P29466 P84022
Q7Z6G3 P07948
P29120 P26022
P21860 Q6P0Q8
Q04206 P43364
P04637 Q14765
P05556 Q16623
P49023 P61812
P21333 P51946
P63261 P04271
Q09472 Q13547
P55212 P21980
Q9UIV1 Q16820
P23443 P20023
P04637 P31749
Q07960 P49715
P21333 P38398
P38432 P50748
Q9UNE7 Q16620
P49715 P40938
Q09472 P08123
P02751 P35222
P42702 Q13322
Q9Y2U5 Q03113
P58417 Q8NDI1
P10244 O75925
P05549 O60343
P51531 P27824
Q15796 Q12879
P63096 Q12809
P48634 O75051
O00482 Q9UK45
P60953 P12814
P35452 P28161
P16152 P22607
Q13285 P08697
O43809 Q9ULH0
P06746 Q9UBL3
Q13485 P29374
P46060 Q16594
Q92934 Q13368
P02452 P23229
P06241 P61457
Q92841 Q9NSI6
Q9UER7 Q06787
Q02246 P06756
P51812 P04839
O43541 P48552
O14965 Q9Y4Y9
Q5T3J3 O14745
Q15654 P04004
P19174 P10912
P16220 Q9Y2X7
P62993 P29323
P62993 P68400
P03372 Q9Y2W2
Q13546 P13385
Q9NRN7 Q07812
P06241 Q9NPH3
Q9BYC9 Q13571
Q9NPQ8 P78344
Q07954 P46379
P84022 O60383
Q9UL45 Q00597
Q9NY99 P56178
Q15047 Q99750
P13797 Q8NFH8
Q13868 Q96KG9
Q13362 Q14571
P54253 P41235
Q14978 O43516
O43679 Q9BTW9
P15498 P84077
P36543 O60759
Q13873 P56537
Q9Y679 O95983
Q7Z569 P49917
Q15047 Q13573
P30291 P22303
Q13137 O43734
P51659 Q9H0E3
Q9HAV5 Q9NWT6
Q15717 Q9NZL4
P15391 Q8N1W1
P35548 P18827
P68431 Q99933
Q14289 Q15119
Q14192 Q15036
Q99755 P09936
Q07666 Q13474
Q13277 P37173
O75376 Q14061
Q9UMX1 O96004
Q08554 Q96PK6
Q03188 P07358
Q13094 P15941
P19784 Q15572
Q13285 P80075
Q8IU54 Q8WY64
P43405 Q7Z7C8
Q14643 O95831
P49023 Q13464
O75379 P10145
Q05516 Q9UQB8
O14980 Q8WWL7
P00995 Q9NZW5
P45983 Q04912
Q15650 P01270
O15127 P13994
P05023 Q15369
Q9BXP5 P55285
Q9BXJ8 P46821
O43809 P06401
P30260 Q16394
O60271 P01344
Q9HCE7 Q8ND90
P68133 P06213
Q15139 P14416
P08603 Q9Y4Y9
Q96PK6 Q07954
Q15139 Q8N6Y0
Q09472 P16298
P32004 Q15653
Q16665 Q9C0A0
P15056 P05026
Q9GZT8 Q9Y3C5
P60520 P23443
Q9Y4Z0 P47710
Q9Y6D9 P17482
Q92667 Q9Y4P8
O95251 Q9ULJ8
P62304 Q9Y376
Q9HCP0 Q9P0T4
Q13485 P51948
P51681 P27105
P35251 P32302
P00488 P00734
O14980 O00287
P63096 Q14623
Q92851 P35225
P26583 Q93062
P07384 Q13224
Q9Y2I6 P04080
P29466 P63279
P03372 Q9UPY8
P40763 O96007
P31749 Q9NQ69
Q9NPH3 Q9HAV0
P04637 Q13641
P29320 Q9NRD9
P54253 Q14213
P03372 Q01844
O75173 Q15642
O95405 Q15262
Q13526 O95832
O60239 Q07869
Q9NSA2 P61604
Q8WTS6 P17542
P30304 Q86YM7
O14757 Q13936
P05549 O75558
P27361 P78560
P49757 Q96EA4
Q15700 Q9P0T4
Q04771 P45984
P17936 Q99616
Q05513 P30968
P19793 Q24JP5
P54132 P62753
O43752 Q9Y221
P29590 Q9P2K9
P20264 Q92793
P84022 Q02535
Q08170 Q16630
Q99750 P05067
Q15545 P20151
Q15834 Q14703
P02538 P84022
P98161 P08962
Q14500 Q99747
P49768 O60941
O60671 Q9Y6W5
P35222 P29074
O95251 Q9UJX6
Q13291 P19099
Q9ULB1 P20916
Q9NRR5 O75665
Q15796 O95396
Q9UMX1 P19793
O14613 Q05469
P04049 P08922
Q16891 O95835
P08238 P21817
Q9P2H0 Q9UQB9
Q13155 P52948
P54725 Q02818
P0CG12 Q99062
P13686 O43439
Q14469 O14924
Q07817 Q03135
Q8WUA4 Q9ULW0
Q13426 Q9Y4H2
Q9H3N8 P62979
P49759 P08621
O43557 O75380
P49913 Q9UNN5
P31751 P40238
P62314 Q04864
P21673 P49795
P14373 P04632
P06241 Q8IUD2
P13797 O14512
P63167 Q96CG3
P24941 P07332
P0DP25 Q8IX07
P06213 Q99612
P84022 Q9C0K0
P29466 P50281
P42224 P56178
O14964 Q9UIU6
P0CG47 Q16270
Q05823 Q9NSV4
Q8NBH2 P11831
Q13547 P04233
Q9P2H0 Q05925
P49286 O00141
P84103 P22466
P13010 P09471
P35222 Q8N556
Q12789 Q15276
P0DP25 Q13418
P51531 Q9Y253
Q92934 Q9BUZ4
Q8TC90 P20073
P55771 Q12888
