Q16665 Q96SN8
P68104 P24158
P10827 P37198
P06400 O75689
P63165 P53350
P27797 P01034
P51116 Q13523
P24386 P01344
P54253 Q14181
P16070 P09471
P23378 Q6ZU52
Q06187 P09884
O60383 P62304
Q9GZT8 P08246
P14678 Q9UQ13
Q8WV24 Q9H6T3
P35232 Q9NQX7
Q14289 Q96RU2
Q13547 Q9H1I8
Q7Z3T8 A5D8V6
P54259 Q8N2W9
Q9NQX5 Q5T1R4
P50148 Q8WXK3
P56915 Q5T3J3
P06493 Q96T58
O75444 O75934
Q92731 P98175
O00308 O15534
Q9BWD1 O96004
P56945 P56704
Q9UKV0 P05771
P29466 P63010
P15502 Q96EU7
Q13263 Q9ULU8
P10415 O43147
Q92905 P49795
P46108 Q7Z6J2
O95059 Q9BXP2
Q96L34 Q9Y5R2
P25391 P61956
P0DP25 P35609
Q01974 Q9UK99
P23458 P78560
P13569 Q9UMF0
Q92481 P41182
Q99829 P24394
P10636 Q13546
Q9UNY4 O75446
P11274 Q92793
P49023 Q86X55
P10515 Q969Q1
P40337 Q16623
O00459 Q9Y371
P11473 Q9UM11
P12236 Q9ULV3
Q9NP79 P29350
P62942 P06400
Q12983 O60828
Q99816 P33240
P62995 O43683
P62714 Q9Y4P1
O15198 P47756
Q8TAE8 P25705
O75593 O14874
Q9HCP0 Q8TEW0
Q9NZJ5 P81277
P36897 P27448
Q06546 P40198
O00221 Q14677
Q13363 P06756
P60709 P28288
P00747 P31371
P15923 O00139
P12956 P46087
P10636 P00491
P60709 Q9UFF9
Q6VMQ6 Q96EP5
Q96C24 O75112
Q99828 Q96ID5
P43694 P35548
P22681 P38936
Q96GM5 P22891
P42574 Q04917
P23528 Q9H400
P03952 Q8NFZ5
Q9Y618 Q9NYS0
P26641 P09544
Q16695 Q9Y5Z4
O75334 P09958
Q07954 P49903
P13010 P67870
Q12834 P35968
Q8WW12 Q07869
P35568 P60903
Q13526 P78417
Q8N122 Q14155
Q92830 P19022
Q6UB99 P14316
P10275 P05067
O00590 Q14164
O15350 P52434
P62318 P16473
O14994 Q9H3R5
P25025 Q9BVV2
Q06945 Q13363
P63279 O15492
P01133 O14949
P16284 P08754
P17600 Q02297
Q15464 P17693
Q92597 P20936
Q16637 Q9NRW4
Q9NWQ9 Q99962
Q9Y4K3 P16591
P16471 Q15208
Q14449 Q14978
P98164 Q8IZU9
P07948 P43630
Q02156 Q9UMX1
O75030 P10144
Q9Y2H0 Q96S59
Q9Y2X7 P15153
Q92876 Q9C0J8
P68366 Q16695
P28074 Q00839
P07992 Q9Y233
P39880 P15924
P12931 Q92793
P68133 Q9UBS3
Q92624 Q9HC98
Q92786 P54259
P14859 Q6IA86
P63244 Q14686
P04150 Q9Y3A3
Q14103 P21817
Q03135 P29590
P25445 P20963
O75525 P53778
P19793 O43929
P63244 Q9NPP4
Q15118 P48729
Q16690 Q14596
P04637 Q9BVJ6
Q07021 P05091
P22626 P51636
Q13568 Q8N6I1
Q9HA65 O43524
Q2M1K9 P02686
Q13158 O75056
P30626 Q9NQU5
P17181 Q86SJ2
Q9Y4K3 O14531
P37173 P53621
O75925 Q15797
P35612 O00623
Q14191 A5PKW4
Q13485 Q8TES7
P31946 P25490
Q00535 Q13224
P20936 P19823
Q13137 O00267
Q8NI35 P61019
O95639 Q13232
P42345 P14778
P84022 P04054
P27986 O75340
Q15797 O14641
P23458 Q15910
Q07817 Q9NX46
Q9BXI6 P68104
P84103 P14921
Q9HAP6 Q99442
Q9NW61 P45984
O43924 Q07817
P31749 Q96QF0
Q9HCN6 Q92835
P17252 Q96FZ7
O15151 Q96J92
P54136 O60496
Q7Z7C8 O14576
P05107 Q96S59
P07585 Q15653
P31946 Q96L34
Q15834 Q9BXJ9
P06748 Q7Z6B7
P04637 P61981
O95837 P52298
P48039 O15265
Q9Y2D1 P17252
O75419 P36894
Q15345 P60900
Q8N357 Q8NHQ1
P06213 Q96MA1
O60936 P23276
P17252 Q9H0H5
Q13740 P42261
Q5RKV6 P21728
Q07866 Q9UHD9
P62987 P78310
P26367 Q02383
Q9NVV9 Q13489
Q15910 P19793
Q7L804 P20273
Q13526 Q99418
P60953 P06340
P17252 Q9UIA9
P46940 Q13873
O15379 Q9UKB1
P12931 P14373
P33240 P08138
Q9NPD3 P18827
O15399 Q03001
Q15672 Q9Y6A5
P38936 Q9NP94
P38398 O14920
Q05193 P00533
Q8WYH8 Q9H4E5
P30291 P09132
P63261 P29317
Q9UMS4 Q9Y566
Q05513 P35226
Q06323 Q9GZX5
Q8TAP4 O95278
P46109 Q01094
P61201 P51884
P08670 Q9NZW5
Q92918 P43026
P62258 Q9Y5C1
P38432 Q99547
P03372 Q92731
O60269 Q9C035
P06400 P04053
Q13043 Q14722
Q14242 P01111
P19447 Q9NRW7
P13010 Q8WXI2
P05412 Q99653
P01127 P62140
Q15797 P20396
O95967 Q9NY65
P61981 P43364
O75553 Q8TAS1
Q71U36 P38432
P35452 P09914
Q15393 Q92793
P09455 P40692
Q9NQ87 Q92997
P20226 Q6W4X9
Q49AN0 Q9UHI5
P04114 O14530
P31946 P35240
P49841 Q07889
O95257 O14776
P10275 P30260
P13611 Q9Y624
Q01826 P27105
P10767 Q13287
P00734 Q13114
O14920 Q9Y5K6
Q9BQD3 Q9BXW9
Q13616 O75496
P06400 Q03933
P16885 O60237
Q13885 P01034
Q13285 P63167
Q9UGJ1 Q06547
Q96ST3 P42285
O94776 Q9UL54
Q9UHC3 P78364
Q15102 Q9NPD3
Q5UIP0 P29590
P21333 O14832
P47712 P13385
Q9HAU4 P10415
P57729 Q12789
O95084 Q9Y4H2
P54619 P12081
P20936 P05060
Q7Z5R6 Q9BXF6
Q13326 Q9Y2X8
Q96PU5 P50461
P05423 P30408
Q9UNK0 P08519
Q8IXH7 Q92806
P54259 Q9UKW4
P09104 Q9H461
Q9Y2X7 Q13873
P12755 Q13371
P78504 P43364
P20936 Q8N196
P06307 P01024
P01011 P84022
Q9Y333 Q16849
P11802 Q5JY77
P45973 O75817
Q01844 Q7L5D6
Q08999 P25963
P68032 Q05513
P52945 Q9UI36
Q15038 Q96JC9
Q92598 P02671
P46777 Q15819
O14744 O60895
P22466 P51178
P11802 P24593
P26447 O43491
P61981 Q9NYL2
O95793 Q9UDY2
P17028 P49840
P20042 P02768
Q14209 Q92918
Q15788 O43353
O75674 Q9NWQ8
P01024 P30260
P07947 P03372
O95405 P35442
P50613 Q13133
Q9H251 P32297
Q9UKY1 P09769
Q9UI32 P10912
Q15910 Q13563
Q9UJY5 Q8TEM1
P06400 Q9UM54
P31946 Q16539
Q9Y376 P26374
O95551 P20963
O75155 O95251
Q13485 Q9BQP7
Q9NQ66 P21926
P33240 P52790
P84077 O60260
Q96IP4 Q9NX74
P33991 Q13144
Q15036 P60228
P06241 Q92834
P68036 Q13478
Q07889 Q7L523
Q9P0W2 Q9Y6M1
Q13185 Q9UJX3
Q01844 Q9BUZ4
P43403 Q96PY6
P26006 Q5TD97
P60709 P68032
Q9UBW7 P32246
P01011 P20226
P46527 Q86VP6
P46108 Q96C74
P28715 P35579
O14936 Q99436
Q9NRR5 P51153
P07948 Q9ULV1
P32780 P04626
P84022 Q15369
O75925 P21964
P08670 Q9H9D4
P19387 Q9UKK6
P01009 Q7L1I2
P46527 Q9Y2H1
P10275 P27361
P30542 Q9BTW9
Q5JVS0 O14530
Q01844 Q9P286
P09874 Q9NRN5
Q12952 P05412
P60709 O95208
Q16890 P32926
P08670 O76094
P00533 P17677
P40763 Q16531
Q01844 P29317
P49841 P54764
Q12933 O96020
P11473 P10745
P04637 P11474
Q8NF99 Q15424
P61981 P17676
O94973 P22001
P84022 O95084
Q6EEV6 Q16665
P29350 Q9UIS9
Q06187 Q9NYH9
P04049 Q9HC29
O15116 Q5SW96
Q01780 P19793
Q15075 P51151
P11021 Q9BV40
Q9UKY1 P23497
Q02556 P05019
O14920 Q01658
Q05516 P55196
P31749 P21926
Q01844 Q8N6T7
Q86UL8 Q8N488
Q93009 P14770
Q99704 Q14116
Q05513 P06454
P11831 P21580
Q06187 Q04759
Q9Y4K3 Q9NSA0
O14920 P06401
Q9HAU4 P43088
P63244 Q8TC92
Q8WZ19 Q99814
P13569 P35998
P51692 P13631
Q04917 Q92843
Q12959 O95155
Q86Y82 P30679
O00213 P53990
P62330 Q9Y6C5
Q5TA45 P24588
P84022 P06454
Q9GZS1 P61278
P42574 O15162
Q16594 Q9NR61
P20823 Q9UQB8
P08246 P50542
P05787 P05230
P10144 Q9BX70
P68400 P56915
P49768 Q13136
Q15545 Q9Y678
P63104 P62826
P16949 P19338
P42768 Q969T4
P12956 Q15075
Q15834 P29375
P16112 O43719
P36897 P07737
P08253 P35080
Q07325 O75365
P63244 P00450
P09668 P15884
P04279 O43508
P24666 Q99750
P49795 Q9H1K0
P50148 Q07817
P30519 Q7Z6G3
Q07955 Q9H5Z6
P68133 Q9UBK2
P12644 P35548
P51116 P29350
P06239 Q9NQA5
P63279 Q14449
P27986 P03372
Q15102 P25788
P68133 P05412
Q04771 P11150
Q9Y6K9 Q9UMX3
Q16514 P68032
O15085 P32856
P07949 P49356
P49407 Q13224
P23025 Q01844
Q92997 Q9UNM6
Q16611 Q9HA65
Q16576 P63104
Q9BQD3 P10636
P40692 Q8N357
P62826 Q13190
P07585 Q70J99
Q15654 P36941
Q96B97 Q9NQX7
P60709 P11142
P41134 P01100
P09471 P57775
P07333 Q14653
P61981 Q96CG3
P07858 Q9BXM0
Q16270 Q16513
P07996 Q93009
Q9NRR5 Q9H2E6
O00459 Q15345
Q04721 P00533
Q9Y618 P40763
P0DP25 Q00722
P38936 Q8NBM4
Q16658 P01023
P01730 Q13393
P35222 O00560
Q14686 O95721
Q9NVV9 Q8WX93
O75052 Q8WVN6
Q06187 P21579
Q8N668 Q14511
P51170 Q6UY14
P01135 Q8TE77
P18031 P37287
Q93009 P48730
Q05655 Q9GZQ8
O15198 P54257
P43405 O43187
P21246 Q96RU3
Q7L5N1 P41743
P21673 P29320
Q9UQM7 O96004
O43541 O75821
P56817 P21583
Q08209 Q92620
P05129 Q99081
P03973 P14373
O00238 P28907
P32243 Q9NQT5
P20264 P60002
P06396 P04921
O95166 P02708
P35222 Q92630
Q00597 P41220
P05067 Q13477
P13612 P42345
P06241 Q8IZL2
P29466 Q00403
P04637 Q9UQF2
O15230 Q496Y0
Q99836 Q99436
P10244 P08581
P07947 Q9BRA2
Q9BQD3 P19438
P08621 Q8WVJ9
P25685 Q14677
Q13573 Q05066
Q9NT62 P42224
O15162 Q99750
P62306 P36575
P24522 Q14203
O00238 P32970
Q13285 Q06481
P22670 Q9Y6N7
P05412 P67870
O15379 Q01130
Q9BQG0 Q6VMQ6
Q92598 Q02410
Q9NP98 O60921
P08631 Q96HA8
P15498 Q9NR82
P28482 Q9ULV5
P35221 Q8ND90
Q15596 P61221
P51693 Q13191
P24394 P35968
Q8WXG6 P07998
Q13415 P61812
Q8N2W9 P23511
Q15020 Q86Y97
Q06413 P14920
P07288 O14948
Q9Y490 Q9H190
P15923 Q9UK53
P25963 Q16602
Q8N2W9 P29622
P25686 Q8IYW5
Q9BRA2 P14866
P63279 Q5RKV6
P00738 P05113
P23193 Q96DU3
Q9NRR5 Q04721
O43815 P06276
Q9UBK2 Q16623
Q9BUY5 Q8WUH2
P24941 P15884
O43776 P09871
Q9NT62 P35268
Q9UHK0 Q9Y5C1
P11362 P11166
O14964 Q9Y483
Q99567 Q9NQX5
P31629 P28222
A0A5B6 P06858
P10828 O00161
P62258 O43570
O14920 P29590
P55211 Q9Y6F9
Q8IWZ3 P35499
P50570 P55064
P54257 Q9P209
Q9NSA3 P62508
Q9UEW8 P15336
Q5T5P2 P28749
P0DP25 Q12834
P14921 Q9Y5N6
Q9Y6D9 P22888
Q16665 P60880
Q96ST3 Q9Y233
Q99828 P04150
P29083 Q7L590
P49716 P10398
P15311 P63151
Q8N2W9 Q9BTV7
O15379 P02671
P07585 P46060
P27361 Q8N8U9
P29466 P06731
P22681 P46013
P10275 P51911
P10145 P09651
O15162 P42330
P04150 P35609
Q8TC92 Q13469
P28482 P49810
Q9Y618 O00231
Q9UMX0 P17844
P17252 Q9NPI8
Q15436 P25024
P43146 P56159
Q5FBB7 Q13309
P41235 O43193
Q96KB5 Q13469
P42702 P41220
P11021 P02686
O00499 Q9H1I8
Q9H444 O95365
Q6EEV6 Q15750
P52333 O60500
O60333 O76024
P26641 P56539
P21246 A1L0T0
Q9BQ66 Q9Y4H2
Q7L775 P46100
P17535 Q7Z569
Q04771 P54259
P26641 Q9HAT8
P21728 Q9Y566
P55211 P40763
P17612 P21246
P08069 P12956
P22888 Q8WZ42
P17096 Q5VSY0
P19532 P99999
Q13416 P43351
Q86YM7 P01584
P00749 P00734
O95999 P09327
P17252 O43663
P49005 O43432
Q96ST3 P21554
Q14134 P00742
Q8TAP4 P29350
Q01968 P42680
P20591 O95707
P36897 Q9NPB6
P0DP25 P09429
P52948 O76076
Q7Z4T9 P10645
O60437 P42345
P50552 Q8N2W9
P00918 Q16548
Q9NPB6 Q03135
P06400 O95166
P63104 P02775
P23443 P24534
Q96G25 O00161
P61586 O75604
Q05519 Q15084
P46695 Q9BY11
Q9NPB9 Q01081
Q92796 Q03135
Q7Z7C8 Q86U42
P35222 Q07817
P52333 Q9H078
Q16181 B2RTY4
P43351 P48059
Q03167 P20151
P35568 P15509
P05412 O15209
P30988 Q92843
Q8NG27 P52926
Q92793 P05230
Q5T3J3 P30304
Q9BVJ6 P57721
P10586 O14980
P06239 P13726
Q6QNY1 P05362
Q92918 Q9UNK0
P11802 Q8N137
O75676 Q92572
P04150 P13611
P10244 Q9HCU5
P04278 O60566
P63167 O14964
P00533 Q33E94
Q13287 O60921
Q9NR12 Q9Y6H8
P08047 P49407
O94972 P04150
P11215 P24071
Q00403 Q8NG08
Q99683 P01225
P07947 Q8WWW0
Q9NQS1 Q9UNA0
Q8WV48 O95996
Q13185 Q9BUZ4
P07384 Q6ZYL4
P08670 P31150
O75807 Q9H8V3
Q9H765 O60500
P05771 Q9Y3Q8
P07384 Q9P104
P18031 Q15596
Q8N2W9 Q7Z7J5
Q9H211 Q9HAT0
Q92835 O15294
P45983 O95630
P08697 Q92783
P09486 P17301
P84022 P61006
P49448 Q16665
Q8NBJ4 P40926
P00813 P04437
P30530 O95273
O14920 P10398
Q15583 Q96PU8
P31946 Q07954
Q9NY61 Q53H12
P02741 P61956
P56945 P50458
O14593 P30876
O75376 Q9H0A8
Q16576 P17480
P06400 P11487
P13807 O60496
P51116 P27361
P21860 Q04771
P19634 P61956
P51116 P27448
P29371 Q6PIZ9
Q8IZJ4 P57103
Q9UI14 O60716
P30281 P04843
P00533 Q969U6
P00533 Q86Z02
P39687 Q9NR34
P30419 Q16637
Q9BT17 P48039
Q9NRR5 Q99750
P40763 P22459
P06493 P57739
Q9Y4K3 P19525
P48995 P07602
Q15796 P35813
Q8IUM7 O95777
P09668 Q0P6H9
Q99717 Q9NR55
P34741 Q8IWV7
Q08881 P04637
Q9GZT6 Q13418
P55157 Q99719
P68400 Q9Y2L1
P60484 Q9BXR5
Q9P2K3 O60500
Q5RL73 P14210
O60381 Q9NZC7
Q96ME1 Q14247
P67809 P09471
Q9UQ35 Q15796
O00401 P63167
P42768 Q02446
P36894 Q14671
P19838 Q8N6Y0
P10827 Q96I34
P36873 Q9H0U4
Q09472 P17612
O75791 Q15397
P54253 Q14155
P20042 Q92905
Q92633 Q13200
Q15645 Q9NQU5
Q14141 O43615
P24386 Q8IZD9
P27986 P12931
P25098 P56817
P84022 P33991
Q15102 P67870
P38432 Q9UN37
P40937 O15533
O75955 Q13535
P09466 O14686
P60953 O95793
Q9Y4Z0 Q5RKV6
Q86VP6 Q9BWF2
Q13547 P23469
P07305 Q9NZF1
Q9NRF2 P55209
P05067 P23588
Q8N668 P09496
P43405 P08047
Q9BUH8 P17693
Q71SY5 Q14164
Q92835 P04921
Q01362 Q8IVL1
P41597 Q14511
P00747 P25063
P27986 P02647
P14678 O14717
Q99828 P09237
Q53EZ4 Q8N1N0
Q06124 P55042
Q9GZT6 P62195
Q96CW1 P31150
Q15797 O95944
P84022 P30411
P08631 Q9H8Y8
O75791 P55199
P09619 P06493
P61981 P02776
P63261 Q13114
P09936 P0DP25
Q9P2H0 Q14974
P52790 Q9BVI4
O60674 Q09472
Q9P1Z2 P05230
Q9NRH3 P62304
Q96ST3 Q9Y2P4
P10275 O60496
P08779 P07101
P08133 P35638
Q01094 Q9NYY1
Q13136 Q9UBC2
Q9NPY3 P04004
P12644 Q9HAU0
Q86UU5 Q9HBM1
P49888 O95999
P04278 Q9UHC3
P50281 O00429
P78527 P18564
Q12959 Q7Z6Z7
P20963 Q9BZW7
Q00403 P46100
P98161 P02585
Q6UB99 P00533
Q13285 Q92793
P09234 O60936
P43405 Q9H211
P16284 P21802
Q15047 Q9Y2M5
P22607 P01009
P02671 P08123
P62380 P55316
O00257 P48736
Q9Y6R4 P84022
Q9GZR7 O14490
Q71SY5 P13569
P62820 P50549
Q93062 P54257
Q15329 Q13936
Q06546 Q13077
Q9UKY1 Q9NPH3
Q9NP79 Q9HCM9
Q969H0 Q9UBH0
P10275 Q03135
Q9NZ52 P41595
O75051 Q99569
P07948 Q9H3P2
P54259 O43908
Q86YR7 Q9Y3T9
P55072 Q12809
P08631 Q96SB3
P41235 Q9Y6K9
Q9Y618 Q9H772
Q14974 Q13683
P60484 Q05586
Q15834 Q96FJ0
Q06124 Q15906
Q02763 Q99459
P31269 P42772
P05556 Q9C026
Q6STE5 P62826
P0CG12 P62070
P05771 O60861
P35354 P43686
Q13813 P43628
P35243 Q9Y6X2
P19174 Q8N5H7
P14635 Q6VY07
Q96GD3 Q14162
Q07889 Q8WVD3
P06127 Q01831
Q16891 Q9UNY4
Q12933 Q13620
O60674 O14544
Q99608 O60603
Q99704 P23771
Q13939 Q9UKT5
P61326 P46934
Q9NRW1 Q13884
O95084 P47874
P33176 O60716
P27986 P22307
P08254 Q53TS8
Q7L591 Q14643
Q99731 Q99638
P14598 P25116
Q14686 Q96IP4
P84022 P25490
P61981 O14543
O75052 Q96BI3
Q15796 Q01082
P46108 A8K7I4
P10275 Q9UJX2
P48023 Q99972
P83876 Q9H8Y8
P12004 O14786
Q99750 P53618
Q02447 O95837
Q9H079 Q96GG9
O15198 P13591
Q14814 Q15700
O00238 Q96P09
Q9UBU9 O15066
O43502 P18031
P36897 Q9NQC3
Q13555 P15622
P19784 Q9UK53
Q9H0C8 Q8N4E4
P27361 Q9BZR6
P25098 Q7Z6Z7
P54253 Q99750
Q14686 P37231
O95990 Q15021
Q16539 P04899
P16070 Q13163
Q99666 P45974
Q8N3R9 P53778
P06400 Q09472
Q9UKV0 Q9BRC7
P00491 P09086
Q16543 Q16513
P50570 P13671
P01135 P09237
O15198 P05062
P45983 Q86XR8
Q04637 P11831
Q01844 P23258
P15923 Q96A00
O60674 P08670
P10915 O43639
P01100 O00566
P24928 P52292
Q15233 P06401
P52564 O14593
Q8IZH2 P17301
Q13547 P19012
P05107 Q16637
Q9Y3C7 P49768
Q99750 Q9Y2H0
Q9P2H0 P05783
P12931 Q9BX70
P36897 P49848
Q9NWA0 Q92750
O95967 P19419
O00311 P49247
Q9NRN5 Q5VWQ0
O60674 O60282
Q96PU5 P26842
P23769 P16035
Q6ZVK8 P30154
P20382 P12259
Q5UIP0 Q99965
P35237 Q99571
P16885 P17676
Q13137 Q9UNK0
Q13232 P46736
Q7L5N1 Q92834
Q9UKF7 P49910
O15350 P14784
P19838 Q15654
P51784 Q9H0C5
Q15047 P29992
P49759 P09429
Q13480 P35869
P19784 P62258
O14641 Q13571
P23443 Q99735
Q99717 Q02388
P17252 O00463
Q16543 Q76LX8
P04899 Q9ULU8
Q09472 Q96MP8
P68400 Q05086
P48443 P15336
P27986 P05556
Q12959 P15153
P11532 P05106
Q00610 Q9UHG2
Q9Y5X4 Q9P2R6
Q14680 Q04844
Q04637 O15519
P42224 Q15700
O43765 P24941
Q13177 Q92835
P41240 Q99700
P01042 Q9ULB1
P08253 Q13151
Q9UNE7 Q15345
Q09472 O94941
P35222 P48061
P41218 P56199
O95169 O43187
P28698 O75431
Q16891 P38936
O94762 Q96RP7
O60674 Q9H8Y8
Q9H8Y8 P42658
Q13571 P49795
P30519 Q96ID5
Q9UL45 P08047
P42574 P41235
Q15645 O75934
P14672 P19012
P04637 Q9UHD1
P14859 P05556
P12931 O76036
Q9UIF7 Q86Z02
P50990 Q13144
Q12933 Q9UK53
P31749 Q8IZP0
P54764 Q86VE0
P25705 Q9H094
Q04724 Q9BX70
P05412 Q07002
P10301 O75094
P51948 Q14738
O15162 A1A4S6
Q9HBE1 Q96BD5
Q06481 Q9NXU5
Q07812 P51451
P17028 Q9HCE7
P21741 P36873
P01023 Q9BW27
P01266 Q9BVV2
P14923 Q9Y2U5
P48552 P50281
P54920 Q9HCJ3
Q15544 P39900
P12259 Q8IYX3
P45985 Q9P1Z2
Q99707 Q8N612
P01042 Q9BTY7
P08754 O43684
P48443 P23511
P23497 Q00597
Q12933 Q96KG7
Q13868 Q9ULB1
P10415 P35462
P55055 O15020
Q96B26 P20333
Q01780 O75312
O95232 Q8WVR3
P17252 P61968
P46379 O60732
P10721 Q9P2K6
O43291 Q969W9
Q08170 P11836
P04439 Q96FZ7
P54259 P05019
Q9HAU5 P35968
Q02535 P68363
P29474 O96004
Q12962 Q9HCK4
P04150 Q9Y692
O14503 P32320
P47890 Q13835
P36897 P63165
P0DP25 O14727
P78527 P05305
Q93062 P30305
P02775 Q8IYF3
P54253 Q12955
P42574 P40426
Q8TAB5 P05129
P02686 P35611
P35232 Q07866
Q13363 P01303
Q92956 Q5HYC2
P51116 P50148
Q08999 Q96ST3
P68400 O95070
O60264 Q09161
Q9UK45 Q92791
Q9UBK2 P02462
Q07960 Q16625
O14920 P08047
P63104 Q14183
Q12933 Q13794
Q09161 P07332
Q9NRR5 Q15366
O95751 Q01130
P25445 P06454
Q04759 O95201
P61244 Q96QZ7
Q03111 Q01094
Q8TAE8 Q6VMQ6
P68133 P61968
Q96HB5 O00273
P55072 O15550
Q01826 Q08211
P49023 P07357
Q00610 P60468
O43719 Q14773
Q99933 P29372
Q9BUH8 P49418
Q96S21 Q8N109
Q13501 Q15669
Q9UJY1 Q15835
P48745 Q9NR22
O75925 Q9P253
P01266 Q8NCL4
P16885 P53350
Q13114 Q9NRN5
P02786 P05160
O43318 Q14203
Q06418 P28482
Q9BPX1 Q14155
P29374 P35968
P67775 Q969T9
P46531 Q03135
P31946 P06239
P54259 P42224
Q13569 O75145
P16949 Q9Y5K6
O43318 Q96B26
O14920 P06241
O43186 Q6ZS82
O60841 Q93009
P34932 P32241
P50613 P08865
Q15788 Q9P209
Q92793 Q12788
Q92731 P27448
P63244 Q99572
P28676 Q9NWT6
Q8WXF8 Q9H4M3
Q10586 O14980
P10244 Q9NQC7
Q04206 O95257
Q6ZV73 O43570
Q15834 Q99689
O96013 P21810
P19174 Q13217
Q9Y4H2 Q8IYP9
Q9UQM7 Q15645
P54257 P47712
O15514 P00533
P17252 Q7Z6Z7
Q13137 P63208
P06241 O60494
Q04637 P00750
P06239 P10644
P16333 P25100
Q9H8T0 Q8WW38
P54259 P56705
P53779 Q13432
Q16543 O75818
P17252 Q9NPB9
Q15796 P63208
Q14289 P01031
P05121 O76075
Q9Y3P8 Q16589
P49888 Q13477
P53779 P62495
Q9NQC7 P02788
Q9UGJ1 P42229
P68366 P50336
Q9NRR5 P84077
O95405 P09327
P03372 Q86XT2
Q9UQM7 Q5VT25
P0CG47 Q99750
P63261 P45973
P16885 P78364
P23193 P05026
P17098 P56537
P16144 P28482
P08651 Q9NR30
Q16543 P07766
Q15370 P10915
P10721 P61586
P63010 O75330
Q9NZW5 Q04726
Q04206 O95704
Q9H0R8 Q9NZ32
O60716 Q5VWX1
O60383 P50502
P19438 P67870
O95059 O43491
P98161 Q14028
P62993 P27348
O15379 O43187
P10276 O15335
P38398 P17677
P17612 P46777
P10275 O60869
P51159 Q13224
Q04917 P02549
O75553 O94818
P15622 P51149
Q9NQ87 O43143
P06400 O15111
P03372 P25445
O15524 P0DP25
P12314 P42127
P35348 P54252
P0DPB6 P25490
P62316 P04637
Q9BQD3 P09544
P63279 P19320
P16144 Q13501
Q02446 O43447
P84077 P04264
O95257 O14746
P03372 Q13571
Q15834 O14980
P61586 P30793
P0DP25 Q5D1E8
P27986 P38398
Q99829 P06241
