P12081 O60232
P46379 P12004
P01303 P21246
Q15633 Q76FK4
Q15020 Q14722
P15927 O43823
P07766 Q8WU20
Q13029 Q9UGL9
Q96QU8 Q9HCM1
P03372 Q9Y6J0
Q9UMN6 O14544
Q9Y3A3 O15169
P36543 Q9Y4Z0
Q00610 P13232
O15287 Q02878
P19438 Q9NXU5
Q14181 P68400
O14717 Q9UKG1
Q04637 P08133
P55060 P82933
Q9Y6B7 P14778
P68400 Q92667
P24385 Q8N2I9
Q9BQD7 P42702
Q9P2H0 Q9UN74
Q8IYX3 O43399
P24588 A0A5B6
O95721 Q9HAW0
Q9UBU7 P24588
P21695 Q86Y97
Q96QZ7 O43913
Q13200 Q00597
Q14919 O75694
Q16514 Q15761
P49757 Q9GZN7
P08887 P61247
Q9UIF7 Q13323
Q9H0E9 P18206
O75716 P09693
P46379 P35222
O75150 P35658
P04179 O14980
Q5RL73 Q9NV58
Q7L5N1 Q9Y296
Q09472 O95251
Q01113 P13611
P03372 P48736
Q16478 P32969
O15379 P50454
P12004 Q9P1U0
P51116 Q9NRD9
O14920 Q8TCG2
Q9UBS8 Q99700
O75575 Q12972
Q8TEW0 Q9P2H0
Q96IP4 Q13895
Q7L5N1 Q9UL62
P49959 P62258
Q99700 Q8WU20
Q13563 P52630
Q9NP79 Q06190
P12004 Q9Y5Y5
Q14191 P21246
P63208 P61201
Q9H7U1 O75182
Q13432 Q86UU9
Q9NP85 Q9P0P8
P29460 Q15257
O75052 O43294
P03372 Q8IV36
Q9NZ42 O60925
P68400 Q92945
Q9GZY0 Q9BQ66
P33681 O43379
P28715 O95059
P21673 Q15904
P62258 O60641
Q8WTV0 A0A5B6
P03372 Q9P299
Q13432 Q8WZ42
Q14181 Q9NPI5
P06400 Q14146
Q7L5N1 P0C1Z6
P54253 Q15572
Q09161 P28715
O15533 Q9HCU9
Q13077 O95070
O95551 Q8IU60
P35658 Q8IVF5
Q15648 O15273
Q9BYM8 P01258
Q5JY77 Q9UJX3
Q5RL73 P46777
Q15642 P49069
P02647 Q9BTE0
P05556 P62495
Q9H1I8 P50454
Q9NRI5 P20930
Q5T3J3 Q07817
P35222 Q9BTV4
P10827 Q01629
Q5T3J3 O14745
O00267 Q96ES7
Q9HAV4 O43427
Q13094 P12004
P03372 Q12981
Q13432 Q5FBB7
Q9Y285 Q12770
P11717 Q9HCE9
Q00403 Q86UP0
P27695 Q16891
Q99567 Q9Y312
Q9NV56 P37108
Q9H1A4 Q9UGJ1
Q15645 P60468
P03372 Q9NWQ8
Q5JY77 Q9GZS1
Q8IWK6 Q12929
Q12959 P50591
Q7L590 P14174
Q5RL73 Q02223
O60383 Q9NSA3
P03372 Q14186
Q13432 Q9GZT6
Q9Y4H2 P37198
Q15011 O95373
Q96M91 Q9Y221
P20963 Q9UBW7
P53618 P33897
P24385 P25705
P22234 Q96CG3
P09132 Q9Y6H5
P13807 Q15631
Q9UHD2 P22234
Q5RL73 O75528
Q9UK99 Q9GZR7
P51116 Q96ID5
Q8NBJ4 P22061
Q05586 P11926
Q9UJW9 Q9GZR7
Q13571 Q8IZH2
P38432 Q9BTY7
P49736 Q15834
P12956 Q86UU0
P62258 Q9BXR5
Q12959 P32418
P29083 Q12770
Q12772 O75182
P78417 P04114
P19447 Q12923
O95229 Q13635
Q9GZR7 Q96LK0
P04278 P24588
Q09472 Q8IWU2
O75818 Q9UBD5
Q9Y6K8 Q5TCY1
P20618 Q4J6C6
Q5T3J3 Q9BTY7
Q15011 P78552
P68400 Q9NUP1
Q13868 O43427
Q15645 Q9Y2X7
Q9NQB0 Q15464
Q9UHR5 O43683
Q15102 O43147
P54098 Q16891
Q9NPI8 Q11203
Q15388 Q5RKV6
Q15102 P24385
P62380 Q49AR2
Q9HAV4 P99999
Q9BX74 Q9GZN7
P06400 P52815
P48147 Q5T3J3
P00491 Q96A72
P49768 P27824
P05423 P21580
P25054 Q9UDY2
P68400 Q9NP98
Q14966 Q6PGQ7
P49247 Q9Y5Q9
P21246 Q9NP85
P24522 Q9H7U1
P52657 Q9UMX1
P20963 Q9H9C1
Q96SB4 P19320
O15131 Q9Y6H3
P00558 Q8IYX3
Q9Y3C0 P49454
P02654 Q8NBJ4
O14920 O75052
Q92598 Q9UL40
Q9UKR5 O95232
P40855 Q07065
O60383 Q16589
Q10570 O00116
Q9UHD2 P68400
Q9H081 Q99700
Q07021 Q9GZT6
Q9H1I8 P12272
Q9NTK5 Q7L590
Q9NTM9 O43541
Q8N612 Q6PIZ9
Q96KN1 O43252
P42701 P02647
Q16891 P19447
P06746 P49247
Q16891 O43426
P13232 O75934
Q96KP1 Q9UL40
Q06330 Q7LFX5
Q969M3 P42677
P23258 O43427
Q12888 P35052
O00716 Q9UJX3
P62487 Q8NHQ1
P54253 Q14191
Q99081 Q9UN74
Q15834 P16298
Q9NQS1 P06733
Q12929 P26678
Q6P1K2 O15020
Q9H1I8 Q13873
P54253 P09132
P19438 O95602
P68400 P19838
Q12834 O15381
P49768 P06400
P68400 P02649
Q9H5Q4 O60383
P51610 Q9H840
Q07817 Q6P0Q8
Q13432 Q8NFH4
P11511 Q99700
P02753 Q00597
Q9Y3C7 P55058
Q7L5N1 P31025
P10827 P29083
P43489 P60896
P14784 P04183
P68400 P49407
Q13432 P05556
Q9NQC3 P14866
Q14191 Q12791
P78417 Q9BRT9
Q9Y3C7 P07686
P78346 P49354
P27824 O43508
P20807 O15126
P49768 Q07817
P12004 Q13017
P35222 O00198
Q5JY77 O75528
P46379 P17181
Q99558 O60907
O00499 Q8N392
Q13416 Q92979
P06400 Q8TDC3
O95721 P45974
Q8NHQ1 Q9NQW6
O60763 P49768
Q99689 P21580
P80108 P17181
O75381 P0DN86
Q15834 P05556
Q96T76 O60566
P03372 Q9UPT6
Q9UBU7 P16473
O14893 Q9Y3F4
Q9Y3C7 P06746
Q9Y3C7 O43809
P00491 P11532
Q9H1I8 O60610
O60671 Q5UIP0
Q4KMG0 Q92870
P52272 Q969Z0
P06127 Q9NPA3
Q9UN74 O95208
P15927 Q9BTY7
P40189 P06127
Q5FBB7 P40238
P05067 Q15834
Q9P0U1 O43657
Q15834 Q9Y223
P15260 P02768
P46777 Q99828
Q15834 Q9UKP3
O14980 P16870
P48551 Q9H6R6
P51610 P36542
P24588 P30990
Q13094 Q15648
P10827 P45974
Q9NWT6 Q9H3H1
Q12959 P55789
O95149 Q13243
Q99523 Q9UPZ3
P49247 O15294
Q5JY77 Q7L5N1
P10827 Q969D9
Q9UGU0 P54253
Q9NZ42 P04053
P98164 P29371
P38484 O14976
Q8N2U0 Q08211
P21246 P14778
O76003 P27694
Q14134 P56134
O60383 Q96BT3
P27694 O15553
Q9Y678 Q9UN74
Q9H1I8 Q16619
P54253 Q9H0I2
Q99689 O43395
P78527 P0C1Z6
P37198 Q8NCW5
P02751 P30990
P01589 O15228
P06213 P42226
P78527 Q9Y4H2
Q09472 O43148
P22314 P02649
Q14181 P06127
Q15154 P55060
P48736 Q8N668
P19419 Q9Y6H5
Q9HAF1 Q9NYG5
P42701 P16870
O75925 Q9UKJ5
Q5RL73 Q9Y2J4
P0CAP2 Q02094
Q8WYA6 P01589
P60468 P11137
P32780 O14745
Q9H1I8 Q13224
Q9H7E9 P50454
Q5RKV6 Q96A65
P27824 Q15633
Q03013 P04278
Q15102 P01189
Q9BQD3 P00505
P51116 Q13561
Q5JR98 P10109
P46777 Q5T5C0
Q16594 Q8TAP6
Q15388 P21583
P21854 O94875
P10912 P61812
O75478 Q8NB12
Q08211 Q8NBJ4
Q16740 Q5UIP0
P60228 Q16666
Q7L5N1 Q8IZH2
Q13094 O95373
Q13794 P17181
P40238 Q6P0Q8
Q9BWH2 Q9BU61
Q08999 O60282
Q9Y3A3 Q13224
Q9UHF0 P12272
P05067 Q92973
Q9UKR5 Q12770
P09884 Q9BQ66
Q15645 P51946
O95229 Q02383
Q9UHX1 O00220
O60232 Q96G25
Q9Y2A7 Q9Y314
Q9BXW9 Q96HA8
P06400 Q9NV56
O94777 P20396
Q12874 Q16553
Q9UPT5 Q16762
Q5RKV6 P04406
Q5JY77 Q96IY4
O15131 Q5VWK5
P30260 Q9H269
P67870 P07766
Q9UMS0 Q12929
Q13224 Q99567
P49736 Q03135
P27824 O43427
Q9UQE7 P25100
P16473 P15907
Q14181 O14717
Q9BS26 Q16790
Q9Y3A3 Q6PJT7
Q7L5N1 P13984
P61247 P43351
P13984 Q8IZJ0
Q08211 Q9UKT4
Q15388 Q9H2M9
Q09472 Q00610
Q15834 O14976
P02647 O43776
Q4J6C6 Q9Y2A7
P16871 Q96PN7
Q08999 P51587
Q92597 P98082
Q96T60 P21246
P31785 P24385
Q9NTM9 P17540
O15379 Q9BTY7
P24522 O60907
Q9UBU3 Q5SXM2
Q8TEQ8 P80108
O14745 Q08211
Q9H7U1 Q68EM7
O76061 Q9UKB5
Q9UKJ5 Q08945
Q15102 Q9Y4Z0
O95251 Q16518
Q96NW7 O00623
Q9BTY7 O94910
Q9BTY7 Q8NEA9
Q92934 Q13347
P42702 Q96BT3
P29084 O43747
Q99828 Q92667
Q9NP79 Q8NC60
P00491 Q13868
P98164 Q03135
Q92574 P62081
Q5JY77 Q9NY25
Q96G25 Q00610
Q5TCY1 Q02978
Q12888 O95278
P04004 P29084
Q92597 Q01780
P52657 Q9BQA1
Q13772 Q96HR3
Q9P2H0 Q96T76
O15360 Q9NZJ7
P10827 O15294
P01375 Q12788
O60573 Q15642
Q9Y4H2 Q96R06
P16473 Q9H773
O43808 P00374
P06731 P36542
Q70EL1 Q9NYH9
Q8TE02 P49069
O15372 P51587
P59998 Q12923
Q9UM13 P55010
Q5FBB7 P06731
O14920 Q08945
P21580 Q9UJA5
Q9UQB3 Q9P1U0
P30519 Q99698
Q07864 P38432
Q16891 P41159
Q7L5D6 Q9UHA4
P05423 Q9H1I8
P22314 P35869
P03372 P20292
Q07889 O15126
O43592 Q99547
Q14191 Q9BVC3
P06400 O95070
P46777 P82933
P06400 O43808
Q9NPJ4 Q15361
Q12791 O75462
Q15542 Q09472
Q15572 Q15025
P12956 Q9GZP1
Q9UII4 Q15648
Q10570 Q9NQB0
P54253 Q13432
P49789 P49771
O43776 Q15714
Q14966 Q99497
Q99689 O75553
P20930 Q9HC44
O00311 P21583
Q13765 O60925
Q15102 Q96JB5
Q53TS8 Q96R06
P32780 Q5T3J3
Q6UVK1 Q13724
O14920 P19838
Q10570 Q6P1X5
P40855 P18428
Q9NP79 Q76FK4
P13010 Q86X55
Q14191 Q13017
P02649 Q02223
Q92844 Q13765
Q5JY77 Q9GZN7
P06400 Q9Y6D9
Q15834 O15455
Q8IZH2 Q9UKP3
P03372 Q9BQD7
Q9Y624 Q99700
Q15078 Q6UX01
P12956 Q9H3H1
Q96FF9 P46777
Q9H1D9 Q6P2Q9
Q08211 Q99698
Q13224 O95747
Q15645 P56589
P61764 P54253
O95251 Q9NXU5
Q5RL73 Q15078
O95251 P18509
O14746 Q9UQB8
P80108 O96006
O15379 Q03113
P36542 P20963
Q13432 Q15025
Q9UHD2 Q09472
P30260 O43426
Q07817 Q5SXM2
P02751 Q8TDR0
P32780 P54253
Q5TCY1 Q9UQE7
Q9NTM9 Q13243
P02649 Q14134
P53618 Q9BRR6
Q99698 Q9NQG7
P32780 P61812
Q9Y3A3 Q13563
O43493 P09848
P09884 P11137
O14713 P11137
P02766 P35658
P51587 A5YKK6
Q7L5D6 Q8IU60
P34897 Q86YN6
O43541 O76061
Q16665 Q12846
Q9NP84 Q6ZVM7
P51809 O60443
P30305 Q8TCG2
Q9HB96 P68400
O95870 O75146
Q16666 Q9UJX6
O14980 P35249
O14980 Q9Y4H2
Q9NSC5 Q8IZU3
Q6P1J9 Q9BXR0
Q16594 Q70Z53
P30260 O00161
P35658 P61812
P49736 O60216
O94986 A5YM72
P06213 Q92643
P26368 Q8TDR0
Q5T3J3 Q8WXE9
Q6YP21 O43809
P32780 P11684
P55058 Q16790
P20382 P08697
Q96ID5 Q13224
P51003 Q9UPT6
Q15834 P19447
O60921 O75446
Q08211 O14744
O43747 Q9H1H9
P03372 Q15645
P24385 P19838
Q6PIZ9 Q4G0F5
Q9Y678 O75884
Q9Y4G2 Q96SB4
P30260 Q99698
Q9Y4G2 Q08999
P26368 O00623
Q8WUM0 Q8IUM7
P09884 Q96SB4
P12956 Q13191
Q15631 Q00577
O15287 O15446
P38484 Q9UPT6
P03372 Q9Y6D9
O15379 Q13224
Q9Y2X7 Q7Z6G3
P51587 P37198
P27694 Q13144
Q9Y6D9 O95359
Q13432 Q9UJW9
Q99627 O60566
Q96ID5 Q02223
A6NE52 Q13347
O60645 Q9BQA1
O00411 Q86UP0
O15315 Q96BD8
P54253 Q9Y2B0
Q5JSZ5 Q96PN7
P01185 P05060
Q16891 Q9H0Y0
P68400 O00214
Q9P2H0 Q96RU2
Q9NTM9 P56134
P06028 P04406
Q8IZH2 Q86UW6
P35244 P35249
Q9UKR5 P27824
P02649 Q12834
Q7L5N1 P46976
P02751 Q9NZD8
Q86YC2 O95373
O95163 Q15078
O95372 Q03393
O14980 Q96EK5
P30305 Q92598
Q15102 Q9Y2J4
Q5RL73 Q99497
Q8TEQ6 P37108
Q9BWH2 Q9BVJ6
Q9Y5N6 Q9UHF0
Q9UIF7 Q6QNY1
P05067 Q92542
Q9BQA1 Q96DF8
Q8WZ42 O94776
P52948 Q96RK0
Q9UD71 P61011
Q9NTM9 Q8NFF5
P02647 O43427
Q9UNH6 Q9P0P8
Q9GZT6 Q14722
O43808 O43747
Q9NTK5 P61626
P10827 Q9H3H1
Q09472 Q99547
Q96HR3 Q96HE7
Q9Y2X7 Q9UNE0
Q8N2U0 Q9BWG6
O14777 Q9H0I3
P78346 Q6IB77
Q9Y3F4 Q9NY25
Q15102 Q9NQC3
P62917 P30533
Q9Y6D9 O14544
O15169 P01160
Q9NPF7 O15533
P26368 Q9Y5K6
P68400 Q08999
O94777 Q8NF91
P00966 Q8NBJ7
Q15834 Q9P2H0
Q9UHX1 Q09472
P02766 Q5SXM2
Q5T3J3 Q14061
P23396 Q9UN74
Q6PJT7 Q15834
Q5RL73 Q99700
Q9UM13 P33681
Q10570 Q70Z53
P16410 P62750
Q9Y5Q8 O60613
Q12770 P61201
P22314 O95229
P60568 Q9NZJ7
Q5T3J3 P49768
O75943 Q12929
Q13228 Q9P2Y4
P54253 P06028
Q15185 P50454
P22314 Q9BXR0
P06731 Q9NQ34
Q14974 P53674
Q92902 P54852
Q07820 Q96R06
Q99547 P20273
Q10570 Q14191
P31785 P15927
Q86SG3 O15514
O14920 O15371
Q9GZY0 P78527
Q16666 Q99933
P03372 Q9UJX4
Q9UJ04 P30047
P84090 P15927
P29371 Q9BYH8
Q9BXR0 Q9UBQ5
P03372 Q96QZ7
P10827 Q8WZ42
Q9UKN8 O94875
P29083 Q9NZ52
Q9H8T0 O43747
P48736 P46777
P21580 O95084
O14788 Q9NXB0
Q15185 Q6PGQ7
P24588 O14976
Q13772 P20290
O60583 P06748
Q9P2G9 O15020
Q5RKV6 Q86US8
Q13571 Q6P1K2
O60268 Q16619
Q13571 O00161
Q8IYF3 Q99741
P46379 O14519
Q15834 P33681
Q02363 P19532
Q9UGL9 P35869
P54253 Q12929
Q00403 O60383
Q9BTM9 Q76FK4
Q99572 O14777
Q9Y6D9 Q8TDV0
Q96EK5 Q9UKV8
Q07864 O95208
Q9HAV4 Q8TAP6
P63208 Q9H3Q1
Q7Z3B3 Q99700
Q99689 Q7Z7C8
Q12959 P36578
Q16665 P13612
P03372 P54253
Q9UPT5 Q9BTT4
P27824 Q9GZT6
P06400 Q9BYH8
Q5RL73 Q96A72
O43683 O15455
O60895 Q9H7H0
P49768 Q9Y678
Q12959 P49755
Q07889 P02652
P49247 Q9NV56
Q15834 Q9NQW7
Q13873 Q5D1E8
Q99627 Q8WUX9
O14745 P0CAP2
P48681 O94910
P60228 P05060
P78536 Q09472
P21580 Q96QU8
Q9GZT6 O95831
O15514 Q13077
Q7Z7C8 O75530
P12956 O15519
Q9UQB3 Q9NRA8
P27824 O60566
P35222 Q9BTE0
O15372 Q92667
O14980 Q7L5N1
Q07817 Q86UR5
Q9H7U1 Q6V0I7
Q01780 Q8NBJ4
P32780 Q09161
P06753 P00505
Q8WV28 Q6P3W7
P54253 P0C1Z6
Q9BQ66 Q9UNZ2
O95149 Q9Y285
Q9Y4H2 O00499
P06213 Q9UMX1
Q7L5N1 Q11203
P17540 O75716
Q09472 Q13200
Q92973 Q9UL62
P58753 Q96SB4
Q15042 Q8N1V2
P30291 Q8TAP6
P35222 Q06330
Q8TEQ6 O75841
Q9UM13 Q59EK9
Q5VWK5 Q10588
Q15078 P54105
Q13569 Q96BY9
Q96F07 Q9GZP1
P54253 Q92621
P60228 Q7Z628
Q13480 P80075
O43914 Q96JH7
P49454 P02489
Q15834 Q9BQ66
Q16665 P30990
P24385 O43395
P49247 Q9BXR0
Q12834 P21246
P49458 O94986
Q96ID5 O15155
P27695 P62487
Q16891 P02545
O75716 Q96IY4
Q5UIP0 P20674
P38432 Q13200
Q9UMS0 Q8IU60
Q7L5N1 P51398
Q7L5D6 O14920
P12956 A0A5B6
Q5TCY1 O43752
P62380 P29371
Q12834 Q15582
Q92973 Q96DF8
O60238 Q01113
Q9H2M9 O95084
Q99558 Q9UKV8
Q9Y3A3 Q9Y5Q8
P27695 Q99726
O14745 Q13563
P62258 P19256
Q9UKR5 Q9NRX4
Q07817 P04180
Q06330 P18428
P27695 P21246
Q15834 Q96SB4
P48552 P49366
Q9UPT5 P47901
Q9UDY8 P40855
P62917 Q08334
Q99575 Q12802
P02649 P38432
P04406 O75923
P50542 P19838
O14920 Q9Y678
P39019 Q14191
Q12996 Q12929
P49768 P17480
Q16718 P04406
P02751 Q6VY07
P24385 O95070
P32780 P37198
P49720 O15228
Q92597 O43809
Q8N2U0 P05067
Q7L5N1 P00751
P98164 O60925
Q15834 O14777
P54253 P09874
Q5FBB7 P16410
Q96G25 P50591
Q9UKR5 Q9Y3C7
P68400 Q9UBW7
P02751 O43752
P31785 Q99698
O75533 O14732
O43929 Q8TF05
P35222 Q01780
Q13042 O14617
Q5T3J3 P20309
P35222 P30039
P98164 Q8IZH2
Q9UKF6 P40855
Q96LR2 Q06330
Q13901 Q9UQ84
Q10570 P21246
P04406 P49913
Q13432 P02766
Q8TEQ6 P11940
P13569 Q05586
P62258 P11940
Q12996 Q9GZR7
Q9BT78 Q9BQ66
Q92624 Q09472
P11597 O14980
Q07817 Q06330
Q6UVK1 Q6PI98
P12956 Q8IZD4
Q99700 P24390
Q15834 Q13416
O43929 O43809
Q5RKV6 P20823
Q96T58 Q12929
P17480 O15287
Q9BVC4 P07202
O14980 Q16558
P62487 P13232
Q92624 Q15834
O75575 Q9NPF5
Q9UHR5 O95707
Q99572 Q8N668
P21359 O14836
Q9Y3A3 Q9UDY2
P27824 Q15648
Q96ID5 P61421
O14579 P11940
Q9NSA3 Q9UHA4
Q8WU20 Q9UQB8
O95747 P08476
Q13216 O95433
P02647 Q16665
Q15528 P51610
P13612 Q12972
P54253 Q9HCM1
P61604 Q08257
P25054 P01215
Q13077 Q96A65
Q96KP1 Q9Y6B7
P32780 Q9ULU8
P51116 P20807
Q5T3J3 P21246
P47224 Q99726
Q06495 Q9NZ42
Q15645 Q9GZT6
Q15291 Q14966
P13798 P13010
O75396 Q06190
Q03113 Q9UJX3
O43561 P04141
P51116 O60610
Q9GZT8 P46777
Q9GZY0 Q07889
O15169 Q9NY26
P78559 Q9NV58
P29083 O94875
P46379 P62917
O43929 Q9Y4Z0
O14746 Q96HA8
O43752 Q9Y2J4
Q6P2C8 Q15049
Q9H1I8 O14746
P04406 Q96R06
Q99665 P35222
Q9P2H0 P32969
Q08211 P06400
P14902 Q9UDY2
P51116 Q5RL73
P27694 Q9NYU2
Q8WYA6 Q15257
P20963 P61604
O14893 Q8N6C5
O75971 Q9BQA1
Q14966 P15927
Q01344 Q13889
Q07820 P37287
P35222 Q9UJX3
Q7L5N1 Q12906
Q15834 P16870
P62917 Q9H9C1
P05026 P01258
O75971 A5YKK6
P42345 Q9NQS1
Q5T3J3 Q8NCW5
Q14191 Q07065
P21246 O43294
P07814 O95059
O43913 Q92994
P22314 Q8N3R9
Q9UHX1 Q9H6Z9
Q9NZD4 Q6IA69
P24385 Q9BZZ2
Q15834 Q9UJX3
Q9NRG1 Q9BXW9
Q9BWH2 Q9UJA5
Q9BYG5 O15297
P36888 Q6P0Q8
O43426 Q6UX01
Q92624 Q9Y3I1
Q5JY77 Q9UPM8
Q9H2C0 Q09428
P00491 Q99523
O15379 Q7L622
Q99627 Q0P6H9
Q14643 P62241
Q9GZR7 P35225
P68400 O75665
O14745 P15509
Q9UFN0 Q9Y2J4
P13010 O60610
P26368 O14579
P40855 Q9Y4H2
P38432 Q9H5J8
Q9H8T0 Q9P2H0
Q9HAP2 Q92934
O60925 Q6PML9
P06400 Q9NPF4
O75818 Q13790
Q9HBL7 Q9UM13
Q9UJA5 Q9UGJ1
P21246 Q969M3
P35222 P10643
P06400 Q9BUI4
Q8N715 Q01831
P60228 Q8NFH4
Q13432 P42081
P12004 Q12791
P62304 Q9BXR0
P04179 O15131
Q9P2G9 Q9NQX7
P04004 P02686
Q99558 Q5RKV6
O15379 O95994
O95278 Q8TDC0
Q7L5N1 Q9H2M9
Q01344 P49356
P78536 O15360
Q15542 Q86U86
P13798 Q9BSH4
O75940 Q8IU60
P49247 Q9NP85
Q9H7E9 Q9NQW7
P03372 O15294
Q96F07 Q8TEQ6
P06746 P20823
Q70Z53 Q9H944
Q9UHD2 Q9HAF1
Q8IZH2 P06213
P21673 Q13895
Q15645 Q96T60
Q13503 Q9H0A8
O14836 O43379
P14784 Q9BRK4
Q96G25 P25054
P11511 P28715
P49959 P49721
P51809 P02753
P04278 P41159
Q12772 Q13224
Q86YV9 Q9P2Y4
Q9H1I8 P21246
Q13867 Q6PIZ9
P03372 Q9UMS0
Q8N2U0 Q9P2H0
P06127 O14569
Q96T76 Q07817
Q13569 P30154
Q96LR2 O14976
