Q03111 Q99933
P04637 Q96QU8
P08100 P78324
Q8WZ19 P14923
Q16891 O14980
P03372 P17612
P46060 O14757
P0DP25 P10071
P43364 P61981
Q12933 O14757
P43403 P05091
Q9GZT6 P33992
P49736 Q9UJU6
Q15796 P27986
O75496 Q969S8
Q15047 P46092
Q09472 Q04759
P51659 P29371
Q92922 O00501
Q15797 P14635
P12004 Q13671
P16070 Q05209
P01112 Q9NQX3
Q9NVW2 Q9NYV6
P63244 P12757
Q92934 Q15811
Q09472 Q8N1B4
P41235 Q14644
P19838 P02462
Q13526 P01730
P06400 P33991
P05556 P62333
P06400 Q6VMQ6
Q5RKV6 P63279
P06400 Q9NZC3
O95810 P08134
O94972 Q13619
P04637 P05121
Q96PU8 P19338
P30291 O43261
Q05209 Q96K83
O75376 O75665
P62330 Q9NVA2
Q8N2W9 O75533
P98164 P56134
P36897 O75030
P26583 Q9UBF2
P41235 Q9P2I0
P09874 Q5RL73
O43541 P35579
P04637 A0A1B0GX56
P08670 A6NMB1
Q03135 P07384
P98170 Q01970
P22455 Q15653
O15530 P53041
Q5T3J3 P78527
P60002 Q6UWE0
P24386 P49662
Q9UFF9 O94973
Q01201 Q9P0U3
Q13432 P40763
Q9H9D4 O43559
P19793 Q13163
Q7L5N1 Q9UIS9
P04150 P04629
Q14566 Q15233
P08069 P04637
Q07817 Q9Y5B9
P09466 O43765
O15235 P33151
P36956 Q9NPQ8
O15534 P04155
P25205 Q9UBD5
Q07955 P01130
Q9Y333 P23763
P30301 Q969V6
Q7L5N1 Q07960
Q8TEJ3 P09382
P46531 Q8IYB3
Q7L5N1 P18846
P17612 P01375
P16870 P55196
P02749 Q9HAF1
Q9NQX7 P35222
P41235 Q9BVP2
P20309 Q12923
Q9NRD5 P15498
P12931 Q9UNF0
Q9HCE7 P10721
Q16630 P35908
Q13363 P43629
Q9Y2X7 Q8N488
Q13702 Q9UHI8
P40189 Q15797
Q5RKV6 Q13885
O75145 P09651
Q5JWF2 Q02040
P49418 P49918
P56134 P63165
P25208 P68133
Q96B97 P54821
P04049 P51813
P68400 P82094
P63244 P61586
Q96QZ7 Q8IW41
P12830 Q96BD8
Q9UBU7 Q9UBV8
Q00839 Q9H461
O15350 Q13813
Q6NSW5 P41238
Q99417 Q14164
Q99759 Q8TB72
P08246 P04626
Q9H5Q4 P11274
P30556 Q70EK8
Q13432 P13056
P78559 O15255
Q06124 Q16637
P11142 Q15027
P05386 O95477
Q05516 P09471
Q9NVW2 O14639
P14598 Q08209
P40855 O43166
Q8WXG6 Q10567
Q01844 P28331
P35499 Q9HD67
P06213 P09874
Q14247 Q14643
Q05516 Q9GZT8
Q8N474 O43147
O43566 P08100
Q15329 O96020
Q9BSW2 Q9UNG2
P78417 O00141
O75376 Q9Y272
P10276 Q14738
P14618 P48304
P38398 P46013
Q13485 O43293
P56524 Q6UY11
Q9HA65 Q13797
P25391 Q13432
O43823 P28906
P22681 P11142
Q712K3 P13236
P05129 P19419
P55075 O95359
O95999 P02768
P29590 Q5UIP0
O15117 Q5T3J3
P60983 Q9H7N4
Q13485 Q9UBY0
P26368 P68431
P06213 P14598
P55316 P23258
Q12846 Q92997
Q9NRR5 P19320
P42858 P80188
Q03135 P15882
O96019 Q12884
Q96L73 O94989
O00257 Q9H0T7
O14745 Q14318
Q92731 P98164
Q9Y210 P49005
O75081 Q9NRW7
Q15369 Q96G97
P21675 P24941
Q99595 P78364
P21810 Q9UQC2
P63167 P55001
P21675 Q03188
Q13077 O95684
P50452 P00747
P35568 Q9BQ66
P13611 Q00325
Q9UMX0 P04278
Q71U36 O14656
P68400 Q86V24
P05412 P56537
P42574 P13497
P12931 Q99683
P21333 Q9UNY4
O00470 Q00403
Q9UPT6 Q9NR82
Q8N6Y0 O75159
P30086 P12757
Q9HCS7 P23634
P29475 P55211
Q01844 Q03113
O43524 Q9UJ70
P25791 P33992
Q9H8Y8 Q8TEB7
Q13867 P19438
O95405 P02745
Q04771 Q15722
P29590 P57735
P08238 P07384
Q04206 P20366
Q99717 O60684
O00463 P41143
P63208 O15503
P63104 P27361
O95071 P01583
P62258 Q9UPY8
P06753 P13725
P27694 O14777
Q02818 Q9NQW7
Q8TEW0 P20936
O00161 Q15303
Q01362 O15519
P40763 P22223
Q9UI14 Q75N03
P25208 P10721
Q15185 Q13617
P29590 Q9BQ04
O43524 P08648
P51531 Q8WXD5
O96017 Q9UMX1
P43694 P56817
O75381 P06733
Q13287 P68133
P98174 Q14934
Q14247 Q13884
P16885 Q9Y283
Q12955 Q13555
P27824 Q92834
P48436 P62760
Q16695 O15020
P54253 P51692
P02686 P36406
P51159 P19438
O15379 Q9UMX1
Q12933 Q99689
P04049 Q15645
Q86UL8 Q92529
Q9NR12 Q9UJU6
Q16254 P10827
Q13315 Q8NHW3
O00170 P38936
P84022 P00813
Q16637 P11233
P27986 Q99933
Q9UQB3 Q13315
P68133 O76080
O43306 Q13619
P16333 Q8N6Y0
P62826 P45973
Q76N89 P23467
Q15345 P16455
P49768 Q13526
P09619 P68104
P06756 Q9BXW7
Q9H211 P42261
Q9NRD5 P54259
P55212 Q14627
P40763 P16083
O60763 Q99704
Q12933 Q9Y5P6
Q92934 P07951
P13861 O75791
P45983 O43683
P49023 Q9UNY4
Q9NRR5 P17693
P68032 P09471
P83916 Q9Y4K3
P61962 P33993
P16473 Q9NPY3
P26641 Q13402
P09619 Q9Y4K3
Q96EB6 Q9UKN8
P10828 Q6VMQ6
P29350 P55196
P11831 P48551
P27707 Q15714
Q9UKN8 O00453
Q16539 Q9Y657
P46063 P20020
P10636 Q9UHI6
Q14289 P09466
P62834 P25098
P04637 Q96T23
P68032 Q9H4G0
Q15744 P07332
Q9P2H0 P67775
P03372 P03952
P29475 Q9P202
P31946 Q9H0H5
O75791 Q9H2E6
Q16637 P29590
P10242 Q15796
Q15121 Q9UKT4
Q92956 Q9NPB6
P61586 Q155Q3
P50750 Q9BY77
Q00610 Q13426
O15162 P24941
Q8TBA6 P19875
P68400 P09544
Q01780 P34932
P46939 Q99727
P14859 Q9UHR5
O75419 O14569
P04637 O15496
Q03135 P61981
Q9NRR5 Q96GD4
P14136 P30872
O95477 Q96CW1
Q9UMX0 Q9UPN9
Q9GZT8 P48995
P19784 Q13509
Q96GG9 Q9BZR6
P31994 Q12933
Q14469 Q92793
P09619 Q02363
Q9NRR5 P57086
P49715 P23528
Q07817 Q12789
P27694 Q9BUE0
P00533 P41743
Q13285 Q9Y6A5
P50150 Q9BXW9
Q02156 Q86XR7
P43405 Q9HAZ1
Q9UJY5 P18146
P07996 P46777
Q13885 Q8N2M8
P42574 P38398
P11021 Q9H773
P02766 P43628
O60675 O43164
P08603 Q86Y82
P43364 O43516
Q5JWF2 Q12840
P49841 Q8TF64
Q9NRL3 P08559
Q02575 Q13242
Q01130 Q9NQX3
P05155 Q92569
P98172 Q12852
P30626 Q9NUQ8
P29475 Q9NX08
Q15047 P34998
P43351 Q13683
P04278 Q16526
P13647 Q9UJU2
Q9H270 O15145
Q16584 P0CG47
Q96G25 Q15075
Q9P2A4 O96019
P08047 Q71U36
O00327 P27348
P36897 P08047
P07948 P05106
Q12959 Q02750
P27986 Q00613
P49407 P42166
P08631 P41236
Q13485 P41235
Q9P2H0 P02649
Q9Y2I6 O15162
P08631 O75934
Q8NHQ1 O14763
P00533 P17612
Q9HCE7 Q96MX0
P50570 P01579
P60709 Q07157
P84103 P15498
Q9UHA4 Q02535
P20226 P22681
O95967 P54257
Q9BUZ4 Q00535
P27986 Q86V24
Q15019 Q9ULH1
P30419 P51159
Q04206 P11166
O43765 Q15276
P10124 Q9NRY4
Q8IXQ6 Q9Y3Q8
O00716 P06400
Q14654 P24158
Q03701 Q9BT49
Q15047 P84022
Q15139 O15116
P56537 P25025
Q8IYM9 P53816
P06400 P17096
Q12933 Q99572
P36896 P50616
P12004 Q14683
P13807 Q96HS1
P63104 Q9HC98
P08047 Q09028
P54259 Q93063
Q9Y6K9 P48634
P17542 Q99598
P61218 Q01860
Q13177 P52292
P19022 P50553
O95751 Q9BXS5
P45983 Q9UIS9
P08069 Q9GZP1
Q9UKJ1 O75030
O95633 Q9UER7
Q99728 Q9UJY4
O14893 Q9UKS6
P30086 P63165
P63279 Q04724
Q92934 Q15629
Q02363 Q92481
Q92908 P63165
Q15078 Q9NZD8
O75558 P01906
Q99942 P20823
Q6UB99 Q9UHC3
P08670 P07858
Q14999 Q96CN9
P04626 Q8NC44
Q09472 O14776
Q92831 Q9NRF8
P13569 Q15477
Q96KG7 Q8NCR6
Q02535 P18564
Q15834 P12271
Q9H334 Q7Z5J4
Q9BQD3 Q9UHE5
P21731 P49407
P19022 Q86U06
Q13114 Q9HB63
P08047 Q14669
Q14164 Q8IVH2
P04075 P14927
Q15796 P52566
P11171 Q15170
P01011 O95751
Q15717 Q13882
Q99814 Q15054
P54829 Q92859
P46939 P02818
Q13485 P49715
P25788 Q9UBS5
Q9P2H0 P62310
O75558 P10997
P25116 P42575
Q9Y618 P63104
P10415 P16035
P60709 P12270
Q13444 P00749
P03372 P61296
Q15700 Q5MIZ7
P38398 Q13131
P05771 Q9ULV8
Q13137 Q08211
P01135 Q9NPG1
P51159 Q16527
P48551 P01023
Q6EEV6 Q92572
Q14289 Q96JH8
Q8IWT3 Q01970
Q15393 P54725
P78347 P01730
P51692 Q99547
O15015 Q9Y333
P23511 Q07157
P28482 Q9H0K1
P02794 Q96D15
Q99717 P20338
P42285 Q6VMQ6
Q16695 Q9BT78
P08581 P40199
Q16695 Q9H4A3
O96019 P35908
P20226 Q01892
Q13485 P78314
P17252 Q00613
Q99717 Q9GZT8
Q9UMX0 Q9H213
O75969 Q01201
Q9Y4A5 P27361
Q9NRR5 P36405
P09327 Q0P6H9
Q12809 Q9Y4Y9
P0CAP2 P17301
P20936 Q9BZE4
P05160 P43628
O75553 Q13402
P03372 P49768
P63104 P41182
Q14739 P40145
P42224 P60510
O60674 O15111
Q8TEW0 Q8N6T3
Q96FJ0 Q9Y496
P62834 Q9H0D6
Q15796 P23434
P61981 O00458
Q07869 Q9BYR7
P56537 P19419
P61956 P63279
P61981 O00418
P10144 P27540
P26641 P38398
P10242 P51617
Q92793 Q8N5I3
O60504 P98095
Q93038 P48634
P34741 P78509
P20151 P26447
O75525 P12259
P68400 P08138
Q99698 Q07617
Q13873 Q9NYV4
Q99750 P35222
Q07954 P43034
P35240 Q9UKX5
O94973 Q8TDX7
P08246 Q8IW41
P06400 Q05655
P34925 Q86W92
Q9Y5Q8 Q9UKY1
P62487 P27361
Q13287 O15198
P31751 O00401
O60674 P16070
Q9UBU7 Q9BW62
O00308 Q9Y3A3
Q16671 O15198
P15056 P27348
P20936 Q8TEW6
Q13287 P18146
Q15173 Q9P2H0
P63244 Q99829
P06239 P28069
P62993 P12956
P25208 P07949
P17252 Q12802
P22681 Q16762
Q15544 P14210
P63244 P43146
O15397 Q14232
Q9BSL1 Q16236
Q99759 Q9P2J9
P23229 Q8TBC4
P30307 P54277
Q99816 Q15303
P13497 Q13129
Q14186 P24928
Q8NHQ1 P14317
P11473 P49810
Q13616 P54259
P42229 Q5JVS0
P50402 Q9H254
Q15759 Q15466
P51532 Q96HA8
Q9BSM1 P62330
Q00653 P29803
P01589 Q7RTS1
Q9H9D4 Q15388
Q08881 P10589
Q07954 P13984
P26441 Q9NPI6
P15923 P14635
P23025 Q6UVK1
P00749 Q8N9I0
Q96KQ7 P19429
O60383 P06396
O43148 Q9Y383
P58062 Q96EV8
O15169 P20827
P46109 P63167
Q6EEV6 Q8IZH2
P16870 P26006
P38936 P62826
P23769 P23443
P11215 P26374
O75376 Q9Y5P4
Q14847 P25208
Q15834 P98073
P29083 P20073
Q9NRH1 Q96KG7
Q96JE9 Q96FZ7
Q7LBR1 O00186
Q6EEV6 Q9Y2I6
Q10567 O60504
O95985 Q9H5J0
Q96KB5 Q9UJZ1
Q8WW38 Q9UHV2
P62993 Q14203
Q8TBA6 P08709
Q07817 Q07666
P03372 Q9HB96
P10275 O14936
P33240 P47211
P41240 Q9NRE1
Q15788 P41238
P68400 P62861
Q16539 Q9Y698
P01112 O14798
P46379 O43463
P60484 P09327
P51671 Q7L590
P16298 P17643
P23297 Q15835
Q15287 Q13113
O75446 Q8IU85
Q9Y4J8 P41143
P31751 Q9HCN6
P62256 Q14571
Q15544 P15976
Q15834 Q9Y4H2
Q8N9N5 Q07157
Q13547 P10912
Q99717 Q8IZJ4
P56524 Q93100
P48634 Q9UNA1
Q05193 Q07157
O75340 P41180
O15056 Q9NTG7
P0DP25 P51677
P35080 P78317
P02462 P10586
P22415 P01130
P61289 P15927
P35900 O00151
P61981 O95067
P05771 Q15831
P36894 Q8N6Y0
P46109 P55010
Q9H013 O14842
P48431 P46783
Q93034 Q15904
O43291 O75334
Q15797 O15379
O75410 Q16558
Q9Y383 Q15542
O43464 Q15910
Q92831 P35900
P49848 P19525
Q92558 O75593
P18054 Q16625
P31946 P19878
Q13432 P07339
P12931 P12830
Q9UQM7 P42574
O94762 P11168
P0DP25 Q9UNE0
P24928 Q7L804
Q5T3J3 Q13163
O75970 O15258
Q14749 P49848
Q14749 P62316
Q9Y5N6 P17676
O43463 Q9BTA9
P08697 Q13509
P42285 P27037
Q01844 Q13617
P20273 Q10567
P10275 O60496
P31749 P02766
Q12933 P30419
Q9H9D4 Q14524
Q13526 P37088
Q8WV28 O95777
P17661 Q6P1Q9
P15923 P36894
O15360 P10114
Q05193 Q8N357
P61970 Q7Z5J4
Q15365 P21580
P39687 P12757
Q05655 Q9Y5U8
P13861 Q8IZI9
O95721 O95969
P49759 Q99727
P27986 P16070
Q02156 Q07820
P26641 P27348
Q09472 Q9H8M9
P35222 Q14500
O14649 Q5JVS0
P13984 P51811
P23458 Q9NYN1
P27448 P43403
Q9BT92 P30086
P22681 Q15645
P06213 Q6PGQ7
O15524 P09486
Q9H211 P43250
Q13309 O95153
P61764 O95837
P25942 Q92973
P19793 P04271
P98082 P30304
P04150 Q9BVA6
P62917 O15372
P33151 Q99683
P06241 P25101
P17252 P07585
P15311 Q9H8T0
Q99700 P55212
Q15788 P53355
P68400 P15336
Q15544 Q03113
P05412 Q16363
Q16623 Q9UI14
P0DP25 Q15648
O15151 Q14008
P78337 P20273
Q12974 Q99075
P04156 P50281
Q6EEV6 Q9BQA1
Q02156 P43686
P54252 P50148
P35568 P19474
P22736 P62993
Q8IZH2 O14757
P41235 Q9H981
P40189 P12931
Q16566 Q9BXK5
P40189 Q8WYR1
P42574 Q15428
P60953 P33993
P11142 O95777
P49286 P35568
O60504 Q9BYR7
Q9BSL1 P13349
Q16570 P35998
P05771 P54764
Q96MP8 Q9H6X2
Q12923 Q8TE12
O43561 O60729
Q07157 O60260
Q04771 P11171
O95197 P12757
P10398 P0CG47
P25963 Q08334
Q9Y2U5 Q9UL51
P19784 Q9UBK2
O00287 P49798
Q8N2W9 P14921
Q9UK45 P40818
Q9UHD2 P27540
Q04759 Q02413
Q13569 Q9NVN3
Q9Y2X7 Q15714
P40763 Q96ED9
P68032 Q99829
Q92918 Q92896
O60674 P51692
Q9UKR5 Q99895
Q13547 P62826
Q16602 P21246
Q92793 P14416
Q04206 Q96GD3
P11233 Q9UKS6
P01034 Q13620
O43734 Q9NPQ8
Q06945 Q9H8Y5
Q13873 Q92633
O75525 P35232
P62834 Q9NWT6
P18031 P61586
P00734 Q6VMQ6
P25391 P16284
P05121 P00747
P27824 P40121
P10827 P08833
O15520 Q9NQ29
P09429 P55196
Q14966 Q9ULB1
Q9UHF0 P36896
Q15788 P39687
P13647 O43660
Q15047 Q8IYF1
Q9BYG5 Q15025
O95983 Q9Y3L3
Q9UBU3 Q9UQ80
P10636 P33176
P62195 Q9H0Q3
Q5TCY1 Q9UIF7
O95870 Q9C0A0
Q92796 P55291
P21579 P43629
Q96PU5 Q15466
Q96EB6 Q8TAS1
P51531 Q9UM11
Q59EK9 O14978
P98082 Q8TDD1
Q13163 O95819
Q8TD31 Q9NTU7
P43405 P42704
P31749 Q96RT1
Q13158 Q93009
O60674 P11233
Q9Y383 Q86YM7
P11388 Q9H8Y5
Q9UMX0 Q9Y2U5
P48023 P17301
Q15464 Q9Y6R4
P56705 P61964
P07384 Q9BXA7
P62837 Q8WX93
P69892 Q14508
P10914 P02462
Q06547 Q15038
P35568 P07332
O60732 Q02363
O15162 Q9Y3F4
P08473 P61421
Q9Y5B0 O14654
P17480 P05997
P56817 P47897
P18858 Q8N6C5
Q9UQE7 P42575
Q9UKR5 O75419
P10275 Q9NV56
O00165 Q15041
Q12933 Q15831
Q9UIS9 Q9H0I3
P19793 Q12789
P21802 O75312
O00548 Q9NRI5
Q92934 P30542
P35225 O14727
P28482 P01130
P60709 O14503
Q07955 Q9Y2B9
P0CG47 P16520
Q9NPQ8 P55916
Q15596 P61201
P10275 Q04771
Q9UQ80 Q969X0
P15498 P04271
O60264 P02745
P31946 Q00013
Q16539 Q13563
Q96G25 Q99933
P16333 Q99759
P08473 P33176
P0DP25 Q9NQX5
Q9NZW5 Q14181
P46821 O75449
P05129 Q9H1A3
P03372 P02649
P32942 P07204
Q8WTR7 P35711
P30305 Q5FBB7
Q9UBK2 P45983
Q9H1K0 Q14088
P06241 P28223
P22415 P05771
P45984 P54259
P49759 Q9UKV0
P21673 P35222
O95630 Q8WVZ9
P00533 O15379
P42574 Q9BXR5
P16333 Q15744
P12004 Q9Y5B9
P61981 P14780
Q13133 Q9HCE7
P17936 Q8WUM0
O43561 O95630
P20042 Q9UNA0
P15923 P98082
Q92934 P08311
O95376 Q16236
P10276 P32242
P14784 P13073
P06493 P25205
O60266 O00444
P43403 O60437
Q15645 Q96P20
P08246 P35368
O95967 Q13635
P27694 Q13114
Q13402 P01584
P17535 P23443
Q92997 P00749
Q07666 O15519
P28482 Q96IT1
P54257 Q7Z434
P84022 P01308
O95751 Q969N2
P59768 Q9NS61
Q05516 P05106
Q07817 O94875
P04070 Q9H427
P17252 P17661
P02751 P17676
Q9BUZ4 Q01362
P48552 Q96GM8
P67775 P12757
Q15833 P60709
P20042 Q9UJY4
P01583 Q9C0D3
P17706 Q33E94
P27824 P62508
P24385 O15116
Q06124 P48551
O95405 Q99653
P42768 O60566
P06401 P18089
P35568 Q92995
O14656 Q9Y265
P38398 P05107
P26641 P21953
P00533 O75925
P12814 O76064
Q14247 Q15466
P67870 Q96RU8
Q15303 P05204
P19838 Q8IYB7
P30793 Q05996
O15392 Q9Y6Q9
P17706 Q9Y698
P35222 O60682
Q5T3J3 Q9NWZ3
P63244 P40763
Q9H0D6 P04899
Q96RK0 Q86YM7
Q9P2H0 P62879
P19957 Q8IVH2
P06493 Q92989
P28482 Q5VST9
Q9NZD8 Q9UK45
O60504 Q8TE12
P08138 Q969H4
P00533 P43405
P43694 P14416
P31994 P36404
P54253 P19876
Q16695 Q4LE39
Q15834 Q9UIS9
P49815 Q9UHF0
Q969T4 Q13428
O60506 P09622
Q12931 Q12805
Q9H204 O75410
Q13485 O15198
Q9BUZ4 Q9HCC8
P25963 Q86UU9
P04049 Q96CW1
Q96ED9 P02741
P62993 Q8TF68
Q9Y561 Q9Y4K3
P68133 P09493
Q07817 Q13144
Q13322 Q08345
Q15545 P08254
Q9GZT8 Q9C0D3
Q9HCE7 P28799
O60674 Q12913
Q9Y490 O43516
P03372 P25942
P49815 P00749
Q9UI14 P12757
O15350 P60953
Q15906 Q9Y6C7
Q02094 O60271
Q15700 Q9NPD3
P17480 Q9UKF7
Q96SL4 Q96IZ5
P49736 Q13332
Q15796 Q14164
Q86UL8 P07384
P02751 O60437
Q9GZT6 O75674
P49841 P27348
O00401 O75695
P80075 Q9P2S2
P23025 O75970
Q9UPT6 Q8TAX7
Q13277 O15162
P62826 P21731
P16389 Q99933
P19235 P33176
P15923 O43261
P04637 O60674
O00459 P05155
Q14247 Q6UW60
P49768 Q71U36
Q92828 Q8WYH8
O00499 Q9Y223
Q16548 Q96MP8
Q02363 Q99590
P51572 Q92817
P11831 Q9UI36
P06400 P06401
Q07889 P62258
Q13546 P12814
Q8N8S7 O15116
Q01968 Q9ULW0
P21580 Q5RL73
Q9BPX1 Q86U06
Q09472 P24666
P12931 P49792
P10276 P09455
P36956 P55209
P78395 O14842
P01111 P60033
O60674 P51114
Q08999 P15153
O95402 P10588
P0DP25 Q9Y4K3
Q15645 Q9NQS1
Q8N4C8 P41240
Q92793 P02768
P46100 P19338
P19838 Q06190
Q02363 Q09428
Q96N16 P04271
P05412 P17948
P51681 P17098
P63261 Q6UXH1
P25205 Q16254
P55055 O60244
Q13219 P61457
O75909 O60879
P11831 Q13432
P63027 Q08345
O00203 Q8NCC3
P51610 Q9UBF2
P17252 Q04206
Q05655 Q08945
P17252 Q12770
P42574 P36888
O60760 Q7KZF4
P43243 P49810
Q02156 Q14191
O15111 O95886
P01275 Q15465
P09429 Q13432
P08069 Q14833
P09471 P14672
P45984 Q92743
P17676 P14672
P43405 P09871
P19838 O75154
P68400 P51532
P35222 Q96L34
O14980 Q12851
Q12788 Q86UQ8
P23258 Q00653
P46779 P49796
Q00653 Q9HB96
Q9BT92 Q9NTG7
Q13490 P08572
P05412 Q9Y618
P23443 P12814
Q9P2K3 Q86WU2
Q13425 Q13163
O94993 O43516
Q14683 P41231
Q14721 O76093
Q5JY77 P13726
O15379 O14576
Q8TAE8 Q7Z5R6
O43707 Q9BTV7
Q9UPT5 P60568
Q13867 P04198
P05114 O75112
P08670 P61981
Q9BQD3 O15553
P62993 P63211
P09619 Q9BT92
Q9Y383 Q71DI3
A1A4S6 Q96IK5
P61586 P48681
Q9Y618 P04183
Q07817 P46940
Q05655 Q9NYJ8
Q9Y5X1 P62328
Q15654 Q93063
P17252 P38936
