Q76FK4 Q15041
Q13216 Q9HB71
Q8NHQ1 O95182
P35221 Q9UMX1
P35244 Q9UBS8
Q92597 Q9UBU3
O15287 O14617
Q96G04 Q9NRA8
P49959 Q04446
Q96EK5 Q15102
P04406 Q8WUX9
Q02817 Q86VN1
Q15528 Q15257
P20366 Q12959
Q16533 P08133
Q03113 Q6RSH7
O60383 Q5T681
P21673 Q9BQD3
P02549 Q9NZ63
Q9H1I8 Q99575
P04114 P46777
P17480 P52434
P62380 O15228
P49903 Q9UBU3
Q13190 Q12981
Q9HCC8 O95373
P02766 Q8WY41
P04278 Q8IU60
P51116 P49913
P46379 A0A5B6
Q07889 Q8N3L3
Q86YN6 Q5T3J3
Q99689 Q15834
Q03013 Q9BQA1
Q9BXW9 Q9UNN5
Q9HAW0 Q15257
Q92597 Q09472
Q8NBJ4 O95602
P49454 Q13285
P30519 P51116
Q9Y5Y5 Q96HA8
Q9H4I2 Q99741
O14980 P20963
Q8WUA4 Q12929
P15927 Q969E3
P54253 O43808
Q15834 Q6NUQ4
Q9BTW9 P00558
O14744 P53618
Q7L5N1 Q96QU8
Q99689 P35658
Q15102 P60568
Q9UPT5 P36542
P13010 Q9NRI5
O76003 Q96FV9
P35221 Q13200
O00267 P49959
Q9NRX3 O75916
P06746 P42081
O94777 Q96EY5
P12004 P17152
P21673 Q9Y5N6
Q8TEQ6 O60566
P35658 P54368
O14980 Q9UPW5
Q5T3J3 Q9GZY0
P61254 Q9ULU8
Q16665 P58340
Q03468 P31785
Q9UBD5 P02751
Q08211 P13569
Q13873 O75462
P67870 P43489
O95831 P03372
Q9UGL9 Q5T681
P21673 Q9H944
Q3L8U1 P98164
P05556 P21359
P35222 Q9C000
P30519 Q9UN74
Q6PJT7 Q8WXD5
O43747 Q14181
Q09472 Q9Y3A3
Q09472 O60383
Q9UHX1 Q53FE4
P18074 P50591
Q9BVJ6 Q9H0Q3
O14617 P59998
P51116 P62487
P07766 O15145
P49407 Q9HCU9
P15927 Q16665
O43561 O75381
O43865 Q12802
Q9BUN8 P18124
P24385 O43808
Q9Y294 P07738
Q15583 P13232
P06401 P78527
Q8IYF3 Q15102
O43913 Q63HQ0
P46379 P09884
P21673 Q8TDM6
P15927 P51587
Q13416 O00161
P19320 Q14722
Q99558 P08574
Q9NTJ3 Q06190
Q09428 P01185
P00505 O75818
Q09472 Q8TEQ6
Q99689 Q9Y2X7
P49815 Q5VVH5
P17480 Q9H7H0
Q9NSA3 Q969Y2
P15927 P11137
O60566 Q9BRR6
P09884 Q96EY7
P03372 A5YKK6
O00499 O60244
P78559 P08240
Q9H8T0 P28715
O14746 P02686
P62750 Q8IZU3
Q9Y6J0 Q15465
P09874 Q2M1K9
P02753 Q13889
Q03181 P08865
Q12834 P03372
P49768 Q9H814
O15519 P05231
Q6P1J9 P26599
Q9UBU7 Q13155
Q9P2H0 O94818
O75787 Q86YW7
O95990 Q13155
Q15834 P04114
Q15834 Q66LE6
P46379 P02686
Q7L5N1 Q96HW7
Q03013 P78346
Q16619 Q9UNN5
Q9UKT4 Q96ID5
Q99547 P54198
O75925 Q86UW1
P15927 P0C1Z6
Q96T91 O77932
Q09472 Q14789
P06401 Q9GZR7
P21673 P56134
Q5T3J3 O95793
P62258 Q99741
P49366 Q9GZT6
O43561 Q96FF9
Q09472 P21673
P98164 Q9Y5N6
Q8TDH9 Q13042
Q96KB5 Q5BKT4
P27824 P31785
P35225 O76003
Q9GZN7 O14544
Q16891 P49641
P30305 O75052
Q9NRW7 P11511
Q9NZJ7 Q13191
P68400 Q07817
Q8TEW0 Q9NSC2
P62805 Q9BRK4
P02768 Q99598
Q8WVR3 Q9BTX1
P27824 Q15904
Q15834 P17181
P11940 Q9BWC9
P12956 P02649
P62258 O60566
Q9UHX1 P19256
P68400 O43390
P12956 Q9UHD2
P06400 Q12929
P35222 Q96T76
P07814 P48357
P49768 P06746
P49755 Q8NFZ5
P03372 P05067
P15927 P46777
Q12824 Q13563
P48147 P51398
Q5RL73 Q15102
Q5T3J3 Q9GZT8
Q8IYF3 P52179
Q15477 Q9NQS3
Q13042 Q9UI26
Q99460 P43034
P29084 O14836
P07101 Q9UNS2
P52657 Q06190
Q92838 Q96R06
P78346 O14544
Q14181 Q9HC77
O75534 P37287
P05556 Q13873
Q16665 P00505
P13010 Q14966
P78527 P49771
P51610 P0C1Z6
P46379 P63208
Q13416 P22314
P54253 P06400
P53618 P42345
P05556 O15145
P10109 O14744
O75146 P19419
Q9UHW9 Q9Y2Q5
P54253 Q12906
O43913 P19838
Q9H1I8 Q96GY3
P35869 P28331
Q5T3J3 O60732
P02647 Q86VP6
Q12834 Q9UNS2
Q9HAW0 P52179
O43913 P41227
Q8IYL3 Q9Y272
Q92994 Q5VST9
P17509 O75943
P54253 P62805
P09693 P16070
Q8IXH7 P10809
Q13480 Q9NRW7
Q9H1I8 P27694
P80108 Q9NZD8
P35222 O96006
P51587 P08571
O60671 Q13224
Q99933 P61513
P41227 Q9NP85
Q99558 O15379
Q5RL73 P05019
O14788 O43663
P05556 P24666
P52948 Q9GZX9
Q9UKR5 P61289
Q9BQ66 Q07820
Q8TDM6 O95084
Q9UN74 Q9H422
Q02094 Q6VY07
Q14061 Q15834
P78552 O43768
O14662 Q9UJ14
P22314 Q9UBU3
Q86Y97 O75475
Q14789 Q9Y6X1
P60228 P45974
P07602 Q9GZT8
Q13794 O15379
Q8IYX3 P19823
P54253 O75818
P13010 O00165
Q9P2R6 O15533
P54253 Q9NQW7
Q92597 O15018
Q8NHQ1 P62280
O14662 P0C0L5
P11940 P32780
Q9GZT8 Q96KJ9
P26842 P01589
P27824 Q8TC92
P68400 P11137
O60583 P02766
P17480 Q96RU7
O95278 Q99572
P59998 P00813
Q6UX01 Q86UW1
Q13480 Q9BZW8
Q07817 Q15388
P20382 Q9UQB3
P20916 Q9H211
Q9Y3F4 Q969H0
P03372 Q9UBW8
Q9BRV8 P48681
Q13094 Q9GZT6
P19447 Q9UBU7
P52948 P27169
P68400 Q969Y2
P05067 P24385
P49959 P13612
P54253 Q13155
Q9H2M9 Q9BWG6
P20963 Q9BVK8
P06400 Q13200
Q16533 Q9NZ42
O95707 Q12959
P16284 Q8IUD2
O95786 P61201
O75665 Q9HC44
Q92597 P49736
Q9UNZ2 Q8TDV0
Q6VY07 Q9Y262
O43395 P18428
Q09472 P48681
Q15464 P20618
P09466 P14209
P05556 Q9HC77
Q52LW3 P13612
P42702 Q5SXM2
Q9Y3C7 Q9GZZ8
Q99558 Q93074
Q9BVJ6 P57678
Q13228 Q9BXR5
O14777 P19823
Q14181 Q9NXU5
Q9H3Q1 P61812
Q8TCJ0 O15018
P49736 O00628
Q01780 P55058
P16581 P14138
P21673 Q9UBC2
P49902 Q96HR3
Q9H944 Q15642
Q9H4I2 P04075
Q8WXE9 Q8N2H9
Q7L590 P40933
P16070 Q99575
O43148 Q969Y2
O15455 Q99081
P13611 P42702
Q01831 Q00796
Q9UBD5 Q9NX08
Q08945 P29475
Q8WXF8 P00395
Q7L5N1 Q2TAA8
Q9P086 Q4J6C6
Q08211 O60383
O75970 Q8IZD9
P26639 Q9BYM8
Q96RK0 Q9Y624
Q14146 O75665
Q8IWU2 Q9Y4Z0
Q09472 O60762
Q969H6 P01303
Q13432 Q13042
P27824 P19838
Q09472 Q99558
Q9Y2L1 P04179
Q8NC60 Q9H0A8
Q9UIF7 P62854
Q9UPT5 P78559
O14744 P36543
P53618 Q9P2M1
P20618 Q96M91
P06213 Q9UKJ5
Q99689 Q13200
Q05586 Q12959
O00628 P51809
Q13190 Q9BZZ2
P14324 Q92934
P05060 Q9HCU9
Q9P021 Q9BYG5
O95990 Q96ID5
P12272 P22695
Q7L5N1 Q96E40
P49454 Q9Y3C7
Q8IYF3 O14617
Q9UPT5 Q03431
O15273 P49069
Q7L5N1 P02686
P03372 Q9HBE4
P22234 P02751
P63272 Q15834
Q15041 P41227
O60232 P05111
P46379 O60907
P49005 Q16665
O60925 P60002
O15360 P52272
Q15041 Q9NRW7
O75150 O14617
P16581 Q15274
Q9P2M1 P49767
Q13561 Q8WXI7
Q9UBN7 O15519
P51811 P48444
Q9H0Q3 P20396
Q99828 P07737
P20963 Q9NQC3
P05556 Q8WUM0
Q12834 P02751
P35222 Q9Y3B2
P04183 Q13042
P33402 Q96J94
O60671 P60174
P46379 P11940
Q07817 P07954
P05026 Q9UMX1
Q9NZ52 P01589
O14746 Q9H2X0
P00966 P31323
P27695 P04278
P49366 Q07326
P68400 Q8NB12
Q00597 Q8IXH7
P36542 Q15388
Q92945 P04004
O43294 Q8IU60
O76031 P56537
Q96G25 Q14966
P49736 Q9Y2X7
Q9Y3B2 O75146
P05556 O15294
O60573 P03950
P54253 O15360
P12004 Q9H900
Q13432 O95391
Q13573 Q9P253
Q8WWV3 Q86YW7
Q10571 P29475
Q9UKR5 P14138
O14746 Q96RU2
P35658 Q10570
P12956 Q8N122
Q14061 O15455
P68400 Q10571
Q5T3J3 O75528
O14686 P04733
P62258 Q9NWQ8
Q13200 Q13421
Q15543 Q12846
Q9BRG1 Q13323
P51398 Q06190
Q5FBB7 Q969G3
P06401 O43541
Q9BTP7 P19838
Q9GZT8 P49356
Q9BQD3 Q9H944
Q9GZT8 O15228
P19532 O15379
Q9BWH2 Q15631
Q96E40 Q8IZU9
P03372 O15379
P51843 P48357
P12004 Q14669
Q99828 P04183
Q15361 Q8IZD4
Q15185 O94777
Q9Y2L1 Q96H20
Q8WYA6 P24385
Q13200 Q8TDC3
Q01780 O75964
P49736 P46527
Q9H6J7 Q9Y6D9
Q08211 O14775
O95391 Q8NCW5
Q13285 Q92896
O94776 Q9NP85
P61604 P42701
O14980 Q96RU7
Q99547 O14746
P54253 Q01780
O00189 Q9Y5Z4
Q5T3J3 P05060
Q16891 P47756
P31025 Q9UJ70
P18858 Q9Y2H0
Q9NWW0 P49903
Q8IYX3 Q969H6
P62081 P62380
Q07817 P35869
Q13772 Q93008
Q14643 P04141
P04183 Q5JSS6
P21695 Q9UJX3
P67870 Q9HCU9
P06401 Q8NC60
Q92973 Q8TEW0
P14778 Q6IB77
P35222 P21589
P62805 O96006
P78406 O95359
Q7L5N1 Q9BUN8
Q13077 Q12929
O60241 P25101
Q9UHD2 Q8NB37
Q13416 Q96HE7
P03372 O43261
P55157 Q9GZS1
Q9P021 P09919
Q02763 P61619
P52948 Q9NX08
Q15834 P49247
P27694 P98161
Q99836 P17480
P32780 Q7Z3Y8
Q5T3J3 P03372
Q9H6R7 Q13216
P62258 O94776
P46379 Q6IA69
P48147 P05556
P16871 Q9BQ66
Q09472 Q9UJW3
P67870 O95347
P02766 P20742
Q12888 P32970
O60907 Q9BXY8
Q8TDM6 Q92994
Q13888 P15018
P01042 O14745
Q9C0J8 Q15102
P27824 Q9Y2J2
Q9Y2X7 Q03135
O14893 P49641
P00491 P61247
Q6IB77 Q8IYR0
P21246 P01148
Q01780 Q9UI12
O95793 Q96N16
P98164 Q92878
P0CAP2 Q12906
P17480 Q9NQB0
Q14643 Q9H0R3
Q15542 O95721
P06400 P21580
O15297 P20823
P00966 P19438
Q9UBD5 Q9NZD8
P16070 P43351
Q969H6 P48552
O60671 P08887
Q13765 Q9Y4H2
Q96FZ7 O15534
P52701 Q96AT9
P02647 O14544
Q9UKF6 P17152
Q9Y2L1 Q14134
Q9GZN7 P43034
Q4U2R8 Q9Y6H8
Q5RL73 P46976
Q96PN7 Q9UMS4
P05026 Q15257
P00491 Q9Y223
P27824 O60906
Q9BUB5 O00253
O15169 Q96F07
P49736 P32780
Q76FK4 P05067
Q86YN6 P18206
Q9UKT4 Q07021
P13693 Q9UNS2
Q15102 O14745
P09874 Q6VY07
Q9NQL2 Q9UJ70
P04114 Q96EY7
Q92624 Q9UHX1
P21673 P20309
P51610 Q9C000
Q03135 O95149
Q8IYF3 Q5T681
O60671 Q9Y6K8
P16473 Q9NP85
P54253 P49736
P68400 P35222
Q13573 P01303
Q12846 O15519
Q6ZMT1 O95259
O95359 O43823
P46379 P57057
P20742 Q9HB89
Q13077 Q96SB4
Q2M1K9 Q9BTY7
Q13432 P55259
O60500 Q13635
P24385 P63208
P61201 Q96DW6
Q16594 P15927
Q16891 Q5SXM2
Q6P1J9 O00116
P22674 Q96RE7
Q6P1J9 O14773
P68400 Q8IYF3
P68400 O75971
P49406 P26599
Q13216 Q13352
P68400 P09874
P19838 Q9GZT8
P06400 Q9P2S2
P49768 P02647
Q13432 Q15042
Q9UQB8 P54253
P30260 P56537
Q12972 P51398
Q16666 P15822
A0A5B6 Q14789
Q9Y6B7 Q9UNN5
Q92597 P26599
Q9NZJ7 P09919
Q13573 P35222
Q13573 P21246
P04040 Q8N6C5
O14746 P28799
P27824 P67870
Q15834 O75901
Q07820 P06748
Q15528 Q9H0R4
Q92597 Q9GZY6
P02649 Q9BYG5
O75182 P48736
P26368 Q99689
Q7L5N1 Q5RL73
P30260 Q99497
P24385 P19419
P01583 Q7Z6G3
O75818 Q9UHY7
P14778 P02766
Q01831 P24385
Q13765 Q13432
Q969R5 P02647
Q9P2H0 Q14746
P54253 P12004
Q9BVJ6 Q13888
Q13873 Q13371
Q9UKR5 Q10570
O75528 Q6P3W7
Q92597 P02686
Q8N1F7 Q14738
Q15388 P61421
P30876 O14775
Q6P1J9 O95372
A5YKK6 Q9BRV8
P35221 P16284
O43683 P51617
Q14061 Q15025
P06400 A0A5B6
Q9UNS2 P04035
P20290 Q9BZD4
Q15257 P13667
O14920 Q6P1J9
Q13416 O75817
Q03181 P04004
P54253 P02647
Q13285 Q13191
P49903 Q8TD16
P62487 Q99627
O14744 P21580
Q99575 Q92902
Q7L5N1 P11836
O75970 P49773
P62917 P28715
Q7L5N1 Q9UJX6
Q92994 Q03113
P15927 P05114
P05556 Q9UBC2
P06400 O95359
Q96KB5 Q9NQC3
Q70Z53 O43561
Q9Y272 O00499
P17480 Q6PJP8
P68400 Q92643
P11940 P00451
Q05586 Q9Y5N6
Q9UKT4 P32780
P01375 Q9BXR5
O14893 Q8TCG2
Q15185 Q99598
Q13042 Q9H7H0
O95163 P49247
Q15361 Q9BPX7
P16871 Q9H8K7
Q6VY07 Q9UHQ1
P12004 Q9UEE9
P12956 Q14596
P19447 Q9BWC9
Q07817 P31785
O14745 Q5JR12
O00628 O96006
O14893 P59665
Q14181 P08476
Q9UHD2 P62304
Q9UBD5 P06400
P15927 O00165
Q09472 Q9UGP4
Q9UBW8 P55058
P49736 Q6IB77
Q14789 P07737
Q09472 Q9Y3C7
P55058 Q9Y272
Q7L5N1 Q9NZD8
O75940 P02774
P58753 Q6UWB1
Q9BXR0 O95793
P16870 Q6NUQ4
Q5FBB7 Q13563
Q8NC60 Q96JB2
O94875 O60244
Q13416 P49903
P19438 Q96T58
Q9Y605 P08519
Q14181 P31785
P02686 P15018
P21246 Q02817
P29084 Q96RU7
P40855 O14773
P68400 O94875
Q9UJX6 P06213
O43913 Q9GZR7
Q9UHI6 Q969M3
P27694 Q969H6
P07814 Q12929
Q7L590 P52434
P16284 P53621
Q5T3J3 P0CAP2
Q9P2H0 Q9UGL9
P10827 Q9GZT6
Q5T3J3 O15117
O15169 P60228
Q9Y3F4 P05067
P14324 Q9H2M9
Q15834 Q16478
Q14181 P04278
Q14181 O95707
Q5FBB7 P36543
P62258 O15126
P78527 Q9BVJ6
P02768 Q9NRX4
O15446 P01215
Q16891 P26599
Q12929 P33681
Q15388 Q96HE7
Q01780 Q9Y272
Q14191 Q9BTM9
Q9NZD4 P57057
Q9P2R6 Q9NQ34
Q13573 Q96QZ7
Q96QK1 P25100
Q86X55 P03372
Q8N715 Q5JY77
Q9UBD5 Q8IYF3
O76031 P30305
Q9P2H0 O15144
P09884 Q8WZ42
Q9BQ66 Q01113
P19838 P23510
Q9UPT5 Q9HCN4
Q9Y2J2 O14832
P02751 P62487
P18206 O14832
P02686 Q96IP4
P12956 Q5JY77
Q15834 P02751
Q92979 Q92828
Q14596 Q14749
Q9H939 Q8WVR3
O14980 P02647
Q09472 Q15528
Q8NC60 Q15042
Q9NQT5 Q86UP0
Q9UIF7 Q96RE7
Q09472 P49407
P40925 Q15834
Q96QK1 O43612
Q9Y3F4 Q9BQ66
Q01780 Q9GZU0
P19838 Q9NRI5
O43513 Q15650
Q14643 Q9NRX4
Q13243 P00480
Q5T3J3 O60907
P17509 P01583
Q03013 P25101
Q13200 P41273
Q93052 Q92979
P15927 Q9Y3F4
P62258 P24522
P49736 P20963
Q5VWK5 Q01780
P21246 Q9BXW9
Q14676 P30519
Q9Y3C7 P52272
P26639 Q9Y4H2
O75916 P55209
P52701 P30990
Q92597 Q10570
P09884 Q96EV8
P11597 Q6QNY1
Q9BUN8 Q02878
P22234 O14836
Q00403 Q02224
P15822 O95999
P02768 Q9Y2L1
P51610 P56715
P19532 O96006
Q9H081 Q6PJP8
P35221 P04179
Q9NQX5 Q96EW2
Q9UBD5 P20963
O15455 Q96RK0
Q9BQ66 P04179
P68400 P21246
Q01780 Q9UBW7
P68400 P36542
Q9P2H0 Q03933
P13569 Q9BQ66
Q5T3J3 Q7Z6Z7
Q9P2H0 Q00341
P06400 P25100
P49454 P61289
P98164 Q8NFZ5
Q12772 P29475
P46379 P53803
Q5FBB7 Q99523
Q8NHQ8 Q5JR12
Q15185 Q11203
Q5RL73 Q92466
Q9Y2A7 Q9UL45
Q96EV8 Q96ES6
O95990 Q9Y2J4
P12956 Q00597
Q9NRX3 Q13772
P07814 Q9UN74
Q9P0U1 Q9Y5N6
Q9NWQ8 Q14974
Q9BWH2 O43663
O15169 P61604
O15360 Q15642
Q09472 Q8NEY8
Q9Y3F4 P55010
P17480 P19256
Q03468 P78406
Q13868 Q9Y678
O15287 P19532
Q6VY07 P62857
Q9BSF8 Q01780
Q9Y3C7 Q9H1A4
Q9H079 Q9NPF4
Q9Y3A3 Q00610
Q92844 Q9Y2B0
P46379 Q02817
O75150 Q9UJA5
P20290 Q12959
P10109 Q9UJX3
Q9HB96 P0CAP2
Q15025 Q9NP59
P56537 Q15388
Q9UFF9 P37108
P38432 Q6P2C8
P30041 Q7Z7C8
Q13573 P84090
P15927 Q7Z3Y8
P09874 Q12906
O75534 O15534
Q9BWH2 Q9NXU5
P15927 Q9Y624
P09884 O76003
P19838 P51843
P55157 P48552
O60232 Q9NZD8
P54253 Q8NHQ1
Q9BQ66 O95747
P54253 P49913
O75528 Q14974
P54253 P37287
Q6VY07 Q9P253
P20382 Q13416
Q9Y2A7 Q13571
Q9UGJ1 Q12906
Q16594 Q9BYC9
P05556 P27695
P54253 Q9NQS3
P35222 Q9BVJ6
O95721 P78347
Q9NWQ8 Q14524
O75925 P19438
Q15388 Q96HW7
O60671 Q5HYC2
P35222 Q9HB09
Q7L5N1 P38432
Q16665 Q07889
P62081 O95084
O95070 Q96RK0
P09884 Q9BXY8
P18074 O95994
Q9H8M9 Q14596
Q99689 P43351
P29083 Q9GZM7
Q9UKR5 Q9BYC9
P25208 P20823
Q8IYL3 Q9UHQ9
Q14181 P49720
Q9UBD5 Q07326
Q15834 Q14181
P98164 P02774
P21246 Q9BXR5
Q15834 O00198
Q13790 Q9UBU3
Q92973 Q8IZH2
Q96JH7 O43913
Q5VWK5 P50748
P19838 Q96RL1
O14893 P60228
Q9BXJ9 Q9NXB0
P21673 Q9UKN8
P09874 Q9H2M9
Q15761 P35916
Q96ID5 Q9GZT8
Q16594 Q00403
Q5RL73 P0C870
O43929 P29083
P04406 P98160
P56537 P48736
P27824 Q08999
Q08722 P63241
Q12959 O76003
Q9UNS1 P47914
Q9UBD5 P06028
Q14181 Q8NBJ4
Q96FZ7 P15313
Q16665 Q9UBW7
O43592 Q9UNN5
Q13077 P09917
P54253 P04141
Q14181 Q8NB37
P61619 Q9UNS2
P68400 Q13323
P27694 Q9NX74
Q13573 P62805
P03372 Q13432
Q9BSF8 O95707
Q15078 O75083
P19838 Q9Y275
O75818 Q6PEW1
Q13285 Q92542
P10827 O15379
Q9NZD4 Q92729
Q9Y3C7 Q12959
P55060 O75665
Q9BU61 O95807
Q9Y3F4 Q9UNZ2
Q9Y421 Q16635
Q16612 O14579
O60573 Q9NZJ5
O14727 P14209
Q9NSA3 Q9BWH2
Q00403 Q15648
P12956 Q9NRG1
Q13190 Q969H6
Q5T3J3 P78536
Q86YN6 Q9BTP7
Q07820 Q9UGP4
Q86U86 Q08999
P29122 P07738
P35222 P06213
P15927 Q8IXH7
Q92994 Q8NBJ4
O60701 P07814
Q9NRX3 Q9UGL9
Q9Y5Y5 Q7L5N1
Q9UBD5 Q15361
Q13772 Q9UMX1
Q8TE02 Q9H7U1
Q5RL73 P51116
P20366 Q96T58
P04406 P62424
P53618 P35869
P49736 P98164
Q5JY77 Q8WW38
P18206 Q9H0Q3
Q7L775 Q9GZT6
P35222 O95870
Q03013 Q8NFZ5
Q13190 O15294
P17480 Q5JY77
P03372 P20963
P36542 Q12959
Q15834 Q96G25
Q5T3J3 P80188
P42226 Q96G25
Q9BQ66 O60641
Q13190 P12272
Q9BT78 P11717
P21246 P27694
P13693 P19438
P16298 P14222
Q9NP79 P55060
P27694 Q15650
P68400 O15143
Q9UIF7 Q9UJX3
O75925 Q99741
P09884 P49720
P35222 Q9BXR5
P06400 P04004
Q9UKR5 P04004
P42701 P51809
O14717 P55058
O43929 Q9H422
P06401 O95347
P04114 P04183
Q9NQL2 Q9UGJ1
P62258 Q96RD7
Q9P2H0 Q8NHQ1
P09874 O14717
Q9NQS3 Q13113
Q92597 P24385
Q99698 Q9Y3T9
Q9Y4H2 Q9P2M1
P06400 P05113
Q9UKF6 P56715
Q9UL45 P48552
P16870 P49458
Q9Y2J2 P51843
Q16478 P08F94
Q12888 Q9Y3F4
P46777 P61247
Q9NP99 Q9Y6R4
P52272 P30154
O95059 Q92896
Q15834 P34897
Q8TDM6 Q9BVW5
Q7L5D6 O95232
P05556 Q6PJP8
P21673 Q96KG9
P62304 Q86XR8
Q02363 Q9NYH9
P46379 Q96RL1
Q96H20 Q8N1F7
Q70Z53 P42701
P14778 P62487
P38432 Q08334
Q14669 Q86Y97
P14784 Q15293
P56715 Q9UJA5
P07602 O14775
P03372 Q9Y3F4
Q8NHU6 Q8TF05
O00311 Q9NPI8
Q9UMX1 Q9BUE0
Q5T3J3 P20823
Q13416 Q9UGJ1
P11717 Q7L2H7
P51116 P36542
Q09472 P68400
O94875 Q92994
P68400 Q9Y4H2
Q9P0U1 P36542
P98164 P40933
P06400 Q96E40
P09466 Q11203
Q9Y2H0 P60174
Q01780 Q6ZVM7
Q16533 P00374
P15151 P81172
Q9Y5N6 Q06265
Q5JY77 Q9NXR7
Q7L590 Q9UL62
P15509 Q12906
P20366 Q12834
Q5RL73 Q13416
Q09472 P19447
Q7L5N1 P05067
Q96A65 O75818
Q92838 P27169
Q9UBD5 Q8IU60
P62875 Q9UII4
Q9Y6M9 P02751
P61812 Q8WZ42
O15287 P30793
Q13790 Q5T0L3
Q15834 Q13432
P62753 O95359
P46098 O95807
P67870 Q16531
P68400 Q96FZ7
P29083 O96008
P22314 Q9NRX4
Q13416 Q15528
P62917 O94910
Q9UNZ2 O75419
Q9P021 Q13347
Q86YN6 O43823
P51587 P32780
Q13077 Q99726
Q96HA8 Q96T58
Q9Y5Q8 Q9UGP4
Q13873 P32780
P32780 O95259
P17181 P11245
Q9UKN8 P02774
Q12834 P17509
Q9Y3A3 Q9NXU5
P54253 Q15761
Q92597 P20963
P04053 Q16864
Q7L5N1 O14727
O43913 O43147
P21246 P04278
P62304 Q7L775
Q13285 O95342
Q7L5N1 Q96CG3
O60763 Q96GX8
Q7L590 Q7Z434
Q9NRA8 Q9GZZ8
P31025 Q9BQ66
Q12834 Q96G04
P15927 Q96QZ7
P04406 P50591
P19438 P01127
O75419 Q13113
O15294 P40225
Q5HYC2 P19429
P59665 P16150
P03372 Q969D9
P54253 P78345
O15235 P29122
Q99698 O95707
P54253 Q99741
Q13873 Q969H6
O60671 Q5T3J3
Q9GZN7 Q8WZ42
P11940 Q99523
Q12959 P02774
P49366 O60732
Q92973 Q05519
P13569 P05114
Q15834 Q12981
Q13765 Q9NXR7
P04278 P48061
O14744 P35658
Q92979 Q96BI3
Q14974 Q13155
P98160 P06727
Q9UKR5 Q96HE7
Q02878 Q9Y4H2
Q9NZ42 P05112
Q8IZH2 Q15397
Q9NQW7 Q96B86
O96019 Q9Y2L1
Q969D9 O75925
Q5FBB7 Q16478
Q9UJX3 P98161
Q12846 Q9NRX1
P10827 Q9BQ95
O43913 O60566
Q15834 P29460
Q9Y5Q9 O60232
Q14919 Q9NRX3
O14746 Q07889
P51587 Q99081
P17181 P49366
P21246 P99999
A0A5B6 Q9UNZ2
O15455 P35869
Q9P2H0 P20674
P27694 Q13685
P68400 Q9Y234
Q9NX18 Q9BQ66
Q8WXE9 Q9NP84
Q9BUN8 Q15257
O75208 Q15528
P57678 O75716
Q12972 Q9Y2L1
Q13432 Q9UKN8
P49736 Q9NTK5
Q9Y572 O15085
P05556 Q9Y3C7
P35222 P62304
Q9BTY7 P51003
Q9Y605 O94777
P20963 Q9H7U1
P78527 Q07507
Q96EB6 Q9BPX5
