Node	Partition
Q8IZP9	0
O75843	0
Q92793	0
P08572	0
Q96DT5	0
Q09666	0
Q14161	0
Q96DR7	0
O75618	1
P46527	1
Q5VUD6	0
Q9P1Y5	0
Q9P2D1	0
A7MBM2	0
Q9Y463	0
O14983	1
Q93084	1
Q6IQ32	0
Q7Z401	0
Q8TD07	1
Q9P0K7	0
Q9H1K0	0
P11161	0
P05556	0
Q14571	0
Q9NQX1	0
Q13886	0
Q03112	0
Q7Z419	0
Q9Y3P9	0
P54762	0
P41212	0
P21802	0
Q9UM21	0
Q13127	0
P52948	0
P57682	0
Q9NU22	0
Q5TFE4	1
P10071	0
Q9BXK1	0
Q7Z353	0
Q92619	0
Q9HBG6	0
Q16787	0
O75112	0
Q99684	0
Q86T24	0
Q9H3C7	1
P50440	1
Q9H9P8	1
Q14526	0
Q96N19	1
Q5VTD9	0
P04035	0
Q5FYB0	0
Q6ZVZ8	0
O43861	1
Q2KJY2	0
Q9NR82	0
Q8WW38	0
Q86VZ6	0
Q9H165	0
P50747	0
P18146	0
A6NNH2	0
Q6NT76	0
O43157	0
Q7Z5P9	0
Q01813	0
Q8IX07	0
Q9NPC7	0
O95600	0
Q8TBB1	0
Q9Y2L9	0
P56270	0
Q71F78	1
P48357	0
P08151	0
P10070	0
Q6P597	0
O75840	0
Q05215	0
Q96HC4	0
Q9NQV6	0
Q9H4Q4	0
Q9BZE0	0
Q13422	0
Q9BZA7	0
Q9BRP0	0
Q8N2R0	0
P42694	0
Q9H422	0
Q9UKS7	0
Q9H5V7	0
Q96T92	0
P34949	1
Q8TAG9	0
Q9NZU5	0
O14753	0
Q8TAX0	0
Q9Y6X9	0
Q49AM1	1
Q6V1P9	0
Q9NQX0	0
Q9HBE1	0
O00110	0
Q9NQV7	0
Q8N7H5	1
P27694	0
P38398	0
A1A4V9	0
Q9Y2V7	0
O60308	0
Q13351	0
Q9C0K0	0
Q8N143	0
Q6AI39	0
Q9BXL6	0
Q9UQ03	0
Q9BZ29	0
Q96HJ3	1
Q9P109	1
Q9P218	0
P11362	0
Q4L180	0
Q96JM3	0
Q05707	0
Q06889	0
Q8NEA6	0
Q9HCS2	1
Q8WXX0	0
P57058	0
O75061	0
P10075	0
P08908	1
P41182	0
O60427	1
Q9GZT9	1
Q8TF61	0
Q96SL8	0
O15068	0
P20933	1
Q13118	0
O14901	0
Q9Y2Y9	0
Q9P0J7	0
Q8TD94	0
Q9UIH9	0
A0A0U1RQI7	0
Q66K89	0
Q8NBF1	0
Q9BQA5	0
Q9UKT9	0
P20807	0
Q9H4Q3	0
Q9Y3U8	0
Q9NSC2	0
Q9Y467	0
Q9BXA9	0
Q9UJQ4	0
Q02224	0
Q9H2S9	0
O14772	0
Q96LW4	0
Q8TBJ5	0
Q13029	0
Q9UKN5	0
Q15072	0
Q8IWE5	0
Q15743	1
Q685J3	0
Q6ZUA9	0
Q75VX8	0
Q96JB3	0
Q9GZV3	1
Q9NYH9	0
Q5M8T2	1
Q02446	0
Q9GZM7	1
Q9UM63	0
Q8NBJ9	0
Q9BWW7	0
Q9NQ03	0
Q6BEB4	0
Q9GZV8	0
O43426	0
P28331	0
Q14872	0
P57071	0
A0PJY2	0
Q7Z3K3	0
Q9HAZ2	0
Q9NQV8	0
Q8IV36	0
O43623	0
Q9ULL8	0
Q9UIB8	0
Q96M53	1
Q14714	1
P51692	0
Q5C9Z4	0
O75626	0
O95785	0
Q8N6D2	0
Q92854	0
Q3SY56	0
P08047	0
Q5VT25	0
Q12769	0
P57078	0
O60287	0
Q9BYC2	1
P0CG40	0
Q9UPG8	0
Q8IXZ3	0
Q9BWE0	0
Q96GD3	0
Q3KNW1	0
Q01082	0
Q13490	0
Q8TDG2	0
Q8IVF2	0
Q8IWZ3	0
Q9UNK9	0
O43298	0
Q9H7R5	0
Q96EG3	0
Q96IR2	0
Q8N782	0
Q7Z3I7	0
Q8N9Z0	0
Q6DJT9	0
P17032	0
Q92959	1
Q8NB15	0
Q5HYK9	0
P10074	0
Q8N8J6	0
Q8TBZ8	0
A0AVT1	0
Q8N8E2	0
Q96C28	0
Q6ZTB9	0
P17039	0
O60481	0
Q8N587	0
Q8N184	0
Q9UHF7	0
Q92618	0
Q6P2D0	0
O95863	0
O43829	0
A8MUV8	0
P16415	0
Q8TF32	0
Q8IYI8	0
A6NM28	0
P52740	0
P35789	0
Q9Y4E5	0
A8MXY4	0
P13682	0
O75820	0
Q9UII5	0
Q8IYN0	0
P98169	0
Q9HCE3	0
Q6V9R5	0
Q9P2J8	0
Q8NHY6	0
Q6ZTA4	0
Q49A33	0
Q5T5D7	0
Q9NXT0	0
Q96PE6	0
Q14593	0
Q8IXK0	0
Q3SXZ3	0
Q8NE65	0
Q9H0M5	0
Q96CK0	0
Q6P1L6	0
Q86UP3	0
Q8IYB9	0
Q9ULJ3	0
Q9BYN7	0
Q8NDQ6	0
Q8TF68	0
Q96N38	0
Q6ZN11	0
O95625	0
Q6PDB4	0
P17025	0
P17028	0
Q8N0Y2	0
Q15935	0
Q96MX3	0
Q6ZNH5	0
Q03936	0
Q96NL3	0
Q9P243	0
O15062	0
Q8TAW3	0
Q5SXM1	0
Q14592	0
O14709	0
Q53GI3	0
Q8N9K5	0
Q86XN6	0
P0CJ78	0
P17024	0
P52747	0
Q9HCG1	0
Q8N8Z8	0
Q8N8Y5	0
P51786	0
Q9BSG1	0
Q96SZ4	0
Q13107	0
O75467	0
Q6ZN79	0
P61129	0
Q8N7Q3	0
Q8IW36	0
Q96MU6	0
P0CB33	0
Q3KP31	0
Q9Y330	0
Q147U1	0
Q9UPR6	0
Q9C0F3	0
P15622	0
Q96LW9	0
A2RRD8	0
Q08AN1	0
Q5T7W0	0
Q8NEP9	0
Q8NA42	0
Q8TC21	0
Q6P9A3	0
Q96N58	0
Q7Z7L9	0
Q9Y2G7	0
Q9UK11	0
Q2QGD7	0
Q96K62	0
Q5TC79	0
O15156	0
O43361	0
A8MTY0	0
Q7L3S4	0
P52742	0
P52737	0
P17036	0
Q06732	0
P0CG00	0
Q9UID6	0
Q96BR9	0
Q5VV52	0
Q9H963	0
Q86W11	0
Q86YE8	0
Q14119	0
Q9Y5A6	0
Q3ZCT1	0
Q96K58	0
Q05516	0
Q14587	0
Q8TB69	0
Q9HBT7	0
P52744	0
Q13360	0
P17040	0
Q9HCZ1	0
Q9NX65	0
Q3ZCX4	0
Q9NU63	0
P17023	0
Q15697	0
Q9ULM2	0
Q9C0A1	0
Q8N427	1
O76050	0
Q13129	0
Q9Y508	0
Q92766	0
Q8TDD2	0
Q8IZW8	0
Q15413	0
Q02086	0
Q02447	0
Q9NYW8	0
O15533	1
P25490	0
Q14586	0
Q96K83	0
Q96NG5	0
Q8TD17	0
A6NJL1	0
Q8NBB4	0
Q99592	0
Q6NX45	0
Q96SQ5	0
Q96K75	0
Q92610	0
Q6ZN55	0
Q6NSZ9	0
Q86VK4	0
Q92670	0
P0DPD5	0
Q9Y2P7	0
Q5SVQ8	0
Q499Z4	0
Q8IYX0	0
Q9BV97	0
Q8TF20	0
Q9BSK1	0
Q96GC6	0
Q3SY52	0
Q9H9D4	0
Q86XF7	0
O15391	0
Q9HAH1	0
Q6AZW8	0
Q8NCP5	0
Q8TAU3	0
Q6ZNG0	0
Q96SK3	0
Q86UE3	0
Q7Z340	0
P0DKX0	0
Q9H5H4	0
O60281	0
Q5T1R4	0
Q6U7Q0	0
Q9BUG6	0
Q9NQX6	0
Q8N554	0
O95780	0
Q9H7X3	0
Q96BV0	0
A6NDX5	0
O15015	0
Q8N1W2	0
A6NP11	0
Q8IZM8	0
P19544	0
Q52M93	0
Q9P1Z0	0
Q96GE5	0
Q8N4W9	0
Q6ECI4	0
Q13398	0
Q7L945	0
Q76KX8	0
Q9Y2X9	0
Q4KMP7	0
O60504	0
Q86WI1	0
Q6AHZ1	0
A8MWA4	0
A8MUZ8	0
O75290	0
Q9Y6R6	0
Q92543	0
Q9UFB7	0
Q63HK5	0
Q8N972	0
Q3KNS6	0
Q6ZN06	0
Q6P3V2	0
Q6ZMV8	0
Q6IQ21	0
Q15928	0
Q14588	0
P98182	0
Q9UJW7	0
Q9HBF4	0
Q6ZMY9	0
Q8NAM6	0
Q2M218	0
Q96NG8	0
Q9HC78	0
O15060	0
Q8TD23	0
Q08AG5	0
Q96MM3	0
Q96JC4	0
P17038	0
Q15973	0
Q96JG9	0
P51523	0
Q96JL9	0
P37275	0
Q494X3	0
Q06730	0
Q96SE7	0
O43167	0
Q9Y2K1	0
Q86XU0	0
Q9NZV7	0
Q5TYW1	0
Q5TEC3	0
Q6PK81	0
Q9GZX5	0
Q68DY1	0
O15090	0
P10073	0
Q9UK10	0
Q9NYT6	0
B2RXF5	0
Q96C00	0
Q9BY31	0
Q17R98	0
P52736	0
Q6ZN19	0
P21506	0
Q9UJW8	0
Q8WV37	0
O43296	0
Q86UK7	0
Q9H582	0
Q8N9L1	0
Q16670	0
Q96KM6	0
P0CI00	0
E7ETH6	0
P0CH99	0
P17019	0
A6NNF4	0
Q8N393	0
P0CG23	0
P0CJ79	0
P51504	0
O43670	0
Q9H8G1	0
Q9P255	0
Q9H7R0	0
Q8TCN5	0
Q05481	0
Q9UJU3	0
O75346	0
Q15915	0
Q9Y6X8	0
Q8TA94	0
Q7Z398	0
Q6ZSS3	0
Q9P2F9	0
Q8N720	0
A1YPR0	0
Q96CS4	0
Q13105	0
P51815	0
Q6ZMS4	0
Q96AP4	0
Q8N141	0
P17030	0
Q969J2	0
Q9UC06	0
Q9BX82	0
P51814	0
P59923	0
Q03938	0
Q9BRH9	0
P98168	0
P58317	0
Q9UK13	0
O95201	0
O43345	0
Q96IT1	0
Q8IZC7	0
A6NFI3	0
Q09FC8	0
Q9BWM5	0
Q9NRM2	0
Q5MCW4	0
Q9H4T2	0
Q9UJL9	0
Q8IVP9	0
Q9H707	0
Q8N895	0
Q6PG37	0
Q96NI8	0
Q8N3J9	0
O14904	1
Q8TF45	0
Q08ER8	0
Q8NF99	0
Q6NX49	0
Q8TBC5	0
Q7Z7G8	0
Q96N22	0
B4DU55	0
Q9Y2A4	0
P17026	0
P17098	0
P17010	0
Q8TBZ5	0
O94892	0
Q6PF04	0
Q3KQV3	0
Q86V71	0
Q9UC07	0
P52738	0
P49910	0
P17031	0
A6NK75	0
O14771	0
Q9UIE0	0
Q6ZR52	0
Q9BRR0	0
A6NK53	0
Q5JVG2	0
Q969W8	0
Q8NEK5	0
Q5T0B9	0
Q3MIS6	0
Q9Y2P0	0
P17035	0
Q8NB50	0
P17020	0
Q12901	0
Q9UDV6	0
Q86WZ6	0
Q8N8L2	0
Q03924	0
Q63HK3	0
Q96JM2	0
Q9P0L1	0
Q9UNY5	0
Q16587	0
Q8N9F8	0
Q8TF39	0
Q68EA5	0
Q9UL36	0
Q6ZN08	0
Q9Y2H8	0
O75362	0
Q5T619	0
Q8TF50	0
Q8TAQ5	0
Q96JF6	0
Q8N1G0	0
Q7L2R6	0
O75541	0
Q2TB10	0
Q8N823	0
Q03923	0
P35711	0
Q9Y2Y4	0
Q6ZSB9	0
Q5VWN6	0
Q92664	0
Q6P9A1	0
Q9HCX3	0
Q9HCL3	0
P0CG31	0
Q9NSJ1	0
Q8ND82	0
Q8N859	0
Q96DT7	0
Q6ZMW2	0
A6NHJ4	0
P17022	0
P17014	0
P0CG24	0
Q13106	0
P10072	0
P52739	0
Q96JP5	0
Q96I27	0
Q96LX8	0
Q9H609	0
Q6NUN9	0
Q2M1K9	0
O15535	0
O60765	0
Q8NAP3	0
Q9NV72	0
Q5HY98	0
Q9UQR1	0
P17027	0
P17029	0
P52746	0
Q14585	0
Q9C0G0	0
Q96C55	0
Q6ZN57	0
Q96N20	0
Q9P0T4	0
Q6P280	0
Q96LW1	0
Q32M78	0
B4DXR9	0
Q5JPB2	0
Q16600	0
Q8IWY8	0
Q8N883	0
Q7RTV3	0
Q9NZL3	0
Q86UQ0	0
O60315	0
Q2M3X9	0
Q9UEG4	0
Q96N95	0
O75123	0
Q8NDX6	0
Q9Y462	0
Q0D2J5	0
Q9ULD5	0
Q9Y2D9	0
Q8N988	0
P31629	0
Q96SR6	0
Q9NSD4	0
Q14669	0
Q96HQ0	0
Q6ZNG1	0
Q9H4Z2	0
Q9BR84	0
Q9H4I2	0
Q9UK33	0
Q6IV72	0
Q8NAF0	0
Q96H40	0
O43309	0
Q8N2I2	0
Q96ME7	0
Q8N7K0	0
Q9Y6Q3	0
Q7Z4V0	0
Q9NQZ8	0
Q8IYH5	0
Q15937	0
O95125	0
Q14590	0
Q5VIY5	0
Q86UD4	0
Q7Z3V5	0
Q86T29	0
Q8NCK3	0
Q8NEM1	0
Q68DY9	0
Q96PQ6	0
Q5VUA4	0
Q9NTW7	0
Q8IVC4	0
Q8N8C0	0
P15621	0
Q02386	0
A6NGD5	0
P15822	0
Q9BUY5	0
Q96NJ3	0
Q6ZSZ6	0
O15209	0
Q96RE9	0
Q96ND8	0
A8MQ14	0
A8MT65	0
Q5CZA5	0
P52741	0
P17021	0
Q5JVG8	0
Q9P2Y4	0
Q14929	0
Q6P9G9	0
Q8NDW4	0
Q9UL59	0
O14628	0
P36508	0
O75437	0
Q7Z7K2	0
Q96CX3	0
Q9UDV7	0
Q9HCK0	0
Q86UZ6	0
O95365	0
Q8IZ20	0
Q5T200	0
Q9BU19	0
A8K8V0	0
Q6ZNA1	0
B7Z6K7	0
Q0VGE8	0
Q99676	0
Q8TAF7	0
Q9Y473	0
P17041	0
Q9Y2L8	0
Q2M3W8	0
P51508	0
C9JLR9	0
P17097	0
O60304	0
P51522	0
Q15776	0
Q9UK12	0
Q96MR9	0
Q2VY69	0
Q9NUA8	0
Q6ZS27	0
B1APH4	0
Q96BR6	0
Q96H86	0
Q8NCN2	0
Q9BS34	0
Q5FWF6	0
C9JN71	0
Q8TF47	0
Q8IZ26	0
Q9H0D2	0
O95409	0
Q8WXB4	0
Q9Y3M9	0
Q5JNZ3	0
P08048	0
A6NN14	0
A0A1W2PQL4	0
Q6ZMS7	0
Q49AA0	0
Q96NJ6	0
P17017	0
Q8NC26	0
Q8NDP4	0
Q8WTR7	0
Q8N7M2	0
Q8WUU4	0
Q9NW07	0
Q15911	0
Q6AW86	0
Q9C0D4	0
Q4V348	0
Q15916	0
B4DX44	0
Q9BS31	0
Q5EBL2	0
Q8NB42	0
Q96T25	0
Q3MJ62	0
Q9UJN7	0
Q8TEU8	0
Q5THJ4	0
Q9Y2Q1	0
O14978	0
Q9H5J0	0
Q8NAP8	0
O75373	0
Q68DI1	0
Q6DD87	0
Q8NCA9	0
Q86TJ5	0
Q14584	0
Q9NR11	0
Q5BKZ1	0
Q96N77	0
Q5T447	0
Q99612	0
Q13887	0
Q14324	0
P28698	0
Q9NP70	1
P51689	0
Q04771	0
Q9BXX3	0
Q12797	0
Q96B01	1
Q8HWS3	0
Q15818	0
Q9Y278	1
Q2M2H8	0
E2RYF6	0
Q9Y216	0
Q8WXJ9	1
Q9BQP9	1
Q9C098	0
P41235	0
Q96J66	0
P30613	0
O94913	0
Q96N67	0
Q8NFW5	0
A8TX70	0
Q12894	1
Q6NY19	0
P03952	1
Q9NRM1	0
Q6NUM9	1
Q5H9L4	1
Q9HCB6	0
O60841	0
Q5SWH9	1
Q96JQ2	0
O75762	0
P29401	1
Q9UQP3	0
Q9NXZ1	0
Q6ZV73	0
O00507	0
P19474	0
Q9ULL1	0
Q70CQ2	0
Q6NT04	0
Q86TC9	0
Q96PX6	0
Q7L0X2	0
Q15834	0
Q8N5R6	0
Q14203	0
Q9Y2D8	0
O95477	0
P49761	0
Q2TAZ0	0
Q76L83	0
O43307	0
Q02750	0
P36507	0
Q8IXT5	1
Q8IUD2	0
Q9H0J4	0
Q86YS3	0
P12883	0
Q96SU4	0
Q8N612	0
Q6W4X9	0
Q9Y5H8	0
Q9HCH0	0
Q9ULD2	0
Q15742	0
Q13825	1
Q03001	0
Q96MR6	0
P15941	0
A6NKD9	0
O95786	0
Q9P219	0
Q8IY33	0
P29323	0
P13535	0
Q9NYQ8	0
Q14766	0
O43312	0
Q9H792	0
Q5KU26	0
Q96Q89	0
Q6KC79	0
P48681	0
Q8WWI1	0
Q13136	0
P07942	0
P57789	0
Q5XXA6	0
Q9ULI3	0
Q9UKX5	0
P18054	1
Q9Y5S2	0
Q96MM6	0
O95613	0
Q6R327	0
P12036	0
O75787	1
Q8NA61	0
Q5TZA2	0
Q13698	0
O15078	0
Q8WZ74	0
Q96MT8	0
Q86XJ1	0
Q96PZ2	1
Q8N3K9	0
Q4G0X9	0
Q2TAC2	0
Q8NI99	0
Q92611	0
Q86V48	0
P07359	0
Q8N539	0
P11047	0
Q8IY31	1
Q9H4P4	0
Q9BTV7	1
Q9H3Y0	0
Q96A99	0
Q96PC5	0
P57077	1
P11309	0
Q16594	1
O14994	0
P51531	0
Q5JRA6	0
Q7Z7B0	0
Q9H0K6	0
Q96T51	0
Q8NFP9	0
Q9Y448	0
Q14524	0
Q53H47	0
P11055	0
P13533	0
Q8NCF5	1
Q86SQ0	0
P02786	0
Q9UK61	0
Q8TED9	0
Q15003	1
Q13492	0
Q9P2M4	0
A0A1B0GUW6	0
Q9Y572	0
Q8IYB3	0
Q9UKX3	0
A6NKC9	0
P08240	0
Q8IV63	0
Q9UBW7	0
Q96AY4	0
A6NLI5	0
Q8NA31	0
P11387	0
Q70EL1	0
Q9NR99	0
Q00653	0
P56539	1
Q03135	1
Q9NZI8	1
Q9UL42	1
P14653	0
P51636	1
O76039	0
Q7Z333	0
Q8WVM0	1
Q07352	1
O43247	1
Q14790	1
P31749	0
Q9UG63	0
P28222	1
P50995	1
Q6ZN30	0
P43652	1
P49662	1
O94805	0
P30838	1
Q12802	0
Q6XZF7	0
O60706	0
Q8TF62	1
P08603	0
Q9HBB8	0
Q6UXS9	1
P42574	1
O15519	1
Q8NB25	0
P58397	0
Q9P2N5	0
Q9H0Z9	1
Q15113	0
Q00169	0
P21397	0
Q8NFP4	0
Q14517	0
Q6WCQ1	0
Q9NPI8	1
O60732	0
Q9NZL9	1
Q4ZG55	0
O60303	0
Q6ZU64	0
Q9UI26	0
P55212	1
Q8WYN3	0
Q15121	1
Q8TB36	1
O60229	0
P52848	1
Q93052	0
P53602	1
Q92887	0
P98164	0
Q96LB0	1
O15230	0
Q9H160	0
P48739	0
Q9UHC9	0
Q6GPH6	1
Q9HBI5	1
O75173	0
Q659A1	0
Q53HC5	0
P29466	1
P51878	1
Q5T0U0	0
H7BZ55	0
Q99501	0
P55211	1
P15924	0
Q16526	0
Q13158	1
Q96BJ8	0
P55210	1
Q86UE4	1
Q2VIQ3	0
Q5PSV4	0
Q92851	1
P48637	0
P31944	1
P42575	1
P30622	0
P54317	1
Q99759	0
Q7Z6W1	1
Q8WXH0	0
Q9Y4C2	0
Q86YF9	0
O95561	1
P06493	0
Q96PV4	1
Q9H9J4	0
Q03169	0
O00295	0
Q9NUL3	0
Q71H61	0
Q8NI35	0
Q8TEQ6	0
P80108	0
P01733	1
Q8TDP1	1
P21359	0
Q9UQD0	0
Q15149	0
P78527	0
Q9NRL3	0
Q92889	0
Q5MNZ9	0
Q9Y2P4	1
O75962	0
Q8IU80	1
P20929	0
P09668	1
P43235	1
P07858	1
Q9UBR2	1
P02730	1
O60911	1
Q5NE16	1
O95267	0
Q5XX13	0
Q8IU60	1
Q9UF12	1
Q2KHR3	0
Q8N7Z5	0
Q8IVU1	0
O95714	0
Q8NH70	1
Q8N9F7	1
P24043	0
Q9UP65	0
Q9Y2I7	0
Q8IU89	0
O95760	1
Q9H799	0
Q15485	0
Q9Y2H6	0
Q53EP0	0
P53634	1
Q9UBX1	1
P56202	1
Q6ZWL3	1
Q13867	1
Q9ULL0	0
P25774	1
Q5T4B2	0
Q9NZJ4	0
P12694	1
O96013	0
Q99574	1
E9PJI5	1
P0DM63	1
Q2WGJ9	0
P07711	1
P43234	1
Q8WXI2	0
Q63HN8	0
Q9BRK0	1
Q92765	0
Q8N0S2	0
Q8NB14	0
O95361	0
Q9UJW2	1
P01266	0
Q9Y4E6	0
P48651	0
Q8WW01	1
Q309B1	0
Q30KR1	1
Q9Y5X5	1
Q8N104	1
P0DP73	1
Q9H1M3	1
P0DP74	1
Q6P1S2	1
Q9BXT4	0
P83436	0
P22760	0
O14646	0
Q86XH1	0
Q9NTI2	1
Q9HCJ3	1
Q8NE63	0
Q8NDA2	0
Q2LD37	0
Q14315	0
Q9UJF2	0
P36776	0
Q8N9W4	0
P36915	1
Q9HC97	1
Q8N5X7	1
P16112	0
Q0D2H9	0
O14981	0
O14647	0
Q86UW7	0
Q9UI17	1
Q86UP6	0
Q8IZU8	0
O43186	0
P12830	0
Q9BZF2	0
Q92733	1
P25391	0
P78356	0
Q7KZF4	0
Q09428	0
Q14CN2	0
Q8N412	1
A2RTY3	0
Q9Y2I1	0
P29144	0
Q00722	0
Q96TA2	0
Q9Y4A5	0
Q9Y4I1	0
P60827	0
Q9UMD9	0
P49682	1
Q14031	0
Q14050	0
P55263	1
Q96CG8	0
P02745	0
Q01955	0
P09972	0
Q15848	0
Q07092	0
Q5VWW1	0
Q86Z23	0
O75367	0
O75973	0
Q9BXJ3	0
P53420	0
Q9Y6Z7	0
Q6ZMI3	0
O60423	1
Q9NYQ6	0
P02458	0
P02462	0
Q96IZ0	0
O75147	0
Q9Y215	0
Q6DN03	1
Q6DRA6	1
Q9BXJ5	0
P12107	0
Q86Y22	0
O60506	1
P39060	0
Q9BXS0	0
Q8IZ57	1
P13942	0
Q86SG6	0
Q7L5L3	1
O15297	1
Q8TAC1	1
P21757	0
Q9H158	0
O00602	0
P02747	0
Q9BXJ4	0
P0C862	0
P08123	0
P23435	0
Q9BXJ0	0
Q9BXI9	0
Q9BXJ1	0
Q2UY09	0
Q7Z5L3	0
P12109	0
Q99715	0
Q14993	0
P25067	0
P29400	0
P12111	0
Q14055	0
P12110	0
Q9NTU7	0
Q8IUK8	0
B2RNN3	0
Q96P44	0
P02746	0
P05997	0
P27658	0
P20908	0
Q8IZC6	0
Q9BWP8	0
Q8NFW1	0
Q6IMN6	0
Q9UEW3	0
Q8N2R8	1
Q10586	0
Q6UW01	0
P02461	0
P20849	0
Q02388	0
Q96A84	0
Q9Y6C2	0
Q9BXX0	0
Q8NDH2	0
Q5TAT6	0
P39059	0
Q6AZY7	0
Q6ZMJ2	0
Q9BXJ2	0
P25940	0
A6NMZ7	0
A6NHN0	0
P98161	0
A0A1B0GUY1	0
Q8IWL1	0
Q8IWL2	0
Q03692	0
Q8IV77	0
P02452	0
Q17RW2	0
P35247	0
Q9C0J8	0
A0A1B0GX49	1
Q30KQ7	1
Q76LX8	0
Q8TDM6	0
Q30KQ9	1
A8MXU0	1
P35556	0
O14828	1
Q13569	1
Q7Z4H4	1
Q17RC7	0
Q6ZSZ5	0
Q8TC20	0
P35606	0
Q12774	0
Q14195	0
Q7Z2Y8	0
O00468	0
Q8IY22	0
Q9BR77	0
Q92560	0
Q6H8Q1	0
Q6IQ19	0
O43299	0
P51828	0
Q8IWG1	0
Q14444	0
Q8WUJ3	0
Q99543	1
Q9NP87	0
Q96L93	0
A0AV96	1
A8MUP6	1
Q9UK05	1
Q9UJ83	1
Q9UND3	1
O95453	0
O94822	0
Q9NSK0	0
Q14296	0
Q99102	0
Q5HY92	0
Q9ULH0	0
P43357	0
Q9Y5V3	0
Q9UJ55	0
P19827	0
Q14643	0
Q86W92	0
Q9NQ38	0
Q13201	0
Q9H8L6	0
Q8NI77	0
Q92598	0
Q9BRR8	0
P18564	0
Q765P7	0
O60447	0
Q9BX51	1
Q9ULK4	0
Q9Y4C0	0
Q99550	0
Q5T7B8	0
Q14678	0
Q9P2J3	0
Q8IZD2	0
O94854	0
Q9HBW1	0
Q7L985	0
P32455	0
Q9H0R5	0
Q9UMN6	0
P10275	0
Q9H6L4	0
Q9Y2A7	0
Q9Y2H9	0
Q9UPN3	0
Q9C0D0	0
Q8WY54	1
Q9NQ84	1
Q9BXP8	0
Q8IZJ4	0
Q92900	0
Q8N264	0
O75935	0
Q8NCM8	0
P04114	0
Q14318	0
Q9Y4L1	0
Q4G0P3	0
Q9P2N7	0
Q9H4Z3	0
Q6Y7W6	1
Q14241	0
Q12841	0
Q8NCU4	0
Q6PD62	0
P15538	1
Q96H22	1
Q8N1E2	1
Q16798	0
Q8TEH3	0
P19099	1
P22304	0
Q9NRG7	1
Q6BAA4	0
Q9UBN7	0
Q96G97	0
P46059	1
Q9HBR0	0
Q68D86	0
P54277	0
Q8N137	0
Q6PF18	1
Q6ZRI0	0
Q5HYA8	0
Q96C03	0
Q8NEY1	0
P0C091	0
Q8N1F8	0
P46939	0
Q9Y4L5	0
Q7Z736	0
Q6UX01	0
Q13393	0
Q9H9A7	0
Q13576	0
Q02127	1
Q6IQ23	0
Q6ZNE9	0
P49903	1
A0MZ66	0
Q96FS4	0
P54920	1
O15079	0
Q7Z745	0
Q7L1T6	1
P47972	0
P12755	0
Q9H2D6	0
Q5JTH9	0
Q8TEV9	0
O00463	0
O60284	0
Q8WYL5	0
