Q9BQ66 Q9BT49
Q9Y4Y9 Q16637
P55211 P99999
Q5EG05 P29466
P04637 P55774
P43681 P17787
P25024 P80162
Q86SQ9 P03886
P50453 Q9Y3C7
Q9GZQ4 P48645
P63165 Q99497
Q96HA8 Q9H773
O15235 Q9UKR5
P08574 P99999
P05155 P00734
Q96FJ2 O96015
Q13526 P24864
P04899 Q99750
P19338 P12544
O95639 Q6UN15
Q7L5N1 Q53FE4
O43524 Q96EB6
P25024 P30679
P50749 P01112
P61981 P84103
P08246 P49913
Q15233 Q9P1U0
P20151 P08697
P62308 P62304
P23588 P06730
O43772 Q9H910
P60953 Q9NRR8
P61981 O14618
Q9UHP6 Q13485
Q96A56 P04637
O00253 P32245
P41222 P34995
P21246 Q9UBS4
Q9BQ66 Q9P2Z0
P06126 P61769
O95059 Q9BUL9
P0CG47 P12004
Q96J77 O43399
P13501 Q16570
Q8TAI7 Q13541
P61088 Q15819
Q16548 Q07812
P51116 Q7Z7J5
O43521 P10415
O60383 P62310
Q15797 P08621
O60383 Q9BRR6
Q8WW43 P49810
P07478 P03973
Q15796 Q9UJ70
P05155 P00747
P48307 P00747
P55316 O43524
Q9UI14 Q6ZVK8
P53611 P20339
Q15287 Q13247
P04437 P04234
Q9UL26 Q9UI14
O75569 P04637
P78560 Q9UKR5
P07910 P63279
P52566 P61586
Q9BUL9 P78345
P46527 P61981
O43614 O43612
P38432 P51116
Q9UQN3 Q9Y3E7
Q9NTK5 Q9H1I8
P49918 O96020
Q9H6J7 Q5RL73
P61604 Q9UKR5
P41143 P19086
Q15424 P99999
P12018 P09382
Q9UHP7 Q12918
O14836 O75888
O95084 Q9Y296
P08962 P21926
Q9NQ94 O60506
P57729 Q15796
P25685 Q13217
O00422 P56282
Q16718 Q15038
O75586 Q15797
P84022 Q13573
P32246 P13500
P35869 P20226
Q99819 P61586
Q15020 Q15287
P07910 Q9BXS5
P05198 P47813
P30556 P49407
Q7LBR1 P62491
P07339 O00585
Q8WWB3 Q9C005
P61981 P55081
P55916 P63104
Q15119 Q15118
P63104 O00273
P49888 Q9UKR5
A0JLT2 Q96G25
Q13438 Q9H6Z9
P01270 Q99689
P56537 Q14181
Q14103 P63279
Q9NPD3 Q14103
Q9H2V7 Q07817
Q96QK8 Q9Y4Z0
P13051 P15927
Q9UBP5 P61296
O75593 Q14919
P21246 O14530
P22888 P01229
P62308 Q7L5N1
Q9UHF0 P21452
O76027 Q9NRX3
P34820 P12644
O75618 Q92851
Q9UNS2 Q92905
P63096 P21554
Q9NPB9 P51671
P21246 P21673
Q05519 Q15287
P01344 P00747
O95218 Q01130
O75940 P14678
P41227 Q16665
Q9NPB9 Q99616
P30926 P30532
P55212 P49585
O43502 O75771
P15172 P49427
P25929 P01303
P05386 O95563
O14817 P21926
P61981 P19532
Q9H0Q3 Q9NVX0
P30305 P31947
P30511 P61769
Q13526 P10415
O43927 P46092
P05060 P19388
P12018 Q9UKI3
Q03113 O95977
O15130 P01303
Q5JWF2 P13945
Q99750 Q8IYX3
Q96AX2 P20339
P55774 Q9UKR5
Q9BRT9 Q9Y248
Q15365 Q16851
P21246 Q9Y3C0
Q99259 Q05329
O14893 Q01130
Q9UK45 Q9Y333
P00749 P00747
Q13113 Q7L5N1
P30101 P27797
P62805 P06454
Q96RI0 P00734
Q9Y272 P63096
P25685 P00441
Q12926 Q14576
P31947 P23588
Q9GZU7 P35269
Q96LW7 O95999
Q9Y5Y6 P00749
P60520 Q9Y4P1
O60506 P11940
P00747 P35237
P23409 Q02363
Q16611 P04637
Q03113 P25116
O94907 O15198
P20151 P29622
P46977 Q9NQX7
Q05195 P04198
P47211 P22466
Q9Y5Y6 P14210
P56470 P62070
Q9BZG1 Q15797
P42574 Q14116
O95619 Q12824
Q6KF10 Q99717
Q15121 Q13158
P05452 P14210
P00750 Q99574
Q96FZ7 Q9BRG1
P07315 P43320
Q9UKX7 P62826
P78345 O95707
Q15369 Q15370
Q6QNY1 Q8TDH9
P11230 Q7L5N1
P25025 P19876
O95751 Q7L190
Q96RK1 Q92481
P61981 O14744
Q11203 O15127
P19086 P21918
O14744 P02686
P84022 Q12778
Q8WYA1 Q99814
P20618 Q9Y244
Q8N114 P04637
P49247 Q96HA8
Q6ZVK8 Q9BQD3
Q9BWC9 P26641
P35372 P04899
P24588 P63252
Q15038 Q96GG9
O14931 P20963
Q99750 P15923
Q9BT78 P04637
Q9GZU7 Q99618
P61981 Q00325
P23381 O75956
Q02094 P02730
O95059 Q969H6
P61769 P27797
P55103 P08476
P63165 P48023
P25788 P25787
Q13485 Q12778
P07339 P01034
Q07817 Q96LC9
P61088 P0CG47
O95232 Q07955
Q02078 P50553
O43837 P50213
Q15019 Q15038
P55211 Q9NR28
P0C1Z6 O60936
Q13485 P11233
O43427 Q14512
O43257 P67870
P12272 P49407
P14866 Q15366
Q8TDR4 Q14582
P48307 P03951
Q8TAV4 Q03135
P50616 P29966
P63165 P11166
Q8NG41 P48145
Q6PIZ9 A0A5B6
Q03135 P01112
O15273 O14793
Q9UIV8 P08246
Q15797 P62987
Q13541 P06730
Q9UM13 Q15796
Q6EEV6 Q14103
Q9UHX1 Q96AE4
P15153 Q13485
O95999 P61088
P49755 P84077
Q6EEV6 Q9UBS4
P01042 P00747
Q13242 O60936
Q14019 P09917
Q9H3C7 Q86UU5
Q12947 P20226
P23246 P26599
O60704 P41597
Q7Z698 P61586
P09936 P13473
Q9Y6Q5 Q9BXS5
Q15024 Q06265
P04637 P21673
Q03013 Q9Y3C7
Q9Y337 P01009
P35462 P26641
Q02539 P02741
Q07812 P10415
P07711 P10145
Q9UNK0 Q99747
P26678 O14983
Q99819 P84095
Q96FZ7 Q96H20
Q96E35 Q99705
P49356 P10114
Q15388 P25874
Q9UNS2 P04637
Q6Y7W6 Q9NTZ6
Q76FK4 Q7L523
P63104 O60825
Q7L1S5 P22888
Q96EY1 O15198
P62318 P62308
P21731 P29992
P39748 P12004
Q96PK6 Q15633
Q96FZ7 Q9H1A3
Q96KJ9 P99999
Q9NWA0 Q6P2C8
O60682 P15884
Q9NP79 Q7Z7J5
Q16665 O00327
O60725 P15153
Q9NPG2 P04899
Q07820 P12004
Q7Z7C8 Q15545
O60921 Q8NHY5
Q7LBR1 P53597
P61296 P06748
Q53HL2 O15392
Q9UHR5 Q9UHX1
P51149 P53611
Q6STE5 P24864
P62979 Q15796
Q6H3X3 Q9BZM6
P23528 P60174
P28065 P40306
P49703 Q15797
P23528 P05023
P36542 Q9NRX1
Q9UK45 P25929
Q9UBW8 P04637
P41143 P49407
Q9H237 Q9H1J7
O15315 O43502
P63279 Q13485
P27635 P62380
P56817 P30101
P05386 O95989
O75631 O75841
P05023 P58549
P63279 P14672
Q9H4E5 Q15796
P14672 Q32P28
Q9UH92 P60520
Q12962 P20226
Q92934 P63104
O75618 Q13158
P61981 O75494
Q9UNM6 O00232
P35348 P25100
P62913 Q13867
Q9H211 P20248
O95870 Q15424
P04183 Q9UKR5
P09234 Q01844
O95059 P78345
Q9UKR5 Q9NRX3
P09529 P05111
P38936 P67870
O00231 Q9Y3C7
Q99750 Q8TC90
P62310 P62304
P32246 Q9Y258
P04637 Q15796
P28221 P08908
P09466 P84022
Q9UI14 P61586
P20963 P10747
O15315 P68431
P50995 P31942
Q9Y2U8 O15198
P30518 Q5JWF2
Q9BY77 P49005
Q15761 P01303
P49005 P62312
Q9NYN1 P84022
P62312 Q9Y333
P51959 P00403
Q03405 Q15527
Q7Z6M2 P67809
P09466 P51965
Q96G25 Q6P2C8
Q15544 Q12962
P52272 Q9BQ04
P24530 P05305
Q9UKR5 Q9H1D9
P63165 Q8NCR3
P60201 P27797
P01042 P08246
Q15366 P61978
Q9BZR8 P10415
P00734 Q04756
Q99733 P62805
Q15722 P30679
Q13158 Q92851
O14744 P14678
A0JLT2 Q9NWA0
Q96J77 P55327
Q99638 P10415
Q86WX3 P39019
P23246 Q15233
P31431 P13501
Q13442 P04085
Q8TCJ0 P63208
Q07820 Q13323
Q13432 Q9H0Q3
O43570 Q9H079
Q9UNN5 Q13158
Q92851 P42575
P35372 P09471
P51946 P29084
A6NGB9 Q96N03
P60953 P26641
Q01844 Q8N6Q3
P11166 P27824
Q15637 Q01844
Q9UNL2 P51571
O15533 P10321
Q01085 Q16637
P62310 Q16637
O95777 Q9Y333
P42574 P49810
Q92599 Q99719
P08034 P29033
P25025 P08754
P62312 P62310
P51116 Q93062
Q12988 O60896
P06340 P28067
P07910 Q86SE5
Q13526 Q93062
O60895 P01258
Q6EEV6 P27797
Q9NQT4 Q9UQ80
P43115 P34995
Q7Z4P5 P18075
Q9UK45 P62310
Q14344 P16473
Q6QNY1 Q6QNY0
Q93062 Q9H0I2
P15538 P19099
P62854 Q969E8
P46527 P09936
O60443 P21246
P54920 Q03113
P52434 P62487
O95257 P12004
Q96BY2 Q07817
O95630 Q9Y3E7
O95997 P53801
Q12988 Q5RL73
P20382 P01303
Q9Y285 O43390
Q9Y5X5 P01303
Q9H228 P09471
O15270 O15269
Q15633 O75569
Q9NPG2 P08754
P50213 P51553
P07910 P51116
Q9UK41 P62987
Q96BY2 P10415
O95870 P03897
Q6P2C8 A0JLT2
P20151 P05154
P01903 P28067
Q01844 Q15906
P27348 P84103
P04406 P61019
P27348 P23945
P61981 P52272
P61278 P32745
Q6X4U4 P12643
P16233 P04118
P51808 P06127
P63104 P98177
Q8IU60 Q14181
P49771 P35080
Q9UBL9 P56373
P30086 Q9BTT4
Q9H1J1 Q86V81
Q96CW1 P11279
P80075 P51681
Q15363 P84077
P12004 P27695
P00734 P00749
P61626 P31025
Q02363 Q13432
P14672 P61088
P50453 Q5RL73
P61769 O95084
P06748 P19338
O15371 O75822
Q92905 P55085
P00709 P02489
Q96AE4 P32780
O60828 Q9Y3C7
P38432 P24864
P14672 P61204
P55040 P31946
P02753 P02768
P07478 P01009
Q16637 Q13432
Q00403 P35269
P61019 Q8NEG0
P15173 P15923
P15812 P61769
P49662 Q92851
Q9BT78 Q9UNS2
Q92934 Q16548
P43088 P34995
P48039 P63096
Q03135 P04156
P03952 P01042
Q15287 Q9H307
Q9NPB9 P13501
Q9NPG2 P09471
O60682 P15923
Q02078 P15173
P00734 P35237
P20226 P13984
P21673 Q6PI98
O00585 P32248
Q9H0E2 Q15038
P08754 P21554
P00749 P05120
P21246 Q96EW2
P61278 P30872
Q9Y221 Q76FK4
Q6EEV6 Q15102
Q9Y333 P31689
P04637 P25208
Q13952 P84022
P11831 P15172
O43390 Q16637
P56597 Q96IM9
Q9BQE4 P0DJI8
Q12983 Q08722
P31947 O43916
P41134 P15172
Q99436 Q9Y244
P36575 P23945
P36542 Q14181
Q16890 P31946
P28066 O14818
P05154 P03952
Q99500 P50148
P50616 O43541
Q13428 P12004
P08311 P05546
P15173 Q02363
P20292 P09917
Q15041 P49703
Q15019 Q14141
Q15181 Q13432
P61278 P35346
Q16570 P80075
Q96FJ0 O15105
P35269 Q99689
P00966 Q9H8T0
P43088 Q9H7Z7
Q13485 P0CG47
Q92733 Q01130
P63146 Q13432
O95630 O43541
P67809 P05549
P04637 P30307
P09234 P08621
Q13526 P04637
Q7L5N1 Q99417
Q01844 Q15011
Q9H840 P14678
Q9H3N8 P09471
P06454 Q02539
Q01844 Q9C0D9
P50402 Q7L190
O60869 P20226
P35462 P24534
Q15102 Q9UKR5
Q86SG3 P63167
Q9Y3A3 P15531
Q9BYR7 Q9BQ66
P62263 Q16594
P61006 O60828
P28223 P63096
Q9NPI9 P78508
Q16594 Q15544
Q9UHF0 Q99689
P31947 Q14103
Q6EEV6 Q15427
P62987 Q07666
O15235 Q13432
Q00994 Q9NP79
Q14181 Q8IW50
P25208 P67809
Q14344 P21731
Q9BT76 O75841
P31947 Q96HA8
P61296 O96004
P04437 P20963
Q9UHR5 O75446
P31942 P26641
Q92876 P08697
P30419 P19086
Q96LC9 Q92843
Q9HB96 Q00597
Q15024 Q9NPD3
Q16514 Q92804
Q9HD36 P10415
P63208 Q9UK99
P06870 P01042
P50453 P10144
Q01844 Q8NDC0
Q6EEV6 P82650
P53611 P20340
Q9UBW8 Q9UNS2
P59190 P47224
P12236 P05060
Q01844 Q96MA1
O15444 P46092
P08754 P08908
P30307 P14635
O95257 P38936
Q8N6I1 Q15796
A0A5B6 A0A1B0GX56
O95972 O60383
Q9Y4Z0 P62304
Q15796 Q06413
P04637 Q8NA92
P50120 O95237
Q92804 Q15424
P07858 P00749
P04179 Q9UGY1
P49918 P12004
Q9NQ94 P41238
P11233 P84077
Q6P1K2 Q9H9Q2
P23945 P01225
Q03113 P21731
P63252 P48050
O15198 P08621
P20674 P00395
O60238 P10415
Q9NY12 Q16637
Q9H0R8 P41145
O75525 P0DJD3
Q99750 Q9H0I2
O75293 P14635
Q9HAJ7 Q99689
P05198 Q9NR50
P25024 P19875
P32971 P03950
O43557 Q06643
Q8IU57 O95777
Q9UK45 P62318
P28068 P28067
P50452 P00742
O43914 Q07444
P19086 P30542
P22234 Q6ZVK8
P47224 P61006
P59998 O15511
P04920 P00918
P52434 P19387
Q8N6S5 Q9H0F7
P14635 P30304
P61981 Q01844
P55769 Q14181
P46527 P14635
P25789 P28066
P18507 P21918
P36543 O75348
P98175 Q86V42
O60383 Q96IZ7
O60383 P62308
P04637 Q15102
P21583 P04141
P19388 P13984
Q7Z7C8 P49848
P09211 Q9NRX1
P49366 Q9GZV4
P49366 Q6ZVK8
Q16637 Q01085
P43116 P41222
P61981 Q13595
P07766 O15446
P30281 Q9Y2D1
Q96G25 P24863
Q8WYN0 P60520
P83876 O60828
P78423 P49238
Q92905 Q13485
Q9Y4Z0 Q16637
Q7L5N1 Q96SN7
P21246 Q9UHF0
P23946 P05305
P27701 P28068
Q8IU60 P20618
P56159 Q99748
P21673 Q5RL73
Q12983 P10415
P04406 Q8WY54
O75909 Q9BQ66
O75494 P35637
Q86WC4 P51798
Q9BRA2 P01178
Q9H0E2 Q93062
P08697 P00747
P51153 Q13485
P50616 Q15796
O75629 P20226
Q13542 P06730
P19387 O15514
P50995 Q9H553
Q9UMX1 Q7Z412
P22748 Q9Y6R1
O15245 Q16633
Q92838 Q9HAV5
P0DPB6 O15160
Q13432 Q99547
P0DN86 P01215
P41143 P63096
Q6XD76 Q99081
P01906 P01308
Q96Q80 P08582
P13747 P61769
Q9NPI9 P63252
P13686 P50591
P42574 P26599
Q16514 Q12962
O95166 Q9Y5U8
P49286 P27824
Q13011 Q15102
Q15365 Q8WVV9
O15304 Q07817
P32246 P13501
Q9Y295 P12980
P04628 P56704
P20226 P04637
Q14232 P49770
O43752 O00161
P30304 P62258
Q8N668 Q9UBI1
P42574 P52566
Q07955 P23511
O00161 Q15836
P13236 P10145
Q15118 P27348
P32121 P30556
Q14814 Q06413
P80075 P32246
Q99500 P08908
Q15233 P00918
Q6EEV6 P14866
Q9UKR5 Q9BTE0
P46527 P31946
Q9UMX1 Q9NPA3
P16473 P63096
P62942 P00374
Q02363 P15923
O75817 P04792
Q00403 P13984
Q15843 P49427
Q5JR12 P63165
O96020 P38936
O60383 P51159
P24666 Q9BYC9
P25788 P62306
Q16890 Q8IZ08
P23246 P35637
P61278 P31391
Q9UBP5 O96004
Q9UJM3 P60953
P07098 P04118
P04234 Q96CW1
O15551 O00501
P56159 P39905
Q9HB89 P48645
O43257 P04637
P61278 P30874
P21796 Q07817
P16473 Q9UI14
Q15796 Q9NWK9
P05026 P58549
P23528 Q99417
P50453 Q9UKR5
Q9NPQ8 P04899
P05388 P68402
Q15369 P40337
Q92643 P05187
Q9NQ87 Q13571
P52961 P01127
Q99731 Q9NPB9
P19387 P62487
O60268 O00165
Q92597 Q96KP4
P49810 Q07817
Q9UHA3 O95777
Q16637 P38432
Q8NC51 Q13569
O15263 P51684
O75475 Q07955
Q9Y2Y0 P36405
O60832 O00303
P00797 P20645
Q9NPI9 Q99712
O00590 Q9Y4X3
P61981 O60825
P06732 P12277
P14672 P62987
Q7L5N1 Q9BT78
Q9Y328 Q9NWW0
Q92597 Q96CW1
P30519 Q7L5N1
P05452 P00747
O95136 P50148
P13727 P04141
Q9UHD8 P61026
Q92934 Q92843
O43236 Q16143
O43521 P63167
P51959 Q15257
Q9H3N8 P30679
P69905 P68871
Q86VE0 P07737
P50406 Q5JWF2
P15813 P61769
P30542 P00813
P11166 P27797
Q9BXY8 Q9BQ66
Q8N8G2 Q06413
O00303 Q7L2H7
P22888 P04899
Q9UMX1 O00422
O15105 P15172
Q13951 P05060
Q9Y3C7 Q13310
P01589 P60568
P02792 P02794
Q9UBZ4 P12004
Q6EEV6 P30048
P06748 P24522
Q9NX52 P52799
Q9NX46 Q70Z53
P62995 P0DJD3
