Q7Z444 Q9P2M4
Q8NB46 P51956
Q9N2J8 P07738
Q13342 P04271
Q9Y614 Q96NB3
O00522 Q96LR2
Q8IUZ5 A8MQ14
P56537 Q8WTR8
Q9NRG7 O94768
Q9H3H3 Q8N693
Q92674 Q9NVR2
A6NKC0 Q8WTV1
Q16695 Q9BRP9
Q8IZD4 Q86XP3
E5RIL1 Q14D04
Q9UEG4 Q86V97
O75912 O00167
P19838 Q69YH5
Q86Y25 P0C7V6
Q92574 Q92569
Q8N9U9 P62333
P35908 Q96CN9
Q9BZ19 P35240
Q9UGJ0 Q05925
Q6IQ16 P15976
Q6ZMS7 Q9UKD1
Q9UJL9 Q9H0U9
Q8IVT2 Q13546
O00560 Q8IYF1
Q6P1K8 Q96J86
Q9NUL3 Q86YP4
Q8N9P6 P17174
Q92886 P19526
Q96N96 Q96EK5
O94782 Q96T91
Q6BEB4 Q8NCA5
Q9NPF5 P09429
P17947 P51178
Q0P5N6 Q08ER8
Q7RTV0 Q8N8K9
Q9H521 Q9UBC2
Q8TDN6 P29320
Q8WYN3 Q96G28
Q96I51 Q05209
Q8TBB5 P51522
Q6NT55 Q96ES7
Q5TKA1 Q15554
Q8N0Z8 Q14807
Q96G23 P10301
Q5VYX0 O15460
Q99593 Q9H7R0
Q6ZW31 Q96GY0
Q9NQX0 Q9NR83
Q8TCD1 Q8TF20
Q9UJJ9 Q9HCE7
P58340 Q9Y266
Q8NHS2 Q8IYU8
Q8WUK0 Q16763
Q4AC99 Q9Y5J5
O43763 Q8N9H9
Q7M4L6 Q02779
Q9NZS9 Q9UL40
Q9BQG2 P10809
Q96D21 P59025
Q14135 Q5TAG4
Q6ZQT7 P43307
P62312 P50150
P50222 Q9H9S0
Q49AM1 Q9BRC7
Q15034 Q8N257
Q8WWY6 P0CG20
Q96A46 O14980
Q15562 P0DP91
Q6PEY2 Q9Y266
Q9BXI2 Q9GZM8
P23434 Q9GZN1
Q9P2K3 A8MUZ8
P24855 P04198
Q8TCD1 P09923
Q8NCU7 Q9UHI6
Q9H0I3 Q9NYJ1
Q7Z2E3 Q8IY82
Q06609 Q8TD19
O95263 Q9UK10
O15033 P58304
Q9NZL9 Q99742
Q06265 Q7Z444
Q9Y478 Q9NRD5
P35789 O15265
Q8IYU8 Q96JS3
Q8IYN2 Q8IUI8
Q86V42 Q9BTL3
Q9HAW0 Q9P2W6
Q9H160 Q9NZR4
Q9UHW5 Q6ZUJ4
Q6UXV0 Q9GZT6
P23610 P05129
Q8IWS0 Q8WWU5
Q658T7 Q32M88
Q9BT17 Q7RTU5
Q460N3 P04181
Q9H204 O14733
P49639 Q15742
Q8TF44 Q9NX52
Q92784 P49023
Q9BR61 Q8IWD4
Q9Y2B5 Q8N431
Q9H6R0 Q02575
Q96A37 O95159
Q8IX15 A6NK75
Q969X0 Q6ZSR6
P02654 Q9BSW2
Q9NQ87 O15488
Q9UNI6 Q13489
A8MVU1 Q5TYW1
P04271 Q8NHG7
Q96JB5 Q7L4I2
Q8N8V8 Q9NVF7
Q9P255 P59095
Q5VUJ9 P16383
P30086 P63162
Q53F19 P30291
P48047 Q1ZZU3
Q69YN2 A6NNT2
P14555 Q8NDF8
Q7Z6I5 A6NCW7
O15504 Q8N5M1
O15119 Q6SA08
A8MZ97 Q49AH0
Q96IU2 Q00613
P11474 Q8TF65
O95049 Q5T0N5
Q07021 Q9BQS2
O95229 O94992
Q9NXI6 Q86YB7
P28370 Q9UMR5
Q9BT40 Q9BYG4
O75343 Q1A5X7
Q9NVR2 Q5EBL8
P41279 O00161
Q96F44 Q96KN8
Q9Y577 P22033
Q5QNW6 Q9BRD0
Q9BQS2 Q86TS9
Q9NX58 P43356
O75914 Q9H8H2
Q08043 Q494V2
Q8IXL9 P02792
Q9UH62 Q9UPW6
Q00059 Q5EBL8
Q9NPC8 P68363
Q8N2F6 Q9UPQ4
Q5SQN1 Q9UBC1
P51957 Q9BXU0
P25963 O95396
P20472 O60573
Q92540 Q86VQ0
P11086 Q9BZE4
Q96SE7 Q8N443
O95897 Q9ULX5
Q8NI38 Q9BSG1
Q01538 Q9Y394
P26439 O43865
O15481 A0A1B0GUU1
Q3YEC7 P49760
Q53G59 Q9P1Z2
Q9UNT1 Q9H0Q0
A8MWE9 Q5T5M9
P55008 P49748
P36888 Q86UE8
Q12874 Q6UW02
P52747 P18847
Q9Y448 Q5D0E6
Q8NDH6 A2CJ06
Q14974 A6NE82
Q92858 Q96FC9
Q05215 P49069
Q9Y572 Q96FN4
Q5VZ66 Q4G0G2
P0CW27 Q8TAK6
Q5EBL4 P49748
Q15038 Q9NSP4
P50150 Q99952
Q96L14 P50148
Q13574 Q9NVH6
Q96EK5 Q5T5X7
O43924 O43303
Q96MN9 O14756
P98182 Q8TF45
P78426 Q9BY27
O00635 Q16891
P20340 Q86XE3
O43739 B0FP48
Q13137 Q8IWS0
P0DMV2 Q96N96
Q8N0Y2 Q13515
Q9BW66 Q9HD43
Q9BWV3 P49643
Q8IZL8 Q99828
O14627 Q6ZTB9
P49321 P02654
O14980 Q9P253
P30533 Q6ZWE6
P08729 Q9BU64
Q9H0I3 Q9P275
Q92764 Q96G01
P61916 Q5TYW1
Q5DJT8 Q5T681
Q8N8V2 Q8N5X7
Q9NSK7 Q99941
O95243 Q5T447
A8MTL3 Q5SSQ6
Q8IYU2 Q92851
O14709 Q7RTS7
P61077 Q5I0X4
Q8N1T3 P47895
Q6IC98 Q9UBE0
P57073 Q6S8J7
Q7Z3B4 Q86W56
O95744 Q92750
Q8NCN4 Q49AG3
Q8TF30 Q6UXF1
Q13094 Q08289
O60516 Q6UXV4
Q8N831 P36405
Q13838 Q9UHF5
P10826 Q9NRC8
P36406 Q9H7S9
Q16821 Q9HBF4
Q13237 O60347
Q9NVU0 Q8NA42
Q8N5H3 Q3MIS6
Q6NXP0 P61966
Q8IY18 Q9H9E3
Q5EBN2 O15492
Q5VVX9 Q8NF99
Q5H9B9 Q9BRG2
Q7Z465 Q8N4S0
P51955 Q9P0J0
Q8IYQ7 Q8IXQ6
Q9NVW2 A2RU37
Q14257 Q5D0E6
Q53GQ0 P56693
Q9NPC8 Q92830
Q8IY18 O15173
Q9UJW8 Q9HBT8
P29466 Q9H0R5
P13010 Q01538
Q96EH8 Q9UJV3
Q9HD40 Q8TBZ5
Q9NZC4 Q9NYH9
Q96DR7 Q15018
Q08462 O95863
Q96SQ5 P60507
C9J798 Q9Y458
Q9HBM6 Q5VVJ2
Q8TBP0 Q96HE8
Q9HB71 P61088
Q9H2C1 Q15326
Q9NXR8 P20142
Q9Y5B6 Q8ND71
P52790 A6NLI5
O95744 Q7Z3I7
Q9BUV0 Q8N5U6
P48995 Q9UBD5
Q8TEB7 Q9UPM6
Q9HCG1 O60902
A1L190 O75553
Q9H0F7 Q9Y6Q3
Q9UKW4 Q9NP50
Q9C0D0 Q5VIY5
Q14444 Q9Y576
Q6JQN1 Q9Y6A2
Q9P2F9 Q9UN42
P34949 Q12870
H3BTG2 O43147
Q9ULG3 Q6PID8
Q96P47 Q8WUX9
Q9BUK6 Q14397
Q5QNW6 P41159
Q9NPC7 Q7Z5L9
Q99426 Q9NPG3
P62837 Q9NY61
Q6NUK1 Q9NUP7
Q75LS8 P21281
Q96JN2 Q969W0
P34949 O00255
Q7Z2F6 Q2TAM9
Q5T6J7 O76015
Q9H4Q3 Q9NSI8
Q8NA19 P15313
Q9ULJ1 Q14139
O15496 Q9UBW8
Q9UQF2 Q9H8U3
Q6ZMJ4 Q96FF9
P50995 O75351
O00470 Q8NE31
O95831 Q96NB3
Q9HD26 Q8NFF5
O14990 Q12986
Q53HC5 Q6IAN0
Q96A49 Q8IXI2
Q4G0S7 O14744
Q96LJ7 Q9NYH9
E9PRG8 B5MCN3
Q9NZ08 P68871
A1L4Q6 Q14159
H3BTG2 Q13137
P19525 P28340
Q8IUW3 A6NEM1
Q5SQN1 Q14CN4
Q6ZNC4 Q9NR28
P19419 Q86VP1
O75071 Q9NXR8
O94925 Q86V97
P78329 Q96G74
Q8N165 P02656
P35228 O15105
Q92805 Q92569
Q9UL59 P14678
Q8WWH4 Q7Z6K1
P83436 O95050
P48426 Q3SXZ7
O94941 Q5T035
P58304 Q96HZ4
Q9UKU7 B2RBV5
Q9UBK7 Q9HB19
O43542 A6NKX1
P16118 Q9Y3D8
Q9UL18 Q9Y576
Q9NPC7 Q96P71
Q86TB9 Q5T1A1
Q6ZVT0 P09105
Q02577 P35913
Q9NYY3 Q6UWK7
Q6ZNG0 Q96MU6
Q15561 Q9NX04
O95625 P30039
Q9H6Z9 P98082
Q16143 Q9H6R0
P17275 P30520
Q9H1P6 Q5W5X9
Q16769 P49589
A0A1B0GVS7 Q9NSG2
Q6ZUT6 Q9BXU9
Q16881 Q13825
P22674 Q0D2J5
P33261 Q12851
Q86V40 Q7Z7A4
Q9NYY8 O14662
Q5HYI7 Q5JTZ5
Q08345 Q75T13
P56817 Q8NA54
P28698 Q8WV60
P17480 O75380
A6PVC2 P63279
P46063 Q9C029
Q9C0H5 O94941
Q13342 Q9Y3I0
Q96G97 Q8WXI9
Q9ULP9 Q8WV07
Q9BXS9 Q8N283
Q8WWH5 O43464
Q96TA2 Q9H9P5
Q9Y2L8 Q6PF15
Q9BZG1 L0R8F8
Q14D04 O15130
Q9NRD0 P35080
P48735 Q75MW2
Q49AR2 Q9UF11
Q05195 Q9NP90
Q9H444 O15405
P78385 P11511
Q15699 Q86YV6
Q86XR2 Q8IZC4
P15153 Q9ULJ1
Q96LZ3 Q96PC2
Q9NPI6 Q9UJW7
Q8NA19 O60479
Q8N635 Q86X95
Q86UX7 Q2M2I5
A6NEL2 Q6P3W7
A9YTQ3 Q96HE7
Q6NUN9 Q9NW38
Q9BYV1 Q96A99
Q9NQY0 Q9H3Q3
Q86TE4 Q9NZS9
Q99525 A8MXQ7
P02647 P13647
P35250 P10909
Q9UJ78 P17516
P24557 P17252
P48378 Q9BWM5
Q96A44 Q9Y5W9
O60879 Q5TYW1
Q6ZSJ8 Q9H074
O75791 Q9P2E2
B4DJY2 O43570
Q96AA8 Q6VVX0
Q9BPW4 Q9NX52
Q96Q45 Q6A162
P0CG23 P36896
P35557 Q9BX69
P55157 Q9H0B6
A6NJG2 Q9BYI3
A6NGH7 Q8NEF9
Q8WXK4 A1A5D9
O43683 P15880
P84095 P78337
Q6MZM0 P61803
Q9H1Q7 Q9UJQ4
Q9UPQ7 P30533
P22304 Q49A33
Q14585 Q86W10
Q8WW27 P07320
Q9NR33 P19099
Q86YR7 Q86UB2
Q8N4G2 P20711
Q9C0B7 Q5TD97
P17568 Q8WUF5
P15586 Q9NZV5
Q96H40 B2RU33
Q6ZTW0 Q9H4R4
A8MQ11 O75554
Q9ULV5 P07902
Q8IUZ5 Q7L8W6
P0C866 Q5SWW7
Q9H5L6 Q9Y3D7
Q9Y3P9 Q6P3V2
Q8N5C6 Q9Y2E5
P42771 P35504
Q9Y5S1 Q13144
Q9BZY9 Q9NY74
Q9HA90 P63272
O60662 Q9BXY5
Q9UN81 Q14586
P05093 Q15036
P09525 O94844
P23919 Q8NHS9
Q5TEC3 Q9H1J5
Q9BUL8 Q14525
Q9BV19 Q16186
Q8IYS0 Q86SG5
P36543 O00273
Q8NB59 Q8N1B3
P0CW21 P52292
Q9NP72 Q96JH8
A8MXT2 Q9UEE5
Q02846 Q99571
Q6UW78 O43464
Q96BM9 Q6ULP2
O00213 Q96L92
Q7Z7L9 Q53GT1
O43307 P00918
Q5H913 Q96GI7
Q969M7 Q8N729
Q15653 Q8N9K5
P25705 P08651
Q15173 Q9BZJ4
P32320 Q96J02
Q8IWS0 Q96NR7
Q8IWS0 Q5TYW1
Q8WVM0 Q86V48
O60711 P15621
Q9UNF1 P10606
Q8NHQ9 Q8N6H7
Q3KP66 Q8TEQ0
P49354 P41236
P35789 P14927
Q6ZT89 P55039
P49748 Q9Y2V0
Q03013 P52565
Q9Y448 O95373
C9JR72 Q86V42
Q7Z713 Q6VAB6
Q9NS61 O95199
P05181 P49795
Q6ZNA1 A1L020
Q969P6 Q9BYC5
Q5TC12 Q9Y5X3
Q7L8J4 Q96EK2
Q5T6R2 Q00444
O75794 Q6BEB4
Q8WZ26 Q6ZMZ0
Q9UJW7 Q9Y3E7
Q6S8J3 Q15311
O75444 Q8N9B8
P14061 Q2TBA0
Q9NUL7 D6RBM5
O15397 Q8TC59
O00764 A5PLK6
Q9UFW8 O00110
Q9H0D6 O14757
Q9Y5X1 Q9BRR9
Q96FV2 P11161
Q9BQI7 Q9H6Y5
Q9NZA1 O15198
O95631 Q5JX69
P21579 O43257
Q5T5N4 P10074
Q96L33 Q9Y277
P30281 Q96K12
Q9NVF7 Q9H936
P05109 Q9UH62
P0CW19 Q9P2R7
Q9NWW6 Q96AH0
Q96K75 P11802
Q8N8N0 O60895
Q5T619 Q16623
P48735 Q93052
Q9Y6N1 Q86WN1
Q4G0U5 Q9BRT9
Q86UD0 P31268
Q99828 O75911
Q9NYB9 Q9BQE5
Q504U0 Q7Z6I5
Q8IUI4 Q96PX1
Q9BQG1 Q9P0K7
Q14602 Q9UQ88
Q8IY82 P14635
P09619 Q9H3E2
P78385 Q8IXQ8
Q8IU54 Q12912
P17568 Q96NG5
P98169 Q9H0A9
Q9NQV8 Q8TD30
Q8IVN3 Q96NL0
Q96IQ9 P35225
Q8NHS4 P42336
P43357 O43812
Q3KR16 Q9Y6K1
A8K830 Q16650
Q9Y616 Q92558
Q2TAM9 A6NK59
Q8N431 Q8N1T3
Q13506 Q8N4F7
Q8NFT6 P63146
Q96KK5 Q8IV76
P09017 P11511
Q7L4P6 C9JVI0
Q9UNS2 Q9Y2R2
P15289 P67870
Q96S79 Q9HCM4
P10914 Q7Z6L0
Q8WWF8 O75150
Q9BRB3 O94992
Q86VG3 P43362
P49419 C9J069
Q96EK4 Q96MH7
Q8NBV8 Q9UN79
Q01892 Q9P291
P54578 O60825
Q99877 O60814
Q8N0Y7 Q92917
P49721 Q9HCN4
Q9NXC2 Q05923
Q68D51 Q9BX70
Q9BZW7 Q96N58
Q8NHQ1 P53674
Q6UWY0 Q13733
Q4G148 O43257
Q8N556 A6NNJ1
Q96LY2 Q14209
Q9BYV8 Q6P3S6
Q9H0C2 O00255
Q86VS3 Q13637
Q5FWF6 Q33E94
O15066 Q05BQ5
Q8WVX9 Q06416
Q7L523 Q6UXP9
Q8WW52 P17098
P42574 Q99747
O14544 P36896
Q8NBP7 Q86Y37
O75553 P54252
Q9BW85 Q5JRV8
Q8NB25 Q9P299
O75487 Q9ULH1
Q9P0J0 P84095
Q15392 O95831
Q14653 Q9BUZ4
Q3LHN1 P0CB33
P78352 A0A1B0GVG4
Q15256 Q1A5X6
Q9UK11 Q13285
Q12912 Q8TEA7
Q4VX76 P20042
Q96NJ3 Q13057
Q86TP1 Q8TBY8
Q9C0H5 O95561
Q86Y07 Q9H8N7
Q8N0T1 Q9Y2P0
Q92901 Q9NYY1
Q9NRM7 Q9H9S4
E5RIL1 Q96JD6
Q8IZP6 Q9NUQ9
Q14088 Q13123
O00238 P23025
Q5TA50 Q9UMX5
Q9NQR1 O15164
O60684 Q9HB58
Q14677 Q96AX1
Q6P1Q0 Q9NP72
P35452 Q7Z6J0
Q8TDC0 Q96PY0
Q03111 A6NEL2
P09234 P40429
Q9UBD5 Q5BKU9
Q96MC5 Q9UBL6
Q9BYT3 Q99469
P35240 Q9NRF8
Q9BR26 P20338
Q07960 P17026
Q7Z6J2 D6RGH6
Q02543 Q6NT76
Q9UHQ7 P61224
O14737 Q99502
Q68D10 Q01518
P59051 P53667
Q3KQZ1 Q96DV4
P26447 Q96HB5
Q8NI60 Q9NWT8
Q9H832 P01562
Q7Z3I7 Q01995
Q15111 Q8N584
P17706 Q9GZN8
Q8NHS2 P22059
Q6ZUF6 Q86Y56
O95373 P43359
Q9P2J3 Q17RB8
Q3SXY8 Q6NUM6
Q2TAP0 Q9H939
O43791 P42771
Q9Y6I0 Q96PB7
Q8TCG2 Q9Y2S2
Q07817 Q9NRD5
Q9BXL8 Q5VWI1
Q9BWF2 Q56P03
Q9H6Z9 Q12852
Q9UGI0 Q9HCZ1
Q96QA6 Q9UJQ7
Q6ZTR7 Q96A08
Q04609 Q9ULR0
Q15111 Q96L92
P10415 O94876
Q3ZCU0 O60583
O14770 P61011
P52564 Q8N2K1
O60826 Q6NXP2
Q8TAA5 P50914
Q6ZN28 Q8IXJ6
P17931 O60683
Q9Y5K8 Q9BYI3
Q13185 P50876
P52758 Q13106
P63128 P17025
Q5T0N1 O14544
Q96GD0 O43896
A0PJZ0 P07339
Q96I23 Q99959
Q9UJQ1 Q9BSU3
P42229 Q8N7B9
P20648 Q9BVG8
Q9HCG1 Q71UI9
Q92783 P62684
P20700 P98194
Q9UJY5 Q6B0K9
Q96GA3 Q96DU7
Q7L7L0 Q9H628
Q9Y446 Q8N5Y2
Q96KB5 A8MQ27
Q7RTT3 Q7RTS1
Q9NZB2 Q8IYA7
Q86WR0 Q76M96
P52740 O95415
Q9HCH3 O75934
Q8N8P6 Q12772
P78417 P49711
Q15759 P51153
Q14140 P05177
Q8N7H5 O75521
O43852 Q9UP52
P42025 P17482
Q8NHH9 Q15008
Q2M218 P35052
Q92734 P0DPB6
Q14134 Q6ZUT6
Q6ZVZ8 Q96F44
Q6P3S1 Q9Y2G0
Q9Y575 Q15051
Q9Y2Y9 P62952
Q9NQZ2 Q9H0D6
Q96GQ7 P0C7X4
Q86XE3 Q9HAU0
Q99418 Q9BSW2
Q8N4U5 P46782
Q8N806 D6RF30
Q08828 O60814
Q2VY69 Q9Y5V0
O00408 Q8NC26
Q9NR21 Q7Z449
Q9NP66 Q3B7J2
P13674 Q9NRW3
P51649 Q8N1L1
Q9UHF0 O95399
P15311 P30530
Q9UJX0 O94844
Q9Y4W6 P26367
O96033 Q0D2J5
Q9BUK6 Q6GMV2
P51911 Q96KR4
Q1T7F1 P04424
Q9P2G3 Q12934
O43900 Q8TB24
Q8IUF1 Q92858
Q9P031 Q9UGP4
Q5JT25 Q9HAP2
O76090 Q96GM5
P24468 P28072
P25815 Q9Y5Q3
Q15819 Q9P2W6
Q96AH8 Q6NW34
Q8N8A2 O94876
Q5T5S1 A0A0J9YXQ4
Q92890 Q9H094
Q86TM6 Q9H936
Q6ZMS4 Q9BYT3
Q14123 Q92574
Q6P3R8 P35080
Q6ZSR6 A1L167
P46937 Q8N142
Q9BQI7 Q86UQ0
Q9BXY8 Q05084
P51911 O75554
O95154 P87889
O75461 A6NCM1
Q9NZ43 O95416
Q8WU08 G9CGD6
P83916 O15212
O43623 Q6NTF7
Q96HE9 P63121
Q9NZI2 Q6PF15
Q9BZE4 Q9HA82
Q8IXL7 Q2VPB7
P15622 Q9BZF3
Q9UII4 Q9H9B4
P51570 Q8WW59
Q6ZVZ8 A6NHL2
O00442 P49321
P48668 P48047
Q7LDG7 O43896
Q32MZ4 Q9NSB2
P63215 Q8TAV3
Q8TF20 Q9BZM2
O75964 O95935
A8MW92 Q8IV03
P30520 Q9Y394
Q9NZ53 Q9Y385
Q4VX76 P78426
Q9NPD8 Q9UPU9
O15327 Q9H1K4
Q8IXW0 B4DXR9
Q8N6Y0 A4D1Z8
Q8TC12 Q8ND25
P55160 Q9Y6A5
Q96HS1 Q460N3
O60499 Q96EG1
P15170 Q9P1Q0
Q9Y3Y4 C9J798
Q8IY31 Q9P2J8
P10914 Q9NWT6
Q5VV42 A0FGR8
Q5JSP0 Q9NYY3
Q8TAP6 Q8N335
Q6PJ61 O60784
Q8NCY6 Q14232
O00110 A6NDK9
Q9UQ16 P17024
O95817 Q6DKI7
Q8N7L0 A6NGS2
Q6VVB1 Q8N4T8
Q07837 O60291
Q9NUQ3 Q9UHR6
Q92759 Q01851
Q10589 Q96NB2
Q6IB77 Q9Y5X4
Q9UPE1 Q96EW2
Q2TBA0 A6NGY3
P11473 Q5T6R2
Q05195 P60468
P78413 P37173
Q96T75 Q562R1
Q6ZN08 Q9HB31
O94810 Q14258
Q9UIK4 O76090
Q8IZP0 O43395
Q96IZ7 A6NK06
P29353 O15524
Q9BYZ2 O00429
Q96M96 Q13569
Q96HD9 Q96EY9
Q8N0U2 Q8N6K4
Q9P0M2 Q8WUX9
P16066 P26196
P0DJD7 Q7Z4Y8
Q5W0Q7 P37231
Q15819 P11511
Q9Y3Z3 Q460N3
P49802 A8MVX0
O95470 Q8N9W4
P61587 Q8WUY8
P21796 Q8N859
Q68DY9 Q8WXG1
Q86U38 P31150
Q9C0K0 P25791
Q96JG8 Q9ULG6
Q13422 Q9NR46
Q86T23 O00321
Q96PT3 Q53GL0
Q93098 Q14929
P50876 Q9BQG2
Q08116 A0FGR8
Q9Y468 P12429
O43167 Q68DC2
Q8IWZ8 Q9UDX4
P12814 Q9UBB5
Q96D59 Q5XKP0
P14324 P50548
Q567U6 P41226
Q2TAC6 O14828
P43403 P56704
Q5T2N8 Q9H0E2
Q13237 Q6ZN03
Q8WXK3 Q8N511
Q9UBE8 Q92630
Q9UHP3 Q9Y2G5
Q96M91 Q96JN2
Q9Y5X0 B7ZAQ6
P41220 Q9UBL9
Q70EK8 Q6ZT62
Q9H4A9 Q9NQ03
P16383 P09919
Q9BQ69 Q6UWF9
Q9UEG4 Q9BRV8
E5RIL1 Q7Z4V5
P23526 P40425
Q9BSK4 Q8N554
Q8IXL9 Q96LW7
P57682 Q7Z7L9
Q5HYK9 Q8IXR5
P62683 O14526
P57086 Q8IY95
Q16533 Q5JRV8
Q8N1L1 A8MXZ1
Q6PKH6 Q5TCH4
Q96I15 Q9NQ50
Q9NUS5 Q96RU8
Q9BYR8 Q15583
Q9UHJ3 Q06730
P10398 Q96NG5
P17844 Q9Y6N5
Q0IIM8 Q8NEL9
O00194 P30281
O60347 Q06546
O94972 Q53GG5
P0DJJ0 P51861
P60008 Q96EK6
Q96S96 Q96BJ8
Q9C0F3 Q99571
P53990 O00458
Q7RTT4 Q9BQI6
Q8N196 Q96MF2
Q9NQP4 O43290
Q14142 Q7Z444
Q9H2F3 Q15417
O60759 P63162
Q99578 Q9H8M2
P19525 P35716
Q6XD76 Q9HB20
P50395 O94953
Q96D05 O60934
Q96N77 Q8N8I0
Q9Y2K6 P78424
P06703 Q66K74
O75123 Q15744
Q8WW27 Q14592
Q6QN14 Q9H869
Q9UNF0 P21802
