Q96EB6 P27695
O60826 Q9Y6G5
Q9BUY5 Q53F39
Q96BR9 P55081
Q15427 P42685
Q9BVV2 Q68D86
O75175 P50616
Q13155 Q9NYP9
P54619 Q6P1W5
P04637 P22736
P48551 Q9UMW8
P55957 Q92843
O00154 Q15038
P05113 P32927
Q6A162 Q9BVV2
P63279 P61956
P23193 Q8WVC0
O00560 Q16629
P63261 Q9Y281
Q8NDC0 Q01844
Q9UMX0 Q8ND90
Q12933 P29972
Q6A162 Q8TBE0
Q5TA79 P50222
Q9UI14 Q14088
O95273 Q9ULM2
P63165 P10275
Q13526 P60409
Q96F44 Q96RN5
P17027 O76003
P50222 Q14990
P20273 P43405
Q96LA5 O43639
O95816 Q99615
P50148 P49407
Q2TAC2 Q3SY00
P26368 Q13573
Q96E35 Q8TC92
Q2WGJ6 P60410
Q86Y26 P52292
Q16629 Q9Y383
Q16537 Q9HC29
Q9BYQ2 Q04864
Q9UDX3 Q96LC9
P50402 Q8NHQ1
P45984 Q5HYW2
Q96A26 P45880
P57052 Q06547
P20674 Q96B26
Q9NZD8 Q8WW24
Q00978 P48551
Q96QF0 Q8NFJ9
Q9UJX2 Q9UHA3
P29972 Q99750
Q9H788 Q86Y26
Q96GS4 Q9NQT4
Q9BUF7 P25788
Q13761 P25440
P49639 P60411
Q15645 O95865
Q9H8W4 Q86SE8
O75381 P40855
Q9Y5V3 Q86U06
Q96HA8 Q8IUQ4
P60409 Q8N4F7
Q08117 Q96PN8
Q9Y2H0 P16333
P61968 Q86U70
Q9Y3B7 Q12800
O95352 Q9H0R8
Q6A162 Q9BRU9
O94829 Q15699
P02649 P00738
O75553 Q6P1W5
Q8IV61 Q96FJ2
Q8NDX5 O15294
Q7L9L4 Q13043
P17482 P60411
Q09028 Q9Y5X4
Q13330 Q13547
P63104 P04637
Q9NWV8 Q9NXR7
Q8IW41 P04792
P29350 P20138
Q9Y3C6 P0CG20
Q8WXU2 Q96EA4
P14923 Q96HA8
P62987 Q6ICB0
Q99750 Q99988
Q96BZ8 Q9H257
P32242 Q9UBX5
P38432 Q96HC4
Q8IW45 Q9UMX0
P41240 Q9NWQ8
P29972 Q2TAC2
Q8WYA6 Q9NPJ6
Q99726 Q58DX5
O95273 Q8TBZ8
P53350 Q92844
Q96SQ5 Q7Z3S9
P62875 P38432
Q562R1 Q8IW35
Q5SNT2 P50402
Q8TBB1 Q14011
Q01105 P20226
Q07817 Q9BXH1
Q13077 Q7Z417
Q13277 Q9H115
Q969F0 Q9Y237
P42768 O43639
P08238 Q13618
A8MQ03 O75800
Q9Y3C0 Q8N0S2
Q2TAC2 Q86Y33
Q99933 P11142
Q9UNE7 Q9BVN2
Q9Y6C2 Q5H9J7
P43353 P26371
P60411 Q7Z7H3
Q7Z3C6 Q15323
P05067 Q02410
Q8IUQ4 Q9UBK9
Q92764 Q8N370
Q3LI72 Q13554
Q14498 Q9UH92
O60826 Q7Z4G1
A6NJ78 Q15645
Q9H0D6 Q96HQ2
P60371 P41227
Q99571 P26371
Q15038 P62987
Q96AX1 Q9H269
Q96FJ2 Q6PF18
Q8TAI1 P60410
Q8IZL8 P06748
P03950 P07355
Q5JUK9 Q8IZU0
O15524 Q15369
Q8TAU3 Q9BYR5
O95376 Q16851
Q99750 Q8WWR8
Q9UBB9 Q96GY3
Q9P2B4 Q5VSL9
Q96GN5 Q6PF18
Q5HYW2 P61981
Q13882 P23246
P07766 P16333
Q9NUX5 Q9BY11
P29350 P19235
O14879 P06753
P56524 O76015
Q9Y6K9 Q9HC62
Q9GZV4 O00560
P56545 O75807
O94829 P62826
Q6P1W5 O14787
P15884 P04637
Q07627 P49639
Q15014 Q08117
O60220 P19012
P62263 Q9Y3D8
P38919 Q9Y5S9
Q9BYR9 P49639
P29972 P08151
Q9BWW4 Q86U70
Q9P0J1 O43439
P11473 P04637
Q8WWY3 P19012
Q7Z6G3 Q96HA8
P23396 Q15843
O75586 Q9NX70
Q13547 Q9UER7
O60504 O00401
Q01844 P49910
Q9C0F1 P51116
Q9BRQ3 Q08117
Q969H6 Q6A162
O43502 O43543
Q9BYR7 P18084
Q5TA82 O76081
P35609 Q8WW35
Q9UBX5 P32242
Q92624 P35523
P60409 Q96IX9
Q9BVV2 Q9Y2D8
Q9UQ90 Q93062
O14613 P60953
Q8TCD6 Q8WW01
Q8N6F8 A5D8V6
O43597 Q96MH2
O00560 P00492
Q9NYB9 Q08117
Q96EP0 Q6EMK4
O14862 Q9ULZ3
Q8N684 Q7L775
Q01844 O94855
Q9BYR7 P59991
Q3ZCQ8 P04049
P0C1Z6 P11309
Q06124 P49247
Q9NQT5 Q96B26
Q13107 P29274
Q8N205 Q96E93
Q9BYR5 Q8IWZ5
Q8WWH4 Q5BJF2
Q96DZ9 P25791
Q9BQ89 O75558
Q86TG7 Q13137
Q2WGJ6 P08238
Q96MP8 Q9C040
P60409 P25791
Q9Y3D0 O76071
O00560 Q96CG3
Q6P1W5 P86479
Q13554 O00154
Q9Y3C0 Q9Y448
P29692 O95352
Q9NYB0 Q6ZVK8
Q9UJV3 P29972
Q99750 P28222
P08238 Q16832
Q9NQG6 O00429
P59797 Q92624
P14373 Q969U6
P04637 Q8WUF5
Q9UMX0 Q6GPH6
O00155 Q58DX5
Q969G2 Q5QP82
Q9NSC5 O15371
Q5BKY6 P60410
Q9UBU9 Q9BYV9
P04637 P26447
Q14195 Q96AP0
P60410 Q0D2H9
Q9H8Y8 Q15041
O43318 P07900
Q92688 O15131
P36406 Q64LD2
Q9UNI6 Q9UI14
Q9H190 Q8TBK6
Q8IUI8 Q9BRG1
Q04206 Q9Y2K7
Q9H257 Q96BZ8
Q96HA8 P61457
Q9BSI4 O60907
P43243 Q13077
Q06250 O76011
P54198 Q9NPG3
P60370 Q5BKY6
Q6FI81 P50222
Q08117 O00560
Q6ZNA4 P26371
Q9Y6K9 P07900
Q08117 A1L4K1
Q93062 Q9UQ90
P18848 P19387
Q14D33 Q9BZW7
P16333 P26373
Q12933 P20333
Q9BYR7 Q6PEX3
Q9BRK4 Q9ULW3
P27658 Q96MT4
A5D8V6 Q6P1W5
Q8ND90 Q9BZL3
O75952 P49841
P17735 P15104
Q9UI14 Q9Y5W9
Q9UJV3 Q9H1K1
Q96E35 Q9UJ83
P54253 Q9UBD0
Q9NR77 P40855
Q9GZT3 Q8ND90
Q15323 Q9H6L2
Q13895 Q15323
Q92844 Q96MT8
P55884 P60228
P60409 P35900
P50542 Q68DY9
P55081 Q8NHQ1
Q96G97 P42857
Q9UBB9 Q9UMS0
P25791 Q8IYX7
Q96SQ5 P26371
Q6A162 Q8TC90
Q04864 Q495W5
P00492 O00560
Q9ULT6 O60353
O96015 Q9BYV2
Q9HAT8 Q6ZS10
Q9UJV3 Q96A72
Q15040 P60372
P15884 O15232
Q9BVX2 Q15323
P17041 P60410
Q9GZV9 P11362
Q96PU8 P61978
Q7Z3S9 Q9UQ90
P01138 Q99523
Q6UWE0 P61088
Q15916 P63165
Q16543 P08238
Q99750 Q8WWY3
Q13084 Q9BUZ4
Q9Y4K3 P25942
Q86VX2 O60826
Q9UFN0 Q8NHQ1
P14373 Q9UJX2
P32856 Q9Y6X1
Q9NPI6 Q9NPJ4
P38159 P79522
Q7Z5V6 Q6GQQ9
P12277 Q96DX5
O00560 P26371
Q96T60 Q13426
A1A5B4 Q12959
Q15645 Q6PEX3
Q96D31 P48995
Q00987 P04637
P26641 Q658K8
Q5TZK3 Q8IXK0
O00506 O43815
Q13064 Q9BQ89
Q5TA82 O15162
Q7Z3S9 O00560
Q5SQN1 O75379
P20700 Q9GZQ8
Q9UNY5 Q96CD2
P06734 P17544
Q8WVL7 Q9UIM3
P55060 Q9BTM9
Q15554 P26373
P52737 O95273
Q9P127 A7MD48
P61457 P05067
P08238 Q8TD19
P14373 Q9NUQ8
Q9NPI8 O15287
P0CG48 Q04206
Q9HAF1 P51116
P12931 P35326
Q9BQD3 Q9H8S9
P49639 A8MQ03
P63261 P60981
Q96S53 P08238
Q8IYA8 Q96FJ2
Q8N205 Q9BVK8
Q68G74 Q86U70
Q9UBB9 Q9BSD3
Q8N6Y0 Q8NFR7
P32927 P05113
P29350 Q8N423
Q0VD86 P27658
Q8TBN0 Q7Z3S9
P56524 P61981
Q13547 O95863
P54253 P53990
Q8N684 P49773
Q16665 P49407
Q9UQ90 Q5VWX1
Q9NPI6 Q92636
Q6P1W5 Q8N9N5
Q9UDY8 Q9Y6K9
Q96GY3 Q9UBB9
P54105 P14678
O43521 Q07820
Q99942 P43005
Q13309 P61024
P78380 P17987
Q9NRG4 P04637
Q9BXU9 P21145
P17844 Q01780
Q96B26 Q14331
P09917 Q04864
Q9Y5K6 P06729
Q9ULW3 Q9H2G4
Q9UKN5 Q8WYA6
Q9NZN8 Q9UFF9
P50222 Q8WYA6
Q7L9L4 O95835
Q96A72 Q6A162
P60370 P10074
A7MD48 Q9P127
Q08117 Q13064
Q9H190 Q86SE8
P0C1Z6 Q96CS2
Q96A72 Q9UKT9
P78358 O60732
P43115 O76015
Q9NZC7 Q8IUC1
Q16576 Q9Y5X4
Q9Y297 Q13616
P36873 O95400
Q9BVV2 Q8IZU0
Q9Y2W1 Q13573
Q8TBE0 Q12933
P12643 P36894
Q13625 Q8WWY3
Q8TBB1 O95544
P31947 P56524
Q8IWZ8 P26368
Q8WXE1 Q6P1W5
Q15041 Q05329
P42224 P15260
Q96SB4 Q9Y5S9
P63104 Q8WUI4
Q9UNS2 Q99627
P57075 Q7Z6W1
Q8IZ83 Q9Y315
Q7Z3B1 P61916
Q96I25 O43143
Q6UXT8 P29376
Q9NQL9 O15162
Q8ND90 Q8WWY3
Q96LZ2 P51687
P60411 Q2WGJ6
P51959 Q93062
Q96GX9 Q9Y3Q8
Q9UPU7 Q9BXW4
Q6PF05 Q9Y3M2
Q00987 P19338
Q6P589 P63000
Q9H7E9 Q8ND90
P11940 Q8IYD1
Q9NZD8 P04271
O43741 O43597
Q96E35 Q8WZ19
O00629 Q9Y263
P23763 Q8N6L0
Q9UDY8 Q14790
Q5W5X9 O95273
P43353 P60411
Q9UJX2 P63000
Q9NRR5 P55198
Q8WXA2 P15884
P14373 Q9BSJ6
A0PJX0 Q6EMK4
Q9UPT9 Q14CW9
Q96BA8 Q9H0Q3
Q969F0 Q8TBG9
Q9BS34 O95273
Q93062 P51959
O76015 P56524
Q15323 Q9UBK9
Q86U70 Q9UPM6
O95166 Q9Y4P1
Q13596 Q96HR9
P86479 Q08AM6
Q8N6U2 P60328
O43186 O75603
Q9P2A4 Q9Y285
P43115 O76081
Q15435 Q8N6Y0
Q14088 Q9UI14
P82932 O75360
Q9UKT9 Q9NQT4
O60504 Q3SY00
O95994 Q15323
Q04864 P29972
Q8IXJ6 Q9UM11
Q8NFV4 O95231
Q9Y3D7 Q9Y5T4
Q96HA8 P55212
P05067 Q92870
Q9NTZ6 Q96CV9
P16333 O43390
Q969E8 P62854
Q13148 O43187
P17031 P60409
Q96T91 Q86YW7
Q5W150 Q15654
Q9Y371 Q96DZ9
P18615 P14373
P21673 P22459
Q13077 P56279
P54105 P62310
Q9Y6W3 Q13829
O43889 P37268
P10599 Q92905
Q08050 O00541
P08238 Q06187
Q13555 P08238
Q9ULW3 Q8IZU0
P60409 Q9Y2V2
Q9H5V8 O00560
O75663 P78318
Q9BSI4 P36871
Q08379 Q6UN15
O94829 Q9BYU1
Q96CB9 Q7Z6M4
Q9H5Z6 Q9BYS1
Q8TAC1 P09105
Q7Z3E5 Q96DZ9
Q9BRK4 Q13895
P35372 Q96S59
P12004 O95944
P55884 O15372
P04637 P38646
P32242 P60412
Q13257 O60566
P17931 Q29983
Q86SE5 Q9NVV9
O15146 P08238
Q8N6L0 Q04941
P17844 P04637
Q92997 Q8WWY3
P25963 Q8N668
Q9BRK4 Q96HA8
P27635 P12931
P29728 P49761
Q969G2 Q6P4F2
P17612 P09917
Q9Y266 Q8TC44
Q08379 Q8WWY3
Q8WYA6 Q9NS37
Q92609 Q9H0R8
P78362 Q9NWB6
O75478 P55081
P49901 Q9UGC6
O75385 P60520
P57060 Q6A162
P08047 P04637
P10636 Q9UNE7
P63104 P19338
Q9UKJ5 Q6A162
O94906 Q8WWY3
P29459 P29460
Q8IUQ4 Q9H2K0
P45974 Q8WW34
Q08379 P31146
O14817 P49639
Q8NA82 Q96HA8
Q92934 P45983
O43524 Q92974
Q13291 Q92918
Q96H72 Q04864
P35523 Q92624
Q9UKV8 Q02790
Q00613 P63165
Q5TA78 Q15323
O75530 Q9NY59
P45877 Q8N9N5
P36406 Q99933
O95376 P04637
P36406 Q9H7E9
P23381 P33151
Q9UBI1 O60826
Q8WW32 P60329
Q9Y3M2 A1XBS5
Q9ULS6 Q969F0
O43186 Q96LT7
P19022 P35222
Q96IZ5 Q6A162
P56851 Q9BVX2
P16333 O60721
P07949 Q7Z3S9
P17931 Q9NZ81
P63165 Q00613
Q8N9N8 O43829
P36406 Q9NZD8
Q96FQ7 P36406
O94888 P55072
Q06250 Q6A162
O76003 Q96PB7
P62993 O43516
P26373 Q8NHQ1
P43026 P36894
Q96EL3 Q86VP1
Q9Y2H0 P27986
Q93062 Q9NPC6
Q15121 Q9NYB0
Q8TD19 O95166
Q68D86 Q96A72
Q9H469 Q9HCE7
Q6P1W5 Q9NX04
P25788 Q9NQL9
O95985 Q8WV44
O75177 Q6AI39
O15123 Q02763
Q969F0 O43759
Q9GZV8 Q8TBE0
P48378 Q96NZ1
Q96A05 O75348
Q9Y5U2 Q04864
Q9UJ70 P42773
Q3LXA3 Q9BYX4
P60411 Q9P2Z0
P49447 Q99942
P28288 P40855
Q9H9H4 Q08117
Q9BUZ4 Q9NPH2
P27348 P23945
Q13287 Q8TAB5
P24534 P26641
Q9H257 P55081
P31944 P07602
Q96GV9 Q13077
P31146 P43364
O43639 P42768
P26371 Q8IW45
O43439 Q9P0J1
P60409 Q96E40
O60566 P0CG48
Q8TAE8 P43360
O75716 Q9BQ13
O95817 Q99732
P05388 O95273
Q05D60 P63165
P60410 Q03014
Q7Z3S9 P78385
Q9UJV3 O95985
Q9Y237 Q8ND90
Q8IZP0 P13612
Q9UKG1 Q96A54
Q9Y266 Q8NBT0
P16333 P20963
Q93062 Q86UW9
O75558 Q13895
P11362 P23352
P62805 Q99873
Q6IPU0 Q6P597
Q96CM8 Q6RW13
Q86U42 Q13573
Q8N9E0 Q9NZ81
O15156 Q96G21
Q9Y297 Q99952
Q8TBB1 O95848
Q00587 P60953
Q96LA8 Q14995
Q15645 Q6BCY4
Q6UY14 Q9Y4X0
Q6ZP80 Q8N205
Q09161 P11940
Q96EZ8 O15209
P25788 Q8IUC2
P40855 P56589
P10909 P18509
Q02930 Q7Z3S9
Q9NX40 Q99726
Q9P286 Q9UBK9
Q15323 Q5TA78
P48645 P26371
Q96R05 Q92569
Q9BWG6 P60370
Q5T700 Q96F15
Q12959 Q9Y297
Q9Y2L1 Q9NQT5
Q7Z3S9 Q96PM5
Q9NS73 P25791
P05549 Q9H4Y5
P61956 P10242
Q8ND90 Q16540
Q8WTP8 Q8WV44
O95219 Q15041
O43889 P32246
Q9GZM8 P43034
P62508 Q9UBK2
A0AVK6 Q12800
Q08117 Q9H5Z6
Q86WV5 Q9H668
P35813 Q16539
P38936 P30279
Q9NWS8 Q8IZU0
Q9BXK5 Q8N661
O75525 Q5BKZ1
Q8NF64 P59797
A8MQ03 O60896
Q7Z3S9 Q96HD9
Q13287 Q9Y217
A6NJB7 O76011
Q96NB3 Q15365
O75716 Q08117
Q7Z5A4 Q8NFW5
P15336 Q15532
P49247 Q8TBB1
Q9BYR8 Q9BYQ3
P31321 Q8TBB1
Q6QNY0 Q96EV8
Q9H5Z6 Q8NC69
Q9H4E5 Q00587
Q8N9Q2 Q96MF2
P11142 Q99933
Q9NRW7 Q9H1K0
Q13616 O94888
P26371 Q8TAU3
P07602 P55072
Q96HR9 Q6NT76
Q8WUK0 Q9BYQ4
Q9BQD3 Q96EZ8
P41235 O43688
Q6NT76 Q15906
Q8TAP6 O14530
P50552 Q15418
Q12851 Q9NUX5
P05187 Q07627
Q16656 Q02446
Q96G27 Q9NZC7
Q13432 P36404
Q15323 P14222
A8MQ03 P32242
P04004 Q07021
P15622 Q96A72
Q15758 Q99942
Q15287 P78362
Q8IYA8 Q9UJX2
Q9NS73 Q8IY82
Q9BYR0 P32242
P29083 P32780
P61964 Q7Z3B3
P38159 Q8TBB1
P55081 Q9Y6D9
P36508 P31321
Q9BU76 P54274
Q9UHB4 Q9UHD9
Q8IVD9 P43034
P45984 P32121
P60411 Q96H86
P06400 Q9UQ80
Q08209 O95644
Q99750 O94907
Q96BI1 Q99801
P35520 Q13526
P35609 P47897
P63172 Q99424
P14373 O15371
P25815 Q15109
P54253 P86479
Q8IZU0 Q14CZ0
Q13111 Q9UIS9
P14373 Q06250
Q08117 Q96A09
Q9GZQ4 P15884
Q14344 P32302
Q5TA78 Q9UGC6
Q13523 Q9H1D9
O14948 Q9H1M4
P17858 P60409
Q8TC57 Q15645
Q9GZT8 P51116
Q9H446 P55039
P25791 Q86U70
P50402 Q5JST6
Q16670 P60411
Q9H3D4 Q13526
Q9UJX0 Q08117
Q9BW04 Q86YM7
O00429 Q96C03
Q9BSJ6 Q8NHQ1
Q08117 Q9UJX0
Q7Z3S9 Q9H5Z6
Q15323 Q5TZK3
Q8WXA2 Q0VD86
Q15645 P47897
P45973 P28838
Q13188 O95166
Q9BSI4 P23588
Q8N9N5 P45877
Q02790 Q16543
Q7Z434 Q9Y6K5
O60936 Q9BSI4
P14550 Q9NYB0
Q92843 O43521
Q86VP1 Q9Y6C2
P29972 P36406
P01583 P50222
O75478 Q5W150
Q9NQ48 Q96HA8
P46087 Q8NHQ1
Q9BYQ4 O43741
Q02930 Q701N4
P21964 Q6A162
Q5TZK3 Q15323
O60341 Q96JB6
Q9BYQ4 Q8WUK0
Q9NWB7 Q6QNY1
Q5TA79 P32242
Q9Y5X4 Q12788
O75379 O43752
Q9UJX2 P14373
Q9UHV9 Q9H6T3
P60520 Q15025
P51116 Q13557
Q8N7K0 P60370
P08238 P41279
Q8TBB1 P62937
P49961 Q96S59
Q13895 Q8ND90
Q9NVL1 Q13077
Q99750 Q5TAQ9
Q71DI3 Q13111
P60484 Q06830
Q14151 P03372
P08579 Q6NT76
P31994 P16333
Q9Y4P1 Q9BXW4
P60409 Q96C00
Q9NZD8 Q6PF05
Q8IX15 Q08117
Q99873 Q8IZU1
O43143 O15226
Q99836 Q99418
Q9BRK4 Q96T37
Q93062 Q6PKX4
Q9BYR0 P49639
P0CL80 Q96IK5
Q9UNE7 P11142
P54253 O75909
P20138 P29350
Q13188 Q9H8S9
Q92845 Q9Y496
Q9BS40 Q9HCM9
Q9NWQ4 Q9NVV9
Q9C0F1 Q5TZK3
P26038 P16070
O14979 Q15637
Q96SB4 Q07955
P05412 Q99966
P14373 Q7Z3S9
P29972 Q9C0F1
O43765 P02786
Q08379 Q9Y247
Q9UJX2 Q8IYA8
P26447 P04637
Q9NTN9 Q15645
Q9NX95 P54253
Q6A162 O75427
P50222 P59990
Q9BYQ4 Q8IWP9
Q9NQT5 Q9Y2L1
P34741 O14936
P28562 Q13309
Q8TCT9 Q8WU17
P27695 Q96EB6
O43257 P60409
P60409 Q96NT3
O43597 O60573
Q16644 P04792
P07947 P51116
Q12983 Q969F0
Q6P1K1 P50222
O60907 Q13227
Q96PV4 Q96HA8
Q93062 Q9UBP5
Q6ICB0 P0CG48
Q99259 Q96DZ9
Q8IUQ4 Q8IZA0
P30101 Q96HE7
Q9UBK9 Q6A162
P43364 Q9Y6M9
O95363 Q13064
Q9BYQ3 Q8N6U2
P0CG48 P25963
P15498 Q07666
Q9Y3C0 Q96CV9
Q13643 Q9BQ89
Q53ET0 Q15233
Q9UI95 Q96JM3
Q16630 O15162
P57060 Q92997
Q9BZL3 Q96F15
Q96HH6 Q96G97
O75716 P49247
Q99750 O43597
Q6NUQ1 Q96IZ5
Q6P1W5 Q15038
Q86U06 Q9Y5V3
P08238 Q7L3B6
P40855 O96011
P48552 O15379
P60981 P63261
Q4VCS5 Q13432
P63279 Q12800
O75379 Q12846
Q15323 Q9ULK2
Q13619 Q15291
Q15653 Q9UKB1
Q9NRZ5 Q04864
Q9BQY4 Q08AM6
Q13895 Q8IXK0
Q04864 P48065
P49639 P60410
P62877 P59991
P50281 P53667
Q3SYF9 Q16633
Q05D32 Q8N165
Q01959 Q99578
O75896 Q93062
Q9NUL5 Q9BYR5
Q6P1J9 Q12800
P53673 Q6P1W5
Q9UMX0 P48723
O14757 P08238
P07510 Q99750
Q96BA8 Q969S0
P60410 Q06418
Q7Z3S9 Q8IV04
Q96MX3 Q8IX06
P60520 Q9Y4P1
Q9H8M7 P54725
Q92993 O95257
Q99757 Q15654
Q9H7D7 O15169
P55036 Q9UHD9
P13861 Q92667
Q8TBB1 Q9H7P6
P14373 P00973
P62942 Q9NZD4
P54253 Q14012
Q01130 Q86X95
P31749 Q12778
Q7Z3S9 Q15973
P05412 P56279
Q6UY14 P25791
Q9H7X3 P59991
O15169 P04637
P86479 Q9BZS1
P43364 Q86Y33
Q9UL33 Q9H2G9
O00526 Q8N6L0
O43255 P35372
P05107 P00519
Q96L14 Q9UFG5
Q9Y2V2 Q7Z3S9
Q5TA78 Q6ZNA4
O43684 O60566
Q15208 P32121
Q9Y2R0 P00395
P10912 Q16829
Q13547 Q9UJW3
Q99873 P62805
Q9UK33 O75525
P60370 O43741
Q6P2C8 O75586
P46379 Q9BV68
Q03135 O95810
P31146 P40763
O75716 Q8IYX7
Q8WV44 Q8WTP8
Q8N0U6 Q9BUZ4
Q8WWY3 Q9P286
Q08379 Q8NA57
P03897 P05067
O43765 Q6GPH6
Q15427 Q9UQB8
P55036 P0CG48
Q96CS2 O95751
O00629 P07910
Q99853 Q6A162
P38936 Q96FS4
P04637 Q15759
P26927 Q15831
O95218 Q02040
P01106 O15379
Q00987 P49407
Q66PJ3 Q05519
O95273 Q7Z5H3
Q92934 P63104
Q9BW11 Q7Z3S9
P60409 Q9NRQ5
Q08722 Q8N205
Q16626 P63010
Q8WV24 O15371
P56282 Q9NPD3
Q9BYR5 Q9NUL5
Q5W0Q7 P63165
P08238 P06241
Q13043 Q7L9L4
Q9H875 Q12933
Q13895 Q9NTW7
Q9NZ32 Q9UJ70
O76081 Q5TA78
Q86Y26 Q8TAP4
Q8WYL5 P23528
P36406 Q86UY5
Q7L622 P62841
Q9UBK9 Q15323
Q00613 Q5VY09
Q01105 Q12778
P39905 Q6RW13
Q8IX15 Q9BUE0
Q13526 Q93062
P04424 Q96HA8
Q96DH6 P50222
Q7Z4I7 P60370
O95183 O14662
O00463 Q92956
P32242 P26371
P60409 P78368
P15884 Q969U7
Q13064 Q96IZ5
O15160 Q8IYA8
Q16613 O14503
Q7L273 Q9NRD5
Q9BQ89 Q8N1B4
Q8N668 Q96BW1
P32242 Q5TA45
Q3LI70 Q96A09
P54760 P52799
Q7Z3S9 Q15040
Q9UQB8 Q15427
Q8N0S2 Q9Y5B8
Q9C0C4 Q8ND90
P02489 Q9H8Y8
Q13287 O14964
Q9NQ87 Q93062
Q9H3D4 Q13625
P49760 P08621
P09104 Q9BSI4
Q86SE9 Q96LA8
Q9UNE7 Q96PB7
P01009 P43307
Q8ND90 Q96GY3
Q14435 Q92624
O75530 Q9Y6K1
P01100 P05067
Q0VDD7 P60411
P46736 Q6UWZ7
Q9P291 P38432
Q9UJX0 Q8IYX7
P60412 P32242
Q8IWE2 Q8WUD1
Q7Z3S9 Q9BQ24
Q9P2Z0 P60410
Q13573 Q06330
O43679 P61968
P84022 Q8N684
Q8NHQ1 Q9ULW3
Q9Y6C2 Q00994
O00429 Q9NQG6
Q6NUJ2 Q6A162
Q6P1W5 Q8NI38
P0CG48 P35226
O75360 Q8N6F8
Q15831 P26927
Q8N6L0 Q8TAF8
Q0VD86 Q5HYW2
Q7Z3B3 P61964
O94855 Q15437
P59990 O94900
Q8N6L0 Q9Y287
P60411 Q9H2F3
P17480 Q13950
P32302 P04899
Q8N895 Q13363
Q92624 Q15544
Q02930 P60412
Q8NEA9 Q9UEU5
P43403 P07766
P84022 O43524
Q14781 Q15415
Q04864 O95834
Q9Y265 Q15906
Q7Z3S9 Q9BT49
P63208 P35222
Q13554 P60412
Q14498 Q96SB4
O95166 Q14596
Q16186 P54727
P60370 Q8NE01
P08631 P42768
P60409 Q96MU6
P32969 Q96CG3
Q9BRK4 O15371
Q99962 P50402
Q9UJX2 O95073
O60896 Q7Z3S9
Q8N205 Q8N6G5
Q93062 Q9H5Z6
