O95476 Q8N9A8
P0DJD3 Q14011
Q15366 Q15365
A8MQ03 Q3LI66
Q13451 P08238
P49902 Q9Y5B8
Q9BT43 Q12800
Q9UHD9 P04066
P43115 Q7Z3S9
Q9UNE7 Q99933
Q9NZ81 P60409
Q5JTC6 Q9UKB1
Q9Y3E5 Q08117
P60410 Q9UKJ5
P30203 Q13740
Q7Z3S9 Q9ULS6
O14595 Q99618
Q7Z6L1 Q9NT62
Q9UJX2 Q93062
Q7L5D6 O43681
Q9NP91 P60409
Q8WWY3 Q7Z3S9
P82980 O95273
Q8WTP8 P60410
P27824 P41143
Q01081 Q8N5F7
Q9UQ80 P19338
P60410 A8MQ03
Q7Z417 Q6L8G9
Q9UMX0 Q9H0L4
P52797 Q7Z3S9
P11441 Q96GN5
P28799 Q7Z417
Q96EZ8 P51116
Q9Y297 Q5D1E8
Q13287 O75971
P24394 P05112
O43765 Q12805
P26371 O43597
Q13547 Q9Y4K0
O43390 Q99873
Q9BYS1 Q9NQL9
Q5VWX1 Q8WWY3
O60844 O43765
Q14195 Q14194
P32302 P16520
Q9NUX5 Q9BV29
Q9P0U3 P61956
Q86YT5 Q9BYQ4
P32302 P61073
P26599 P09012
P04637 O60936
Q05519 A7MD48
Q6PEX3 P28799
O75899 Q9UBS5
Q9UHD1 P08238
Q16602 P06881
Q3LI72 Q3LI76
P60410 P16930
Q01453 Q9BZL3
P04637 P19338
Q9BYQ4 Q9BYE3
Q96EQ0 P11441
P26371 Q5TA77
Q96DZ9 Q9UKF7
Q9NVP2 Q13112
Q9GZM5 Q7Z3S9
Q86WP2 Q9BVV2
O95751 P51116
Q92692 P60370
P60411 O95407
Q9NVV2 Q12800
Q96HA8 Q96CD2
Q07627 P28799
Q7Z3S9 O76003
P09651 Q9UHD9
Q5TZK3 Q92979
P78543 Q9UFF9
P54198 Q9NVP2
Q96A72 Q9Y5S9
O43704 Q9NUX5
P60370 Q96HA8
P17813 P08648
Q9UMX0 P30040
Q9BYR5 Q7Z417
P08238 Q9UKC9
Q15465 Q96QV1
Q9BYQ3 Q6EMK4
P56279 Q96HA8
O00244 Q9NWS6
Q9BRI3 P13236
Q9NUX5 Q96A73
Q01638 O95760
Q9NYA1 P07858
P28799 Q07627
Q5T700 Q13571
P46779 O95273
Q6L8G4 Q9BYQ0
P04637 P04731
Q8NEV9 Q14213
P09038 P26022
Q9BYQ4 P29972
Q9Y2W1 Q9UBU9
O95379 Q8NBZ0
Q9UJY1 P02511
O43765 Q9GZX9
P49902 Q7L9L4
Q9UMS4 O60508
O43516 O00401
P43220 P60411
O75688 P49407
Q9NZ81 P50542
P05413 P05556
Q9UJX2 P38432
Q96QV1 Q15465
P51681 P13236
Q7Z3S9 Q96FQ7
Q93062 Q8IUC2
Q8WWY3 O95751
Q7Z3S9 Q5TZK3
Q7Z6R9 P60410
Q9H6U6 Q9BSU1
Q7L273 Q9UI95
Q08117 P60410
P49407 P19338
O14633 Q5T7P2
P15151 Q07627
P60409 Q96EY4
P26371 Q5TA76
P35625 P50052
P32239 Q9P121
P55735 Q96EE3
P54849 Q9BZL3
Q12983 O60238
Q15843 O94888
P46926 Q9NRG1
Q9BYQ2 Q9GZM5
Q9NU39 Q6ZRY4
P26022 O00602
P06748 Q92769
P04156 P05067
Q9Y6X1 Q9BSE2
Q15437 Q96M27
Q08170 P62995
Q9H1Y0 Q676U5
Q96FQ7 Q7Z3S9
O76003 Q9BYR0
Q8WWY3 O95273
Q9H0R8 O75323
Q14978 P32121
Q14943 P30511
O95393 P02730
Q9UMX0 Q03692
B2RUY7 Q9UGL9
P19338 P49407
P50402 Q9ULW3
P60410 O15232
Q86Y26 P09917
Q96DZ9 Q8IWE2
A8MQ03 Q5TA81
Q9UKT8 P08238
Q08117 Q9NQL9
O14817 Q5TA76
Q15054 P49005
P08118 O43765
Q9BYQ2 P60370
O95749 O00244
O15389 Q08AM6
P25101 P49407
Q969U6 Q16531
Q5TA78 Q9BYR5
Q15485 P26022
Q9BYQ4 P60411
Q96LA8 Q8NEC7
P54727 Q9UHX1
Q9Y6M5 Q9BRI3
Q86TG7 O95751
O43765 P08118
O14788 O00300
Q86SE5 P07910
Q9NZ42 P49755
Q15424 Q14151
Q5TA78 O14633
P30874 P32745
P59991 Q5TA78
Q9ULZ3 Q56P42
Q86Z14 Q9NSA1
Q9BRP8 Q9NUX5
Q5T7P2 Q9BQ66
Q9Y2X0 O75448
P61073 Q16643
Q9BYR0 O76003
Q96GX9 P12268
P49146 P10082
Q9UGL9 P60409
Q9BYQ0 Q7Z417
Q9UMX0 P61165
Q8TDQ7 Q9Y303
P60410 Q9BYQ4
P49407 P35813
P60370 Q9BQ66
Q96DN0 O43765
Q9BYQ4 Q96HA8
Q969P0 P60410
Q5TA81 Q6L8G4
Q8TE02 P54253
O43660 P52272
O43765 P11441
P26371 O14633
P51116 Q9BU76
P59991 Q9GZM7
P18084 P60410
Q96EQ0 O75830
P49901 Q9BYR0
P26371 Q9P121
Q96IW7 P21757
Q15363 P49755
P27658 A8MQ03
P60411 P60409
A8MQ03 Q9HCB6
Q15041 P34897
P01350 P02787
O14633 Q701N4
Q96GN5 P60409
P58753 Q99836
Q8NEC5 Q6L8G9
Q9Y5B8 Q9P209
Q93062 Q08117
Q6QNY1 P78537
Q9Y6I9 Q9BSE2
Q9Y5N6 P17096
P15151 P60410
Q93062 Q9BXC9
P48546 P09681
Q7Z4G1 Q8N668
Q08334 Q9GZX6
P50402 Q9NYF8
Q9BYQ0 Q9BYR5
Q5TCM9 Q7Z3S9
O43609 Q9BYR5
P60370 Q9NP91
P49901 Q5TA81
P26371 Q8WTV0
Q9BXW4 O75143
Q12800 Q96JC9
O75143 Q9GZQ8
Q9BYE3 Q9BQ66
Q9H0A8 Q9NX08
Q9Y421 Q9HCG8
Q6EMK4 Q2TAL6
P01160 Q9UMX0
P55085 Q15363
P60328 Q5TA78
Q9BYQ0 O14633
Q13867 Q96HA8
Q9BXW4 Q9BSB4
Q8TCY5 Q96G30
Q5HYW2 P54253
Q9NS75 Q9Y271
P98179 Q5VWX1
Q8TAE8 P24522
P60409 Q9NSA3
P60409 Q5T7P2
Q5TA81 Q5TCM9
Q96EH5 O95273
Q9NZD8 P10599
Q6NUJ2 P60411
P06748 Q86SE8
Q9NYB0 P06454
P17813 P01137
Q96BZ8 Q9HAT0
Q92838 P27449
Q9NQ79 P29972
Q9GZU7 P02686
Q15415 Q8WWY3
Q9NU39 Q3LI66
Q02078 P63165
Q96HA8 O60547
P53611 Q7Z5A9
Q3LI76 Q3LI72
O95711 Q99467
Q08AM6 P27658
O95400 P83876
Q99836 P10599
Q6L8G4 Q9BYQ4
P60409 P26371
Q8IWF2 Q8IXB1
P61769 Q30201
O14788 Q9Y6Q6
P06454 O60356
Q9BQ66 P60410
Q9Y5W5 P60410
Q9NYB0 Q96E09
P18887 Q8IW19
Q14011 P38159
Q9UBU9 Q86V81
Q7Z417 Q9BYQ2
Q7Z3S9 Q9BYR5
Q8N112 Q8N8F7
Q9Y223 Q9BQ66
Q6UY14 P14210
Q9BYR5 Q9UGL9
Q13547 Q6PH81
Q9Y4P8 Q15041
Q6UY14 P26371
Q14558 Q96A72
Q9UFF9 P78543
Q93062 O14531
Q9Y2Q3 O95273
Q96IJ6 P02741
Q01959 O15354
P17096 Q9Y5N6
O43251 Q9NWB1
P60370 P42892
P26371 P60410
P56279 Q9NRG1
O95259 Q96HA8
P63208 Q96EF6
O43815 Q9Y3A3
O95166 Q9H1Y0
Q12983 Q5T700
P98179 Q15365
Q7Z3S9 A5D8T8
P30101 P05067
Q13761 Q04724
O14633 A8MQ03
P50052 P01019
P08473 P04792
Q96A72 Q9NYB0
Q9BPX5 P59998
P38936 P63208
Q9BYR5 Q5TA81
Q9NP91 Q7Z3S9
O43617 O75865
P60411 A1L3X4
P26371 P60411
Q9UJ14 O00155
P60410 Q9H2X0
P32927 Q01344
O95967 Q5TA81
P60891 Q9NZD8
P60370 Q5XG85
O14604 Q9NYB0
P02766 P25713
P26371 Q9BYQ4
Q6Y1H2 Q9NZ01
A5D8T8 Q7Z3S9
P02489 Q96HA8
Q96CM8 Q15041
O95214 Q96E93
O76003 Q9NWS6
Q13868 Q99547
P60410 O43597
O43765 Q8TD06
P60370 O75386
P61769 P29016
P01011 Q96KC8
Q9BSE2 Q9NS64
Q03393 P38432
P60410 Q86YT5
Q9NZ81 Q01844
Q9UPQ8 Q92838
Q9BQ66 Q7Z417
P60409 P62857
Q7Z3S9 P52797
O95210 O95166
Q7L9L4 Q9Y3C0
A8MQ03 Q9BYQ3
Q96SL4 O43765
Q7Z3S9 Q8WWX9
P62072 Q9Y5J7
Q92692 P60409
Q9UBF9 Q9Y5B8
P05067 P46089
Q9NRM1 Q8IXL6
P60411 Q9UBD3
P03886 P43490
P0DI81 Q719H9
P50616 Q8NE35
Q5TA78 Q5TA81
Q8TBK6 Q14498
Q96HA8 P49247
Q00604 Q9ULV1
P60409 P41222
P49281 P00403
Q13162 P21731
Q9BQ66 Q6L8G9
P60370 P59991
Q8N684 P26368
P09012 P26599
O60256 Q14558
Q13326 O75190
P26371 Q9BYQ0
Q8IW19 Q13426
O60238 Q92934
P04792 Q02790
O15554 Q9NRX4
O60883 P42785
Q15848 O43765
Q9NS69 Q9P0U1
Q9H3D4 Q9UFN0
Q6L8G9 A8MQ03
Q86TG1 P60410
P60410 Q86UN2
Q9BPZ3 P11940
P32119 P10599
P98179 P61978
P0DJD3 P98179
Q9Y5R8 O43617
O75525 Q8TBE0
Q9BZI7 Q9H1J1
Q701N4 Q9BYQ4
P01375 P20333
Q9NT62 P60520
Q56P42 Q9ULZ3
P78358 Q9Y4H4
O95273 P02689
P59991 P60370
Q6PL45 Q07108
O00519 Q7Z3S9
Q8NE62 Q7Z3S9
O76003 Q9BYR5
P01042 P46663
O75530 P63244
P11908 Q7Z3S9
Q8WX92 O43583
Q5T5A8 P60370
Q9H0R8 O95210
Q5XG85 P60370
Q96EZ8 Q8NBZ0
O75427 Q7Z3S9
P13640 P58062
Q92838 P49447
P10451 Q96EQ0
Q9HAT0 Q96HA8
Q9NQX5 P60411
Q719H9 Q96SI1
P60410 Q5TA76
P57775 P63208
Q8WZ19 O15160
Q02790 P08238
Q6UY14 Q9BQ66
P0DJD3 P61978
P01137 P05067
P60370 A1L3X4
Q9BYR5 Q5TA78
Q9Y624 O43765
Q9H2X0 Q7Z3S9
P30990 P30989
Q9NQL9 Q7Z3S9
Q8N9Q2 Q14498
O75177 Q15427
Q9BYQ4 O43597
P04637 P63165
P60410 Q13563
P51671 P27487
Q9UBS5 O75899
Q9UI14 Q96HA8
Q9NZQ7 Q15116
P02778 P27487
Q99933 Q9UNE7
Q13257 P78536
Q12983 P17152
Q8WYA6 Q96GN5
Q9BYQ4 Q5TA77
Q7Z3S9 Q9UGL9
O43765 P01282
Q7Z7F0 Q14498
Q9UKB1 Q5JTC6
Q8N6P7 Q9GZX6
P53611 Q86YD3
P61758 Q96S82
Q9BYQ2 Q5T5A8
O95400 P06729
P78358 Q3SY00
Q5TA78 Q9BYQ6
Q9NX08 Q9H0A8
Q8IWT6 Q6NSJ5
Q16630 Q9Y3C6
Q16585 P47884
P12694 P21953
Q8NFJ9 Q96RK4
Q53HV7 Q08AM6
O00204 P14621
O95363 Q12800
Q5T700 P21145
Q8NEC5 Q9BYQ2
Q9H7E9 Q8NC69
O43760 Q6AZY7
Q5T700 O60238
Q96NZ9 Q9UMX0
O43184 Q6L8G9
Q2TAL6 Q5TA81
Q10471 Q9HC29
Q9ULW3 Q96GN5
P08865 Q15046
O43597 Q5TA82
Q9H221 Q9H222
P60409 P60411
Q9UHX1 Q05519
P27918 Q3LI66
Q9UBR2 P26371
Q9P121 P26371
Q92769 P06748
Q9BYR9 Q7Z417
P63208 Q8N3Y1
Q7Z3C6 Q3LI66
Q7Z6L1 Q9H1Y0
Q5TCM9 Q9BQ66
Q9UPY5 P16070
Q9UDY8 P0CG48
Q9UGL9 P26371
O60936 P04637
Q9UJX2 Q13895
P26368 Q96I25
P34741 O75056
Q6FI81 O76003
Q16656 Q03692
Q3LI66 P60328
Q15365 P26599
Q9NPJ3 Q969H8
Q8WWY3 O95967
P63165 P07910
Q96IW7 Q9BSE2
Q96HA8 Q9HAT0
P60370 Q5TA82
P49407 P20963
Q9HC23 Q969X1
Q56P42 Q9NX02
P27449 Q6ZS10
Q92692 Q15762
P60411 P26371
P26715 Q01453
Q01726 Q8TCY5
Q96CM8 Q96DZ9
P61978 P04637
Q92844 P63165
P60409 Q96HA8
P49768 P50502
Q9GZM7 Q9BYR5
O43765 Q96DN0
A8MQ03 O00180
P06396 P32121
P60409 P60520
Q13112 Q9NVP2
Q9BYR5 Q9BYQ3
A8MV65 Q9BYQ0
Q8NFJ9 Q3SYG4
Q01638 Q9BXN2
Q9UIV1 P62324
O75525 Q96MU7
O95967 Q7Z417
Q5TA82 Q9BQ66
P26718 Q29983
Q96GN5 Q13895
P49755 Q15363
Q96EF6 P63208
P26371 O94772
Q93062 O75603
P20226 Q15572
P06748 P04637
P38936 O75419
P05067 O43736
P25025 P10145
P13693 P29692
P08294 O43765
P60328 Q3LI66
Q92692 Q7Z3S9
P60409 Q92692
O43557 P36941
Q5TA77 A8MQ03
Q5TA81 A8MQ03
P55081 O95751
P60410 Q8WWY3
Q9NRD1 P63208
P10644 Q9H0R8
Q6P1W5 Q08117
Q96DZ9 Q8TB40
P60411 Q6PEX3
P60328 Q6EMK4
Q96IW7 Q8N326
Q8NHP7 O95834
P78537 Q6QNY1
Q9NQL9 O95273
A8MQ03 Q9NQL9
Q06330 P04637
Q7Z3S9 P09228
P21964 P26371
P60411 Q9UKJ5
Q9H2X0 P26371
P27797 P04792
P23284 Q9UMX0
P26022 Q15485
O95707 Q9BUL9
Q9BQ66 Q9UGL9
Q5TA78 Q9BYQ3
Q96LA8 Q96EY1
Q86UN2 P60410
P02810 Q8TAX7
Q12884 P01282
P60411 Q9NQS3
Q86V21 Q96DZ9
Q9H269 Q8WUH2
P10451 P16070
P62857 P60409
Q9Y4R8 Q9UK97
O15042 P98175
O15294 O95644
P49901 P60370
P60409 Q9HCN3
Q53HV7 Q93062
Q5T700 Q12983
P30260 Q9UJX5
P0DMM9 Q5VWX1
Q9NP55 Q9NXW9
Q9NZ81 Q8TBK6
Q8NEC7 Q96LA8
Q9NX02 Q56P42
O95197 O14735
O43184 O95633
Q9UIV1 Q14106
O15533 Q03518
P21917 P08588
Q99932 P0CG21
Q96JB2 Q9NZD8
O00479 Q9NYB0
Q9NSA1 Q86Z14
P01033 P08962
O43609 Q7Z6R9
P54253 Q93062
Q96SL4 Q9UHD9
P0DMM9 P34896
Q6L8G9 Q5TA81
A8MQ03 Q6L8G9
Q7Z417 Q9BYR5
P60411 Q969P0
P26371 Q9UBR2
O43765 O43561
P01137 Q03167
P59990 P60411
O95257 Q9BPX5
P60370 P26371
Q9BSE2 Q04941
Q3LI76 Q3LI66
P48023 Q7Z3S9
O76003 Q6L8G9
Q13895 P51116
Q9Y2W1 P23246
Q14554 P60409
P60411 Q9BSD3
P07306 Q8IX19
Q9UMX0 Q96C03
Q9H0R8 P10644
Q70IA8 P49902
P02776 P02749
Q9GZM5 P26371
Q5T700 P43005
Q6L8G9 O76003
Q9BZL3 P54849
Q7Z3S9 O60259
P48147 P04406
Q93062 Q0D2K3
Q9H1J1 Q9Y5S9
O95834 Q8NHP7
Q9BYS1 Q7Z417
P43220 P60410
Q9Y5P6 Q96IJ6
Q9P209 Q9Y5B8
O95407 P60411
Q9NQS3 Q9BYR5
P21145 Q9BZL3
P63244 P22303
P60411 Q9BQ66
O00241 Q93062
Q13232 O43765
O43583 Q8WX92
P60409 Q9NZ81
P27701 Q8TAA9
P32121 P25101
O75525 Q5VWX1
Q7Z417 P60409
P50281 P51884
O43347 P55795
Q01081 P26368
Q08117 Q9H0L4
Q92692 P26371
Q9GZQ8 Q8IVP5
Q8TBK6 Q8NC69
Q9NZ63 Q9NYB0
Q99853 Q7Z3S9
P36578 P60866
O95476 Q9UHD9
P60410 Q9GZP9
Q9Y4K0 Q13547
Q9HD64 Q8IY57
P22626 P14866
O43251 Q08AM6
P63165 Q9Y3V2
P60411 Q8NEC5
Q8TCT8 O43765
P35813 P32121
P22303 P63244
Q96G30 Q8TCY5
P42830 P28799
P60411 P43220
O60259 Q7Z3S9
Q96LI5 P50616
Q9NXB0 Q6UX40
Q9UF47 Q12800
Q9NUX5 Q03426
O75427 P60409
P60409 A8MQ03
P63208 Q96CD0
Q13950 O15297
P36941 O43557
Q9BYQ2 Q8NEC5
Q8WTV0 P26371
Q7Z3S9 Q8NE62
P49901 Q6L8G9
P01857 P31994
Q9NWS6 Q70IA8
Q96EQ0 O60844
Q9H492 Q86VR2
Q16576 Q12788
P01282 Q12884
Q7Z3S9 P08311
Q9BSB4 O75143
P61326 Q9BZI7
Q15843 Q9Y297
Q14558 P60891
Q03135 P25445
Q6UXB4 Q13347
Q7Z3S9 Q9H4F8
Q7Z3S9 Q9UBK9
Q92466 Q16531
P26368 P98175
P60410 Q14657
Q7Z3S9 P31785
P26639 A2RTX5
Q9BQ66 Q5TA78
Q9UGL9 P60411
Q5TA78 P60370
Q5XG85 P60409
Q9NYB0 Q96GT9
Q701N4 O14633
Q7Z3S9 Q9UBR2
Q5VWX1 O43390
P27487 P51671
Q5T7P2 Q7Z3S9
Q07627 Q8N370
Q9NWS6 Q96BJ3
Q96EQ0 P40259
Q9Y247 O95751
P60410 Q8WTP8
P84103 Q9UBU9
Q92692 Q9NQS3
Q5JTV8 Q9NYB0
Q6UXZ3 P04155
Q9H2H9 P11912
P17096 Q96LA8
Q9NPQ8 Q9UMX0
P56524 O95751
O95166 O75143
P19438 P28799
Q8IXB1 Q8IWF2
Q9UHD9 O95881
P17813 P02750
Q70IA8 Q96MX0
P02766 Q15109
Q9UM11 Q9UI95
P26371 Q5T5B0
Q8WWY7 Q9UHD9
O43765 P45877
Q9UM11 Q13309
O60762 P48775
Q12800 Q9NVV2
Q9NX94 O43765
O43597 P29972
Q14934 P0CG48
Q5T7P2 Q92504
P60520 O75323
O95433 P08238
O96015 Q7Z3S9
P98175 O15042
P08887 P05231
Q9H840 Q8WXD5
Q07627 Q6L8G9
P29372 P04156
Q9BYR3 Q5T7P2
P60409 Q9H2X0
O95150 O95407
Q7Z3S9 P49901
Q9BYQ3 Q5T5A8
Q9P209 Q9Y237
Q9Y5P3 Q9NRR5
P63244 P48551
Q8IX06 Q9UBU9
Q7Z3S9 Q9BYQ2
P51671 P51677
P78358 Q9UHD9
Q96EQ0 P10451
Q70IA8 Q12800
P11464 O15294
P38159 P62995
P60372 Q6UXX9
P60411 P60520
Q5TA77 Q5TA81
O94817 Q9NT62
Q9NPH2 Q9NUX5
Q96LA8 Q8TE85
P53801 Q5T700
P50542 Q6IMN6
P58753 O00206
Q9NQL9 Q93062
Q9BVV2 Q86WP2
Q9BXN2 Q12983
Q15369 Q15370
O75342 Q9BYJ1
O75525 P98179
P60370 Q92692
