Q14511 P12830
Q9P2W3 O14775
P17612 Q92777
Q13332 Q9BVJ6
P62879 O60262
Q9NYU1 O60613
Q96A00 P48730
P12956 P55769
Q13571 Q8IYW5
Q07817 P02489
Q13573 Q06330
O43679 P61968
P42768 P09769
Q93062 Q9BTL3
Q8TAM2 Q15154
O75791 O43561
Q6IA69 Q92900
Q9NPD3 P14550
Q8N4E4 P31946
P42127 P32245
Q9ULX6 P50402
P43034 P11137
P59998 Q86XS8
Q15904 P69905
Q13485 P46779
Q9HD26 P13569
O94855 Q15437
Q9H427 P62258
Q96S59 P20701
Q9BVW5 Q9UNS1
Q15080 P31146
P09466 Q7L5N1
P54259 P04406
P21860 P01133
P84022 O43524
Q04724 Q9NTW7
Q12967 P32121
P52803 P29323
Q9NPD3 Q9NXE4
Q92934 Q16548
A5YM72 Q14669
P29350 Q8N109
P01266 P11021
P08631 P42768
Q9UI14 Q8N612
P08758 Q03692
O75593 P52952
P14314 Q7L5D6
P04626 Q9H299
P49286 P63096
P24928 Q9Y5B0
O95704 P05067
Q9Y5B8 Q9BT92
Q05516 Q9NPJ4
Q13009 P98172
Q07157 Q9Y6H8
Q9Y5S9 Q9BZG8
O75312 P00533
Q96KG7 A0MZ66
Q99062 P62993
Q8N8S7 P07737
Q13753 Q02388
P11047 Q9Y3C0
P35626 P51681
Q9UPT5 Q8WWV3
Q9UBS4 Q8IWV7
P17252 P43005
P19388 P53803
Q14498 Q14686
Q8N612 Q96HR9
P14672 P52789
Q08752 P12235
P21333 P39086
Q9Y4K3 O15455
P10155 P19474
Q9UKJ5 Q9H8W4
P0CG47 P57075
Q8TAT6 Q92890
Q92696 P62820
P51692 P20963
Q12789 P55769
P42680 P16471
Q99972 P06733
Q16849 P62937
Q00535 P17600
P38432 Q8N2W9
O60500 P46940
P42768 Q12959
Q99972 P42892
P48039 P62834
Q9UQN3 Q96EH3
P07384 P05106
P30626 Q13698
P51948 P29084
P26447 P48745
O43184 P35609
P36575 O14641
O14908 P08588
P16144 P31946
P12757 P08572
Q13190 P54920
P63165 O95551
Q9UK53 P04637
O60763 O15498
Q99942 P13569
P62879 P36897
Q15843 Q13616
Q00610 P49407
Q16280 O14745
Q92624 Q8N140
Q96SB4 P26368
P07315 P02511
O75534 P11940
Q00587 O15162
Q9Y5B9 P29084
Q8WXG6 O14763
O14908 P11166
Q9NPJ4 P03372
Q13045 O96019
P21246 Q9BX70
P53803 P38398
Q9NS82 P08195
P24522 Q13561
Q9H5V8 Q05655
Q13509 O95166
O95837 P32246
Q96HF1 Q02962
P55769 Q14181
Q96HA8 Q9UL45
Q9Y2U8 Q15797
O00308 P37088
Q16594 Q13469
P80108 P05187
Q9Y2L1 Q9NPD3
P52434 P24928
Q8N2W9 Q13547
Q8IYB4 P04049
P31947 O60269
Q96ST2 P23193
O14796 Q9HBG7
P09529 Q04771
Q9UHV9 P61758
O15259 Q9NRR5
Q9H4G0 P14416
Q9UJA2 P33993
P27361 P17302
P48039 O95292
Q5T3J3 Q16891
Q09472 O60356
P56945 Q6UVK1
P07947 P46527
Q13283 P41240
P32881 P48551
Q969S8 Q9Y618
P06493 P17096
P12931 P13945
O75419 Q9UBD5
Q9HB75 Q13158
O43561 P43405
Q9NSC2 Q13547
P33151 P08670
Q8WVY7 Q9Y3Q8
Q9UNE7 P55036
P60896 P51587
Q9HCU9 P25685
Q9BQT9 Q99767
Q13469 P63098
O94762 O95985
Q9NWQ8 O14745
P04271 P36871
O15514 P19388
Q96ST3 Q13547
P40926 P07954
Q9Y3P8 P06241
O00198 Q07021
P0DP25 P43220
P04637 P42858
Q9Y2J2 Q9UHC6
P32004 Q96S59
Q92997 P35813
Q9UI32 Q9NWQ8
Q15560 Q96B36
P19438 P43405
Q09472 P06454
P05120 P20618
P00734 O43488
Q9NQC3 Q07817
P24278 P38432
P08588 Q9HD26
Q96CW1 P20273
Q9NZR1 P09493
P78508 Q12959
P05198 P19525
Q9BQ66 Q9BT49
Q9Y286 Q9BUZ4
Q9BYF1 Q9UBU3
Q9NX47 Q9Y3D6
P05230 P15880
Q9UJY4 Q92673
P17252 P08100
Q9UJ83 Q96E35
Q96GG9 Q13571
O43491 P35462
O60725 P61586
P04183 P38936
Q14498 Q92731
Q92804 Q15545
P02686 Q16539
P14672 P61088
P42768 P12931
O75791 P10747
Q92956 O00463
P43364 Q8NDB6
P38159 Q9BTL3
Q13751 P13497
Q15582 P02452
Q13444 O60504
O00267 Q66LE6
P46527 P27348
P63167 P68032
O76061 Q8TER5
Q13322 P10912
P00750 P05787
P35813 Q05655
P41220 P63167
P68871 P62341
P49918 P15172
Q16760 O00165
O75449 Q9BVA0
P06239 P48023
Q09028 P08047
Q9Y2L1 Q9NQT4
P51608 P51531
Q16555 Q13885
Q9HAU4 Q8IV31
P26232 Q9NSA3
Q00526 P38936
P80108 P06727
P31749 Q96B36
O75899 P18848
P23458 Q99062
P31689 Q8IXH7
P83916 P26358
Q99612 O15379
P42768 Q14155
P30260 Q9UM13
Q9UGJ1 Q96GA7
Q14344 P21918
Q06830 Q14653
O43184 P62993
Q9UIV1 Q00534
Q9C000 P42575
Q9BXP8 Q13485
Q12913 P46087
Q9Y266 P43034
P46527 Q92905
P01579 P38484
Q9Y584 O75340
P11940 P49023
P05107 Q9Y490
P28360 Q04724
Q15637 Q01844
P54253 Q7Z570
P06729 P06239
O60765 P63167
Q08380 P09382
Q13332 P00533
O96020 P38936
P51681 P25098
Q9Y2H0 Q12959
Q15599 Q16635
Q99750 Q8WXS3
Q14512 P05230
Q96FJ2 Q9NSC5
Q6ZVK8 Q9NTM9
P08887 P40763
Q14974 P21246
Q9HD26 Q13467
Q8NHY2 P04637
Q99767 P05067
P51681 P42681
Q5JY77 P25025
P21673 Q96I25
P01730 P09382
O43186 O94829
Q9NZW5 Q9NP97
Q13162 Q9UNY4
Q9UMX0 P42566
P24522 P02792
Q9H1J1 Q96Q15
P07384 P41222
Q8NF91 P50402
P37198 Q9GZY0
Q9UHC6 O14936
O95163 Q9UFN0
P51809 Q12846
Q15388 P10415
Q9BUF7 Q8NI35
Q96RJ3 Q13114
P26641 O43261
O14641 P35813
P59768 P62873
Q13573 Q86U42
Q9Y5N6 Q14566
O95983 Q13547
Q9H8V3 O00254
Q86SQ9 P03886
P14672 P07339
Q9UNN5 Q8TAD8
O00161 P63027
P00533 P04406
Q9Y6B2 P06400
P20827 P54762
P07949 P24588
Q8IWK6 Q12959
Q02539 P02741
P48357 Q06124
P32418 P27348
Q9HCS7 Q13216
Q7L0J3 O15230
P01130 P02649
Q9NY26 Q13303
Q9Y3P8 Q06124
O95477 Q13009
Q12988 Q9NRN5
P54646 O00418
O00311 Q9Y5N6
Q9NZI2 Q9NSA2
P63167 Q16288
Q9BUJ2 Q9H4D5
O95751 Q9H9D4
Q96T60 Q9BQ66
P46109 P19235
O14908 Q9NPR2
Q99653 Q9UBY0
P16109 Q9BXS5
P37108 P49458
Q09472 P05114
P46108 P54253
O00222 O75925
O43707 Q9UMD9
Q9UMD9 Q15149
Q05586 P35579
P55854 P35712
P62993 Q12796
Q08170 O14893
Q9BQ66 Q8NFT6
Q6PKG0 P61981
Q02410 Q00975
P46527 P33993
Q9Y3E7 Q9Y5L0
Q96QZ7 P05549
O43402 Q15006
O75618 P42574
Q16695 P55317
Q16891 Q9UFN0
Q9UMQ3 P11831
Q14814 Q09472
P12259 P00734
Q96PU4 Q8WW12
Q9Y6H3 P12956
Q96KG7 Q14999
P35125 Q14CW9
Q9UBP9 Q07954
Q6PIZ9 P20963
P52294 P09132
O15245 Q16633
P17612 P17181
P07948 P16871
Q06124 O95297
P21333 P04278
P68104 P50453
P56539 P00533
P62979 P36897
O75884 P28749
P05023 P35611
Q8WV24 Q9BQ66
Q13444 P07947
O75446 Q16778
Q9Y6X6 Q9ULB1
P40225 P40238
Q9NRD5 Q9P2M1
P25024 P04899
Q13426 P78527
P49802 P98161
P10144 O00273
Q92859 O95631
P28072 P22087
P81172 Q9NP59
P26641 P20827
P46109 P28906
P49736 Q9Y3A3
P04626 P01011
O43525 P0DP25
Q9GZS1 Q9H9Y6
Q13621 Q9UEW8
P22087 Q16637
Q9H9D4 Q13111
P55055 O43524
Q12778 Q96EB6
P11487 P21802
Q13224 P29323
Q5JY77 P08912
P48039 P08754
P17252 Q9UEY8
Q9NNW5 Q7L622
P00918 P19634
Q9Y5X4 Q09028
P21980 P09211
P19438 Q06124
Q92844 Q12933
Q8NEY8 O60437
Q7L8C5 Q9ULB1
P41180 P21333
P06400 P26358
P21728 P00813
P55036 P0CG47
Q13444 Q14155
Q9HCE7 P0CG47
Q00169 P19174
Q16539 Q02078
P00742 P12259
P14867 Q08209
Q5JY77 Q9H7E9
P21980 P42858
Q13523 Q9H307
Q00839 O15399
O14593 P33076
Q07889 Q9GZY6
P04637 Q14186
P40337 O14709
P78347 P11831
Q92932 Q9NRR5
P29350 Q12918
P98161 P18206
P68366 O60260
P83916 Q13111
P62937 P05109
P46934 P37088
P36896 P09529
O43924 Q8IW50
Q86TC9 P20929
P29992 P30411
O95967 Q9H5Z6
Q00535 Q9UD71
Q9H4G0 P35462
Q13261 P40933
P40189 P13725
Q14696 O75197
Q9Y6N8 Q7L5N1
P48736 P06396
Q6RW13 P30556
P14091 P01308
P50453 Q9GZT6
P13861 Q92558
P16220 Q9UKR5
Q13555 P42261
Q9UJM3 P60953
Q9Y3C7 Q96G25
Q9Y5X4 O15379
Q01892 P20226
Q07666 Q08881
A3KMH1 Q96KG7
P59665 P02746
Q15035 Q00403
O14936 O75056
O75369 P49810
P21246 O00303
Q14500 Q13884
Q96PM5 P04637
