P60228 Q59EK9
P84090 Q96ID5
O14777 Q9Y6D9
O60343 Q9ULJ6
O95219 O00499
P68400 Q16666
Q9BYH8 P19838
Q92994 P06400
Q49AN0 O15534
O43592 Q00341
P68400 Q6VY07
Q9UBU7 Q13416
Q9Y5A7 Q9NZN9
Q09472 P20823
Q9Y6B7 Q9UPM8
Q9NQB0 P35222
P06733 Q9UPW5
O60763 P61764
O60763 Q13190
P55060 P35268
P12956 Q00610
Q9P2M1 P98164
Q9Y624 O75970
Q6IA17 P14778
O60566 Q9Y6R4
Q13888 P19447
Q96T76 P03372
Q12923 Q9HB21
P04278 Q5D1E8
Q8NHQ8 Q96NE9
O43913 Q9UBD5
Q86YV9 Q9UPZ3
Q08211 O95793
P17342 P01160
Q92542 P05067
P52657 P29083
Q01780 Q08945
P20742 Q96IY4
Q92828 O60907
Q96M91 Q15834
P78527 P09874
Q53TS8 Q15834
O14980 P49792
Q09472 Q12772
O95251 P49736
Q13285 P35222
Q15642 Q68EM7
Q8N3L3 Q12846
P98164 P04114
P40238 Q9Y4H2
O43261 Q9P2H0
Q13393 P61764
O75146 Q00610
O43261 Q9GZT6
P09884 P06400
O95251 Q8NHQ1
Q9NQS3 Q8TEW0
Q9Y5K6 Q13563
Q96RU2 Q12888
Q9BZZ2 P15941
P30154 P10809
P51843 P61201
Q86UR5 Q8IUD2
Q7L590 O43929
Q7L5A3 Q15834
Q09472 Q15596
Q13017 P05556
P29122 P20930
Q13561 Q8NBJ4
P37198 Q14974
P28715 P18074
Q9NRX2 Q99698
P54253 Q14157
Q9Y6D9 Q9Y2J4
Q15596 P35222
Q9NQS3 P15151
Q8N2H9 Q99558
Q96T58 Q06330
O75052 P29475
O95425 O43294
P54253 Q9UMN6
P54253 Q5JSZ5
O60925 Q16891
O43683 P25054
Q12834 Q13042
Q15648 P03372
O15379 P48552
Q96T58 Q03181
P78527 P12956
Q04637 Q09161
Q9BPX3 Q03933
Q9BS86 Q05996
Q8NHU6 O75410
P63272 P13010
P06731 Q9P2K9
Q9Y2T3 Q12959
Q9H0E3 Q4LE39
O00716 P06400
P60228 Q9GZR7
Q6VY07 Q9NZ52
Q03468 Q13216
O15379 Q8NB12
Q86VP1 P21580
Q7L590 Q15834
O95373 Q14974
Q13200 P19438
P54253 Q96EP0
P68400 P04004
P20807 O75923
Q10570 P49736
O60343 Q96L91
Q12929 Q9UKN7
Q86YC2 P51587
Q15762 P15151
P09327 Q8IYF3
P62888 Q99558
Q96NW7 Q9UQB3
Q9BTW9 O95424
Q8NB12 Q13765
P08571 O15455
Q9H981 Q13873
Q9Y6R4 O15169
Q05586 Q13224
Q9UKT4 Q12834
Q9Y2H0 Q05586
Q8IYF3 Q9UNH6
P68400 O15379
Q8IYF3 Q7Z6G3
Q92908 Q15648
Q9NVC6 Q15528
Q99741 Q06190
P13612 P02751
Q9UJX3 O60566
P29083 P19447
O43913 P49736
Q12791 P78559
Q14676 Q12888
Q15042 Q9H2M9
Q8WU20 Q07889
O75716 P19419
O75182 Q9Y6D9
P35222 Q96QZ7
Q5VWN6 Q15834
Q09472 P05114
Q8TEW0 Q8IVF5
Q9UHD2 Q9H6S1
P80108 P06727
Q9UJX6 Q12834
Q9UJX3 P30260
Q9UL40 Q12906
P49815 P19021
Q9NP84 Q13077
Q12929 Q15834
P13798 Q9GZZ9
Q05586 Q00610
Q13765 Q96ID5
P48552 Q8NHQ1
Q02817 Q9Y4G2
P20916 P02751
Q96G75 P04278
Q9BYG5 Q8N3R9
Q9NYG5 Q9UJX6
P13010 O14746
P13010 P12956
Q14191 P12956
Q96QK1 Q13596
Q2M1K9 P09874
P40189 P08887
Q8IYF3 Q53TS8
Q13685 Q8IXH7
P07814 P54136
Q7L590 Q9UBD5
O75330 P16070
Q9Y5K6 O60500
Q13094 Q8WV28
Q8WV28 Q13191
P03372 O14686
P78406 P52948
P33402 Q12959
O75553 P98164
P55157 P04114
Q7Z3B3 Q8NHQ1
P12956 P06401
Q9UBZ9 O60673
Q92574 P49815
Q8TAP6 Q96EK5
Q96RU2 Q9HAW4
P12270 Q16666
Q15650 P03372
Q9UJX6 P30260
Q8NF91 Q9NRI5
P17480 P06400
P06400 P30260
Q9UNS1 O15534
Q86US8 O14746
Q13416 P49736
P41252 P07814
O15360 O14920
O14579 P53618
O43426 O00499
P20823 P35222
P43351 P18074
O14980 P35658
Q9Y262 P60228
Q92667 P31323
Q9BRK4 Q15834
Q5FBB7 P30154
Q92759 P29083
Q9P2M1 O60241
O00203 O43683
Q8WZ42 Q14596
O14544 Q9Y4H2
Q9NSC5 Q14643
Q05707 P16070
O00257 P06400
P05556 P02751
Q969H0 A6NE52
P10827 Q15648
Q13042 O60566
P54198 P23759
Q96D46 O14980
Q16531 Q8TEB1
P02649 P05067
P49754 O14617
Q9UGJ1 Q15834
Q9H422 O43294
Q13889 P19447
P98161 Q13563
P06213 Q13480
Q15596 Q969G3
P14222 Q9GZR7
Q3L8U1 P03372
P42701 P29460
Q92989 Q9UKF6
O15379 Q92828
Q12906 Q08211
P03372 P49815
P43034 P68400
O75448 P03372
P54253 Q6V0I7
Q09472 P03372
Q12874 Q15834
Q9NNW5 Q7L622
Q96RL1 Q15406
P78527 P49917
Q99700 Q13772
Q8IWK6 Q12959
O60925 Q5T3J3
Q15834 Q8NHQ1
Q9Y2D8 Q16385
Q9Y223 Q5UIP0
Q99828 O14746
Q5T3J3 Q9H4M7
Q9HCY8 Q96FQ6
Q96A65 Q13224
Q15293 P54253
O43592 P49792
O96006 O15287
P11137 P02649
Q9UBS8 Q13772
P06400 P02545
O75665 Q9P2H0
P54253 O15014
Q8NHV4 Q09472
P43034 P11137
O00628 P50542
P06401 P03372
Q9NRA8 P60228
Q9UGJ1 P23258
P07814 Q8IXH7
Q8WV28 P21854
Q16531 Q92466
Q92973 P49792
Q13042 P30260
P42345 Q6R327
Q99665 P42701
P49641 O95163
O15379 O60907
Q9Y678 P48444
Q15542 Q6P1X5
O00311 O43913
O60763 O15498
Q9NRF2 P06213
O00623 P50542
P49959 Q09472
P68400 O14529
O75925 Q13285
Q8NDB2 Q14643
Q13228 Q15645
Q15648 O60244
Q9GZY0 P78559
O94906 P03372
Q969H0 Q149N8
Q12923 P25054
Q9Y6K8 Q96N11
O60664 P11717
P68400 Q92598
P28715 Q92759
Q9UNE0 Q13077
Q8N3C0 Q15650
Q9UQ84 P54278
O43683 Q12834
Q13765 Q9GZT6
P04004 P01189
O15294 P68400
O00267 Q66LE6
Q8WXE9 Q9UBC2
O15379 P78347
P16581 P16070
Q08211 Q08945
Q93052 Q149N8
Q8NFH4 Q8NFH3
Q15583 Q5T3J3
Q14974 P52948
Q9HCS7 Q13216
P43489 Q13077
O43294 Q09472
Q9HB21 O75970
P35221 Q12959
O75970 Q6UVK1
O60343 Q9HCM1
Q09472 Q12888
P68400 Q13144
P49454 Q02224
O60566 P51587
O60293 Q15834
Q86UW6 Q09472
P57678 Q9UHI6
Q9GZY0 P35658
Q9UBN7 Q09472
O94910 P08922
O95208 Q00610
Q5T3J3 Q9Y2X7
P54253 Q9NRA8
Q96KP1 O60645
P02647 P04114
P43351 P19447
Q92729 P35222
Q96JE9 Q13077
Q7Z628 Q96QZ7
Q99700 O00499
Q9Y6D9 Q14134
P48736 P40189
P54253 Q6ZMT1
Q5VWK5 P42701
Q9UI46 P43034
P46100 Q9P2H0
Q92598 P22314
Q9Y6B7 O60566
Q99700 Q8NHU6
Q9H0E9 P30291
P52630 P42226
Q6ULP2 O43747
O14713 P05556
Q8WUA4 P06400
Q99700 P46379
P05556 P15529
P10827 Q15493
P19447 P18074
Q15464 Q12929
Q09472 P52948
O75083 Q15477
P13612 P13611
P46379 Q09472
Q9NYG5 Q13042
Q13347 P03372
Q15596 P03372
P23378 Q9BXR5
Q8TDC3 P30291
P54253 Q9UKJ3
Q9UBU7 P49736
O00716 Q14186
P17509 Q09472
P13010 O00267
Q99558 Q9UNE0
Q7Z3Y8 P06213
Q8NFZ5 P19838
Q13190 Q16891
Q92994 P68400
Q9Y6V0 Q9Y2X7
P03372 P19838
Q9BZW7 Q14134
P20930 P68400
P98164 P02649
P54253 Q14671
O75309 P35222
O14544 Q9BYM8
O14745 P13569
P10827 Q12802
P98161 P02751
Q13029 P03372
P54253 Q15032
O14976 O15169
Q92896 P16581
Q9NZ52 Q00610
Q99828 Q14596
P18206 P16581
O95180 Q12791
Q96KB5 Q9P2H0
Q06190 Q5T6C5
Q96F07 Q9Y2A7
P26639 P12081
Q5TCY1 P11137
Q9BVJ6 Q9C0J8
Q9UBU7 O00311
Q15650 P19838
O75460 P19438
O15020 P02549
O43929 O43913
Q9UBZ9 Q9UBT6
Q9BUI4 Q9UKN8
P03372 P51843
P04733 P04278
Q9UMS4 Q9UPT5
O14976 O60763
Q08999 Q6NUQ1
Q8IYF3 Q96M91
Q13228 Q5T3J3
Q9H939 P04278
Q9UN74 Q96ID5
Q9GZM8 Q14204
Q15648 Q93074
Q9ULU8 P11532
O15455 Q99836
Q14974 P55060
P16298 P32418
Q15582 P02751
Q7L590 Q8NHQ1
Q6PJP8 Q12888
Q5FBB7 P13010
P22314 O75069
Q9NQW7 Q6NUQ1
P41594 Q9NSC5
P05556 P98160
Q92466 Q01831
P37198 O14980
P57678 Q8TEQ6
Q9UKV8 Q9UHI6
Q99567 P35658
Q09472 Q92878
P52630 P17181
Q7L590 P49736
Q15042 Q9Y4E6
P05556 P10809
Q9NRA8 Q96R06
P03372 P01160
Q01780 Q8IZH2
Q15834 O43663
Q9NZJ5 O14920
P15529 P0C0L5
Q13077 P21580
O43913 Q99741
O00203 O60566
P09874 P12956
P49069 P08F94
O94985 Q14669
Q9Y572 P19438
O43929 Q9UBD5
P22735 Q02383
O94776 Q16576
Q9BYE9 Q6P0Q8
Q7L590 Q13416
Q13347 Q04637
Q09161 O75150
Q969N2 O43292
Q8WU20 P06213
P04040 Q9BXR5
P16870 Q5T3J3
O43592 P35658
Q8NBJ4 Q9BQ52
P19438 Q9BXW9
O75530 O15379
P16284 P35222
O15085 P78559
P28331 P40926
Q7L590 O00311
O14745 Q03431
O00267 P63272
Q99460 Q99933
Q12959 P78559
Q92973 P35658
O14777 P06400
P42226 P19838
Q9Y624 Q8TEW0
Q04446 P52209
Q9BVJ6 Q8NHQ1
P51003 Q9UKF6
Q6P1J9 P35222
Q9BVC4 Q8N122
Q92878 Q6NUQ1
Q6UB99 O15379
O60907 P35222
P12956 Q9BXJ9
Q13077 P28908
O75665 Q9H7U1
P35249 O75943
Q9NRW7 O14662
Q9UKV8 Q9UPY3
Q9NRD9 P07202
Q09472 Q15751
P12956 P16284
O15018 Q9UQB3
Q13651 Q08334
Q8NI08 P03372
O15379 P06400
Q15834 Q6ZU52
P31785 P16871
Q92624 P05067
P40200 P15151
Q6P3W7 Q00610
O95251 P06746
O95081 Q9UBC2
Q9C0A6 Q15834
P54253 Q70EL1
O00567 Q13873
Q6ULP2 Q9NZ52
P98164 Q5JY77
Q08211 Q6P2Q9
Q8IV45 P19838
P68400 P84090
Q8N3K9 Q96EV8
Q9NYH9 Q15834
P51843 P48552
P36578 Q99558
Q9Y2H0 O94875
P68400 P06744
Q12955 Q9UJC3
P13010 P09884
O14745 Q9UL62
P68400 P13807
O60763 Q14789
Q5JY77 Q96KB5
Q8IYF3 Q9Y6D9
Q96QZ7 P98164
Q09472 P52701
Q92598 P43034
Q9UJX6 Q8NHZ8
Q9UQB8 Q12929
Q96JB2 Q8WTW3
P18206 P35221
Q969H0 Q6ZRQ5
Q07889 P15941
Q9Y5Q9 Q92994
P60228 O43292
P78527 P27694
Q9Y4H2 P17480
Q7Z3B3 Q7Z6G3
Q9H900 P50748
P27694 Q13228
P98160 P05067
P54253 Q9Y4E1
Q9UL40 Q9HAV4
Q8TDM6 Q9BSF8
Q9UGU0 P03372
P19438 O14920
Q99741 P49736
Q92859 O00634
Q5VVH5 P51617
Q13480 Q07889
Q9P2H0 Q5UIP0
Q9Y2H0 Q12959
Q12888 Q16666
Q14191 P78527
Q14524 Q12959
O75943 Q07864
O75925 P03372
Q9GZR7 Q9Y2X7
O94986 Q9Y2J2
O00311 P49736
Q8WZ42 P20929
Q15714 Q9GZT6
P46379 Q13190
Q15124 P11532
Q9NQX3 P42345
Q09472 O95359
Q14134 Q9BRK4
Q8NFZ5 P21580
Q99698 Q93074
P04843 Q6IA17
Q9HBM1 O14777
Q13620 P03372
P10643 P01031
P48552 P03372
Q8WVM8 Q13190
Q12968 Q15361
Q15029 Q8NBJ4
P37198 Q9GZY0
Q13200 Q16401
O15379 O14980
Q99836 P14778
O75150 Q9Y4E5
Q13191 O15117
O15379 Q8TF05
P37198 P52948
O43493 P05556
Q14191 P27694
Q9UN74 Q9GZT6
Q01780 Q9Y2L1
Q9P2M7 Q9Y624
Q7L775 O95278
Q8N1V2 P51587
Q8TAM2 Q15154
Q92870 P05067
P13010 Q13416
Q8WUM0 P52948
P25054 P35222
Q969G3 P03372
Q9UHI6 Q08211
Q12929 Q15154
Q13216 O14949
P30154 P35613
Q9UIA9 O43592
Q9BXW9 O94782
P09874 P19838
Q9BVC4 P42345
P27169 P02647
P19320 P05556
O14777 Q9Y2J4
P49959 P18858
P51587 Q9BXW9
O14980 O14746
Q9NQB0 Q09472
O60496 Q96EK5
O75553 P05067
Q52LW3 Q12923
P52630 O60244
Q09472 Q9H3D4
Q9UKN8 Q92994
Q9Y6D9 Q9UGJ1
Q9P2M7 Q9UDY2
P78406 Q9GZR7
Q9UBW7 P17480
Q4KMG0 P35222
O94875 O43426
Q15393 O75533
Q86XR8 Q96RL1
P13612 P05556
P53621 P48444
P04843 Q9NYS7
Q9HCB6 P05067
P35222 Q09472
Q08211 Q96SB4
P54253 Q99700
Q08999 Q86Y97
O43572 P31323
P68400 Q08945
P49959 P12956
O75553 P43034
P06400 Q86Y97
Q13216 Q13888
Q9Y6B7 O43683
P30154 Q13033
O60496 Q02763
P57740 P35658
O14777 Q9BZD4
Q01780 Q99828
O96006 Q9GZT8
Q16891 Q9H0I3
Q03468 P09874
Q09472 Q03181
Q5JTD0 Q12959
Q9UQB3 P35222
O95391 Q15834
Q86UP0 P35222
Q14974 P49792
P37198 Q03933
O95741 Q9Y6K8
Q9Y2X7 Q5UIP0
Q14722 Q12959
Q09472 Q9GZR7
Q96CW5 P23258
Q15642 P35222
O43747 Q00610
O00198 Q07021
Q9H422 Q9UGP4
Q12906 Q9HAV4
P50502 Q93033
O15534 Q5JY77
Q14689 P98082
Q8TEL6 P19438
O14727 Q9C000
Q96QU8 O60610
Q8WZ42 P20807
Q9HC77 P23258
Q9GZT8 P61201
Q14146 P02545
O43913 Q13416
P13612 O43294
O15117 Q13094
P51587 P27694
Q09472 P19419
Q15645 Q9GZT8
Q13480 Q8WU20
Q8N715 Q15834
Q15643 P06400
P35222 Q86UU0
P30291 P68400
P68400 P06401
Q13480 Q07021
Q92966 P06400
Q9Y2H0 Q96A65
Q14005 Q13224
Q9BTX1 Q8N1F7
P52701 Q9UIF7
O15294 P51610
Q15542 Q10570
Q16612 Q96ID5
Q13216 Q16531
Q5FBB7 Q14738
P98160 P28799
P16871 P13232
Q9Y5K6 Q07889
Q9BYG5 Q8TEW0
Q14061 Q5T3J3
Q12770 Q12772
P49736 O14775
O43929 P49736
Q12834 Q9H1A4
Q8IZD4 Q8IZH2
Q13416 P27694
P52179 Q8WZ42
Q96RU2 Q14676
Q9GZM8 Q9NRI5
Q9NV58 Q9Y6H5
O75150 P06400
P68400 P18858
O14920 Q9UHD2
Q16531 Q9NZJ0
Q99698 Q14974
Q92902 Q9NQG7
O43929 Q13416
Q5FBB7 P78527
P49917 O95347
Q96SB4 Q8IYB3
P56715 P25054
P98161 P18206
Q13596 P48357
Q99835 Q13635
P48552 Q13285
Q14966 Q15834
Q15025 P21580
Q8NF91 P02545
P16870 P27694
Q9NZ52 P11717
Q7L590 Q99741
Q14974 Q12772
Q9NR82 Q9NRI5
O00499 Q9Y2H0
