Q8TBF5 B3EWG3
P07099 Q8IVN8
P07099 Q04743
Q92837 Q9P2I0
Q969K7 Q8IYM9
Q9H3M0 Q03188
Q9H3M0 P61812
Q9H3M0 Q9H2X8
Q9H3M0 Q0VDG4
P51878 O60664
Q9Y6E2 O14894
Q9Y6E2 P12532
Q9Y6E2 Q6ZNR0
Q9Y6E2 Q9H1Q7
Q8TAL5 Q7Z3H0
Q8TAL5 Q9BR61
O43930 P07288
O43930 P08620
Q9NZL9 Q9Y253
Q9BVC6 P50213
Q9BVC6 Q13404
Q9Y592 P46597
Q92598 Q71DI3
P50225 Q86YS3
A6NCC3 Q9UG56
Q9UKZ9 Q8TC26
B3EWG6 Q13342
P53708 P20290
P53708 P51671
P04035 Q96R54
Q5DJT8 P60006
P53701 Q99538
Q6P2H8 Q8WZA2
Q6P2H8 O95196
Q8N4P2 Q9UJU5
Q8N4P2 S4R3P1
Q8N4P2 Q9HA72
Q8NFQ6 Q6V1X1
Q8NFQ5 Q86T65
O60635 Q14995
Q14563 Q8IUC0
Q86TG1 Q7RTV3
Q14566 Q96NY7
Q14565 Q8N228
Q7Z5L7 Q9H169
Q7Z5L7 Q7Z7J5
Q7Z5L7 Q96D03
A6NIR3 Q5JPI9
Q9UHF3 Q99952
Q9UHF3 O43639
Q96PG8 P40197
Q96PG8 Q9UNH5
Q96PG8 Q9C035
Q9UHF4 O75843
Q9UHF4 Q02297
Q9H112 A6NFU0
P41212 A0A0C4DH29
Q92527 P78345
Q92527 P15814
Q92527 P07288
Q92526 Q96NC0
Q92520 Q9Y639
Q92523 Q9NZD1
Q92523 Q9Y606
Q8NHX9 P02724
Q86VY9 Q9UJ96
Q9H4P4 Q8NGH7
Q9H4P4 Q7Z2X7
Q9H4P4 Q969E4
P23352 Q8TCZ7
P23352 P24298
A0A087WXS9 O43657
Q9Y5S8 Q5JVF3
Q9Y5S8 A0A075B6S4
Q5MJ70 Q14184
Q5MJ70 P78356
Q5T9C2 Q92636
Q5T9C2 Q8N766
Q9HAP6 Q16581
P27449 Q92562
P07203 Q5TAA0
P07203 P09543
Q96DR8 Q8NGY0
Q9HAP2 Q01085
Q96HA4 Q6NTF9
P07202 Q9Y535
Q6PII5 Q9UBT2
Q96HA9 Q12982
Q96HA9 Q9BXJ8
Q96HA9 O60266
Q96HA9 O14579
Q96HA8 Q5TYW1
Q96HA8 Q9HB14
P07204 Q9NRG1
P07204 A6NHS1
Q96G23 P62310
Q96G23 P10301
Q96G23 Q8N9Q2
Q7L3V2 Q8N7X1
Q96G27 Q8IX12
Q96G25 B7Z6K7
Q96G25 Q96PY5
Q9UK32 A0AVI4
Q9BWU1 A6NF89
Q13232 E7ERA6
Q13231 Q6YI46
O60381 Q8NFF2
Q9NXR1 Q9Y224
Q15762 P51681
P10914 Q96HW7
P10911 Q12950
P10911 Q9Y2Y0
P10912 Q9NW64
Q5TFG8 Q9NZN4
Q8WUF5 Q70IA6
O95522 Q9NYP3
Q96BT7 Q8N141
Q96BT7 P78348
Q02297 Q8NDY8
Q02297 Q96HJ9
P48147 O75556
Q6KB66 O60701
Q6KB66 Q96GK7
Q99519 Q96KJ4
Q99519 Q969E1
Q99518 Q8N239
P43361 Q96DB9
P43361 Q9Y2W3
Q6PL24 P18146
Q4VC39 Q6TGC4
Q9NR31 P35504
Q96RU8 Q10713
Q96RU8 Q5TH74
Q96DR5 Q8WTU2
Q96DR7 P43652
Q96DR7 Q8IU57
Q96L58 Q7L4P6
P35789 P14927
P50395 O95299
Q96A84 Q5VWX1
Q96A84 P19099
Q96A84 O43837
P00558 P30273
Q13643 Q5T1Q4
Q13643 Q9ULF5
Q13641 O75881
P40305 D6RF30
Q8N6K7 Q14410
A6NH00 O00479
Q8NH02 Q9NYJ7
Q8NG77 Q9H2W2
Q8NG77 Q8N6D5
Q8NH00 O60496
P06239 Q8WUZ0
P06239 P15153
Q6ZRV3 A0A087WVF3
Q7L985 Q701N2
Q96CN7 Q5CZ79
Q96CN5 A2RUQ5
Q96CN4 P00387
Q96CN4 Q2M296
Q9BXJ4 P52758
Q5RKV6 Q13976
A6NLE4 Q9UBM4
A6NLE4 Q9UBW5
A6NLE4 Q2MKA7
Q8NGF7 Q96AP4
P33552 Q9NX00
Q16236 Q9BWL3
Q16236 Q96J77
Q9H6R0 Q02575
Q9H6R0 Q9BUL9
Q9H6R0 P25101
P48551 Q86WT6
P48551 Q9ULK2
P10643 P30990
Q9H6R3 O43763
Q9H9P5 P01619
Q86XT4 Q8N307
Q86XT4 P59025
Q9NZM5 O60341
Q9NZM5 Q8NE65
Q5T6X4 Q9HA82
Q5T6X5 Q6YFQ2
Q01968 P01588
Q01968 Q08050
Q01968 P07305
Q01968 Q3B7T3
Q14CS0 P16389
Q02978 Q5TC84
Q8N5G2 Q14376
Q8N5G2 Q96ES6
Q8N5G2 Q6XXX2
A6NEN9 O14787
A6NEN9 Q13523
A6NEN9 O75444
A6NEN9 Q4G0Z9
A8MZ59 C9J3V5
A8MZ59 Q8N6N6
A8MZ59 P52815
Q5VUM1 Q96BR9
Q03989 Q8TEA8
Q06609 Q9NW38
Q06609 Q8TD19
Q06609 Q8N3Z6
P16520 Q6IBS0
Q9Y296 Q9Y2T1
Q9Y296 Q16653
Q9Y296 O75444
Q9Y297 P32245
Q9Y297 Q96M60
Q9Y297 P16930
Q9Y297 Q02252
Q9Y294 Q99963
Q9Y295 P49069
Q7Z601 Q8IZP0
Q7Z601 Q8WVD5
Q7Z601 Q15131
Q9BR09 O14792
Q9BR09 Q6ZQT0
Q6ICC9 P0C7X0
Q9NUQ3 Q14331
Q5VIY5 Q7L3T8
Q5VIY5 A6NML5
Q6IA17 Q9H6E4
Q8N6V4 Q9UBP6
Q8N6V4 Q93086
P30281 Q96K12
Q5FYB0 Q9H1E1
Q75V66 P24864
Q9HD45 P42331
B0I1T2 P13693
B0I1T2 Q68G75
B0I1T2 Q9H790
Q2NL82 Q969Y0
Q2NL82 Q9HD15
Q2NL82 Q8NGH8
O60721 Q96NE9
Q5JTN6 Q96LB4
P51116 Q68D06
Q86VD7 P09104
Q86VD9 A6NGR9
Q86VD9 O75901
Q587I9 O60641
Q9H7L2 Q9Y2V2
Q9H7L2 Q8NE35
Q9Y2T4 Q96IC2
O60814 Q86UT5
O60814 O14901
Q9Y2T6 P42658
Q9Y2T6 Q03721
Q9Y2T1 Q5TA78
Q9Y2T1 P18077
Q5T7V8 Q6UXY8
Q9Y2T3 P50897
Q9Y2T3 Q6UW68
O60548 Q5H9M0
O60548 Q13617
Q495N2 O15504
Q495N2 Q6PJT7
Q8N8Y2 O60683
Q8NGC9 Q8N239
Q8TB52 Q8NGJ8
Q8TB52 Q717R9
Q8TB52 P04234
P58401 O60678
Q9P0L9 P23510
Q9BZ68 E9PQR5
O15066 Q8WWR8
O75420 Q8NCM2
P35251 Q86TL2
Q99618 Q75QN2
Q99618 O14974
O75427 Q5PT55
O75426 O15516
O75426 P46092
Q92730 Q96N46
Q92730 Q6PIW4
Q92730 Q13003
Q5VU57 Q9NRW1
Q5VU57 Q96E35
P23109 Q8IWD4
O60609 Q64LD2
Q00765 Q9HD33
Q6IQ19 P62699
Q9NVQ4 Q9C0E4
Q9NVQ4 P27037
Q9NVQ4 Q9Y5E9
Q9NVQ4 Q8NBJ5
P05387 P04264
P05387 Q9H8Y8
P20132 P27694
P20132 Q70EL2
Q14849 O15480
Q8NGD2 Q3MJ13
Q8N2R8 Q99816
P01008 Q9GZU1
Q9H7M9 Q96S95
Q9H7M9 P19784
Q01581 P60608
P08034 Q6ZN11
P08034 Q7L0R7
Q9BXB1 Q5T6J7
Q9BXB1 Q8TDB4
Q13007 Q13126
Q13007 P08195
Q8NGN1 P07438
Q8NGN1 P14735
O75390 Q63ZY3
O75390 A5PLL1
O75396 P21980
O75396 Q0D2K5
P51522 Q9HBW0
P51522 P62753
P51522 Q9GZY8
Q8IVD9 Q8IUI8
Q8TE68 P62979
Q8TE69 P15151
Q8TE69 O15123
Q66K41 Q5T7R7
Q8IW36 Q9H1V8
Q8N328 Q9UNW8
Q8N328 Q86VU5
Q8N456 Q8NGX0
Q8N323 Q6VN20
Q8N323 Q9Y6Z4
Q8N323 O00300
Q66K89 Q9BPX7
Q8WVD3 Q9H6Z4
Q9UJ71 Q53FE4
Q9NPG1 Q9H0R4
P42772 Q13069
P42773 Q96R45
P42773 A0A075B6K4
Q9BSD3 P04049
P42771 Q6UXB3
P42771 Q7Z7G2
O94973 O95561
Q5T3J3 Q9UJM8
Q5T3J3 A0A1B0GUA6
Q5T3J3 Q8TB68
Q9Y6X1 P10124
Q9Y6X1 P08048
Q96LX8 Q9UBV4
Q99218 Q96EP0
P28838 Q6ZW31
P28838 Q969J2
A6NMK7 Q9BRR9
Q9UGC6 Q8N5D6
Q9UGC6 O15160
Q8N4X5 Q3LI77
Q8N4X5 Q9NPD3
Q8N4X5 Q8IY95
A6NMK8 P10145
Q96EX1 O95838
Q96EX1 Q15238
Q8NGH7 Q96BD5
Q8WV15 Q9Y2J0
Q6UWS5 Q687X5
Q6UWS5 Q8IYS1
Q9HCQ5 Q6ZV65
Q9HCQ5 O60641
Q6NUI6 Q7L266
P22760 P21796
P22760 P01619
P26651 Q13349
P26651 Q9BWP8
Q96LZ7 Q8NH49
Q96LZ7 Q9H7E9
Q96LZ7 A1L429
P08237 Q6IPU0
P08237 Q9H7B2
Q2VIR3 Q5T7P6
Q96LZ2 P55209
Q96LZ2 A0A0B4J1V0
Q96LZ2 Q9Y5K2
Q16517 Q69YU3
Q14002 Q6ICC9
Q14002 Q5TFG8
Q14003 Q8NHB7
Q9Y4K0 Q8WUB2
Q9Y4K0 O95716
Q9Y4K0 P62841
Q9Y4K0 Q5VZV1
P19224 P25686
Q107X0 Q6IN84
Q6Y288 P51843
Q8NCW6 P68363
Q9BUV0 Q9HBE1
Q9BUV0 Q8N5U6
Q9Y3A5 Q765P7
Q9UFC0 Q8TDR4
Q9UFC0 Q99518
P07197 P49914
P07197 Q96AN5
O14936 Q13952
O43325 Q86W26
Q6PEV8 Q9UPQ4
Q6PEV8 O60476
Q6PEV8 Q9Y2H5
O43173 Q16820
P55000 Q16690
P0DL12 P17861
P0DL12 A0A087WVF3
Q96KF2 Q01546
Q9Y3A4 Q9Y2A4
Q9Y3A4 Q0VG06
Q96KF7 Q8N2Z9
Q96KF7 P34130
Q96KF7 O43825
Q0ZLH3 P11216
Q8IZJ0 P07384
Q6NXP6 Q68CQ4
Q8IZJ6 P27448
Q8IZJ6 Q03938
Q8IZJ4 Q56UQ5
P56937 Q8N6Y0
Q9UMS6 P29033
Q08830 Q49MI3
Q8NH18 P40189
Q8NH18 O00481
Q8NH18 Q9UBS8
Q8NH18 P05109
Q9Y2K5 Q9Y240
Q9Y2K5 Q9UH92
Q9Y2K6 Q9UBI9
P37088 O75817
P37088 Q8NBD8
P37088 P30084
P34810 Q8N319
P34810 Q9Y5F6
Q96MT7 P0CJ73
Q96MT7 O00425
Q96MT7 P23945
Q9UHY1 Q9UKB5
Q9UHY1 P61077
Q96MT3 Q96A72
Q96MT1 P11686
Q9UHY7 O60942
Q9UHY8 O00482
Q9UHY8 P15336
O14681 P0CG38
O14682 Q5H9S7
O14682 Q13907
O14684 Q9NSY1
Q8N1P7 Q8NHS3
Q8IV08 Q8N4S9
Q8IV08 O75351
Q8IV08 P56696
Q8NH19 Q9H3E2
Q8NH19 Q6ZVT0
Q8NH19 Q96T25
Q9Y3A2 Q9P0W8
Q9Y3A2 Q6UW56
Q9H334 Q4LDG9
Q9H334 Q7RTX1
Q9UNE0 Q9H9H5
Q00973 Q16831
Q6P6B7 Q8NA69
Q6P6B1 Q9NPC2
Q9BYM8 Q9H1M0
Q9BYM8 Q8N8D9
P22888 P48736
P22888 Q9H239
Q9UI30 Q9UGI6
Q3SYF9 Q8NFI4
P50895 P61572
Q8IY26 Q8TAG9
P61550 Q9Y2G7
P49895 Q01433
P35240 Q9C0J1
O95755 Q92636
O95755 Q9H4E7
O95755 Q5I0X4
Q13585 A8MT19
O43247 P35475
O95751 P98082
O95750 Q13634
O95750 P47871
Q8WWC4 Q9Y6Q6
Q06730 Q9H0C3
Q06730 Q9BRL7
P13349 Q6P2P2
P13349 Q8N123
P13349 P07205
P01825 O60504
Q6UY11 Q8WWF3
Q96GI7 Q9NY47
Q6UY14 P47914
Q8NHV5 Q9UBP9
Q8NHV4 Q0VD83
Q6YP21 Q03924
Q6YP21 O95625
Q8NHV1 P25189
Q8NHV1 Q9BQG1
Q8NHV1 O75529
Q6TDP4 P01877
Q9C0J9 Q92759
Q9H788 A6NM66
P62273 Q9BTT4
P05014 Q6UXY1
Q10586 Q8NG99
Q10589 Q9NSY0
P05019 Q86YC3
O00268 Q7Z6M2
O00268 Q96GQ5
O00268 Q9Y5N1
O00267 Q8N7C4
Q8N7U7 P53609
P33947 O43294
P08861 Q7Z3V4
P08861 P68104
O14756 Q15031
O14756 Q13561
O14756 Q05D60
Q7Z3Z0 Q9NPL8
Q7Z3Z3 E5RIL1
Q7Z3Z3 Q96HU8
Q69384 Q96A83
Q9NQ50 Q5VWI1
P81408 P63130
P81408 A8MW95
Q7Z3I7 Q9H344
Q7Z3I7 P03891
P56556 Q8N8E2
P56556 Q8NBJ4
P56555 Q9UMS6
Q9NV29 Q14C87
Q9NV29 Q9Y2T1
Q9NV29 Q9GZR1
O60248 Q17RB0
Q96CS7 Q8IUC6
Q9BQR3 P78539
Q9BQR3 P62760
O95340 Q9N2K0
A8MV65 P35680
A8MV65 O75084
Q9UJ99 P01817
Q6N069 P80723
Q6N069 P35321
Q9UK11 Q9NTN3
Q9UK11 Q7Z7H5
Q9H0Q3 Q3KP44
Q8NBL1 Q8N9I0
Q14157 Q13572
Q14157 O43825
P43234 Q00LT1
P43235 Q14952
Q14406 Q9UI12
D6RCP7 Q8WUF8
Q12983 Q8IY82
Q12982 Q8IXS0
Q12981 O75112
Q12981 Q6UWM9
Q12981 Q9NXL2
Q8WVX9 Q99757
P29466 Q9H0R5
P29466 Q9HD87
Q12988 Q9Y6W3
Q9Y600 P02538
Q9Y603 Q8NCD3
Q8N6M3 Q9UI15
Q8N6M3 Q8WVD5
P28482 Q8WW14
P28482 A6NND4
Q8N6M6 Q8N6W0
Q8N6M6 P01036
E5RIL1 Q49AG3
E5RIL1 Q96JD6
P28336 Q8WXF7
P28332 Q9UBF9
P28330 Q9Y2Y9
P28330 Q99496
Q7RTU4 Q86V40
Q7RTU4 Q86TG7
Q96CU9 Q9UBL6
Q8N9B8 Q8IXP5
P62826 P53992
P18615 Q9NRF2
P17024 Q8IU99
P17024 A0A0B4J1V0
P0C7I6 Q9C0H9
Q969I6 P17509
Q969I6 Q8IZS8
Q96HJ5 Q9H9A7
Q96HJ5 Q9GZV8
P02743 Q86WC6
P02743 Q9P1Z2
P02741 P57789
P02741 A2RU30
O43913 Q8NGX3
O43913 P07360
P02747 Q9BVC3
P02747 P0C7N5
P02747 Q8NGB9
P02746 Q8IVP5
O43916 Q2I0M4
O43918 Q8N8S7
O43918 P62745
Q8TAB7 P29033
P02749 P49427
Q8TAB5 P15529
Q9BZE7 Q8NHP1
Q9BZE4 Q9HA82
Q9BZE4 O76076
O95967 P09496
O95967 Q3LI58
Q5HYW2 Q86SX6
Q5HYW2 Q86T03
Q5HYW2 E9PRG8
O95965 Q96DT6
O95965 Q96EX1
O95965 Q9NRJ2
O95965 P16402
P01215 P25791
Q9UKX7 Q8IXM3
Q9UKX7 Q9Y6Z7
Q969K3 O60927
Q969K3 O75830
Q6ZUF6 Q9HAE3
Q6ZUF6 Q86Y56
Q56UQ5 Q6P093
Q8TD23 Q6ZPA2
Q8TD23 Q9NX62
Q9H987 Q6PEX7
Q9H987 Q9H171
P35626 O75631
O43934 P28360
Q8NAF0 Q9Y3A2
B4DJY2 Q3KNW1
Q01085 Q08379
Q8TD22 Q96N53
Q9UHD9 Q96LR7
Q9UHD1 Q9Y639
L0R8F8 Q96HC4
Q7Z5G4 P40189
Q7Z5G4 Q96PU5
Q15669 A5D8W1
Q15669 Q5U5Q3
Q15669 P0CG12
P50991 Q9UKA9
P50991 P51965
P17483 O75072
P17481 Q9NUJ3
P17481 Q96G28
Q96I27 Q86X53
Q96I27 A6NHA9
Q96I27 P47881
P0CB48 O94864
P0CB48 A8MPS7
Q5VZR4 Q9Y5F9
Q15256 O60884
Q15256 Q1A5X6
Q96HC4 Q07001
Q9Y6A5 Q7Z5L4
Q8TAI1 P46459
Q9UEF7 O14734
Q9UEF7 Q86VV4
Q9UEF7 P35575
Q13214 O60543
Q6KCM7 Q5VUY0
Q9H237 Q9H4S2
Q9H237 Q86VZ6
Q9H237 Q86VR7
Q9H237 Q9H4A4
O75185 O95620
O75185 Q9UIF7
Q99684 Q6ZU15
Q99684 Q9BW60
Q99687 Q96HE9
Q99687 Q8TE02
P19623 Q3BBV2
P19623 Q9BXR5
P19623 Q02487
Q9BWW8 Q8TF66
P11229 P62140
P14618 Q99717
Q5TBC7 Q9NSK0
Q5TBC7 Q8NBB4
P63010 Q9GZN4
P63010 P50993
Q86X29 O60361
O75385 P83369
Q8N158 Q16517
Q8N9X5 Q86W42
Q96BR5 Q5XXA6
Q15744 Q8N2K0
Q8IUG1 Q32M88
Q15742 Q9UBK9
Q1L6U9 P13010
Q1L6U9 Q9UGP5
Q1L6U9 P0DMU7
Q8N7C3 Q8WXS4
O15431 Q96LK0
O15432 P23469
O15432 Q6P3S1
O95502 Q7Z7H3
O95503 P22061
O95503 Q17RY0
P23763 Q9UBT2
P23763 O14862
P23763 Q16774
P23763 P55289
Q9NYK6 Q9UBF2
Q9BQE9 Q2NKQ1
P24394 Q8NCH0
Q99538 Q96EL1
Q8NB25 P01824
Q8NB25 Q8NH01
Q8NB25 Q9P299
A6NG13 E9PJI5
A6NG13 Q9ULW3
A6NG13 Q96EU6
P41091 Q9H3H3
Q96RS6 P15391
Q4VC12 Q9NQT6
Q4VC12 P08697
P51687 O15523
P51687 Q9BZR6
P60520 O95427
Q8NGQ3 Q03936
Q8NGQ3 Q9BXJ2
Q8NGQ3 Q7Z3Z4
Q86YV0 Q8WXF0
Q86YV0 P60673
Q86YV0 P41968
Q8IXE1 Q14593
Q8IUK8 B1ANY3
Q8IUK8 Q6RW13
Q8IUK8 O75459
Q8TE99 Q6ZTA4
Q8TE99 Q9Y2G1
Q9Y5C1 Q5TBE3
P30990 Q8N9V6
Q9NX18 Q53H54
Q9NX18 P22413
Q9NX18 Q9BXY5
Q9NX14 Q15642
Q9NS61 Q8NHM4
Q9NS67 Q9ULM6
Q8IVQ6 Q96EY4
Q8NGQ5 P48506
Q8NGQ5 Q9NWT1
Q8NGQ5 O75509
P12755 Q8N6I4
P12757 Q6PKH6
P12757 Q9GZX3
P12757 Q8NGS5
P12757 Q6ZSJ8
Q4VX62 Q15119
Q4VX62 Q92599
Q4VX62 P13073
O75764 Q07973
O75764 Q9BRP1
A6NH21 Q8NDP4
Q03431 Q8N2C3
Q9H6L4 Q15617
P13489 O14933
P13489 Q9ULX3
P13489 Q8NG41
Q9H6L2 Q99608
Q9H6L2 Q567U6
Q9NPA2 P0DP74
Q9HD34 Q06730
Q9HD36 Q9P2N6
Q9HD33 P49848
Q9HD33 Q7Z6W7
Q9HC44 Q8IWT1
Q9HC44 P16415
Q14832 Q9BW71
Q14832 P32969
O14745 A6NLU5
Q96I24 P42685
P22415 P54855
P16442 Q9NXI6
Q9NZK5 P53567
P22413 P34820
O00303 Q15853
O00303 P80294
P50402 Q8N859
P55160 Q9H6T0
P58182 Q9NR61
Q96T37 P30626
P58180 O43639
Q96IK5 Q9UHX1
Q96IK5 Q5VV17
P0C0P6 P43121
P0C0P6 Q86UP8
A1A5D9 Q8N4Q0
P10599 Q4J6C6
Q9H6H4 P78406
Q86TG7 O43524
Q86TG7 P51571
Q8NCH0 Q00889
Q9HAU8 Q96G25
Q8NFQ8 P49746
Q538Z0 O43156
H3BU77 Q53FV1
H3BU77 E9PQ53
Q9BR61 Q9Y247
Q9BR61 Q96G28
O14508 Q5TF39
Q5SRR4 Q9H6I2
Q8WVK2 Q9BYV6
P55290 P62269
Q8NE00 Q13137
Q8NE00 O95995
Q96C03 P19075
Q71RH2 Q7RTS9
Q71RH2 O75563
Q3MJ62 Q9BZE4
Q3MJ62 O43676
Q3MJ62 Q9UP95
Q9BZV1 Q8TB22
Q9H7J1 Q92968
O60830 B2RUZ4
Q13107 Q9UK45
Q13107 Q8IW03
Q13107 Q16594
Q00169 P0DMW2
Q00169 Q5VST6
Q00169 Q9NXW9
Q12874 Q08AG7
Q12874 Q6UW02
Q12874 Q9UJZ1
Q9Y2V3 Q9UMY1
P59534 Q1L5Z9
O00186 Q8WWR9
O00186 P58876
A8MWX3 P13385
Q9Y6M5 Q9P1V8
Q8N8W4 Q13435
A6NDV4 Q9UKM9
A6NDV4 P43681
A6NDV4 Q03113
A6NDV4 P34903
Q92575 O95416
Q92575 Q2KHM9
Q9NRH1 Q567U6
H0YKK7 P30953
Q5CZA5 O00189
Q96EZ4 O95479
A4D0T7 Q8IUH4
Q9P0J0 Q16534
Q9P0J0 Q9UPM8
Q9P0J7 Q96E17
Q9UHF1 A8MXK1
O75409 Q96K80
Q8NBJ4 Q3LXA3
Q8NBJ9 Q9NUH8
Q9Y3N9 P10073
Q5TZK3 Q5TCZ1
Q5TZK3 Q96IQ9
Q7LDG7 Q4KMZ1
Q96CV9 Q8NGK5
Q6IQ32 Q8NEB7
Q6IQ32 Q9UKH3
Q9NVW2 O15239
Q9NVW2 P0C646
Q9NVW2 A2RU37
Q9NVW2 Q9Y345
O00522 Q96LR2
O00522 Q8TDU9
O00522 Q56P42
P17677 P06727
P17676 A1L3X0
Q15695 Q9P291
Q15695 Q7Z3Z0
Q96PG2 Q7LDG7
Q9Y3C5 Q6NT16
Q9Y3C5 Q5VZV1
Q765I0 Q96FV0
Q8NGL0 P06734
Q9Y4D1 O95319
Q9BXL8 Q5VWI1
Q8NGL7 P58304
Q8NGL7 Q5PRF9
Q9BXL7 P05154
Q9BXL7 Q17RH7
Q9BXL7 Q96K49
Q13021 Q9P232
Q13021 Q13591
Q9BXL5 Q9GZK6
Q9BXL5 Q96RB7
Q9BXL5 Q16643
Q8IYJ0 Q3LHN1
Q8IYJ0 Q9BXU7
Q8IYJ0 Q6PML9
Q8IYJ0 Q6GQQ9
Q8IYJ3 Q9P055
Q8IYJ2 Q9BZL1
Q8IYJ2 O15354
Q8TE49 P14060
Q9NW61 Q9NWH2
Q9BRQ5 B2RPK0
Q9BRQ5 A8MZ26
P18283 Q9ULJ1
P18283 Q9NX58
Q8N300 Q3ZLR7
Q8N302 Q13761
Q8N302 Q96P66
Q8N302 A0M8Q6
Q8N307 Q1XH10
P43003 Q8TEQ8
Q92974 Q56VL3
P43007 H0Y7S4
P43007 Q15111
Q92754 Q9H4L7
P43004 Q96S38
P43004 Q96NZ8
P43004 Q99962
P53007 Q13285
P53007 Q9UHI6
Q8WVF2 Q7Z5L2
Q8WVF2 Q8IZP6
Q86WX3 P50750
Q6VUC0 Q96PQ1
Q6VUC0 Q9NRR6
Q6ZV80 A5YM69
Q6ZV80 Q96PR1
Q99944 Q6ZTZ1
Q8TC20 Q9H1C4
Q9NPI6 A0A075B6P5
Q9NPI6 Q9H7B2
Q9NPI1 O43159
Q9NPI1 Q8NBD8
Q9NPI1 Q9GZY6
Q9BSF0 O00257
Q86UV7 Q5JS54
Q86UV7 P63123
Q6JVE5 Q9Y5U9
A0PG75 Q6V702
Q66LE6 Q9NPB1
Q96JJ3 Q7RTM1
Q96JJ6 Q9BY08
Q96JJ6 P04201
Q5H9K5 P55316
O00534 Q8TAK6
Q6NT16 Q9Y2E5
Q6NT16 A8MYZ0
Q9UI26 Q9UHA2
Q9UI26 Q96H78
Q9UI26 P0CL82
P04179 Q9Y6Y0
P04179 P54886
Q7Z6J4 O43556
Q7Z6J6 Q86Y39
P07864 Q13585
Q7Z6J2 Q9Y261
Q7Z6J2 P30279
Q7Z6J2 Q9NWC5
P0DMV0 Q5TGL8
P0DMV0 Q9Y5M8
P0DMV0 P03952
Q14246 O95861
Q14247 Q9HBI5
Q14247 Q6NXP0
Q14244 P52803
Q14244 Q9UJS0
Q14244 A8MU10
Q14244 Q8N9G6
Q14240 Q69YW2
Q14240 O71037
Q8IWX8 A6NL99
P57077 Q5SWL8
P57077 Q9UDX4
P57077 Q96RR1
A2RUQ5 P16066
A2RUQ5 Q86YW5
Q8N4Y2 P62318
Q8IWX7 Q96RD1
P15735 Q8TDB4
P07858 O00330
Q7RTN6 Q9BZJ4
P46695 Q15935
P46695 Q9BYM8
Q96LT9 Q8IWE5
Q96LT7 P04732
Q96LT7 Q93073
Q96LT7 P52594
O94955 A6NF01
O94956 Q13641
O94952 Q8IXJ6
O94952 Q8NGF1
O94952 Q8WXG1
O94953 Q86TL2
O94953 O43921
Q86YB8 P45973
P41968 P43699
