Q5J8M3 Q96IK1
Q969H0 Q9HBB8
Q86XM0 Q9BW04
Q13324 P54803
Q99958 Q9Y5J1
Q8NFU3 Q6UWW9
O43760 Q96EU7
O14843 Q96NT5
Q6PJP8 Q0P670
B9A014 O75915
P52803 Q6TCH7
Q9NVP2 Q8WW22
Q9H320 Q6P7N7
Q9BYC2 Q7Z5Q1
Q5SRI9 P60201
Q8NFT2 Q8WU68
P0C8F1 Q8N609
P62502 Q8WXS4
Q9GZR5 Q9HBH1
P01308 Q15185
A0PK05 Q49B96
Q9HBG7 O43866
A6NK44 Q9UBT3
A6NIH7 O15533
P04234 Q7Z4G4
P60602 Q6P2I3
Q9Y5J1 P06756
Q6NXT4 Q13261
Q6P047 Q8NG85
P60413 O94864
Q9NZJ0 Q9P0J1
Q13361 Q9Y324
P09958 Q9NWW0
Q9H3S3 Q5HYA8
P12268 Q9NRE1
Q9UK17 P57789
Q99943 Q15822
P18440 P55283
Q9Y5F3 P62955
Q8IVJ1 P13500
Q16719 C9JVW0
H3BRN8 Q9Y5F6
Q9NT62 Q6GV28
O60397 Q12809
Q5U4P2 Q9H2K0
Q5SR56 Q8NGY6
Q9H347 Q8IUA0
Q9NV96 P11168
Q15043 Q86VB7
A6NKN8 P16422
B2RXF0 O43927
Q99615 P21217
Q8N4B4 P01743
Q6UWL2 Q03188
Q86SE8 Q8NES8
Q8TAB7 P29033
Q15543 Q96GK7
Q5KU26 Q9Y264
P23588 Q075Z2
Q13361 Q8IWT1
Q2KHT4 Q5VXM1
O94817 O95136
Q96EZ8 Q8N9C0
Q96LT9 O43927
Q6P4F1 P08397
Q96FC7 P10912
Q92854 Q5VWX1
Q63HM1 Q92777
P10912 Q9NW64
Q8NH01 Q9UK17
Q9NZD1 Q6EEV4
O15229 Q96GT9
Q7RTS6 Q9H467
Q7RTR8 P61565
P23763 P55289
O94952 Q8NGF1
Q12796 Q96AZ6
Q8NGI1 Q06250
Q6YBV0 O95467
Q93075 Q9Y5E1
Q9P0T7 Q6J272
Q5VW00 Q6PXP3
P48058 O95476
Q8NE86 Q6B9Z1
Q96B21 Q07507
P06733 A0A1B0GVQ0
Q7Z2R9 Q9BSY4
Q9NZV1 Q9UKH3
Q9UPW0 P06870
O15123 Q9NP95
P59942 Q9UKI2
A0A0B4J2F0 P31483
O14613 Q86Y29
P49765 Q96FJ2
O60269 Q6UXG3
Q9NR96 P34981
Q8NGI8 Q96CW6
Q15109 Q96RL6
P63252 P08172
Q9NPI9 P02795
Q9BT30 P07741
Q8WZ59 P55087
Q9HCU0 Q16853
Q9NPP4 P21554
Q9H3Z4 Q9H5U6
P61582 O60829
Q96PG1 P0C645
Q6ZVF9 P18827
P81534 P54849
Q96B86 P55259
O43597 P61604
Q496J9 Q8TF74
P01160 Q11201
Q8NGB2 O43424
Q6RSH7 Q8N1I8
Q96FX2 P01593
A6NET4 Q9GZN0
Q5T1Q4 A5X5Y0
Q9GZN6 Q9H299
O15409 Q6UWU2
Q8WV48 Q08050
Q9NPB9 P02766
Q6UX68 P62249
Q8NFJ9 P50440
Q9HBB8 Q5TGU0
Q9NY64 Q8NHC7
P0DI82 Q9NZP2
P01733 O75821
Q6P2C0 Q8TE99
Q9Y5U5 Q8N9Q2
Q5T2D3 Q9H0U3
P25021 P82970
Q99680 Q5VYY2
P0DMB2 Q8NEB9
Q8NHC4 Q01844
P26599 A8MV57
P0DOX5 Q9NXV6
Q5T3J3 Q9UJM8
Q9H2E6 Q8WXQ3
P0DN77 P0DMB2
P59826 Q6P589
P59540 Q15527
O15218 Q8NH95
Q9BYQ5 Q8TF66
P51168 Q6ISS4
Q8NGG2 Q6ZVE7
Q6XR72 A0A0A0MT36
Q8NG78 Q8NGS4
Q96DP5 P14222
Q9Y5P1 P12644
P14209 Q9H158
P47211 Q495Y7
Q8N695 Q8NGZ5
Q30KQ5 Q9BZX4
P05549 P36952
Q92696 Q58FF7
Q8NEX6 Q96DD7
Q9BT56 Q00889
P53985 Q92563
P22830 O95665
P04818 P09486
Q9UMX0 Q86V85
Q13427 O43759
A6NGA9 P80217
Q13015 Q7Z5L2
P02788 Q9Y581
Q8NGN3 Q5U623
Q86T13 P08913
Q96CW6 Q9UF56
Q08174 A0A0C4DH29
Q86UF1 Q30KQ5
O14625 Q9Y6B2
P25021 P55073
P29016 P0C7M8
Q9Y286 Q96PZ2
Q99678 O75829
O43927 Q96DE5
P82933 Q01780
Q9Y5G3 P26006
Q5VU92 Q8WWY8
Q93088 Q5HY64
Q6P587 P04196
Q8WWY8 Q86VZ4
Q96RK4 Q5GFL6
Q6UXA7 Q15195
O14681 Q15527
Q6ZNB5 Q96S42
Q9UQ53 P13945
Q13442 Q8NCQ7
Q04844 O15446
Q5VWQ0 P62899
Q2KHT4 Q13066
Q9UPM9 Q6GMR7
Q86W34 Q58FF7
Q9H892 O95445
Q8NGF0 Q9BRQ4
Q8WTQ1 Q9BU40
P0C7T4 Q9NS71
Q06481 Q4LDG9
Q8NGT5 P47870
P08294 P34972
P16562 P49821
P23942 Q96P88
P39086 Q8NH56
Q8NGH7 Q9Y5E9
Q8IW03 Q9H0R3
Q5JXX7 O60810
Q15833 Q5M8T2
P01903 Q6P1K1
Q8NH49 Q99650
Q9Y263 Q5T0W9
Q9BTY2 Q96IG2
Q9BZW4 A0A0A0MRZ7
Q96R05 P13473
Q9BYG0 Q6ZMB0
Q99732 Q6PIV2
Q6ZR54 P49458
Q9Y2J8 O43921
Q9BQ13 O14810
P60014 P05120
Q8N146 O60830
Q11201 Q8N4K4
Q8TAG5 Q7L985
P59922 Q9BSN7
Q9UHD1 Q9Y639
P60328 P0DM35
P47985 P23327
Q9Y6U3 P86791
Q8TEZ7 P62487
C9JXX5 C9J3V5
Q15506 Q9NWQ9
P18075 Q96EZ8
Q9H892 Q8IV31
Q9NZJ0 P78556
P59090 Q9BSR8
Q96JJ7 Q14695
Q99435 Q5J8M3
Q96NY8 Q7Z4W2
A6NHG9 Q9Y226
P0DMM9 Q9UBY5
Q8NA31 P54852
A0A0C4DH72 Q701N4
A5D8W1 Q969E8
Q9BRJ7 O43914
P28221 P83876
Q9NSU2 P61326
Q3LI63 Q8N387
A2RU67 A6NHN0
P48029 Q96GL9
Q86UQ8 P34982
Q6ZVN8 Q9UN86
Q08257 Q9GZQ8
P46779 P36544
P18089 Q96EL3
P02671 A1L443
Q8WXC3 P46926
Q6ZMJ2 Q8NGL4
Q9NRJ5 Q7RTY9
P52756 Q96H22
A6BM72 Q9Y6Z2
Q9Y2C9 P58180
Q96F63 P30101
P29622 Q86XE5
P07919 P24593
Q9Y5F0 Q5TDP6
Q6PEX3 O75717
Q9UFV3 Q9NPP4
Q96JT2 Q8WY98
Q96DB2 Q9H3Z7
Q8NEV9 Q9P086
A8K7I4 P62502
O94772 Q8N616
O14494 O60810
A0A1B0GTR4 Q24JQ0
P08253 O60888
P0DKB5 P38117
Q9BZ98 Q16658
P06454 Q969E3
O75200 P31415
Q9H6Z4 P21754
A6NFN3 P08034
P05543 Q14681
O75952 Q8IXT5
Q8NHP7 Q9BY76
P11168 P01766
P0DN77 Q9BYQ6
Q86UU9 Q8N0X2
Q13477 Q15334
A0A075B6J1 P62829
Q6UW56 Q9NWW5
Q8NGP6 Q9UNQ0
A0A096LP01 P55283
O00400 Q6ZQY2
O76061 Q969J5
P0DN77 P05543
Q8N7S2 Q7Z7A3
A6NNL0 P58215
P07998 Q3LI73
Q8N8Y2 Q9HAT0
Q96PK6 Q969H0
Q9BRV3 Q9HBW1
P32322 Q9BQ49
O43447 Q92482
B3EWG6 Q9H3G5
Q6MZT1 Q6WRX3
Q495Y8 P0CG48
Q9HBJ8 Q8TDV2
Q9NRR8 Q8NGA6
Q8TBE9 P60328
Q8N4T0 Q8WXS5
A8K5M9 Q8NGF3
Q08AG7 Q99574
Q13021 Q9P232
Q16609 P11169
O60383 P0C2S0
Q9BVT8 Q8NCQ3
Q9P0P8 P17643
Q8WVE6 Q92959
Q0P641 Q9NZI7
Q5GH73 P05198
Q86XK2 Q06787
Q96EX3 Q86X52
Q12796 Q96QD9
Q5JSH3 O43612
Q9Y241 Q06055
Q8N819 P32119
A8MUL3 Q8NGS8
P34130 A2RUQ5
O75879 O75083
Q9BUM1 Q05048
Q9NPH3 Q9P232
Q8IZN3 P10153
P01037 Q9BWQ8
P27824 Q08174
Q8NGD2 Q969E3
O43934 Q9GZN7
Q8TD46 P26012
Q9Y5K2 A8MXV4
Q9P1P5 Q86Y26
P02747 P0C7N5
Q9BYQ5 Q5TEA6
Q5TGI0 Q8NI32
Q9BSG5 Q6UXV3
Q9GZQ4 Q6ZSV7
Q96N46 P0C7T2
P51787 P78410
Q4G0G5 Q8NGJ7
Q9H3U5 Q86Y28
Q9BTM9 Q10713
Q9NPH6 Q8NH90
Q9NX76 P00736
Q658L1 Q06330
Q86TV6 P25105
Q8NGR3 A8MTJ6
Q9BXJ9 A8MTZ0
Q9NYK5 Q9NUQ8
H0UI37 Q14952
Q9P2X0 Q5SSG8
P01583 Q7Z4R8
Q8N1N2 Q9H6H4
P50053 O95832
Q92636 P08294
Q96CG8 O43543
Q14940 Q8N4B4
O00154 Q9Y261
Q8IX30 Q8WWX8
Q4VX62 P13073
P12018 A8MWY0
P16035 P17677
Q5DX21 Q8N4V2
Q15777 Q9BSG5
Q9Y672 A6NDX4
Q9UIR0 Q9NVR7
Q8IW50 A0PK05
P0DKB5 Q6IBS0
Q6UWL6 Q8N386
Q14002 Q96P65
Q86VR8 P16050
Q9BR01 Q8WXA2
Q9BSA9 Q9Y2I2
Q86TZ1 Q9NPH0
Q86W25 Q8N5I9
Q495A1 Q3C1V1
Q96LD1 A6NH21
Q15459 Q96BH3
Q9NY56 P43003
Q07011 O00409
Q16557 Q9Y2U2
Q5BLP8 Q86V85
Q9H741 O15263
Q9NT99 Q86VQ3
Q9BYP9 Q96BJ3
O00124 P07477
O14618 Q969H9
Q8N0W7 Q9H2X8
P42701 Q86TU6
Q7Z5H4 Q6ZWK4
Q8NFQ6 A0A0G2JMD5
Q96LA9 Q9HAV0
A0A075B6R2 Q0VAA2
A0A0C4DH25 Q8N9N8
Q59GN2 Q9UQ49
Q9NYK1 Q99645
O43390 Q8TBZ9
Q3B726 Q96KN9
Q96PG1 Q9BVM4
Q8IYB0 Q5T6F2
Q9NQT6 Q9UBI9
Q15617 O94766
Q86SG4 Q9UKQ2
Q6N069 Q6NSI4
Q9UJK0 P43034
Q9UBU3 Q9BQJ4
Q13571 Q92521
Q15814 Q8IVU1
Q9Y639 Q96A57
Q9HBB8 P09131
P51511 Q13651
Q8WUR7 P53701
A6NF89 Q6P5X7
Q6UWB1 Q5H8A4
Q6IMI4 Q92754
Q4U2R8 Q16655
Q6ZQT0 Q9H3K2
P80297 Q8N0Z6
Q9ULM6 P63313
Q5T4T1 Q9HCJ6
O95256 Q9NRR8
P25063 Q7L9B9
Q6IQ19 Q75NE6
Q9Y3F4 Q6ZVU0
Q6UWN8 Q08AI6
Q86VD9 Q9BT04
Q9UHD1 P48169
Q99943 Q9UJC5
A6NKQ9 P34741
Q8N130 P21926
P20273 Q9UBQ0
P0DOY2 Q9BQ31
P24593 Q8NH80
Q96CJ1 Q9NV39
Q8NEM2 A6NL82
Q5MJ07 Q567V2
P60568 P41181
Q86VB7 Q13319
Q9HAY6 Q99678
Q6UVW9 Q9Y6U3
Q9H3C7 Q9UMX2
Q86XT9 Q6NXT4
Q9BVV8 P42261
Q8WXB1 Q08AM6
Q8WTQ1 O94772
O95158 Q96E09
Q99958 Q8NGY6
Q9H115 Q9NZK5
P0CK97 A8MTZ0
O43251 Q9UD71
P51684 P35637
P35542 A6NGU7
Q96FE5 Q9Y4C5
P0CJ75 A6NCV1
P62888 Q9C099
P54105 P28799
A6NF89 Q8NH61
Q9UKM7 P07498
Q14117 P33151
Q5TF39 Q15572
Q9Y297 P16930
Q05901 Q9BYT5
Q9UPZ3 Q9NTZ6
Q9Y3B8 Q9H4A6
Q96GK7 O43819
Q9UKX7 Q03135
P25929 Q8N349
Q5TEZ4 Q5K4L6
Q66LE6 Q9NPY3
P0C2W7 P59537
O95264 Q8TBE3
Q99442 O00501
Q8IXQ3 P09958
Q6EEV6 Q9BX40
P42696 Q9BT56
P04070 Q9NP78
Q6P087 Q86VY9
P21953 Q96GU1
Q13607 P52803
Q8TAF5 P15085
O75022 P48029
Q06643 Q06830
Q6RSH7 Q9BUL9
Q9UI09 Q92804
O43323 Q96L21
P0DPA2 O95834
Q9H8X9 Q5BKT4
Q01453 Q9BVC5
Q0VAK6 Q9P1F3
P35575 Q8IVL5
A6NGE7 Q9BXA5
O00337 Q86YC3
Q86UP0 Q6MZP7
P58294 Q8N323
Q96M53 Q9H2X0
Q9BQ89 P13762
P30405 Q6P050
P09341 Q15646
P35368 Q8NBS9
Q9P0I2 Q9Y5N1
Q9Y6B2 Q86SR1
Q16378 Q14940
Q6P050 Q9BUN8
Q9H5F2 Q96R47
Q96CD2 Q9HAV5
Q9H9R9 Q8NGQ1
P07359 Q6IPW1
Q9GZU5 P07148
Q86XQ3 Q96H22
Q8TBY9 P0DN37
Q96MG8 Q5T4H9
Q9NP73 P48051
Q53H76 Q8NHR9
Q9NPH0 Q8NGT9
Q16658 Q99518
Q5JU00 P07478
Q8NGP6 P55773
Q9BXH1 Q5VT98
Q3I5F7 O60779
Q01130 P20292
O43175 P32238
Q9H379 Q6UWM5
Q15398 A0A1B0GU29
Q8NI37 O75830
Q96MV1 Q06828
Q9HCE5 Q09327
P49788 Q8NFJ6
Q8NH53 Q9NX07
Q9UJA2 P22888
Q9Y256 Q6JBY9
Q96HP8 P48147
Q53HV7 Q8NBS9
Q96RS6 P09693
P0CE67 Q9HC23
Q7Z7H8 Q92777
Q99542 Q8N816
Q9BUB4 O75356
P35244 Q15124
Q13296 P47972
Q86SX6 P62273
P12318 Q9UL51
A4D1U4 Q9Y6Q6
Q8NFM7 P08476
Q9Y5X5 Q5T5A8
Q86UT6 Q9BWD3
Q8N4P3 Q92952
Q92847 Q8IVL6
Q9NR97 Q6PI25
Q9UGN4 O60636
Q9BU61 Q16854
Q14114 P60852
Q92754 P14209
Q7Z410 Q8NBI2
Q8NBI2 Q6IPU0
Q96DE5 G3V0H7
P51888 P54219
Q9HC97 A6NMZ5
Q96K37 Q9H2C8
Q8NBA8 O43462
P18825 P15531
P01889 Q8IX30
Q86VZ2 O75355
Q8NFJ5 O00217
Q99731 A0A0C4DH29
Q9NRX3 Q9UEY8
P19440 Q59GN2
Q9NW81 P07602
Q12887 Q14392
P35368 P55899
Q9GZV7 Q9UQ49
P04000 O60884
Q9NXS2 Q9H819
Q9BRA2 O75323
Q96DD7 Q9H0A8
O43597 A8MVA2
Q15046 Q8TED0
Q969M1 Q3MIW9
P0DP08 Q9ULY5
Q9ULM6 P10720
Q6ZSS7 Q9UHF4
P51608 P35659
P21917 Q9NRD1
O15551 P22528
A6NCL2 A0A096LNP1
Q15056 Q99727
Q9H112 P51674
Q9NZJ0 P28221
Q8TD35 Q5GAN3
P50225 P82664
A0A0G2JMD5 Q9BY50
Q8NGE0 P01730
Q8WWV6 Q5VTT2
A2VDF0 Q96KW9
Q9NWF4 Q9BSA9
P26599 Q15750
P99999 Q8IV77
P0C623 Q9BZS1
Q8NAT1 Q8NGX5
Q969X1 P56556
E0CX11 P51512
Q8WWG1 P23416
Q96L11 Q9BX95
Q6UXA7 P56856
Q9NS67 P01880
Q9Y5H2 Q9NXW2
Q01113 Q92633
Q8N7Y1 Q9Y580
Q96AG4 Q96FH0
O43610 Q9HC58
Q9Y324 Q9BVK6
Q9H2X0 Q96SE0
Q8IVL6 P0DMS8
Q15049 Q9H0Q3
Q9BXR5 Q12794
Q96DB9 Q969N2
Q8IXY8 Q86TV6
A6NML5 Q9Y5E8
P17213 P12104
P00995 O14763
Q8NHC7 Q8N3G9
Q08830 Q49MI3
P41146 Q96IR3
Q96T53 Q86W42
P07360 P0C7P2
Q9UBZ4 P12110
Q8NDY3 P05455
B1AKI9 Q8NI32
A6NGU5 Q9BY60
O15355 Q14657
Q9C0H2 P10515
A0A0C4DH32 Q96MP5
Q96AB3 Q9UBZ4
Q92561 Q7L273
A3QJZ7 Q01453
Q8N323 Q9Y6Z4
Q7Z5V6 P53701
Q5T700 Q96FE7
P32970 P0C880
Q92688 Q6UXM1
P51671 Q6PCB8
P12104 Q8NG85
P01213 Q5TA45
Q14126 Q5MJ07
O75715 O95807
Q15695 Q8NFZ4
P10147 Q9HBX3
P85037 Q8NGE5
O43462 Q96K78
Q7Z6W1 Q8NGP0
Q5T6F0 Q9Y2Q5
P17181 P83111
P03886 Q7L0J3
