Q9NQ79 Q15555
Q8IYD1 Q92900
Q9BXB1 Q9ULT6
Q8IW36 P50222
Q66K89 P39687
Q66K89 Q13547
Q8WVD3 O95967
Q9UJ71 Q96HH9
Q9NPG3 P54198
P42772 P11802
P42772 Q00534
P42772 P43364
P42772 Q9GZT8
P42772 Q13077
P42773 P11802
P42773 Q00534
P42773 Q9GZT8
P42773 Q04864
P42771 P11802
P42771 Q00534
P42771 Q6UXH1
P42771 O75398
P42771 Q00839
P42771 Q14566
P42771 Q8NHU6
O94972 Q86Y33
O94972 P53618
O94972 Q2TBE0
O94972 P26196
O94972 Q92993
O94972 Q96T60
O94972 O43663
O94972 Q9Y2D8
O94972 P57075
O94972 Q86UD4
O94972 Q8TAU3
Q5T3J3 Q13185
Q5T3J3 P45973
Q5T3J3 Q9Y2X7
Q96LX8 Q96Q77
Q5T7W7 Q9H2G9
Q5T7W7 Q9UKT9
Q5T7W7 Q04864
Q5T7W7 Q8N1B4
Q5T7W7 O95159
Q9UGC6 P49639
Q9UGC6 Q7Z417
Q9UGC6 P32242
Q9NPB6 P33151
Q9NPB6 P62993
Q9NPB6 Q92569
Q9NPB6 P41743
Q9NPB6 Q05513
P19447 Q8NHQ1
P19447 P18074
P19447 O00505
P19447 P62195
P19447 P54727
P19447 P98170
P19447 Q01831
Q8TBN0 Q2TAC2
Q8TBN0 Q6A162
Q8TBN0 Q7Z3S9
Q8TBN0 Q96QF0
Q8TBN0 Q9UPW6
Q8TBN0 Q6NT04
P08237 P17858
P08237 Q8IUQ4
Q96LZ3 Q12800
Q16515 Q9NRD5
Q16512 Q15834
Q16512 Q01850
Q16512 Q08379
Q16512 A6NEM1
Q16512 Q9NSC5
Q16512 P19012
Q16512 Q15323
Q16512 O76014
Q16512 P53778
Q16512 O15344
Q16512 Q9Y2D8
Q16512 Q13077
Q16512 P08670
Q9Y4K0 Q15910
Q9Y4K0 Q13547
P07197 P05412
P07197 P06400
P07197 P08670
O14939 P62993
O14936 Q12929
O14936 O14910
O14936 Q9Y2J0
O14936 Q9H788
O14936 Q13425
Q9UMS6 Q13418
Q9Y2K5 Q7Z3S9
Q9Y2K5 Q04864
Q9Y2K6 Q7L4P6
Q9Y2K6 Q8IYA8
Q9Y2K6 P36406
P37088 P51170
Q9UHY1 Q9Y3Q8
Q96MT4 P27658
Q96MT4 A8MQ03
Q96MT4 Q9H596
Q96MT4 P28799
Q96MT3 Q92997
Q96MT8 P53365
Q96MT8 Q49A88
Q96MT8 Q86XR8
Q96MT8 Q8IYX8
Q96MT8 Q9NRI5
Q96MT8 O60941
Q96MT8 Q15910
Q96MT8 Q8WXW3
Q96MT8 Q969G3
Q96MT8 Q99909
Q96MT8 Q9BSW7
Q96MT8 Q8TC07
Q96MT8 Q99816
Q96MT8 Q63HK5
Q96MT8 P40222
Q96MT8 Q8N3L3
Q9UNE7 Q96AP0
Q9UNE7 P31749
Q9UNE7 Q86WG3
Q9UNE7 Q99933
Q9UNE7 O95816
Q9UNE7 O95817
Q9UNE7 P07900
Q9UNE7 P08238
Q9UNE7 P11142
Q9UNE7 Q9Y2U5
Q9UNE7 P10636
Q9UNE7 Q96PB7
Q9UNE7 Q9BVN2
Q9BYM8 Q9Y6K9
Q9BYM8 Q96EP0
Q9BYM8 Q8N0S2
Q9BYM8 Q96PN8
P50895 O95198
P35240 Q4VCS5
P35240 O95835
P35240 Q16584
P35240 Q9H204
P35240 O14745
Q13588 P19474
Q6UY14 Q9BZE9
Q6UY14 Q8TAB7
Q6UY14 Q8IYR0
Q6UY14 Q9Y6H1
Q6UY14 A5D8T8
Q6UY14 Q9UBL6
Q6UY14 A8MQ03
Q6UY14 Q969U6
Q6UY14 O43559
Q6UY14 P23769
Q6UY14 Q8NEA9
Q6UY14 Q9Y223
Q6UY14 Q0D2H9
Q6UY14 P49639
Q6UY14 P25800
Q6UY14 P25791
Q6UY14 Q17RB8
Q6UY14 Q8WV35
Q6UY14 Q96PB7
Q6UY14 P32242
Q6UY14 Q96PM5
Q6UY14 Q92922
Q6UY14 Q6RVD6
Q6UY14 O75716
Q6UY14 Q92537
Q6UY14 Q15560
Q6UY14 O95985
Q6UY14 Q8IWZ5
Q6UY14 Q15654
Q6UY14 Q96PN8
Q6UY14 Q2TAL6
Q6UY14 Q8TAU3
Q6UY14 Q96SQ5
Q8NHV4 Q7Z4H7
Q9H788 O14936
Q9H788 P0C7W6
Q9H788 Q01850
Q9H788 Q8NHQ1
Q9H788 Q8TAP6
Q9H788 Q9UJU6
Q9H788 A1L4K1
Q9H788 Q08379
Q9H788 P62993
Q9H788 P14317
Q9H788 Q6NT76
Q9H788 Q13422
Q9H788 Q6A162
Q9H788 Q9BRK4
Q9H788 P43364
Q9H788 P43360
Q9H788 P50222
Q9H788 Q86Y26
Q9H788 P62136
Q9H788 P62140
Q9H788 O43586
Q9H788 Q6NUQ1
Q9H788 Q99961
Q9H788 Q86WV1
Q9H788 O94875
Q9H788 O60504
Q9H788 O75886
Q9H788 O75558
Q9H788 O75410
Q9H788 Q9UBB9
Q9H788 Q12933
Q9H788 P36406
Q9H788 P14373
Q9H788 Q5T124
Q9H788 Q8N6Y0
Q9H788 Q8N1B4
Q9H788 Q05516
O00268 O43889
O00268 Q9NS37
O00267 P50613
O00267 P62937
O00267 P63272
O00267 P54274
Q8N7U7 P54253
Q7Z3Z0 Q3SY84
Q7Z3I7 Q9H257
Q7Z3I7 Q68D86
Q7Z3I7 Q8NHQ1
Q7Z3I7 Q05D60
Q7Z3I7 A1L4K1
Q7Z3I7 O95995
Q7Z3I7 Q08379
Q7Z3I7 Q9BVG8
Q7Z3I7 Q6P597
Q7Z3I7 Q15323
Q7Z3I7 Q9BRK4
Q7Z3I7 P50222
Q7Z3I7 Q9GZM8
Q7Z3I7 Q04864
Q7Z3I7 Q13077
Q7Z3I7 Q12933
Q7Z3I7 P14373
Q7Z3I7 Q9BYV2
Q7Z3I7 Q9Y2K1
O60248 Q96LI6
Q96CS7 Q9Y6I3
Q96CS7 O75886
O95343 Q92570
Q13190 Q8N6L0
Q13190 Q9H9E3
Q13190 P43360
Q13190 Q13277
Q13190 Q12846
Q13190 P61764
Q13190 O75410
Q12982 P42685
Q12982 Q07866
Q12982 P50221
Q53G59 P54253
Q53G59 P46379
Q53G59 Q9BXJ5
Q53G59 Q6UXH8
Q53G59 P27658
Q53G59 Q13618
Q53G59 Q92997
Q53G59 Q86YD7
Q53G59 Q7Z6J4
Q53G59 O95198
Q53G59 Q8TBB1
Q53G59 Q00013
Q53G59 P09619
Q53G59 Q9UBV8
Q53G59 O00560
Q53G59 Q7Z614
Q53G59 Q8IV04
Q93100 Q13554
P28482 P28562
P28482 Q16690
P28482 P14921
P28482 Q02750
P28482 P27361
P28482 P35236
P28482 Q15256
P28482 Q15349
P28482 P51812
Q9UIB8 O14796
Q6ZW49 Q9UBL3
Q6ZW49 P16104
Q6ZW49 Q15555
Q6ZW49 Q15291
Q6ZW49 P61964
P17024 Q68D86
P17024 A1L4K1
P17024 Q9BVG8
P17024 Q15323
P17024 O76015
P17024 Q6A162
P17024 Q9BRK4
P17024 Q13077
O43913 Q13415
O43913 Q13416
O43913 Q9UBD5
O43913 O43929
P02746 P02745
O43918 Q9UER7
O43918 P16333
Q8TAB7 Q6A162
Q8TAB7 Q7Z3S9
P02749 P01130
O95967 Q9UBX5
O95967 P56524
O95967 P28300
O95967 P50222
O95967 Q7Z417
O95967 O75360
O95967 Q9BQY4
O95967 Q8WVD3
O95967 O43765
O95967 Q96EQ0
O95967 O75716
O95967 Q9UMX0
Q5HYW2 P54253
Q5HYW2 P45984
Q969K3 Q92624
P45984 P15336
P45984 Q13042
P45984 Q9C0F1
P45984 Q5JST6
P45984 Q96JM7
P45984 Q8TBB1
P45984 P50221
P45984 Q5HYW2
P45984 P34896
P45984 P40763
P45984 Q8IYF3
Q86WZ6 Q8NHQ1
Q8TD23 Q9Y4K3
P45983 P22681
P45983 P46108
P45983 P16104
P45983 P05412
P45983 O14733
P45983 Q9UQF2
P45983 P27986
Q9UHD9 P02745
Q9UHD9 Q9BXJ3
Q9UHD9 O00622
Q9UHD9 Q12805
Q9UHD9 Q9HBU6
Q9UHD9 O14964
Q9UHD9 Q00839
Q9UHD9 P48723
Q9UHD9 P24592
Q9UHD9 Q9UHB4
Q9UHD9 Q13200
Q9UHD9 P55036
Q9UHD9 P54725
Q9UHD9 Q13049
Q9UHD9 Q2TAL6
Q9UHD2 Q9UKV8
Q9UHD2 Q7Z3C6
Q9UHD2 Q9H6S1
Q9UHD2 Q13137
Q9UHD2 P08238
Q9UHD2 Q14164
Q9UHD2 Q9Y6K9
Q9UHD2 Q86YT6
Q9UHD2 Q96AX9
Q9UHD2 Q9NVV4
Q9UHD2 Q96CV9
Q9UHD2 O14730
Q9UHD2 P42226
Q9UHD2 A7MCY6
Q9UHD2 Q12933
Q9UHD2 P40222
P17482 Q13137
P17482 Q08379
P17482 Q9BRK4
P17482 Q15654
Q96I27 Q6A162
Q15256 P28482
Q15256 Q16539
Q96HC4 Q6A162
Q96HC4 Q15942
Q9Y6A5 Q9BZE9
Q9Y6A5 Q96Q77
Q9Y6A5 Q2M2Z5
Q9Y6A5 Q2WGJ6
Q9Y6A5 Q7Z614
Q9Y6A5 Q9NU19
Q9Y6A5 A5D8V6
Q13216 Q9HCS7
Q99684 Q13111
Q99684 Q13547
Q99684 Q9NQX1
Q99684 Q04206
P14618 P10398
P14618 P35222
P14618 P27361
P14618 P04049
P14618 Q9BSI4
Q9H568 Q9Y5P4
P63010 Q9UHB7
P63010 P52292
P63010 Q5SW96
P63010 P40692
Q09161 O95453
Q09161 O75150
O75385 P04629
O75385 Q9P2M4
O75385 Q9Y4K3
Q9NRY6 Q8NEC5
Q9NRY6 O75340
Q9NRY6 O75716
Q9NRY6 Q15645
Q15742 Q08117
Q15742 Q2TBE0
Q15742 Q96CN9
Q15742 Q96AA8
Q15742 P33993
Q15742 Q9UBU8
Q15742 Q14511
Q15742 Q7Z3S9
Q15742 O43189
Q15742 P40937
Q15742 Q9BT92
Q15742 Q8IUE0
Q15742 Q6DKK2
Q15742 Q8IZ13
Q8N7C3 O76011
Q8N7C3 Q86T24
O95503 P35226
O95503 Q9HCE1
O95503 P35227
O95503 Q3KNV8
O95503 Q06587
O95503 Q99496
P24394 P42226
Q4VC12 Q63ZY3
Q86YV0 Q7Z3Y8
Q9NS61 Q9NZV8
Q9NS61 Q9NZI2
Q16891 O60341
Q16891 Q9GZM8
P12755 Q6ZSG1
P12757 Q08117
P12757 Q9H4D5
P12757 O75716
Q03431 P35222
Q03431 O95872
Q9H963 Q6A162
Q9H6L4 Q9NYB9
Q9H6L4 Q9P2A4
Q9H6L4 Q5JST6
Q9H6L4 Q13422
Q9H6L4 Q9UKT9
Q9H6L4 Q8WZ19
Q9H6L4 Q15323
Q9H6L4 Q6A162
Q9H6L4 Q9BRK4
Q9H6L4 Q9P286
Q9H6L4 Q59EK9
Q9H6L4 Q8NA61
Q9H6L4 Q13829
Q9H6L4 P14373
Q9H6L4 Q8IWZ5
P13489 O00560
Q9P0N9 O95429
Q9P0N9 Q9H2G9
Q9P0N9 Q9UJC3
Q9P0N9 P08727
Q9P0N9 Q9Y250
Q9P0N9 Q9BRK4
Q9P0N9 Q8TD10
Q9P0N9 Q9BUZ4
Q8ND82 P83916
Q8ND82 Q13185
O14745 P15311
O14745 P26038
O14745 P09619
O14745 P60484
O14746 P35222
O14746 Q9BVP2
O14746 Q9Y265
O14746 Q92900
Q5TKA1 Q16254
Q5TKA1 P10244
Q96IK5 Q16543
Q96IK5 Q92993
Q96IK5 O15344
Q96IK5 Q2TAL8
A1A5D9 Q6P597
Q86TG7 Q13137
Q86TG7 Q8IUQ4
O14508 P19235
O14508 P10721
P55291 O43765
Q96C00 O60941
Q96C00 Q92630
Q96C00 Q14847
Q96C00 Q14566
Q96C00 Q9UBU8
Q96C00 Q8TAD8
Q96C03 O00429
Q96C03 Q9UMX0
Q3MJ62 Q12933
Q969X6 Q9H8H0
Q969X6 Q8TED0
Q969X6 Q15061
Q674X7 Q9BRK4
Q13107 Q13546
Q13107 P19474
Q9Y2V7 Q86YD7
Q9Y2V7 O95995
Q9Y2V7 Q63ZY3
Q9Y2V7 P47897
Q9Y2V7 Q05516
Q12874 O75478
Q12874 Q86WT6
Q12874 Q9UDV6
O95171 Q08379
O95171 Q9BVG8
O95171 Q13287
O95171 Q9BZW7
Q96CV9 Q9UJX2
Q96CV9 Q8IYU2
Q96CV9 Q00013
Q96CV9 O75360
Q96CV9 Q14BN4
Q96CV9 Q9UNH7
Q96CV9 Q13501
Q96CV9 Q8TC07
Q96CV9 Q9HA65
Q96CV9 Q9UHD2
Q96CV9 Q15025
Q96CV9 Q8IUH5
Q96CV9 Q86UD4
Q96CV9 Q8TD17
Q96CV9 Q9BUY5
Q96CV9 Q9BS34
Q6IQ32 P83916
Q6IQ32 Q13185
P41219 P17661
P41219 P02533
P41219 P08670
O00522 O14713
P17676 P18848
P17676 Q16520
P17676 P49715
P17676 P53567
P17676 P35638
Q9Y3C5 Q9UJY5
Q9Y3C5 Q96J02
Q9Y3C5 P47897
Q9Y3C5 Q9HAU4
Q9Y3C5 Q86VP1
Q9Y3C5 P21580
Q9Y4D1 Q5T0N5
Q9Y4D1 Q9ULD6
Q9BXL7 P48729
Q9BXL7 Q9UDY8
Q9BXL7 Q05655
Q9BXL5 Q13363
Q8N1K5 P62993
Q8N1K5 P06239
Q8N1K5 P29350
Q8N1K5 P43403
Q02446 Q13444
Q02446 Q96Q77
Q02446 P27658
Q02446 Q8TAP4
Q02446 Q9HAT8
Q02446 P14859
Q8TC20 Q13515
Q8TC20 Q96RD9
Q8TC20 Q9NUY8
Q8TC20 P09493
Q8TC20 Q8N3L3
Q9NPI6 O95429
Q9NPI6 Q8IZD4
Q9NPI6 P26196
Q9NPI6 Q14192
Q9NPI6 Q92636
Q9NPI6 Q92900
Q9NPI1 Q9BUJ2
Q9NPI1 Q9H8W4
Q92529 P05067
Q92529 Q08379
Q92529 P10721
Q92529 Q15323
Q92529 Q6A162
Q9UI26 Q14240
Q7Z6J4 Q53G59
Q7Z6J6 O60716
Q7Z6J6 P18084
Q05397 P56945
Q05397 P46108
Q05397 P46109
Q05397 P29317
Q05397 Q14451
Q05397 Q92569
Q05397 P49023
Q05397 Q9NP31
Q05397 P12931
Q05397 O43294
Q14247 Q9ULH1
Q14247 P50570
Q14247 P18031
Q14240 Q9UI26
Q14240 Q53EL6
Q14240 Q9Y2D8
Q14240 Q9NQ86
Q14240 Q9HCM9
Q14241 Q8NHQ1
Q14241 Q96AA8
Q14241 O95198
Q14241 Q6A162
Q14241 O00444
Q14241 Q8NA61
Q14241 Q9BYV2
Q8IWX8 Q9NQ29
Q8IWX7 P08238
Q8N6P7 Q08334
O43699 Q14192
Q7RTN6 Q15831
O94955 Q5T124
Q14061 Q9BW62
Q9BTA9 Q6P597
Q9BTA9 P19012
Q9BTA9 Q16236
Q9BTA9 Q8TDW5
Q9BTA9 Q13077
Q9BTA9 Q9Y228
Q68E01 O60934
Q68E01 O43829
P48995 Q13563
P48995 Q13586
P25445 Q9UER7
P25445 P29590
P25445 P12931
P25445 P07947
O14910 O14936
O14910 Q08379
O14910 Q13368
O14910 Q8N3R9
O14910 Q9NZW5
O14910 Q5T2T1
O14910 Q7Z3S9
O14910 Q15942
Q16799 O00560
O43711 Q2TAY7
O43711 Q96M29
Q2QGD7 P33076
Q2QGD7 P61964
Q2QGD7 P98168
Q9NR21 Q8N9I9
Q9H1D0 P18031
Q9BUY5 Q96Q77
Q9BUY5 Q9BRK4
Q9BUY5 Q96CV9
Q9BUY5 Q9BZW7
Q9BUY5 Q9UHP3
P27448 Q8WXK3
P27448 Q15560
P11142 P60709
P11142 Q99933
P11142 O95816
P11142 Q9NZL4
P11142 P05412
P11142 P00338
P11142 P14598
P11142 Q9UNE7
P11142 P61764
P11142 O00635
P20774 P46108
Q8TBB1 Q96HD9
Q8TBB1 P09972
Q8TBB1 Q8N5M1
Q8TBB1 Q8WXE1
Q8TBB1 Q9BXJ1
Q8TBB1 Q86XM0
Q8TBB1 P83916
Q8TBB1 Q68D86
Q8TBB1 Q96M63
Q8TBB1 Q8IYA8
Q8TBB1 Q9P209
Q8TBB1 Q96Q77
Q8TBB1 P49760
Q8TBB1 Q96FN4
Q8TBB1 O75553
Q8TBB1 P35638
Q8TBB1 Q92841
Q8TBB1 Q92785
Q8TBB1 Q9NXK8
Q8TBB1 P31150
Q8TBB1 O75791
Q8TBB1 P62993
Q8TBB1 Q4V328
Q8TBB1 Q6NT76
Q8TBB1 Q9NP66
Q8TBB1 Q9NSC5
Q8TBB1 Q9BT40
Q8TBB1 Q719H9
Q8TBB1 Q8WZ19
Q8TBB1 Q8NC69
Q8TBB1 Q7L273
Q8TBB1 Q53G59
Q8TBB1 P19012
Q8TBB1 Q13094
Q8TBB1 Q96M61
Q8TBB1 P45984
Q8TBB1 Q96QG7
Q8TBB1 O95544
Q8TBB1 O43639
Q8TBB1 Q8N987
Q8TBB1 Q7Z6G3
Q8TBB1 Q9HC98
Q8TBB1 Q7Z3S9
Q8TBB1 Q969R2
Q8TBB1 Q9H4L5
Q8TBB1 Q9UJX0
Q8TBB1 P62937
Q8TBB1 P31321
Q8TBB1 Q9Y620
Q8TBB1 O75679
Q8TBB1 Q6ZNE9
Q8TBB1 Q9Y230
Q8TBB1 Q9BV90
Q8TBB1 P12931
Q8TBB1 Q6ZMT1
Q8TBB1 Q5QJ74
Q8TBB1 Q13077
Q8TBB1 Q12933
Q8TBB1 Q9HCM9
Q8TBB1 Q9BYV2
Q8TBB1 Q15645
Q8TBB1 Q53H54
Q8TBB1 Q99816
Q8TBB1 Q96PN8
Q8TBB1 O43167
Q8TBB1 O43298
Q8TBB1 Q9NTW7
Q8TBB1 Q9UDV6
Q8TBB1 Q9P0T4
Q8TBB1 O00488
Q8TBB5 Q8TAP6
Q8TBB5 O60341
Q8TBB5 O43463
Q8TBB5 Q9H5I1
Q8TBB5 P54274
Q13563 Q6A162
Q13563 P43361
Q13563 O15162
Q13563 P48995
Q13561 P0C7W6
Q13561 Q9C0F1
Q13561 Q9NRI5
Q13561 Q9BVG8
Q13561 Q9UPY8
Q13561 O75340
Q9BWJ2 O76015
Q8NE63 Q92624
P78317 O75360
Q9BYU1 O94829
Q9BYU1 Q9NRD5
Q9BYU1 Q9UBB9
O00203 Q9Y496
P07947 P10275
P07947 Q9H5V8
P07947 Q13480
P07947 P10721
P07947 Q9H204
P07947 Q9GZT8
P07947 O14543
P07947 Q12933
P07947 Q9Y4K3
P07947 Q96BR9
Q9Y473 O43586
Q96C92 P26196
Q96C92 O00560
Q96AQ6 P49069
Q96AQ6 Q9UER7
Q96AQ6 Q9H4E7
Q96AQ6 P03372
Q96AQ6 Q9UBU8
Q96AQ6 O43765
P06865 P07686
P15311 P07384
P15311 P07332
P15311 Q00987
P15311 Q8IZE3
P15311 O14745
P07686 P06865
Q12968 P04049
Q86XM0 Q8TBB1
Q13239 P09619
P25205 P49736
P25205 P33992
P25205 Q14566
P25205 Q13416
Q6P9F7 Q8IWT6
Q6ZW61 Q8TAM1
Q6ZW61 Q8IWZ6
Q6ZW61 Q3SYG4
Q6ZW61 Q9NPJ1
Q8NI77 Q9UJX5
Q9BXF6 Q9Y496
Q9BXF6 Q96RF0
Q9UKV8 Q9UL18
Q9UKV8 P26196
Q9UKV8 Q96C10
Q9UKV8 Q02790
Q9UKV8 Q9BVP2
Q9UKV8 O15397
Q9UKV8 Q6IQ23
Q9UKV8 P63244
