Q14746 Q96MW5
P35475 Q9NX20
Q9NPI8 Q8IUQ0
P36954 P54098
P49736 Q9Y399
Q9UPV9 P47874
P16383 Q9NVV4
P03372 Q99551
Q64ET8 Q96IV0
P52701 Q9NVV4
O96019 Q9P2W6
P52657 Q9NX20
P36954 Q9HCN4
Q9Y675 P62495
Q86V15 Q16698
Q9BV90 O60760
O00311 P32929
Q8TCE9 P47874
Q09472 O95786
Q86WB0 Q9NX20
Q9HAW0 P51580
B2CW77 P48735
Q14186 Q9BY32
Q5XKR4 P21695
O94906 P54098
O76039 O75936
Q8NFW8 P33402
O94906 Q9HCN2
Q00577 P39023
Q09666 Q9P2W6
Q8WWL7 Q9HD40
Q96PN7 Q6NUP7
Q9UL03 O00411
Q6P2C8 Q9HBU6
O43913 P27708
Q03181 Q8N3C0
Q92989 O60760
Q92908 P20807
O00716 P15374
Q7Z5Q5 Q9P2R7
P10827 P14324
P52701 O75891
Q5THR3 Q8NFG4
Q13029 P51857
Q5XKR4 P83881
Q13416 Q9HD40
