Q14683 P43246
O75145 Q8ND30
P47902 Q9UJU2
P17706 Q14974
Q71U36 O14512
Q9BTA9 Q9NRR5
Q8WXE9 P21579
P27361 P05412
O00178 Q07954
Q9P202 Q13402
Q13163 Q9Y2U5
Q15714 Q9UQ03
O60749 Q13596
P14625 Q07954
O60941 Q96A04
Q15811 Q12840
Q14449 P09619
P10276 Q9Y618
O75084 Q5TCQ9
Q05655 P35612
P38398 Q9HAW4
P33992 Q13415
P24941 P10244
P63010 Q7Z3B4
Q9NP84 O00463
P10827 P28702
Q9Y5K6 P27986
O43491 P42261
Q9Y4H2 O15524
P17612 P41240
Q8N556 P68133
Q9NRW4 P45985
O43818 Q9HCE7
P17252 P10276
O43318 Q9Y4K3
P17612 P25054
P15408 P17275
P48436 P16220
P35222 P55291
P46531 P98170
Q9BY66 Q9BYE7
Q15303 Q92796
Q07866 Q13387
Q15645 Q96JB6
Q12805 P10398
O60244 P35609
Q15788 Q92793
P06493 P49418
Q16520 P05412
Q9UJY4 Q00610
Q04206 P35251
P45983 P17535
P31749 P51617
P98160 P17301
P11362 Q92793
Q9UBJ2 P33897
P40189 P40763
P30530 P62993
Q9NZU7 Q14573
O14936 Q12929
Q9UPN9 O15164
P14317 P68133
Q9UHI6 P41162
Q16539 P14598
Q99558 O95163
Q9H6I2 P35222
Q96QT6 Q96ST3
Q14134 O15344
Q00535 Q12879
Q96RT1 O00192
Q13045 P03372
P16144 A8K7I4
Q02952 P17252
P31749 Q99683
Q9P0L2 P11137
Q5FBB7 Q15172
P43403 P29350
P33991 P25205
Q9BUZ4 Q9Y6R4
P10828 P48552
P20396 P16870
Q70YC5 Q9NXR1
Q99075 P16070
P06396 P05067
Q96JB2 Q14746
Q12931 P19438
O75886 P40818
P61158 P12830
P28289 P20929
Q12866 P61968
O14543 P07333
Q9H190 O00560
Q14686 P11387
P17612 Q00536
P10275 P03372
O14939 O00499
P16234 P05106
P28482 Q05469
P25391 P05556
Q9NR82 P12931
P05129 P04004
P03372 Q6PML9
Q96R06 P06493
O75553 P19174
Q5T8A7 O75691
P54259 Q3KQU3
P06239 P16885
Q15785 P55072
Q92831 P50549
Q15466 P03372
P62166 Q86UW9
P24394 O95376
Q96EV8 O95295
O43823 P49736
P40938 P35251
Q9UBC2 P52594
P07196 Q96SN8
P57775 Q13616
P45983 P23443
P17676 P09429
P45452 P02458
O00141 P16220
P31749 P04049
P05771 O15111
P16885 P17948
P14923 P15924
P45984 Q9UIA9
Q9BXA6 P08238
Q5VT25 P53667
Q12933 Q15398
P02452 Q02388
Q9Y5P4 Q9NQC3
Q86YM7 P39086
Q32MZ4 Q13045
Q96MU7 P42681
O14508 P19235
O76061 Q8TER5
Q14161 P49023
P51617 Q16539
P49790 P52292
P50479 Q15654
P07359 P14770
Q04206 P42224
Q9UBS8 P03372
P05412 P41182
P35052 P39060
Q9UHD2 P08238
Q15466 Q9UHI6
P11362 O43639
P23469 P06241
P48643 P60709
P01160 Q9NRR5
P12931 P42681
O43572 Q5T2W1
P11473 P42224
Q9HCK4 Q08945
O60343 Q96SN8
P55072 Q9UBN7
Q7L2E3 Q13547
O15294 P08047
P25963 Q99759
Q9H7L9 Q13547
Q08752 P54257
Q9Y5X1 Q07889
P51956 P52735
Q9BQY4 Q96JH8
Q7L2E3 Q09028
P40424 P14653
P30291 P06493
Q14451 P07949
Q14839 Q13535
O00151 P12814
P28482 Q07889
P42229 Q02763
P15509 O15111
Q86Z02 P52952
P32243 P54253
Q16363 Q6VMQ6
Q05513 P06241
P30622 P42345
P24071 P11912
P36896 P13385
P25205 Q14566
P27986 P07949
P48357 O60674
Q13356 Q9BZJ0
P30153 Q15172
P11021 Q9GZR7
O14746 Q04206
Q8WV28 Q08881
P37173 P36897
P05362 P15311
P51451 P12318
Q6W2J9 Q13547
Q9Y613 Q9UIQ6
P26447 P46379
Q9P2S2 Q9GZR7
P49902 Q9BVI4
Q9UBD5 P33993
Q86UR5 P60880
Q7Z6G3 Q9BVI4
Q03701 P18627
P16298 P57103
Q96CS4 Q00839
Q9GZV5 Q15599
Q13557 P42224
O43255 P43146
Q9H0C5 P11387
P35442 P14780
P80108 P02647
O00192 P55291
Q96L34 Q15831
P09619 P12931
Q8TEL6 Q13546
Q9Y4K3 Q9C0K7
P98174 Q14247
P11532 Q13424
P06756 P05556
P09914 O14879
Q14289 P15498
P51610 P11161
Q7Z7K2 Q14765
Q9HAU5 P78559
Q9Y297 O15169
Q15596 P33176
Q05655 Q16820
Q92831 P12814
P15509 P32927
Q8WYH8 Q99728
Q13642 Q06587
P49796 Q8WXI2
P07949 P27361
Q12913 P09619
Q9Y383 Q6VMQ6
P11802 P35249
P49841 P19838
Q8IVH4 P22033
Q969H4 Q7Z569
Q9HCE7 Q8NAP8
P01100 P35638
Q93008 P35222
P10515 O00330
Q9UNS1 O15055
Q13002 P35222
Q16621 Q9H0M0
Q96K83 P15976
P52292 Q15653
Q92793 P41240
Q96RK4 Q15154
Q9Y4K3 O14545
Q9UBL3 Q9HCE7
Q13287 O14964
Q02410 Q00975
Q6VMQ6 Q9NRI5
P56199 Q9Y490
O95793 Q92900
P15822 Q92979
O75182 Q9UKV0
P13611 P16070
P61201 Q93034
Q99741 Q13416
P55055 P28702
Q13285 P05412
Q9H0K1 P35568
P15498 Q13885
P12931 P08069
Q9Y446 Q02487
Q16236 O60675
Q969H0 P46531
Q06124 O60674
Q9Y2I6 Q6UWE0
Q92973 P52948
Q15149 P16144
Q92556 P08631
O95424 Q8NBJ4
P48059 Q96KQ7
P68371 O43261
P25098 P01133
P19525 Q15723
Q99612 Q12789
P67775 Q13362
Q8TEQ6 Q9UHI6
Q13042 Q9UJX2
Q10567 Q00610
Q8TEL6 O15111
Q8N2W9 P08670
Q9UPT6 Q16584
Q9BX66 P18206
Q08211 O60502
Q13131 P42345
O15055 O15534
Q96J02 P54259
P52333 P35568
O14713 P98164
O94855 Q15437
P07359 P11215
Q12933 Q9BZY9
P14784 P29350
O60381 Q08999
Q9P2H0 P42858
P07949 Q13191
O14492 Q06187
P42330 Q5T3J3
P11171 P68133
Q9ULT8 Q8N6C5
P07948 P31994
Q14451 P06213
Q9ULH1 P12931
Q99933 P09619
P41567 O95897
Q99972 Q7L5Y9
O00470 P31276
P48357 Q06124
P51531 O94906
O00499 P39880
P54253 P28676
Q13137 Q14296
P06401 Q15788
Q8TEW0 P41743
P16284 P15924
P51610 P05412
Q02779 Q13885
P14780 P16070
Q14203 P30622
Q9UHJ3 P78364
P01100 P42224
Q8IWV7 O43261
Q9HBG4 P08237
Q86UR5 Q16623
Q13564 P05067
P14859 P48431
Q9NQC7 Q6Q0C0
O43525 P56696
P06493 Q92574
O75955 P06241
O15530 P31749
P32856 Q9H2B2
P78413 P10276
O60674 P07332
P16112 P10915
Q16576 P06400
Q9BQY4 O14641
O15264 O00418
Q15582 P08123
P12757 P14543
Q8WUH2 P36896
Q8N5V2 P54764
Q9HAU4 P12757
P06493 P47736
Q12933 Q9NRR5
Q13191 Q9H8Y8
P04049 P06239
Q14831 Q71U36
P17948 P62993
P35548 P49715
P12931 P08887
Q6XZF7 Q96F07
P13497 P20908
P00533 P18031
Q15303 P29279
Q96CN9 Q9Y2J4
O95219 O00499
P10828 Q9Y6Q9
Q99959 Q02487
Q05655 P00533
P54253 Q96RN5
Q9UBU7 Q13416
P51531 P38398
P68400 Q6VY07
Q9H3M0 Q8TDN2
O76041 P12814
P06493 O15350
Q53EZ4 P28482
P05976 P68133
P07384 Q01082
Q9BRC7 Q9UI26
P07333 P62993
P20936 Q96BD6
Q5TD97 Q14192
Q9Y6X2 P40763
Q12923 P08138
Q71U36 P43405
P16144 Q9UMD9
P06493 P20700
Q05193 Q99961
Q00059 P00491
P25098 P12931
Q9HC77 P11171
Q8NDB2 P07948
O15360 P51532
Q9UKE5 P06396
P49841 P12830
P23258 P27986
P12931 Q92731
O43913 Q13415
P54132 P40692
Q6IA17 P14778
Q07157 P35221
P15976 P25791
O14543 P00533
Q99836 O43791
Q04759 P35568
P22736 Q9HCE6
O00459 O15524
Q13547 P25963
Q12923 Q9HB21
Q15678 P12830
P22681 P15391
Q8WV28 Q96B97
Q12959 P60484
O43913 Q9UBD5
Q9Y4K4 Q12933
P54764 P11362
O75563 P36897
P52630 Q92793
O43707 P15313
O94972 O43663
P18847 P05412
O43318 P98170
P08047 P10589
Q9HB75 Q8WXG6
P11532 P08727
Q9NRM7 Q13188
O14787 Q9UBU9
O75530 P26010
P98161 P17661
P09958 Q9H013
P49674 P56645
O00470 P35452
P05362 P11215
Q9BWT7 Q9Y6K9
Q99952 P12931
Q9ULB1 Q9H2B2
Q9Y572 Q12933
Q9Y5C1 P08648
Q9H9Y6 Q15653
Q53TS8 Q15834
P48736 P25098
P35070 P04626
Q9UQC2 P16885
Q9Y4H2 P24394
Q15642 Q68EM7
Q9NYK1 Q99836
P29400 P07585
Q9UK73 O14727
Q9UQM7 P23677
Q9Y2I1 O14654
Q06455 Q7Z6G3
Q13393 P61764
P22670 P09429
Q99952 Q13480
P17252 Q9NQ66
P48552 Q13547
P43403 P15498
P06401 Q9Y6X2
P53567 P55198
Q9NRD5 P78348
P42680 P48426
P43405 Q92918
P19174 P15498
P51843 P61201
P30154 Q13547
P08631 O60496
P31749 O14492
O15211 O95251
Q16543 O15111
O14639 Q9BUH8
O60603 Q9UPT6
P38398 P25490
Q13332 P18433
P07585 P53420
Q8TD08 O43294
Q92585 Q04721
P30626 Q13936
Q9NRX2 Q99698
P35968 P29350
Q03014 P05412
P35221 P19022
Q13177 P62993
P12931 O43184
Q13115 Q16539
O14908 O14786
Q14680 O75533
P38398 P68366
Q7L591 P06239
Q15596 P35222
Q9BVI4 Q8N6Y0
P54259 P98164
P30530 Q06124
Q07960 P27986
Q06330 Q13547
P42224 Q16539
Q13277 Q15833
P11473 P09769
Q9BXI6 Q15599
P27361 P51452
P23458 P16234
P46108 P27986
P17252 P04049
O14511 P21860
P45973 P12956
O14964 P54257
Q9Y2J2 Q9UHC6
P60880 O75558
Q08629 P50281
Q15648 P03372
Q09472 Q86Y01
P08670 O00255
P53992 Q15437
Q86SG6 P36897
P35568 P04629
Q12933 Q9UKG1
Q12851 Q16584
P27986 P16234
Q92796 Q14957
Q15276 P49815
Q92624 Q969V5
P09874 Q04206
P45983 P28482
Q9BX66 Q01101
P28482 P19438
Q9NZR1 P06753
P46937 O15350
P50458 Q9NVW2
P11362 P19174
P07948 P10721
Q15475 Q04724
Q9P2R6 Q12805
Q9NPB3 P63098
Q9ULH1 Q14289
O00571 P37198
P62140 O60237
P19474 Q9GZT8
Q92793 Q9Y692
Q04206 P40763
Q15154 Q9P209
P25440 Q01094
Q9UGI8 P12814
Q9Y566 P51812
Q9NPY3 P02462
P46940 P12830
O00238 O95747
P10828 Q15652
P30154 Q04206
P20916 Q14055
P40763 Q99062
P60709 P68032
Q9H4Z3 P24928
Q9BTW9 O95424
Q06187 P78356
Q969H0 Q99466
P42566 P46934
Q9Y3C5 Q6ZVM7
P61764 Q00535
P32927 P43405
P28482 P42702
O60437 Q92817
Q12967 P55196
P46934 P37088
Q96JH7 P55072
Q99665 O60674
Q15831 Q9P0L2
Q05586 Q13224
Q9UKT4 Q12834
Q92783 P23458
Q13349 P32942
Q9H4A3 Q9Y2U5
Q9UBN4 Q14573
Q8IYF3 Q9UNH6
Q9HCE7 Q9Y3F4
Q12860 Q04721
P58546 P19838
O94806 P49840
O00308 P08887
P41180 P21333
P12757 Q14789
Q96SB4 Q99590
Q16539 Q9H1K0
Q00839 P43405
P07996 P08253
Q9NVC6 Q15528
Q16513 P16333
Q96BD5 Q9P0W2
Q05655 P42336
O00238 Q14D04
P41235 P48552
Q96A23 P12757
Q969S8 Q9Y618
Q99952 Q13017
P29083 P19447
Q9H4P4 P40818
P51911 P0DP25
Q92997 Q969G9
Q99653 Q9UBY0
Q09028 Q02447
Q9Y4K4 P11274
Q13464 P35611
Q9HBA0 Q14244
Q12791 P78559
Q14676 Q12888
P56524 Q66K74
Q13424 Q14524
Q9UIG4 Q92817
Q8N4C8 P68363
P35606 Q9NTJ5
Q7Z465 Q07960
P17706 P56199
O75553 P05106
Q8N2W9 P07196
P20701 P32942
Q6UW01 Q8IUK8
P21802 O96013
P21333 P26010
P62993 P06241
Q9Y5B0 P84090
Q96PM5 P10275
Q14847 P68133
Q9UJX4 Q9HAU4
P05771 Q99418
P03372 P34932
Q05586 P63151
O14978 P57086
P62508 O94989
P80108 P06727
Q01082 P11171
Q13137 O95251
P04350 O95793
O14796 Q9HBG7
Q9H1B7 P08631
Q14683 P09884
P28482 Q9BY84
P51888 P02751
P52701 P43246
P40238 Q06124
Q8TEW6 P12931
P46109 P12314
Q92624 Q9BT88
Q9HBE1 P78317
O15151 P06400
Q96T23 P19838
Q02817 Q9Y4G2
P24468 Q9H422
Q02156 O75689
P36957 O95376
Q13042 P12757
Q8WXI9 Q9UBB5
P56693 Q01860
O75582 P05114
P05771 P26010
P42330 Q9UKY1
Q9ULV8 P62993
Q8IYF3 Q9P218
P23760 Q9GZV5
P48443 P10827
Q13033 P63151
P07101 P28482
P06241 P14784
Q12965 P60709
Q9NPI1 Q12923
Q96GD4 Q9H0H5
Q06455 Q13547
P24928 Q9UKF6
Q13224 Q13557
Q12905 P78527
Q92560 P38398
Q13813 Q9GZR7
Q15700 Q9NZ94
O14776 Q8N2W9
O15379 Q09028
P31749 P13645
Q13547 O43683
P46379 Q8IZL8
Q13163 Q05513
P17482 Q09472
P09493 Q13563
Q9UJY5 Q92673
P26358 O75530
Q9NRA1 P16234
O75369 P05556
P08253 Q15726
Q96AX1 Q9P253
P33151 P08670
P03372 P10828
Q86Y01 P62993
P35240 P05556
Q8IYB4 P04049
O43581 Q12846
P08670 P17612
O14980 Q13415
O14594 P13591
O75791 O15156
Q53GL0 P68400
Q16799 Q9H8W4
P62495 P15170
Q09472 Q9UJU2
P06729 P19256
O14796 Q13291
Q15650 P03372
P21675 Q04206
Q16539 P05787
O00622 P06756
Q8IYW5 Q96MP8
Q8NFH8 P62993
Q08174 Q6VMQ6
P19174 P10721
P02549 P35611
O94829 P26367
O75052 O14994
Q92793 O95359
P19878 P05109
P28676 P30626
Q13873 P05771
P30153 P06493
P54284 Q00975
P09619 P62993
P24941 P38398
Q9BPU6 P07332
Q93008 P55196
Q93009 Q13077
O14593 P33076
Q00653 O00255
Q12933 P41279
P12931 O60496
Q07889 P06241
P28482 P36956
P53618 O94972
P27986 P15311
O43426 O00499
Q13416 P33993
Q9HC77 P51692
P30153 O15399
Q8TD08 P04150
O60568 Q96KQ7
P21860 P21333
Q9Y2I6 Q9BUY5
P26367 Q9NSC5
P10589 Q96JE9
O15350 Q96J02
Q9BSW7 Q9Y3Q8
Q86VB7 P35579
P18031 P12931
Q99704 P16333
Q15654 Q96I34
P68366 P43403
P48436 O75444
P40189 P29597
O15350 P45983
Q15648 P19793
Q99653 P19634
Q12933 Q15560
Q13555 P17600
P26022 P02745
P61201 P10589
O75800 Q9Y3Q8
Q92831 P22736
P78527 P07948
Q86VF7 P60709
P78368 Q9Y5P4
Q00722 P52564
P12830 P10586
Q9UPT6 Q02750
P10242 P29590
O00444 P36897
Q13042 O60566
Q06187 P15391
P08253 P17931
P27361 P51812
P29350 Q9Y4K3
P49754 O14617
Q16539 Q14765
O60343 Q8NEY1
Q13535 Q01094
Q9Y2W2 P36873
P63244 P32927
Q9H2B2 O43765
P04629 Q13501
P14222 Q9GZR7
P27986 P19022
Q9Y371 O43426
Q92989 Q9UKF6
Q8IZD9 P46108
Q92734 Q9P2H0
P17706 Q02790
Q96T23 O60264
P62993 P21854
Q12959 Q15303
O43150 Q14289
B1AK53 Q9UQB8
P03372 P49815
Q13424 P62736
Q9NZQ3 P05556
P55072 Q14191
Q99708 P28749
P10827 P10589
O60716 P28827
Q9NNX6 P13688
O95163 P42858
Q13588 P10721
P27361 Q9ULV5
O95251 Q8WZ19
P09104 Q00613
Q93009 Q5VTB9
P12931 P19793
Q13332 Q8IWV7
Q8IWK6 Q12959
P17612 P47736
P25391 P05067
P40426 P17481
P17612 Q07954
Q15834 Q8NHQ1
P06213 P29350
P25205 P42224
Q96A23 P53041
P18031 P28482
P53539 P17535
P29350 P22681
Q99961 P85298
Q92736 Q14643
O15287 Q8N6K7
Q9NPP4 Q9HC29
O15360 P06493
O75366 P46108
Q9H0M0 Q9Y5W3
Q9Y2U5 Q16513
P24821 P23467
O75665 Q9P2H0
Q8IWV7 Q9BX70
Q9NZQ3 Q14155
P02545 Q70J99
P21333 P16581
P78559 Q13885
Q92841 Q13547
P08581 P15498
Q5SW96 P05067
Q9NRA8 P60228
P45983 Q9NS23
Q13751 P13497
Q8TF42 P22681
Q86X10 Q2PPJ7
Q96T51 P29320
Q16099 Q13002
O14777 P35998
Q9NPB6 Q05513
Q96QZ7 P20936
O00186 Q15833
O15083 Q9Y6V0
P04150 P0DP25
Q6UWZ7 P38398
Q14012 P18846
Q92793 Q14192
P98095 P02751
Q15124 P46939
Q13501 Q14449
P68400 P46060
O00291 O14727
P68104 P0C0L5
Q15654 P49023
Q9UH73 Q02548
Q9P2E8 P01730
Q6UVK1 P02745
Q9Y618 P13631
P27986 P23458
P51693 Q9UN74
Q14157 P48634
Q9BUH8 O60941
Q8IVI9 P29474
O60664 P11717
P16220 Q13627
Q96SL8 P54845
Q96NE9 Q9Y3Q8
Q9Y6A5 Q9UNY4
Q92870 Q9HCE7
P28482 Q8NHW3
O00238 Q16671
Q8N3C0 Q15650
Q16539 P19784
Q9Y286 Q06124
P09619 O15524
P04004 P01133
P18031 P62993
Q9Y3C5 P46934
O76041 P60709
O15524 P16333
Q9HC77 P42229
Q8NI35 Q13224
Q15582 P53420
Q06187 P78347
Q04206 P41279
P54646 O00418
Q99972 P35251
P23458 P42224
Q8WXE9 Q9UBC2
Q13614 P07196
P50281 Q15726
Q15583 Q5T3J3
Q6AHZ1 Q6VMQ6
Q96ST3 P12755
Q99466 Q8IZL2
Q14203 P54257
Q9UI36 Q96ST3
Q96ST3 Q9Y6D9
Q9H0D6 P68104
P09327 P63261
O14910 Q13224
P49792 P56524
Q9ULB5 P55291
P16220 P08670
Q13136 Q9Y2X7
O14939 P61764
P54253 Q9NRA8
O00339 P02751
Q8N6C5 P27037
P05129 P41594
Q99972 Q9NRN5
Q99728 Q05048
O15230 Q6VMQ6
Q9UMX6 Q02846
Q13363 P38398
Q7Z628 Q96QZ7
P62993 P05067
P48736 P40189
Q8N302 Q15834
P51532 P06400
P17980 O75558
P10275 Q9Y6X2
Q15650 P19793
Q8WXE1 P27694
Q96A23 Q02750
P43364 Q9GZM8
P04275 P11021
Q12851 Q12933
Q9Y2W2 P14598
Q13480 Q92835
Q8N2W9 Q16891
Q8NEZ2 Q99816
Q9P0W2 P51587
O95197 Q9NQC3
P17252 Q5JVS0
Q9HBA0 P06241
O14511 Q15303
Q13094 P08631
Q9HAU4 Q6ZNA4
Q9P2A4 Q96EV8
O75791 Q13094
Q03001 P13647
Q13444 P08631
Q01780 Q9NZW5
Q9UBC0 P04150
Q9Y490 P18206
P49137 Q8IXK0
Q7L2E3 Q16576
P35222 P19022
Q96HC4 Q00975
O95081 P42566
Q14005 Q9NSA2
P48736 P46531
Q9Y223 Q05516
O75083 Q15477
Q00532 Q9HCE7
Q04771 Q02790
Q8NFZ5 Q15831
O43464 Q96CA5
P10275 Q15583
Q92831 Q9Y6Q9
P17252 P14136
Q93009 Q8IYM9
Q15910 Q15022
P35916 Q06124
Q9Y2X7 P19174
O14641 Q9Y4D1
Q9P209 Q7L590
P09238 P10915
O15530 P05106
O95793 P10636
Q99640 P06493
Q96J02 Q9Y3C5
P31749 P60484
Q9UI36 Q15475
Q13451 O15111
Q12933 Q96EK7
Q9BZW7 Q14134
P08514 P08123
P01100 P14921
P61764 Q02410
O15151 Q01094
Q9UMX0 Q96DC7
P36897 Q9BXA7
P57105 P60709
Q16539 P41970
P33402 Q02153
P68400 P08047
Q92667 P31321
Q13137 Q8N715
P07948 P19235
Q9H4G0 P42261
Q99418 P36406
Q9H8V3 Q9NPB6
O14492 P06241
Q9UQB9 O95359
P08727 A8K8P3
Q12913 P31785
P18206 P16581
P33552 P68104
Q9Y6U3 P63261
Q8TAD8 Q8N3Z6
Q9Y264 Q02763
Q9C0F1 Q8NA61
O15061 Q9Y4J8
P31749 P35568
P46934 Q16621
Q96F07 Q9Y2A7
Q8TEL6 Q12933
O14678 O43261
Q9UKB1 P10070
P21675 P01100
Q14686 P09874
P14373 Q9GZU1
O60603 O43353
P28069 P23769
Q9UPY8 Q15555
Q15399 Q9BXR5
Q86YP4 Q9UBB5
Q9GZV1 P29590
Q9H4B6 Q13188
P04733 P04278
P08651 Q9P0L1
P78527 P09017
Q7L2E3 Q12788
P05067 O75955
Q9Y5X4 P28702
P02751 P14780
O15259 O75161
P05412 P38398
P45983 P41970
P38398 P40763
Q9NQG5 Q9UGJ1
O95785 Q96KQ7
P19784 Q9HCE7
P30154 P25205
Q13191 P16333
Q8NG27 Q8IYI8
P19419 P38398
Q9GZM8 Q14204
P42224 Q00613
O75445 P05783
P56524 O60673
P39880 O94762
Q15582 P02751
P25791 Q9UPY8
O14939 Q8N122
Q08380 P08571
Q86YM7 P21817
O15169 O75197
Q96RR4 Q14012
Q9NQC7 Q9BWF2
Q13177 P08670
P36873 P04049
Q9UHD2 Q12933
Q14686 P51449
O14508 P08069
Q99704 O60880
P30154 O60674
Q01970 P0DP25
P51692 P67775
Q16513 Q12923
Q9BWV1 P55291
Q03164 Q9UBL3
Q14676 P38398
Q14938 P12755
Q15042 Q9Y4E6
P19174 Q05586
Q15149 P11137
Q8N0X7 Q71U36
P23769 P28482
Q9Y297 Q9UHD9
Q14185 P46108
Q9Y616 Q9Y4K3
Q9BYG4 Q05513
Q9UPT6 P45983
Q12888 P38398
P36897 P17813
Q9NRA8 Q96R06
O60260 Q13224
P19784 P18887
Q9C0H9 P56945
P00533 Q13480
Q14289 P43403
P56524 P13056
P62877 Q13620
P19174 P09327
P19174 Q05193
P24941 Q9UM11
P17706 P51692
P51690 Q99608
O14924 Q00975
O00339 P53420
P10398 P14618
O00203 O60566
Q07890 P62993
P49759 Q8N2W9
P51692 P04150
P09874 P12956
Q92636 P63244
Q92585 Q9UM47
Q99459 P33992
O94985 Q14669
Q9Y572 P19438
O43929 Q9UBD5
Q13137 Q14966
P07948 P06493
Q86YM7 Q13255
Q9NWF9 O60602
P26006 P05556
Q13885 P21980
Q9UHV7 Q93074
P10827 P29590
O60941 Q15834
O75886 P29597
O43734 O43318
Q969N2 O43292
P06213 P0DP25
P54725 P04843
P37198 Q7Z3B4
Q9H0H5 P68366
Q96T60 P18887
Q13501 Q14596
P19438 Q9BXW9
P05107 P35241
Q13469 P63098
P17535 O00255
Q12933 Q13490
P06241 Q14643
Q96RT1 Q99569
Q96QH2 Q13094
Q9Y2K6 P41743
Q15785 Q13131
O60941 P46939
P12757 Q9BVG3
Q9Y3C5 Q9H0M0
O94972 O00463
P19784 O43896
P50613 P06493
P51617 P59046
O00459 P07333
P27361 Q07021
Q92793 P39880
P10828 P48443
P43694 P52952
O75376 P29590
Q9BZR6 P08138
Q8N4X5 P20936
O15123 Q15389
Q9H2G9 Q9H8Y8
Q8TAX0 P37173
Q92793 P28360
P11532 P68032
P41220 Q9Y2X7
P51511 Q07954
O60907 P35222
Q96J02 Q9UBN4
Q13422 Q13547
O75925 P08235
P09486 P02458
O14910 O14936
Q09472 P20265
P27986 P17181
Q13137 Q8IZC7
