proteinA,proteinB,interaction
Q06628,P53104,1
Q06628,P32379,1
Q06628,P53271,1
Q12380,P38316,1
P38862,P38316,1
P40344,P38862,1
P38862,P38182,1
Q00776,P36000,1
P36000,P38700,1
P25655,P48360,1
P38696,Q04549,1
Q12233,P36068,1
P39011,P53012,1
P40448,P39011,1
Q12110,P39011,1
Q06150,P34730,1
P34730,P38195,1
P40087,P26448,1
P26448,P38785,1
P26448,P48238,1
P07260,P12962,1
P00812,P00812,1
P07991,P18888,1
P07991,Q06178,1
P29703,P18898,1
P06243,Q12018,1
P52286,Q12018,1
Q12018,Q12395,1
Q05930,Q12018,1
P31111,Q12018,1
P06243,P39517,1
P07250,P06243,1
P06243,P25620,1
P06243,P39992,1
P43625,P06243,1
P53740,P06243,1
P06243,Q12094,1
P38147,Q04839,1
P38150,P39110,1
P24869,P20486,1
Q04149,P24869,1
Q04031,P24869,1
P24869,P38769,1
P47074,P13365,1
P25296,Q03652,1
P33313,Q00947,1
P33308,Q12343,1
P35203,Q08831,1
P32582,P25651,1
P32459,P32459,1
P21705,P21705,1
P53267,P53168,1
P53550,Q12517,1
P39998,P53550,1
Q12517,P39517,1
P19735,Q06819,1
Q03063,Q03373,1
P40013,P53168,1
Q12248,P53168,1
Q03466,Q12517,1
Q04739,Q03466,1
P40958,Q03466,1
P38236,Q03466,1
Q02794,Q03466,1
Q03761,O13547,1
P38122,P38122,1
P17214,P53091,1
P35210,P17214,1
P23202,P17214,1
P17214,P39734,1
P17214,P53288,1
P32829,P53971,1
Q06628,P18562,1
P38930,P32805,1
Q04177,Q03778,1
P51601,P51601,1
P38196,P40016,1
P16522,Q04601,1
P26449,Q12063,1
P47069,P17214,1
P12383,P32494,1
P46677,P53040,1
P07703,P22138,1
Q06549,Q06549,1
P29366,P32917,1
P47124,P50108,1
Q12440,P53886,1
P48232,Q06628,1
P24869,P53724,1
Q99210,P47160,1
P33304,Q12280,1
P53038,P06243,1
P50108,P46985,1
Q02775,P33411,1
P39010,Q12280,1
Q12030,P35189,1
P32797,P38960,1
Q12018,Q12452,1
P53971,P36068,1
P03069,P32569,1
P14724,P53068,1
P41697,P33199,1
Q03697,P17214,1
P25441,P33339,1
P52553,Q04493,1
Q08273,P40560,1
Q03231,P38853,1
Q06159,Q99316,1
Q12753,P52918,1
P16861,P50102,1
P47042,P39685,1
P32337,P38910,1
P39938,Q06672,1
P53230,P32259,1
P47135,P36131,1
P47822,Q12343,1
P38302,Q12309,1
Q04226,Q12030,1
P38987,P22209,1
P33296,P23641,1
P40959,P38247,1
P40480,P38262,1
P23292,Q03220,1
P23292,P41913,1
Q04893,P13902,1
P41913,P53115,1
P06100,P32334,1
P28239,P14741,1
P24280,Q03441,1
Q04048,P38302,1
Q05027,Q04226,1
P15315,Q04233,1
P32805,P33339,1
P14741,P14741,1
Q04839,P32505,1
P47011,P47011,1
P05085,P17709,1
P38224,P17709,1
P43577,P41911,1
P39676,P46944,1
P32836,P47123,1
Q00582,Q00582,1
P42944,P53973,1
P06774,P13434,1
Q02516,P06774,1
P13434,Q02516,1
Q12306,P32828,1
P40106,Q08956,1
P12954,P41913,1
Q12306,P12954,1
P12954,P38957,1
P32505,P12954,1
P32505,Q99383,1
P38872,P29295,1
Q08273,P14680,1
P39533,Q08273,1
P38262,Q99181,1
P32432,P53687,1
P47069,Q12692,1
P41833,P38236,1
P36000,P13902,1
P13902,P34243,1
Q04431,P32361,1
P38236,P25583,1
P34730,Q12494,1
Q04396,P36068,1
Q04087,P25651,1
P38203,P40089,1
Q06406,P38203,1
P38203,P53905,1
P48240,P38203,1
P0C0X0,P38203,1
Q06217,P38203,1
P38930,P40070,1
P40070,Q06406,1
P53905,P40070,1
O13550,P40070,1
Q12517,P47093,1
P32601,P47093,1
P47093,P40089,1
Q02197,Q03503,1
Q06667,P47154,1
P53769,Q06667,1
P39938,Q07821,1
P32645,P00931,1
P38217,P53755,1
P38853,Q02794,1
P47158,P38853,1
P19262,Q12306,1
P14904,P14904,1
P35193,P14904,1
P34234,P06208,1
P35718,P33418,1
Q12517,P38203,1
P39517,P38203,1
P38203,P47017,1
P40070,P47017,1
P40070,P0C0X0,1
P47093,P0C0X0,1
O13550,P47093,1
P25502,P53237,1
P23059,Q02197,1
Q12262,P47167,1
P32570,Q02574,1
Q08278,Q12343,1
P16523,P35719,1
P40469,Q99278,1
P38277,P39014,1
P39014,Q12020,1
P38346,P39014,1
P39998,P39014,1
Q02659,P27705,1
P43563,Q08206,1
Q99316,P38714,1
P35719,P35719,1
P14741,P32505,1
P53081,P53081,1
P32497,P32911,1
P33420,P40460,1
P43609,P32832,1
Q02336,P39081,1
P39081,Q08685,1
P25299,P39081,1
P39081,Q06411,1
Q12527,P39081,1
P39081,P17157,1
P32473,Q06137,1
P39108,P27796,1
P35190,P17157,1
P40038,P17157,1
P17157,P35497,1
P19541,Q06651,1
P24583,P54786,1
P40460,P32334,1
P32829,Q12175,1
Q12175,P40356,1
P40460,Q12175,1
P45819,Q12175,1
P40357,P52918,1
P08153,P52918,1
Q08831,P52918,1
Q12277,P48240,1
P14904,P39731,1
P53271,P39731,1
P32500,Q05166,1
P40060,Q03435,1
Q03790,P34077,1
P34077,P53271,1
P32497,Q12134,1
P38696,P33420,1
P46984,P33420,1
P33755,P53044,1
P38910,P32499,1
P48837,P14907,1
P48837,Q02199,1
Q05027,P48837,1
P39946,Q06568,1
P25298,P39081,1
Q06410,P39081,1
P25693,P08153,1
P40038,P47029,1
Q06324,P40038,1
P38855,P39108,1
P50091,P39108,1
Q08966,P17157,1
P48837,P32337,1
P39970,P32337,1
P32337,P40577,1
Q12163,P35182,1
P15380,P47029,1
O13543,P15380,1
P50623,P25454,1
Q05024,P25454,1
Q12251,P25454,1
P46983,P39083,1
Q07418,P19263,1
P39011,Q00246,1
P32385,P43619,1
P22139,P15315,1
P43594,P28000,1
P32496,Q05610,1
P0C0X0,P38254,1
Q07528,P38204,1
P40992,P32786,1
P07248,P53043,1
P21242,P43577,1
P40302,P36068,1
P32263,P32263,1
P21372,P38956,1
P50623,P19735,1
P36000,P32337,1
P19262,P32337,1
Q12206,P32337,1
P19541,P32337,1
P15380,P14908,1
P15380,P25381,1
P09032,P06838,1
P25651,P06838,1
Q02574,P48581,1
P14736,P32628,1
P25454,P39955,1
Q99401,P25454,1
P38953,P25454,1
P29703,P22007,1
P38729,P39083,1
P33400,P47043,1
P21190,P38615,1
P28000,Q00582,1
P28000,Q06149,1
Q06001,P07703,1
Q03954,Q12250,1
Q03981,Q12250,1
Q12377,P03069,1
P05317,P05318,1
Q12517,P0C0X0,1
P53437,P38204,1
Q12292,P25378,1
P38838,P53047,1
P39743,P25343,1
P38266,P25343,1
P46946,P46946,1
P46946,P25651,1
P32259,P40958,1
P52286,P24814,1
Q08446,P52286,1
Q12347,P52286,1
P52286,Q05947,1
P52286,Q05930,1
Q07589,Q02775,1
Q12330,P54999,1
P22035,P32566,1
P41808,P43568,1
Q06217,P54999,1
P06782,P40151,1
P38149,P32074,1
P11353,Q01589,1
P33307,P32259,1
P32259,P41913,1
P47074,P32259,1
P32259,Q02772,1
P32259,P33203,1
P00127,P32259,1
P32259,P53270,1
P35817,P52286,1
P07834,P52286,1
P52286,P39014,1
P52286,Q06479,1
P50623,Q12306,1
P06782,Q04739,1
P12904,P49017,1
P12904,Q04739,1
P12904,Q12310,1
P43545,Q03144,1
P22209,Q00916,1
Q00723,Q12368,1
Q03954,P40460,1
Q03954,P36131,1
P33757,P53541,1
P23179,Q02793,1
P25651,P17123,1
P23624,P38872,1
P32458,Q04921,1
O13329,P06843,1
P53091,P06843,1
P32585,P38304,1
Q08278,P47822,1
Q12020,Q12020,1
P22768,Q02821,1
Q02821,P00812,1
Q02821,P33317,1
P06106,Q02821,1
P53081,Q02821,1
Q02821,P19881,1
P36068,Q02821,1
P35497,Q02821,1
P41835,Q02821,1
Q02821,P34760,1
P38749,Q02821,1
P53215,Q02821,1
Q05016,Q02821,1
P32916,Q03824,1
P38871,P38871,1
P13574,Q03373,1
P47122,P39015,1
P37297,P41913,1
Q02794,P37297,1
Q04175,Q03900,1
Q08229,Q04175,1
Q01722,Q12181,1
P33327,Q12181,1
Q12181,P41913,1
Q12181,Q12321,1
P38987,Q03063,1
P38987,Q03973,1
P38910,P38987,1
P38987,P32906,1
P33754,P38987,1
P38987,P54999,1
P35497,P38987,1
P38987,Q12206,1
P25652,P38987,1
P38884,P38987,1
P47115,P38987,1
P38987,Q06410,1
P40151,P38987,1
P38987,Q08931,1
P36145,P36100,1
P32776,P36100,1
P32776,P14904,1
P32776,P53271,1
P32776,P35193,1
P32318,P32318,1
P41835,P41835,1
P43577,Q04067,1
Q05024,P04786,1
P15315,Q07824,1
P52871,P31688,1
Q03337,P36149,1
P35193,Q99394,1
Q99395,P33296,1
P50623,P50623,1
P39944,P38080,1
Q99344,Q12059,1
P41913,P39001,1
P39001,P35193,1
P38130,P32912,1
Q06245,P32912,1
P32912,P39723,1
P32912,Q12241,1
P53108,P32912,1
P32912,P53845,1
P32912,P14359,1
Q06410,P32912,1
P32912,Q04767,1
Q12016,P32912,1
Q08743,P32912,1
P15315,P34110,1
P52917,P39929,1
P53112,Q12215,1
P22149,P19880,1
P38123,P39706,1
P39551,P38316,1
P25623,P39551,1
P32912,Q12270,1
P32912,P32939,1
P38784,P32366,1
Q03323,P38784,1
P32913,Q92331,1
P38753,P40343,1
Q06696,Q12483,1
Q03768,P39729,1
P39706,Q03920,1
P38067,P02400,1
P38278,Q06385,1
Q12309,P38303,1
P38324,Q12098,1
P38346,Q12309,1
P38346,P14741,1
P40485,P38346,1
P23292,P25371,1
P23292,P25582,1
P23292,P40052,1
P36041,P23292,1
P25293,P25389,1
P12904,P25575,1
P47976,Q12489,1
P41913,Q12489,1
P43619,Q12489,1
P38767,Q12489,1
P38842,Q12489,1
P40366,Q12489,1
Q07395,P26321,1
Q12159,Q07395,1
Q07438,P43577,1
Q04004,Q07438,1
Q07438,P39977,1
Q07438,P40326,1
Q03435,P53115,1
P40958,P32334,1
P39685,Q03790,1
P48813,Q02774,1
P38771,P38987,1
P38067,P36103,1
P40485,Q02784,1
P40079,Q06631,1
P32570,Q99278,1
P17157,P53124,1
P43588,Q08723,1
Q03533,P12904,1
Q03337,P38334,1
P22149,Q03835,1
Q06667,Q08492,1
P32805,P50113,1
P32500,Q03790,1
P25693,P17157,1
Q06708,P38624,1
P06104,P10862,1
P38987,Q05871,1
P27515,Q12084,1
Q04048,P53277,1
P09032,Q02866,1
P53835,P13902,1
P25586,P53091,1
P39014,P32906,1
P32567,P35719,1
P39731,Q02199,1
P40164,P17157,1
P35497,P32337,1
P35203,P52286,1
Q02821,Q12178,1
P21374,Q04048,1
Q04226,Q03973,1
P53040,Q04839,1
P38987,P39998,1
P32912,P46679,1
P23292,P28239,1
P32828,P40072,1
P0C0X0,Q06667,1
Q08962,P32334,1
P14682,P32259,1
P38987,O13329,1
P52920,P38278,1
P32363,Q12240,1
P34253,P53074,1
P32564,P53333,1
P38883,Q06410,1
Q03944,Q06001,1
P38816,Q05930,1
P14741,Q03525,1
Q06096,P38784,1
P36116,P38806,1
Q12174,P25559,1
P11076,P32074,1
P14693,Q03954,1
P38305,Q06525,1
P38784,P39111,1
Q00582,P38822,1
Q07438,P53899,1
P43634,Q07458,1
Q12066,Q12066,1
Q06169,Q12066,1
Q08492,Q12513,1
P25502,Q12513,1
Q12516,Q03441,1
P36087,Q12342,1
Q08887,Q07622,1
Q12468,Q04368,1
P43634,Q07732,1
Q12411,Q07732,1
P38871,Q07732,1
Q03406,Q12488,1
Q12457,O13329,1
Q99288,Q99288,1
P43577,Q12497,1
P40892,Q03900,1
Q03944,P46671,1
Q05518,Q03559,1
Q12298,P25651,1
Q12156,P53069,1
P53108,P38962,1
P35719,Q04598,1
Q04491,Q03897,1
P38861,Q03900,1
Q03981,Q04368,1
Q03944,P53917,1
P40958,Q12449,1
P36120,Q12240,1
P35718,Q12508,1
Q05583,P38829,1
Q12338,Q05635,1
P89886,Q06681,1
Q04179,P25637,1
Q03375,P12962,1
P53189,Q03375,1
Q03406,P43615,1
P53087,Q06672,1
P32837,P53074,1
P53074,Q12412,1
P22035,P53066,1
P53210,P32432,1
P53210,Q08001,1
P53215,P53215,1
P32485,P53238,1
P53238,P53238,1
P53238,P53281,1
P53244,P43639,1
P38166,P53244,1
P53717,P38753,1
P38751,P53973,1
P38957,P38751,1
P38744,P38744,1
P38763,P53717,1
Q03373,P38694,1
P38888,P14120,1
P40554,P38820,1
P40485,P36068,1
P40465,Q12318,1
P47095,P47095,1
P47122,Q08726,1
P47168,P36097,1
P46671,P52553,1
Q02457,P36075,1
Q03981,P36144,1
P36168,P34217,1
Q12358,Q12358,1
Q12525,P50861,1
Q12253,P38751,1
P14693,P53934,1
Q12013,P38815,1
P38815,P38130,1
P53108,P38815,1
P53845,P38815,1
Q12270,P38815,1
P38820,P38820,1
P38888,P40078,1
P38872,P40555,1
P40552,P28519,1
P40515,P47135,1
P32350,P40479,1
Q00772,P40479,1
P40465,Q06168,1
P54861,P47025,1
P28320,Q04048,1
P23202,P28320,1
P36108,Q04477,1
P36075,P53215,1
P28708,P48361,1
P28708,Q06010,1
P38247,Q02205,1
P15315,Q02209,1
P36118,P32788,1
P36162,P35734,1
Q07887,P53755,1
Q03323,P43132,1
Q12142,Q99382,1
Q06137,P48240,1
Q06137,Q06168,1
Q05930,P46972,1
P38796,Q05930,1
Q05930,P47049,1
Q04659,Q05930,1
Q05930,Q06813,1
P47135,P18634,1
P53271,Q06410,1
Q04779,P25351,1
P35734,Q04272,1
Q03177,P40151,1
P36010,P36010,1
P41913,P40164,1
Q02794,P40164,1
P40151,P40958,1
Q02196,P42843,1
P53729,P47038,1
P40366,P53729,1
Q12285,Q12118,1
P53935,P36083,1
P53892,P53935,1
Q99395,P53935,1
Q08817,P35193,1
Q08931,Q08931,1
Q03231,Q06096,1
P15274,O13558,1
P00358,Q04978,1
Q04638,P38956,1
P52286,Q04511,1
Q07834,Q03208,1
Q04368,P39008,1
P40485,Q04749,1
Q04177,Q04305,1
P35719,Q03649,1
P40151,P40151,1
Q12052,P40342,1
P53271,P53726,1
P53755,P53754,1
Q08204,Q04477,1
Q08229,P53939,1
Q08241,P54999,1
P39923,Q12242,1
P40325,Q12242,1
P53949,P50946,1
P35727,P48232,1
P41913,P53935,1
Q12044,P15315,1
P25651,Q08729,1
P53238,Q08729,1
P38692,Q08817,1
P53271,Q08817,1
P38784,Q02725,1
Q08968,P53044,1
P53112,Q06096,1
Q06096,P53271,1
Q06096,P33891,1
Q06096,Q06162,1
Q06096,Q12125,1
P47821,P53933,1
P53933,P39721,1
P35727,P53921,1
P53917,Q00246,1
P53917,P31383,1
P53897,P21192,1
P53887,P25611,1
P41920,P25293,1
P32790,P32793,1
P32793,P40325,1
Q06102,P38130,1
P20107,P35719,1
P38194,P32478,1
P32478,P38240,1
Q00246,Q12434,1
Q12306,Q12306,1
P40089,Q06406,1
P40089,P53905,1
P43545,P43545,1
Q02260,P34234,1
P40325,P40325,1
P40892,P40892,1
P32854,P38555,1
P38555,P36125,1
P38555,P40955,1
Q08931,P38555,1
Q04839,P32793,1
P53311,P32793,1
Q06102,P45976,1
P34162,P38208,1
P38182,P40344,1
P38272,P38272,1
P34162,P33754,1
P38334,P34162,1
P38334,P36149,1
Q12248,P36131,1
Q12084,Q12084,1
P36131,P53168,1
P47115,P47115,1
P36068,P36068,1
P36162,Q03954,1
P39929,P39929,1
P47821,O13554,1
Q12318,P38957,1
Q02205,Q00582,1
P53108,P32854,1
Q99210,Q99210,1
P25451,P25605,1
P25584,Q12082,1
P50945,P25584,1
P32478,Q12264,1
Q12138,Q12513,1
Q12138,P06100,1
Q03835,P53082,1
Q03860,Q03860,1
P53108,Q03860,1
P22804,Q03860,1
P32854,Q03860,1
P53738,Q03920,1
P50106,P32529,1
Q12030,P11747,1
Q03973,P11747,1
P53633,Q03322,1
Q04110,Q12306,1
P53168,P00128,1
P39996,P39996,1
P39979,P39979,1
P40092,P25591,1
Q92317,P40096,1
Q12223,P43545,1
P53269,P18852,1
P25357,P53039,1
P38742,P25559,1
P36129,P38727,1
P38726,Q02204,1
P32564,Q12223,1
P32914,P06838,1
Q03322,P53039,1
P53108,P53039,1
P53039,P53845,1
P42941,P34238,1
P25559,P38782,1
P25559,P39111,1
P38784,P26343,1
P38821,P38821,1
P38204,P38886,1
P38191,P13517,1
P40518,P33204,1
P38204,P40461,1
P40582,P40582,1
P40857,P40582,1
P46962,P46963,1
P25591,P47053,1
P47038,P39515,1
P25591,P26755,1
P53168,P46988,1
P39534,P39534,1
O13530,P39534,1
P32529,P47150,1
P32583,P36103,1
Q05874,P35691,1
Q00873,Q05874,1
P36053,P32859,1
Q04231,Q12336,1
Q12138,Q07914,1
P07272,P07272,1
Q07986,P36147,1
Q05874,Q12026,1
Q12035,Q99176,1
P54837,Q12327,1
P49166,P38871,1
O13553,P53910,1
Q04868,Q06177,1
P53845,P53633,1
P42884,P42884,1
P17123,Q12208,1
P17123,P18562,1
Q05583,P17123,1
P38713,P17123,1
Q07930,P17123,1
P40020,P17123,1
P46995,P17123,1
Q06525,P17123,1
Q03818,Q03818,1
Q04338,P32854,1
Q06651,P53633,1
P53633,P53039,1
P04050,P08518,1
P20435,P08518,1
P04050,P20435,1
P04050,P20436,1
P38902,P04050,1
P08518,P27999,1
P16370,P08518,1
P16370,P40422,1
P06104,P02293,1
P14164,P15790,1
P43639,P14164,1
P32599,P15891,1
P32790,P15891,1
P33338,P15891,1
Q02336,Q12433,1
P34162,Q02336,1
P32569,Q02336,1
Q02336,P47822,1
P46677,Q02336,1
Q05027,Q02336,1
P53040,Q02336,1
P50875,Q02336,1
P41546,Q02336,1
P06844,Q02336,1
P35177,Q02336,1
P40413,P53904,1
P47124,P32629,1
P46985,P32629,1
Q12440,Q12157,1
Q08273,Q12440,1
P46672,P00958,1
P33418,P46672,1
P46655,P46672,1
P11076,P20133,1
P11076,P39524,1
P38328,P32381,1
P39013,P32381,1
P32381,Q12446,1
P36006,P32381,1
Q02821,P32381,1
Q06681,P40485,1
P40465,O13554,1
P38987,P36018,1
P38962,P53093,1
P53093,P53108,1
Q06178,Q06178,1
P53169,P49687,1
P17123,Q02574,1
P38930,P14164,1
Q01389,Q01389,1
P33204,Q12156,1
P43619,P43619,1
P39929,P53272,1
Q06168,P38888,1
Q06543,P47122,1
Q12030,Q03750,1
P53935,P53829,1
P38276,P38276,1
P53184,P53184,1
P38191,P53039,1
P38204,P47132,1
P53633,P53633,1
Q01389,P32490,1
P53147,Q99181,1
Q06708,Q05791,1
P43607,Q07623,1
P40539,P38763,1
Q06411,P36118,1
Q12493,Q06162,1
P38874,Q04868,1
P25293,P53939,1
Q08786,Q06096,1
P38957,P40455,1
P40565,P46947,1
P46948,Q05636,1
O13565,P47821,1
P26343,Q12318,1
P32381,Q05933,1
P41832,Q01389,1
P54999,Q06333,1
P36068,P47049,1
P53949,P53965,1
Q08977,P40460,1
P53171,P47012,1
Q02804,P36125,1
P22137,P38856,1
Q12415,P32367,1
P32325,P22216,1
P32521,P39013,1
P38304,P19659,1
Q06160,P06784,1
P23561,P08539,1
P80428,P02309,1
P20050,P14291,1
P38229,P32917,1
P18851,P40528,1
P09959,P39678,1
P32389,Q12041,1
P38523,P35191,1
P52918,P36161,1
P32499,P52918,1
P32494,P32569,1
P48582,Q01389,1
P32389,P17106,1
P02293,P18480,1
P30771,P05453,1
P52918,P52891,1
P29366,P38041,1
P39969,P29366,1
P29366,P11433,1
P29366,P21268,1
P29366,P13856,1
P22804,P22804,1
P25385,P22804,1
P20606,P22804,1
P15303,P22804,1
P22804,P40482,1
P25385,P20606,1
P25385,P22214,1
P15303,P25385,1
P32910,P29056,1
