O00590 Q99616
P28482 Q15797
Q9NQP4 Q13885
P80108 P05187
Q05513 P35568
A5D8V6 O14964
P35606 P53621
Q2Y0W8 O14745
Q96QT4 Q9BX84
O15162 P00533
Q9NPR2 O43157
P43489 O15304
Q9UHD8 Q16665
P48552 P55055
P25685 P16278
P31946 Q9UQ35
Q8IZD4 Q9HAU5
P06493 P33552
Q9UMD9 P12814
P51617 Q05513
Q96J92 O95832
Q9UBC3 O43463
Q02218 P09622
P12931 P27986
P10809 P05091
P49841 P15941
P68363 P23258
Q14028 P78363
P07910 P51116
P01730 P02786
P08603 P35318
Q86X55 Q13045
Q96GD4 Q9H0H5
O14920 Q8N163
Q13322 P31749
P62837 Q8NG27
Q96IP4 Q96KS0
Q99743 O00327
Q9HAU4 Q13571
P42229 P23284
Q13177 O60504
P42566 P78545
Q96FL9 Q9H3R2
O00186 P62318
Q9UBP0 Q16799
Q13485 Q99966
Q6UWE0 Q99816
Q99584 P01583
P30793 P11142
P63279 Q06787
Q9Y478 P54646
O15524 Q15370
Q9NVV9 Q96IZ0
P41594 Q86YM7
Q99689 Q7L2K0
P62805 Q9BZK7
Q96GD4 P17661
Q9UNE7 P04626
Q9UHD2 Q7Z434
Q9UPT5 P17081
P05062 P36543
P60484 Q03135
P67775 P10636
P54725 Q9NRR5
P17612 P50549
Q9NR28 O15392
Q15796 Q14686
P49910 P57086
P27824 Q07954
O60732 P0C0S5
P50461 P11277
P04004 P01189
Q6VMQ6 Q15047
Q14242 P13611
P00533 P22681
P08047 P15172
P10828 Q15649
Q86TC9 O76041
Q14005 Q99712
O75925 Q05193
Q13393 P84077
P54132 P39748
P04629 P19174
P68400 P18846
P04150 P06241
Q9BWT7 O95999
Q9UI14 P20336
O00482 Q15466
O95232 Q07955
Q6EEV6 P00558
Q14686 P37231
P16989 P28482
O95251 Q9H079
Q9Y2S7 P49005
Q9Y6J0 P27348
P23921 Q5T3J3
Q9BWX5 P20823
Q99728 Q01844
P27658 Q9BQ66
Q8TBC3 P62993
O00165 P08183
P16410 P42229
Q16543 Q00535
P10144 O00273
P54253 P04406
P51610 P05412
P51948 Q5T3J3
Q13469 P63098
Q9UIV8 P08311
Q9BQD3 Q8WYH8
O75925 P12757
P35555 P15502
Q16644 P15923
P51511 Q07954
Q9BUL9 P78345
Q6ZRS2 Q92793
P53350 Q7L5D6
Q9ULJ8 Q96SB3
P56645 O15516
P24941 P38398
P51681 P13236
Q13177 Q04637
Q8WXI9 Q92831
O00255 Q15291
P27361 P30533
O00238 P62979
Q9UPT5 Q8WWV3
P09651 Q86U42
P25205 Q14566
P46527 P24385
P21246 Q9NRR5
Q12974 P53611
Q9NP61 Q15796
P52735 P61586
Q96CS4 Q00839
P14784 P04049
P45983 P27361
O15117 O60880
P17676 Q9H7Z7
P42574 O95155
Q9UL26 Q8NEU8
P43364 Q9H788
Q96DW6 Q9H4T2
O95872 Q15834
P29122 P20930
Q96F86 P26651
Q13363 Q13547
Q96SD1 O60934
P54252 Q9BSU1
P41732 Q96QD9
O14713 P98164
P06729 P06127
Q92621 Q8N1F7
P20366 P46379
Q5VVH5 Q04206
Q99972 P08123
Q00403 Q15788
Q9UQF2 P05067
Q92793 Q13363
P83916 Q9Y6K1
O14654 P62993
P12429 Q92979
Q9ULB1 Q9NZ94
P50150 P62873
P20807 Q7Z6G3
P36405 Q5T3J3
O43283 O14920
P31949 P04083
O95257 P54257
P48552 P13056
O43306 Q5JWF2
P04637 P84090
Q8N392 Q9NZW5
Q13526 Q9UJY4
P21246 Q92963
Q15796 P31271
Q9UBZ9 Q9Y253
P27361 Q02156
P05154 P02679
Q9H4E5 Q13485
P68400 Q12972
O00444 Q13485
Q13432 Q14061
Q9UMX0 O75830
P35916 Q6VMQ6
P63104 P21731
Q9Y618 P27540
O60682 P15884
P52292 P42575
P48643 P62736
Q6WN34 P18075
Q05048 P38398
O15530 P42345
Q9BVA0 P36897
P09486 P02461
Q13616 Q13309
O95602 Q92688
P43403 O43516
P06241 P16070
Q9UNK0 O43889
Q13190 Q7L5N1
Q15118 P08559
Q9NS15 P61812
Q15796 P10644
Q9NPQ8 Q5JWF2
O15519 Q13077
P00750 Q05586
Q13021 Q03135
Q13158 Q92851
Q15599 Q03431
Q15811 P60953
P11487 P15880
O43924 P62745
O75344 Q9Y5B8
P14210 P00749
P00533 P31947
P17252 Q96A00
P37268 Q149N8
Q8NCG5 P28906
P48736 Q13480
Q9BZG8 P11021
O14980 P62826
O95622 P63096
P50281 P08253
P20226 P17535
P43364 P0DPB6
P21359 P62380
O14745 Q92887
P24723 P12931
P09429 Q06330
P49023 P16333
Q9HAV4 P62826
Q9BUZ4 P36941
Q9BSU3 Q9BXJ9
P68104 Q9UGL9
P61601 Q00610
O75526 P62995
P35269 Q99689
Q6UXH1 P43681
Q92963 Q12967
Q8TAE7 Q9H3M0
O14879 Q05D60
Q15464 P31785
P40763 Q9UER7
P61586 O14641
Q9HCE7 P61586
Q05516 Q96HS1
P09601 P30043
Q15185 O14746
O00254 P08311
Q9NPD3 Q7L1W4
O43719 P13984
Q5VWK5 P40763
Q99704 P26010
Q96SZ6 Q00535
Q9NS23 P23258
Q9BQY4 Q93062
Q9H4B4 O96017
P49454 Q02224
P48357 Q13526
P67809 P31645
P02753 P02768
Q9Y4C0 P55196
P11021 P01023
Q15796 Q7Z6Z7
P51512 Q15726
Q16594 P21675
P06493 O15350
Q13571 O95208
P54253 Q14671
Q9UQC2 P12931
P55212 O15519
P11473 P05412
P26441 P26992
P19838 P09429
O94763 P13984
Q9NY65 P49023
P30559 P32121
P19012 Q53FD0
Q93033 Q9UHX1
P02760 P02768
P49137 P04792
O96017 Q9Y294
P00747 P02749
O43187 P14778
P51888 P02458
P57087 O00254
O60383 Q9UN74
Q99962 Q05193
Q9Y2W2 P36873
O60716 P16591
O60232 Q53TS8
P42574 Q9UPT6
Q9UJX3 P12830
Q13571 Q8IYW5
O15399 Q02156
P07858 P02818
Q9Y3C5 P62979
O95985 Q9UKJ5
O15162 Q9H1Q7
Q8IYX3 Q15834
Q9H0D6 P25788
Q16363 Q5T3J3
O14744 P29597
O15360 Q13813
Q13432 Q9NRR5
P28065 Q15596
Q13432 P06239
P30307 P20248
Q8TEW6 P46108
P78337 Q93062
Q14157 P48634
O14744 P27348
Q00975 P09471
Q15648 P37231
P45985 P53779
Q13444 P16333
O43747 P61966
O14965 Q9Y6A5
P35626 P30411
P35606 Q02156
Q9NQS3 P15151
Q8N4N8 O95793
Q00403 Q13285
P50458 Q9NVW2
P31749 P29474
P33240 Q13011
Q99502 P04899
P61981 O14924
Q9BUB5 P02686
P54259 Q96EP0
P49023 Q14289
P23193 P29083
P35414 Q9ULZ1
Q15628 Q13158
Q13835 P15924
P04183 Q5RL73
P54727 Q13569
P05412 P31273
O95870 Q8TCT9
O95721 O43752
Q04759 Q9UEW8
P51685 Q92583
P07910 Q15834
O95460 P21941
Q13309 P24941
Q9H3M0 Q8TDN1
P63208 O00221
Q16527 P68104
Q9UPQ3 Q02153
P17097 O75528
P55899 P61769
P49368 P04049
Q13813 Q86YD1
P05091 Q13432
P02679 P00488
P12236 Q9BQ66
P36957 O95376
Q14232 Q9BYD3
O15164 P29083
Q16555 O14939
P34947 Q16143
Q8WWV3 Q9NQC3
Q86VE0 P07737
Q13075 P84074
O14641 O14978
P22681 P63104
Q9H4A4 O95405
Q92624 Q12788
Q16637 O14893
Q5VWX1 P62993
P06239 P40763
Q02156 P16284
P35348 P25025
Q13432 O00231
Q9Y297 P63208
P03372 O14686
P46108 P27986
P52179 Q8WZ42
P42285 Q9NQT4
Q9NZD8 Q53H80
Q9NYG5 O00762
P14598 P48023
Q01780 Q9Y2L1
Q9H633 P78346
Q9Y5W3 Q09472
P15813 P61769
O60603 P14625
Q05513 O76003
P78364 Q96GD3
Q9UPY5 Q14032
Q9BZ29 P60953
O43491 P42261
P35609 Q8TE68
Q8N474 P09544
Q9Y3C7 O95257
Q7Z7J5 O43791
Q13416 P15927
Q99895 P00995
P06734 P06241
Q9UGK3 P40763
P68104 P04278
Q00610 P32121
P14635 P38398
Q9UBW8 Q93034
O60674 P25963
Q9ULH1 P49023
Q14160 Q93052
P14543 P05067
P60228 Q9GZR7
P35579 P24844
Q9BXX0 Q9Y6C2
Q12770 Q12772
Q16667 P24941
P27361 Q16559
P19784 P60484
Q9GZU7 Q99618
Q9NRR5 Q9HAT8
P46531 P06239
Q06455 P41182
Q06830 Q14653
Q15942 P15498
Q96JB3 O60563
Q9NNW5 Q9H3Q1
P35579 P35580
Q16539 P14598
O15519 O43353
Q8N4C8 O15020
O60238 P17152
Q14289 P27986
Q8IVH8 Q99962
P10636 P11142
Q99750 Q969U6
Q9Y6D9 Q9UGJ1
P68366 Q53FE4
Q969H4 Q7Z569
P55072 P25963
P24941 O43663
O95251 Q9C0J8
P20338 P41743
P01112 P62993
Q9P2A4 Q9C0F1
Q02535 Q02548
Q13568 Q9UHD2
P08631 P42768
P53779 Q9UPT6
Q9HBH9 P03372
P23528 Q99417
Q53EV4 P10747
P56539 P29475
Q01081 P11171
Q8WYH8 P04637
Q13114 P28908
Q6IA86 P51692
Q9Y2T3 Q12959
P12757 Q9H2Y7
Q02535 P15172
P39687 P46821
O14793 O43765
Q9BXH1 P10415
Q9BTV5 Q96I34
P24928 P61218
P46821 P61326
Q02363 Q5T3J3
P37231 Q92905
O43680 P15923
P10144 P42263
P57073 P11161
Q14344 O15492
Q96CN9 Q9Y2J4
P68400 Q13541
O96017 P43246
Q9Y4H2 P29597
Q00839 Q99608
Q14192 Q8WZ42
P56537 Q9NWY4
Q7L590 Q00534
Q07866 P05067
P49459 P04637
P61981 P55060
P04437 P11021
Q8IZH2 O75843
Q9Y2X7 Q9C0J8
P41235 P04637
P09466 P84022
Q9Y5L0 Q07955
P25391 P05067
P27487 P51671
P11274 P20936
Q9H160 P62805
P51151 P31150
Q08170 Q9HAU4
Q12933 Q8TES7
P07384 P31944
Q9UGI9 Q13131
Q6VMQ6 Q13485
O95257 P68104
P04626 P16144
P84022 P37173
Q9UJY5 O75074
Q96HJ5 Q16667
P18084 P08758
Q9H211 Q14566
P43405 Q99062
P16284 P19174
O15151 Q93009
P45984 P04637
Q01844 Q15365
O14901 P28482
P35813 O00555
Q9P2A4 Q13177
Q9UM11 Q9BPX7
O14925 O43615
P63010 Q9NVZ3
P11802 Q15047
Q9NR96 Q9UPT6
P17676 Q04206
O60563 Q9UHK0
Q8WV28 P43405
P36894 Q13873
P28482 P05787
Q92835 P16284
O75582 Q15759
P25445 P15311
Q9Y463 P28482
Q14469 Q9NW38
Q8NCP5 Q15797
Q12816 Q93009
Q92796 P35499
Q8IXK0 Q9Y4W6
Q05586 P21728
P68104 P62310
Q96RU7 Q5RL73
Q8N2W9 P84022
Q9P2Y5 Q9H270
Q9UHV7 Q9ULK4
P49703 Q9HC35
P07947 P07333
P08727 Q8IYI6
Q9NS15 P18084
Q15038 Q9BSL1
P01100 P19784
O15350 Q92793
P40199 P13688
Q15645 P30039
P49842 Q99808
Q01780 Q86UX7
Q9BWV1 P19022
P24941 Q9UM11
O14717 Q9GZR7
Q96N46 Q15834
Q15796 P40855
Q09028 Q13112
Q15118 P27348
Q04771 Q9UNK0
Q9Y3Q4 Q9UL51
P51693 P04183
Q96IK5 P42166
Q13469 Q92793
Q14500 O14910
P51809 Q16623
O14503 P40763
P12931 P13945
O15020 P02549
Q9BYG4 Q05513
Q9BTX7 P36897
P26358 O75530
O15371 P55010
Q12933 Q13261
P06239 P25963
Q96G01 Q13561
Q13303 P16389
Q13319 P60709
P40424 P09016
Q92918 O43561
Q13191 O43639
O14936 Q12929
P01112 Q07889
P41134 P55036
Q8IX12 P31947
O75052 P98164
O15143 O15511
P23945 P25098
Q9HC62 P55854
Q15047 P78417
Q15047 Q9H5F2
P35711 P35712
Q13480 Q07889
Q9UI14 P51149
Q13936 P62873
Q16526 P49674
O43318 P45985
P42680 Q06187
P49662 P01584
P06454 P20248
P63165 Q15596
P11836 P07948
O14964 Q9UMX0
Q9C0F1 Q8NA61
Q9H0D6 Q13148
P10646 P39900
Q96NA2 Q9BZG1
P08047 Q9Y618
Q14296 P31483
Q96JZ2 P07332
P05106 P08648
Q9BYV2 Q969Q1
P62258 P61981
Q9P104 P08069
Q13224 O00189
Q96MU7 P62995
Q05682 P0DP25
P32780 P27986
Q9NVD7 P49023
P17706 P42229
P61812 P17813
Q13569 Q01831
Q8NE71 P56537
P01135 Q15303
P38398 P11388
Q15797 Q9BRB3
P00492 Q96HA8
P31749 P05106
P04626 P35222
Q86X27 P61981
P35321 P68133
P49023 Q13418
P49286 O60716
Q5JY77 Q9BTY7
P04085 P98160
P07948 P0CG47
Q9UBJ2 P28288
Q9NPQ8 P04899
Q96ST3 Q16576
Q14344 O95977
Q96Q15 P33151
Q8N3L3 Q16623
P30626 Q13137
Q9NQC3 P68366
P51617 P02686
Q9H0H5 P01111
P35611 P22670
Q92922 P04150
Q9BXS5 O14976
P54253 Q9UBD0
Q9H8Y8 Q9Y3Q8
Q9Y696 P63104
P23458 P29350
P53365 P62330
P54259 Q99750
P50613 P06493
P49286 P11021
P17480 Q9UJU2
Q8IVH2 O15409
O14745 P09619
Q9Y294 P50502
Q8TF68 Q15942
Q02156 Q99259
O75925 Q15797
Q14289 P43403
Q8N488 Q14209
P84022 Q86UD4
P32004 P13591
P61601 Q86UW9
Q8IZU3 P11940
P18846 P38398
P35590 Q06124
Q8WVV9 Q13838
Q05655 P02686
Q13547 P08047
O43255 P43146
Q8N2H9 Q99558
P25963 P07384
Q92499 Q04206
P04637 P26583
P42262 Q13813
P49842 Q07864
Q9HBG4 P08237
P05111 P08476
P31751 P31749
Q15797 P52948
Q05655 Q13887
Q8TDW5 P51159
P30519 Q7L5N1
P51693 Q13190
P12643 O60565
P78406 Q9GZR7
P49848 Q15545
Q9NPQ8 P50148
Q99459 P38936
Q14088 Q9UI14
O95084 P42695
P15884 P0DP25
O75369 P16473
Q9BX70 Q9GZT6
P49792 P62826
P21579 Q13133
P57678 P62314
Q09472 Q13573
O75689 Q00577
P29475 P25100
P63165 Q00613
Q15596 P27540
Q15036 Q14114
Q9H8S9 Q15834
P42338 Q02156
P38936 Q99683
O95169 P35080
Q9C0J9 P15172
P59768 Q9HAU4
Q13432 Q9UIM3
P18054 P16144
Q9UF11 Q15797
P52630 O60674
O43464 Q13490
Q9HB75 P42575
P80108 P17900
Q14114 P30533
Q7KZF4 P29084
Q08999 P24941
Q9BUB5 P28482
Q9NYG2 Q9NRR5
O14965 O14777
P56945 O15357
O95156 Q9ULB1
P03372 P38398
Q8NFQ8 O14656
P31749 P10275
P02585 P48788
Q93052 P12814
Q9HCK4 Q9Y6N7
Q15047 Q9BQ95
Q13137 Q9BSM1
Q9NVZ3 O15162
Q13432 Q9HC52
O43561 Q12913
O00482 O15514
P07996 P02751
P61769 P27797
O14893 Q15833
O15245 Q16633
O14746 P17252
Q02790 P62942
P98164 P00749
Q9NQS1 Q07817
Q16563 P63027
P19838 Q15653
P27707 Q8NBJ4
P51617 P05412
Q9BVJ6 O95257
Q9C029 P46976
P05412 P04150
Q9H900 O43264
Q15024 Q9Y2L1
O75444 P01100
Q13485 O00231
Q8TER5 P10636
