P21246 Q6IB77
Q9H633 P78346
Q96SB4 Q01081
Q08999 Q6NUQ1
Q9NV56 O96019
Q12959 Q13224
Q5JY77 P29371
P62424 Q96A33
Q02817 Q9Y4G2
Q16821 P26678
Q96CW5 P23258
P05556 P15529
Q7L590 Q8NHQ1
Q96I23 P37287
P21673 Q9NPI5
Q15041 Q969H0
Q8TDC0 P16298
O00165 O95342
O95424 Q8NBJ4
Q9P2H0 Q9Y2X7
Q5T3J3 Q9H4M7
P46777 P63241
Q9UKA4 P31323
Q9P2H0 Q99689
Q92597 P21397
P37268 Q149N8
O95251 P49736
O60869 Q13285
P30793 P05026
Q12959 P98164
Q92556 P98174
Q6P2C8 Q96HR3
Q9Y678 P48444
Q8IW19 P49917
P68400 P55010
Q99700 Q8NHU6
Q96CG3 Q9GZT8
Q969J3 Q9UHX1
O95994 Q9Y3C7
Q9UMS0 O95278
P68400 P13807
Q09472 Q15751
O14980 O14746
P67870 P68400
O75716 P19419
O75533 Q12972
Q9GZS1 O15160
Q96BD8 Q9UL45
O60383 P04183
Q15714 Q9GZT6
O14717 Q7L5N1
Q5RKV6 Q06265
P31785 P05112
O43809 Q5RL73
O76031 Q16740
Q9GZY0 P35658
P35556 P55001
Q9NZ52 P11717
P40189 Q16619
Q9Y2B0 Q9HAP2
P13612 O43294
P02766 Q7L5D6
O75083 Q15477
Q5VWK5 P42701
Q08211 O60502
P43308 P08240
Q9UGJ1 Q96GA7
P43034 P68400
P04183 Q9GZT6
P02766 P98160
Q14940 P49407
O75818 Q99575
Q9GZX9 Q9H2X0
Q9UPT5 Q96A65
Q15477 Q8IZH2
O60383 Q9UN74
Q01780 Q9Y2L1
P54253 Q9H7H0
Q9NPI8 O15287
Q14974 P52948
Q9NV56 Q9NPF5
Q96F07 P51116
Q9UMS4 Q9UPT5
Q6VY07 P11717
Q99973 O14746
P04053 P12004
Q96RD7 Q99572
P80108 P02647
P46379 Q09472
O75330 P16070
P48681 Q15078
P09874 P12956
Q16665 O15534
Q92989 O43809
O75396 Q13190
Q99705 P20382
Q92624 Q4U2R8
Q16864 Q9P2H0
Q9BVJ6 O43261
P63208 O60907
P40189 P08887
Q93033 Q9UHX1
Q9Y5N6 Q99741
Q92844 O14920
P12956 P09466
Q9GZZ8 P04004
P60468 Q15629
O43427 P67870
P00480 Q15388
P21549 P50542
Q13285 P35222
O14746 P42345
Q07817 P02489
P59665 O60925
P17509 Q09472
Q01831 P32780
P16298 P32418
Q12906 Q08211
Q9UL45 Q96EV8
Q15648 O60244
O43390 Q13873
P13686 O14737
Q9UNM6 O00232
Q15572 Q15573
Q14789 Q9P2H0
Q13432 Q01344
Q08211 Q08945
Q9H081 Q6P1K2
Q6P1Q9 P49768
P24588 Q12959
P15927 Q7L5N1
Q9UNE0 Q13077
Q13155 P07814
P02753 P02768
P50542 O95149
P30305 P67870
Q03181 P30041
P15927 Q5T3J3
Q13480 Q8WU20
Q14191 P12004
P12004 P28715
O00214 P05556
P58753 Q15629
Q9BVP2 Q9H1I8
Q86XR7 O15455
Q9NQT5 Q96SZ6
Q9UBU3 P41159
Q9Y285 O43390
Q92572 O14617
Q16594 Q6P1X5
Q15020 O43395
Q99726 O14617
O75631 O75841
P06731 Q9P2K9
Q6QNY1 Q9NUP1
P01589 P14784
O75460 P19438
Q14974 P49792
O00716 P06400
P55060 P14866
Q5RKV6 Q13868
Q15388 Q9P2H0
Q9Y6R4 O15169
Q09472 Q7L5N1
P54253 O15273
Q8WVB6 P35249
P30047 P30793
Q8WVM0 O00411
P04437 A0A1B0GX56
Q99689 Q9NRI5
Q99741 P49736
O95990 Q15834
Q96T76 P32780
O95059 O95707
Q7LFX5 Q9NQL2
Q9NRH1 Q9P2H0
Q96LW7 O95999
Q96BI3 Q9NZ42
Q9UKX7 P46527
O75419 P09884
O14893 P26368
O00716 Q14186
Q15834 Q9UJ04
P60228 O43292
Q9BXY8 P47874
Q13077 Q02223
P68400 Q92598
P78417 Q9P2H0
Q9UBW7 P26599
O14777 O95229
Q86YN6 P03372
Q9Y6X1 P61619
P16581 P16070
P52434 P30876
O14727 P99999
Q09472 O60356
P20618 Q9Y244
Q9NZ42 Q92542
Q9UKT7 P63208
Q9UHD2 Q7Z434
Q7L5N1 Q9UNS2
P15941 P25054
P14209 Q15645
Q99567 P52948
O60238 Q07817
Q14789 Q9UEU0
O43592 Q00341
Q9HAW0 Q5SXM2
O14737 Q9P2H0
Q9Y3D6 O00429
P01215 P21246
P04406 P05067
Q12791 P30519
Q92597 P39023
P98160 P05067
P04406 P04183
P16473 P02751
Q99741 Q06190
Q96KB5 Q12959
O75884 Q08999
Q13416 P27694
P61587 Q13017
Q8IZU9 Q9NP85
O43261 Q9GZT6
O60583 P06400
Q04637 Q9BUB5
Q9P299 P48444
P52434 P36954
Q05048 Q12996
P52179 Q8WZ42
Q7Z3B3 Q8NHQ1
Q07820 Q16611
P51116 Q5VSY0
Q15834 Q9Y247
P56715 P25054
Q00403 Q09472
Q12791 P78559
P32971 P03950
O00267 Q9NRX1
P62380 P52657
Q9NZJ5 O14920
P27694 Q9BTY7
Q9BUN8 P08582
Q12788 Q9BTM9
Q08211 O95793
Q9UBS8 Q13772
O15304 P0CAP2
Q8IXH7 Q8N8Q3
Q8TDM6 Q9BSF8
Q8TEQ8 Q07326
Q86YV9 Q9UPZ3
Q9NYG5 Q9UJX6
Q16665 Q9H6Z9
Q96PN7 Q13285
O00567 Q13873
Q04446 P52209
Q16594 P22314
Q9UMS0 P54198
Q03167 P05111
P51843 P48552
O75052 P98164
Q9UHI6 Q08211
Q8WW01 Q9BSV6
Q06495 P40855
O14745 O43572
Q9NWW0 P51610
Q6ULP2 Q9NZ52
P68400 P55042
Q86X55 Q15596
O43426 O00499
Q9BXY8 Q15834
Q96RL1 Q15406
O15514 P53803
P54253 Q5JSZ5
P43351 P27694
Q09472 Q14676
Q09472 Q12772
P35244 P49736
Q99460 Q99933
P58753 Q99836
P02686 P54253
P47224 Q9BVJ6
O60443 P21246
Q969D9 Q9HC73
P02647 Q13790
O60573 Q9NRA8
P25705 P04278
Q12874 Q01081
Q15800 P54253
Q8IV45 P19838
Q9Y5B9 P29084
Q9Y2T2 O43493
P09012 P26599
Q9UJX3 O60566
P68400 P55087
Q15643 P06400
P08603 P35318
O43768 Q09428
P21673 Q9GZT6
O95373 P09132
P56537 Q9BWH2
Q96BD8 Q8WVK7
P13569 P27824
Q9BRV8 Q9UHD2
Q9BU61 O15116
Q96J94 Q9UPY3
P12956 Q9BTW9
P26368 Q9UKJ5
P68400 Q05940
Q92597 Q00610
P68400 P06744
P13611 P16070
P09132 P61011
Q8WY41 Q05586
Q9UNI6 Q9P2H0
O94818 O75971
Q8TEL6 O14920
Q99436 Q92979
Q99689 Q86Y56
Q9HCS7 Q03468
Q99627 Q9UBW8
O00161 Q12846
O43913 P49736
P46100 Q9P2H0
O14746 P12956
Q99547 Q5RL73
Q92597 P51659
P07737 Q13432
Q9NYK6 Q15834
Q16891 Q9BQ95
P21359 P05067
Q13794 Q07820
P14324 P54253
Q13371 P17987
P38432 Q9Y6D9
Q12888 Q16666
Q96HE7 Q9BS26
Q14181 P09884
Q13191 P36888
P51843 Q13285
Q13573 Q9H1I8
Q9BVJ6 Q9C0J8
O00267 Q66LE6
Q07864 P12004
Q9NP79 Q7Z6G3
Q16594 Q16514
O75528 O75478
P46977 Q8NCD3
Q9BRK4 Q15834
P40189 P05231
Q8TEQ6 O14893
O15379 O60907
Q03135 P03372
Q9NYG5 Q13042
O15126 O00161
Q8IU57 Q8IZJ0
Q86WX3 P39019
Q5RKV6 Q9H2M9
P00451 P27824
Q99726 Q92572
P06753 P0C1Z6
Q9BXW7 P04278
Q92597 Q92499
Q5T3J3 Q16891
P13686 P15927
Q8N715 Q9BQD3
Q9Y5Z0 P05067
Q92945 Q13868
Q9UM13 Q13042
P30291 P68400
Q96E40 P49903
Q8NFH4 Q8NFH3
Q03135 Q13393
Q99698 Q14974
Q96HA8 Q9UL45
Q92624 Q12788
Q9NQB0 Q09472
O95149 O14980
Q9BUI4 Q9UKN8
Q12834 P30260
Q15102 Q8WUX9
Q8N668 Q86VX2
Q5FBB7 P13010
P21246 Q96EW2
O75818 O75817
P98161 P35222
Q9P2R6 Q9BQ66
Q86UP0 P35222
Q9Y275 Q02223
P09693 P07766
Q5RKV6 O43809
Q9UHQ1 P02545
Q07889 Q12929
O43747 Q63HQ0
O60256 Q8N8Q3
P20674 P00395
Q9NXU5 Q4V328
Q99741 Q13416
P15927 Q5RL73
O15379 Q8NB12
P38432 Q8TAP6
Q9UKN8 Q92994
P68400 Q6VY07
Q9UFG5 Q15834
P09874 P06748
Q92597 P23396
Q15397 Q86YV9
O43913 Q13416
P32971 P28908
Q9H422 Q9UGP4
P37268 Q9BTV4
Q00341 Q08211
Q96QK1 Q13596
P68400 P06401
P10451 Q8WYA6
Q9UBD5 O96020
O14777 Q9BZD4
Q12906 Q9HAV4
Q03468 Q13216
Q9UJW9 P15927
Q7Z7C8 Q16514
P10827 P61201
P62258 P54253
Q9NP98 O15273
Q8WZ42 O15273
P54198 P23759
Q9UQB3 P35222
Q5T124 Q8IYR0
Q9Y6X1 P27824
Q9BVJ6 Q15834
Q15102 Q9GZR7
Q9Y2H0 Q96A65
P40925 P21695
O95059 Q96ID5
P05060 Q99700
P68400 P11836
Q9GZY0 P78559
P06748 P24522
P38432 Q9GZT8
P17480 P68400
P68400 Q12972
Q15102 Q7L5N1
Q9NV58 Q9UMX1
P49754 O14617
Q5FBB7 P12956
O00628 P50542
Q9GZR7 Q9Y2X7
Q9UJW3 Q9UHA3
Q9NVU0 P05423
Q9H5J8 P17480
P01042 P04004
Q9BQ66 Q14781
Q9NT62 O95352
Q92597 P35222
P49354 P49454
P04053 P12956
P41252 P07814
Q8WV28 Q13191
Q9UQ80 P06400
P27694 Q9H1I8
Q96RU2 Q12888
P49903 Q9UKR5
P16284 P35222
Q16478 Q8NBJ4
Q09472 P19419
Q969D9 P16871
Q9BVC3 P12004
P49736 O14775
P09693 P04437
O15116 O43776
O60238 Q6NUQ1
P62750 Q92973
P78549 P28715
P02647 P02766
Q96RU7 Q5RL73
Q86XR8 Q96RL1
Q15185 P31948
O75528 Q9BRR6
Q9BTP7 Q8IYD8
P43351 P19447
Q9NTM9 Q6IA69
Q9NX46 Q70Z53
P54253 Q9UMN6
P12272 P49407
P11940 O95793
O43823 P24385
Q04637 P55010
O95180 Q12791
P55084 P05067
P22234 P51116
Q7Z434 O95786
P46777 P68400
P07686 P41214
P08574 P99999
Q969E3 Q08334
Q9Y3F4 Q8WXD5
O14717 Q5T3J3
P54253 Q6V0I7
P16870 Q5T3J3
Q9Y6B7 O60566
Q9UBW8 Q9BT78
Q8N668 Q9NX08
O00161 P13569
Q15834 Q6ZU52
P13798 Q0P6H9
Q00610 P49407
Q9H267 Q9H9C1
Q9GZS1 Q15572
Q9GZT8 Q15834
P21673 Q5T3J3
Q15029 Q8NBJ4
O75150 P06400
Q9NV56 Q9H0E9
P37268 Q15041
P32780 Q13888
P18206 Q00610
P78406 Q9GZR7
P61247 P09874
P15927 P27694
P11684 Q6UX01
P61313 Q7L5N1
Q5VVH5 P51617
Q8IZH2 Q9BZI7
Q13571 Q7Z6Z7
Q08999 Q86Y97
P49815 P19021
O14717 Q5RL73
P54253 Q8TE02
Q9NQX5 Q9BQ66
Q9UFN0 Q8NBJ4
O15360 Q9NPI8
P10827 Q13569
P49959 Q09472
P04406 Q9UN74
P46736 O75971
P55060 Q0P6H9
P35249 O75943
Q13432 Q9H0Q3
Q16533 Q92966
P41159 P52790
P07766 A0A5B6
P15822 Q92979
P12272 P05231
P12956 Q9HBL7
Q99700 Q13772
Q8IZU3 P11940
P42081 P33681
Q5JSS6 Q8N0X2
Q13569 P03372
P37198 P49792
Q9H0Q3 Q9GZT6
Q9UHR5 Q9UHX1
Q8NEC5 Q9BQ66
P01579 P38484
P49757 P05067
O14732 Q15011
P57678 Q8TEQ6
Q16891 O15258
Q99558 Q13077
P25208 Q09472
Q9NRX3 Q9BXR0
P12272 Q03431
P12270 Q16666
Q14627 P05112
P34981 P49407
Q15102 Q9Y4G2
Q9P2M7 Q9Y624
O15169 P25054
Q9UKA2 P63208
Q13228 Q5T3J3
P36542 Q9NRX1
Q9NQW7 Q6NUQ1
P02775 Q14061
P05556 P27824
Q05586 P11137
Q92859 O00634
O95747 P55011
Q96KN1 P35221
Q9HB71 P63208
Q15645 P30039
P03372 P01160
Q9NQS1 Q07817
Q9P2M1 Q9UNS2
P02647 P18428
P56537 Q5T3J3
Q13432 P49903
P54253 Q969X2
P21359 P62380
Q7L5A3 Q15834
O15379 P78347
Q13873 P22004
P20290 P30876
Q96H20 Q9BRG1
P62888 Q99558
P55157 P04114
O60732 O75964
Q9NSC5 Q14643
Q9UM13 Q9UJX3
P46783 O95251
P27824 O95990
P02649 P05067
O60566 P51587
P32927 P04141
Q14005 O60232
Q9GZM8 Q9NRI5
P05556 P98160
P29084 Q03468
Q8TDM6 P35222
P60568 P14784
Q3L8U1 P03372
O75665 Q5JY77
Q15293 P54253
O15514 P62487
O43541 Q15750
P42345 Q8N122
O15145 Q86YJ6
Q03167 P08476
O15160 Q14191
P60033 P13612
Q15102 Q96ID5
Q9H211 Q13416
Q969L2 O43399
Q9BTE0 Q9P2H0
P51116 Q9NQC3
Q6PIZ9 P20963
Q9BW71 P54198
Q99967 Q09472
Q05586 P21359
P03886 Q16762
Q13561 Q8NBJ4
Q9BQ66 Q08E93
O43752 Q9P253
O60496 Q96EK5
P18428 P08571
Q8NI08 P03372
O60383 Q9Y6M9
Q96RU2 Q14676
P17181 P48551
Q15631 Q99598
O14773 O14746
Q15181 Q13432
P03372 P30305
P36542 P19823
Q9UDY2 P35221
Q01113 P15248
P22234 Q9Y3A3
P60033 Q8TDM6
Q96KJ9 P99999
P98164 P11684
Q6UB99 O15379
Q05586 P35222
P37198 Q14974
P21246 Q9NXU5
P28300 Q07507
O76003 Q70Z53
P09496 Q00610
P21673 Q9BQ70
Q12929 P05556
Q04837 P54098
Q15406 O14775
O43823 P49736
Q8IU60 Q9UKV8
Q9UBU7 Q9UBD5
Q9NQW7 Q14181
Q8TCG2 P20963
P02654 P02652
P35221 Q12959
P48147 P20366
O15519 Q07817
Q9UPT6 Q9NPQ8
Q9UPV9 O15294
O15130 P01303
Q12824 P06400
Q5FBB7 P18124
Q13190 Q5T3J3
P21673 Q9BVJ6
P36542 P25705
P14902 Q9GZR7
P48551 Q9UMW8
P49767 P35916
Q8WUM0 P52948
O14836 P49069
O95831 Q8NC60
Q16594 Q00403
Q9NP85 Q9Y5K6
O15287 P51587
Q9NZJ7 P49768
Q99700 P11940
P48736 P40189
P10451 P16070
Q9Y2T3 Q12959
O60573 Q9BQ66
Q9Y6B2 P06400
P02489 O75390
O95807 Q8WVR3
O60763 Q13190
P68400 Q13144
O75925 P03372
P60033 Q9P2B2
P27824 P04114
P54253 P26368
O95721 O43752
P13010 P09874
O75352 P04278
Q9BVJ6 O14737
Q96G25 Q93074
Q05586 Q13224
Q14512 P98160
Q13573 P06400
O76003 Q9BQ66
P35222 P19838
Q9HB96 Q00597
Q9BPZ3 P11940
P98160 P28799
Q9NWF9 O15455
P46379 Q6T4P5
Q9Y294 P54198
Q8N715 Q15834
P09669 P21246
P30990 P16870
Q99547 O95453
Q5TCY1 Q15078
P01148 P30968
O14976 Q00610
O94910 P08922
O95425 Q99572
Q9Y2X7 Q9H0I3
P30519 Q5JY77
Q13228 Q15645
P68400 P41236
P19419 Q02363
P09466 Q7L5N1
Q9UHI6 O14893
Q13200 Q8WVY7
P49842 Q99808
P36543 P12956
O14717 Q9BVJ6
P30519 Q9Y2X7
P19256 Q15011
P52797 O95084
P32780 P29083
P62854 Q969E8
Q5RKV6 Q9Y2L1
Q13190 Q16891
Q14966 Q9BQ66
Q01831 P19447
P02766 Q99689
O15117 Q13094
P21246 O76061
Q9UNN5 P67870
P41227 P11245
P21359 P34741
Q8IZH2 Q92925
P60228 Q9HC44
Q96IP4 P46379
Q15834 Q53FD0
Q9HC73 P16871
Q15633 Q9H0R4
P80108 P17900
P11940 Q8IYD1
P27694 Q13228
Q9H0E3 Q4LE39
Q9HCU9 Q969G3
Q96G75 P04278
P60033 Q9C086
O43561 P12318
P60174 Q9GZR7
P21673 Q9H8M9
Q6NUQ4 O15116
Q15642 Q68EM7
P38432 Q4J6C6
Q92878 P49959
Q9NWT6 O15379
P09693 A0A5B6
Q7L622 O00453
P46379 O95163
Q96R06 Q14990
Q8NHV4 Q09472
Q9Y3C7 Q96G25
Q15049 P13693
P28715 Q92759
Q9Y6B7 Q9UPM8
P62258 Q9Y4H2
P61218 P62487
P68400 Q16666
Q96CD2 Q96BT3
Q9HCU9 Q9UBN7
Q06495 O95070
Q16514 Q10570
P00966 Q9H1I8
Q8IZH2 P04075
P17480 Q08999
Q9Y2X7 O43294
O75934 P06401
P53602 O14775
P31785 P13232
Q8IYF3 Q6ZU52
Q96FV9 P06400
Q7Z392 Q9H0R4
P54253 Q5HYC2
Q9H204 Q96G25
Q9P2M1 O60241
Q1MX18 Q8TEW0
Q9BTY7 Q8N2U0
O95251 Q8NHQ1
Q15583 Q5T3J3
Q16891 Q9BQD7
Q99689 Q14919
Q9HBZ2 Q16665
Q15645 P07902
Q5T5C0 Q12846
P04278 Q00796
Q05586 P27824
P51809 Q12846
Q6X4U4 P22004
Q9HAV4 P35658
P35869 Q09472
Q96RL1 Q9C086
Q96RE7 O15379
P15018 P42702
P49792 P0DN78
A0A5B6 A0A1B0GX56
Q12923 P35222
Q86UR5 Q8IUD2
Q8NBJ4 Q3MHD2
P60228 Q9GZR7
P61247 O00422
P15509 P04141
Q8NBJ4 Q8IYL3
O15315 O43502
Q9NY26 Q15464
Q92870 P05067
P31785 P14784
Q16612 Q96ID5
Q9H211 P12004
P07101 P68400
Q08211 Q6P2Q9
P20366 P29371
Q92828 O60907
P63208 Q9UKT4
Q15029 O15145
P29274 P00813
O15342 P36543
Q9H081 O14777
Q01780 Q96AT9
Q9Y5Q9 Q92994
O15360 O15287
P57740 P35658
O15169 Q9BVJ6
Q92542 P05067
Q9Y6X1 P60468
O15235 Q13432
Q7L5N1 P60228
Q12959 P78559
O76003 Q6FI81
O43148 O60942
Q9Y5X5 O15130
P48552 Q15834
P07602 Q7L5N1
O60906 P48736
Q92598 P00558
Q96JE9 Q13077
P00367 P00505
Q9Y294 P50502
O60383 O43261
Q969Y2 Q9NP50
Q6ZYL4 Q13888
Q13432 P07766
Q08211 Q96SB4
Q03701 P18627
P21246 Q9H8M9
P62258 P30305
P54253 Q86VZ5
Q03701 P25208
P51808 P06127
Q9Y2D8 Q16385
Q9UBW8 P60228
Q9UHF0 P29371
O75716 P02686
P12956 P16284
Q9H633 O75818
O15519 Q13077
Q8IYF3 Q53TS8
P84090 Q9Y3C7
P09693 A0A1B0GX56
Q9UHD2 Q9H6S1
Q9UQ84 P54278
Q8N336 Q9NWX6
P18428 P63220
Q08257 P02489
P24666 P35222
P35244 P27694
Q09472 P52948
P35244 P15927
O75182 Q9Y6D9
P50591 Q5RL73
O60907 P35222
Q11203 P02766
Q9H081 Q96IY1
Q9NQB0 P49768
O94985 Q14669
P46379 Q969H8
O60925 Q5JY77
Q14191 P09874
Q9NSA3 Q9NQB0
P30876 P62875
Q9NP98 Q96T60
Q9Y2X7 Q6P1K2
Q96T76 P03372
Q7L5N1 Q9BWC9
Q9NP84 Q13077
Q9H900 P50748
O43592 P35658
O00161 P51116
P20823 P35222
P49755 Q96BI3
Q16478 P58340
Q92643 P05187
Q9UJ70 O75716
Q99689 Q9UQE7
O15273 O14793
P68400 P18858
Q9BQD3 Q96LK0
Q13571 O95208
P06401 Q13573
P09327 Q8IYF3
A5YKK6 Q9NZN8
O15379 Q03181
P49771 P21583
Q8NBJ4 Q9H840
Q9H422 O43294
Q9UGL9 Q96ID5
O14745 P35222
P21673 Q9Y3C7
P05556 P02751
P35520 Q8IV36
Q16665 P27695
Q9UKG1 O94776
P54253 Q6ZMT1
P21246 Q96CQ1
Q13069 Q8NEA9
Q7L590 Q15834
P32969 P23396
Q53TS8 Q15834
O60293 Q15834
Q9P086 Q15528
P19320 P35225
P52434 O15514
P13010 O14746
Q9UQB8 Q9UKR5
Q969G3 P03372
Q9Y3B2 Q8IZH2
Q15102 Q9UKR5
Q9Y624 Q8TEW0
O00220 P50591
Q9Y3C0 Q9UL45
Q9GZM8 P43034
O60383 Q9Y3C0
Q13685 Q8IXH7
P49366 P63241
O76061 Q9H1D9
Q96JB2 Q14746
P04004 P61812
Q9NVC6 Q15528
O14832 P00451
P60896 Q5JVF3
P21673 Q9P2H0
P21246 Q9NPJ1
O43747 P08247
Q99558 O95163
Q5FBB7 P62424
Q9NR82 Q9NRI5
P15018 P40189
P04004 P01189
O00161 P51809
P28799 P52790
Q9NX74 P07814
Q13432 Q9BXR0
Q9UBW8 P61201
Q16666 Q02363
Q7L5N1 Q9Y4P8
P03372 P51946
O43809 Q9GZT8
Q8TAA9 P27701
Q03393 Q86U86
Q99698 P67870
Q99627 P60228
Q99627 Q9UNS2
P13010 Q14191
Q15542 Q10570
Q6IA17 P51617
O75381 O00628
Q15648 Q93074
Q9BTY7 Q9H3H1
Q03013 Q8IXH7
Q9Y3T9 Q5T3J3
Q9NS69 Q15388
Q9BVJ6 Q9H8T0
O60232 Q9NP79
Q5JY77 Q9H7E9
Q9NRX1 O43147
Q96N16 Q9UBS5
Q99689 Q5MIZ7
Q9BXW9 O94782
Q92966 P06400
P56134 Q6PK04
P15941 P35222
O60925 Q9H7V2
O60343 Q9HCM1
Q9UKR5 Q14061
P04040 Q9BXR5
P30154 P35613
Q03431 P49407
P00751 P0C0L5
O95084 Q6KC79
Q16658 P35222
P47804 Q96EK5
P14866 P26599
Q14134 P49773
Q13794 Q07817
Q99665 P29460
O60496 Q02763
Q92759 P19447
Q5RKV6 Q07021
P60022 Q5UIP0
Q8WUW1 Q96F07
P35613 Q03135
P21246 Q969Z0
Q13077 P19438
Q6P1J9 P35222
Q03013 Q9Y3C7
Q7L590 P49736
Q9GZP4 Q6P1J9
Q8NFF5 Q9NRG1
P40189 P42702
Q13888 P19447
P46527 O15131
Q7Z3B3 Q15834
O00267 Q9UHR5
Q12802 Q03113
Q5JY77 P20309
Q15274 Q9BQ66
O95391 Q15834
P78527 P15927
Q8IYX3 Q15834
P02647 P04114
O14777 Q9Y6D9
P26639 P12081
Q13596 P06213
P49641 O95163
O60671 P06746
Q8NFZ5 P21580
Q8WV28 P21854
Q9BVK8 O95870
Q5FBB7 P78527
P49917 O95347
Q96A72 Q9Y2J4
Q9NYH9 Q9BQD3
Q5JR98 Q03167
P11597 O15145
Q13432 P84090
P35221 P49768
Q6PIZ9 P04437
O96020 P46527
P50616 O43541
P19320 P05556
P27701 P05556
P30990 Q99523
P15509 O14920
Q9NP99 O43914
Q96JB2 Q8WTW3
P46379 Q13190
P13612 P13611
Q96JB5 Q15078
Q5THR3 Q99497
Q9Y678 Q15185
P51116 O60232
Q86SG3 Q86YF9
P13984 P29083
P53621 Q02978
P07737 Q9UKR5
P36542 O43676
P36543 O75348
P40926 P07954
Q9H1D9 Q96FK6
P51003 P09012
Q09472 P05114
P06213 Q07666
P24522 Q13561
P04179 Q9H0R4
P06733 Q9UPW5
Q9NQS3 Q8TEW0
Q96PN7 Q09472
P05060 Q13724
P22674 P12004
P46100 Q9H7U1
Q13347 Q04637
P49789 P10809
Q96T60 Q9BQ66
P49771 P36888
Q9Y4Z0 P62304
Q9NX01 O94906
Q13113 Q9BVJ6
Q9NZL9 P31153
Q9Y4H2 P17480
Q9UKR5 Q9UN74
P16871 P13232
P30519 Q5T3J3
Q9Y6H3 P12956
P35222 Q96QZ7
Q15645 Q96LM6
Q969H6 Q99575
P10124 P02768
Q13094 Q15464
P01375 P19438
Q13571 P21580
P28715 P18074
P00491 Q9GZT6
Q9UQE7 Q92845
P29122 P20382
O14745 Q03431
P21580 O76080
Q9Y2L1 Q13868
Q9H1D9 Q5T3J3
Q02363 Q13432
O15144 P59998
P49407 Q14749
Q9C000 Q07817
O95373 Q14974
Q92844 Q13077
P51116 Q15834
P30519 Q9P2H0
O75694 Q53GS7
Q6P1K2 Q9P2H0
P13010 P12004
Q53H80 Q15834
Q8WZ42 Q14596
P78324 Q08722
Q14974 Q12772
Q09161 O75150
Q8WV28 Q96MX0
Q13432 O14717
Q9GZT8 Q96H20
P98164 P02768
O00203 O60566
Q13765 Q96ID5
Q5RKV6 Q13347
P46100 P21246
Q9H204 Q96HR3
Q9Y678 O14579
Q07889 O00499
P13727 Q5RL73
P51587 Q9HB96
Q9BVJ6 Q9GZM7
P48147 P30990
O75052 Q9Y272
Q9HCU9 O15131
Q96GG9 Q13571
Q96CD0 P63208
P00505 Q9H6R6
Q9Y3F4 Q9P0P8
P04278 Q5D1E8
P17342 P01160
Q13901 P78527
O14777 Q9UL45
P50454 P17480
Q9H0Q3 Q9NVX0
Q8N3C0 Q15650
P78552 P35225
Q96NW7 O14656
P23352 P34741
P57739 Q9BQ66
P61201 P55789
Q99828 Q14596
Q9NY61 P06400
