Q13610 Q6V1X1
Q86XI2 P61970
Q53H80 Q7L3B6
P61218 O43182
O75506 Q9Y676
P62805 Q14204
Q969G3 P46952
P62805 Q9BYD2
O00462 P49753
O43365 P0C7P0
O00257 O43182
P19447 P34897
Q16594 Q9NPB1
Q0VG06 Q9UJM3
O94906 Q03013
Q16656 O60477
Q05952 Q6P1L8
Q8IYD8 Q8IVS2
P83369 Q6UB35
Q96D98 P54136
P03372 P39023
Q13416 Q02252
Q96AV8 P49675
Q86U86 P06132
Q9UBU8 O75936
Q9UBR2 Q16740
O43513 Q8N3C0
P10827 Q96RP9
Q86WQ0 P31937
Q16533 O60760
P19447 Q8TE02
Q9P0K8 Q9P0R6
O75132 O60239
O94864 P15104
Q16594 Q9BU02
Q8TF76 P62917
Q12996 P15104
P49842 P49753
P35244 P30838
P51826 P83881
P18858 P15374
P27695 Q9UI17
O95248 P82650
O94864 O95786
Q969F1 Q9Y239
Q9BXL8 Q9NP97
Q13029 O95848
Q13077 Q8TDR0
Q2M1K9 P00558
O43541 P82664
Q9Y5Q9 Q9Y2R5
O94906 Q9HCN2
O94782 Q9Y2J8
Q9Y6W3 P61970
Q6P1J9 Q9UBR1
P54278 Q16740
Q8TDY2 P82650
Q64ET8 Q9NY33
Q9Y618 O14618
Q9NX01 Q9Y239
Q9NV56 Q13162
Q01538 P21695
Q9H2F5 Q9BRA2
Q7Z5Q5 Q15185
Q96AV8 Q08257
Q01081 P51580
P27694 P21695
P52701 P49675
Q9Y6W3 P13995
O75446 Q9BPZ3
Q96D98 P49915
P51826 P82650
P04066 Q9BRJ2
P13686 P47874
Q12986 O60239
P06746 P34897
O75132 O60477
Q00403 Q9UD71
Q9UI36 Q9H2W6
O75446 Q8N3C0
O00257 P14061
O94864 O00471
Q5U623 Q92598
Q16576 Q8N427
Q9BSH3 P53384
O43365 Q9H9J2
Q64ET8 Q01581
Q9Y6W3 O00471
Q8N9N5 P82909
P42695 Q9UJM3
Q9H2F5 P48147
Q9GZP8 Q9BU02
P36954 Q9H6S1
Q15562 Q8IVS2
A6H8Y1 P00558
Q9UDW3 Q8NEL9
Q9UBU7 Q8N6F7
Q9NV56 Q04837
P18074 P51398
Q9UNI6 P48735
O60508 Q14442
Q9H6T0 P82921
Q8TAU0 Q9UHR5
Q9BX63 Q9NZD4
P29084 P62495
Q9Y6J0 P83111
P15586 Q9UPY3
Q9Y5N6 Q9UHN1
Q02363 P49753
Q15291 P21695
O43513 Q5EBM0
P09012 Q9NZJ9
Q01780 Q9NQT5
O94906 Q9UHN1
Q9UL03 O00411
Q9Y657 Q16540
Q5XKR4 Q9UHN1
P49005 P29144
P06746 Q9UN86
O95990 Q9UI17
Q9BX63 P08319
Q01538 P48147
P19447 Q9Y3D9
O95926 Q16612
O75971 Q9BRA2
P25208 P40925
Q8N9N5 P06132
O43929 Q07020
Q13285 Q9Y2J8
P23759 Q16719
P54803 Q92844
Q15596 Q9Y2R5
P09884 P30711
P12004 Q99819
O60583 P28799
P78364 Q9BTM9
Q13610 P51970
Q8TCJ0 Q8WXI4
Q96KF2 Q13162
Q86UU0 Q9BYC2
Q13568 Q9NZD2
Q86V15 O95379
P35475 P54136
Q8WUA4 Q9NZD4
P35475 Q9BYD6
Q9Y657 O15091
O00623 P56589
Q5THR3 P62917
Q9Y535 Q9BYD1
Q8WX92 P06132
Q8WX92 Q9NZE8
Q5H9F3 P82663
P62487 Q9Y2Q9
P04066 O00411
O60583 Q6V1X1
Q9H4Z2 Q9UHN1
P10412 Q7L3B6
P09884 P50135
Q13568 Q14894
P78549 P35270
Q9H4Z3 O75534
Q13569 Q96NW7
O96020 Q16719
O94864 P35754
Q96BP2 Q99558
Q5TB30 P54577
Q07352 P26639
O95551 Q8IXM3
Q5THR3 P15374
Q9H6T0 Q8NFG4
Q9H582 Q9HCN4
Q9UHR5 Q9P2W6
O75506 Q14894
Q8NFW8 P33402
Q16576 P35754
P22304 Q9Y3E5
O95411 Q9HCN2
Q9NWT8 Q8N142
Q00577 P49902
P49184 O75936
O00311 P55084
Q6ZYL4 P27708
Q9H8M7 Q93088
P18074 P55084
P15918 Q9BZL1
Q9H2F5 P82932
Q16514 O60477
P49917 Q7L3B6
Q16656 P23378
Q92759 O75534
Q12824 Q9NT62
O96020 P33402
O43513 O14618
P19532 P35754
O76039 Q9NZJ9
O75446 Q92844
O96020 Q6NUP7
Q15393 O75880
Q9BTP7 Q02252
Q8N9N5 P31937
P62487 P54687
Q9UNI6 Q04837
O60315 Q96HU1
O00462 P55084
P36954 Q16822
P04554 P78417
P54278 Q9HD40
O00716 Q9BPZ3
Q9UKF6 Q9UI17
P17900 Q9BYC2
Q8WWL7 P26639
Q96JN0 P24666
Q96JN0 Q9NZD4
O96019 P82664
Q13573 P07741
P26368 P49789
O75506 Q01581
O43365 Q8N183
P62304 Q6NUP7
P12004 P82932
O75528 Q9UHD2
P49917 Q16540
Q9Y657 Q9Y2T2
Q16514 P82675
Q5XKR4 Q9GZT8
