O15344 Q8WWB3
Q9UQC2 P07948
P40425 P51965
P21802 P05230
P63244 P06213
P30291 P24941
P40937 Q7L5N1
P20591 Q9UL62
Q6VN20 Q96KG7
Q9H204 Q8N6Y0
Q13061 P23327
Q99665 P42701
Q9P0K1 P63104
P54259 P46379
P36542 P60002
O75558 P63027
P48380 Q12933
O00238 O60383
Q86VP1 P21580
P37173 Q9BXA7
Q6VMQ6 Q9NRI5
Q92844 Q12933
Q92973 P09132
Q96EK5 Q96S99
Q06124 P42229
P42229 P00533
P38432 Q8IYF1
P41240 P12931
Q05516 Q9BQ66
P20941 P25098
Q8IZP0 Q12929
Q13489 P42574
Q9H078 O15198
Q9Y3C5 P42566
P54253 Q96EP0
Q9Y5N6 Q14566
P30281 Q96EV8
P60891 Q9H8Y8
Q92529 P07949
P16150 P35222
P25963 Q9Y2U5
Q9UMD9 Q15149
P61981 Q14978
O95983 Q16576
O00222 P21333
Q13332 Q13432
Q14469 Q9NPI8
Q9Y2U8 O15198
Q92793 P17844
Q9UBH0 P12757
O43525 P56696
Q96Q15 O15198
P49662 P42574
P08865 P63220
Q96KN1 P35221
Q9Y3C5 Q9Y2X8
Q9NYK1 Q99836
P19174 Q99704
P46013 Q13185
Q8NCW6 Q99102
Q99704 P05556
P51451 P12318
Q92793 Q08050
Q9NZN8 Q9UFF9
Q9Y6Q6 Q12933
O60315 P84022
Q99700 P13796
Q9HA65 Q9H1I8
P41252 P07814
Q96H20 P55199
P68400 P11831
O14617 P51809
Q96CV9 Q9Y3C0
P04637 P32780
P09466 P84022
P56539 P32418
P21333 P61586
P68400 P04198
Q13618 P24864
Q8WYP3 P61020
P04070 P12259
P06241 P51911
P79483 P01189
P08253 P07585
Q13576 P60953
Q9BX66 P22681
Q99500 P63096
P43116 P41222
O43463 Q08999
O75376 P10276
P09237 P07585
P10276 Q14686
P54253 Q9UGR2
Q9UKY1 Q9C0J8
Q8NG27 Q8IYI8
O14893 P62316
Q02962 Q9UQF2
P84022 P36897
P10645 P00747
Q13287 P40763
Q02363 Q5T3J3
P06454 P06493
P54253 Q8N1L9
Q9HAT8 Q99836
Q04724 P49703
O14818 Q16665
O43439 Q99750
P24468 Q09472
Q9UHY1 P58340
P46379 Q969H8
P49286 P27824
P11142 Q8NC60
O94763 P19388
P23246 P09012
P06493 P39880
Q06187 Q8TBX8
O00305 O00555
P41273 Q07011
O14641 Q9Y4D1
Q13177 P60953
Q7LBR1 P53597
Q05586 Q00610
P07951 P25098
P15018 P40189
Q92569 P06213
Q9BUH8 Q8TAU3
P52298 P31943
P02751 P14780
P40763 P15976
P62879 P36897
Q13424 P62993
Q04912 P31947
O00161 P51809
P49841 O14576
Q13077 P20333
Q8IU57 Q8IU54
P12814 P29274
Q15700 Q9NZ94
Q05586 P05771
P01024 Q02985
P15941 P25054
Q9H4E5 Q15796
Q09472 P51692
P30556 P52888
Q9HCM9 Q96GG9
Q01629 Q96EY7
Q9C000 Q9Y239
Q07889 Q96S59
P27824 P15260
P15153 P60953
Q15365 Q9BTD8
O43491 P35462
Q06455 P41182
O00300 P04275
P61981 Q9UHR4
Q00994 Q13077
P01116 P10415
P00749 P05120
Q9H939 P04278
P36406 Q0VDD7
P08138 P28482
Q99959 P14923
Q8TAB5 Q8N6Y0
Q9GZS1 O15160
P43320 P02489
Q15102 Q9Y3C7
P17948 P06241
P07357 P02748
P61956 Q13569
Q14140 Q14186
Q92793 Q9UID6
O95870 Q8TCT9
P09455 Q9UK53
Q13547 Q96T58
P28482 Q15583
Q13309 P63208
P00742 O14880
Q9Y5X4 Q12788
O60925 Q5JY77
P23528 P61981
P31994 P02743
P61981 P10398
Q9UBU9 Q01081
Q14289 O60674
Q9UNE0 Q92838
Q12929 P18084
P42229 P23458
P17612 P18846
O15164 P04150
O00206 Q9UPT6
Q6PKG0 P61981
P68400 Q02790
P04198 P61244
P55316 Q12778
O00192 P19022
Q15759 P10415
Q13485 O75928
Q9UMX1 O00422
Q6EEV6 Q14103
P62820 Q9UPY8
O15105 P52564
Q8WTS6 Q71DI3
Q9BUE0 Q9Y3C7
Q9Y618 P55055
Q9NS23 Q66K74
P48551 Q9UMW8
Q92844 Q5D1E8
P43403 Q9UQC2
O60941 Q96A04
P02792 Q12852
Q13705 O14793
Q6P5Z2 Q13393
Q12959 P35609
Q8N474 O60353
P27361 P49407
Q9NWA0 Q96G25
Q99832 P17987
Q92974 P62258
P15036 Q92793
Q15599 P47900
Q8IWT3 P68036
Q96D59 Q9BQD3
O94986 Q9Y2J2
O95081 Q9UBC2
P25092 Q02747
P11802 P46379
P16989 P49841
Q9Y620 Q06609
P78527 P15927
P60953 Q9BYG5
P40616 Q13439
P42575 Q08378
Q9UPR5 P27348
Q99708 P38398
P07585 P20908
P42224 P40763
Q9NPI1 P54257
Q13642 Q06330
Q15811 O15126
Q8N474 P56705
Q9UKY4 Q9Y6A1
Q9HBA0 P06239
Q02241 P61204
O15226 Q04206
Q9UHD2 Q7Z434
P63165 Q96GM8
Q9Y678 P21728
O15145 Q86YJ6
P01112 P30307
Q9UM47 O15111
P21741 P23458
P35070 P04626
P19429 Q13563
P09681 P48546
P04629 Q13501
P19012 Q6ZVK8
Q00577 P08047
P04406 O00231
P62258 P21580
P04637 Q15102
P56645 O00327
P78560 P42575
P41227 P11245
P29016 P61769
P61278 P35346
P49888 Q7L5N1
P42224 P43405
Q9H334 Q13363
Q9UBW7 P35637
O60894 P10997
Q14192 Q09472
Q12933 P25942
P18054 P13647
P61981 P40818
P25445 P0DP25
Q8IUW5 Q969Z4
P17252 Q9UQ80
Q99750 Q5TA45
Q96B36 P42345
Q15011 P49768
O60260 Q12959
P56693 Q13287
Q96D09 P42858
P13598 P11215
P40763 P08069
P52564 O15264
Q9HAU0 Q9Y4Z0
Q13162 Q06830
P04070 P00450
Q99972 Q13683
Q04206 Q14653
P32121 Q8TAQ2
Q9NQX5 P24941
P55884 O75822
Q8WU20 Q92730
Q8N715 Q9NR12
Q13323 Q16548
O00429 P08670
P52298 P52597
P56597 Q96IM9
P14373 Q9GZU1
P19012 Q9UGJ1
Q9Y692 P55211
Q5T1R4 Q12933
Q96EV8 Q9Y4J8
Q13501 Q14596
O60861 P68133
P30153 O95405
Q8NFZ5 P41279
Q8NEM7 Q9NRR5
Q96E17 Q9UNE2
Q9UGJ1 Q8NA61
P12931 Q13077
Q9NRR5 Q7Z3S9
P48736 P06396
P28482 P50616
P36957 P35080
O60318 Q9UKK9
P16871 P27986
P08571 P02788
P07910 Q8TAP4
P49888 Q5RL73
P04792 Q96ID5
Q13526 Q8IZ52
P17612 Q08495
Q13330 Q09028
Q96G25 Q9NVC6
Q12933 Q15560
P62993 P06241
Q14203 Q15436
P36543 P04075
P30154 Q16537
Q02413 Q02487
O43318 P45985
P26718 Q29980
Q86VF7 P18206
P43364 Q8TDX5
Q9NZ52 Q15276
P32971 P28908
Q92734 Q9P2H0
Q9Y2R2 P20963
P0DML2 Q05209
Q13501 Q05513
P54760 O75056
P15822 P62820
P84022 P05412
Q03013 Q13432
P09619 P42224
Q01844 O00330
Q9UHF0 Q9GZT6
Q9UBS4 P41238
P31749 P67809
Q9Y5Y9 P60709
P61956 Q9UBT2
P20337 Q13485
P11166 P27105
Q99558 O00463
O14649 P61981
P51692 P67775
P21673 Q9BSH4
Q9Y4X5 Q13393
Q9HC98 P36897
Q9BQQ3 P06493
Q8WZ42 P68133
Q9BUB5 P02686
Q9Y2R2 P62993
P27701 Q9P2B2
P11233 P30154
Q9UER7 Q02548
P43351 Q06609
P00491 Q9GZT6
Q9NQ29 Q9BQD7
Q14344 O15492
Q06587 P35226
O95967 Q9UMX0
P30154 P13639
O15399 Q13114
Q9NV56 Q9Y4A5
P26368 Q96LR2
P33991 P25205
O60925 Q9Y3C7
P28328 Q9UKR5
P06213 P02765
P30519 P26641
Q9Y2M5 Q9H8V3
P63244 P08069
O60383 Q99417
Q13158 Q05513
O15488 P13807
Q9BZW8 O43561
Q12906 P19525
O14842 P63096
Q16539 P03372
O00311 O43913
O14514 Q96QZ7
Q99814 Q96KS0
P27361 P40763
Q07157 P48165
P25490 Q00688
P42224 P15260
Q9UNK0 Q9P253
P49798 P21860
P17752 P42858
Q13275 Q8TBE7
P04271 P17661
Q15393 Q9UGY1
Q71U36 O14544
P24385 P0DP25
P35869 Q15596
Q13107 P06400
P23443 P10636
P11172 P36957
Q13416 O75419
P46821 P60709
Q5VWQ0 P17612
Q86SG3 Q8TB72
P41143 P49407
P54259 Q99698
P40933 P14784
Q6EEV6 P08865
Q9UHA4 P27361
O60381 Q08999
Q05586 Q07157
O76061 Q9H1D9
Q14008 O14965
P46108 P17948
Q15047 Q9BXR0
P63165 P01100
P01112 P41743
P29323 O60229
Q15172 P48729
O14641 O95817
O14777 Q14683
Q9UKS6 Q9BY11
P14373 P29590
P12956 Q96FF9
O00716 Q14186
Q9Y2X7 Q14155
Q6KF10 Q13873
P42224 P51452
P12272 Q03431
P17096 P05412
P62995 P08138
P43364 Q9BW11
Q01780 O95777
P11362 O00459
P54257 Q9Y6M9
O43747 P11277
Q15172 O76090
P23468 P18433
P48730 P35222
Q5EBL8 Q01814
Q969H4 Q9NS23
Q15583 Q13363
O60732 P35269
P24723 P06241
Q9H4G0 Q07960
Q96BW1 Q8WU10
O15399 P05771
P36575 Q93091
Q92731 Q12802
Q04771 P20337
P11047 Q6VMQ6
Q13501 P54725
O14776 O75533
O43915 P35968
P29400 P13725
Q8TEQ6 O14893
Q15910 Q9Y2U9
P23458 P15260
Q9H8Y8 P01135
Q9UMX1 P17931
Q96R06 P06493
Q06187 P51813
Q15797 Q9Y2H8
Q15788 P03372
P31944 P42575
Q13177 P62993
P81877 Q9UBH0
Q96PU8 Q9UKA9
O15530 Q02156
P00751 P0C0L5
Q15287 Q9H307
O00560 A4D1P6
P25963 Q9NYR9
P55055 Q99750
P49137 P04792
P32456 Q96QZ7
P06493 P61020
Q9UBY5 P04899
Q14511 P56945
P12883 Q99594
P52564 Q14765
P38432 P24864
O60890 P61586
Q00613 P55854
Q03135 Q9Y4K3
P46109 Q92918
P01732 P04234
P01033 Q13011
Q92597 Q00610
P05783 Q8IYI6
P78345 O75817
Q99704 P10721
Q12860 P06241
Q86UR5 Q8IUD2
P07996 P00734
Q15831 Q9Y3A3
O75460 Q92905
Q9UQM7 P28329
P17252 P21926
P55055 P63279
P46934 Q16621
Q969L4 Q14493
Q969V6 P11831
Q96QH2 Q05195
P48059 Q9HCE7
Q9H0M0 Q16630
P62834 P51813
Q86XR7 Q9Y616
Q99436 P53350
Q9UGL1 P06400
Q6VMQ6 P08729
O43426 P49418
Q9Y561 O95405
Q05086 Q6IE81
P49959 P24864
P06493 Q05682
Q96JZ2 P07332
P98174 P19801
P37198 Q96QU8
P36542 P21246
O75208 Q9HCE9
Q12982 P60953
Q96A65 Q92796
P01833 P11912
P06241 Q14643
P09958 P32926
Q9P0L0 P23763
P18428 P49913
P18848 O43293
Q9P2U7 Q99962
P09104 Q9UHF5
Q13094 Q15464
Q96GD3 O75496
Q9GZZ8 P18827
P51159 Q05516
Q08495 P60709
P10828 Q15650
P45983 Q8WYK2
Q9HD26 Q13467
P54259 Q15323
Q9NQX5 P30279
Q13895 O94972
P51948 P03372
P25791 P12980
P54753 P06241
O00170 Q15185
Q96PY6 P46100
P21246 Q96NT1
P15918 P09429
Q13547 P29374
Q13573 P46531
O15111 O75925
P21860 P62993
P61981 Q9BV73
O75888 P25445
P46379 Q15388
Q13485 O15264
P36507 P10398
P11216 P12814
P19438 Q06124
Q9BZ72 Q96A23
P09601 P30043
P78396 P10244
P17252 P19429
P17252 P31431
Q99733 P62805
O00330 Q09472
P63279 P63165
Q9Y4K3 Q13501
P20226 Q969F0
Q15628 Q13077
Q14155 P16333
Q13432 O14569
P16220 P62820
Q9UBC2 P52594
Q16514 Q12962
Q8NG41 P48146
P21246 Q9UM73
Q9Y6M9 Q99689
P27361 P18545
O43747 P08247
Q07666 P19174
P05230 P68400
O14641 P35813
Q9H8S9 Q13033
P29475 P30411
P49757 Q02156
Q96NL6 Q9Y5Y9
P16104 P38398
Q53FA7 Q9BWH2
Q9UBK2 P37231
O94992 Q04206
Q9NY61 Q96IZ0
P40189 P26441
Q99933 Q07817
P14672 P51149
Q9UBQ5 O75821
P51809 P52594
Q96QR8 Q00577
Q00537 P36897
O75446 Q16778
Q8IWL1 Q9NPY3
P06396 P05067
Q9H4E7 P61586
Q01844 Q9H0M0
P07585 P02462
O60333 P61981
Q969T9 Q06710
Q9UQ13 P01111
P12757 P08621
O00238 Q13501
P19012 P35900
Q9UMX0 P42566
P52657 Q00613
P16885 P17948
Q10713 Q13873
Q9BT92 P05783
P54252 Q9NRD5
P17252 Q14469
O00585 P13611
Q92542 P05067
P06493 O00562
P27361 P36956
Q9UMX0 P30926
P27361 P17542
Q9Y463 Q96S59
P25205 P53350
Q96IF1 P62993
P16066 P01160
P17612 Q14103
Q9Y265 O96019
Q99615 P21359
P35052 P39060
P26641 Q9Y3C7
Q13224 Q13554
Q15797 Q96RT1
Q15645 Q6P9B6
P15927 O00255
P26367 P49796
Q9Y3C0 Q9UL45
Q9NPQ8 Q52M93
Q93062 Q9NQ87
P24941 P46527
Q6P1K2 Q7L5N1
P13631 Q15466
P11137 P60709
Q16563 P63027
P61604 Q13432
Q15545 Q00613
Q9Y297 P30304
P23945 P25098
P30154 Q99497
Q8NET5 P43405
O15111 P08238
P08174 P17927
Q9UBB9 Q9NNX1
Q13363 P48552
Q03001 Q9NYQ7
Q9BZR6 Q9NQC3
Q9P287 P51587
Q8IXJ6 Q92831
P04637 Q9UN74
P08069 P17936
P49716 Q15744
O95201 Q13137
Q9UMR7 P29350
P20916 P20849
P17612 Q14571
P15498 P68366
Q92793 Q8N680
Q16539 P21333
Q9UBU9 P46821
Q13547 P10275
P25208 Q09472
Q9UH77 P09471
P17509 P21673
Q05655 P68104
Q14449 Q02763
O00198 Q92934
Q6NZI2 Q15361
P19174 P04626
P17252 P55042
Q15796 Q13547
P0CG47 O14920
Q92597 P36957
P06493 P08670
P05120 Q6P2Q9
Q96MT8 Q8N6Y0
P62166 P25098
P60201 P27797
P46527 P16949
O95751 O14639
Q9Y2X7 P35626
Q13952 P25208
Q8TAP6 Q96EK5
P62140 P06400
Q7L5A3 Q15834
P49736 P62701
Q9BX74 P05067
Q13547 Q12834
P15918 P26583
P05129 P49840
O43257 P67870
O15111 P19525
P33151 Q06124
P17252 P25098
O43639 Q16620
P61956 P23497
O14508 P16471
P16157 Q13813
P04049 P36507
P04437 Q9UJU2
P12956 O14678
O60282 O95295
O95777 P62310
Q9BWG6 Q15834
Q9Y4K4 P46108
Q5EG05 P29466
P10275 Q15233
Q6EEV6 P38646
P52292 Q02548
Q96AE4 P51946
P48549 P48051
Q8NER1 P0DP25
P02775 P25025
Q9Y4Z0 P62304
Q92598 P00558
Q9UI46 P43034
P04637 P53350
Q05516 Q06455
P11215 P08246
Q9UGP8 Q99442
Q9Y4A5 Q9H0E9
O43663 Q8N6Y0
Q12929 Q9UKN7
P46379 Q53G59
P14902 Q96I34
Q5RL73 O95257
Q06609 P38398
Q8NBJ4 Q8IYL3
P58062 O15235
Q9Y6D5 P47870
P54252 P51665
Q99626 Q16539
P35080 Q03405
P21926 P15391
O15360 O15287
P48730 O95295
Q9NRF2 P06213
P49754 O14617
O75925 Q15797
P09917 P62993
P48729 P60709
P14625 P01266
Q5U651 O14807
P31785 P05112
Q14687 Q5RL73
Q15014 Q01850
O75446 Q16695
Q01094 P08047
Q9NQ87 O15198
P21810 P05067
Q92558 P10145
P78347 P42224
O60880 P06241
Q92797 Q00613
Q13885 P20591
O60507 P32246
P50281 P35625
P49841 P41236
O00231 Q9GZT6
P26006 P16035
Q96IZ0 P62070
P16333 P43146
Q16539 P14598
O14798 Q9Y2P4
O43255 Q16633
P25024 P80162
Q9UIG4 Q92817
Q92793 Q7KZF4
O95477 Q92796
Q13077 Q12933
P30530 Q13261
P15927 Q13432
Q9Y2J2 P27348
Q01844 O60637
Q06495 Q6P0Q8
P17948 O14786
P60900 P53350
Q9Y222 P30279
Q15424 P09651
Q99584 P05230
P09958 Q9H013
P61981 Q04759
Q9UHD8 Q16665
P30101 P40763
Q12983 O60238
Q9H8S9 P26927
O00268 P52655
P27361 Q16204
Q16849 Q13425
O95807 Q8WVR3
Q14289 P43405
P14598 P04839
Q8N488 Q14209
P11171 P02730
P27986 P36544
O60895 P10997
Q6PIU1 Q92953
P08670 Q9H9J2
P43268 P11831
P46527 P20248
P68400 P12830
O75154 P62330
P02788 P00450
Q15796 P40855
Q9NVC6 A0JLT2
Q15700 Q13224
Q8WZ42 P35609
P61981 Q8ND76
Q9Y224 Q8N4C6
Q04771 Q6P3X3
Q14005 O15399
Q16825 P42680
O15399 P19022
Q9NQP4 P68366
Q08881 P16885
P00734 P04070
O95155 Q99615
P52926 P19784
P51679 P13501
Q92793 O95359
Q6UXL0 Q9NYY1
P49247 Q9NP79
Q16891 O95295
Q86WV1 O15117
Q04759 Q8IV61
Q99941 O43462
P01350 P00450
Q9P2B2 P08962
Q9Y6X6 Q9ULB1
P54259 Q9Y3T9
Q13901 P78527
O75448 P19793
Q16790 P12830
P35442 P08253
P30419 P84074
Q96J02 P49757
P14317 P68133
Q99578 P0DP25
P48039 Q96AG4
O43613 P21554
P10828 Q15651
Q13227 Q96KB5
P51692 P04150
Q92835 P07948
Q99547 P60866
Q15388 Q6P1J9
P24941 P10244
Q12929 Q15154
Q15223 P55196
P51531 P35232
P43405 P0CG47
P12004 Q00535
Q6UB99 P56524
Q15545 P21675
P17612 P13569
Q16587 Q13263
P55036 Q9UHD9
Q13107 Q14978
P49368 P12956
Q92834 P23258
Q99558 Q9Y4K3
Q13277 O43581
Q07817 P10415
Q12933 Q9NRN7
Q8NE71 P56537
P61586 O60610
Q8IWT3 P04637
P49913 P24158
P14859 Q04206
Q13535 O75943
Q9Y3C7 Q9GZM7
P56645 O15534
P02545 P35227
Q14654 P63252
P28300 P15502
P15923 Q92793
O00214 P05556
P05154 Q02383
P30626 Q13698
P41220 P0DP25
P21964 Q99732
Q92783 P23458
Q92908 Q15648
Q8WYK2 P05412
Q96GW7 P08254
Q9Y2B0 Q9HAP2
Q04206 P42226
Q16533 Q5SXM2
P49840 Q07820
O14818 P62191
Q06787 Q96S59
P24158 P55085
Q9NZW5 O75821
O43809 Q8N684
P26441 P26992
O75528 Q96ES7
Q99755 Q13393
O75381 Q96G25
O75444 P05412
O96017 Q01094
P62834 P20936
Q8IZL8 P10275
Q8IYF3 Q96GY3
P14923 Q02413
Q12982 Q07960
O43541 Q9HAU4
P05412 P15172
O14965 P30305
P26641 Q9H4M7
Q8IXK0 Q8TAP4
P18848 Q9NRI5
Q96JB2 Q14746
Q09472 P22736
Q13190 Q16891
P28482 P46940
P48739 P61968
O43707 Q13555
P19012 Q96GM5
P20366 Q8TER5
Q14393 Q06418
Q92900 P54198
P10398 P27986
P06493 P17706
Q12888 P38398
Q12959 P60484
Q9UQB3 P49810
P52566 P60953
Q00994 Q9NR28
P84022 P30260
P18846 P19784
Q9UER7 Q99683
Q9UNE0 Q13114
Q13113 Q9BVJ6
Q13177 O94875
P31947 P49815
P61956 P29590
Q92597 P63151
P42574 P51813
P21246 Q9P287
P49023 P60484
P62805 O75446
P63244 P17181
Q8IVH8 O00499
O60293 Q15834
P16471 P01241
P46109 P42768
P57678 P62316
Q15436 Q07002
Q9Y678 P48444
O95059 P78345
P01229 Q5JWF2
Q13509 Q969X0
Q15124 P11532
P46109 P19235
Q8TE77 P23528
P02647 P18428
Q9UBP5 O15162
P68104 Q9NRR5
Q9UHB7 O60563
P31785 P23458
O95777 P62312
Q13322 P10721
Q12933 Q96MR6
O60563 P15515
Q9Y3I1 Q13490
Q9GZV5 P62258
P13591 P56159
P29350 P21854
P24941 P49715
O75843 P56377
Q15303 O00459
P43250 P08100
P68036 O95376
P06241 P35612
Q9Y6B7 O43683
Q09472 O43463
Q15047 Q13547
Q99496 O00257
P05060 P60484
P78527 Q00613
O15304 P0CAP2
P42224 P19525
Q13177 P06239
P04628 O75197
P02649 P26441
P43364 Q8N715
Q86SG3 Q96EP5
Q02094 Q14773
Q13485 Q8TEW0
Q9HC77 P63104
O60383 Q6P1K2
O95721 Q16623
Q9H840 Q16637
Q15303 Q13425
Q12981 Q9P2W9
P00367 P00505
P42224 Q8N9N8
P23258 P27986
Q53EZ4 P28482
Q9Y6R4 Q06124
Q70J99 O00194
P49336 P51946
Q9Y6C5 Q99835
P60953 Q00587
Q05066 O43345
Q9BXP8 Q13485
Q7LBR1 O95630
P06239 P42229
P0DPH8 Q13287
P40937 P35250
P31431 P21741
Q99497 Q9UER7
Q9NRD5 P17252
P32246 P40763
Q15466 P55055
Q53G59 Q7Z614
O94776 Q16576
Q8NCF5 Q13469
O14936 P18827
Q9H1H9 Q6VMQ6
Q96IF1 P56945
Q00341 P55265
P84022 P08670
Q96MT8 Q9BQD3
P10144 P55211
P52565 P15498
P83916 Q9UBC3
Q13137 Q9BSM1
Q06187 Q02156
Q9NWA0 Q15528
P35372 P04899
Q13501 P62987
P56134 Q9NVJ2
P63208 Q8IX29
Q9UJY4 Q92673
Q99614 P04899
P19387 Q92804
P29972 Q15654
P52943 P11831
O14745 P09619
Q9UBL9 P56373
P10827 Q14686
Q9BV40 P60880
Q9NXR1 P43034
P50990 P60709
Q9H8E8 Q16527
Q9ULB4 P55285
Q15788 P10275
Q15035 P20226
P11474 Q00403
O00165 P08183
P13497 P05997
Q14192 P18564
Q15700 Q14524
O15162 Q9GZM5
Q8NI35 O15399
P06241 P16070
Q9UQM7 P14921
Q9Y2X7 Q15052
O15551 O00501
Q8N5M1 P25705
P63279 Q9NSC2
Q9H422 O43294
O00482 Q12796
Q9BVL2 P37198
O15151 Q09472
P12931 O15530
P48960 P08174
O60895 P01258
Q7Z465 P10415
Q01469 P31151
Q86SG6 P36897
O76081 P19086
P17752 Q04917
P02686 P27361
Q9H9T3 Q9HCE7
Q99959 P05783
O60239 P53779
P04070 P02776
Q9UBU7 Q13416
Q13315 Q13367
Q8IUC6 Q7Z434
P14923 P32926
Q05086 O14599
Q93009 Q53GL0
Q96FJ2 O60269
P42574 P78344
Q96EC8 Q9BWQ6
Q5T2W1 Q92887
