O43561 Q13239
Q15648 P55055
Q9H1K0 P61019
Q99717 Q9NXD2
Q86UL8 P60484
P30153 P62834
P11684 P02751
Q16288 P05412
P37023 P37173
P46109 P17181
Q15654 P12931
Q09472 Q13887
Q9HB75 Q13158
O60674 P62937
Q6EEV6 O43291
Q9NR28 Q13489
Q08999 P24864
P49771 P21583
Q9C0K7 P98170
Q6PIZ9 P07766
Q9UHI5 Q07837
Q9HAU4 Q8IV31
P01562 Q00978
Q8WUM4 Q96B97
Q01844 Q99750
O75629 P06400
P63104 O00273
Q9NPH3 Q99836
O00291 P42858
P04004 P61812
P05386 O43809
P03372 P01160
P35219 O75427
P16581 P35609
Q99743 O00327
Q02410 P49768
Q14520 P02462
P28482 P31994
Q96GG9 Q13571
P40933 P14784
P49023 P43405
P62166 Q86UW9
P35269 P29084
P03956 P17936
Q07817 P99999
Q99750 A6NN06
Q9UKT9 P01112
Q8N0X7 P42566
P41227 P18440
Q9Y490 P18084
O60941 P11532
Q9HCS7 P24928
Q15797 P55316
P51888 P98160
P84022 Q01082
Q15291 P06400
P40425 O75935
P11215 P08246
Q9UBU7 O96017
Q15047 Q9UN74
Q12933 P36941
Q6P0Q8 Q13425
O15085 O43157
Q06124 O14543
Q9UGJ0 Q9Y478
O43927 O00585
P17252 Q13769
P41222 P54253
P80108 P17900
P49842 P78395
P68400 P56270
Q99418 P29274
Q15788 P28702
P42229 P52333
P62942 P00374
P63244 P62873
P04150 P0DP25
Q8N2W9 P55854
Q9H422 Q15942
Q8N4C8 P16333
P28482 P62993
Q01780 Q8IZH2
P84022 Q99814
O94906 P04150
Q13573 Q9H1I8
Q04206 O96019
P04233 P16070
Q14209 Q14186
P68400 P06744
P13686 P45984
Q06609 P08670
O75145 O75334
P09619 O15524
Q9Y618 P41182
P52294 P39687
Q9NVU0 P05423
P11362 P62993
Q13555 P0DP25
Q9UQM7 O14713
P04049 P36507
O15143 O15511
Q8N2W9 Q13485
Q16539 Q07352
Q13156 P35244
Q14160 Q93052
Q03135 Q06124
P06241 P01112
Q96C24 Q16623
P03372 P30305
P16870 P01350
Q02156 P06241
O75582 Q15759
P61981 P62995
P36897 Q99614
Q9NXU5 Q9GZT6
O00148 Q13838
P25391 P21589
Q13432 Q9Y383
P02766 Q15047
O95257 P38936
P78543 P17482
Q96IP4 P46379
P84022 Q92831
Q99661 Q9H3R5
P24928 P19387
Q6EEV6 Q99798
Q15365 Q16851
P08581 Q14247
P14555 P18054
P11912 P15391
O15350 P84022
P84022 P30291
Q9UNK0 P54920
Q15599 P48764
P40763 P17948
P38435 P00734
Q8NG41 P48145
P35222 P19022
P61371 P03372
P19012 Q9P2A4
Q8NBJ4 Q3MHD2
Q15785 P55072
Q9BUZ4 Q15633
Q09472 O43463
Q15700 P56704
Q5VTL8 P61981
P11473 P28702
Q14676 P38398
Q16539 Q9UBK2
P98175 Q86V42
Q99972 P17931
Q14161 Q14155
P49795 P04899
Q9H221 Q9H222
Q14192 P11831
P84022 P19532
Q13444 P06241
P19784 P10451
P51654 P56704
Q8N9N2 Q8N3C0
O14920 Q16584
Q9BT78 Q93034
P13010 P25942
Q15172 O60674
P02753 P02766
Q9NP31 P06239
Q6UW60 P01344
Q9Y5X1 Q9NZW5
P32456 Q92734
Q9UKJ1 P29350
Q14511 P07948
Q14833 P21333
Q05513 Q96A00
Q14566 Q53TS8
P63151 O15399
Q05193 Q14247
Q9NYF8 Q9Y2U8
O15105 O43541
P18850 Q99941
Q96L34 Q86YV9
P08254 P80075
Q12974 P17544
Q8N474 P56705
Q96IF1 P62993
Q96S94 P24928
P21673 Q9GZT6
P17252 P22681
P01266 P27824
Q13136 O15083
Q02241 Q9H0H5
P54253 Q8N1L9
Q9BUB5 P47712
Q13546 P19838
O43707 Q08043
Q8IZL2 P46531
P34741 P04141
P27448 Q99959
P55010 P47813
O75031 Q03933
O14965 O95983
Q13503 P38398
Q16254 P06400
Q9BTV7 Q00535
O95477 Q9NZN5
O14737 Q5T3J3
P17152 Q96GD3
P19012 P02538
P42224 Q00597
Q08999 P30281
Q9UHA4 P28482
Q13485 Q14956
Q13133 Q07869
P68400 O95477
O75369 P05556
O14492 O60674
O60861 P68133
O95967 O75909
Q9Y678 P53618
P11474 Q9UBK2
P61981 Q9NRR6
O75843 P56377
O95751 Q5VWN6
Q9UJY5 Q99523
Q12888 Q01094
O60343 Q96SN8
Q13480 P62993
O95817 P10415
P19784 P42768
P42285 Q8IZH2
Q9NPJ4 P03372
Q92793 Q9UKI9
P45983 P05412
P14735 P04150
P78396 P06400
P40189 P04626
Q6VMQ6 P32780
Q96B26 Q06265
O43615 P10398
P07996 P00734
P15169 P01042
P31946 P49815
P05412 P31269
O43581 Q12846
P40763 P23769
Q99941 O43462
P09237 Q99075
Q9Y5Q8 Q92994
Q9H3S7 Q9GZR7
O43615 Q99595
P41240 P49023
Q9UKY1 Q9NQZ2
O95232 P49759
O00291 O60925
Q7L5N1 Q9BT78
P19174 Q7L0Q8
P54252 P55072
Q14005 Q96MA1
P62995 P08138
Q8WUP2 O75369
O15111 P08238
O14807 P42336
P26368 Q01081
Q99959 Q08554
Q9BT92 P13647
Q9UNP9 Q9HCS7
Q8WZA2 P78559
O15525 Q16236
Q9Y3C5 Q96GG9
O95817 Q15038
Q99689 Q6PGQ7
Q9H2S9 Q14839
Q13487 Q5SXM2
Q86SQ9 P28300
Q12933 O43566
P41597 P51671
Q8WZ42 P0DP25
O95271 Q9UIQ6
Q14031 P02751
P30153 Q06830
O14976 Q00535
Q71SY5 Q96RN5
Q14449 P11362
Q9UHF0 Q99689
O94985 Q15047
O75676 P05114
Q7L590 Q99741
Q9BXI6 O14745
P08697 P59665
P24386 P20338
O43924 P61225
Q15797 Q96RT1
Q5RKV6 Q13347
P54253 Q8IX01
P19174 Q05586
P32246 O43889
O43353 O00463
P22459 P21673
P31947 Q07812
Q96QT4 Q16695
A2RRP1 O95897
Q9HCU9 O15131
P26038 P51572
O14678 Q96BY9
Q01780 Q9Y230
O15379 O43463
Q9H160 Q9HAU4
O95793 P60953
Q13277 Q9H2B2
O94762 Q86XP3
P30279 P46527
O14908 O14786
Q14155 Q13177
P51151 P31150
Q99590 Q01130
P61978 Q15365
Q969H0 P63208
Q9UMX0 O15198
P04792 P43320
P63279 Q14134
P21359 P62380
P60953 P04637
O75056 P21246
Q8IYJ3 P14598
O60383 Q9Y6M9
O15294 P10636
P08069 Q05655
Q16539 P84022
Q9UHC1 O15457
P12956 Q96P48
Q9UBU3 Q02643
Q13227 P04637
Q9NPD3 Q9NXE4
P61981 Q15678
O14544 Q15370
Q9NQZ6 Q9BQD3
P06858 Q02543
P12956 Q96RP7
P36957 Q8TDM6
Q07889 Q12929
Q92831 P15923
P63279 Q9Y6K1
P50570 P08631
Q9BUZ4 O14874
P61956 O96020
Q86UW9 Q9UM19
Q16665 P08047
O60506 P11940
Q14191 P12004
P06401 Q9BX66
Q9NRW1 O95235
Q15797 Q9BRB3
O15151 Q01094
P35414 Q9ULZ1
P01112 P10415
Q9NYJ8 O43318
P16473 P40763
Q9Y2U5 P63104
Q96NX9 Q92831
O15055 O15534
P17252 O60869
O94806 P63027
O95793 Q92900
Q13616 P63208
Q96MP8 P20338
Q99816 P10275
P54257 P42858
Q6Y2X3 P21728
Q96FL9 Q02817
Q9NRD5 Q9P2M1
P50579 P60953
A5D8V6 Q9NYB9
P36897 Q969T4
Q92558 Q92934
Q9H2C0 P22314
O14776 P24928
Q05516 O14526
Q9BYG5 Q8TEW0
Q6UB99 P12931
Q08722 P63096
Q8NAP8 Q8TAP4
O14763 Q15628
P07947 P15529
O14617 P51809
A0A5B6 A0A1B0GX56
P30519 Q9Y2X7
Q09472 P20823
Q13634 P55285
Q8WTS6 Q12962
P14314 P41220
O00238 P62826
P20591 Q9Y210
O14807 Q12967
Q30201 P61769
Q04771 Q9GZS3
Q05516 P41182
P11171 P31946
P07996 P02671
O14893 Q15833
P15311 P68032
P09496 Q00610
Q8WW38 Q13363
Q9P2K3 Q9Y2I6
P84022 Q9UEE9
P14324 P54253
Q6ZRS2 Q86X55
O15130 P01303
P05121 P08246
O00339 P02452
Q8WXF8 O75618
O75925 Q8TAD8
Q05655 P17677
P23610 P42858
P10412 P83916
Q99612 Q9NRX1
Q15637 O15162
Q9BQD3 Q9UPT5
Q9BQE4 P55072
Q14974 Q16637
P05362 P11215
P02748 P13987
Q06124 Q07960
P47900 P30542
P03950 P68032
O43924 P62834
Q96SL4 Q9NRR5
Q14289 O15530
P07237 P15813
Q15052 P36897
Q9NR64 P36897
Q09028 Q16576
Q13523 Q07955
P53779 P61978
Q07666 Q92793
Q13885 P63244
Q96PK6 P13010
Q9UBY0 P02549
O75593 Q15796
O75909 Q8TAP6
P48357 P05090
Q9HAU4 Q9NWM3
P57775 Q13616
P04049 P32121
Q15102 Q96ID5
P17535 P27361
O75821 P11171
Q13393 P60709
P32927 P06239
P36405 Q5T3J3
Q14005 P63252
Q13158 O60936
P51170 P51168
Q7Z6J2 O43739
Q8IXK0 P18124
O43294 Q09472
P03952 Q04756
Q15052 O75914
P17612 P20941
O43294 P10275
Q7Z7C8 Q16514
P14209 Q15645
P20337 Q13485
O76095 P49916
P06756 P25116
Q9H9D4 Q9HAU5
Q09472 Q13516
Q969H8 Q9NRR5
Q99717 Q13485
P22455 O60258
P09467 Q9H1I8
O14745 P16234
P61981 O75643
Q7L5N1 Q9BWC9
Q9BTA9 Q9NRR5
Q9NPB3 Q13555
P17174 Q9BXJ8
Q9Y282 Q969X5
Q06124 P35568
Q9UL19 P22735
Q9ULZ9 P08253
P62070 P02765
P24723 P06241
P17612 Q93034
Q969S3 Q14680
P06213 Q13480
Q96EB6 P16401
Q08426 P22307
Q13426 P78527
Q9UI32 Q12959
O60383 P36894
P41567 O95897
O00743 O00221
O94972 Q8TAU3
P04637 P19447
O60506 Q16637
Q03154 Q99614
P30519 Q9P2H0
P46779 O95793
P56537 P63244
Q14005 Q14957
P62258 P30305
P08758 Q04637
Q9Y678 P21728
Q9NQX5 Q01094
Q15365 P43243
P12931 P19793
O60925 Q13309
Q16600 P02545
Q9Y561 P63244
P21246 Q99417
P35813 Q05655
Q13561 Q8NBJ4
O43663 Q9H0H5
O15303 P09471
O95218 Q01130
P40189 P26441
Q9Y6K9 P08238
P01011 P14653
Q01968 P61006
Q15642 P19793
P49901 O15162
Q03405 P05556
P68363 P23258
Q01844 Q96D59
Q9H4E7 P15153
P29508 P07711
P10147 P10124
P61981 Q9UHX1
Q9UHI6 O75376
Q9NPI1 P54257
Q06124 Q07889
O43323 Q13635
Q13422 P63279
Q13573 P46531
P15882 Q15078
Q9HB75 Q8WXG6
Q8WYK2 Q13573
Q96ED9 Q14966
A5YKK6 O95628
Q04724 P55316
Q9NPI1 Q9BUJ2
P10523 P35368
Q16778 P00709
P21980 P04075
Q01844 Q9Y676
Q00535 O75553
Q9Y2Z0 P25815
P39687 Q66K89
P68104 P51159
Q99878 P06454
Q9BWF2 Q12933
P19012 P62195
P51532 O14497
Q13702 P62993
P48551 P23458
Q14520 P01042
P21741 O60635
Q9H5Q4 Q00059
Q96BD5 O60341
P53992 Q15437
Q05586 Q9UQM7
P17540 Q5T3J3
P46100 P29074
Q02543 P05412
P35222 P35813
P02511 O75390
O43924 Q15835
Q16576 P06400
Q96PU8 Q96PK6
P21246 Q96CQ1
Q8N0X7 Q71U36
P35125 P10916
Q02750 P41743
P35606 Q02156
Q9Y692 Q15596
Q05586 Q05193
Q9HBH7 P08138
Q9H410 P45973
Q8WVJ9 P36956
P49715 P35251
P04156 P20916
Q71U36 O14512
P28482 P17181
Q15464 P23458
P25788 P02511
Q9UP38 P56703
P15036 P23771
P42285 Q06265
P57059 Q53ET0
P28223 Q16288
Q8N436 O15198
Q9Y5X1 Q07889
Q9UGJ1 Q8NA61
Q9Y279 P01024
O43524 Q96EB6
O15162 Q9NQX5
Q06547 Q8IY57
P43351 Q92889
P45983 P15336
Q12809 Q6P1J9
Q15843 P35869
P46109 P08069
Q07666 P27986
Q969H0 Q99466
P36873 P04637
Q9UI14 P62820
Q9NS23 P23258
P42224 P31785
P17252 Q01814
P01127 P07996
O94875 P18206
Q9NX58 Q9UKY1
O14744 P29597
Q12933 Q9UHB7
O95257 Q03181
Q9NZR1 P06753
Q9NPG2 P14415
O95347 Q9NTJ3
Q01844 Q9BQY4
Q6PIZ9 P06241
Q14344 P10911
P01040 P09668
Q9Y6W5 P62993
P04049 P06213
P02766 P18848
P08473 P23582
Q92750 Q04206
Q15834 Q9Y247
Q5RKV6 Q9NPD3
P19838 Q9Y6K9
O75460 P49768
P21462 P63261
P52655 P35269
P09874 P19338
Q8WXE1 P43246
O14763 Q13546
Q14526 Q13547
Q9Y4K3 P02686
Q15582 Q01955
Q13227 O75376
P40238 O15524
P46060 P62826
P43115 P34995
P51116 Q9Y4E5
Q9H0D6 P63241
Q9BXY8 P25791
P16870 P27694
P35222 P98177
Q9BT04 Q9BU20
Q13873 P00540
Q9NRD5 P55196
Q92797 P33240
P46379 Q9UBS4
P11226 O00187
Q15560 Q5QP82
P04626 Q06124
Q5QJE6 P19793
P00533 P46108
Q16630 Q9NRR5
Q8WWA0 P02788
P59768 P62873
Q02548 P14921
O43929 P49736
Q15652 P19793
Q92997 P98082
Q13239 P43403
Q96ED9 O95990
Q6EEV6 P11388
Q9Y261 Q04724
P11234 P0DP25
O15111 Q04759
Q8ND90 Q9NRR5
O60343 Q9NTZ6
O14641 P63172
Q7L5N1 P40425
Q14344 P48039
P04899 P21462
Q9Y6I3 Q9P2H0
Q8TEL6 Q15628
P08246 P54577
O95429 Q93038
Q9Y3C7 Q9BTY7
O00515 Q9UMD9
Q13557 P06127
Q59H18 P05413
Q12929 Q9UL45
Q92597 P62241
Q9C0F1 P15622
Q96B97 P42336
Q9UJX4 Q9HCE7
P62987 O14964
O60763 Q14789
Q96RR1 Q9H8T0
P08246 P09919
Q03405 P11215
O95273 O75791
P03372 P38398
Q5TD97 P11831
Q13838 Q9NRL3
Q15172 P25054
Q06124 P51692
Q9UJ83 Q96E35
P14859 P51692
Q8IXJ6 P68366
P36542 P25705
P53778 Q8NI35
O00311 P33991
P40123 Q01518
Q00535 P10636
P04406 Q16363
P50150 P62873
Q9H840 P14678
P42574 Q13114
Q13596 P06213
O75925 Q15744
Q9H3D4 P04637
O14745 P35222
P01563 P17181
P42680 P10721
O60343 O94916
P63279 P23497
Q9NQ66 P49798
P51636 P21728
Q15427 O14776
Q9P2K3 Q14687
O00482 Q15466
P15813 P61769
P30153 P13639
O15520 P01189
Q01101 Q13368
P09874 P10276
Q8WXE1 P33993
Q8NHJ6 P29350
P62316 P62314
Q8IZL8 P10275
Q8TDD1 P06401
Q16570 P42830
P98164 P01308
Q9UDY2 P35221
O00308 P37088
P22455 P42224
Q9Y4H2 O00459
P55103 P09529
P07305 Q8NC60
Q9BUL9 O95707
O75689 P41743
P45983 P23443
P10244 Q9UNY4
P06400 Q01094
Q9GZP9 P01009
Q13485 P08621
Q96NY9 O96017
Q9H9Q2 P60228
Q96TA2 P49768
P25098 P01133
Q5JY77 Q96KB5
P49841 Q16555
Q04771 Q14D04
P14316 P42224
Q15669 P31150
P63010 Q96C10
Q9UBK2 P37231
P29400 P07093
P10451 Q9NRR5
Q04771 P15882
Q8IZH2 Q9Y4Z0
Q9Y3C5 P21580
Q9BQY4 Q9BRG1
P10070 P16220
Q9Y5U4 Q12772
O43318 O14920
Q9HAW0 Q5SXM2
P36542 P60002
Q9Y4G2 Q9Y3A3
O14744 P27348
Q9P2S2 Q8NI35
P10144 P78527
Q9Y6X2 Q15596
P19784 Q13144
O60704 Q14242
Q15382 P15056
O14936 P23634
O95831 Q15047
P49770 P16333
P45974 O75528
P16444 Q96EK5
O43353 O95999
O14543 P08069
P62191 P35998
O00206 O43353
P49450 O60879
P61962 P61981
Q96HE7 Q9BS26
O14908 P08588
P00966 P10398
P08670 Q9NRH1
P43034 P11137
Q8N488 P25490
P42226 P17676
Q93009 O00308
P04275 P08123
P00918 Q9H8Y5
P63279 Q06787
Q9Y618 P29590
Q9BRK4 Q15834
Q13323 P10415
Q99558 Q13077
P21246 Q9H5J8
P06454 P11802
Q99972 P30613
P22681 P09769
Q13177 Q7Z6J0
P51668 Q05086
Q04771 P10114
Q13444 O15259
Q92831 P10914
P31371 P22607
O95197 Q9NQC3
P04049 P23458
Q99759 P08238
P09466 Q96ID5
P35080 Q9NTX7
P45973 O15164
O94829 P47813
O14490 P63167
Q16539 P47712
Q96PQ1 Q8NFW8
P15036 O95405
Q15628 Q13490
Q99075 P16070
P06400 P38398
P31431 O43294
Q8NEV9 Q6UWB1
Q9Y2T1 P25054
Q92597 P63151
P00533 P20936
Q92535 Q9UKY1
P10275 P60484
P27658 Q53G59
Q6PKG0 P61981
Q92597 P52597
Q9P2A4 Q13177
Q6WN34 P43026
Q9UJY5 Q99816
Q9Y5P4 Q13352
P39748 P12004
P09848 P11021
P23297 P17661
Q96RK1 Q92481
Q9Y490 P68133
Q09472 P05114
Q5JY77 P20309
Q9P0K1 P63104
P25942 Q13490
Q9UGJ1 P23258
Q9UKG1 P42336
Q5JY77 P11229
O75293 Q9Y6R4
Q15797 O60381
P84095 P52735
Q8WUM4 P54259
P29400 P07585
P05412 P35638
Q16548 Q16611
P40926 O75390
P35813 P26038
O15169 Q6ZNA4
P50150 P04049
P09619 P29597
P35900 O43663
P10275 Q12756
O75554 P14678
Q6EEV6 Q13162
Q9NYN1 P84022
O14503 P40763
O75665 Q9P2H0
Q8N8U9 P22004
P29323 P10301
P19838 P40763
P49842 Q02447
Q96FN4 P61081
Q9ULJ8 P23443
P60468 P04114
Q9BSW7 Q9Y3Q8
Q96CW1 Q5JTH9
P32242 Q9BQ66
P45985 P21333
Q92796 Q8WXI2
Q15788 P03372
P06241 P78314
Q02535 P15923
P21980 P06400
O00300 P07996
Q6PKC3 P07202
Q05513 Q08209
Q16690 P27361
P29350 Q9Y4K3
P30153 O95405
O14672 O00548
Q15599 P17612
O75593 P52952
O95793 P05388
P41595 P50148
P30530 P27986
Q14247 P62993
Q96FJ0 O15105
P30153 P63151
P20226 P04150
Q96GQ7 Q96I34
Q12802 P62258
Q00597 P06493
P18428 P08571
Q15388 P25874
P27986 P08473
P07332 P27986
P13010 Q07864
P28749 Q02363
Q9Y3P8 P62993
O15357 P00533
Q13705 Q13596
P25116 P04899
Q9BZL4 P62140
P02747 P02746
Q96F24 P19793
Q13485 Q8IZD4
Q9BVJ6 O95376
Q6IA86 O60674
Q13438 O95741
Q9BYG5 Q05513
Q93038 O43508
Q9Y4A8 O60675
P14618 P04278
P13984 P35269
Q04864 P0DP25
Q99575 O95707
P53350 P25788
Q13535 Q15382
Q9UKY1 Q9H4I2
P57105 P98164
P20226 P13984
Q15019 Q14141
Q05193 O00499
P16157 P48751
P68104 Q9UN74
Q13671 P20339
P45984 P41970
Q9UI36 Q13485
Q9H2G9 Q9H8Y8
O14980 P46527
Q9UMS4 P04053
Q92995 Q9BYC9
O43707 P38432
Q02156 P05783
O60262 P62873
Q969W9 P46934
P46527 P14635
Q14582 P61244
O60563 P15515
P02751 P02745
P22087 Q9HA65
P45984 P35568
P51959 Q00535
P98082 P98164
Q92963 P84022
Q13427 P61981
P61981 O14639
P63104 Q13885
Q16667 P30304
Q04917 Q04912
P55089 P41159
Q8IZJ0 Q08334
Q9NPF4 P07359
O15492 P63096
Q96L34 P11137
Q12913 P46087
P31152 Q13480
Q05586 P35637
P17706 P40763
Q05209 P62993
O14641 Q15287
A5YKK6 P10276
Q96CN9 Q8N684
Q14687 Q5RL73
P19419 Q9Y3A3
O43734 Q13114
Q9UMX1 Q7Z412
P53611 P20340
Q04759 P32942
Q9H1K6 O75581
P35590 Q06124
Q9H9Y6 P03372
Q9C0D5 Q13224
Q13547 Q04206
Q04912 P31947
Q12929 Q9UKN7
Q99593 P52952
O15379 Q9UHL9
P31947 O60269
P46821 P49841
Q9Y613 P68133
P04637 Q14061
Q9BT78 Q0VDD7
P12931 Q9NRY4
Q13322 Q02750
Q13608 P84022
Q9NRW3 P04278
Q13485 P41235
Q9H8E8 Q16527
Q14164 Q9H6S1
Q8IZP0 P14598
P61088 Q15819
P98164 P00749
O60716 P68133
P49798 P21860
O15111 O14920
Q9H0E2 Q9NPH3
Q05655 Q13887
Q15631 O75807
Q96G25 Q15648
Q13042 P53041
P26038 P32942
O95477 Q15700
P10827 Q12802
Q06124 P48736
Q08380 P05556
P36956 Q92793
P43080 Q02846
Q9H0E2 Q15038
Q9UJ96 Q14721
Q8IW41 P53778
Q16629 Q9BWU1
Q9UMX0 Q14469
Q13571 Q96PU5
Q9UI26 Q969T4
Q15700 P29475
P55212 P42858
Q9NYU2 O60613
Q9Y6Y8 P12004
P53350 P14635
Q13310 P68104
P54259 P46100
Q96RT1 P04626
P21673 Q9H8M9
Q13616 Q13309
P31947 P49815
P03372 P63279
P08047 P36956
P20963 Q9BZW8
P24394 Q05513
P21675 P01100
Q8TDC0 O15273
O15164 P41235
P00742 Q05329
P43034 Q71U36
Q13077 Q02223
P51587 Q9BXW9
Q13227 Q09472
O15399 P01112
Q08043 P35609
Q9Y2R2 P43403
O60563 Q9UHK0
P01375 P09603
Q92529 P07949
Q15398 Q9Y297
P31930 P99999
O43257 Q15759
P21802 Q9GZV9
Q12846 P60709
P26038 P19320
P32243 O75030
Q13352 Q9GZR7
Q7L0J3 O15230
Q9Y6X2 Q13547
Q15645 Q8WXK3
O43747 Q8NFT8
P21731 P29992
Q99547 P60866
O43791 O75367
Q15303 P15941
P23443 Q09161
P49815 P24385
P10809 Q15399
P63010 Q9UGJ1
O00560 P18827
P42574 Q16513
Q14676 O60934
P12830 P28827
P38398 P0CG47
P48039 O00264
Q9Y679 P11215
Q96BY2 P19438
Q969H0 P46531
P46777 P12081
Q05586 O14578
Q4KMG0 P19022
P17813 P27037
Q7L590 Q15834
P40189 P08631
P05230 O14786
Q96RK0 Q969Y2
P06400 P33993
Q9NRR5 Q8WV48
Q9UK53 P62258
Q96SB4 Q99590
Q92624 P10275
P08754 P09326
Q9NWF9 O15455
Q9BUZ4 Q9HAU4
O00165 P21439
P63279 O15015
P30086 Q9BTT4
P53667 Q8TE77
P01135 Q969F2
Q9NS23 Q13885
P10276 Q9Y5X4
P45985 P45983
O43464 Q15121
Q96F07 Q06787
Q14155 Q9Y566
Q99614 P30679
P62328 P68133
Q12929 Q15154
Q00169 P00533
P30153 P62491
P31946 Q53ET0
P49137 P04792
P08514 P02458
Q9BUJ2 Q9Y3C7
P25445 P15311
P20042 P55010
P26006 O00499
P34932 O15379
Q8IY57 P25490
Q99728 P21246
O75293 P12004
P19784 P67870
Q14498 Q13838
P53708 P05556
Q7M4L6 P16234
Q92973 Q9UBU9
Q9HC77 P18627
Q16288 P20783
P08949 O14773
Q9UBU7 P49736
Q9UBZ9 O60673
P21796 Q07812
P51531 O94906
P62826 Q9P2H0
Q99608 P08138
P36957 Q8N2Y8
Q13627 O75533
Q9BT67 P46934
P35609 Q99700
P22888 P01215
P05386 Q9NPI1
P56817 Q96S59
Q13114 Q8IUC6
Q9BT40 Q15041
P62324 Q9UIV1
O95633 Q13485
P17676 Q9H7Z7
P23528 P05023
Q8TF71 Q9H0H5
P31946 Q96TC7
P29350 P21854
P49959 Q09472
P63167 P63261
Q13319 Q00535
P20226 P14859
P14672 P09622
P60484 O14745
Q93009 Q96EY1
Q9NY26 Q14722
P21673 Q9HBL7
Q01844 O60381
Q7Z460 Q15691
P13688 P21333
P04637 P0CG47
Q99942 P36897
Q12933 Q5T124
O95983 Q09028
Q6EEV6 Q9UQ80
Q13464 Q8N264
O00459 P22681
Q15596 P22736
Q96S59 P10275
O95214 Q96E93
Q99578 P01112
P63244 P06213
Q8IXK2 Q02817
Q15582 P53420
O76041 P60709
Q13564 P05067
P08670 Q9H2D6
P14314 P27824
Q13643 Q9BTD8
O14512 P19174
Q96KQ4 Q9H3D4
Q9BUF7 Q8NI35
Q14103 Q15366
Q15075 P51148
Q15365 P26599
O43813 P27105
Q13145 O94993
O60383 Q9UN74
Q14289 P06239
P42224 P19438
Q13901 P78527
P35998 P0CAP2
Q13765 Q5T3J3
O95999 Q9HAT8
Q7L622 O00453
Q9Y3E1 Q9HCE7
Q9GZZ8 P02751
O75694 Q53GS7
Q06710 Q09472
P07339 P22692
P20073 O75340
Q969R2 P08670
Q12959 Q13224
Q9NVP1 Q8NI35
P24941 P38936
P21673 Q9Y3C7
P07585 P53420
P23469 Q14721
Q9UJ78 Q8TAD8
Q08257 P02489
Q16832 P02452
P33993 Q7L590
