Q12292 P22855
O13567 P40054
P32803 P15303
P25359 P38633
Q08786 P40956
P13365 P21268
P53742 Q07350
P33203 Q00539
P19524 P39108
P25574 P47133
Q03904 P29055
P02309 P39730
P40552 P28519
P36527 P31334
P47050 P30657
P50101 P42842
P38998 P15019
Q99383 P09624
P25336 P14540
P31244 P43321
P40048 P02309
P25651 P54786
P39998 P34226
P47135 P47132
P38208 P38291
P32263 P38987
P33759 P40496
Q04660 P53261
P08431 P43601
Q08683 Q12157
P53632 P25293
P07991 P32350
P41811 P39078
P38264 Q07376
P33895 P31111
Q06410 Q99373
P36525 P36520
P32366 P49775
P38249 P40217
P53862 P53862
Q12216 P47068
P07259 P22336
P39704 Q03532
Q12309 P53277
P18851 P04385
P40469 P07703
Q02554 P39102
Q12455 P10127
P25454 P22336
P38203 Q04089
P05317 Q05881
Q03388 P53930
Q99189 P48837
P38691 P47068
P23639 Q06137
Q07622 P53238
P23644 P47106
P00830 P26754
Q06158 P38353
P06633 P06633
P38428 P46961
Q08886 P30822
P38920 P25847
P19735 Q00764
P38232 P06787
Q08903 P32366
P53196 P32565
P17709 Q00772
P32496 P22141
Q12206 P09938
P25454 P29295
P46961 P38699
P38291 P38336
Q12110 P39011
Q04868 Q02908
P14741 P35192
P29055 Q12373
P53233 P19882
Q05919 Q02948
P38064 P32591
P38114 P07703
P52490 P12709
P04385 P24814
P25294 Q00772
P32776 P53271
P53313 Q12522
Q12136 Q08687
P47093 P07257
Q12464 P38629
Q12006 P46961
P39935 Q08920
P43573 P20434
P07703 P15992
P40041 P32366
P32565 Q00916
P07806 P53040
P40534 Q04675
P38822 Q12130
P19882 P39108
P39083 P31376
P23301 P38348
Q04005 P40567
P36006 P40453
Q02931 P25491
P18239 Q12223
P42935 P38874
P30665 P24279
P39955 P26343
P02829 P33313
P28320 P39078
P47037 P39523
P23641 Q07657
P26343 P53973
P38285 P32527
Q00772 P25491
P32504 P47134
Q06679 P25586
P23301 P33895
P53851 Q12152
Q02630 Q08287
P15442 P49704
P38238 P46948
Q12250 P33297
Q12493 Q12330
P39996 P40582
P38757 P13712
P36131 P53168
P15992 P27801
P05085 P17709
P34730 Q00246
Q12310 P39968
P46677 P36044
P23595 P25043
Q03818 P38316
P53064 P35177
P31376 P40054
P14741 P14741
P34160 Q06217
P38286 P53954
P40508 P43567
P39520 P25344
P08518 P22204
P53195 Q06208
P53632 P32908
P38822 P25385
Q00723 Q12368
P53280 P39008
P14741 P39702
Q08490 P53323
P0C0T4 P47135
P32485 P29461
Q04603 P27344
P21524 P21524
P38782 P36103
P38842 P43682
P17255 P32350
P32902 Q08647
P47027 Q04377
Q03338 P32639
P38238 P50087
Q02574 P07260
P32447 Q04003
P39113 P39113
P06787 P00830
P37370 Q12446
Q02630 P30822
Q02821 P38075
P42943 P21304
Q04477 Q12680
Q08204 P40562
P00924 P16649
P35191 Q03897
P12868 P38959
P39014 P40364
P16474 P38987
P06105 P08539
P46956 P49018
Q07350 P31116
P29055 P40557
P36160 P38779
P15992 P21304
P38696 P47135
P22216 P53135
P30656 P40303
Q12380 P38316
P39944 P38080
P07703 P31378
P48510 P32628
P53855 P43601
P32656 Q12265
Q06411 Q06707
P27999 Q04005
P14904 P48837
P38687 P20424
Q00772 P25694
P46948 P53256
P29465 Q06541
Q12349 Q03231
P38819 P17898
P39692 P32381
P28241 P41811
Q02336 P47822
Q12223 P38271
Q02199 P04147
P43622 Q06675
P38745 P38875
P30656 P32911
Q03957 P02309
P11076 P22137
Q03655 Q12402
P35497 P38987
P40070 P0C0X0
P38238 P39943
Q12164 P40548
Q03532 Q04660
P25625 P38842
P53952 P47093
P40047 P06778
P38729 P25360
P38886 P28274
P40460 Q04477
Q12328 P47045
P38276 Q02630
Q02199 P34077
P38717 P06782
O13550 P40070
Q07684 P40956
Q00723 P32639
P40038 P02557
P16140 P38308
P27801 P53129
P12709 P53739
Q03944 P47079
Q12330 P20053
P32366 P40167
P38346 Q06410
P38872 P40555
P40582 Q02724
P53150 P33301
P53193 P38822
P19659 P32570
P32790 Q06604
P28496 P38356
P37370 Q05080
Q05636 Q02821
Q12305 P14020
Q03497 P38274
P10964 Q07844
P33892 P53914
P15992 P32381
P32807 P15992
P00560 Q12377
P54072 P38147
P35209 Q99314
P39685 Q03790
Q01722 Q12154
P23561 P39958
P53093 P36018
P32367 Q12308
P39743 P39112
Q01477 P54786
Q03660 P32806
P53168 P38283
P32828 Q07084
P39704 P33767
P40856 Q00916
P29295 P38879
P16658 P38822
Q02794 P32366
P38356 P40350
P22138 P36037
Q02795 P38264
P40364 P39108
Q02795 P38286
Q02794 P14741
Q04305 P25586
P01120 P04821
P26755 P04397
P42073 Q06102
P33767 P08456
P40070 P33894
Q07980 P15565
Q12024 P20424
P38820 P40465
P38875 P16474
P20457 P38691
P43555 P53394
P30902 P81450
Q04660 Q07896
P40088 Q04121
P02994 Q06640
P38842 P39704
P32908 P32562
P08964 Q06580
P40541 P40069
P38629 P16140
P22147 P39998
P40362 Q12220
P33338 P15891
P36068 P12709
Q06102 P39927
Q07811 P38996
P47079 P38203
P25626 P31334
P53935 P53829
Q06629 Q07457
P32324 P14741
P40366 P53729
Q08278 P47822
P40573 Q06640
P38782 P32570
P32908 P12753
P40013 P53168
Q03071 Q03071
P33759 P32902
Q99299 P38615
P38987 P40892
P39996 P39996
P19882 P53916
P35187 P32829
P47075 P15365
P53917 P31383
Q08622 P33759
Q07930 P04385
P53932 Q05787
Q06631 P25635
Q08204 Q12306
P38989 P53632
Q12107 Q12157
P53201 P43572
Q12420 P43321
P53129 P53129
P38130 P23642
Q08729 P16521
P23595 P53289
P39715 P40069
P38272 P32468
P17255 P38262
Q02630 P53070
P32381 P40413
P07347 P12945
P46973 Q08932
P03069 Q02336
P47076 P35718
P32337 Q12754
P35189 P34218
P36057 P35206
P29055 Q04951
P22215 P25297
P38987 P32861
P32803 Q02774
P36032 P40073
P51601 P51601
P00924 P32381
P38880 P15938
P47045 P53105
Q08237 P06104
Q04217 P46948
P08566 P38691
Q12004 P02829
P32776 Q02574
Q08285 Q05636
Q01329 P20448
P12709 P42838
P38346 P14741
Q12159 Q04149
P38147 P40316
Q04749 P32600
P38881 P07143
P46669 P32529
P53900 P48363
P53049 P31383
O13530 P21825
P40217 P38431
P87287 P40045
P38203 P39073
P22204 P53829
Q08496 P29496
Q02931 P17709
P07248 P40073
P22470 P00830
Q08949 P02557
P39009 P12753
P22141 P33299
P25454 P32863
P16474 P40339
P38875 P11076
P35172 P34730
P11076 Q04675
Q12418 Q02630
Q12446 P00830
Q99257 P36036
P32793 P39743
Q06708 P53242
P36006 Q01389
P53919 P40486
Q12236 Q12230
P40069 P25454
P53192 P40056
Q04651 Q04697
P48582 P47017
Q07623 Q02821
Q03690 P46677
P53731 Q07657
Q06821 P21771
P38863 P53378
P25655 P53040
Q99190 P38286
P43572 Q12432
Q02908 Q3E840
P32855 P32844
P40548 Q03655
P28000 P16140
P39743 P32855
P28007 P37838
P38316 P40344
P38358 P47154
Q06675 Q12408
P32565 Q08273
Q10740 P53967
P37020 P38177
Q03630 Q03337
P43572 P80428
Q03406 Q12488
P32324 Q12004
P35190 P17157
P40054 Q12524
P22276 Q04307
P38217 P00924
P41800 P36029
P40513 P53083
P38779 Q07623
P38633 P32613
Q06208 P25619
P33399 P28007
P47150 P32902
Q07508 Q03776
P39001 Q07458
P32499 P52918
P53108 P38815
P39743 P07284
Q08553 P39927
P40364 P40348
P38886 P38634
P02994 P05986
P04147 P04786
P40988 P40991
P53720 Q08729
P38111 P40567
P36048 P47017
P53939 P38822
P07256 P53550
P38068 P38260
P38707 P19735
P19262 P09624
P53045 P36057
Q99395 P33296
Q06096 Q12125
P02557 P22336
P07273 P04050
P25043 P32628
P23968 Q07376
Q02795 P38837
P12904 P12904
P31334 P51862
P25694 P24814
P38346 P16522
P25569 Q02630
P32389 P39014
P19735 P06738
Q12046 P33334
P47047 P53632
P19262 P32337
P38777 P47135
P46948 Q05636
Q12329 Q00362
Q06410 P40060
P27344 Q02336
Q07732 P53865
Q04660 P37838
P53944 P06774
Q02821 P33322
P23595 P25303
P07248 Q08273
P35817 P53201
P20457 P38121
Q00246 P41940
P32589 P22137
P38822 P40554
P53337 P35206
P40484 P22204
P32354 P24279
P38842 P47154
P40341 P00431
P53927 P40010
P10662 P33759
P07703 P07248
Q12136 Q12505
Q04472 P53157
Q00772 P04173
Q04437 P15703
P41735 P23641
P33334 Q12309
P22141 P23724
O13563 P38634
P13902 P32337
P36775 P28241
Q12035 Q99176
P38065 Q99186
P32496 Q12510
P53147 P32366
P53949 P50946
P39954 P24814
P40169 P38250
P57743 P22147
P39076 P53197
P38624 P21243
P12688 P32859
P22216 P07251
P15992 P32458
P32569 P47161
Q12050 P40339
P32528 P38708
Q08208 Q06436
P50111 Q02821
P25808 P36160
Q06208 P53379
P32074 P38288
P00924 P21304
P32844 P38261
P32379 P06787
P16661 P49018
P38691 P09880
P20486 P36167
P36022 P32908
P53968 P46970
P53112 P40155
P50944 P35723
Q08271 P14907
P40484 P54199
Q06410 P39523
Q08683 P53886
Q03935 P25293
P53930 P28496
P39940 P47135
P12709 P15873
Q12464 P38334
P22137 P17891
P32377 P25635
P33296 P23641
P38837 Q06135
P32605 Q00916
P38987 P22209
P52490 P10862
P53632 Q12080
P38822 P40453
P40070 P40018
P46944 P38334
P38633 Q06213
Q05637 Q06150
P40971 Q02629
P32861 Q12446
P39533 Q08273
P29055 P89114
P38129 P42943
P39929 Q12483
P25343 Q05670
Q02206 P38144
P15790 P53064
P02994 Q04675
P32915 P36057
P38855 P80667
P32468 Q04477
P16661 P04817
Q04305 P16140
Q12072 O13329
P53324 P53616
Q06648 P39083
P47079 P21304
P32502 P39534
Q04660 Q12522
Q03219 Q02805
P06243 P41811
Q01159 P32497
Q04964 P11710
P38826 P54784
P42946 P38264
P40958 Q12449
P13574 Q03063
Q07657 P04173
Q12243 P06787
P22137 Q07350
Q05785 P39083
P25655 P36130
Q03944 P07259
P22147 Q07623
Q02574 P49334
P25491 P47027
Q12365 Q12365
P40202 P40202
P40574 P53293
P53133 P47093
P33299 P50086
P39743 Q12168
P48837 P36224
P47149 P40573
P22141 P02994
P16474 P23642
P35207 Q02793
Q01159 P32473
P25502 Q12513
P22147 P38203
P34162 P38208
P40971 P40956
Q12495 Q02821
Q08496 P34239
P47038 P39515
P53930 P31376
P38903 P23595
P38822 P53219
Q05024 P04786
Q05543 P40070
P53286 P38523
Q12251 P33767
P52891 P53011
Q07798 P12683
Q08004 P36160
P40959 P11972
P43609 P22082
P34730 P32502
P38316 P20447
P38748 P38748
Q03954 Q02821
Q12030 P40468
P36094 P32380
Q08240 P32353
P38308 P52286
P38523 P32863
P38144 P53125
P25441 P35718
Q12066 Q04947
P38286 P25297
Q05946 P12709
P38191 Q12508
P33300 P38822
P30657 P38886
Q08496 P25491
P32368 P49018
Q12433 Q06411
Q12159 Q07395
P29703 P22007
P52920 P38278
P53265 P40971
P02994 P25454
P06838 P39954
P11972 P52919
O94742 Q06103
P36006 P38328
P24279 P29496
P53323 P28274
P21306 P47135
P48837 Q04048
P38319 P05150
P52593 P34077
P16120 P19735
P32849 P10862
Q03862 P53313
P18494 P06782
P05150 P40348
P22137 P38153
P14904 P14904
P40542 P40422
P53136 P53927
Q06102 P38130
Q03373 Q02724
P32570 Q06213
P45976 Q05942
P50108 P46985
P36047 Q04693
P19735 P00358
P47054 P34077
Q12030 Q08685
Q12134 Q07732
Q06632 Q06224
Q06032 P25301
Q12223 P05150
P47135 Q05867
P04037 Q02793
P02309 Q03214
P38843 P25358
P36094 Q07732
P53039 P35197
P33759 P47141
P00830 P81449
P41808 P43568
P47075 Q04697
Q04601 Q12440
P32504 P21965
Q12125 Q12285
Q06208 P87269
P25385 P53600
P53323 P47079
P12868 Q12241
P40366 P38822
Q07471 P39076
P47038 P53267
P39727 Q03103
P54784 P54786
P21264 P38633
P17214 P36120
Q05521 P41909
P38353 P35723
P25635 P25491
Q02794 P41695
P40045 Q03088
P36108 P39973
P00358 P07703
P38766 P14737
Q02630 P38316
P20449 Q12315
P21243 P38886
P07251 P53323
P35177 P32570
P40413 Q00362
P48562 P32873
Q02554 Q07350
Q04477 Q06324
P46676 Q12192
P32495 Q03532
P41800 Q92328
P38304 Q02630
P32502 P33419
Q05948 P53909
P47135 P04803
P32368 P25045
Q12464 P11633
P27515 P47115
P40540 P36039
Q12424 P16661
Q04121 P38729
Q06205 P40991
P36149 P46944
P04051 P17890
P18239 P06787
Q08906 Q06408
Q00684 Q00684
P47035 P06700
P43682 Q01590
P07251 Q04049
P22134 P22147
Q12514 Q03761
P39981 P38262
P34167 Q06098
P16661 P46961
P15790 Q05022
Q99190 P38837
P38217 P07253
P40582 P53857
P38316 P02994
Q05022 Q06411
P38691 Q08496
Q12149 Q06208
P32564 Q12223
P06779 P06701
Q04502 P38361
P07259 Q08273
P47822 P25344
P40460 P32334
Q04964 P05150
P38129 P34162
P34227 P40960
P50944 P53337
P38079 P39007
Q04195 P32458
P02829 P06243
P40515 Q06168
P27999 P34087
P21264 P20424
Q06819 P49704
P53900 P53378
Q04651 P38286
P36168 P34217
Q08817 P35193
P53633 P38987
P41920 P47017
P34219 P53550
P40460 Q12175
P20448 P32588
P35206 P38842
P28263 P32569
P15992 P12754
P25619 P23900
Q02794 P38123
P53179 P47135
P38348 P30656
Q08208 Q04149
Q05568 P29340
P16861 Q12417
Q07657 P87263
P38185 P11710
Q12263 P32457
P38692 Q08817
P38358 P37267
P23301 P12611
Q06032 P25454
P53974 Q03935
P19524 Q08273
P25635 P32899
P49704 P36517
P38272 P38272
P25644 P39517
P47154 P38353
Q06103 P38316
Q07732 P40325
Q07623 P42945
P53168 P33299
P39946 P00924
P25491 P52490
P53100 P38203
P53090 Q12749
P33754 P46961
P25491 P32381
P12954 P19262
P04173 P32350
Q04675 P23641
Q05123 P09547
P38162 P13090
P32333 P13393
P40359 Q03406
P43321 P39990
Q03654 Q12046
P16387 P13902
P40693 P53927
Q02875 P40217
P23337 P47011
P38217 P00358
P07260 P04397
P52918 P52891
P22696 P40069
P32602 Q08206
P07251 P26755
P48234 P15790
P32807 P25491
P47135 P32564
P32597 P53924
Q99332 Q07732
P53207 P54999
P32861 Q12380
P04385 P04173
P53337 Q99190
Q12334 P36012
Q06632 Q12102
P53861 P10080
P38969 P38632
Q12024 Q07688
P47135 P41910
P36057 P12683
P15992 P22204
P14540 P32457
P40151 P38987
Q04433 P38633
P25694 Q06834
P46961 P38992
P38150 Q07729
P04051 P20434
P16140 P32366
P25586 Q99207
P11075 P40482
P35197 P53093
P16603 P38228
Q03697 P17214
P28320 P36010
P40567 P07866
P40991 P25297
P15646 P36009
Q07505 P29055
Q12285 Q12154
P32610 Q04437
P54790 P54791
Q12377 P53549
Q12443 Q08227
P36006 Q08673
P30624 P47135
P28003 P22579
Q05946 Q07350
Q12044 P53040
Q08208 P38112
P39731 P47135
P00830 P32453
P21268 P38203
Q03973 P36068
P38785 P38785
P43588 P32473
P12695 P38319
Q07508 P39682
Q04338 P32319
P37296 P41807
Q07508 P34160
P06787 P32318
Q02336 P07248
P29055 P87282
P14682 P07834
P38775 P21264
Q08742 Q02630
P32639 P32639
P53040 P38915
Q01329 P45976
P22139 P15315
P47026 P49018
P12945 P38011
P04397 P38987
Q03177 P32573
Q03655 P40350
P38217 Q03497
Q06224 Q01329
Q12514 Q12514
Q03338 P17157
P29468 Q12102
P53249 P27515
Q12289 P13712
Q03707 Q02821
Q00362 P16861
P47172 Q02630
P19882 Q12223
P27636 Q03497
P22517 P38633
Q08641 P32366
P53261 Q08004
P06839 P40469
Q05024 P08468
P53924 P12695
P25655 P47821
P22149 Q03835
P17123 P18562
P23641 P11075
P38346 Q02794
P53859 Q05636
P19882 P25644
P53040 Q04839
P00927 Q07732
P23968 P38264
Q07623 P12709
P41811 P47079
Q00776 Q02721
P38820 P38820
P23641 P38987
P15992 P15790
P40069 Q00684
P32319 Q12446
P38930 Q02892
P39969 P11433
Q12092 P06774
P38931 P25655
P38806 P53201
P53040 Q05021
P32787 P15790
P53378 P39723
P07560 P32601
P02400 P25635
P34230 Q02260
P39743 Q12446
P53550 P46963
Q07622 P51862
P43623 P40054
P26448 P32457
P19659 P32585
P32803 P38968
P40469 P32502
P32502 P05694
P21268 Q03690
P32324 P38011
P53278 P36047
P12709 Q00362
P32366 P49435
P32459 P32459
P22138 P23595
P04385 P38191
Q12004 P25491
Q01560 P53235
P29055 Q12285
P40507 P53632
P53112 Q12215
Q06644 Q03790
P26188 P38691
P40069 Q12223
P22141 P15992
P36057 Q12164
Q12250 P22133
P38993 P49018
P07255 P00427
P35206 Q03655
Q06551 P36062
P19262 Q12306
P22211 P38840
P53968 P29295
Q00578 P07276
P34162 Q02336
Q02892 P38112
P09457 Q00684
P22517 Q12118
Q12372 P53337
Q04660 P40007
P16861 P53378
P10834 Q02630
P39743 Q03018
P08964 Q12038
P10080 P25644
Q01159 O13297
P17709 P53965
Q12142 P35724
P38231 P08018
P25644 Q03667
P39108 P27796
P38615 P25293
P38691 P53233
P47135 P32339
P13393 P41896
Q02794 P30656
P33734 Q12272
P53335 Q02979
P39743 P06168
Q06568 P32457
P33419 P36094
P53894 P24276
P38888 P40078
Q02821 Q02629
Q02608 Q02630
P28320 P47079
Q04062 P38348
Q00916 Q12033
P43604 P38633
P32790 P39015
P39534 P23639
Q99247 P51601
Q02774 Q07376
P04173 P05986
P47136 P25558
P35725 P39996
P41811 P40032
P39904 P32502
Q99190 P38356
P25655 Q08273
P43586 Q04149
Q05021 P46677
Q04697 P04817
Q03835 P53323
Q08208 Q06344
P39995 P21264
P43586 Q12522
P39011 P32873
Q04179 P25637
P25336 P02293
P00729 P16474
P14540 Q12349
P40089 P42942
