O95747 P55011
Q9NP98 Q96T60
P00374 P10809
Q8N668 Q9GZQ3
P13010 P12004
Q9NRI5 O15372
Q9NSC5 P21817
P78406 P52948
Q9HCU8 P12004
Q9Y3C7 Q9GZM7
Q16531 Q92466
P51843 P61201
Q9Y421 Q9UNZ2
Q13573 Q08999
Q96CJ1 P0C1Z6
Q13685 Q8IXH7
Q13432 Q8TDN6
Q9NQX3 P07737
Q08211 P12004
P32969 P23396
Q14181 Q8IW50
Q8IZU9 Q9NP85
Q9UL45 Q96EV8
O15287 P11511
Q969N2 Q92643
P11150 P04114
P09693 A0A5B6
Q9H081 O14777
Q05586 P21359
P08603 P35318
P06400 Q02363
Q9Y2T2 P55087
Q5FBB7 P78527
P21246 Q9HC16
O14727 Q07817
Q9BWC9 Q5T3J3
Q8WUW1 Q9Y2A7
P16150 Q9BZZ2
Q9Y678 P48444
P49366 Q9GZT8
Q969E3 Q08334
P47804 Q96EK5
O43561 Q15464
Q9Y4H2 Q07817
Q8IYX3 Q9BQ66
Q08211 Q00403
P68400 P06744
Q9HB96 Q00597
P51116 Q15834
P18206 Q00610
Q7Z7C8 Q6P1X5
Q9P299 Q9Y678
Q9UL40 Q12906
P05060 Q16635
P37268 Q9BTV4
O15126 O00161
P02647 P18428
P09466 Q5T3J3
Q15025 P46777
Q13794 Q07820
Q9Y3A3 Q15834
Q00597 P02549
Q9UBW7 P17480
Q99665 P42701
O95070 Q969M3
Q6WBX8 O60921
O15379 P24385
Q9NRX1 O43147
P46379 Q6T4P5
O60641 O15294
P22234 Q9Y3A3
P04733 P04278
Q14181 Q9BTY7
Q9NP85 Q9Y5K6
Q7L590 Q99741
Q9BPX7 Q70Z53
Q9Y2H0 Q12959
Q92979 Q07666
P0DPB6 O15160
P60033 Q9C086
O14832 O00628
Q969L2 O43399
O75553 P98164
Q12923 P25054
P61587 Q13017
P24588 P31323
O14980 O14746
Q9GZX6 Q08334
Q9P2R6 Q5JSZ5
Q9UBU3 P41159
P10827 Q15648
P31785 Q01113
P56537 Q9BZI7
Q96FV9 P06400
P10451 P05556
P51811 P68400
Q8NBJ4 Q9BQ52
Q9UKR5 Q9BWC9
Q92643 O43292
O60573 Q9NRA8
Q96QK8 Q9Y4Z0
Q9H1D9 Q5T3J3
P98082 O15169
Q92598 P43034
O75052 P98164
P54253 Q9P2G9
Q01780 Q15477
Q9BUN8 P13569
O43395 Q15834
Q9Y2L1 Q13868
Q13671 P62258
Q13620 P03372
P52797 O95084
P30039 Q9Y3F4
Q08999 Q86Y97
Q9BZW7 Q14134
O43776 P54253
Q96KN1 P35221
O94986 Q9Y2J2
Q00403 P13984
Q14061 Q5RL73
Q92624 Q6PEW1
Q8IU60 P20618
Q9NP84 O43508
Q99436 Q92979
Q96RK0 Q9HC77
P52657 P29083
Q92598 P00558
Q9UMF0 P49768
Q93008 P35222
P21246 O43147
O75150 P06400
P63208 Q9UKT4
Q8NFH4 Q8NFH3
Q9Y6H5 Q7L5D6
Q7L5N1 Q9Y4P8
Q01780 Q08945
Q15542 Q6P1X5
Q5RKV6 Q8IZH2
Q9H9Q4 P49917
P04843 Q9NYS7
Q7L5D6 Q9P2H0
Q7Z628 Q96QZ7
P68400 P06127
P20807 O75923
Q9GZZ8 P04004
O95149 Q14974
Q9P086 Q96G25
Q92598 P22314
P06748 O14980
O43147 Q9HCC8
P09874 P12956
P13807 P46976
O95059 Q96ID5
Q08211 O60502
Q9P2H0 P82932
P21673 Q9Y3C7
Q5T3J3 Q16891
Q9Y5K6 O60500
Q5T124 Q8IYR0
P03372 P19838
P68400 Q16665
Q8TCJ0 P63208
Q9H267 Q9H9C1
Q12929 Q9UKN7
P49366 P32969
P06753 Q9BQD3
Q9Y6J0 Q14814
P25705 P04278
Q9GZP4 Q6P1J9
O60895 P10997
Q92597 P11940
O43914 Q9NY25
O00165 P01583
P49771 P21583
Q9Y6V0 Q9Y2X7
P02753 P02766
Q08211 Q6P2Q9
P35222 P49768
Q13867 P47914
Q13432 P84090
Q8IWU2 Q15078
P24666 Q9BYC9
Q9BVJ6 Q9H8T0
P98164 P02766
Q13069 Q8NEA9
O14777 Q9Y3C0
Q13432 Q9UN74
P54253 P26368
Q9HB21 O75970
Q8N5M1 P25705
P12270 P52948
Q6P1K2 Q9P2H0
O15169 Q9BVJ6
P09466 Q7L5N1
P98161 P02751
P15941 P25054
P21583 P04141
P38432 P61289
P38435 P02818
Q07065 Q9H1I8
Q15631 Q99598
Q15102 Q5RL73
Q99700 P46379
Q96RL1 Q15406
O95793 P62424
Q05586 P27824
O76003 O95544
P98164 P08519
Q99933 P03372
Q12802 P62258
Q09472 P52948
P29083 P19447
Q16718 Q15834
P32780 Q9H7U1
Q92990 Q9UNZ2
P51946 P19447
Q13200 Q8WVY7
Q9UDY8 O95999
P68400 Q6VY07
P98164 P11684
Q13888 P18074
P41273 Q13077
P78527 P09874
O60383 Q15102
Q8WWV3 Q9NQC3
Q9UBD9 O75462
Q92572 O14617
Q13888 P19447
Q9HAF1 Q969R5
Q9UPW5 Q9Y3M2
P98164 Q5JY77
Q9HC77 P23258
Q9NP79 Q7Z6G3
Q15011 P49768
Q9NY26 Q15464
Q9UM13 Q9UJX2
Q9P2H0 Q5UIP0
Q96ME1 Q9BQ66
P68400 Q08945
Q9Y5K6 Q13563
P22234 Q8TAP6
Q96T58 Q03181
Q8N668 Q9NX08
Q9Y5X5 P01303
Q9H269 Q9P253
Q7L8L6 Q15834
Q8NF91 P02545
Q9UBW8 P61201
Q9UKT4 Q12834
O14744 Q9BQA1
P49771 P36888
Q14146 P02545
P49789 P10809
Q9UKG1 O94776
Q05707 P16070
P50579 P41091
P50591 Q5RL73
P42677 Q9UHY7
P04062 P07602
P38432 Q96HA8
P51116 Q9Y2J4
Q9Y2X7 Q96RU7
Q8N6C5 P05019
Q8TDV0 P22466
O14836 P49069
O00116 O15228
Q04446 P52209
O75943 O60921
Q52LW3 Q12923
P21673 P49903
P28331 P40926
P20382 P16870
Q9UJW9 P15927
Q13765 Q9BWH2
Q9H5Q4 P00491
P04004 P15151
Q03393 Q86U86
Q6UX01 P31025
Q9Y5A7 Q9NZN9
Q13191 P36888
Q8TDC3 P30291
P13725 P42702
P00966 Q9H8T0
P21246 Q9H5J8
O60763 Q13190
Q92908 Q15648
Q99460 Q99933
P68400 P41236
P02647 Q15388
Q9Y314 P29475
Q12888 P19838
P37198 Q9GZY0
O00203 Q00610
Q9UHV9 Q9NQP4
Q1MX18 Q8TEW0
Q15633 Q9H0R4
O14737 Q5T3J3
Q15154 Q9Y3C0
O75533 Q12972
O00311 O60610
Q9UN74 Q5T3J3
Q13573 P06400
P46777 P67870
Q13503 P10827
P49789 P22570
Q9UKB5 P35222
Q12972 Q9UKR5
Q9UFN0 Q8NBJ4
Q9P2R6 Q9BQ66
P02775 Q14061
O75330 P16070
Q7Z7C8 Q16594
O15169 P25054
Q92624 P05067
P03372 Q99623
Q9Y5Q9 Q92994
Q13889 P19447
Q13017 P05556
Q15102 Q13432
P47224 Q9BVJ6
P17480 P06400
Q9NZD8 Q9NTM9
P55259 P04746
Q9Y262 Q9NYV6
Q9NP99 O43914
O94811 P04406
Q96SB4 Q8IYB3
Q8WUH2 P09917
P19429 Q13563
Q6P1K2 Q9Y3C7
O75381 O00628
P49721 P49720
P13010 P78527
Q5JSS6 Q8N0X2
P03372 P51946
Q99575 O95707
Q96G75 P04278
P09693 A0A1B0GX56
P19438 Q06643
Q15834 Q8NHQ1
Q8IYF3 Q7Z6G3
Q15645 O95865
Q96EC8 Q9BWQ6
Q96QU8 O60610
Q13571 Q7Z6Z7
Q92597 P60228
Q99828 P49768
O75354 P54253
Q13432 Q96GX8
Q5FBB7 P18124
P62854 Q969E8
Q53H80 Q15834
Q8TDC3 P30305
P02647 P55058
Q14966 Q9BQ66
P51587 Q9BXW9
P19838 Q14690
Q5JY77 P29371
Q07817 Q9HB09
P46977 Q9NQX7
P00480 Q15388
O43427 P67870
Q9NXU5 P62917
Q9UHF0 Q9GZT6
Q969J3 Q9UHX1
O00198 Q07021
O60763 O15498
Q8TEL6 O14920
Q9UMX1 Q15274
P60228 Q9GZR7
P68400 P04198
P48736 Q13480
Q12906 Q9HAV4
P51116 Q7Z6G3
Q9UHR5 O75446
P07766 O15446
Q9H204 Q96HR3
O95721 P51809
Q12959 P98164
Q6P1K2 Q7L5N1
P09874 P06748
P37198 P49792
Q92611 P27824
P38432 P51116
P37108 Q9UNZ2
O15144 P59998
O95721 O43752
P02753 P02768
Q8NBJ4 Q8IYL3
Q92844 Q5D1E8
Q9GZY0 P78559
Q13352 P19838
P46777 P63241
Q96RJ3 Q9Y275
Q9GZS1 Q15572
Q96GG9 Q13571
Q15596 P35222
Q06495 O14745
P61626 P31025
P09874 P19838
Q16891 Q9BQ95
Q03167 P61812
Q7L622 O00453
P13611 P16070
Q99741 P49736
P30519 P05067
Q9Y3F4 Q9H840
O00203 O60566
O95373 P62081
Q9BVW5 Q9UNS1
P04180 P02647
P63208 Q02224
P55084 P05067
Q13596 P06213
Q9NV58 P23258
Q9NRG1 Q96G04
Q16666 Q02363
Q9BYH8 P19838
O95180 Q12791
Q9BYG5 Q8N3R9
P03372 P49815
P98161 Q13563
Q9HCS7 Q03468
Q13094 Q15464
P46379 O15145
O60566 P30260
Q9P2M7 Q9UDY2
Q96D46 O14980
Q96N16 Q9UBS5
P34981 P20396
P62750 O95373
Q9BS86 Q05996
P38432 Q9GZT8
P27701 P13612
O95870 P03897
Q92667 P31323
P03372 P51843
Q15648 P03372
Q03013 Q8IXH7
P46527 O15131
Q02363 Q5T3J3
Q96NW7 Q9UQB3
P30990 Q99523
Q16533 Q92966
Q7L5N1 Q9BXR0
P41227 P11245
P61604 P10809
O60343 Q9HCM1
P55058 P02652
Q9Y5X5 O15130
P15927 Q9Y3C7
Q06495 O95070
Q9UM13 Q12834
P06753 P0C1Z6
Q96E40 Q9GZR7
O60216 Q8N3U4
O95251 Q9H079
P22570 P10109
Q5T0L3 Q15834
Q13094 Q8WV28
P61247 P09874
Q9P021 Q12959
P55060 P35268
P31785 P16871
P38432 Q4J6C6
Q9NY97 Q96EU7
P32970 P26842
O94875 P18206
Q9BQ66 Q08E93
Q9Y6X1 P60468
Q12791 P30519
Q12929 Q9BYC9
P11684 P02751
P17480 Q08999
P18206 P35221
Q9NRA8 P60228
P04406 Q15102
Q16665 O15534
Q15042 Q9H2M9
P49641 O95163
O60383 Q99547
Q9UBU8 P06400
Q9Y6B2 P06400
Q9NWT6 O15379
P48147 P20366
P34741 P02751
Q969D9 P16871
Q92828 O60907
P11940 Q8IYD1
P67870 P17509
P12272 P49407
O60701 Q9Y6K8
P17480 P68400
Q15102 Q9UKR5
Q9UNS2 P61201
O15381 P46777
O43715 O14727
O75396 Q13190
P21246 Q9Y657
O14777 O95229
P32969 O94875
Q9H2C0 P22314
O75934 P03372
Q9Y572 P19438
Q9UNI6 Q9P2H0
O14617 P51809
O60763 Q14789
Q99726 Q92572
Q92973 P52948
Q5JVS0 Q07021
P20823 P35222
Q8IZD4 Q8IZH2
Q9H422 O43294
Q5RL73 Q16594
P21246 Q6IB77
Q12955 Q9UJC3
Q9UJX3 O60566
Q8IZH2 Q9BZI7
Q03135 P05067
P01148 P30968
P07814 P54136
Q13432 Q13200
O15304 P0CAP2
P35869 P03372
O75419 Q9UBD5
Q9Y6B7 Q9UPM8
Q9UKT7 P63208
P18428 P08571
Q9H5Z6 Q15834
O60268 O00165
P40189 P08887
Q8TEQ6 O14893
P68400 P10451
O14744 P54105
Q12834 Q9H1A4
Q15751 Q13571
O15155 Q13190
Q16531 Q8TEB1
Q7LFX5 Q9NQL2
P62913 Q13867
Q07889 O00499
P24666 P35222
Q9Y3C7 Q9H1I8
Q9HAW0 Q08999
P02489 P02768
Q9Y3C7 Q96G25
P40933 P31785
P10827 Q12802
Q9BVJ6 O43261
Q96SZ6 Q15078
Q9BTY7 Q8N2U0
Q9UBD5 Q99741
Q9UGJ1 Q9H668
Q86YN6 P03372
Q14789 O15239
Q8IWU2 P41236
P36543 O75348
Q15834 Q9Y247
Q9UI26 P30050
O43257 P67870
P27701 Q99567
Q99705 P20382
P98161 P35221
O75553 P05067
P22314 O75069
Q99547 Q9NP97
P49005 P12004
Q8IYF3 Q6ZU52
P16284 P35222
P21359 P05067
Q96A72 Q9Y2J4
Q12929 P05556
P80108 P05187
Q99547 Q9UKR5
Q5JY77 P20309
Q9BXR5 O95232
P32780 P18074
O14744 Q9NTK5
O43633 Q13144
Q13651 Q08334
P35222 P35221
Q9BZZ2 P15941
P07738 P04406
P48736 P40189
Q6ULP2 O43747
O15235 Q9UKR5
Q15102 Q5T3J3
P51946 P32780
P13686 P10451
Q5T124 P61587
Q9UMX1 Q9UHA4
P33402 Q12959
P34741 P04141
Q92844 O14920
Q03135 Q14254
O14579 P53618
Q03013 Q9Y3C7
Q9NP62 O15379
Q15465 P18509
P12956 Q96FF9
Q9UJX3 P30260
P40925 P21695
P04183 Q13432
P35244 P49736
Q9Y294 Q9UKI8
Q12959 Q13224
Q13393 P61764
Q9BW71 P54198
Q9BVV2 Q15834
Q12959 P82930
Q96JH7 Q13190
Q05586 P35222
Q9H0E3 Q4LE39
O14745 P36543
P84090 Q7L5N1
Q13480 Q9GZY6
Q9GZR7 Q9Y2X7
Q5T5C0 O00161
P67870 O60763
P58753 Q99836
P21673 Q7L5N1
Q86UW6 Q09472
P26639 P12081
Q9Y6H5 Q8N5H7
P03372 P30305
O00567 Q13873
P30533 Q9NQC3
Q00403 P10827
Q9NTM9 Q6IA69
Q15102 Q9Y3C7
Q4G0F5 Q96QK1
P20366 Q8TER5
Q15572 Q15573
P54253 Q15032
P60033 Q8TDM6
Q9NYU2 O60613
P49917 O95347
O15519 Q07817
P78345 O95707
Q15406 O14775
P18621 O95149
O75530 P13612
P21246 Q9NXU5
Q92597 P41091
Q99689 Q9UQE7
P32780 P29084
O14832 P00451
O43493 O00189
P36543 P12956
Q7Z3Y8 P06213
Q15185 P03372
Q14191 P27694
P68400 P13807
Q9H211 Q13416
Q6UB99 Q15596
P15927 Q9BVJ6
P42081 P33681
P78527 P49917
O75506 Q9Y3C0
Q99689 Q16891
Q9NV56 O96019
P21246 Q6P1K2
Q96LW7 O95999
P16455 P68400
Q03113 Q15283
Q14974 P49792
Q99689 Q6PGQ7
P62917 Q11203
Q96QK1 Q13596
P19838 O15519
Q13432 Q9BXR0
Q6P2C8 Q15528
P54253 Q14157
P50502 Q93033
Q9UBN7 Q09472
P54852 Q99572
Q99081 Q09472
O15503 P04035
P62081 Q92973
Q15388 Q8NEY8
Q12929 Q13155
O00198 Q07817
Q5JY77 P55085
P61024 P46527
Q6QNY1 Q8TDH9
P08574 P99999
P07737 Q9UKR5
Q92542 P05067
O75925 Q9UPW6
O43929 Q9Y5N6
Q9NRW7 O14662
Q01344 P32927
P00367 P00505
P49247 Q96HA8
Q06495 P40855
O43747 P08247
Q8TEQ8 Q07326
Q9NQW7 Q6NUQ1
P49366 P63241
A5YKK6 Q9NZN8
Q969N2 O43292
P78552 Q8TDR0
O60496 Q96EK5
P27694 Q9H1I8
P05060 P17480
Q9Y6D9 Q9Y2J4
Q53TS8 Q15834
Q15181 Q13432
P49247 Q9NP79
Q9UJ70 O75716
P54253 Q70EL1
O15534 Q5JY77
Q9UL45 Q96LR2
Q13416 O75419
P09086 P12956
P06213 Q9Y4H2
Q9GZT8 Q96H20
P54253 Q96IP4
Q07889 P36543
O75787 P00797
P52630 P17181
Q16611 P10809
Q9P2S2 Q9GZR7
Q8TA86 Q01081
O75665 Q5JY77
P21246 Q9Y6H5
Q15049 P13693
Q09472 P52701
Q99933 P06400
Q9Y2T3 Q12959
Q08211 Q96SB4
P01589 P14784
P07737 Q5T3J3
O15304 Q07817
O96006 Q9Y4P9
P49757 P05067
P24385 P03372
Q9UMX1 Q9NPA3
P30793 O95433
Q92542 P49768
O43633 O94818
P78417 Q5RL73
P05556 P13611
Q12770 Q12772
Q99836 Q9BXR5
P21246 O94864
P14866 P27695
P57739 Q9BQ66
Q96FZ7 Q96H20
P14324 P54253
O95551 P28908
Q13113 Q7L5N1
Q9UBU7 Q13416
Q15078 P35222
O95741 Q9Y6K8
Q15293 P54253
Q13432 Q14061
Q16589 Q15257
Q07864 P09884
O60268 Q96HW7
Q96QD9 P04278
Q15102 P43034
Q8NCW5 P02652
O15372 Q15834
Q09472 Q92878
O15360 O15287
Q5FBB7 P30154
P49354 P49454
Q01780 Q99547
Q8IYF3 Q9UNH6
P19320 P05556
P62805 O60907
P35869 P06400
Q16864 Q9P2H0
Q03113 P16473
P61218 P62487
Q96G25 Q15528
P36542 P21246
Q92597 P62854
P45974 O75528
P35268 Q9UNZ2
Q8N6Q3 P04278
Q9BW71 P62805
P04004 P01189
Q9H1D9 Q92994
Q13416 P49736
O15371 P55010
P68400 P04004
Q9H5J8 P06746
Q9Y5B9 P29084
Q9NQC3 Q07817
P98160 P28799
Q9H211 Q99741
P62851 O43147
Q6ULP2 Q9NZ52
P37108 P49458
O00220 P51398
P78527 P27694
P00451 P27824
Q15543 Q10570
P13612 P13611
Q96T76 P32780
Q9UNN4 P52657
P56589 P40855
P47756 Q9BYC9
P13798 Q0P6H9
Q9NQT5 Q92945
Q96QZ7 P98164
P13612 P02751
P02775 Q8WVM8
Q96IP4 P46379
Q12955 Q07699
Q09472 O95359
Q14061 Q5T3J3
P21673 Q9UKR5
Q8WV28 P21854
P03372 P10827
O95372 Q9Y3C7
Q06495 Q6P0Q8
P51808 P06127
Q9BWG6 Q15834
Q99689 Q14596
O60496 Q02763
P19438 Q9BXW9
P31785 P05112
O15020 P02549
Q9UBZ9 O60673
P17509 Q09472
Q99700 Q96EK5
Q96A65 Q13224
O75818 P78345
Q9UBZ9 Q9UBT6
P55789 Q9H1I8
P13051 P15927
P68400 Q9UNN5
O15455 Q99836
Q9H1D9 Q96FK6
Q92597 P04844
Q9UNN5 P67870
Q13432 Q01344
Q9Y2J2 P54105
Q9UKR5 Q96M11
P20366 P02751
Q9UQ80 P06400
Q9NTM9 Q9H1I8
P05060 O15527
Q92844 Q13077
Q9UQE7 Q92845
Q9H0Q3 Q5RL73
Q9BVC3 P12004
P61254 O43390
Q7L590 Q9UBD5
Q86XR7 O15455
O96006 O15287
Q9Y5Z4 P42704
Q9Y6D9 Q9UGJ1
Q09472 Q12888
P48681 Q15078
Q9NPI5 P05556
Q9BRK4 Q15834
Q13432 P20963
Q9BVJ6 Q9C0J8
Q9UGL9 Q5T3J3
Q9P2J2 Q9H1I8
P56537 Q9Y2X7
Q9H147 P04053
O75182 Q9Y6D9
P61247 P04179
P58753 P20963
Q8IZD4 Q5RKV6
Q08257 P02489
Q92945 O95453
P52434 P62487
Q9BVP2 Q9H1I8
Q8TEW0 Q01970
P10124 P02768
Q92597 P34897
Q9NV56 Q9H0E9
P20963 P06127
Q9BT78 Q9UNS2
Q92621 Q8N1F7
Q7L590 P49736
Q9Y2H0 Q9UD71
P51116 Q9NQC3
Q92759 P19447
Q13190 Q16891
P30990 P16870
Q92994 Q08999
Q13190 Q5T3J3
Q99836 P51617
Q96RR1 Q9H8T0
Q96HA8 Q9H773
P62380 O60664
P06401 O75925
Q15388 P00374
P27930 P01583
P56537 Q02878
Q9UN86 P19838
Q5FBB7 P62424
Q9NYB0 Q92878
Q96KJ9 P99999
P03372 P01160
P35222 Q16665
Q9NYG5 Q9UJX6
Q13951 P05060
Q9NQS3 Q8TEW0
Q15834 Q8NE31
Q9H8Y5 Q9GZP1
Q07889 Q9GZY6
Q9Y6H3 P12956
Q5T3J3 O43379
Q9P2M1 O60241
P13686 P50591
P12272 Q03431
Q8N3C0 Q15650
Q9NRI5 P78559
P06746 P27695
P54253 Q5JSZ5
P31785 P14784
P38432 Q9P2G9
Q13416 P27694
P56537 Q9NWY4
Q9NYK6 Q15834
P78324 Q08722
Q96RU2 Q9HAW4
Q9UKR5 Q9UN74
O75475 P51610
O95219 Q53H12
O15519 O14920
Q13216 O14949
P54253 O15273
Q96H20 Q9BRG1
P12956 P27695
Q9H0I2 Q15834
Q96SB4 P02686
Q9UHI5 Q07837
P68400 P06401
O76061 Q9H1D9
Q9BUI4 Q9UKN8
Q14191 P78527
Q8NCR6 P04278
P54253 P04406
Q9ULU8 P11532
Q9GZX9 Q9H2X0
Q14061 Q7L5N1
Q9NZN8 Q9UFF9
Q9UKJ5 Q9BQ66
Q15029 O15145
Q9C0A6 Q15834
P49959 Q09472
Q9HB71 P63208
O60282 Q15596
O60383 Q9BRR6
P12004 P09874
P68400 P21673
Q13042 Q9UJX2
Q8TC92 Q9GZT8
Q9NZ52 Q00610
Q92597 P26639
Q12929 Q15834
Q09472 P12004
P03372 O15514
O60238 Q6NUQ1
Q6PIZ9 P20963
Q03167 P05111
P49247 P51116
Q86X55 P11940
P06400 Q09472
Q6P3W7 Q00610
Q9UKR5 Q9NRX3
O95059 Q969H6
O00311 O43913
O60343 Q96L91
Q9Y5Q9 Q8WXF8
Q9Y6C7 P03372
O96020 P46527
P36542 P25705
Q5TCY1 P47710
Q9Y294 Q9UK41
Q969H6 Q99575
Q99741 Q06190
Q86US8 O14746
Q13794 Q07817
Q16558 P00395
P68400 P11836
O95273 P82933
Q9UI46 P43034
P53618 P24390
Q12981 Q09161
P56159 P39905
O15085 Q03113
O96006 Q9Y221
P02775 Q9UBW8
P49407 Q14749
O60921 O60671
O14976 Q00610
P36542 P19823
Q96F07 P51116
P68400 Q9NQB0
P21246 Q9NPJ1
P21673 Q9HBL7
P43034 P11137
Q99741 Q13416
Q12874 Q15834
P20366 P29371
Q86XR7 P14778
Q9NYH9 Q15834
P14209 Q14974
Q9P2M1 Q9UNS2
Q5TCY1 Q15078
Q9BUE0 Q9Y3C7
Q16594 Q00403
P09012 P26599
Q9GZN7 Q9P2H0
O15379 O14980
Q14749 Q9GZT8
P21246 Q13200
Q99547 P60866
P20674 Q7L5N1
Q07820 Q13323
Q92973 P09132
Q03013 Q96ID5
P10451 Q8WYA6
O15360 Q9HB96
Q9NXU5 Q9GZT6
P00505 Q9H6R6
O15360 Q00597
Q9UHW9 O95747
Q9UKX7 P46527
P54253 P16383
Q9Y535 O75575
P48552 P35869
Q8NF91 Q9NRI5
Q02094 P06028
Q13416 P15927
Q9UKX7 Q14974
P13010 Q9BXJ9
Q9UI12 P36543
Q8IUW5 O95747
Q92597 Q00610
O14727 P99999
P09132 P61011
Q07820 Q7Z6Z7
P06733 Q9UPW5
Q9GZM8 Q14204
Q92989 O43809
P07686 P41214
P15927 Q7L5N1
P40189 P42702
Q16594 P38432
Q92994 P68400
P68400 P84090
P57678 Q8TEQ6
P34897 P67870
P68400 Q13144
Q13432 O14569
Q13228 Q9Y3C7
Q9UJX3 Q13042
Q7Z7C8 Q16514
P52701 P12004
Q13432 P49903
Q9UJW3 Q9NRX4
O00257 P06400
P03372 Q07889
P13727 Q5RL73
P13727 P04141
Q9H981 Q13873
P21246 Q9UGL9
Q9NPJ4 P03372
Q9UHQ9 P99999
Q00403 Q13772
Q92597 P39023
P49450 O60610
Q7L590 P24385
P68400 Q9UNN4
Q12874 Q01081
Q86YN6 P51610
Q13432 Q9H0Q3
Q7L5N1 P60228
Q9Y624 Q8TEW0
Q9BTE0 Q9P2H0
Q9UBW8 Q6P1K2
Q10570 P49736
Q15542 Q10570
Q16478 P58340
P40933 P14784
O75528 Q09472
O43752 O14662
P56715 P25054
P62917 Q9H6J7
P40189 P05231
O43683 P25054
O75943 Q07864
P21673 P61604
Q8WU20 Q07889
O43768 Q09428
O75208 Q9HCE9
Q00403 Q09472
Q9BVJ6 Q9GZM7
O95373 P09132
P20618 P49720
O94776 Q16576
Q5RKV6 Q9Y2L1
P68400 Q03135
O75381 P40855
P27169 P02768
P25208 Q09472
Q9UHQ1 P02545
Q9UNM6 O00232
Q9NQ34 Q9GZR7
Q9UN74 Q96ID5
O95424 Q8NBJ4
P49736 Q9Y3A3
Q969G3 P03372
Q99836 P14778
O43147 Q96B86
P62875 Q15834
P46379 Q9BQD7
O75884 Q08999
Q92597 P27824
Q9NRX3 Q9BXR0
P10827 Q13569
Q8N715 Q9BQ66
Q9UHR5 Q9UHX1
Q9NRH1 Q9P2H0
P13686 O14737
P49356 P49454
P61604 Q5T3J3
Q9NY26 Q14722
Q15078 P61764
O75528 Q9BRR6
Q01629 Q96EY7
Q99700 Q13772
Q9UMX1 P10071
Q99698 P67870
Q15645 Q53HV7
Q7L590 Q13416
Q13216 Q16531
Q9P253 Q9NRW7
P84090 Q9Y3C7
