Q12100 P38631
P53136 P25296
P47116 P38855
Q06436 P36012
Q12277 P53865
Q06679 P38165
P48836 P38310
Q12175 P38692
Q06103 P02829
Q06673 P53036
P52910 P38996
P24814 P06243
P53086 P32898
Q07468 Q04002
P53281 P17536
P53883 P23724
Q07963 P38070
P53538 P38112
P21672 P14736
P47017 P33400
Q07688 P36421
Q08921 P32581
Q04562 P19812
P40477 P40003
P41818 P38699
P39935 P34217
Q12514 P06843
Q92331 P31244
P33296 P25045
Q06324 P41277
P47029 P38287
P80428 P47821
Q08726 P40555
P53949 P38328
P38774 P24870
P40335 P33419
P38873 P33307
P43321 P38822
Q02804 P39944
Q03322 P38273
P40010 P38287
P06843 P00330
P48566 P32525
P52488 P32585
Q12118 P40350
Q04359 P53010
Q04225 P33301
P39984 P32895
Q06177 P22224
Q04377 P32327
P53196 P32599
P31385 P05986
Q06568 Q04322
Q06216 P25298
Q07904 Q06644
Q12152 Q04439
P40010 P38810
P31377 P29469
P46962 P14741
Q12330 P38820
P47110 P39720
Q03162 Q00684
Q02875 P40555
P27895 P25575
Q04272 P40079
P23301 P13712
Q08229 P32505
P53040 P32895
Q08979 Q08144
P53549 P38113
P50094 P43593
Q08873 P52918
Q12055 P47135
P33306 P12688
Q03503 P37296
P32911 P17536
Q04004 P36017
P38822 P32447
Q12368 P53283
P48837 P38339
P38200 P10869
Q05881 P40507
Q08649 P38783
P36000 P09959
Q05583 P53104
Q12477 P22517
P54999 P40339
Q08873 P18898
P38871 P02829
Q12344 P34909
P53739 P46985
P40963 P38823
Q08729 P39563
P37302 P20052
Q12406 P39101
Q06412 P15303
P40517 P39940
Q08685 P07272
Q08235 P39962
Q01590 P47165
P53168 P34087
Q12256 P19145
Q04847 P40971
P36131 P32582
P47045 P40024
Q12206 Q07381
P38348 P08018
Q04978 Q02773
Q03012 P36005
P32835 P25043
Q92317 P32380
Q08726 Q03619
Q12417 P33334
P38229 P32793
P50275 P07170
P53616 P38988
Q04739 Q04199
P29366 P00830
P39729 P38623
P40561 P39081
P38191 P14242
Q12098 Q07623
P32802 P04456
P53116 P40014
P43616 P32571
P25605 P00175
P53840 P53280
P38690 P32496
Q08562 Q01329
P53238 P38759
P35203 P28817
P29469 P07283
P50278 P38689
P42073 P38720
P43565 P41813
P40541 P38217
Q06263 P53067
Q00578 P39946
P52919 P38193
P51996 P32591
P46957 P13712
P53049 O13563
P47019 P32523
Q02100 P38759
Q12277 P38793
Q12318 P49166
Q99207 P32945
P54199 P40492
P25344 P06244
P13856 P06839
Q08902 P53389
P53197 P40066
P42951 P25582
P25343 P06242
P49573 P32855
P36172 P06101
Q6Q547 P53313
Q12265 P04456
P53840 P32793
Q12460 P12945
Q08162 P47176
P36013 P33201
P38208 P25584
P36080 P09032
Q03784 P34223
Q07381 P32263
P53685 P04807
P48606 P39079
Q12518 P47134
P50091 P40339
Q12157 P35177
P46655 P38348
P22007 P06103
P36085 P06244
Q08204 P40510
Q08162 P22202
P53136 P27801
Q02336 P46954
P40036 P38011
P24870 P24004
Q04199 Q03096
Q07478 P40054
Q06673 P46672
P39730 P17119
P41811 P17065
P33314 P07262
P89886 P06169
P33892 P07149
Q12165 P38805
Q07921 P08518
Q03691 P38181
P40066 P07251
Q08966 P50086
P53211 P32863
Q7LIF1 P53959
P27472 P07262
P32917 P28707
P46675 P33419
Q12477 P46682
P38956 P38696
P25644 P25605
P43568 P38720
Q07622 P30656
P25586 P22147
Q04338 P14164
Q06648 P36047
Q12030 P32657
P38801 P06104
Q06706 P38283
Q02100 P31377
Q02354 P41814
P49166 P08524
P53168 P27705
P40541 P20437
P35203 P22515
P51862 P40155
P40512 P25591
P40453 P38956
P53067 P36013
Q03792 P38691
Q08208 P39563
P40495 P40494
P39925 P33329
Q12468 P16521
P35734 P11927
Q08465 Q02732
Q02890 P53743
P53254 P00445
Q04493 Q03308
P07991 P04807
P43619 P32854
P32447 P30624
Q02516 P41896
Q03774 P38692
Q12276 P00724
P54860 P33307
Q99383 P13712
P47054 P32492
Q12035 P81450
Q12347 P54999
P28795 P04456
P53297 P27636
Q06160 P38889
P47012 P40548
P53893 P09734
Q03758 P53048
P20052 P12754
Q02793 P11154
Q12107 P05085
P40473 P32527
P43565 P40204
P53628 P32629
P51862 P36172
P46669 P26188
P35734 P13712
P39742 P36017
Q08649 P39727
Q12045 P32801
Q12468 P29461
Q07623 P09938
P51862 P32501
P40434 P17898
P53252 P32581
Q06679 P28707
Q12469 P32588
Q12433 P00549
P40018 P38737
Q12280 Q00916
P38254 P20133
P53185 P53112
Q04175 P53604
P53905 P38814
P40009 P07560
Q05670 P46962
Q03012 P53036
P47064 P34234
Q12033 Q03981
Q12175 P32325
P46673 P32801
P25296 P07149
Q07887 Q06549
Q12434 P32468
P34160 P13517
P22543 P22203
Q07896 Q04121
P43565 P11154
P40991 P38352
P53622 P52286
Q04121 Q03503
Q12473 P32639
P50106 P27476
P53277 P35203
Q04373 P32366
P48240 P41920
Q03125 P32828
Q06679 P38682
P40960 P27636
P53894 P42839
Q03897 P20433
P53130 P39682
P24004 P00724
P52910 P39108
Q03619 P25584
P39968 P36013
Q03322 P18888
P53094 P15891
P40164 P06103
Q99260 P32481
P40484 P06704
Q02197 P22515
Q12424 P38276
Q05568 P39729
P43603 P22203
P53337 P25656
Q06819 Q04675
Q12044 P40087
Q04377 Q03973
Q06102 P15646
P35178 P12945
P33400 P30771
Q03898 P38990
P26793 P09734
Q08817 P32501
Q12168 P39979
P40482 P09734
P40960 P32588
P39079 P23287
P41811 P05694
P50944 P50942
Q08444 P36162
P40988 P35182
P43555 P39547
P40515 P39940
P47012 P38840
P53900 P17157
Q07471 P09435
Q01939 P04147
P38766 P32481
P38757 P32945
Q08931 P37303
Q12220 P53930
P32566 P22515
P53738 P38063
Q12390 P38153
P41813 P32496
P40573 P26793
P38283 P23301
Q04005 P38991
Q00416 P18480
Q12315 P32345
Q12343 P36100
P25296 P24279
P38748 P09032
P53277 P35190
P25584 P25343
Q07786 P11927
Q04978 P53248
P40087 P38261
P35182 P20437
Q08732 Q03785
P53152 P12945
Q00816 P40561
P35691 P32349
Q08119 Q07963
P17123 P07560
Q08966 P52286
P53254 P32485
P40970 P06775
P39743 P20438
Q05778 P53965
Q12517 P40413
P39715 P38853
Q08492 P09798
Q06624 P21243
Q03280 P38429
P38237 P08431
P12688 P09938
Q08558 P53036
Q04964 P38840
Q06648 P07560
Q06704 P33329
Q05947 P47117
P53197 P14741
Q12411 P38768
P38929 P35184
P53845 P32802
P39994 P38785
P53184 P48836
P39927 P32610
P48239 P25357
P33199 P32447
P53754 P00560
Q05947 P46675
P32773 P25342
P49704 P38788
P39926 P32588
P43569 P22147
P43321 P36124
Q12236 P38850
P53313 P08964
Q06549 P39730
Q02948 P10659
Q04412 P35197
Q05080 P39967
P53604 P18410
P31244 P22137
Q12034 P36005
P46675 P32588
Q06624 Q03981
Q03792 P15108
P45819 P36145
Q04359 P40096
P39940 P35197
Q12452 P29509
Q12248 Q02890
Q04031 P35197
P53834 P34077
Q04562 P20795
P39744 P12385
P36145 P32854
Q12248 P38193
Q08215 P41816
P16861 P04821
Q02804 P47150
P41911 P32350
P41832 P38930
P47113 P32802
P53086 P47124
Q12315 P53604
P38805 P36017
Q08920 P13517
P04456 P02557
Q04031 P31539
Q04660 P39108
P47017 P28708
Q12418 P33760
P38232 P25298
Q05583 P34160
Q12194 P49334
Q12045 P32345
P36029 P32563
P43637 P25360
Q06169 P38789
P38874 P16467
Q07381 P07258
P32490 P25719
P38254 P36130
P39730 P04147
P38817 P14908
Q06525 P40455
P38692 P12383
Q00916 P53248
Q04217 P00724
Q07508 P32495
Q02804 P40495
Q05670 P38193
P40395 P33332
Q07887 P32598
Q12349 P27692
Q02825 P38691
P48524 P19073
P25555 P07170
P25293 P07347
Q99186 P25591
P38431 P18852
P53082 O13539
Q07930 Q06164
Q05778 P40061
P53755 P23394
Q06704 Q04894
P49687 P38276
Q08601 P20424
P32458 P12868
P39960 P20437
Q04491 P38862
P32523 P10869
Q03619 P38814
P40548 P19414
P45976 P38751
Q99207 Q05636
Q08920 Q03862
P38194 P02400
Q04491 P38129
P38149 P32855
Q12256 P48836
P53032 P31539
P40465 P38999
Q04217 P36124
P39960 P30902
Q02875 P25559
P50108 P02829
Q02804 P40554
Q12222 P14164
Q05785 P12753
P40573 P32525
Q12514 P47011
Q03860 O13530
P54790 P40422
Q03337 P25808
P38856 P25303
Q12495 P26754
Q04412 O13539
P41805 P20424
P38987 P38766
P53211 P52488
P33333 P00044
P40483 P39682
Q05080 Q03619
P38705 P36094
Q07376 Q06628
Q12241 P54199
Q06406 P14126
P39531 P38631
P40517 P32773
P54786 P39717
P53278 P32895
P53295 P53169
Q99207 P08458
P13045 P12385
P46672 P31384
Q06604 P35688
P38165 P21374
P51601 P12962
Q12344 Q12055
P38129 P32917
Q04601 P38820
P38999 P38696
Q12749 P39706
P32939 P20967
Q12220 P23561
Q03656 P53281
P54885 P40988
P40574 P25558
P38873 P27705
Q12518 P33311
P53930 P32480
Q08491 P36068
P53829 P43593
P50086 P40186
P47017 P38080
P53104 P32639
P53267 P40574
Q04217 P33420
P53267 P53040
Q12263 P40009
P46995 P40061
Q04121 P40483
P53196 P39969
P39929 P09938
Q12222 P54199
P38959 P25043
P40965 P19097
P38080 P09064
P53221 P43592
P53437 P25453
Q06251 Q00816
Q12276 P38229
P53829 P36421
P36107 P35729
P47083 P40477
Q08975 P32805
Q12017 Q08285
P40087 P24482
P42843 P20606
Q08492 Q06102
P50278 P50113
Q12527 P27796
Q04439 P24279
Q12424 P38886
Q07471 P23301
Q12038 P40469
P33122 P21705
Q12415 P38960
Q12297 P52491
P35179 P10863
Q99299 P06105
Q03096 P32525
P38624 P32642
P23287 P00546
P53141 P32481
P38077 P32464
Q04839 P23594
P32909 P23644
P16658 P08964
P40960 P38208
Q12044 Q12021
Q12021 P38859
P42951 P22204
P36160 P29056
Q92331 P42935
Q04305 O13539
Q04031 P25341
P53829 P20795
Q12161 P38699
P22202 P10869
P53100 P25454
P41811 P18888
Q07688 P40507
P39077 P27614
Q04749 P11938
P33895 P32911
Q08979 P53136
P33204 P31374
P14737 P00549
Q05949 P53855
P39990 P38153
Q08446 P32861
P38348 P25591
P53290 P18851
Q02804 P36048
P36107 P32501
P39730 P06787
Q12411 P35184
Q08920 Q05785
P38193 P32610
P47045 P26263
P40565 P19145
P52490 P43565
Q12206 P38862
P54861 P39940
Q06673 Q00816
P47113 P36124
P53145 P19262
P40327 P40069
Q12055 P07342
P50091 P00958
Q06440 P06782
Q12159 P06777
Q06679 P02400
Q08956 Q08245
P52286 P38431
P46948 P10081
P38708 P36003
Q08949 Q04087
Q04439 P33306
P39081 P16664
P39925 P09959
Q12368 P03965
P53124 P05986
Q08723 P53248
P53286 P33755
P50945 P35197
Q12301 Q05874
P43588 P38301
Q03792 P53011
Q06263 P33760
P33333 P19524
P40204 P36037
Q12020 Q03071
P53277 P50086
P25558 P17442
Q08956 Q02260
P41940 P38737
P36048 P32909
Q12318 P32328
Q03220 P38266
P40480 P32628
P54837 P39996
Q03322 P38333
Q08949 P38089
Q06137 P50277
P53971 P30624
P38288 P23776
Q00618 P19073
P40963 P32854
P46962 P25390
P36085 P32471
P32911 P12383
Q04305 P16140
P36029 P32328
P53863 P38855
P53032 P25694
Q03898 P40395
P52919 P19524
P25045 P22804
Q12495 P39735
Q03784 P53949
Q03338 P38274
P36017 P11075
Q02932 P53978
P42951 P35197
Q08965 P37012
P53298 P11746
P40517 P32639
P32801 P18962
P34160 P16467
Q07930 P40091
P43563 P33334
Q03957 P39940
Q08558 P40541
Q00955 P36024
P40090 P38337
Q06616 Q05881
Q06177 P38786
P33311 P15442
P39715 P09435
P36149 P21801
Q07786 P53254
Q12330 P31109
P25615 P24482
Q04412 P32380
P41318 P38344
Q6Q547 Q06568
Q04601 Q03776
P89105 P36120
Q02732 P38838
P40079 P32432
Q03656 P32432
P24867 P14681
P38903 P20052
P38339 P09798
Q08438 P38822
P32912 P12753
Q12754 P38153
Q04089 P14291
Q08873 P38692
Q06216 P38431
Q03785 P35182
P46673 P45819
P23644 P16140
Q08965 P14832
Q12186 Q05785
Q04031 P40518
Q06177 Q04978
P38855 P38682
P53540 P21268
P38930 P22543
P52553 P32802
P53278 P14742
Q12468 P42839
Q03899 P19414
P42839 P32573
P47113 P20606
Q12018 Q05670
Q02866 P53924
Q04004 P38273
P40477 P39940
P40350 P32591
Q08966 P15807
P38862 P24867
P53886 P53283
P53082 P35056
P50278 P38324
P53955 P53032
P47068 P17555
P25644 P06100
Q04195 Q03900
P32863 P29056
P53176 P39547
P38339 P06103
Q06108 P50094
P53834 P17555
Q06679 Q03897
Q04964 P32629
Q9URQ3 P40510
P47050 P20604
P53316 P38339
P41832 P40048
P43581 P36125
P47029 P40959
Q08119 Q03308
P31244 P10869
Q03758 P46680
P15705 P14747
P17629 P00830
Q03656 P38113
Q07418 P08431
P40693 P02400
P53551 P47053
P25390 P19882
P36084 P22139
Q05998 P38995
P48559 P07264
Q03956 P28817
Q12100 P38823
Q07084 Q04934
Q12285 P32912
P40485 P01120
P38146 P28817
Q04693 P34253
Q08287 P53147
P41814 P32450
Q03981 P20486
Q12165 Q04411
P53254 P40087
Q12499 P07260
Q12344 P40565
P23202 P07258
P18898 P16658
P53043 P38692
P52593 P23642
P02293 P00560
Q06151 P18851
P10622 P00175
Q04675 P19657
P53258 P15790
P32379 P07269
Q08649 P32481
Q12009 P53550
P25657 P08458
P17442 P10363
Q00245 P40018
Q06151 Q00776
Q08217 P40007
P32786 P17695
P57744 P05626
P43637 P17555
P53281 P22204
P53141 P12612
P47134 P40453
P48232 P16862
P32468 P20438
P41808 P40988
P40087 P21965
Q12691 P22543
P33750 P15807
P80667 P24783
P39107 P36029
Q00816 P38276
P32497 P05453
P53011 P32327
Q03899 P25659
P35178 P25515
Q00381 P36049
P36172 P23561
P40316 P39682
P53043 P38247
Q12347 Q06651
P40217 P21801
P50086 P41800
Q12263 P38794
Q12174 Q02795
P26755 P25299
P54861 P38872
P28239 P08678
P48837 P20081
P53196 P38310
Q05874 P32366
P40450 P39734
P39744 P38801
P20133 P17629
P42839 P32867
Q06673 P53930
P53859 P53086
P38427 P33401
P36139 P25454
P38766 P32350
P53221 P08524
Q06408 P12385
P38751 P13902
P40013 P35172
Q00416 P48524
P41805 P38774
Q12026 P42944
Q02825 P36139
P53894 P20459
Q03899 P25646
Q02196 P40483
P42934 P40450
P32457 P08458
P32380 P32327
P36062 P32525
Q08215 Q00578
P35691 P14680
P32794 P32345
P47089 P38301
P25567 P15807
P53271 P51534
P41921 P21306
P46995 P20052
P48566 P35207
Q00416 P22203
P51534 P20053
P08566 P05694
P39944 P06779
Q12024 P38636
P38879 P27515
P41800 P38853
Q12365 P38768
P38315 P22517
P48568 O74700
Q99176 P38990
Q07844 P38861
Q04491 P43586
Q12163 P38903
Q12220 Q08285
P38821 P32450
P47053 P28320
P53169 P33895
P22203 P22007
Q01389 P38705
P54861 P46682
P43638 P25333
P53742 P53322
P53322 P53067
Q99299 Q05947
P53955 P36005
P40988 P30624
Q03162 P47160
Q04964 P40186
P32264 P28791
P42843 P39927
Q02196 P02400
P43593 P32457
P40095 P34253
P41834 P32589
P38840 P32527
P40507 P38788
P53824 P39515
P43619 P08458
Q08746 P38334
P53185 P20604
Q06704 Q02554
P38011 P23644
Q12460 P48606
P50113 P38291
P38149 P19145
P38324 P38237
Q02256 P14742
P38785 P25341
P10964 P03069
P38823 P13185
Q06412 P53043
Q04934 P38792
Q02866 P47083
Q00723 P32349
Q04749 P36124
P32790 P02293
P53124 P32861
P38615 P27472
Q08817 P39966
P53965 P23059
Q12186 P43601
P38872 P23644
P47122 P04147
Q12265 P23724
Q06644 P53039
Q99189 P14724
P47912 P23624
P53145 P30902
P33891 P32528
P41814 P33401
Q04002 Q03012
Q07824 P33411
Q03768 P53845
P38786 P24870
Q12168 P13712
Q02197 P40413
P53904 P38247
P40202 P32796
P38077 P00546
P40005 P38113
Q99210 Q03654
P32381 P31374
Q03081 P15873
P40515 P12611
Q05024 P04840
P53115 P40187
P52919 P28834
P34234 P31539
P09959 P04076
P33311 P18961
P50104 P38827
Q06340 P36130
Q03012 P39966
Q12165 P38779
Q02354 P38689
Q05946 P53252
Q12372 Q12006
Q12499 P32599
P38623 P00830
P32793 P32590
Q12469 Q02197
P54861 P49704
Q08004 P38334
Q04921 P40555
Q00916 P40517
P35734 P32578
P35056 P21182
P46985 P32599
P40468 P36049
Q12084 P18852
P53740 P53237
Q08873 Q03630
Q08949 P32492
Q03558 P40328
Q07471 P27351
P40202 P19882
P38837 P38757
P53243 P40422
P53280 P50108
Q12264 P43535
P40010 P12753
P47050 P06169
P39937 P33401
P36018 P12945
P57743 P53861
Q07442 P39531
Q03081 P39073
Q03125 P25441
P32607 P25584
P38794 P21965
P53965 P10659
Q06631 Q02775
Q06409 P53978
Q05947 P38959
P41814 P38806
Q02892 P53199
P38998 P31382
P15646 P02829
P19735 P19454
Q00764 P35688
Q07418 P32599
P12962 P06773
Q05947 P32628
Q12250 P53924
P21801 P17121
P34240 P30902
P48562 P25491
P53202 P47160
P53299 P53171
P47019 P25559
P32354 P25299
P46655 P28743
Q08285 Q03010
P53093 P46956
P50944 P07866
P21651 P06786
P39703 P32458
Q12347 Q04792
P38590 P08153
Q12256 P53739
Q05871 P32366
P51601 P18898
Q06679 Q03071
Q12377 P38339
P41813 P32842
P33328 P25341
P41816 P36421
P40856 P17119
P48566 P38203
Q12241 P00175
Q05785 Q00684
P38691 P20437
P53313 P38705
Q12041 Q07963
P53081 P39967
P36139 P32562
Q12236 P36094
P38768 P36013
P43568 P40350
P41810 P38873
Q02206 P53243
P39935 P22133
P32776 P32349
P53968 P25333
P47057 P14724
P53261 P38879
P60010 P41901
Q99181 P14126
P41911 O14455
P47150 P25515
P53272 P53243
P39940 P07264
Q7LIF1 Q05021
P31109 P18494
P53082 P15873
P38013 P11746
P38726 P21374
P32899 P32629
P40202 P32773
P53552 P33203
Q00246 P25342
Q07732 Q00578
Q03088 Q00723
P32601 P00359
P42846 P37303
Q12473 P30619
Q12418 P38810
P38631 P05986
P38697 P25491
P53036 P01120
P33338 P04840
Q03208 P26755
Q00955 P53280
P25341 P12688
P38991 P32855
P47122 P46970
Q99385 Q02256
P52553 P38427
Q06479 P32524
P53847 P40512
P47079 P40518
Q06407 P53191
P53256 P14126
P53550 P40340
P53912 P38627
P24583 P06242
P47074 P10961
P41816 P11433
P38273 P09232
P32571 P00950
P53883 P25591
Q12028 P19735
P32366 P21242
Q00955 P00546
Q12028 P35729
P38622 P06787
Q12310 P38922
Q04373 P38274
P53883 P48559
Q08236 P22141
Q07786 P47176
Q04493 P32491
Q12427 P40960
P38751 P06778
Q06616 P51534
P38219 P36005
P32491 P20967
Q12513 Q03957
P17119 P07251
P53159 P15442
P36015 P32861
P42942 P38931
P40892 P35198
P41695 P28274
Q02100 P38249
Q04693 P00359
Q07376 Q06651
P38232 P36144
P38182 P07283
Q04935 P49334
P32854 P32607
P40565 P38783
P49687 P32589
Q12045 P41808
P41816 P33420
P46985 P11938
Q12118 P38089
Q06624 O13553
Q07528 P18410
Q12477 P36068
P40567 P40328
P50090 P43562
P40368 P18852
Q04894 P53298
P48525 P32774
Q12020 P46988
P36005 P32528
Q00916 P23644
Q08229 P80667
P48234 P40957
P40339 P28007
Q08193 P38723
P53100 P50108
P38779 P23624
P40327 P38735
Q04511 P11927
P39944 P00331
Q12452 P12754
P35178 P20459
P33331 P15442
Q03792 P18410
P40528 P38967
Q04868 P49573
P49166 P38237
Q07657 P38631
Q99385 P17119
P40574 P30902
Q04921 P32945
Q08965 Q04894
P53549 P40529
Q02256 P53283
Q02199 P32573
Q05583 P38249
Q04894 P13712
Q04067 Q03048
Q03973 P35203
Q05080 P38766
P40856 P38692
P53267 P53169
Q12483 P43321
P32450 P00044
P35817 P25502
P46988 P32561
P53540 P48525
Q01590 P38276
P39966 P35203
Q05871 P53927
P51601 P33203
P15303 P10869
P40202 P38217
Q07528 Q07468
Q99176 Q08746
Q04149 P32349
P39107 P32873
P38862 P35197
Q00578 P32571
Q02795 P43602
P30902 P06782
P38769 P07260
Q03897 P46672
Q03010 P40469
P89102 P39984
Q03920 P36047
P07278 O13565
P39073 P33895
P54784 P46954
P36147 P19955
P36124 P35193
P53550 P34253
P43639 P32471
Q12050 Q03940
P40413 P32589
Q12390 P36047
Q04493 P32327
P53082 P40960
P39929 P21268
Q06177 P05986
P39079 P33311
P32911 P29340
P40956 P04076
Q04272 P36224
Q08217 P40963
Q00776 P43619
Q12009 Q08729
P35203 P32318
P53604 P37012
Q06648 P40857
P39929 P32561
P53129 P14747
P53064 P38696
Q12021 P89102
P47104 P17891
Q06177 P32801
Q05900 P53743
P38082 P34241
P46957 P38273
Q08438 P23642
P53067 P40036
P47068 P31374
P39715 P18410
P53599 P40473
Q12390 P46948
Q08558 P32495
Q04601 P20435
P32863 P26309
Q06696 P53298
Q08886 P53378
P12612 O13559
P47057 P32263
P32527 P08458
Q03860 P41544
P40567 P22204
P38798 P32605
P21192 P09734
P50086 P22204
Q00362 P53086
P40064 P38316
P43596 P38147
P40186 P32490
Q05024 P53094
P53011 P27895
P36018 P20604
P43563 P38766
Q06216 P38229
P17629 P16892
Q06409 Q02821
Q04062 Q03792
P42945 P32800
Q12055 P36973
P40988 P14126
P36017 P23059
P47089 P00924
Q12440 Q04004
Q08492 P46995
P38348 P07260
Q03973 P53043
Q04226 P16522
Q12343 P41896
Q08732 P10363
P46985 P36085
Q04307 P25370
Q04062 P12612
Q03898 Q00539
P53100 P05986
Q03956 P38889
Q05583 P38682
Q00816 P39936
Q07896 P33891
P53011 P12611
P52593 P21192
P37296 P25293
Q04005 P25657
Q03758 P38786
P32591 P20449
P32776 P24813
Q06102 P39723
P33307 P06100
Q06168 P38429
Q04048 Q00381
P46675 P23561
P38970 P36015
Q12477 P38316
P50113 P38282
Q04377 Q04373
P33892 P20459
P53290 P40340
Q12255 Q02773
Q12477 Q06640
P40217 P38886
P38240 P33304
P36017 P00817
Q6Q547 P49573
Q04031 P46963
Q12163 Q06137
P38990 P07991
P39702 P35210
Q05583 P32598
P38903 P22007
Q12420 P34253
P38691 P22515
P17255 P09798
P38283 P17555
P07273 P07272
P43587 P36161
Q00245 P37296
P53731 P38823
Q05785 P32790
P39966 P26263
Q05568 P22216
P53968 P11746
Q08729 P33420
P53865 P53861
Q05568 P40529
P36010 P32074
Q12044 P13517
Q08951 P38760
P36018 P32590
Q08911 Q05958
P53743 P09798
P38863 P30665
P39715 P14907
P24004 P09232
Q12165 P33760
Q00245 P32458
P53199 P40048
P53036 P40554
P40096 P39979
Q08817 Q04412
P53316 P40988
Q03654 P53145
P46678 P20134
P38801 P32835
P89102 P49687
Q04651 P51996
Q05670 P40482
P53930 P40078
P40555 P38850
Q05881 P15436
Q03532 P14741
Q03782 P32264
Q00416 P33329
P53941 P32379
Q12433 P05318
Q06616 P13663
Q03322 P53036
P42843 P07866
Q12468 P32849
Q08746 P29295
P34238 P29056
Q03898 P36107
P32945 P32895
P35688 P10592
Q06677 P32259
P20967 P19097
P53910 P46681
Q04149 P42951
Q05636 P40069
Q04005 P32905
P48363 P39990
P45819 P23644
P40469 P40368
P53344 P53093
P40461 P32867
P41818 P10964
P38753 P36008
Q08245 Q04272
P32911 P16892
Q04693 Q03774
Q12440 P41834
P40507 P00729
Q02100 P28707
P25615 P10363
P33303 P01149
P38334 P00330
Q00362 P46948
Q04839 Q00776
Q02199 P34160
Q03956 P54885
P24583 P07149
P40482 P00175
P39743 P25357
P39979 P23201
P38873 P34216
Q12460 P09938
Q12514 P40079
Q12344 P39742
Q12446 P25694
P38859 P32471
Q12230 P40483
P38904 P33306
P36085 P32602
P47104 P06243
P32505 P14747
Q04739 Q03048
P30624 P11745
P18759 P14747
Q03330 P10592
Q08601 P33750
P32776 P20053
P53855 P53199
Q05568 P32471
