Q9NQX3 P42345
Q99627 Q9UBW8
Q13596 P48357
Q9UKV8 Q9UHI6
P02774 Q5T3J3
Q9UJW3 Q9NRX4
P15927 Q5RL73
Q9UQB3 P49768
P52630 P17181
O14832 O00628
Q99689 P21246
P15927 Q13432
Q8WU20 Q07889
P38432 P61289
P78345 Q99575
P52701 Q9UIF7
O76031 Q16740
P04053 P12956
A5YKK6 Q9NZN8
Q01780 Q9H7Z7
Q7Z434 O95786
Q8NEV9 Q6UWB1
Q9Y2H0 Q05586
P61604 Q9UKR5
P62258 P54253
Q92945 Q13868
Q15102 Q96ID5
P09669 P21246
O00203 O43683
Q969L2 O43399
P61247 P09874
Q08722 Q02094
Q16594 Q00403
Q92989 O43809
P02766 Q7L5D6
Q13873 P22004
Q07889 O00499
O75506 Q9Y3C0
P21549 Q9Y6H5
Q5JY77 Q9H7E9
P27701 P13612
Q99547 O95453
O96006 O15287
Q09472 P52948
O95059 Q969H6
Q9UHI5 Q07837
O15360 Q00597
O75052 P98164
Q15102 Q9UKR5
O75309 P35222
P17509 Q09472
Q9NXU5 P62917
Q9UNS2 P61201
O95251 Q8NHQ1
P60174 Q9Y234
Q9BYT8 P30990
P06401 Q13573
Q99547 Q9NY61
Q7L5D6 Q8N2U0
Q92667 P31323
Q86SG3 Q86YF9
Q05586 P27824
Q9Y294 Q9UK41
O15169 P25054
Q9Y3A3 P15531
Q9Y6C7 P03372
Q9H081 Q6P1K2
Q03431 P49407
Q8TD16 Q13561
P30519 Q5T3J3
Q9NRM6 Q9UHF5
Q9BWG6 Q15834
Q04637 Q9BUB5
Q9NXB0 Q9GZR7
Q12834 O60566
O15145 Q86YJ6
Q12802 P62258
Q9NX46 Q70Z53
Q15762 P15151
Q96JB2 Q14746
P46777 Q14974
O00264 Q12770
P17480 P68400
Q15834 Q9Y247
Q9NPI8 O15287
P35869 P13984
P10124 P16070
Q9NP98 Q96T60
O75146 P09496
O60343 Q96L91
P37198 P49792
O14745 P13569
O43929 P49736
O75083 Q15477
O15287 P51587
Q92908 Q15648
P56537 Q9P2H0
O60268 Q96HW7
P03372 Q00403
Q9UGP4 O95059
Q92624 Q6PEW1
P54253 P16383
Q9UPY3 Q15633
P55060 P35268
O75534 P11940
Q5VVH5 P51617
O43747 Q63HQ0
Q9P021 Q12959
Q9UKR5 Q96M11
O95747 P55011
Q9NPJ4 P03372
Q8WZ42 Q14596
O60566 P30260
P06746 P12004
P12004 P12956
P07814 P54136
O75460 P19438
P35222 Q86UU0
Q00610 Q9H8K7
P61247 P04179
Q9Y5N6 Q9UBD5
Q08211 Q08945
O75330 Q9ULW0
P04437 P20963
Q9UPT5 Q8WWV3
P40225 P40238
Q9Y2X7 Q96RU7
Q9BQ66 Q9P2Z0
Q5T3J3 O43379
Q9Y3A3 Q9BTT4
O14777 P06400
Q8TDM6 P35222
Q15648 Q93074
P31785 P60568
Q8TAM2 Q15154
Q13017 P05556
P61289 P51116
P28715 Q92759
Q96QK1 Q13596
P07602 Q7L5N1
O95391 Q15834
Q5RKV6 Q8IZH2
Q96BI3 Q9NZ42
Q14627 P35225
P10827 Q15648
Q8N1V2 P51587
Q9NV56 Q9HAF1
P24588 Q12959
P51808 P06127
Q9Y2H0 O94875
Q9Y262 Q9NYV6
O14920 P35222
P35244 P15927
Q9HBM1 P60468
O60268 O00165
Q9NV58 Q9UMX1
P02647 P55058
Q14191 P27694
Q15645 Q8IVS8
P62258 P49815
P35222 P49768
Q9UBU8 P06400
O15294 P68400
Q02878 O95793
O75694 Q53GS7
P49902 P51116
P07766 O15446
P43034 P68400
O15455 Q99836
Q8WY41 Q05586
Q9UJX6 P30260
O15287 P11511
Q02363 Q5RL73
Q13503 P20290
Q9HC73 P16871
Q99705 P20382
P05556 P15529
P06748 P24522
Q9GZM8 Q14204
Q9NP79 Q7Z6G3
Q96RE7 O15379
Q06265 Q9NQT5
Q16531 Q9NZJ0
Q9UBZ9 Q9UBT6
Q9UBB6 Q99698
P37198 Q03933
Q8N1I8 O00453
P32780 P18074
Q5T3J3 Q9Y2X7
P20366 P46379
P02647 P18428
P46379 Q15388
Q15596 Q16665
P53621 Q02978
Q99698 Q14974
P17540 Q13432
Q9BYG5 Q8N3R9
P13612 O43294
P54253 Q9UKJ3
Q9H9Q4 P49917
Q13416 P15927
P38432 P51116
Q9Y3A3 Q15834
P25208 Q07021
Q9UIF7 P27695
Q9BW71 P62805
P68400 O15379
P78345 O75817
O75925 Q13285
P04040 Q9BXR5
P61218 P62487
Q7L5N1 Q53FE4
P35244 P27694
Q9Y5K6 Q07889
O43747 P78559
Q7L5N1 P60228
P49736 P62701
O95084 Q6KC79
Q9UFG5 Q15834
Q8WU20 P06213
Q9NYU2 O60613
Q9NYG5 Q9UM13
P98164 P04114
O95373 Q14974
O00628 P50542
Q53H80 Q15834
Q13069 Q8NEA9
P51809 Q12846
O43493 O00189
Q15185 P35869
Q99547 Q9NP97
O95251 P49736
Q9NQS3 Q8TEW0
O14519 P09884
Q9UDY8 O95999
Q8N612 Q96HR9
P36542 P19823
Q7L590 O00311
P12004 P09874
P62495 Q8IYD1
P56134 Q6PK04
Q969H6 O95707
O95994 Q9GZT6
Q6PIZ9 P20963
P29475 P25100
Q9BVJ6 Q9BWC9
Q9NQW7 Q6NUQ1
Q14974 Q12772
Q13432 Q9UN74
O00203 Q00610
Q02817 Q9Y4G2
Q7Z6G3 Q9BU64
O75553 P43034
Q5RKV6 Q06265
O15126 O00161
P31785 P14784
Q16533 Q5SXM2
Q13029 P03372
Q01780 Q08945
P49366 Q9GZT8
P16473 P27824
Q9P2H0 P82932
Q16665 Q9H6Z9
P49903 Q96ID5
P78346 Q99575
Q9P2S2 Q9GZR7
P62081 Q92973
Q99558 O14920
O43147 Q96B86
O14732 Q15011
P49354 P49454
Q9Y6B2 P06400
Q14596 Q9NP79
O14788 P78536
P04179 Q9H0R4
P46777 P67870
P32969 O94875
Q9Y3C7 Q9H1I8
Q969H0 P49768
Q92844 Q5D1E8
Q7L5N1 P61201
P28715 P18074
Q13042 Q9UJX2
Q9Y5K6 O60500
Q99700 O00499
Q9NV56 Q9H0E9
Q86UR5 Q8IUD2
P13725 P42702
Q9BT78 Q9UNS2
P13984 P29084
Q96CG3 Q9GZT8
O15085 Q03113
P51398 P35869
P21246 Q9H5J8
O60383 Q9Y6M9
P49959 P18858
O60907 P35222
P16473 P02751
O95807 Q8WVR3
Q9Y6D9 P17480
O14976 Q00610
Q03013 Q96ID5
O75925 O15169
Q16665 P27695
O14713 P98164
P06213 Q07666
Q15477 Q8IZH2
Q92759 P19447
P12956 P06401
Q969H0 A6NE52
Q5JR98 Q03167
P32780 P29084
Q9UI26 P30050
Q16514 Q6P1X5
O60763 O15498
P68400 Q05940
Q9NZN8 Q9UFF9
P27701 P27824
P38432 Q4J6C6
Q9Y5A7 Q9NZN9
P52434 O15514
Q9C000 Q07817
O15360 Q9NPI8
Q92989 Q9UKF6
Q8IU60 Q9UKV8
Q01344 P32927
P67870 P38432
O00311 Q9Y5N6
P20930 P68400
O00203 O60566
Q7L5N1 Q9Y4P8
P51116 Q15041
P22735 Q02383
Q09472 P16455
O00165 Q13563
O14727 Q9C000
Q8N668 Q86VX2
Q9HCU9 Q5T3J3
O14920 Q9UHD2
Q8TC92 Q9GZT8
Q9C0A6 Q15834
P06753 Q9BQD3
P54253 P38432
Q07820 Q07817
Q9UEE9 P68400
Q09472 Q15596
P13686 P10451
Q16864 Q9P2H0
P35222 P35221
P48551 Q9UMW8
Q9Y3A3 Q9Y3C7
Q99700 Q8NHU6
Q13421 Q8WXI7
P12004 P27695
Q9H267 Q9H9C1
Q96SB4 Q01081
O60732 P49406
Q15020 O43395
Q9Y3F4 Q9H840
O95149 Q14974
P68400 P27695
O14745 Q9UL62
Q9UKR5 Q14061
Q00610 P49407
Q9UJW3 Q9UHA3
Q9UBU7 P49736
P09086 P12956
Q9Y223 Q5UIP0
Q9H633 O75818
P20290 P30876
P01589 P14784
P30519 Q9Y3C7
Q92624 Q12788
O76003 O95544
P98082 P98164
Q969D9 Q9HC73
O14976 O15169
P80108 P02647
Q8TEW0 Q01970
P49789 P22570
P13686 O14737
O75381 Q96G25
O15379 P24385
Q9BXY8 Q9BQ66
Q07864 P09884
Q09472 Q14676
O60895 P01258
Q9HCU9 Q9UBN7
Q96KB5 Q9P2H0
Q7L590 Q8NHQ1
Q7L590 O43929
Q99627 Q9BT78
Q15102 Q7L5N1
Q9BVK8 O95870
Q14191 P49005
Q9UKI8 O00161
Q12770 Q12772
Q9BRJ6 Q15834
O75052 Q9Y272
Q9BVC4 P42345
O95059 P78346
O60573 Q9BQ66
Q93052 P56134
P17480 P06400
Q9UJX3 Q13042
Q99558 O95163
P30154 P35613
Q13569 P03372
P08865 P63220
O60383 Q96RU7
O43683 P78406
Q15185 O14746
Q86XR7 P51617
Q14738 P30154
P06400 P30260
P38484 P15260
O14579 P53618
Q13285 P35222
Q9H147 P04053
P07738 P04406
P37108 Q9UNZ2
Q8WUA4 P06400
Q15645 Q9GZT8
O00267 Q9NRX1
Q99973 O14746
O14777 Q9UL45
P05556 P27824
Q8WUM0 P49454
Q14140 Q14186
O60282 Q15596
P05556 P98160
O75381 O00628
Q9Y6V0 Q9Y2X7
Q13042 O60566
P37198 P52948
Q9NRD9 P07202
P08519 P02751
Q9UJX6 Q12834
P68400 Q12972
P16871 P13232
Q03013 Q5T3J3
P35244 P49736
Q9UKA2 P63208
Q92574 P49815
O15297 P46777
Q5FBB7 Q14738
O94776 Q16576
P02647 Q15388
Q5T3J3 Q16891
Q8IYF3 Q96GY3
P0DPB6 O15160
P17509 P21673
O43913 Q99741
Q9UHF0 Q5JY77
Q13393 P61764
P05060 Q16635
O00311 P49736
Q14974 P52948
Q8TDC3 P30291
P48551 P52630
Q9Y5Q8 Q92994
P48357 P41159
P16870 Q5T3J3
Q5TCY1 Q15078
Q92598 P22314
Q99741 Q06190
P54253 Q15032
Q9H8Y5 Q9GZP1
Q96RU2 Q14676
P31785 Q01113
P61970 P37198
Q8NDB2 Q14643
Q9Y3C0 Q9UL45
P48681 Q15078
P53618 P24390
O60343 Q9HCM1
O14744 Q9BQA1
Q03167 P61812
P52630 P42226
P54253 Q96EP0
Q99607 Q9Y3I1
Q15102 Q9GZR7
Q9H211 Q99741
Q96G25 Q6P2C8
O15116 O43776
O15287 Q00597
O14980 P35658
Q12874 Q15834
Q99689 Q14596
Q9NZD8 Q9NTM9
P06213 O14544
P98161 Q13563
Q9GZY0 P78559
Q9H204 Q96G25
Q9Y6R4 O15169
Q8TDC0 P16298
Q9UKJ5 Q9BQ66
P20618 P49720
Q09472 P24385
P15509 P08865
P37198 Q9GZY0
Q9BYE9 Q6P0Q8
Q6ULP2 O43747
Q96GG9 Q13571
Q9UMF0 P49768
P49789 P10809
Q6PIZ9 P04437
O95425 O43294
P51116 Q9Y2J4
P23921 Q5T3J3
P61513 Q5T3J3
Q03701 P25208
P04062 P07602
P35222 Q96QZ7
Q9UMX1 Q9UHA4
Q9UNN5 P67870
Q08211 O60502
Q5RKV6 Q9Y2L1
Q12906 Q9HAV4
Q2M1K9 P09874
Q7Z7C8 Q16594
Q15645 Q96HA8
Q9H0E3 Q4LE39
Q9Y2X7 Q6P1K2
O95229 Q9H081
Q5RKV6 O43809
P61247 Q9H6J7
Q9H0I2 Q15834
Q15633 Q9UKV8
Q92598 P43034
Q09472 Q15751
P12272 Q03431
P16455 P68400
O95070 Q969M3
Q8WW01 Q9BSV6
O43294 Q09472
P27701 P05556
Q06265 Q9Y2L1
O14745 P15313
P50502 Q93033
Q9H814 O14980
Q9NT62 O95352
O76061 O95831
P19429 Q13563
Q92624 Q96ES6
Q15834 Q9UPT5
P49366 P63241
P10827 P61201
Q5RKV6 Q13868
Q14739 P04553
Q03135 Q07889
Q9UGL9 Q5T3J3
Q9NWT6 Q16665
Q13790 P02652
Q49AR2 P60002
O15169 P35222
Q9NRF2 P06213
Q8IZH2 Q9BZI7
Q9Y6K8 Q96N11
O95208 Q00610
O76061 Q9H1D9
Q16665 P51398
P54253 Q9Y4E1
Q8TDV0 P22466
P68400 P55042
Q8NFZ5 P19838
Q96SB4 Q13243
P13010 Q13416
Q14146 P02545
Q9UHI6 P62304
Q6X4U4 Q12834
Q9BQ66 Q14781
Q15645 P07902
O43633 O94818
P34741 P02751
O75528 Q9BRR6
Q86VP6 Q13620
P49755 Q92542
P30039 Q9Y3F4
Q14789 Q9P2H0
Q8IU60 Q8IZD4
Q8TA86 Q01081
P49842 Q07864
P49450 O60610
O60383 Q15102
P21583 P04141
Q09472 P05114
Q96NW7 O14656
Q13113 Q7L5N1
Q03013 Q8IXH7
O14777 Q9BZD4
P02489 P02768
Q00597 P02549
Q13888 P18074
Q03113 Q15283
O14744 P02686
Q9BRV8 Q9UHD2
O60383 Q9BRR6
P68400 P21673
Q9NPJ4 Q13285
Q15642 P35222
P68400 P18858
P54253 Q96RK0
O96006 Q9Y221
A0A5B6 P04437
P25208 Q14919
Q15633 Q9H0R4
Q9Y262 O15371
Q8IZD9 P49768
O14745 P35222
Q99547 Q5T3J3
O15379 Q8TF05
Q13077 P28908
P13612 P02751
P49768 P31150
O60232 P51946
Q16665 O15534
Q13765 Q9BWH2
Q9NP98 O15273
Q86WX3 P39019
Q13873 P33241
P63241 Q9BU89
P41227 Q16665
Q9UBU3 P41159
O60925 Q16891
O75530 Q12972
P15927 Q8NBJ4
Q9BQ66 Q08E93
Q969N2 Q92643
Q9BXY8 P47874
Q13416 O75419
P09466 Q96ID5
Q92878 P49959
Q12959 Q13224
P49247 P51116
Q99689 Q99828
Q15751 Q13571
Q15648 P03372
P00374 P10809
Q00577 P06400
Q8NBJ7 Q969H0
P07686 P41214
Q5FBB7 P12956
Q96MT8 Q9BQD3
O75530 P13612
Q6P1K2 Q9Y3C7
Q13432 Q13200
Q07817 P49768
Q16891 O15258
Q9Y2J2 P54105
P04278 Q00796
P06400 Q09472
Q9BTP7 Q8IYD8
Q9UBD5 O96020
Q9HC77 P23258
Q05586 Q00610
Q9P2H0 Q5UIP0
P04437 A0A1B0GX56
P46379 Q9BQD7
Q99741 Q13416
P32780 P29083
P48552 Q15834
Q9NXU5 Q9GZT6
P22674 P15927
O60664 P11717
Q15154 Q9Y3C0
O60383 O43261
Q9UMX1 P10071
P42677 Q9UHY7
P35222 Q16665
Q9Y6B7 O60566
P21589 P02751
P21246 Q6IB77
Q8IXH7 Q8N8Q3
Q8IV45 P19838
Q13480 Q8WU20
O15379 P48552
Q6VY07 P11717
P19838 Q14690
O95059 Q96ID5
Q92597 P26639
P00451 P27824
P27635 P62380
Q9UHD2 Q9H6S1
Q09472 Q8WW38
P68400 Q92598
Q14005 Q13224
O75530 O15379
P78552 P35225
Q8IZH2 Q92925
Q9H8T0 Q14181
Q13191 O15117
O43592 P35658
Q14974 P55060
O43809 Q9GZT8
Q96T76 P03372
P12004 P28715
P40238 Q9Y4H2
Q9UHV9 O60925
P13612 P05556
Q15029 Q8NBJ4
Q9UKT4 Q12834
Q8IZH2 P04075
P62380 O60664
Q9H1D9 Q9UKN8
P61604 Q13432
Q9Y2H0 Q96A65
P20382 P16870
P54253 Q99700
Q12923 P35222
P31785 P05112
Q9GZS1 O15160
O60895 P10997
Q5T5C0 Q12846
Q14966 Q9BQ66
P21246 O43147
Q12888 P19838
P16581 P16070
Q15029 O15145
Q05586 P35222
Q09472 P19419
Q9NTK5 Q9H1I8
Q9Y2T2 O43493
Q96IP4 Q9UBS8
O96006 Q9Y4P9
Q13432 P20963
P30154 P10809
P15509 P04141
O43808 P40855
Q09472 Q13569
P15907 P20273
P14209 Q15645
P60896 Q5JVF3
Q9H269 Q9P253
Q5FBB7 P18124
Q15102 P43034
P98164 P02774
Q15834 Q8NHQ1
Q9P2M7 Q9UDY2
P09874 P12956
Q13216 Q16531
Q86XR7 P14778
Q96EY5 Q9Y5K6
O60315 Q7L5N1
P06400 P02545
Q99523 P30533
P13807 P46976
Q5T3J3 P82932
Q9GZZ8 P04004
P09132 P61011
P02647 P11597
Q15102 Q13432
Q12972 Q9UKR5
O75419 Q9UBD5
O60763 P61764
Q14191 P12004
Q7L590 Q99741
Q8TDR0 Q9NRI5
Q12888 Q5IJ48
Q9H0I2 Q8NHQ1
P07737 Q13432
O75533 Q12972
Q15542 P13984
P49641 Q9Y2X7
Q8TAE8 P67870
P12270 Q16666
P01148 P30968
Q99460 Q99933
Q9BPZ3 P11940
Q8NCR6 P04278
Q99689 Q5MIZ7
Q12834 P30260
O75665 Q5JY77
Q9Y6X1 P61619
P38432 Q8NHQ1
Q9Y6M9 Q99689
Q92598 P00558
Q96IP4 P46379
Q9Y5Q8 Q9Y5Q9
Q09472 Q9GZR7
Q15464 P31785
P15822 P54253
P20273 Q13094
Q9Y4Z0 P62304
Q969J3 Q9UHX1
P22570 P10109
P27694 P12004
Q14191 P09874
Q00403 P29083
P21673 Q9GZT6
Q9H0Y0 O95352
Q9H081 O14777
P02654 P02652
Q12824 P06400
O43148 O60942
O15514 P62487
P54253 O15273
Q96RU7 Q5RL73
Q15102 Q5T3J3
Q9BRG1 Q86VN1
P81172 Q9NP59
Q8WZ42 O15273
Q96HR3 Q96G25
Q9H6Z9 Q9BRX9
O60568 Q15834
O15085 P78559
P78536 P01375
Q15596 Q969G3
P07737 Q9UKR5
P98164 P08519
Q06495 O95070
Q01780 Q9Y2L1
P05067 P49768
P24666 Q9BYC9
O15379 P78347
Q07820 Q7Z6Z7
P36543 P04075
Q6WBX8 O60921
Q9BXY8 Q15834
Q9GZT8 Q9NRG1
Q92979 Q07666
Q12802 P03372
Q9GZM8 Q9NRI5
O75344 P04406
P04179 Q7L5D6
P22674 P12004
Q9GZP4 Q6P1J9
O43427 Q14512
Q9BTE0 Q9P2H0
P15529 P0C0L5
P03372 P19838
Q9Y6D9 Q14134
P26368 Q01081
Q8IZH2 P46379
P52434 P30876
O15130 P01303
Q92643 O43292
Q9UNS1 O15534
Q01780 Q8IZH2
O14836 Q9Y275
Q9P0U1 Q9NS69
Q9Y2B0 Q9HAP2
Q8IU60 Q14181
Q9UJX3 O60566
Q92643 P05187
Q9UBD9 O75462
P19438 O14920
Q6PJP8 Q12888
Q96RK4 Q15154
Q8WUW1 Q9Y2A7
Q9Y2H0 Q12959
Q10570 P49736
Q86VP1 P21580
Q9Y6X1 P27824
P61626 P31025
Q7L5N1 Q9BXR0
Q86YN6 P51610
O14746 P42345
Q10713 Q13873
P48736 Q13480
P38435 P02818
P38432 Q8TAP6
Q96SB4 Q8IYB3
Q9P2M1 O60241
P60896 P51587
O43929 Q9UBD5
Q9UKR5 Q9BTE0
P09327 Q8IYF3
P21673 Q8IY81
Q99726 O14617
P49247 Q96HA8
P30154 Q99497
Q01113 P15248
Q96QZ7 P98164
O15379 O75081
P49247 Q9GZT8
P0CAP2 Q96FK6
Q9UMX1 Q9P2Y4
P11597 O15145
O00165 P01583
O43561 Q15464
P51116 Q5VSY0
P47756 Q9BYC9
O95372 Q9Y3C7
P13051 P15927
P98164 Q5JY77
Q08999 Q02363
Q09472 P42226
P58753 Q99836
Q8TDC3 P30305
Q9GZX6 Q08334
Q9UN74 Q5RL73
Q13432 Q9BXR0
Q9NYG5 Q9UJX6
O43561 P12318
P98161 P35221
Q96G25 Q93074
Q05707 P16070
P40189 P13725
Q9NY26 Q14722
Q01780 Q5RKV6
Q8TDH9 Q96EV8
Q92597 P04844
Q9BZW8 O43561
Q07889 Q9GZY6
Q92542 P05067
O00716 Q14186
Q15102 Q8WUX9
O95373 P62081
O43541 Q15750
O75665 Q9H7U1
Q99967 Q16665
Q9NVC6 Q15528
Q13573 Q08999
Q9GZZ8 P02751
P30990 P16870
Q9UNN4 P52657
Q9NQX5 Q14186
Q9NRH1 Q9P2H0
Q06495 Q6P0Q8
O75925 Q6PJP8
O14836 P49069
P48552 Q13285
O14745 P36543
Q9UNZ2 Q13190
P21246 Q9NXU5
P20366 P02751
Q8N3C0 Q15650
P02753 P02768
P38432 Q15020
P78345 P78346
P43351 P15927
Q8N715 Q9BQ66
Q9Y272 P29475
Q7L590 Q15834
Q9NZD4 P0CAP2
P60033 Q9C086
P54253 P04406
P42345 Q6R327
Q9Y3F4 Q8WXD5
Q7L5N1 Q9BWC9
P50616 O43541
O43752 O14662
P09693 A0A1B0GX56
O15018 Q9UQB3
Q96QU8 O60610
Q9BYD3 Q9GZR7
Q96JE9 Q13077
O00267 Q66LE6
Q9Y3B2 Q12769
Q08257 P02489
P51003 Q9UKF6
Q03135 P06213
P49757 P05067
O14717 Q5RL73
P49917 O95347
Q15645 Q96LM6
P13569 P27824
P29122 P20930
Q86X55 Q15596
P20366 P29371
P12956 A1L0T0
Q08211 Q07666
Q06495 P40855
Q3L8U1 P03372
P35556 P55001
P32418 P62258
O43929 Q9Y5N6
O95084 Q9H0R3
O96007 P32969
P46777 Q92973
Q96R06 Q14990
P10515 Q15118
Q99726 Q92572
O75925 P03372
Q13571 O95208
P02686 P54253
Q9BQ52 Q9H1I8
Q9HCU9 Q16576
Q96SB4 P02686
O95741 Q9Y6K8
Q14181 Q8N2I9
P03950 Q15904
O75970 Q6UVK1
Q9Y2H0 Q9UD71
O15379 O14980
O95870 Q9H0R3
P56537 Q9Y2X7
Q13635 Q15465
Q99436 Q9Y244
Q9GZN7 Q7L5N1
O75528 Q96ES7
Q9Y262 Q9UBQ5
P17480 Q03188
Q13352 Q9GZR7
Q99627 Q9UNS2
Q9UBS8 P03372
Q01831 P32780
O95990 Q15834
P0C1Z6 Q59EK9
Q12929 Q15834
Q16666 Q02363
Q07065 Q9H1I8
P49441 P18858
O60925 Q9Y2X7
Q8IYF3 P48552
P68400 Q9Y624
P21359 P34741
Q12889 P02808
P43489 O15304
Q99700 P46379
Q12981 Q9P2W9
Q9BUN8 P13569
Q8IZU9 Q9NP85
P98164 P02766
P78527 P12956
Q9Y3B2 Q06265
P54253 Q6ZMT1
Q8TEQ6 O14893
O15379 P06400
P15927 Q5T3J3
O14746 P12956
Q9BTY7 Q9H3H1
P27169 P02647
O43914 Q9NY25
Q5FBB7 P62424
Q92844 Q13077
P08949 O14773
Q86VN1 Q96FZ7
P49247 O75716
Q9UJW9 P15927
Q09472 O60356
P29122 P20382
P21246 Q96CQ1
P62917 Q9H8M7
O75947 Q7L5D6
Q9UMX1 Q9NPA3
Q969H6 Q99575
P24385 P03372
Q92859 O00634
Q13765 Q5T3J3
Q9Y678 Q15185
Q9HB89 P48645
O75381 P50542
Q53TS8 Q15834
Q9P299 Q9Y678
Q9NPI5 P05556
P29274 P00813
Q5RKV6 Q07021
Q9HCY8 Q96FQ6
Q9NV56 Q9UBU8
P51843 P48552
P32971 P03950
P13984 P29083
Q9H422 O43294
Q9BTW9 O95424
P62277 Q99558
P49356 P49354
P78549 P28715
P07602 O96006
P46100 P21246
P21673 Q9P2H0
P62750 Q92973
Q15528 Q8NBJ4
Q92624 P05067
Q9UNE0 Q13077
Q9UGJ1 Q15834
P23352 P34741
Q08211 P12004
O14717 Q7L5N1
P49736 O14775
Q9UKA4 P31323
P40926 P00505
P15927 Q9Y3C7
P22234 Q8TAP6
Q9NSA3 P35222
P13010 Q07864
P26368 Q96LR2
Q9GZT8 Q15834
P01215 P21246
P63208 Q9UK99
P35869 P03372
Q9UGJ1 Q96GA7
P49454 Q02224
Q5T0L3 Q15834
P35222 Q9NSC2
Q5D1E8 Q9NZD4
P12004 P24522
Q9P2M7 Q9Y624
P50579 P41091
O60443 P21246
P40189 P08887
P02647 Q13790
Q5T8A7 O75691
O60238 Q6NUQ1
Q09472 P52701
Q9NV58 P23258
Q03468 Q13216
P05000 P17181
O60232 Q9BVV2
Q13432 Q99547
P47224 Q9BVJ6
Q07817 P02489
Q9NQW6 Q16181
P55058 P02649
P56537 Q02878
Q9Y5X5 P01303
P35869 Q13620
Q92828 O60907
Q16891 Q9BQ95
Q9UBS8 Q13772
P48061 P02751
O60925 Q9P2H0
P62380 P52657
Q92973 P52948
P42701 P29460
O14744 O00267
Q9UPW5 P99999
Q16619 P42702
Q9NQX3 P07737
P54253 O75935
Q92597 P27824
O15379 O60907
P13798 P04278
Q9NQT5 Q92945
Q9NUP1 Q8TDH9
Q09472 Q7L5N1
Q9UMX1 Q15274
Q8NEC5 Q9BQ66
P48552 P35869
P04733 P04278
Q8IZD4 Q8IZH2
P35221 P49768
P20292 P09917
Q9Y5Q8 Q9UKN8
P27694 P49736
P16870 Q9BVJ6
Q14789 Q9UEU0
Q15582 P02751
Q9BXW7 P04278
Q99836 Q9BXR5
Q9UNE0 Q92838
Q13077 Q02223
Q9NQC3 Q9NZD8
P12272 P05231
P07814 Q8IXH7
Q6UB99 Q15596
Q9GZY0 P35658
P21246 Q9Y3C0
Q9Y3T9 Q5T3J3
O75688 O14920
P47224 Q6YP21
P20742 Q96IY4
Q99698 P52272
P37198 Q9Y3C0
P02766 P98160
Q9NTK1 Q15834
Q9NQB0 Q09472
P84090 Q96ID5
Q9H228 Q03113
P51617 P02686
Q96BD8 Q8WVK7
P08574 P99999
Q15834 Q9UJ04
Q9UGL9 Q96ID5
Q92844 O14920
P30793 O95433
Q16891 Q9UFN0
O15360 Q9HB96
Q9BV38 Q8NC60
P16870 Q9Y3C7
Q9HBM1 O14777
P67870 P35222
