Q12406 Q03280
P53691 P06844
P43588 P38301
Q07824 P47041
Q06679 P02400
P25336 P18410
Q04660 P39108
P23639 P00330
P38861 P06103
Q12527 Q08956
Q04305 P16140
Q12264 Q04511
P40087 P21965
P42945 P40965
P40339 P38324
P53924 P38789
Q01389 P24813
P48566 P35207
P43637 P09064
Q12517 P42846
Q06704 Q02554
P39682 P35197
P38068 P25045
Q04439 P54860
P38198 P08018
Q08601 P11154
Q12256 P07258
P40471 P11433
P38129 P20433
Q00916 P32912
Q02206 P53243
P43612 P13856
Q12495 P39735
P36124 P15790
Q12315 P43321
P47104 P25343
Q08550 P38182
Q02773 P09435
P36131 P25655
Q99394 Q02256
P24869 P19735
Q07896 P39076
P48606 P33750
P39014 P12962
P40960 P27636
P38823 P38247
P38011 P33420
Q00246 P25342
P39014 P00560
Q03899 P40564
P47103 P39944
P38219 P36010
P47050 P40096
P02829 P00958
Q12241 P00175
P53040 P32895
Q12265 Q12260
P53093 P46956
P47167 P21951
P31382 P14681
P53100 P50108
Q12449 P47068
P32523 P31384
P11709 P07262
P47050 P36421
Q08162 P38624
P40036 P38011
P43622 P23776
P33418 P17891
P40055 P32525
Q00916 P40517
P53145 P30902
P40890 P40527
P34160 P16467
Q00578 P32325
P47093 P32783
P52910 P18888
Q07528 Q07468
P53129 P31382
P40565 P40492
P50094 P43593
Q00723 P33329
P50091 P40339
P53145 P19262
Q07442 P28834
P41811 P05694
P48566 P32525
Q05949 P47113
P45819 P23644
Q06436 P36224
P39107 P18961
Q12045 Q07657
Q99207 P21306
Q12017 P36024
P49166 P38237
P53094 P38822
Q03900 P30902
P40856 P38692
P29366 P00830
P38956 P38696
P38555 P32525
Q02260 P15442
P25341 P12688
P39929 P22224
P47050 P20604
P47064 P39729
P19414 P12904
P37012 P14832
Q12277 P34077
P53924 P34164
P49435 P33297
Q02892 P53883
P39929 P38624
P53067 P25360
P53840 P43612
P40529 O14467
P33400 P23542
Q08236 P46957
P48525 P11709
P53861 P53124
P89886 P06169
Q06406 P07274
Q12018 Q05670
Q04412 P35197
Q06436 Q04675
P32909 P23644
P32581 P07260
Q04439 P36107
P36103 P16521
P46985 P36085
P53086 P29496
Q06696 P53298
Q12460 P09938
Q02336 P46954
P53754 P38352
Q04062 P27515
Q12152 P12383
Q06604 P24482
P39727 P09624
Q07468 Q03081
Q12499 P07260
P36018 P12945
P39984 P32895
P32911 P12383
P38708 P38283
Q12230 P40483
P46655 P12385
P50944 P32801
P41810 P00817
Q05636 P40959
P38989 P13185
Q12499 P39994
P20604 P07269
P39743 P39705
P39729 P38623
Q12418 P33760
Q12055 P07342
P50945 P12962
Q9URQ3 P13393
P46655 P38348
Q08649 P39727
P48566 P38203
P38801 P07270
Q07786 P50113
P39940 P36085
P06843 P02557
Q12754 Q04511
P39744 P12385
P32345 P18410
Q06412 P15303
Q12513 P38768
Q12028 P38313
Q08732 P07834
P53313 P38705
P41921 P21306
Q05670 P40482
Q04373 P32945
Q07930 P00931
P38748 P09032
P40574 P39904
P40970 P06775
Q12236 P39111
Q08729 P53955
P28817 P06105
Q06624 P50095
P43603 P30665
P40857 P38301
Q92331 P42935
Q06551 P33322
P40217 P39969
Q03690 P53840
P52553 P38427
P52910 P23642
Q12363 Q08162
Q08558 P53150
Q06408 P12385
P38232 P36144
Q9URQ3 P40510
P53743 P21576
Q07376 P53604
P50111 P25344
P48524 P20053
P46672 P31384
P42846 P38070
Q04964 P38346
Q07528 P32767
P32478 P07258
P40078 P10081
P43587 P28791
P80667 P11433
P54786 P38959
P32905 P06844
Q99383 P13712
P40856 P39925
P40155 P40089
P53549 P06782
Q07442 P06634
P48363 P36421
P38247 P25558
P53845 P53094
P32527 P08458
Q04411 O13553
P53965 P34217
P23642 P13711
Q12078 P53974
P53168 P47057
P39926 P00044
P39715 P18410
P38957 P07213
Q02773 P48240
P33328 P08153
Q12344 P09734
P52553 P00359
Q99207 P41832
P41911 O14455
P40473 P33333
P42951 P39979
P40024 P38228
Q12420 P39682
Q06451 P21192
Q12301 P40314
Q12045 Q07887
Q03973 P19524
Q12344 P34909
Q99383 Q08438
P53112 P06101
P42884 P40069
P53168 P40512
P34216 P11075
Q04370 P38735
Q04894 P53298
P53859 P53086
Q12514 P40079
P53939 P12612
P38874 P35190
Q02205 P51534
P35178 P05318
Q03897 P19812
Q03012 P39723
Q12060 P28274
P53169 P32588
P38265 P19736
P38254 P36130
Q08965 P38959
Q05881 P40507
P38794 P21965
P38720 P38217
P13185 P09798
P40314 P38153
P39998 P38716
Q06676 P32368
P41814 P33399
Q05610 P14306
P40303 P08679
Q04839 P38798
P53256 P12612
P21182 P19454
Q08726 P00358
Q12300 P53039
Q08965 P14832
Q06216 P38431
Q03048 Q01560
P35497 P09435
P43321 P38822
Q06412 P53043
Q05027 P13574
Q08966 P15807
Q03784 P53949
P38861 P36224
P38324 P12962
Q12518 Q12107
P40096 P39979
P38788 P29465
P38726 P34240
Q12318 P32328
Q12264 P33299
Q06263 P33760
Q02732 P38838
P89102 P39984
P47113 P32802
Q12276 P22137
Q03338 P53685
P53081 P20459
Q08245 P22219
Q12477 P22517
Q03919 P53068
Q08931 P38631
P38229 P02400
Q08746 P20053
Q03619 P36172
P46655 P23394
Q06819 Q04675
P14724 P12962
P38348 P25591
P36144 P33755
P89102 P49687
P40515 P12611
P40555 P38806
P39979 P23201
P36013 P34164
Q03919 P38358
P22219 P08018
Q06216 P38229
P32318 P19658
P53199 P08458
P40335 P33419
Q08972 P40988
P54999 P06103
Q12206 P32854
Q03081 P41813
P53136 P27801
P57743 P00546
Q08921 P15705
P32528 P20133
P38631 P21672
Q06177 P41318
Q04675 Q03792
P53739 P46985
P57744 P05626
P53258 P38310
Q06624 Q03981
P38970 P36015
P53104 P32639
Q06819 P14741
Q05871 P25369
P32490 P25369
P38352 P25567
P38871 P32578
P10622 P00175
P39730 P38228
P33891 P25719
P47064 P40991
Q12734 P53280
P30624 P11745
Q08746 P29295
Q12026 P42944
P33122 P21705
Q06151 Q00776
P51601 P39523
P32898 P11484
Q12330 Q00684
Q03862 P41800
Q12276 P00724
Q03973 P35203
Q12206 Q08972
P43616 P05318
P53159 P50108
P43321 P19262
Q04792 P40018
P48415 P11484
Q04660 P38348
P40541 P20437
P19145 P14680
P47045 P13856
P48412 P34253
Q99385 Q12390
P40482 P09734
Q12017 Q03792
P53082 P25294
Q08162 P32581
P25655 P25615
Q08886 Q04562
P53540 P39960
P53322 P38970
P40316 P17255
P53011 P17555
Q12194 P49334
Q12044 P40087
P21672 P14736
P47093 P32855
P38856 P38013
Q06506 P41940
P41921 P09064
P37302 P20052
Q06673 P16861
Q06673 Q06409
Q07915 P47104
Q12754 P25694
P40005 P38113
P34758 P06787
Q12256 P48836
P32505 P18494
P48510 P04386
P52918 P17157
P38287 P32794
Q99181 P50101
P38217 P33891
Q03096 P39523
Q12129 P53731
Q04377 P38013
P38182 P30619
P53622 P12962
Q00539 P31374
P43565 P41813
Q08746 P17119
P53267 P53040
Q03790 P32366
P53900 P17157
Q08732 P34234
Q12263 P40009
P40453 P40344
Q00416 P32523
P38555 P32318
P29469 P07283
Q05775 P53104
P38814 P28817
P38329 P33760
Q12420 P25344
P20449 P06634
P40314 P33411
P53271 P51534
Q12060 P38319
P53211 P52488
Q12280 P46949
P38821 P38689
P53261 P38879
P32629 P18410
Q00776 P32913
Q05568 P07283
P40007 P38850
P53549 P41940
P38871 P33328
P09959 P04076
P47165 P12962
Q00816 P38080
P32337 P13185
P36080 P09032
Q03956 P47120
Q06665 P38690
P53250 P41277
P40495 P25644
Q07688 P14680
P53754 P00560
P36017 P23059
Q00723 P25655
P53048 P17536
P41814 P00359
P29340 P06784
Q05583 P38249
Q02256 P53283
P40554 P27637
P25296 P07149
P48606 P16892
P38634 P25303
Q06648 P40857
P52488 P25441
Q05021 P53116
P25569 P11484
P40362 P25649
Q03280 P38429
Q08965 P48582
Q12168 P53933
P40468 P23059
P32895 P05317
P41832 P38930
Q12250 P53924
P48415 P48232
Q12045 P39713
Q04660 P40003
Q00416 O13554
P53865 P53861
Q06551 P53082
P23642 P23293
Q06406 P15873
Q04305 O13539
Q12241 P39937
P38130 P36027
P36037 P25296
P46682 P38247
Q07963 P33199
P42846 P35728
P32895 P32605
Q92317 P12754
P34077 P21192
Q12452 P29509
P40693 P38146
Q00362 P46948
P51534 P20053
P47050 P38149
Q12301 Q12118
P40465 P09798
Q02866 P53924
Q03162 Q00684
Q03956 P53197
P15891 O14455
P53316 P38339
Q05583 P53912
P53865 P40103
P21801 P17121
Q05900 P53743
P39944 P32835
Q00578 P16658
P50944 P39990
P43568 P42884
Q12020 P46988
P38283 P19262
Q12297 P37838
Q12749 P40151
Q04121 P35184
Q03790 P07991
P32642 P20438
Q05947 P32628
Q06673 P46672
Q12310 P47089
P35194 P22213
Q12045 P40529
Q03071 P38293
P50101 P00546
Q12194 Q03661
P38691 P20437
Q12522 P33331
P33333 P19524
Q03081 P53855
Q04264 P53064
Q02767 P32767
P40155 P36062
P46988 P40339
P32558 P25441
P47093 P46673
Q12265 P32774
Q08236 P39718
P38768 P24004
P53036 P33333
P05318 P00899
P39935 P22133
P42846 P30657
Q02795 P43602
P38063 P11154
Q08438 P29496
P51534 P25454
Q99260 P16140
Q12033 P32854
P46957 P13712
Q06324 P41277
P40202 P38217
P35727 P34223
P53196 P31412
Q05636 Q04660
P31244 P10869
Q08496 P47005
P39927 P32364
P20795 P12753
P46655 P28743
Q08444 Q04048
Q04693 P32528
P38348 P07260
Q12276 P25389
P53116 P40014
P48837 P38339
P38041 P18961
P53267 P39008
Q02825 P53011
Q08931 P29366
P34730 P25808
P48363 P39990
Q08119 P21243
P37012 P06243
P53912 P38627
Q99383 Q08726
Q92317 P35728
Q02100 P31377
P33322 P23542
P53298 P38789
P38822 P02293
Q99385 P23059
Q12206 P38862
Q04195 P53267
Q04894 P27636
P51601 P18898
Q03862 P41832
Q05881 P15436
P40457 P33328
Q02948 P10659
P40327 P40095
P47116 P40016
Q04412 O13539
Q03758 P07991
Q04930 P39077
P53184 P38149
P38751 P13902
P42845 P34244
P50086 P41800
Q12330 P12753
Q00916 P53248
Q08911 P25615
P38873 P32913
P53628 P43593
P46949 P40055
Q12306 P36124
P53082 P35056
Q08217 P40007
P32776 P20053
P39707 P32842
P80667 P25333
Q07376 P02829
P48412 P40473
Q08438 P23642
Q06102 P15646
Q06512 Q03900
P39717 P32468
Q07528 P40091
P53904 P53865
P47176 P40328
P47134 P29469
P40064 P33298
P42884 P40350
P43565 P38874
Q02890 P35056
P16547 P04819
P38774 P38301
P35729 P32610
Q02555 P32389
P43592 P39079
Q12041 P23639
Q06177 P32801
P40395 P06844
P47120 P06844
Q04601 P53550
Q03323 P40151
P53968 P11746
Q12230 Q05568
Q02199 P53129
Q02908 P38590
Q04964 P32328
P53685 P32898
P26793 P09734
Q12044 P31109
P47083 P28817
P40507 P27515
Q07376 P15891
P33204 P31374
P28791 P06100
Q12163 Q06137
P12868 P00817
P38013 P07866
Q07844 P38861
P15108 P06101
P53886 P42846
Q00381 P36049
Q12460 P32599
Q12263 P36003
Q04067 P43603
P14904 P08679
Q12018 P25341
Q03758 P53010
Q03177 P36520
Q12034 P20133
P32565 P17891
Q12365 P53549
Q07418 P32599
Q12263 P38794
P38871 P27796
P43535 P12611
P47011 P40061
P33399 P06773
P43583 P33411
P47017 P28708
P40032 P38931
P41811 P39967
Q04411 P17065
P50105 P50104
Q12452 P37012
P53280 P38990
P40013 P29465
P52488 P10964
Q03898 P38788
Q03956 P38232
Q12280 P53316
Q06677 P24719
Q04693 Q03558
Q06200 P38776
Q12028 P32591
P36149 P21801
P53540 P53036
Q12236 Q12100
P38902 P21190
P48836 P38310
Q08550 P53883
Q04601 P33328
P40064 P35691
P38346 P00331
P47012 P32786
P32380 P32327
Q04749 P36124
Q06644 Q03860
Q04199 P43639
P53236 P32863
P38705 P25333
Q04439 P24279
P48606 P32800
P43637 P25360
Q06549 P43593
P38705 P36094
Q12277 Q04373
P39729 P38853
P23561 P14736
P40089 P38310
P40066 P07251
Q04660 P41318
P47057 P32263
P06101 P00817
Q07786 P23293
Q04004 P14306
Q12473 P19882
Q12152 P40965
Q06677 P32259
P42942 P27999
Q05778 P53965
P40457 P38637
P38708 P05986
Q08951 P41807
P40092 P27705
P53286 P33755
Q06679 P24279
Q05881 P40991
P25584 P25343
P40316 P02293
P53834 P39946
Q08683 P38082
Q03898 P38990
P40413 P06103
P36037 P27636
Q12220 P23561
P25655 P20449
Q05947 P40302
P23644 P16140
Q12250 P09440
Q03435 P47822
P27351 P17536
P89886 P53847
Q99189 P14724
Q12026 P07703
P39718 P17709
Q02804 P38077
P89102 P38283
Q04839 P23594
Q08931 P37303
P36139 P25454
P52286 P38431
Q05022 P53628
Q12341 P38806
Q12220 Q07381
Q08273 P13517
P25808 P14736
Q12248 P53604
P54786 P15436
P35718 P23255
Q04195 P14747
Q05900 P32854
P39715 P28707
Q07887 Q06549
P53298 P36421
P33329 P07270
P48581 P40958
P52286 P09232
P38853 P29461
Q04005 P38991
Q12390 P29295
Q07381 P53738
P39715 P38620
P52488 P38915
P53049 P33313
P32562 P27801
Q12018 P14904
Q04359 Q00684
P40473 P32527
Q00578 P35184
Q02516 P41896
Q06410 P06101
P36017 P11075
Q00381 P25043
P47176 P32835
P52488 P20676
P38313 P33313
P40507 P39073
P54999 P33895
P40092 P39682
Q07376 Q04370
P32364 P13663
P40517 P32639
Q05568 P06169
P53248 P38329
Q07904 Q06644
Q05080 P43592
P42845 P40005
Q08444 P40512
P43638 P43619
Q12222 P38631
P38879 P27515
P38872 P32917
P45819 P36145
P40512 P25591
P22336 P14164
Q12365 P36022
P42845 P35194
P25580 P25371
P40204 P38247
P31377 P17255
Q08558 P53965
P38990 P32074
P53082 P35178
P38798 P32605
P47122 P04147
P40565 P17555
Q08492 Q06102
Q12522 P38850
P32917 P28707
Q07786 P11927
Q92331 Q06340
P52919 P07834
P40462 P38193
Q05930 Q02196
P46962 P18494
Q08649 P32481
Q08726 P20081
P21182 P17119
Q99299 Q12034
P53540 P25333
P52593 P23642
P38903 P27796
P53196 P27705
P40413 P32589
P50277 P38874
Q06409 P40483
P53883 P33322
Q06648 P39682
P40465 P38999
Q12063 P41811
Q08962 P36145
P18898 P07262
Q99176 P38716
P38872 P32796
Q06137 P50277
P40483 P11709
P02994 O13553
Q06673 P53036
P41805 P20424
P53176 P39547
Q08215 P38697
P38697 P25491
P42945 P36015
Q03900 P40164
P32563 P18851
P42935 P10862
P34077 P32490
Q12020 Q03071
P40573 P26793
P39707 P07262
P43569 P22147
P40055 P30619
Q04307 P38838
P40963 P38823
Q08729 P25357
Q12347 P54999
Q08446 P09938
Q05933 Q04493
P40434 P17898
Q12434 P17121
Q12315 Q04749
Q08963 P25719
Q03957 Q03220
Q12142 P15108
P33201 P29366
P53600 P06634
Q04217 P00724
P53894 P20459
Q03900 P11746
Q00578 P38282
P38861 P07264
Q06673 Q00816
P53086 P48239
P38798 P11927
P47089 P00924
P38153 P00931
Q03533 P40013
Q12433 P40479
P53141 P32481
P38590 P36010
P40344 P40327
P53068 P17709
P39718 P15442
Q99181 P40482
P38861 P31382
Q08963 P38132
Q12134 P32485
P38265 P28274
Q04562 P53865
P04456 P02557
P32464 P13517
P53269 P20484
P40014 P36053
P53049 O13563
P50874 P32914
P53834 P10622
P53130 P40564
P32497 P05453
P38690 P35169
P41814 P38328
Q12017 Q08285
Q12277 P38793
Q12033 P38757
P53082 P40960
P48525 P32774
Q12149 P16370
P38932 P26570
Q99181 P14126
Q12176 P36165
Q06624 P21243
P47176 P35193
Q07084 P32801
P53540 P48525
P43565 P40204
P40567 P31688
P49956 P35189
Q04673 P34218
