Q9UKA4 P10644
Q9UJW9 Q8N6Y0
Q96RR4 Q14012
P17612 P15924
P31946 Q9UQ35
Q12959 P63252
P16615 Q9Y4H2
Q8WXD9 O14936
P23458 P40763
P30154 Q13362
Q05513 O14920
O14832 P00451
Q8NEV4 P0CAP2
Q09019 P02775
Q12834 P36897
Q9ULK5 Q5TCQ9
P08254 P07585
Q16594 Q03164
P06241 Q13191
Q05586 P01112
Q96CG3 Q12933
Q96RT1 Q99569
Q9ULB1 O95157
P16220 P51532
P03372 P17275
P07996 P08311
P62380 Q9NUQ8
Q07666 P22681
Q16514 Q15544
P42574 Q08378
P17612 P55042
P63167 Q14204
P09936 P11142
P19793 P15172
P32241 Q5JWF2
P28223 O60674
P50452 P00742
P56945 Q9H270
P08670 P15924
P36897 O43541
P60953 Q14155
P38936 O75496
Q13873 P05771
Q9Y618 P10589
Q9Y4D1 P61586
O60256 Q8N8Q3
Q15672 P15923
P19235 O14492
P49137 P04792
P05412 Q14494
Q92793 P84243
Q16352 O95793
Q99728 P54257
Q96MU7 Q07955
O60706 Q14654
Q92904 Q96EP5
Q9BY67 Q9Y2J2
P42574 P05067
Q8N4E4 P31946
P12757 O95551
Q15276 O43747
Q13564 Q8TBC4
P78560 Q9UKR5
P51572 Q04941
P36543 O75348
Q9NZR1 P09493
P17252 P29475
Q5TCQ9 P60484
Q06187 P08631
O15143 O15511
Q14192 P24593
Q14524 Q13425
O95218 Q16637
Q13555 P21817
O15117 Q13094
Q14703 P27824
Q15109 P09429
P02538 Q9Y3C0
Q96SB4 P04553
Q9UKT5 P63208
O15162 Q14966
Q06124 P11274
P17252 Q01844
P41235 P10589
P28069 Q92793
P33992 Q13415
Q15596 P04150
Q13470 P19174
P52434 P30876
P54619 Q13131
Q9ULX9 P35452
P04150 P06241
Q9UPY6 O00459
Q16594 P17676
Q9UGJ1 Q8N6Y0
P08238 P04637
Q14181 Q86U06
P68400 A6H8Y1
P56537 P05771
P08047 P40337
P56524 P33076
P27797 P04114
P35462 P26641
O43556 O95376
P07288 P02751
O14978 Q9Y5B8
P17024 P54257
Q9H8V3 Q9NPB6
Q86UR5 P61026
Q12834 O14965
Q9P2H0 Q99689
Q86V81 Q13838
P06400 P49716
P41220 P30679
P60033 Q05516
P62312 O15116
Q92466 Q01094
P0DN86 P01215
Q7Z3Y8 P08069
P84022 Q16254
P63244 Q9Y3Q8
Q13557 P42224
P48995 Q9UBN4
O00291 P56537
Q13901 P78527
P49023 P98161
O75379 O14662
P49757 P24723
P10275 P04150
Q92574 P31946
P03372 P10588
Q99689 Q9UQE7
P62820 Q9HA65
O43561 P78314
Q13137 P60520
Q96PU5 P37088
O60315 P84022
Q9UNE7 P55036
O95985 Q9BQ66
O00254 P33151
P43364 Q96T60
P03372 P19793
Q13867 P47914
P54253 Q8WW36
Q14416 P30679
Q9UMX1 P09651
Q03591 P08603
P15498 P12956
Q8IUC6 Q7Z434
Q96G01 Q14203
Q15181 Q15047
Q96HC4 Q02156
O94875 O43426
P84022 Q01082
P19419 Q15759
Q15121 Q9NVE7
Q13546 P19838
Q92558 P62993
Q8WXD5 P62304
P60842 Q7Z2D5
Q9H2G4 O14936
O60759 Q15438
Q13643 P60709
O14682 P36897
P38936 Q15834
P63272 P13010
P20226 P13984
Q01453 P40855
O43913 P33993
O00254 P00734
Q96TA2 P49768
Q10567 P84077
Q8WUH2 Q13485
Q13547 P40763
O43306 P04049
P11142 P27348
P57105 P27037
O96004 P15923
Q86TI0 P61981
Q9Y4G8 P35222
Q9UM11 P14635
O94812 O14514
P03372 Q9UNE7
P07996 P10646
O95983 Q9UBB5
P49910 P15622
P09619 P04049
P49450 O60610
P11464 Q9BVJ6
P50616 Q9UIV1
P36897 P17813
P37288 P01185
O15488 P13807
P26367 Q9Y2V3
P17706 P40763
P09958 Q9NQX7
P84243 P28370
Q13228 Q9Y3C7
P31947 P04150
Q8WWM7 P40238
P13611 P10915
Q9HCU9 O75446
O60268 O00165
Q12959 P11171
Q8IW41 O00418
Q4KMG0 P55291
P07333 Q92835
P14136 O75791
Q00535 Q13536
O00716 P08047
Q02246 P25208
Q13526 P24864
Q06547 O60241
Q99704 Q9HD43
P98161 P12931
O60763 P19174
O94855 P61968
O15397 Q14974
Q6EEV6 P48643
Q14207 P14859
P12931 Q13177
P63165 Q96GM8
P98082 P36897
Q2M1Z3 P36897
O75558 O60493
Q92834 Q9Y496
P12757 Q8TE76
Q9UQ03 P18206
Q12802 P61586
Q9UHV2 Q14CW9
P50750 O60934
Q13422 O00422
P08473 P35318
P12931 P13688
Q14511 P15923
Q14192 P08237
O00308 P05549
O75553 P46108
P21926 Q99075
P10586 P35222
P22681 O15117
P28482 Q93038
P35240 Q15633
P48357 P41159
P25787 O14818
Q8N4C8 P16333
O43921 O14672
P11226 O00187
P11021 P04114
P52799 Q9UPQ7
P40763 P29590
Q9NYV6 O95602
Q12824 Q9NRR5
P04406 Q06830
P24593 Q9NRX1
P12931 Q05513
Q9UP52 Q30201
P19338 P21741
P04406 P15927
P68400 Q9UHC3
Q9UBS0 P62753
Q00975 P09471
Q15648 P37231
Q8TAA9 Q92997
Q8IUC6 Q8N2W9
P24855 P62736
P61981 Q15750
Q92831 P05204
O95835 P53667
P26599 P35637
Q13485 Q9NP66
O43639 Q9Y2W2
O43684 P09874
P01100 P17275
P51636 P16333
P27361 Q07869
P06493 P48681
Q92844 Q13114
Q9BUH8 Q6ZU52
Q96ST3 P29590
P52272 P06731
P05771 P41180
Q92963 Q9HCE7
P23458 P29597
P11047 Q9Y3C0
Q9Y6I8 P40855
Q15853 P22415
P42892 P05305
P30281 Q9H063
Q9NP85 Q9Y5K6
P05060 O15527
Q08426 P22307
Q99972 Q04721
Q13402 P11137
O75534 O60506
P19174 Q8WV28
P09493 Q9BQD3
P32246 P13501
Q12879 P06241
Q9NPY3 P02462
P56915 Q15796
Q92731 P0DP25
O00401 P07737
Q9Y616 Q99836
Q15436 O95487
P61601 P00491
O75056 P39880
Q15544 O15164
P62508 Q9UER7
P43403 P15498
Q9Y692 Q6VMQ6
O14639 Q8N6Y0
Q99626 Q9BWD1
Q9H015 Q5T2W1
Q14571 Q8NDB2
O43294 P37173
Q13547 P35249
P11142 P00505
Q16539 P47712
O60841 P47813
P04637 P25963
Q9NYD6 P30260
P38432 Q9GZT8
Q15155 Q9NRR5
Q15389 Q02763
O43747 P56377
P17980 Q9Y4K3
Q15464 P31785
Q13224 P29323
P08514 P27797
P09455 Q13547
P17861 P01100
Q6PIZ9 P07766
P42566 P46934
Q9Y2S7 P12004
P52735 P22681
P04150 P10588
Q93062 Q9BRK4
Q13873 Q8TE12
O95477 Q13424
P54259 Q01844
P52292 P46063
Q8WWV3 Q9NQC3
P05060 P27448
O14493 Q07157
Q92667 P13861
P22607 Q96P48
P62937 P35613
Q05655 P05107
P21781 P98160
Q9NQS3 P55196
Q9NQB0 P35222
P25391 P01024
P29274 P00813
Q6ZVK8 Q14687
P08047 Q04206
Q14500 Q13425
P20963 P26045
Q9C0D5 Q12959
P63165 P11388
O60494 P17931
Q6UVK1 Q9Y3R0
Q9H1K0 P61106
P42574 P54132
O75376 Q9NNW7
Q14393 P30530
Q7L2E3 O75376
Q15293 P54253
P49841 Q92837
P50750 O60563
P15884 P09874
O15144 P59998
Q09472 Q9BWX5
Q9H6Z4 P62826
Q8IZL8 P06400
Q96G01 P20340
P26010 P02751
Q9UQ80 Q96ST3
P14672 P07339
P36873 P63104
P07910 Q15834
Q9Y5P4 Q9NQC3
P04437 P04439
P13497 P02452
P21333 P07359
P00387 P99999
O43422 P05198
O15379 O43463
P16112 P50281
P25963 Q12923
P01130 P04114
Q13310 P68104
O43913 P49736
Q9P0L2 P11137
P15311 P60709
P35606 P53621
O95990 Q9BQ66
P46379 Q15155
P06748 P24941
P28702 P37231
O43908 Q29983
Q9HCU8 Q9Y6Y8
P16112 P10915
Q13569 Q01831
Q9NS56 P63279
Q9UK17 Q9NS61
Q15796 P40855
Q14203 P43034
O14641 P63172
Q15020 P10275
Q6DT37 P60953
Q9UGK3 P40763
Q9NYB9 Q9Y3C0
P17482 Q92793
Q9Y283 Q9NWT6
Q05586 P63151
Q12947 Q00403
Q86YM7 P21817
Q16611 P21796
P37231 Q92905
Q92934 P51812
Q14789 Q9P2H0
O00499 P23229
O75914 P17600
Q8IXK0 P35226
Q15788 P10589
P23511 Q92624
Q9UNL4 O95251
Q92793 Q01844
Q9H0R8 P41145
Q5JVS0 P63244
Q86UP0 O60716
Q96T76 Q9Y6Q9
Q03113 P16473
P36405 Q13439
O75582 P02686
P37268 Q149N8
Q92835 P08581
Q99638 P40692
Q96GD4 Q08J23
Q05066 Q15599
O00186 O14893
Q04917 Q04912
P60903 Q15047
P06401 O95071
P04899 P21554
Q16623 Q9P253
Q9H410 Q8NG31
Q8N5U6 Q5T3J3
Q12933 Q9UKG1
Q5JY77 P30556
Q13232 P15531
Q9H160 Q15797
P52272 Q9BQ04
Q9UN74 Q96ID5
O00459 O14512
P22681 Q92882
P11474 Q99698
P17676 P00533
Q6PIJ6 O75840
P25025 P25024
O15520 P21802
O60573 O60516
Q9Y613 P63261
O43463 P15172
Q96G25 Q93074
P12956 Q00610
P54105 P60709
P62851 P54257
Q9Y4K3 O15455
Q96J92 P55017
P17252 Q9UEY8
P12109 P02458
O75940 Q14974
O75494 P08621
P20023 P15391
P23193 P29083
P53618 Q02156
Q9NQC3 Q9NZD8
P03372 P01160
P49356 P01112
Q15843 P49427
Q9Y2R2 P20963
Q8IYF3 Q9BT92
P07766 O43639
P07942 P12109
P63279 P49789
Q96ST3 Q9UBB5
Q5VT25 P53667
P36956 Q92793
P17252 Q13255
P49023 P28482
Q96QT4 Q16695
Q15102 Q9Y4G2
P15813 P61769
P08047 P24385
Q9UQM7 P29475
P27986 P06127
O43427 P68400
P0DPH8 P23258
Q8NF91 Q9NRI5
Q99726 O14617
Q13309 P30291
Q13136 Q8ND30
Q9H1D9 Q9UKN8
Q9Y566 Q13813
Q13936 P62873
Q8IYF3 Q93045
Q9Y618 Q92731
P07737 Q8TDM6
P04792 Q9UER7
Q96JB3 O60563
Q14896 P35579
O60729 P04637
P20963 P09326
P01732 P10321
P08253 P01023
P35711 P35712
P05129 Q16625
Q9Y2X7 P62826
Q96A47 P61371
P52945 P16220
P06493 O43683
P21964 Q99732
Q14140 Q13263
Q9Y6W5 Q9NYB9
Q92922 P17676
Q9NRA0 P07948
O60894 P01258
P49789 P22570
Q05329 Q02156
P61981 O14974
Q9NYF8 P61981
O95989 P62917
P31946 Q15208
Q10471 P15941
Q86UL8 P54259
Q92968 P50542
O60826 Q99829
P48547 Q8TDN2
Q9UQC2 P12931
P07305 Q8NC60
Q96QH2 P07948
Q15014 Q01850
Q92956 P03372
Q96QU8 P60709
P07288 P01023
P43364 Q8TAP6
Q6VMQ6 P32780
O15230 P98095
Q93009 Q9H992
Q99627 P25963
P48436 P16220
P49910 Q15834
Q9NS15 P18084
Q13315 Q9BXW9
P61981 P49760
P21246 Q99417
P78559 P46821
Q12923 P48023
P10827 P35637
Q7Z6B7 Q9Y6N7
Q96G25 Q9NVC6
P51965 P62253
Q13045 P60709
Q15843 P15374
Q16777 Q09028
Q12851 Q12933
P25025 P80162
Q8TBC3 Q96B97
P32121 Q9ULV1
Q9Y6X2 P52926
P11684 P02751
Q16665 P10275
O60674 P78324
P54652 Q99759
Q9Y4H2 O15524
Q15785 Q13131
O00231 Q7L5N1
Q9NP98 Q14315
P28074 P27986
Q00872 Q8WZ42
Q12933 Q9Y4K3
O95466 P12956
Q9UKX2 P23109
Q14192 O95405
Q96HC4 P05771
O75354 P54253
Q92731 Q8NI08
P04278 P57057
Q9UJM3 P00533
O15525 Q9Y3C7
O95967 O75909
Q6NUQ1 O43264
P07951 P60709
O43463 Q9UIS9
Q9HCU9 P53814
P25815 P15311
P14373 Q9GZU1
P42224 Q92793
Q15645 Q9NRY6
Q9NR33 Q07864
O15315 P07305
P51843 Q13285
Q9GZT8 Q96MA1
Q92793 O95359
P55055 Q99750
P18084 P08648
P33241 P63261
P25789 P28066
Q05586 Q8TCU5
Q8WZ42 P20929
P15172 P47928
Q9NRX4 Q96I34
P49802 P50148
P78396 P38936
Q13113 Q5T2W1
Q05655 P49840
P68400 P52655
