O75916 Q02846
Q6P597 Q04917
P33992 Q13416
Q13315 Q99708
Q155Q3 Q9Y6R4
P00533 P62993
P61981 Q8TEW0
P60981 O15198
Q9UJY4 Q99523
Q13526 P06493
Q01094 Q14186
Q13309 P24864
O15151 Q93009
Q5JSH3 P62491
Q13107 P28749
Q99750 Q9BUY5
P55854 Q13569
P27918 P00751
P06239 P27986
P10515 Q15118
Q13794 P02775
P24723 P05107
Q7L804 P57735
P01135 O00560
O75582 Q04206
P10242 P29590
P07996 P10646
P07996 P02461
O60641 O15294
P30281 P11802
Q9HC77 P23258
O75888 P25445
P09874 P07199
Q06190 P28749
P46777 Q92973
O95477 Q9HD26
Q15796 P78524
Q9HAU4 Q8NCP5
Q5VT25 Q9BZL4
Q96RR4 P0DP25
P07477 Q16762
O94973 O00499
P04156 P11021
P28482 P46940
Q15035 Q00403
Q15075 P51148
Q13177 Q15746
Q12959 Q12879
P31749 P60484
P11362 P55075
Q9NPI6 Q9UKV8
O00459 P62993
O60573 Q9BQ66
Q86YN6 P41235
Q13351 P19784
P22681 P08581
Q9Y2Z0 P63208
O43422 Q13217
P05556 P13611
P31749 Q9UKG1
Q9H8W4 O95197
P02647 Q03591
O95343 Q04726
P28749 P24941
O15169 Q9BVJ6
P10275 Q9UER7
Q13330 Q13547
P31025 P02788
P40938 P35249
P20936 P10721
P05067 Q9Y6R0
Q6UB99 P60763
P26599 Q13137
O00198 P10415
O75928 P78347
P27361 P53355
P00480 Q15388
P38919 Q9Y5S9
Q8WXI9 Q9UBB5
Q9Y3C5 O75886
Q92797 P42858
P14625 P01266
Q13075 P84074
P53667 P63104
O75419 O43913
Q9BVJ6 O95376
O43566 P63096
Q8WUJ3 O75051
Q15796 P55196
P63279 P36956
O95136 Q14344
P25391 P0DJI8
P62714 P10636
P32297 P30926
P10523 P35368
Q9Y5X3 O15360
P78527 P12956
P16471 P43403
P78364 P11142
P08581 O95295
Q13137 Q53FD0
P83916 Q9UBC3
P48723 Q9NRR5
P48552 Q13547
Q9UGL9 Q96ID5
Q9UNY4 Q15797
Q9UHV2 Q9P2K6
Q13569 Q92793
Q9NPF5 P26358
Q08E93 Q15834
Q8WV28 Q92918
P84243 O14646
P12931 Q03135
Q9NQ66 P49798
P20719 Q15672
O00459 P06241
Q14134 Q96AA8
Q13485 P19532
P29400 P07093
Q14191 P31321
O95059 P78345
P02489 O75390
Q02363 Q5RL73
P61981 P15056
Q9Y3C5 Q9BSL1
P12314 P02741
Q13158 P51398
P63010 Q5VWP2
Q13571 Q9H201
Q6QNY1 O95295
Q12962 P24928
Q99941 O43462
P51812 P28482
P78504 P46531
Q7Z7K2 P40763
P02774 P68032
P49910 O95251
Q9UQN3 P49454
Q16363 Q9Y3C7
P17535 P84022
P40424 O00470
Q14686 Q92731
O75182 Q9Y6D9
O60732 P78358
P45983 P05412
P21673 Q9Y3C7
P55212 P05549
Q9Y4Z0 Q13137
P58876 P54198
Q14524 Q12959
O43542 O75771
Q99728 P04637
P10275 P12956
P51692 P14784
P61006 P46379
P50552 P06396
O60494 P17931
P02751 P02741
Q8NF99 Q96N95
P51452 P01133
Q96A23 P61081
P54284 Q00975
Q14512 Q9NRR5
Q07889 P04626
O14745 P35241
Q8WV24 O15162
P05107 P35241
O60890 P60953
P40189 Q04724
O00308 Q16630
Q92597 Q01844
P07384 P25116
P20042 Q9GZT6
Q9NP98 O15273
P31946 P84103
Q15185 P25685
Q14520 Q01955
O94972 Q8TAU3
O00470 P31276
O00189 P84077
Q01130 Q9NRR5
P52735 P61586
P35568 O14983
Q13546 Q13158
P05060 Q14151
Q4LE39 Q96ST3
P16619 P32246
P06493 P33991
P02462 P08572
Q15154 Q8WYH8
P10415 P17612
P32927 P43405
Q16543 Q00534
O15085 P48664
O96004 P22303
Q9NX58 Q9UKY1
Q99653 P19634
Q13619 P46527
Q15751 Q13571
Q96ST3 P04637
Q15797 P17098
P20226 P04150
O75439 Q10713
P00374 P07306
P55774 Q13432
Q9Y698 Q12959
P05109 Q96ID5
P46098 P11021
Q6EEV6 P63261
O60704 Q14242
P12319 Q01362
Q8NHY2 P04637
P49023 P46108
Q13571 Q9Y5J3
Q9ULB1 P21579
Q15788 Q15562
P19525 P06748
Q8IXH7 Q9H3P2
O75569 P58753
O60353 P56705
Q93062 Q8TC90
O95751 Q5VWN6
P29972 Q9BQ66
Q9UBJ2 P28288
Q9NRW1 Q15797
P28324 Q02535
P43250 O95084
P37231 P48443
Q9BRG2 P56945
P56704 Q9UP38
P10747 P62993
Q8TE77 P60709
Q9Y618 P35869
P78314 P43403
Q92831 P51587
O00186 P17252
Q01844 Q16630
P30519 Q9Y2X7
O75791 P63244
Q9BT92 P08779
P54819 P04278
Q15796 Q02078
O00213 Q07954
Q13555 Q15121
P10912 P29597
P68400 P32004
Q92597 P63261
Q8NEC5 Q9BQ66
P09211 Q9NRX1
P09104 P68366
Q15843 P49427
O95251 Q9H8G2
P63010 Q96CW1
P19784 P14598
P06213 O14544
P35348 P25100
Q8IUC8 Q15477
Q8IZH2 O75843
P05154 P00749
P05129 P61764
Q12866 P15498
P16284 P06239
Q13177 Q9BX66
P02788 P00450
Q16658 P17252
O75293 P37231
O95721 P51809
P29350 Q6GTX8
Q92956 Q7Z6A9
Q13363 P37275
Q8WX93 P15311
P49356 P49354
Q15006 Q9Y3B6
Q14919 Q92569
P09016 Q09472
P63244 P17252
P68400 Q9BWD1
Q9UJ70 Q5M9N0
Q9H981 Q13873
P51617 P02686
Q9HCS7 Q13216
Q08174 Q6VMQ6
Q9Y5S9 P61326
P42224 Q13158
O15360 P51532
Q99750 Q9BT49
P48729 P35222
Q5T2W1 P46721
Q13445 Q01638
Q92876 P08697
Q8IW19 P78411
Q9Y6K9 P40222
Q9UK53 P04637
O14776 Q8N2W9
Q96L73 P10275
O75569 Q7L5N1
Q04323 Q15797
P43364 Q92530
Q969V1 P20382
Q13361 P23142
P24278 Q12933
Q92597 Q96KP4
Q99567 P52948
Q7L590 Q13416
Q13002 P35222
P32456 P21673
P23528 Q99417
P43364 Q7Z614
Q08722 P25445
Q8NHY2 P05412
Q99608 Q01094
P23458 Q99062
O00141 Q96PU5
O00463 P26842
O76036 P30273
P51513 Q8TAQ2
Q99666 P55197
Q15149 P11137
P51532 P03372
O60894 P30988
Q6EEV6 Q9UQ80
Q9Y224 Q8N4C6
Q01844 P81877
P52803 P29317
Q6WN34 P43026
Q9BTY7 Q8N2U0
Q9UIF7 P27695
Q15910 Q9GZS3
Q9NZS9 P10415
Q96HJ5 Q16667
Q9UHD8 Q15019
Q99626 P20823
O60885 P35249
Q86Z02 P04637
Q9Y297 P30304
P56945 O15357
P63104 O60825
O00459 P35568
P45985 Q99558
P23769 P10276
Q9NY61 Q04206
Q15303 P62993
P53350 Q7L5D6
Q9UBI1 Q9Y3M9
P08235 Q92786
Q9Y2H0 O15399
P61981 O60825
P63104 Q16613
P51679 Q92583
P17612 Q9UD71
Q14055 P02458
P20020 P0DP25
P07384 Q9UBI6
P46108 O15162
P50281 P08253
Q96NW7 P19022
Q9HBA0 P12931
Q13227 Q96KB5
P01579 P01375
Q15047 Q9Y6K1
O75056 P39880
Q16637 Q13432
O14579 P53618
P56279 Q7L7L0
P0CG47 P10636
P00734 P02671
O60238 Q9P104
P29475 P08588
P55916 P61981
Q15544 Q15543
O75182 Q9UKV0
Q5T124 P52198
Q7L5N1 P40425
Q92870 P05067
P22455 P42224
Q12802 Q03113
Q9H461 P34925
P04843 Q9NYS7
Q9UGJ1 Q15834
Q15036 P98155
O43516 P68032
Q92793 P10071
Q92558 P46108
P42336 Q8IUC6
P78536 P26045
P16333 P42768
P22455 P54764
Q15796 P35658
O60271 Q99759
Q8WV24 Q13310
Q14191 P39748
P05111 P08476
Q9HA65 Q9H1I8
P12931 P13688
Q9UFF9 O75175
Q96AY3 P15502
Q9UNE7 P0CG47
Q93009 Q9HBZ2
P09466 P51965
P0DP25 O95838
Q96PL5 P50552
Q8NHY2 P17535
Q15910 O43189
P09455 P98164
Q09019 P02775
P51884 P62995
Q15796 P10644
Q01844 Q14576
P31947 P49815
Q15652 P19793
Q13501 Q16288
O15169 P62714
Q8IZJ4 P11233
Q9Y4H4 P22607
O95477 Q13884
P05026 P58549
P63279 Q8TAD8
Q8N4E4 P31946
P01116 P10415
Q9HAU5 P78559
P13010 P25942
P84103 Q15366
Q9UIF9 Q13547
P67775 P08100
Q9BUH8 Q9NTW7
Q9UP95 Q6VMQ6
P56524 P45973
Q9BQY4 Q9Y2Y4
P43355 P14927
O15162 Q14966
P20042 P78344
Q01085 Q16637
Q9ULB1 Q8N2Q7
Q13111 Q13112
Q15819 Q5T3J3
O00141 P46934
P34932 P52292
Q99972 P15814
P00533 O14828
Q92574 P26038
Q8WXF8 Q92851
O75145 P10586
Q92835 P24394
P35222 P53350
O43707 Q9UQM7
Q7Z5R6 P07737
P50148 P20309
P04183 Q15047
O94842 Q9H422
Q9ULJ3 P61981
O14980 Q13415
O77932 Q14254
Q13363 Q09472
Q05586 P05771
P41218 P04637
P20226 Q04206
Q66K74 P42704
P57086 P28698
P08253 P10915
P15408 P05412
P55287 P35222
P11047 Q6VMQ6
Q99700 Q96EK5
Q15303 P16070
Q9Y5W3 Q09472
P43378 O95197
P54253 P63279
Q99967 Q92793
Q99967 Q09472
P04264 P15924
P43403 P15498
P02774 P01024
P37198 P49792
P21246 Q9UBS4
Q01780 Q8IZH2
Q9UBF6 Q13616
Q96DW6 Q9UGY1
Q9UQF2 O14733
Q8IZH2 Q14839
P07948 P02730
P17612 Q12798
P27986 P00533
Q9UGP8 P60468
P49768 P46531
Q86X95 O75446
Q14686 Q09472
P41240 O15492
Q9H074 P11940
P63167 P61925
Q15750 P36894
P24941 P51946
O95967 Q96EQ0
Q14511 P12830
Q99627 P25963
P37198 O14980
P10275 P12931
P07814 O60506
Q99500 P50148
O75832 P43358
P0C1Z6 P15923
Q9GZZ9 P60520
Q99704 Q9HD43
Q5SQ64 Q14451
P25100 Q13424
P43405 P78314
Q00526 P38936
Q9Y2C9 Q12931
P10911 P84095
O94941 P68036
Q16539 Q8IW41
O14745 Q9UL62
O43683 P78406
Q9H0D6 P25788
P01042 P08311
P29323 Q9NRD5
Q9BQQ3 P42574
Q9Y6Q9 P10275
P30101 P27797
Q9HBX9 P04090
Q5JR98 Q03167
Q08257 P02489
O43747 Q63HQ0
P17676 Q9NSC5
Q92633 P08754
Q9NQS3 P15151
Q13094 P08631
P19338 P68400
O95084 Q99653
P10244 Q9UNY4
Q5JY77 P43220
O43927 P46092
O00238 O75995
P53672 Q9P1Z2
Q9H4G0 Q14980
Q03135 P10586
P10828 Q9H0E9
P07492 P27487
P42224 P14784
P48357 Q13526
Q15637 Q92841
P04271 P14136
Q15678 P35222
Q8NHH9 Q9H0F7
O15481 Q8IY81
Q969E3 Q08334
Q7L590 P24385
O95257 P68104
P31947 P26651
P19838 Q04206
P04070 P12259
O95232 P61981
P49848 Q6P1X5
P45974 O75528
P45983 Q15796
Q14161 Q9Y2X7
P51681 Q14289
P08962 P21926
P27348 Q99759
Q5T3J3 P82932
Q9BQ16 P50281
Q96EK5 O60381
Q9UL45 P02730
Q15475 Q15834
P63167 Q9C010
P61981 P78371
Q04759 Q9UEW8
Q9BQA1 P62316
P55316 Q14469
P49841 P13807
O75628 P27348
P06241 P16885
Q13547 Q15583
Q92729 P63096
Q86UW6 Q09472
P27361 Q16559
P35222 P35221
O60880 Q9HBG7
P49703 Q14232
O15551 Q07157
Q96RT1 O95405
O43189 Q9NVV9
P30153 Q03933
Q9Y618 P24468
Q86SQ9 P61916
Q15047 Q8N5U6
P45973 Q13263
Q86SS6 P60880
P16885 P42680
P46109 P06213
O76061 Q9Y2V2
O15350 Q92831
P22681 P06127
P55212 P08670
Q96IZ5 Q86SE5
Q15788 P20226
P22455 O76093
Q7Z465 Q07960
Q07325 P51677
P48443 P10276
P49815 Q15796
P54253 O15397
P60033 P15391
Q12860 Q02246
Q9UMS4 Q9UPT5
O75293 P38936
O96017 P52292
Q9NRR5 Q96AQ6
P18206 P06396
P38432 O60229
P63244 P06241
Q92481 Q9H2B2
Q9H4Z2 Q14686
Q8IZD9 P49768
Q9NYN1 P36897
P84022 Q13485
Q05513 P17252
P46527 P33993
Q9Y5B0 P23193
Q96HU1 P17302
P27361 Q9ULV5
P42702 P26992
Q15797 P55316
Q5TCY1 P47710
Q8WV28 Q06187
P28482 P10275
P23229 Q9UMD9
P19174 P42702
Q03405 Q07954
Q13136 O75145
Q92900 Q9BQY4
Q7Z589 P51587
Q02790 P04150
Q9BYV9 O60675
P30530 O15524
P54253 P48634
Q96MP8 P20338
Q9UQR1 P04637
O96017 P30304
Q13177 Q7Z6J0
Q13200 P62191
P16455 P68400
P21333 P16581
Q15329 Q09472
P41180 Q9NV58
P33151 P08670
Q05519 P26368
P23760 P50221
P15927 O00255
P43351 P63165
Q04917 Q9BYG5
O43914 Q07444
P03372 Q13885
Q92793 Q03164
Q9UPR3 Q86US8
Q9Y6K8 Q96N11
P21731 P62491
Q14831 P0DPH8
Q15573 O15446
P42330 Q9UKY1
P55089 P41159
Q5JQC9 P31323
O75182 Q13422
P31946 P26651
P10145 Q16570
P14316 P42224
Q16288 P18031
Q05516 Q9BXR0
Q15797 P84022
P21580 Q8IUC6
P16284 P35222
P26022 P08603
O75069 Q86YD1
P36507 P28482
Q9UGK3 P42229
Q13501 P54725
Q96A00 Q9HCP0
Q04864 P41279
Q99731 P32248
Q9P0L2 P10636
Q9NZV8 P62166
O14776 P11142
P30153 O15399
Q9HCE7 P61586
P22459 O14936
Q15542 Q6P1X5
Q9NV56 O95619
P07949 Q13191
O43150 Q14289
Q8TEL6 Q9Y6K9
P07947 P15529
Q12905 P26641
P28074 Q9Y4K3
P17252 P28329
O00562 P61586
P22607 P11487
Q9NPB6 P60953
Q9ULX6 Q08211
Q00653 O14920
Q8WWW0 Q9NYB0
P19784 Q13547
Q86SG6 P36897
Q8NG41 P48146
P40145 P0DP25
Q13310 P54257
Q05193 P16333
O00192 P19022
Q9NPB3 Q13555
Q96A23 Q99829
P61244 Q9H8W4
Q9HAU4 O15254
P63244 Q8NBJ4
Q92793 P16220
P57729 P36897
Q9UBW8 Q92905
Q03135 P35243
Q12772 P28482
Q9Y2D1 Q9UBS5
O43913 P33992
P08069 Q99683
Q9Y467 Q8NF64
Q6XZF7 Q05193
Q9NR12 P07949
Q13546 Q13114
P26641 Q9BUT9
Q9UJ04 Q9NYQ7
P24468 Q09472
Q15424 Q14103
P49917 O95347
P55884 Q14152
P52803 P29323
O43570 Q9BYD2
Q6DJT9 P52292
Q96Q15 P41743
Q8WWW0 P11233
P10275 Q9BQE5
Q13362 Q05655
P22455 P10767
Q9NPY3 Q96KG9
P68400 P49810
Q9GZV9 P78562
Q9BT40 Q15041
P61981 O75494
Q14511 P84022
Q99689 Q99828
Q92597 P14618
Q9UI14 Q9NRS6
P12643 P50553
P19012 O14639
P50453 Q5RL73
Q09161 O95793
O00291 P09496
P34932 P78380
Q96C24 P61006
P68400 P06744
P28482 Q13177
P42858 Q15119
O43639 Q15427
Q9Y6Q6 Q9Y4K3
P27986 P60953
P55851 P61981
Q16539 P49137
P05412 P18146
P08754 P21554
P16220 P62820
Q96I34 Q8N5W9
Q15369 Q8TEY7
P98161 P05783
O43426 Q9UKS6
P10827 O75376
P68104 P15927
Q9Y3C5 Q03468
Q15038 O95405
P28482 P49795
P43405 P05107
Q15582 Q01955
Q9GZS1 Q15572
P31946 Q6WCQ1
O76003 O95544
P11912 P55107
O15116 Q16637
Q16778 O60907
P19012 Q14966
O14964 Q9UPT5
Q9H269 Q9H270
Q96A23 O75340
O76064 Q969T4
Q9Y5X3 P53675
Q53HL2 O15392
P38936 O75496
Q00994 Q9Y4K3
Q92597 Q9Y6Q5
P00395 P13073
P07948 P43405
P28482 P51170
Q15853 P01100
O75925 P03372
Q9GZY0 P46821
P08670 P12236
P05129 P06730
O75061 O94973
P18428 P63220
P31785 P04632
P26718 O43914
P19235 O14492
Q9UBQ5 O75822
P51116 Q9HAF1
Q9Y3Y4 P35222
Q03167 P08476
Q15185 Q9UBF2
P42773 P11802
O15492 P04899
P11172 Q9UKI2
Q13541 P06730
P24855 P62736
Q9NQT4 P14618
Q00535 Q92558
Q92828 O60907
P11171 P84022
P31749 Q96QB1
P07332 P27986
P23511 P22415
P37173 P36897
P68400 P17931
P63279 P49789
P14598 P13498
P42330 Q5T3J3
P09529 P27037
O75947 Q7L5D6
Q99418 P62330
P08514 P05106
P54132 P39748
P68400 P36955
Q9NV92 Q96PU5
Q9H237 P56705
P09661 P08579
Q9H773 Q8NC60
P51587 Q9HB96
P02751 P48023
P16112 O60882
Q9UNF0 P48023
Q9ULZ9 Q07954
P08047 P06400
O95239 Q9P0W2
O95571 Q9UI12
O75553 P46109
P27361 P36956
Q9NSC2 Q13547
O14678 O43261
Q16626 P63010
P04637 P22736
P16591 P00533
P16104 P38398
P10828 Q15654
Q8N2W9 Q5UIP0
Q99932 Q9NRR5
Q14520 P53420
P54727 Q13569
Q01860 P09429
Q96B26 Q06265
Q99759 Q9H4A3
P23677 P0DP25
Q92759 P19447
P30281 P11473
Q7Z418 P37173
Q04771 Q9NRW1
Q14103 P67809
