P15938 Q12354
P40003 P48232
Q12515 P32602
P38203 P04173
P06738 Q04437
P38699 P20459
P33333 P23642
P32569 Q04969
P35497 P32366
P04051 P35718
P49018 P43682
P47149 P52553
Q12329 P25343
Q06213 P06782
P12709 P14737
P38080 P38080
P11433 P50078
P15790 Q03213
P54964 P47135
Q12134 P32790
Q12033 Q12033
P53959 Q04934
P33418 P50278
P15992 P31244
P07149 P32458
P17629 P33441
P47135 Q04432
P53550 P40576
P53156 P28274
P53337 P46961
P53507 Q06406
P47170 Q00764
P39730 P22134
P04385 P36130
Q12223 P25491
Q12347 P02829
P40573 O13577
Q08562 P11978
Q03654 P20095
Q12522 Q08562
Q01329 P25298
P38011 P06839
Q04062 Q12377
P40018 P32495
P35206 Q03655
P06844 Q02336
P40077 P38756
P40352 P15992
P22141 Q08723
Q12379 P22137
P40564 P53168
P06243 Q06631
P21524 P21524
P46677 Q05027
P46965 P36057
P27801 P07251
P32902 P38262
P14164 P15790
P25379 P32381
Q02630 P30822
P32613 P53863
P32361 P32361
Q06103 P53196
Q00246 P32327
P38958 P40955
P33329 P41818
P43321 P39990
P32381 P31378
P53845 P07560
Q02821 P36088
P36130 P04173
P27999 P38307
P47093 P36048
Q06245 P38261
Q99176 Q02767
P40055 P38333
Q99260 P39904
P11075 P40069
P33338 P33338
P25694 P32381
P38150 P24814
P32570 P32569
P41695 P00924
Q08236 Q06506
P22141 P32565
Q02774 Q06451
P06243 P41811
Q12309 P28320
P32602 P22215
Q05580 P40364
P38989 Q07457
Q08227 P40582
Q04364 Q03322
P11710 P39732
P38316 P40016
P20050 P14291
P04817 P39704
P53550 P25339
P06100 P32334
P00358 P53599
P40018 P47818
P32917 P53298
P15790 Q02892
P54786 Q06648
P32901 P32569
Q12379 P47079
P53201 Q12464
Q12176 Q12024
P38629 P38121
Q12267 P53253
P24719 P00830
Q12211 P40055
P06786 P25567
P38316 P25694
P53246 P38818
P25441 P33339
P32841 O13518
P07244 P22133
Q04322 P39743
Q03973 P39521
Q00578 P07276
P11076 P46655
P35723 P53322
Q06624 P40491
P35736 Q06410
P07251 Q12233
P80667 P47135
P53201 Q05471
P25607 Q00916
P19956 P36520
P46948 P53256
P32523 Q03654
Q02821 Q03373
P32558 P38351
P40958 Q03466
P11978 P06700
P25491 P41735
P40054 P53737
P46961 P38875
Q08273 P16861
Q03954 Q12250
P53877 P25491
P09798 Q12107
P22147 Q06436
P38826 P54784
P19882 P47116
P25382 P40078
P00830 P06839
P02309 P53914
Q12265 P32895
P40016 Q12377
Q01389 P32490
P39996 Q12520
P04385 P38885
P32641 P35191
Q12232 P29055
P06777 P46943
P40069 Q00776
P40352 P07260
P25846 P40364
P33313 P04397
Q04338 P32319
P38789 P38805
P24583 P47068
P43586 P53861
P39013 Q03954
P20424 P38985
P04037 Q02793
P32837 P53835
P32629 P40303
Q12152 P09624
P38138 P32837
P39683 P47135
P38251 P32641
P35718 P33418
P38079 P53954
Q07376 P40085
Q02199 P48232
P53083 P20967
Q03759 P29055
P53135 Q06593
P38629 P02557
P11710 P53048
Q12123 P17123
P34160 Q02821
P19880 Q06142
Q12292 Q12527
P07248 P38129
P53159 Q12365
P46682 P38153
Q12254 P32463
P34221 P38737
P16522 P23301
P38699 P43321
P15442 P49704
P53256 Q08491
Q02199 P30822
P32445 P31244
P40517 P30822
P38346 P39014
P09436 P19735
P04173 P16649
P80428 Q12464
P53045 Q12402
Q07623 P07149
Q03776 O13329
P38840 P38129
P38796 Q05930
P16474 P32502
Q12124 Q06213
Q12349 Q05031
P38886 O13563
P53299 P32897
Q04062 Q06708
P15442 P20053
P05317 P02400
Q08550 P33297
P22515 P52490
P32502 Q04093
P12686 P28817
P07991 Q12749
P21538 P48743
Q12233 P00830
P19735 P46655
Q12202 Q03697
P14680 Q08601
P32774 Q02574
P52490 P12709
P25694 P19735
P21965 P33322
Q04431 P32569
P19524 P51534
Q02795 P25358
Q07508 P39682
Q00402 P47037
Q04437 P07248
P46673 P49686
Q08496 P38911
P14736 P28519
P40460 Q12175
Q07732 P40325
P39079 Q12021
P47050 P38822
P08468 P53322
P38696 P47135
P53064 Q06697
P38286 P21147
P41318 Q04749
P57743 P22035
P53281 P39940
P22855 P14904
Q12136 Q08687
Q12349 P08525
P06839 P39078
P35723 P38819
P07251 P38217
P0C0W1 P11986
P34087 P41896
P32521 P32790
Q02794 P32862
P35209 Q99314
Q04149 P15303
P39108 P06168
P25343 Q04175
Q03904 P29055
P40359 P29055
P43597 Q12329
P11986 Q00362
P15873 P25336
P38129 P42943
P20052 P17442
P16649 P47002
P00830 P39110
P04173 P17629
P38842 P36057
Q99190 P38286
P37261 Q02793
P43548 Q08491
P00924 P43565
P41819 P40160
P43588 P33299
P35206 P25358
P25338 Q08974
Q01846 O13548
Q02629 P53840
P38867 P32366
Q06337 P53930
P40078 P38883
P47135 O13568
P38913 P38633
P30902 P81450
Q12307 P36108
Q12241 Q08951
Q12493 Q06162
P39715 P33892
P32333 P11633
P31384 P19812
P39081 P17157
Q03954 P40460
P53082 Q12345
P26755 P40106
P40073 P22147
P41814 P06103
P28274 P14741
P38286 P38837
P47135 P40107
P39076 P12612
P00830 Q99247
P53145 Q03862
Q02554 P34160
P34758 P53934
P40352 P08524
P38276 P38276
P19659 P25046
P29465 Q06541
P38291 P38336
P38207 P03069
Q12446 P16140
Q06410 P40060
P23724 Q12250
P06701 P19358
P40079 Q06631
Q08273 P38737
P30606 P53039
P53600 P41811
P42838 P33892
P08458 P25303
P12954 P17709
P38217 P04397
P32337 P16387
P40554 P53088
P28000 P29295
Q07623 P38822
P53830 Q07350
P17106 P22216
P20436 P32529
Q99260 P11745
P40537 P38633
P47026 P46961
P38261 Q00916
P40073 P18494
P53599 P04385
P32481 P32501
P36009 P41811
P43588 P32496
P53622 P32074
P36068 P38220
P06104 P36058
Q12125 P32618
P32828 P29461
P36104 P38827
P40352 P17255
P49686 P11745
P40565 P38707
Q06164 P19358
Q99345 P25615
P38523 P26188
Q02795 P35723
P17898 P53918
P53905 P40070
P22696 Q03280
P38992 P33767
Q01454 Q01454
Q99189 P20676
P48240 P46948
Q06411 P17558
P47079 P07703
P45976 Q03713
P08964 P08964
P34162 P32585
P13186 P40073
Q12176 Q04660
P38633 Q08278
P38882 P31688
P14693 Q03954
P39935 P20459
P32570 P19880
Q03957 P38922
P16522 P12709
Q08004 P40563
P39010 P18852
Q06706 Q04868
P07149 P04819
P32381 P16140
P02829 P35203
P36130 P40364
P38972 P19735
P10823 Q12361
P33757 P53541
P05150 Q08949
P36057 P32916
P38779 P37838
P06101 P47103
P39079 Q12206
P81449 P81449
P40362 Q06679
P07251 P04819
P10964 P04173
P16547 P41811
P15303 P22804
P25567 P06782
Q06624 P34087
P11972 P40073
Q02630 P40066
P43574 P21243
P38286 P38079
P06843 P40561
P36058 P53934
P53729 P47038
P34244 P53914
P02557 P32350
P40079 Q08096
P38633 Q12306
P38959 P38623
P29055 P50875
Q08754 P38932
P33759 P36056
P38837 P04817
P38987 Q12134
P38328 P00924
P38699 P50264
P16140 P41811
P38843 P36057
P38872 P29295
P33303 P53053
P08566 P38316
P53769 Q06667
P39954 P33322
P29055 P32775
Q08729 P16521
P05373 P05373
P38316 P32481
P32911 P38333
P38203 Q06625
P38998 P15019
P53168 P31385
P06787 P16140
P38013 Q04675
Q02630 P47168
Q05166 Q03790
P43124 P40054
P50111 P32900
P23642 P14540
P53125 P32367
P38077 P06839
Q04149 P32495
P32569 P13393
Q05080 P41832
P25342 Q12263
P20459 P14741
P20449 P38220
Q00916 P07256
P17123 Q02574
P15992 P25644
P52488 P53044
P39730 P15646
P05150 P40348
P25583 P40167
P48836 P17255
P37296 P17255
Q08496 Q12522
Q12223 P39960
P25385 Q01590
Q99186 P17967
P40856 P80428
P00358 P17157
P53011 Q04491
P28004 P52868
P17214 P53288
Q02774 Q06644
Q03305 Q02630
P29468 Q12102
Q03373 P38694
P53264 P38822
P38353 P46956
P14741 P46943
P22517 P38633
P25087 P39742
P23201 P06784
Q12263 P32457
P39517 P47017
Q12380 P02557
P19735 P15442
P43593 Q12250
P38203 Q08004
P53322 P38819
P40161 P40161
Q12420 P43321
P15992 Q05498
P41811 P36041
P06700 P22146
Q99260 P12709
P53616 P06787
P17157 P35497
Q07830 P38701
P39078 P40055
P32366 P39111
Q03935 P38346
P02557 P38198
Q05027 P35177
P52553 P43573
P41800 P25336
P46675 P11709
P00830 P14747
P00830 P40354
Q92316 P46964
P19358 P38987
Q02100 P14922
P35728 P39927
P08458 P02557
P52286 P22203
Q04477 P32908
P35182 Q12030
Q03864 Q06344
P09064 P32502
P38615 P53939
Q06410 P14907
Q03784 P36149
P41543 Q03723
P32790 P53933
P32476 P42843
P36160 Q06205
P38165 P32607
Q02794 P32366
P46677 P53040
P54885 P25646
Q06479 Q12018
P32833 P09119
P40162 Q12349
Q03818 P20676
Q08683 Q12107
Q03231 P32569
Q03898 P34730
Q06551 P36062
P25582 P53261
Q04660 P15992
Q12345 P38313
P48837 P32337
Q03697 P11972
Q06644 Q07376
P32657 P38930
P38629 P25572
P38633 P53284
P25298 Q12102
P25359 P46948
P53879 Q07843
P53600 P53622
Q99247 P17555
P34730 P27636
P52286 P42843
P38297 P34162
P38152 P13517
Q12405 P32458
P25046 P33308
P38930 P40340
Q12348 Q12468
P38843 Q02774
P53040 Q03330
Q12343 P07342
P38346 Q06410
P32179 P38740
P46957 P15436
P16151 Q12177
P40988 P38623
P30665 Q12306
P36087 Q12342
Q12024 P38112
P38826 P09119
Q05946 P17555
Q05521 P41909
P25694 P50942
Q12389 Q08496
P25358 P16151
Q02574 P32354
P19882 Q12018
P32803 P54837
P34244 P26309
P53853 P53853
P00924 Q06704
P38878 Q12402
P38203 P33334
P38989 P04385
Q03532 P14904
P14741 P19882
Q02732 P32458
Q06168 P38987
P38910 P32499
P40501 P23968
Q08235 P53927
P39705 P04147
P53865 P32336
P32908 P19882
P53261 P22147
P47172 P38262
P07260 P51862
P36116 Q03322
P40450 P04821
P42846 P07703
Q00539 P39682
P32944 P38274
P39929 Q06263
Q04921 Q04921
Q12329 Q12329
P06838 P06777
Q06405 P00854
P35999 P29055
P40469 Q04477
P12753 P16474
Q07451 Q02931
P40035 Q06170
Q07979 P11633
Q12440 Q12440
P32497 Q12522
P11433 Q03579
P17255 P12753
Q01329 P42841
P30771 P05453
P41811 P25343
P32807 P04385
P38744 P38744
P02557 P22204
P53091 Q12488
P13663 P25623
P50091 P39108
Q08004 P53877
Q08887 Q07622
P06243 Q12094
P40016 P38886
P39725 P32529
P14742 P38147
Q05942 Q03236
Q04049 P00830
P34215 P40971
P40055 P25586
Q12377 P22141
P07260 Q07508
P36517 Q00916
P21190 P32581
P19882 P53622
P40055 Q12754
Q08032 P24279
Q04437 P02829
P38346 Q05027
Q06410 P38633
P38875 P53934
P47135 Q00381
P15424 Q07623
P20437 Q12365
P05750 Q08601
P04173 P38959
P29055 P89114
P20050 P20050
Q04934 Q02630
P32628 Q00578
P00924 Q03497
P25655 P47821
Q06704 P38822
Q08193 Q12164
Q12328 Q08749
P43601 P50277
Q02773 P53550
P15315 Q02821
P42937 Q00916
P07703 Q12267
P46956 P38993
P32332 P53389
Q04437 P09624
P50875 Q6WNK7
P00924 Q12154
P29055 P25579
P39981 P38262
P43605 P43605
P53270 P34228
P21268 P00830
P36080 P54786
P38348 P30656
P38888 P40078
P36160 P40028
P53313 Q12019
P48836 P16140
P42073 Q12102
P07703 P05150
P00924 P38153
P15790 Q12206
P20053 P47093
P34162 P41896
P14904 P14904
P25371 P53146
Q06410 Q12493
O13530 P39534
P32807 P11978
P06100 P31384
P48362 P42841
P52286 P02829
Q02821 P34760
P25616 P53290
P53050 P38288
P05453 P32790
P38013 P26188
P50943 P38066
P32588 P53617
Q04368 P40083
Q03195 Q07623
P53337 Q12164
Q02821 P53877
Q04305 P22147
P32558 P32628
P41811 P15705
P32900 P05739
Q02908 P38874
P47821 P17157
P29469 P24279
P32910 P35718
P12753 P47149
P07284 P06701
P27999 Q05530
P32803 Q04697
P23595 P50111
P38624 P41808
Q08004 Q07915
P10080 P02994
P38241 Q03654
P38362 P38238
P06777 P25694
P33204 Q12156
Q12030 Q08685
P34730 P41811
Q02775 P33411
P38228 P21801
P16649 P12754
P38881 P42946
P38737 P53914
P07251 P38146
P38077 P32381
Q03323 P38784
Q04477 P00924
Q02260 Q12745
P28007 P35194
P39952 P00410
P32892 P37838
P34087 P32914
Q06644 P40054
P12709 Q12152
P29055 P38771
P32912 Q04767
P38429 Q05778
P28519 Q03702
P06700 P54786
Q99181 Q08273
P32485 P25588
P13393 P07270
P32641 P19882
P28241 P08566
P46673 P41940
P08566 P38691
P32589 P34760
P13393 P06100
Q02629 Q03862
P24869 P53197
P32502 P40956
Q12250 P40327
Q06208 P04803
P53091 Q12306
P40991 P25297
P49018 Q12006
P20840 P35184
P38768 P25638
P43639 P32657
P31383 Q00362
P00830 P06774
Q03782 P53207
P15992 P26188
P20107 P37296
P54860 Q04748
P53040 Q03792
Q04693 Q08920
P32893 P38334
P38324 Q04437
Q12250 P32565
P19736 P38282
P47135 P32564
P32502 P39534
P47093 P15703
P25491 P24869
P14904 P04173
P40016 P38348
P39011 Q00246
Q12021 P39078
P32898 P16451
Q03433 P47135
P32389 Q12041
P37296 P31412
P32464 P35191
Q04749 P32600
P29295 P12695
Q03012 P40971
P46956 P38843
Q08387 P53136
P32496 P40016
P19659 P32585
Q02732 P38692
P39008 P22204
Q12349 Q03231
P43565 P19882
P15646 Q12460
Q08490 P40495
P53337 P38353
P32496 Q12377
Q02630 Q08287
P11710 P32606
Q07623 P42945
P14906 P33767
P25582 Q12499
P27692 P32783
P08964 Q06580
P00924 P11076
P32569 P32585
P12385 P35194
P53845 P32939
P47113 P25385
P53128 P40971
P32854 P32366
P00830 P26448
P19882 Q08032
P32602 Q08278
P38822 P40096
P53271 P39731
Q06208 P53846
P38822 P38130
Q08754 P53755
P15703 P40348
P40554 P38820
P22137 P38873
P23301 P33895
P25454 P22138
P47042 P39685
P16140 P06774
P32349 P32910
Q12300 P00830
P36104 Q03012
P22543 Q05919
P40582 P40107
Q02939 Q02939
Q07896 P36160
P14742 Q03897
Q06287 P02557
P19358 P26755
P38262 P19262
P38080 P25344
P53322 P46956
P35180 P23644
Q06436 P53254
Q12349 P39110
Q12084 Q12084
Q02574 P38271
P15274 O13558
P43563 P15992
P18900 P47093
Q12044 P15315
P20459 P16120
P0C0X0 P0C0X0
P05986 P25379
P33331 Q06142
P19882 P53861
P32381 P07251
P15303 P11075
P53829 P39008
Q12124 P38304
P31244 Q12109
Q03048 P43637
Q04748 P39108
Q08419 P32449
Q12072 P43596
P53254 Q06679
P25591 P47053
P39998 P34228
P53919 P28007
Q12443 Q04458
P04147 Q06344
P07834 P52286
Q03554 P16151
P32585 P47821
P16649 P15992
P40365 Q12349
Q05636 Q08491
Q02866 Q07732
Q08231 O94742
Q12446 P39013
P41813 P22579
P25040 P32569
P12709 P52492
P38629 P15992
P38987 Q06410
P38624 P22141
P04173 Q04675
P53207 P54999
P46948 Q05636
P38962 P53093
P08018 P09624
Q08278 P25648
P33760 P47093
P13365 P21268
Q12344 P39743
P34111 P32367
P36130 P31384
Q02821 P43582
P32462 P38822
Q06707 P53201
P32350 P40479
P11978 P12695
P89105 P40495
P48412 P30771
P47149 P17119
P54999 P39682
P40364 P36047
Q07478 P40040
P32337 P20676
P49704 P51998
P28004 Q04693
P05150 P53971
P47072 Q04934
P50101 P21192
P25358 Q04651
Q02629 Q99257
P53394 P38286
P19262 P40352
P39008 P17255
P25293 Q12692
P53093 P36018
P53313 P53261
P40366 P38822
P23641 P26188
P40080 P52917
P38837 P46956
P16140 Q04437
P39013 P32569
P80428 Q03435
P40555 P23724
Q07623 P12709
P16661 P49018
P38125 P16603
Q12052 P40342
P04817 P25613
Q99393 P47135
P05986 P05986
P32490 P32366
P47135 P43556
Q06032 P25301
Q02630 P38910
Q12464 P38334
Q02821 P43545
P38064 P25558
P32912 P53845
Q12429 P47093
P53045 P40316
Q03897 P15992
Q99247 P38077
Q12457 O13329
P38759 P89105
P38197 P40988
P25342 P14540
P04387 P52286
P40070 P50101
P12689 Q00916
P12612 P33750
Q12270 Q12446
P53632 P07259
P25607 P53306
P47093 P41544
Q12250 P32496
Q03897 P53011
P46961 P49018
Q01852 P38523
P38633 Q02486
P13517 Q12446
P08018 P32485
P32259 Q02772
P89114 P32641
P53100 P38203
P29055 Q99344
Q12377 P43588
P33334 P38852
P19882 P32350
P16151 P50108
P32854 P18759
P15992 P38262
P40442 P40484
Q12161 P32558
P47059 P38633
P38238 P53307
Q12349 P00358
P36094 Q07732
P23561 P08539
Q01477 P54786
Q02574 P25605
P41940 P22141
Q10740 P53967
P25586 P15646
P12695 P22204
Q12329 P38873
P26188 P38691
P40214 P38140
P21524 P09938
P32476 P53045
P41698 Q03497
P53741 Q03935
P17629 P16140
P18410 P12945
P40991 P28007
P36126 P53550
P38339 Q12446
P41832 Q01389
P47170 P40089
P39984 Q12341
P43592 Q03944
P35194 P38064
P10849 P50896
P53599 P22137
P32602 Q08202
P38987 P07260
P32464 P04173
Q04659 Q05930
P23202 P32600
Q06706 P04050
Q05583 P38829
Q02204 P31334
P39542 P16151
P32605 Q03776
P07251 Q12165
P53914 P32074
P39543 P47135
Q12030 Q12297
P38333 P47083
P31378 P25379
P38805 P40991
P43565 Q00764
Q06538 P38286
P40335 Q06385
P27515 Q07732
P25491 Q99247
Q05946 P16140
P47036 Q12154
Q03690 P53168
P53968 P29295
P16861 P32502
P33419 P52891
Q12365 P11927
P38203 Q04748
P43574 Q12247
P38785 Q05080
P38853 P31376
Q03231 Q06096
P25367 P18851
P11076 P53278
P32381 Q06704
P53045 Q06135
P31384 P53280
P35191 Q03897
P25651 P38785
P36036 Q12159
P41940 P39743
P20967 Q12250
Q02574 Q12155
P04397 P25343
P43573 Q06543
Q02821 P25555
Q12417 P16474
P40477 Q99189
P38993 P32381
P46965 P53045
P38682 P40958
Q02821 Q03532
P32585 P32570
P32581 P19882
P25358 P53045
P00927 Q02866
P07703 P23202
P38798 P36103
P40359 Q03406
Q06598 P38286
P25569 P12709
P20606 P38987
P38988 P16151
P13712 P36124
P21304 P21304
P17214 P39734
P38708 P32911
P40088 Q04121
P21264 P38633
P04173 P38953
Q02774 P04817
P12709 P08417
Q12495 P47079
P34730 Q06640
P38286 Q06644
P11747 P50105
P39938 Q06672
P38074 P53299
P19524 P38615
Q07442 P53159
P39081 Q07478
Q06648 P39083
P38217 P00358
P49956 P40348
Q99190 Q12402
Q08949 P18239
P27344 Q03532
P40485 P21965
P14742 P39009
P40567 P39958
Q02931 P25491
P16370 P08518
Q12163 Q03497
Q12176 P02400
P48234 P53914
Q04149 P35189
P38989 P40460
P53168 P46988
P32565 Q08273
P48232 P33895
Q02630 Q03798
P38144 P32832
P46961 P53322
P14180 P25562
P40555 Q00246
P53068 Q04601
P38286 P53322
P34730 P40856
Q03497 P29366
P12962 Q04739
P38913 Q12349
P22768 Q02821
P32337 Q04867
Q04675 Q02825
P47035 P06700
P53323 P02557
P38987 P17709
P40054 P40054
P38122 P38122
P39927 P38912
P40040 Q08789
P53156 P23337
P07251 Q04675
P50942 Q05635
P22276 Q12531
P25655 P41811
Q08199 P47093
P52490 P10862
Q03071 P53861
Q12349 P40545
P16474 P33750
P0C0X0 P34239
P02557 P32641
P47135 P39551
P23639 P38910
P25567 Q12749
P32605 Q00916
P39946 P47149
Q02821 P19262
P32337 Q03790
Q03799 P32902
Q02629 Q12315
Q02821 P38792
P47135 P40001
P23561 P23201
P04173 P32807
P40693 Q04660
P53622 P32324
Q03433 Q12327
P42841 P20448
P35189 P41896
Q02203 P32366
Q04231 Q12336
P32908 P40460
Q12164 P40548
P39523 Q07978
P06787 Q12280
P39013 P40352
P38286 P23900
P05453 P38760
P38112 Q04373
P16387 P06838
P38182 Q07879
P02293 Q12161
P22515 P33296
P18414 Q03655
P25358 P21147
P17629 P38123
P19516 P38356
P40069 P25454
Q12510 Q03834
P40561 P17967
P22134 P53551
P06839 P16474
P38255 P22579
Q08270 Q07442
Q03935 P32776
P40541 P40069
P51534 P51534
Q12263 Q12263
P26188 P41811
P38822 P38822
P43596 P11633
P05626 P53954
P40054 Q99395
Q03406 P43615
P22147 P27705
Q12329 Q12152
P38788 P38285
P40971 P20435
P22579 P16649
Q04675 P04801
P14904 P02293
P42940 P29055
P20053 P02829
Q12157 Q04601
Q07468 P53129
P04147 P27705
P14906 P33754
P42943 P21304
P40070 P0C0X0
P53617 P05453
P49686 Q03862
P25358 P38819
P36006 P33204
P21192 P30822
Q08271 P38264
P32457 P47039
P32854 P32602
P48559 P53093
P16661 P25358
P07272 P32796
P38819 P39551
P07259 P07703
Q07732 P39727
Q12138 Q02574
Q08144 P38932
P38203 P53905
Q12341 Q12373
P53731 P06787
P47822 P32494
P36006 P47068
P13186 P50090
Q12349 P47157
P32468 P15992
P38166 P16151
P33299 P40327
P39993 P40970
P53254 Q04149
P35723 Q12445
P25454 P40850
P41695 P12709
P04385 P06774
P40693 Q12522
P22133 P28274
P40573 P32389
P38615 Q00764
Q12377 Q08723
Q00776 P42846
P38291 P27999
Q12135 P38822
P06103 P38431
Q12464 P25655
P38862 Q08562
P33322 Q04373
P41832 P11710
P53829 P34909
Q02908 P34253
P33419 Q12349
P32910 P29056
P28795 Q07896
P35206 Q04697
P32381 P16474
P36068 P25652
P40561 P17555
P38207 P15873
P38217 P38737
Q02199 P23639
P07703 P14742
P50623 P40969
P31384 P39008
P09232 P38316
P39081 P47093
P38286 Q12372
P00549 Q12004
P00924 P32481
Q07732 P36103
Q12527 P39081
P38353 P25358
P04650 P54786
Q02795 P39711
P23639 P40302
P53286 P38523
P40018 P53873
P47135 Q04835
Q04377 P00830
P53887 P25611
Q12328 P38692
P32458 P54786
P33313 P47135
P39001 Q07458
P39551 P38316
P15790 P40991
P32529 P38268
P39534 Q02866
Q12019 P02309
P32569 P40015
P30624 P25646
P38286 P50944
P36080 Q06648
P00830 P30902
P12612 P18851
P22147 P53235
Q04697 Q07824
P40477 P20449
P53070 P32559
Q02574 P47040
P47822 P03069
P38146 P17709
P27692 P32914
P12695 P38615
P16661 P41806
Q02574 P47149
P08518 P25454
P38797 P30620
P25294 P32589
P39996 P39996
P36104 P35728
P46956 P38842
P34247 P40362
P29496 P38132
P51601 Q06142
Q12152 P17709
P32458 P39011
Q04675 P07256
P32588 P33399
Q12156 P36108
Q12377 P38737
P39743 P07256
